sequence,v115@PhA8BeB8EeA8AeE8AeA8AeB8JeOEJvhFXgB8lBzhB5?nB6oBlrB,v115@PhA8BeB8EeA8AeE8AeA8AeB8JeOEJvhFXgBlhB5nB6?oBzlB8rB
ISJTOLZ,X,X
ISJTOZL,X,X
ISJLTZO,X,X
ISJLTOZ,X,X
ISJLZTO,O,O
ISJLZOT,X,X
ISJLOTZ,X,X
ISJLOZT,X,O
ISJZTLO,O,O
ISJZTOL,O,X
ISJZLTO,O,O
ISJZLOT,X,X
ISJZOTL,X,X
ISJZOLT,X,X
ISJOTLZ,X,X
ISJOTZL,X,X
ISJOLTZ,X,X
ISJOLZT,X,O
ISJOZTL,X,O
ISJOZLT,X,O
ISZTLJO,O,O
ISZTLOJ,O,X
ISZTJLO,O,O
ISZTJOL,O,X
ISZTOLJ,O,X
ISZTOJL,O,X
ISZLTJO,O,O
ISZLTOJ,O,X
ISZLJTO,O,O
ISZLJOT,X,X
ISZLOTJ,X,X
ISZLOJT,X,X
ISZJTLO,O,O
ISZJTOL,O,X
ISZJLTO,O,O
ISZJLOT,X,X
ISZJOTL,X,X
ISZJOLT,X,X
ISZOTLJ,X,X
ISZOTJL,X,X
ISZOLTJ,X,X
ISZOLJT,X,X
ISZOJTL,X,X
ISZOJLT,X,X
ISOTLJZ,X,X
ISOTLZJ,X,X
ISOTJLZ,X,X
ISOTJZL,X,X
ISOTZLJ,X,X
ISOTZJL,X,X
ISOLTJZ,X,X
ISOLTZJ,X,X
ISOLJTZ,X,X
ISOLJZT,X,O
ISOLZTJ,X,O
ISOLZJT,X,O
ISOJTLZ,X,X
ISOJTZL,X,X
ISOJLTZ,X,X
ISOJLZT,X,O
ISOJZTL,X,O
ISOJZLT,X,O
ISOZTLJ,X,O
ISOZTJL,X,O
ISOZLTJ,X,O
ISOZLJT,X,O
ISOZJTL,X,O
ISOZJLT,X,O
IZTLJSO,O,O
IZTLJOS,O,X
IZTLSJO,O,O
IZTLSOJ,O,X
IZTLOJS,O,X
IZTLOSJ,O,X
IZTJLSO,O,O
IZTJLOS,O,X
IZTJSLO,O,O
IZTJSOL,O,X
IZTJOLS,O,X
IZTJOSL,O,X
IZTSLJO,O,O
IZTSLOJ,O,X
IZTSJLO,O,O
IZTSJOL,O,X
IZTSOLJ,O,X
IZTSOJL,O,X
IZTOLJS,O,X
IZTOLSJ,O,X
IZTOJLS,O,X
IZTOJSL,O,X
IZTOSLJ,O,X
IZTOSJL,O,X
IZLTJSO,O,O
IZLTJOS,O,X
IZLTSJO,O,O
IZLTSOJ,O,X
IZLTOJS,O,X
IZLTOSJ,O,X
IZLJTSO,O,O
IZLJTOS,O,X
IZLJSTO,O,O
IZLJSOT,X,X
IZLJOTS,X,O
IZLJOST,X,O
IZLSTJO,O,O
IZLSTOJ,O,X
IZLSJTO,O,O
IZLSJOT,X,X
IZLSOTJ,X,X
IZLSOJT,X,X
IZLOTJS,X,O
IZLOTSJ,X,O
IZLOJTS,X,O
IZLOJST,X,O
IZLOSTJ,X,O
IZLOSJT,X,O
IZJTLSO,O,O
IZJTLOS,O,X
IZJTSLO,O,O
IZJTSOL,O,X
IZJTOLS,O,X
IZJTOSL,O,X
IZJLTSO,O,O
IZJLTOS,O,X
IZJLSTO,O,O
IZJLSOT,X,X
IZJLOTS,X,O
IZJLOST,X,O
IZJSTLO,O,O
IZJSTOL,O,X
IZJSLTO,O,O
IZJSLOT,X,X
IZJSOTL,X,X
IZJSOLT,X,X
IZJOTLS,X,O
IZJOTSL,X,O
IZJOLTS,X,O
IZJOLST,X,O
IZJOSTL,X,O
IZJOSLT,X,O
IZSTLJO,O,O
IZSTLOJ,O,X
IZSTJLO,O,O
IZSTJOL,O,X
IZSTOLJ,O,X
IZSTOJL,O,X
IZSLTJO,O,O
IZSLTOJ,O,X
IZSLJTO,O,O
IZSLJOT,X,X
IZSLOTJ,X,X
IZSLOJT,X,X
IZSJTLO,O,O
IZSJTOL,O,X
IZSJLTO,O,O
IZSJLOT,X,X
IZSJOTL,X,X
IZSJOLT,X,X
IZSOTLJ,X,X
IZSOTJL,X,X
IZSOLTJ,X,X
IZSOLJT,X,X
IZSOJTL,X,X
IZSOJLT,X,X
IZOTLJS,X,O
IZOTLSJ,X,O
IZOTJLS,X,O
IZOTJSL,X,O
IZOTSLJ,X,O
IZOTSJL,X,O
IZOLTJS,X,O
IZOLTSJ,X,O
IZOLJTS,X,O
IZOLJST,X,O
IZOLSTJ,X,O
IZOLSJT,X,O
IZOJTLS,X,O
IZOJTSL,X,O
IZOJLTS,X,O
IZOJLST,X,O
IZOJSTL,X,O
IZOJSLT,X,O
IZOSTLJ,X,O
IZOSTJL,X,O
IZOSLTJ,X,O
IZOSLJT,X,O
IZOSJTL,X,O
IZOSJLT,X,O
IOTLJSZ,X,X
IOTLJZS,X,X
IOTLSJZ,X,X
IOTLSZJ,X,X
IOTLZJS,X,X
IOTLZSJ,X,X
IOTJLSZ,X,X
IOTJLZS,X,X
IOTJSLZ,X,X
IOTJSZL,X,X
IOTJZLS,X,X
IOTJZSL,X,X
IOTSLJZ,X,X
IOTSLZJ,X,X
IOTSJLZ,X,X
IOTSJZL,X,X
IOTSZLJ,X,X
IOTSZJL,X,X
IOTZLJS,X,X
IOTZLSJ,X,X
IOTZJLS,X,X
IOTZJSL,X,X
IOTZSLJ,X,X
IOTZSJL,X,X
IOLTJSZ,X,X
IOLTJZS,X,X
IOLTSJZ,X,X
IOLTSZJ,X,X
IOLTZJS,X,X
IOLTZSJ,X,X
IOLJTSZ,X,X
IOLJTZS,X,X
IOLJSTZ,X,X
IOLJSZT,X,O
IOLJZTS,X,O
IOLJZST,X,O
IOLSTJZ,X,X
IOLSTZJ,X,X
IOLSJTZ,X,X
IOLSJZT,X,O
IOLSZTJ,X,O
IOLSZJT,X,O
IOLZTJS,X,O
IOLZTSJ,X,O
IOLZJTS,X,O
IOLZJST,X,O
IOLZSTJ,X,O
IOLZSJT,X,O
IOJTLSZ,X,X
IOJTLZS,X,X
IOJTSLZ,X,X
IOJTSZL,X,X
IOJTZLS,X,X
IOJTZSL,X,X
IOJLTSZ,X,X
IOJLTZS,X,X
IOJLSTZ,X,X
IOJLSZT,X,O
IOJLZTS,X,O
IOJLZST,X,O
IOJSTLZ,X,X
IOJSTZL,X,X
IOJSLTZ,X,X
IOJSLZT,X,O
IOJSZTL,X,O
IOJSZLT,X,O
IOJZTLS,X,O
IOJZTSL,X,O
IOJZLTS,X,O
IOJZLST,X,O
IOJZSTL,X,O
IOJZSLT,X,O
IOSTLJZ,X,X
IOSTLZJ,X,X
IOSTJLZ,X,X
IOSTJZL,X,X
IOSTZLJ,X,X
IOSTZJL,X,X
IOSLTJZ,X,X
IOSLTZJ,X,X
IOSLJTZ,X,X
IOSLJZT,X,O
IOSLZTJ,X,O
IOSLZJT,X,O
IOSJTLZ,X,X
IOSJTZL,X,X
IOSJLTZ,X,X
IOSJLZT,X,O
IOSJZTL,X,O
IOSJZLT,X,O
IOSZTLJ,X,O
IOSZTJL,X,O
IOSZLTJ,X,O
IOSZLJT,X,O
IOSZJTL,X,O
IOSZJLT,X,O
IOZTLJS,X,O
IOZTLSJ,X,O
IOZTJLS,X,O
IOZTJSL,X,O
IOZTSLJ,X,O
IOZTSJL,X,O
IOZLTJS,X,O
IOZLTSJ,X,O
IOZLJTS,X,O
IOZLJST,X,O
IOZLSTJ,X,O
IOZLSJT,X,O
IOZJTLS,X,O
IOZJTSL,X,O
IOZJLTS,X,O
IOZJLST,X,O
IOZJSTL,X,O
IOZJSLT,X,O
IOZSTLJ,X,O
IOZSTJL,X,O
IOZSLTJ,X,O
IOZSLJT,X,O
IOZSJTL,X,O
IOZSJLT,X,O
LTIJSZO,X,X
LTIJSOZ,X,X
LTIJZSO,O,X
LTIJZOS,O,X
LTIJOSZ,X,X
LTIJOZS,O,X
LTISJZO,X,X
LTISJOZ,X,X
LTISZJO,X,X
LTISZOJ,X,X
LTISOJZ,X,X
LTISOZJ,X,X
LTIZJSO,O,X
LTIZJOS,O,X
LTIZSJO,O,X
LTIZSOJ,O,X
LTIZOJS,O,X
LTIZOSJ,O,X
LTIOJSZ,X,X
LTIOJZS,O,X
LTIOSJZ,X,X
LTIOSZJ,X,X
LTIOZJS,O,X
LTIOZSJ,O,X
LTJISZO,X,X
LTJISOZ,X,X
LTJIZSO,O,X
LTJIZOS,O,X
LTJIOSZ,X,X
LTJIOZS,O,X
LTJSIZO,X,X
LTJSIOZ,X,X
LTJSZIO,X,X
LTJSZOI,X,X
LTJSOIZ,X,X
LTJSOZI,X,X
LTJZISO,O,X
LTJZIOS,O,X
LTJZSIO,O,X
LTJZSOI,O,X
LTJZOIS,O,X
LTJZOSI,O,X
LTJOISZ,X,X
LTJOIZS,O,X
LTJOSIZ,X,X
LTJOSZI,X,X
LTJOZIS,O,X
LTJOZSI,O,X
LTSIJZO,X,X
LTSIJOZ,X,X
LTSIZJO,X,X
LTSIZOJ,X,X
LTSIOJZ,X,X
LTSIOZJ,X,X
LTSJIZO,X,X
LTSJIOZ,X,X
LTSJZIO,X,X
LTSJZOI,X,X
LTSJOIZ,X,X
LTSJOZI,X,X
LTSZIJO,X,X
LTSZIOJ,X,X
LTSZJIO,X,X
LTSZJOI,X,X
LTSZOIJ,X,X
LTSZOJI,X,X
LTSOIJZ,X,X
LTSOIZJ,X,X
LTSOJIZ,X,X
LTSOJZI,X,X
LTSOZIJ,X,X
LTSOZJI,X,X
LTZIJSO,O,X
LTZIJOS,O,X
LTZISJO,O,X
LTZISOJ,O,X
LTZIOJS,O,X
LTZIOSJ,O,X
LTZJISO,O,X
LTZJIOS,O,X
LTZJSIO,O,X
LTZJSOI,O,X
LTZJOIS,O,X
LTZJOSI,O,X
LTZSIJO,O,X
LTZSIOJ,O,X
LTZSJIO,O,X
LTZSJOI,O,X
LTZSOIJ,O,X
LTZSOJI,O,X
LTZOIJS,O,X
LTZOISJ,O,X
LTZOJIS,O,X
LTZOJSI,O,X
LTZOSIJ,O,X
LTZOSJI,O,X
LTOIJSZ,X,X
LTOIJZS,O,X
LTOISJZ,X,X
LTOISZJ,X,X
LTOIZJS,O,X
LTOIZSJ,O,X
LTOJISZ,X,X
LTOJIZS,O,X
LTOJSIZ,X,X
LTOJSZI,X,X
LTOJZIS,O,X
LTOJZSI,O,X
LTOSIJZ,X,X
LTOSIZJ,X,X
LTOSJIZ,X,X
LTOSJZI,X,X
LTOSZIJ,X,X
LTOSZJI,X,X
LTOZIJS,O,X
LTOZISJ,O,X
LTOZJIS,O,X
LTOZJSI,O,X
LTOZSIJ,O,X
LTOZSJI,O,X
LITJSZO,X,X
LITJSOZ,X,X
LITJZSO,O,X
LITJZOS,O,X
LITJOSZ,X,X
LITJOZS,O,X
LITSJZO,X,X
LITSJOZ,X,X
LITSZJO,X,X
LITSZOJ,X,X
LITSOJZ,X,X
LITSOZJ,X,X
LITZJSO,O,X
LITZJOS,O,X
LITZSJO,O,X
LITZSOJ,O,X
LITZOJS,O,X
LITZOSJ,O,X
LITOJSZ,X,X
LITOJZS,O,X
LITOSJZ,X,X
LITOSZJ,X,X
LITOZJS,O,X
LITOZSJ,O,X
LIJTSZO,X,X
LIJTSOZ,X,X
LIJTZSO,O,X
LIJTZOS,O,X
LIJTOSZ,X,X
LIJTOZS,O,X
LIJSTZO,X,X
LIJSTOZ,X,X
LIJSZTO,O,O
LIJSZOT,X,X
LIJSOTZ,X,X
LIJSOZT,X,O
LIJZTSO,O,O
LIJZTOS,O,X
LIJZSTO,O,O
LIJZSOT,X,X
LIJZOTS,X,O
LIJZOST,X,O
LIJOTSZ,X,X
LIJOTZS,X,X
LIJOSTZ,X,X
LIJOSZT,X,O
LIJOZTS,X,O
LIJOZST,X,O
LISTJZO,X,X
LISTJOZ,X,X
LISTZJO,X,X
LISTZOJ,X,X
LISTOJZ,X,X
LISTOZJ,X,X
LISJTZO,X,X
LISJTOZ,X,X
LISJZTO,O,O
LISJZOT,X,X
LISJOTZ,X,X
LISJOZT,X,O
LISZTJO,O,O
LISZTOJ,O,X
LISZJTO,O,O
LISZJOT,X,X
LISZOTJ,X,X
LISZOJT,X,X
LISOTJZ,X,X
LISOTZJ,X,X
LISOJTZ,X,X
LISOJZT,X,O
LISOZTJ,X,O
LISOZJT,X,O
LIZTJSO,O,O
LIZTJOS,O,X
LIZTSJO,O,O
LIZTSOJ,O,X
LIZTOJS,O,X
LIZTOSJ,O,X
LIZJTSO,O,O
LIZJTOS,O,X
LIZJSTO,O,O
LIZJSOT,X,X
LIZJOTS,X,O
LIZJOST,X,O
LIZSTJO,O,O
LIZSTOJ,O,X
LIZSJTO,O,O
LIZSJOT,X,X
LIZSOTJ,X,X
LIZSOJT,X,X
LIZOTJS,X,O
LIZOTSJ,X,O
LIZOJTS,X,O
LIZOJST,X,O
LIZOSTJ,X,O
LIZOSJT,X,O
LIOTJSZ,X,X
LIOTJZS,X,X
LIOTSJZ,X,X
LIOTSZJ,X,X
LIOTZJS,X,X
LIOTZSJ,X,X
LIOJTSZ,X,X
LIOJTZS,X,X
LIOJSTZ,X,X
LIOJSZT,X,O
LIOJZTS,X,O
LIOJZST,X,O
LIOSTJZ,X,X
LIOSTZJ,X,X
LIOSJTZ,X,X
LIOSJZT,X,O
LIOSZTJ,X,O
LIOSZJT,X,O
LIOZTJS,X,O
LIOZTSJ,X,O
LIOZJTS,X,O
LIOZJST,X,O
LIOZSTJ,X,O
LIOZSJT,X,O
LJTISZO,X,X
LJTISOZ,X,X
LJTIZSO,O,X
LJTIZOS,O,X
LJTIOSZ,X,X
LJTIOZS,O,X
LJTSIZO,X,X
LJTSIOZ,X,X
LJTSZIO,X,X
LJTSZOI,X,X
LJTSOIZ,X,X
LJTSOZI,X,X
LJTZISO,O,X
LJTZIOS,O,X
LJTZSIO,O,X
LJTZSOI,O,X
LJTZOIS,O,X
LJTZOSI,O,X
LJTOISZ,X,X
LJTOIZS,O,X
LJTOSIZ,X,X
LJTOSZI,X,X
LJTOZIS,O,X
LJTOZSI,O,X
LJITSZO,X,X
LJITSOZ,X,X
LJITZSO,O,X
LJITZOS,O,X
LJITOSZ,X,X
LJITOZS,O,X
LJISTZO,X,X
LJISTOZ,X,X
LJISZTO,O,O
LJISZOT,X,X
LJISOTZ,X,X
LJISOZT,X,O
LJIZTSO,O,O
LJIZTOS,O,X
LJIZSTO,O,O
LJIZSOT,X,X
LJIZOTS,X,O
LJIZOST,X,O
LJIOTSZ,X,X
LJIOTZS,X,X
LJIOSTZ,X,X
LJIOSZT,X,O
LJIOZTS,X,O
LJIOZST,X,O
LJSTIZO,X,X
LJSTIOZ,X,X
LJSTZIO,X,X
LJSTZOI,X,X
LJSTOIZ,X,X
LJSTOZI,X,X
LJSITZO,X,X
LJSITOZ,X,X
LJSIZTO,O,O
LJSIZOT,X,X
LJSIOTZ,X,X
LJSIOZT,X,O
LJSZTIO,O,O
LJSZTOI,O,X
LJSZITO,O,O
LJSZIOT,X,X
LJSZOTI,X,X
LJSZOIT,X,X
LJSOTIZ,X,X
LJSOTZI,X,X
LJSOITZ,X,X
LJSOIZT,X,O
LJSOZTI,X,O
LJSOZIT,X,O
LJZTISO,O,O
LJZTIOS,O,X
LJZTSIO,O,O
LJZTSOI,O,X
LJZTOIS,O,X
LJZTOSI,O,X
LJZITSO,O,O
LJZITOS,O,X
LJZISTO,O,O
LJZISOT,X,X
LJZIOTS,X,O
LJZIOST,X,O
LJZSTIO,O,O
LJZSTOI,O,X
LJZSITO,O,O
LJZSIOT,X,X
LJZSOTI,X,X
LJZSOIT,X,X
LJZOTIS,X,O
LJZOTSI,X,O
LJZOITS,X,O
LJZOIST,X,O
LJZOSTI,X,O
LJZOSIT,X,O
LJOTISZ,X,X
LJOTIZS,X,X
LJOTSIZ,X,X
LJOTSZI,X,X
LJOTZIS,X,X
LJOTZSI,X,X
LJOITSZ,X,X
LJOITZS,X,X
LJOISTZ,X,X
LJOISZT,X,O
LJOIZTS,X,O
LJOIZST,X,O
LJOSTIZ,X,X
LJOSTZI,X,X
LJOSITZ,X,X
LJOSIZT,X,O
LJOSZTI,X,O
LJOSZIT,X,O
LJOZTIS,X,O
LJOZTSI,X,O
LJOZITS,X,O
LJOZIST,X,O
LJOZSTI,X,O
LJOZSIT,X,O
LSTIJZO,X,X
LSTIJOZ,X,X
LSTIZJO,X,X
LSTIZOJ,X,X
LSTIOJZ,X,X
LSTIOZJ,X,X
LSTJIZO,X,X
LSTJIOZ,X,X
LSTJZIO,X,X
LSTJZOI,X,X
LSTJOIZ,X,X
LSTJOZI,X,X
LSTZIJO,X,X
LSTZIOJ,X,X
LSTZJIO,X,X
LSTZJOI,X,X
LSTZOIJ,X,X
LSTZOJI,X,X
LSTOIJZ,X,X
LSTOIZJ,X,X
LSTOJIZ,X,X
LSTOJZI,X,X
LSTOZIJ,X,X
LSTOZJI,X,X
LSITJZO,X,X
LSITJOZ,X,X
LSITZJO,X,X
LSITZOJ,X,X
LSITOJZ,X,X
LSITOZJ,X,X
LSIJTZO,X,X
LSIJTOZ,X,X
LSIJZTO,O,O
LSIJZOT,X,X
LSIJOTZ,X,X
LSIJOZT,X,O
LSIZTJO,O,O
LSIZTOJ,O,X
LSIZJTO,O,O
LSIZJOT,X,X
LSIZOTJ,X,X
LSIZOJT,X,X
LSIOTJZ,X,X
LSIOTZJ,X,X
LSIOJTZ,X,X
LSIOJZT,X,O
LSIOZTJ,X,O
LSIOZJT,X,O
LSJTIZO,X,X
LSJTIOZ,X,X
LSJTZIO,X,X
LSJTZOI,X,X
LSJTOIZ,X,X
LSJTOZI,X,X
LSJITZO,X,X
LSJITOZ,X,X
LSJIZTO,O,O
LSJIZOT,X,X
LSJIOTZ,X,X
LSJIOZT,X,O
LSJZTIO,O,O
LSJZTOI,O,X
LSJZITO,O,O
LSJZIOT,X,X
LSJZOTI,X,X
LSJZOIT,X,X
LSJOTIZ,X,X
LSJOTZI,X,X
LSJOITZ,X,X
LSJOIZT,X,O
LSJOZTI,X,O
LSJOZIT,X,O
LSZTIJO,O,O
LSZTIOJ,O,X
LSZTJIO,O,O
LSZTJOI,O,X
LSZTOIJ,O,X
LSZTOJI,O,X
LSZITJO,O,O
LSZITOJ,O,X
LSZIJTO,O,O
LSZIJOT,X,X
LSZIOTJ,X,X
LSZIOJT,X,X
LSZJTIO,O,O
LSZJTOI,O,X
LSZJITO,O,O
LSZJIOT,X,X
LSZJOTI,X,X
LSZJOIT,X,X
LSZOTIJ,X,X
LSZOTJI,X,X
LSZOITJ,X,X
LSZOIJT,X,X
LSZOJTI,X,X
LSZOJIT,X,X
LSOTIJZ,X,X
LSOTIZJ,X,X
LSOTJIZ,X,X
LSOTJZI,X,X
LSOTZIJ,X,X
LSOTZJI,X,X
LSOITJZ,X,X
LSOITZJ,X,X
LSOIJTZ,X,X
LSOIJZT,X,O
LSOIZTJ,X,O
LSOIZJT,X,O
LSOJTIZ,X,X
LSOJTZI,X,X
LSOJITZ,X,X
LSOJIZT,X,O
LSOJZTI,X,O
LSOJZIT,X,O
LSOZTIJ,X,O
LSOZTJI,X,O
LSOZITJ,X,O
LSOZIJT,X,O
LSOZJTI,X,O
LSOZJIT,X,O
LZTIJSO,O,O
LZTIJOS,O,X
LZTISJO,O,O
LZTISOJ,O,X
LZTIOJS,O,X
LZTIOSJ,O,X
LZTJISO,O,O
LZTJIOS,O,X
LZTJSIO,O,O
LZTJSOI,O,X
LZTJOIS,O,X
LZTJOSI,O,X
LZTSIJO,O,O
LZTSIOJ,O,X
LZTSJIO,O,O
LZTSJOI,O,X
LZTSOIJ,O,X
LZTSOJI,O,X
LZTOIJS,O,X
LZTOISJ,O,X
LZTOJIS,O,X
LZTOJSI,O,X
LZTOSIJ,O,X
LZTOSJI,O,X
LZITJSO,O,O
LZITJOS,O,X
LZITSJO,O,O
LZITSOJ,O,X
LZITOJS,O,X
LZITOSJ,O,X
LZIJTSO,O,O
LZIJTOS,O,X
LZIJSTO,O,O
LZIJSOT,X,X
LZIJOTS,X,O
LZIJOST,X,O
LZISTJO,O,O
LZISTOJ,O,X
LZISJTO,O,O
LZISJOT,X,X
LZISOTJ,X,X
LZISOJT,X,X
LZIOTJS,X,O
LZIOTSJ,X,O
LZIOJTS,X,O
LZIOJST,X,O
LZIOSTJ,X,O
LZIOSJT,X,O
LZJTISO,O,O
LZJTIOS,O,X
LZJTSIO,O,O
LZJTSOI,O,X
LZJTOIS,O,X
LZJTOSI,O,X
LZJITSO,O,O
LZJITOS,O,X
LZJISTO,O,O
LZJISOT,X,X
LZJIOTS,X,O
LZJIOST,X,O
LZJSTIO,O,O
LZJSTOI,O,X
LZJSITO,O,O
LZJSIOT,X,X
LZJSOTI,X,X
LZJSOIT,X,X
LZJOTIS,X,O
LZJOTSI,X,O
LZJOITS,X,O
LZJOIST,X,O
LZJOSTI,X,O
LZJOSIT,X,O
LZSTIJO,O,O
LZSTIOJ,O,X
LZSTJIO,O,O
LZSTJOI,O,X
LZSTOIJ,O,X
LZSTOJI,O,X
LZSITJO,O,O
LZSITOJ,O,X
LZSIJTO,O,O
LZSIJOT,X,X
LZSIOTJ,X,X
LZSIOJT,X,X
LZSJTIO,O,O
LZSJTOI,O,X
LZSJITO,O,O
LZSJIOT,X,X
LZSJOTI,X,X
LZSJOIT,X,X
LZSOTIJ,X,X
LZSOTJI,X,X
LZSOITJ,X,X
LZSOIJT,X,X
LZSOJTI,X,X
LZSOJIT,X,X
LZOTIJS,X,O
LZOTISJ,X,O
LZOTJIS,X,O
LZOTJSI,X,O
LZOTSIJ,X,O
LZOTSJI,X,O
LZOITJS,X,O
LZOITSJ,X,O
LZOIJTS,X,O
LZOIJST,X,O
LZOISTJ,X,O
LZOISJT,X,O
LZOJTIS,X,O
LZOJTSI,X,O
LZOJITS,X,O
LZOJIST,X,O
LZOJSTI,X,O
LZOJSIT,X,O
LZOSTIJ,X,O
LZOSTJI,X,O
LZOSITJ,X,O
LZOSIJT,X,O
LZOSJTI,X,O
LZOSJIT,X,O
LOTIJSZ,X,X
LOTIJZS,X,X
LOTISJZ,X,X
LOTISZJ,X,X
LOTIZJS,X,X
LOTIZSJ,X,X
LOTJISZ,X,X
LOTJIZS,X,X
LOTJSIZ,X,X
LOTJSZI,X,X
LOTJZIS,X,X
LOTJZSI,X,X
LOTSIJZ,X,X
LOTSIZJ,X,X
LOTSJIZ,X,X
LOTSJZI,X,X
LOTSZIJ,X,X
LOTSZJI,X,X
LOTZIJS,X,X
LOTZISJ,X,X
LOTZJIS,X,X
LOTZJSI,X,X
LOTZSIJ,X,X
LOTZSJI,X,X
LOITJSZ,X,X
LOITJZS,X,X
LOITSJZ,X,X
LOITSZJ,X,X
LOITZJS,X,X
LOITZSJ,X,X
LOIJTSZ,X,X
LOIJTZS,X,X
LOIJSTZ,X,X
LOIJSZT,X,O
LOIJZTS,X,O
LOIJZST,X,O
LOISTJZ,X,X
LOISTZJ,X,X
LOISJTZ,X,X
LOISJZT,X,O
LOISZTJ,X,O
LOISZJT,X,O
LOIZTJS,X,O
LOIZTSJ,X,O
LOIZJTS,X,O
LOIZJST,X,O
LOIZSTJ,X,O
LOIZSJT,X,O
LOJTISZ,X,X
LOJTIZS,X,X
LOJTSIZ,X,X
LOJTSZI,X,X
LOJTZIS,X,X
LOJTZSI,X,X
LOJITSZ,X,X
LOJITZS,X,X
LOJISTZ,X,X
LOJISZT,X,O
LOJIZTS,X,O
LOJIZST,X,O
LOJSTIZ,X,X
LOJSTZI,X,X
LOJSITZ,X,X
LOJSIZT,X,O
LOJSZTI,X,O
LOJSZIT,X,O
LOJZTIS,X,O
LOJZTSI,X,O
LOJZITS,X,O
LOJZIST,X,O
LOJZSTI,X,O
LOJZSIT,X,O
LOSTIJZ,X,X
LOSTIZJ,X,X
LOSTJIZ,X,X
LOSTJZI,X,X
LOSTZIJ,X,X
LOSTZJI,X,X
LOSITJZ,X,X
LOSITZJ,X,X
LOSIJTZ,X,X
LOSIJZT,X,O
LOSIZTJ,X,O
LOSIZJT,X,O
LOSJTIZ,X,X
LOSJTZI,X,X
LOSJITZ,X,X
LOSJIZT,X,O
LOSJZTI,X,O
LOSJZIT,X,O
LOSZTIJ,X,O
LOSZTJI,X,O
LOSZITJ,X,O
LOSZIJT,X,O
LOSZJTI,X,O
LOSZJIT,X,O
LOZTIJS,X,O
LOZTISJ,X,O
LOZTJIS,X,O
LOZTJSI,X,O
LOZTSIJ,X,O
LOZTSJI,X,O
LOZITJS,X,O
LOZITSJ,X,O
LOZIJTS,X,O
LOZIJST,X,O
LOZISTJ,X,O
LOZISJT,X,O
LOZJTIS,X,O
LOZJTSI,X,O
LOZJITS,X,O
LOZJIST,X,O
LOZJSTI,X,O
LOZJSIT,X,O
LOZSTIJ,X,O
LOZSTJI,X,O
LOZSITJ,X,O
LOZSIJT,X,O
LOZSJTI,X,O
LOZSJIT,X,O
JTILSZO,X,X
JTILSOZ,X,X
JTILZSO,O,X
JTILZOS,O,X
JTILOSZ,X,X
JTILOZS,O,X
JTISLZO,X,X
JTISLOZ,X,X
JTISZLO,X,X
JTISZOL,X,X
JTISOLZ,X,X
JTISOZL,X,X
JTIZLSO,O,X
JTIZLOS,O,X
JTIZSLO,O,X
JTIZSOL,O,X
JTIZOLS,O,X
JTIZOSL,O,X
JTIOLSZ,X,X
JTIOLZS,O,X
JTIOSLZ,X,X
JTIOSZL,X,X
JTIOZLS,O,X
JTIOZSL,O,X
JTLISZO,X,X
JTLISOZ,X,X
JTLIZSO,O,X
JTLIZOS,O,X
JTLIOSZ,X,X
JTLIOZS,O,X
JTLSIZO,X,X
JTLSIOZ,X,X
JTLSZIO,X,X
JTLSZOI,X,X
JTLSOIZ,X,X
JTLSOZI,X,X
JTLZISO,O,X
JTLZIOS,O,X
JTLZSIO,O,X
JTLZSOI,O,X
JTLZOIS,O,X
JTLZOSI,O,X
JTLOISZ,X,X
JTLOIZS,O,X
JTLOSIZ,X,X
JTLOSZI,X,X
JTLOZIS,O,X
JTLOZSI,O,X
JTSILZO,X,X
JTSILOZ,X,X
JTSIZLO,X,X
JTSIZOL,X,X
JTSIOLZ,X,X
JTSIOZL,X,X
JTSLIZO,X,X
JTSLIOZ,X,X
JTSLZIO,X,X
JTSLZOI,X,X
JTSLOIZ,X,X
JTSLOZI,X,X
JTSZILO,X,X
JTSZIOL,X,X
JTSZLIO,X,X
JTSZLOI,X,X
JTSZOIL,X,X
JTSZOLI,X,X
JTSOILZ,X,X
JTSOIZL,X,X
JTSOLIZ,X,X
JTSOLZI,X,X
JTSOZIL,X,X
JTSOZLI,X,X
JTZILSO,O,X
JTZILOS,O,X
JTZISLO,O,X
JTZISOL,O,X
JTZIOLS,O,X
JTZIOSL,O,X
JTZLISO,O,X
JTZLIOS,O,X
JTZLSIO,O,X
JTZLSOI,O,X
JTZLOIS,O,X
JTZLOSI,O,X
JTZSILO,O,X
JTZSIOL,O,X
JTZSLIO,O,X
JTZSLOI,O,X
JTZSOIL,O,X
JTZSOLI,O,X
JTZOILS,O,X
JTZOISL,O,X
JTZOLIS,O,X
JTZOLSI,O,X
JTZOSIL,O,X
JTZOSLI,O,X
JTOILSZ,X,X
JTOILZS,O,X
JTOISLZ,X,X
JTOISZL,X,X
JTOIZLS,O,X
JTOIZSL,O,X
JTOLISZ,X,X
JTOLIZS,O,X
JTOLSIZ,X,X
JTOLSZI,X,X
JTOLZIS,O,X
JTOLZSI,O,X
JTOSILZ,X,X
JTOSIZL,X,X
JTOSLIZ,X,X
JTOSLZI,X,X
JTOSZIL,X,X
JTOSZLI,X,X
JTOZILS,O,X
JTOZISL,O,X
JTOZLIS,O,X
JTOZLSI,O,X
JTOZSIL,O,X
JTOZSLI,O,X
