sequence,v115@FhB8IeA8GeC8AeA8AeB8BeC8JeZEJvhFzfBfmB6mB0?iBesBFqB,v115@FhB8IeA8GeC8AeA8AeB8BeC8JeZEJvhFukB3gB1mB0?iBiqBzrB,v115@FhB8IeA8GeC8AeA8AeB8BeC8JeZEJvhFzfBGhBUmBi?nBFqBXsB,v115@FhB8IeA8GeC8AeA8AeB8BeC8JeZEJvhFFgB6mB0iBf?qBzlBesB,v115@FhB8IeA8GeC8AeA8AeB8BeC8JeZEJvhFXhB0iBzkBa?sBGrBFqB,v115@FhB8IeA8GeC8AeA8AeB8BeC8Jei/IvhFRhB1nBcpBO?qBXmBzrB
TJLZSOI,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X
TJLZOSI,X,X,X,X,X,X
TJLOISZ,X,X,X,X,X,X
TJLOIZS,X,X,X,X,X,X
TJLOSIZ,X,X,X,X,X,X
TJLOSZI,X,X,X,X,X,X
TJLOZIS,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X
TJSILZO,O,X,X,X,X,X
TJSILOZ,O,X,X,X,X,X
TJSIZLO,O,X,X,X,X,O
TJSIZOL,O,X,X,X,X,X
TJSIOLZ,O,X,X,X,X,X
TJSIOZL,O,X,X,X,X,X
TJSLIZO,O,X,X,X,X,X
TJSLIOZ,O,X,X,X,X,X
TJSLZIO,O,X,X,X,X,X
TJSLZOI,O,X,X,X,X,X
TJSLOIZ,O,X,X,X,X,X
TJSLOZI,O,X,X,X,X,X
TJSZILO,O,X,X,X,X,O
TJSZIOL,O,X,X,X,X,X
TJSZLIO,O,X,X,X,X,O
TJSZLOI,O,X,X,X,X,O
TJSZOIL,O,X,X,X,X,X
TJSZOLI,O,X,X,X,X,X
TJSOILZ,O,X,X,X,X,X
TJSOIZL,O,X,X,X,X,X
TJSOLIZ,O,X,X,X,X,X
TJSOLZI,O,X,X,X,X,X
TJSOZIL,O,X,X,X,X,X
TJSOZLI,O,X,X,X,X,X
TJZILSO,X,X,X,X,X,O
TJZILOS,X,X,X,X,X,X
TJZISLO,O,X,X,X,X,X
TJZISOL,O,X,X,X,X,X
TJZIOLS,X,X,X,X,X,X
TJZIOSL,O,X,X,X,X,X
TJZLISO,X,X,X,X,X,O
TJZLIOS,X,X,X,X,X,X
TJZLSIO,X,X,X,X,X,O
TJZLSOI,X,X,X,X,X,O
TJZLOIS,X,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X
TJZSILO,O,X,X,X,X,O
TJZSIOL,O,X,X,X,X,X
TJZSLIO,O,X,X,X,X,O
TJZSLOI,O,X,X,X,X,O
TJZSOIL,O,X,X,X,X,X
TJZSOLI,O,X,X,X,X,X
TJZOILS,X,X,X,X,X,X
TJZOISL,O,X,X,X,X,X
TJZOLIS,X,X,X,X,X,X
TJZOLSI,X,X,X,X,X,X
TJZOSIL,O,X,X,X,X,X
TJZOSLI,O,X,X,X,X,X
TJOILSZ,X,X,X,X,X,X
TJOILZS,X,X,X,X,X,X
TJOISLZ,O,X,X,X,X,X
TJOISZL,O,X,X,X,X,X
TJOIZLS,X,X,X,X,X,X
TJOIZSL,O,X,X,X,X,X
TJOLISZ,X,X,X,X,X,X
TJOLIZS,X,X,X,X,X,X
TJOLSIZ,X,X,X,X,X,X
TJOLSZI,X,X,X,X,X,X
TJOLZIS,X,X,X,X,X,X
TJOLZSI,X,X,X,X,X,X
TJOSILZ,O,X,X,X,X,X
TJOSIZL,O,X,X,X,X,X
TJOSLIZ,O,X,X,X,X,X
TJOSLZI,O,X,X,X,X,X
TJOSZIL,O,X,X,X,X,X
TJOSZLI,O,X,X,X,X,X
TJOZILS,X,X,X,X,X,X
TJOZISL,O,X,X,X,X,X
TJOZLIS,X,X,X,X,X,X
TJOZLSI,X,X,X,X,X,X
TJOZSIL,O,X,X,X,X,X
TJOZSLI,O,X,X,X,X,X
TSILJZO,O,X,X,X,X,X
TSILJOZ,O,X,X,X,X,X
TSILZJO,X,X,X,X,X,X
TSILZOJ,X,X,X,X,X,X
TSILOJZ,O,X,X,X,X,X
TSILOZJ,X,X,X,X,X,X
TSIJLZO,O,X,X,X,X,X
TSIJLOZ,O,X,X,X,X,X
TSIJZLO,O,X,X,X,X,X
TSIJZOL,O,X,X,X,X,X
TSIJOLZ,O,X,X,X,X,X
TSIJOZL,O,X,X,X,X,X
TSIZLJO,X,X,X,X,X,O
TSIZLOJ,X,X,X,X,X,X
TSIZJLO,X,X,X,X,X,X
TSIZJOL,X,X,X,X,X,X
TSIZOLJ,X,X,X,X,X,X
TSIZOJL,X,X,X,X,X,X
TSIOLJZ,O,X,X,X,X,X
TSIOLZJ,X,X,X,X,X,X
TSIOJLZ,O,X,X,X,X,X
TSIOJZL,O,X,X,X,X,X
TSIOZLJ,X,X,X,X,X,X
TSIOZJL,X,X,X,X,X,X
TSLIJZO,O,X,X,X,X,X
TSLIJOZ,O,X,X,X,X,X
TSLIZJO,X,X,X,X,X,X
TSLIZOJ,X,X,X,X,X,X
TSLIOJZ,O,X,X,X,X,X
TSLIOZJ,X,X,X,X,X,X
TSLJIZO,O,X,X,X,X,X
TSLJIOZ,O,X,X,X,X,X
TSLJZIO,O,X,X,X,X,X
TSLJZOI,O,X,X,X,X,X
TSLJOIZ,O,X,X,X,X,X
TSLJOZI,O,X,X,X,X,X
TSLZIJO,X,X,X,X,X,X
TSLZIOJ,X,X,X,X,X,X
TSLZJIO,X,X,X,X,X,X
TSLZJOI,X,X,X,X,X,X
TSLZOIJ,X,X,X,X,X,X
TSLZOJI,X,X,X,X,X,X
TSLOIJZ,O,X,X,X,X,X
TSLOIZJ,X,X,X,X,X,X
TSLOJIZ,O,X,X,X,X,X
TSLOJZI,O,X,X,X,X,X
TSLOZIJ,X,X,X,X,X,X
TSLOZJI,X,X,X,X,X,X
TSJILZO,O,X,X,X,X,X
TSJILOZ,O,X,X,X,X,X
TSJIZLO,O,X,X,X,X,O
TSJIZOL,O,X,X,X,X,X
TSJIOLZ,O,X,X,X,X,X
TSJIOZL,O,X,X,X,X,X
TSJLIZO,O,X,X,X,X,X
TSJLIOZ,O,X,X,X,X,X
TSJLZIO,O,X,X,X,X,X
TSJLZOI,O,X,X,X,X,X
TSJLOIZ,O,X,X,X,X,X
TSJLOZI,O,X,X,X,X,X
TSJZILO,O,X,X,X,X,O
TSJZIOL,O,X,X,X,X,X
TSJZLIO,O,X,X,X,X,O
TSJZLOI,O,X,X,X,X,O
TSJZOIL,O,X,X,X,X,X
TSJZOLI,O,X,X,X,X,X
TSJOILZ,O,X,X,X,X,X
TSJOIZL,O,X,X,X,X,X
TSJOLIZ,O,X,X,X,X,X
TSJOLZI,O,X,X,X,X,X
TSJOZIL,O,X,X,X,X,X
TSJOZLI,O,X,X,X,X,X
TSZILJO,X,X,X,X,X,O
TSZILOJ,X,X,X,X,X,X
TSZIJLO,X,X,X,X,X,X
TSZIJOL,X,X,X,X,X,X
TSZIOLJ,X,X,X,X,X,X
TSZIOJL,X,X,X,X,X,X
TSZLIJO,X,X,X,X,X,O
TSZLIOJ,X,X,X,X,X,X
TSZLJIO,X,X,X,X,X,X
TSZLJOI,X,X,X,X,X,X
TSZLOIJ,X,X,X,X,X,X
TSZLOJI,X,X,X,X,X,X
TSZJILO,X,X,X,X,X,O
TSZJIOL,X,X,X,X,X,X
TSZJLIO,X,X,X,X,X,O
TSZJLOI,X,X,X,X,X,O
TSZJOIL,X,X,X,X,X,X
TSZJOLI,X,X,X,X,X,X
TSZOILJ,X,X,X,X,X,X
TSZOIJL,X,X,X,X,X,X
TSZOLIJ,X,X,X,X,X,X
TSZOLJI,X,X,X,X,X,X
TSZOJIL,X,X,X,X,X,X
TSZOJLI,X,X,X,X,X,X
TSOILJZ,O,X,X,X,X,X
TSOILZJ,X,X,X,X,X,X
TSOIJLZ,O,X,X,X,X,X
TSOIJZL,O,X,X,X,X,X
TSOIZLJ,X,X,X,X,X,X
TSOIZJL,X,X,X,X,X,X
TSOLIJZ,O,X,X,X,X,X
TSOLIZJ,X,X,X,X,X,X
TSOLJIZ,O,X,X,X,X,X
TSOLJZI,O,X,X,X,X,X
TSOLZIJ,X,X,X,X,X,X
TSOLZJI,X,X,X,X,X,X
TSOJILZ,O,X,X,X,X,X
TSOJIZL,O,X,X,X,X,X
TSOJLIZ,O,X,X,X,X,X
TSOJLZI,O,X,X,X,X,X
TSOJZIL,O,X,X,X,X,X
TSOJZLI,O,X,X,X,X,X
TSOZILJ,X,X,X,X,X,X
TSOZIJL,X,X,X,X,X,X
TSOZLIJ,X,X,X,X,X,X
TSOZLJI,X,X,X,X,X,X
TSOZJIL,X,X,X,X,X,X
TSOZJLI,X,X,X,X,X,X
TZILJSO,X,X,X,X,X,O
TZILJOS,X,X,X,X,X,X
TZILSJO,X,X,X,X,X,O
TZILSOJ,X,X,X,X,X,X
TZILOJS,X,X,X,X,X,X
TZILOSJ,X,X,X,X,X,X
TZIJLSO,X,X,X,X,X,O
TZIJLOS,X,X,O,X,X,X
TZIJSLO,O,X,X,X,X,X
TZIJSOL,O,X,X,X,X,X
TZIJOLS,X,X,O,X,X,X
TZIJOSL,O,X,X,X,X,X
TZISLJO,X,X,X,X,X,X
TZISLOJ,X,X,X,X,X,X
TZISJLO,X,X,X,X,X,X
TZISJOL,X,X,X,X,X,X
TZISOLJ,X,X,X,X,X,X
TZISOJL,X,X,X,X,X,X
TZIOLJS,X,X,X,X,X,X
TZIOLSJ,X,X,X,X,X,X
TZIOJLS,X,X,O,X,X,X
TZIOJSL,O,X,X,X,X,X
TZIOSLJ,X,X,X,X,X,X
TZIOSJL,X,X,X,X,X,X
TZLIJSO,X,X,X,X,X,O
TZLIJOS,X,X,X,X,X,X
TZLISJO,X,X,X,X,X,O
TZLISOJ,X,X,X,X,X,X
TZLIOJS,X,X,X,X,X,X
TZLIOSJ,X,X,X,X,X,X
TZLJISO,X,X,X,X,X,O
TZLJIOS,X,X,X,X,X,X
TZLJSIO,X,X,X,X,X,O
TZLJSOI,X,X,X,X,X,O
TZLJOIS,X,X,X,X,X,X
TZLJOSI,X,X,X,X,X,X
TZLSIJO,X,X,X,X,X,O
TZLSIOJ,X,X,X,X,X,X
TZLSJIO,X,X,X,X,X,X
TZLSJOI,X,X,X,X,X,X
TZLSOIJ,X,X,X,X,X,X
TZLSOJI,X,X,X,X,X,X
TZLOIJS,X,X,X,X,X,X
TZLOISJ,X,X,X,X,X,X
TZLOJIS,X,X,X,X,X,X
TZLOJSI,X,X,X,X,X,X
TZLOSIJ,X,X,X,X,X,X
TZLOSJI,X,X,X,X,X,X
TZJILSO,X,X,X,X,X,O
TZJILOS,X,X,O,X,X,X
TZJISLO,O,X,X,X,X,X
TZJISOL,O,X,X,X,X,X
TZJIOLS,X,X,O,X,X,X
TZJIOSL,O,X,X,X,X,X
TZJLISO,X,X,X,X,X,O
TZJLIOS,X,X,O,X,X,X
TZJLSIO,X,X,X,X,X,O
TZJLSOI,X,X,X,X,X,O
TZJLOIS,X,X,O,X,X,X
TZJLOSI,X,X,X,X,X,X
TZJSILO,O,X,X,X,X,O
TZJSIOL,O,X,X,X,X,X
TZJSLIO,O,X,X,X,X,O
TZJSLOI,O,X,X,X,X,O
TZJSOIL,O,X,X,X,X,X
TZJSOLI,O,X,X,X,X,X
TZJOILS,X,X,O,X,X,X
TZJOISL,O,X,X,X,X,X
TZJOLIS,X,X,O,X,X,X
TZJOLSI,X,X,X,X,X,X
TZJOSIL,O,X,X,X,X,X
TZJOSLI,O,X,X,X,X,X
TZSILJO,X,X,X,X,X,O
TZSILOJ,X,X,X,X,X,X
TZSIJLO,X,X,X,X,X,X
TZSIJOL,X,X,X,X,X,X
TZSIOLJ,X,X,X,X,X,X
TZSIOJL,X,X,X,X,X,X
TZSLIJO,X,X,X,X,X,O
TZSLIOJ,X,X,X,X,X,X
TZSLJIO,X,X,X,X,X,X
TZSLJOI,X,X,X,X,X,X
TZSLOIJ,X,X,X,X,X,X
TZSLOJI,X,X,X,X,X,X
TZSJILO,X,X,X,X,X,O
TZSJIOL,X,X,X,X,X,X
TZSJLIO,X,X,X,X,X,O
TZSJLOI,X,X,X,X,X,O
TZSJOIL,X,X,X,X,X,X
TZSJOLI,X,X,X,X,X,X
TZSOILJ,X,X,X,X,X,X
TZSOIJL,X,X,X,X,X,X
TZSOLIJ,X,X,X,X,X,X
TZSOLJI,X,X,X,X,X,X
TZSOJIL,X,X,X,X,X,X
TZSOJLI,X,X,X,X,X,X
TZOILJS,X,X,X,X,X,X
TZOILSJ,X,X,X,X,X,X
TZOIJLS,X,X,O,X,X,X
TZOIJSL,O,X,X,X,X,X
TZOISLJ,X,X,X,X,X,X
TZOISJL,X,X,X,X,X,X
TZOLIJS,X,X,X,X,X,X
TZOLISJ,X,X,X,X,X,X
TZOLJIS,X,X,X,X,X,X
TZOLJSI,X,X,X,X,X,X
TZOLSIJ,X,X,X,X,X,X
TZOLSJI,X,X,X,X,X,X
TZOJILS,X,X,O,X,X,X
TZOJISL,O,X,X,X,X,X
TZOJLIS,X,X,O,X,X,X
TZOJLSI,X,X,X,X,X,X
TZOJSIL,O,X,X,X,X,X
TZOJSLI,O,X,X,X,X,X
TZOSILJ,X,X,X,X,X,X
TZOSIJL,X,X,X,X,X,X
TZOSLIJ,X,X,X,X,X,X
TZOSLJI,X,X,X,X,X,X
TZOSJIL,X,X,X,X,X,X
TZOSJLI,X,X,X,X,X,X
TOILJSZ,X,X,X,X,X,X
TOILJZS,X,X,X,X,X,X
TOILSJZ,X,X,X,X,X,X
TOILSZJ,X,X,X,X,X,X
TOILZJS,X,X,O,X,X,X
TOILZSJ,X,X,X,X,X,X
TOIJLSZ,X,X,X,X,X,X
TOIJLZS,X,X,X,X,X,X
TOIJSLZ,O,X,X,X,X,X
TOIJSZL,O,X,X,X,X,X
TOIJZLS,X,X,X,X,X,X
TOIJZSL,O,X,X,X,X,X
TOISLJZ,O,X,X,X,X,X
TOISLZJ,X,X,X,X,X,X
TOISJLZ,O,X,X,X,X,X
TOISJZL,O,X,X,X,X,X
TOISZLJ,X,X,X,X,X,X
TOISZJL,X,X,X,X,X,X
TOIZLJS,X,X,X,X,X,X
TOIZLSJ,X,X,X,X,X,X
TOIZJLS,X,X,O,X,X,X
TOIZJSL,O,X,X,X,X,X
TOIZSLJ,X,X,X,X,X,X
TOIZSJL,X,X,X,X,X,X
TOLIJSZ,X,X,X,X,X,X
TOLIJZS,X,X,X,X,X,X
TOLISJZ,X,X,X,X,X,X
TOLISZJ,X,X,X,X,X,X
TOLIZJS,X,X,O,X,X,X
TOLIZSJ,X,X,X,X,X,X
TOLJISZ,X,X,X,X,X,X
TOLJIZS,X,X,X,X,X,X
TOLJSIZ,X,X,X,X,X,X
TOLJSZI,X,X,X,X,X,X
TOLJZIS,X,X,X,X,X,X
TOLJZSI,X,X,X,X,X,X
TOLSIJZ,X,X,X,X,X,X
TOLSIZJ,X,X,X,X,X,X
TOLSJIZ,X,X,X,X,X,X
TOLSJZI,X,X,X,X,X,X
TOLSZIJ,X,X,X,X,X,X
TOLSZJI,X,X,X,X,X,X
TOLZIJS,X,X,O,X,X,X
TOLZISJ,X,X,X,X,X,X
TOLZJIS,X,X,O,X,X,X
TOLZJSI,X,X,X,X,X,X
TOLZSIJ,X,X,X,X,X,X
TOLZSJI,X,X,X,X,X,X
TOJILSZ,X,X,X,X,X,X
TOJILZS,X,X,X,X,X,X
TOJISLZ,O,X,X,X,X,X
TOJISZL,O,X,X,X,X,X
TOJIZLS,X,X,X,X,X,X
TOJIZSL,O,X,X,X,X,X
TOJLISZ,X,X,X,X,X,X
TOJLIZS,X,X,X,X,X,X
TOJLSIZ,X,X,X,X,X,X
TOJLSZI,X,X,X,X,X,X
TOJLZIS,X,X,X,X,X,X
TOJLZSI,X,X,X,X,X,X
TOJSILZ,O,X,X,X,X,X
TOJSIZL,O,X,X,X,X,X
TOJSLIZ,O,X,X,X,X,X
TOJSLZI,O,X,X,X,X,X
