sequence,v115@9gB8HeA8IeA8CeB8BeA8AeI8KeSKJvhEsnBXgBThBO?nBpoB
TSLOZJI,X
TSJILZO,X
TSJILOZ,X
TSJIZLO,X
TSJIZOL,X
TSJIOLZ,X
TSJIOZL,X
TSJLIZO,X
TSJLIOZ,X
TSJLZIO,X
TSJLZOI,X
TSJLOIZ,X
TSJLOZI,X
TSJZILO,X
TSJZIOL,X
TSJZLIO,X
TSJZLOI,X
TSJZOIL,X
TSJZOLI,X
TSJOILZ,X
TSJOIZL,X
TSJOLIZ,X
TSJOLZI,X
TSJOZIL,X
TSJOZLI,X
TSZILJO,X
TSZILOJ,X
TSZIJLO,X
TSZIJOL,X
TSZIOLJ,X
TSZIOJL,X
TSZLIJO,X
TSZLIOJ,X
TSZLJIO,X
TSZLJOI,X
TSZLOIJ,X
TSZLOJI,X
TSZJILO,X
TSZJIOL,X
TSZJLIO,X
TSZJLOI,X
TSZJOIL,X
TSZJOLI,X
TSZOILJ,X
TSZOIJL,X
TSZOLIJ,X
TSZOLJI,X
TSZOJIL,X
TSZOJLI,X
TSOILJZ,X
TSOILZJ,X
TSOIJLZ,X
TSOIJZL,X
TSOIZLJ,X
TSOIZJL,X
TSOLIJZ,X
TSOLIZJ,X
TSOLJIZ,X
TSOLJZI,X
TSOLZIJ,X
TSOLZJI,X
TSOJILZ,X
TSOJIZL,X
TSOJLIZ,X
TSOJLZI,X
TSOJZIL,X
TSOJZLI,X
TSOZILJ,X
TSOZIJL,X
TSOZLIJ,X
TSOZLJI,X
TSOZJIL,X
TSOZJLI,X
TZILJSO,O
TZILJOS,O
TZILSJO,O
TZILSOJ,O
TZILOJS,O
TZILOSJ,O
TZIJLSO,O
TZIJLOS,O
TZIJSLO,X
TZIJSOL,X
TZIJOLS,O
TZIJOSL,X
TZISLJO,X
TZISLOJ,X
TZISJLO,X
TZISJOL,X
TZISOLJ,X
TZISOJL,X
TZIOLJS,O
TZIOLSJ,O
TZIOJLS,O
TZIOJSL,X
TZIOSLJ,X
TZIOSJL,X
TZLIJSO,O
TZLIJOS,O
TZLISJO,O
TZLISOJ,O
TZLIOJS,O
TZLIOSJ,O
TZLJISO,O
TZLJIOS,O
TZLJSIO,O
TZLJSOI,O
TZLJOIS,O
TZLJOSI,O
TZLSIJO,O
TZLSIOJ,O
TZLSJIO,O
TZLSJOI,O
TZLSOIJ,O
TZLSOJI,O
TZLOIJS,O
TZLOISJ,O
TZLOJIS,O
TZLOJSI,O
TZLOSIJ,O
TZLOSJI,O
TZJILSO,O
TZJILOS,O
TZJISLO,X
TZJISOL,X
TZJIOLS,O
TZJIOSL,X
TZJLISO,O
TZJLIOS,O
TZJLSIO,O
TZJLSOI,O
TZJLOIS,O
TZJLOSI,O
TZJSILO,X
TZJSIOL,X
TZJSLIO,X
TZJSLOI,X
TZJSOIL,X
TZJSOLI,X
TZJOILS,O
TZJOISL,X
TZJOLIS,O
TZJOLSI,O
TZJOSIL,X
TZJOSLI,X
TZSILJO,X
TZSILOJ,X
TZSIJLO,X
TZSIJOL,X
TZSIOLJ,X
TZSIOJL,X
TZSLIJO,X
TZSLIOJ,X
TZSLJIO,X
TZSLJOI,X
TZSLOIJ,X
TZSLOJI,X
TZSJILO,X
TZSJIOL,X
TZSJLIO,X
TZSJLOI,X
TZSJOIL,X
TZSJOLI,X
TZSOILJ,X
TZSOIJL,X
TZSOLIJ,X
TZSOLJI,X
TZSOJIL,X
TZSOJLI,X
TZOILJS,O
TZOILSJ,O
TZOIJLS,O
TZOIJSL,X
TZOISLJ,X
TZOISJL,X
TZOLIJS,O
TZOLISJ,O
TZOLJIS,O
TZOLJSI,O
TZOLSIJ,O
TZOLSJI,O
TZOJILS,O
TZOJISL,X
TZOJLIS,O
TZOJLSI,O
TZOJSIL,X
TZOJSLI,X
TZOSILJ,X
TZOSIJL,X
TZOSLIJ,X
TZOSLJI,X
TZOSJIL,X
TZOSJLI,X
TOILJSZ,X
TOILJZS,X
TOILSJZ,X
TOILSZJ,O
TOILZJS,O
TOILZSJ,O
TOIJLSZ,X
TOIJLZS,X
TOIJSLZ,X
TOIJSZL,X
TOIJZLS,X
TOIJZSL,X
TOISLJZ,X
TOISLZJ,X
TOISJLZ,X
TOISJZL,X
TOISZLJ,X
TOISZJL,X
TOIZLJS,O
TOIZLSJ,O
TOIZJLS,O
TOIZJSL,X
TOIZSLJ,X
TOIZSJL,X
TOLIJSZ,X
TOLIJZS,X
TOLISJZ,X
TOLISZJ,O
TOLIZJS,O
TOLIZSJ,O
TOLJISZ,X
TOLJIZS,X
TOLJSIZ,X
TOLJSZI,X
TOLJZIS,X
TOLJZSI,X
TOLSIJZ,X
TOLSIZJ,O
TOLSJIZ,X
TOLSJZI,X
TOLSZIJ,O
TOLSZJI,O
TOLZIJS,O
TOLZISJ,O
TOLZJIS,O
TOLZJSI,O
TOLZSIJ,O
TOLZSJI,O
TOJILSZ,X
TOJILZS,X
TOJISLZ,X
TOJISZL,X
TOJIZLS,X
TOJIZSL,X
TOJLISZ,X
TOJLIZS,X
TOJLSIZ,X
TOJLSZI,X
TOJLZIS,X
TOJLZSI,X
TOJSILZ,X
TOJSIZL,X
TOJSLIZ,X
TOJSLZI,X
TOJSZIL,X
TOJSZLI,X
TOJZILS,X
TOJZISL,X
TOJZLIS,X
TOJZLSI,X
TOJZSIL,X
TOJZSLI,X
TOSILJZ,X
TOSILZJ,X
TOSIJLZ,X
TOSIJZL,X
TOSIZLJ,X
TOSIZJL,X
TOSLIJZ,X
TOSLIZJ,X
TOSLJIZ,X
TOSLJZI,X
TOSLZIJ,X
TOSLZJI,X
TOSJILZ,X
TOSJIZL,X
TOSJLIZ,X
TOSJLZI,X
TOSJZIL,X
TOSJZLI,X
TOSZILJ,X
TOSZIJL,X
TOSZLIJ,X
TOSZLJI,X
TOSZJIL,X
TOSZJLI,X
TOZILJS,O
TOZILSJ,O
TOZIJLS,O
TOZIJSL,X
TOZISLJ,X
TOZISJL,X
TOZLIJS,O
TOZLISJ,O
TOZLJIS,O
TOZLJSI,O
TOZLSIJ,O
TOZLSJI,O
TOZJILS,O
TOZJISL,X
TOZJLIS,O
TOZJLSI,O
TOZJSIL,X
TOZJSLI,X
TOZSILJ,X
TOZSIJL,X
TOZSLIJ,X
TOZSLJI,X
TOZSJIL,X
TOZSJLI,X
ITLJSZO,X
ITLJSOZ,X
ITLJZSO,X
ITLJZOS,X
ITLJOSZ,X
ITLJOZS,X
ITLSJZO,X
ITLSJOZ,X
ITLSZJO,O
ITLSZOJ,O
ITLSOJZ,X
ITLSOZJ,O
ITLZJSO,O
ITLZJOS,O
ITLZSJO,O
ITLZSOJ,O
ITLZOJS,O
ITLZOSJ,O
ITLOJSZ,X
ITLOJZS,X
ITLOSJZ,X
ITLOSZJ,O
ITLOZJS,O
ITLOZSJ,O
ITJLSZO,X
ITJLSOZ,X
ITJLZSO,X
ITJLZOS,X
ITJLOSZ,X
ITJLOZS,X
ITJSLZO,X
ITJSLOZ,X
ITJSZLO,X
ITJSZOL,X
ITJSOLZ,X
ITJSOZL,X
ITJZLSO,X
ITJZLOS,X
ITJZSLO,X
ITJZSOL,X
ITJZOLS,X
ITJZOSL,X
ITJOLSZ,X
ITJOLZS,X
ITJOSLZ,X
ITJOSZL,X
ITJOZLS,X
ITJOZSL,X
ITSLJZO,X
ITSLJOZ,X
ITSLZJO,X
ITSLZOJ,X
ITSLOJZ,X
ITSLOZJ,X
ITSJLZO,X
ITSJLOZ,X
ITSJZLO,X
ITSJZOL,X
ITSJOLZ,X
ITSJOZL,X
ITSZLJO,X
ITSZLOJ,X
ITSZJLO,X
ITSZJOL,X
ITSZOLJ,X
ITSZOJL,X
ITSOLJZ,X
ITSOLZJ,X
ITSOJLZ,X
ITSOJZL,X
ITSOZLJ,X
ITSOZJL,X
ITZLJSO,O
ITZLJOS,O
ITZLSJO,O
ITZLSOJ,O
ITZLOJS,O
ITZLOSJ,O
ITZJLSO,O
ITZJLOS,O
ITZJSLO,X
ITZJSOL,X
ITZJOLS,O
ITZJOSL,X
ITZSLJO,X
ITZSLOJ,X
ITZSJLO,X
ITZSJOL,X
ITZSOLJ,X
ITZSOJL,X
ITZOLJS,O
ITZOLSJ,O
ITZOJLS,O
ITZOJSL,X
ITZOSLJ,X
ITZOSJL,X
ITOLJSZ,X
ITOLJZS,X
ITOLSJZ,X
ITOLSZJ,O
ITOLZJS,O
ITOLZSJ,O
ITOJLSZ,X
ITOJLZS,X
ITOJSLZ,X
ITOJSZL,X
ITOJZLS,X
ITOJZSL,X
ITOSLJZ,X
ITOSLZJ,X
ITOSJLZ,X
ITOSJZL,X
ITOSZLJ,X
ITOSZJL,X
ITOZLJS,O
ITOZLSJ,O
ITOZJLS,O
ITOZJSL,X
ITOZSLJ,X
ITOZSJL,X
ILTJSZO,X
ILTJSOZ,X
ILTJZSO,X
ILTJZOS,X
ILTJOSZ,X
ILTJOZS,X
ILTSJZO,X
ILTSJOZ,X
ILTSZJO,O
ILTSZOJ,O
ILTSOJZ,X
ILTSOZJ,O
ILTZJSO,O
ILTZJOS,O
ILTZSJO,O
ILTZSOJ,O
ILTZOJS,O
ILTZOSJ,O
ILTOJSZ,X
ILTOJZS,X
ILTOSJZ,X
ILTOSZJ,O
ILTOZJS,O
ILTOZSJ,O
ILJTSZO,X
ILJTSOZ,X
ILJTZSO,X
ILJTZOS,X
ILJTOSZ,X
ILJTOZS,X
ILJSTZO,X
ILJSTOZ,X
ILJSZTO,O
ILJSZOT,O
ILJSOTZ,X
ILJSOZT,O
ILJZTSO,O
ILJZTOS,O
ILJZSTO,O
ILJZSOT,O
ILJZOTS,O
ILJZOST,O
ILJOTSZ,X
ILJOTZS,X
ILJOSTZ,X
ILJOSZT,O
ILJOZTS,O
ILJOZST,O
ILSTJZO,X
ILSTJOZ,X
ILSTZJO,O
ILSTZOJ,O
ILSTOJZ,X
ILSTOZJ,O
ILSJTZO,X
ILSJTOZ,X
ILSJZTO,O
ILSJZOT,O
ILSJOTZ,X
ILSJOZT,O
ILSZTJO,O
ILSZTOJ,O
ILSZJTO,O
ILSZJOT,O
ILSZOTJ,O
ILSZOJT,O
ILSOTJZ,X
ILSOTZJ,O
ILSOJTZ,X
ILSOJZT,O
ILSOZTJ,O
ILSOZJT,O
ILZTJSO,O
ILZTJOS,O
ILZTSJO,O
ILZTSOJ,O
ILZTOJS,O
ILZTOSJ,O
ILZJTSO,O
ILZJTOS,O
ILZJSTO,O
ILZJSOT,O
ILZJOTS,O
ILZJOST,O
ILZSTJO,O
ILZSTOJ,O
ILZSJTO,O
ILZSJOT,O
ILZSOTJ,O
ILZSOJT,O
ILZOTJS,O
ILZOTSJ,O
ILZOJTS,O
ILZOJST,O
ILZOSTJ,O
ILZOSJT,O
ILOTJSZ,X
ILOTJZS,X
ILOTSJZ,X
ILOTSZJ,O
ILOTZJS,O
ILOTZSJ,O
ILOJTSZ,X
ILOJTZS,X
ILOJSTZ,X
ILOJSZT,O
ILOJZTS,O
ILOJZST,O
ILOSTJZ,X
ILOSTZJ,O
ILOSJTZ,X
ILOSJZT,O
ILOSZTJ,O
ILOSZJT,O
ILOZTJS,O
ILOZTSJ,O
ILOZJTS,O
ILOZJST,O
ILOZSTJ,O
ILOZSJT,O
IJTLSZO,X
IJTLSOZ,X
IJTLZSO,X
IJTLZOS,X
IJTLOSZ,X
IJTLOZS,X
IJTSLZO,X
IJTSLOZ,X
IJTSZLO,X
IJTSZOL,X
IJTSOLZ,X
IJTSOZL,X
IJTZLSO,X
IJTZLOS,X
IJTZSLO,X
IJTZSOL,X
IJTZOLS,X
IJTZOSL,X
IJTOLSZ,X
IJTOLZS,X
IJTOSLZ,X
IJTOSZL,X
IJTOZLS,X
IJTOZSL,X
IJLTSZO,X
IJLTSOZ,X
IJLTZSO,X
IJLTZOS,X
IJLTOSZ,X
IJLTOZS,X
IJLSTZO,X
IJLSTOZ,X
IJLSZTO,O
IJLSZOT,O
IJLSOTZ,X
IJLSOZT,O
IJLZTSO,O
IJLZTOS,O
IJLZSTO,O
IJLZSOT,O
IJLZOTS,O
IJLZOST,O
IJLOTSZ,X
IJLOTZS,X
IJLOSTZ,X
IJLOSZT,O
IJLOZTS,O
IJLOZST,O
IJSTLZO,X
IJSTLOZ,X
IJSTZLO,X
IJSTZOL,X
IJSTOLZ,X
IJSTOZL,X
IJSLTZO,X
IJSLTOZ,X
IJSLZTO,X
IJSLZOT,X
IJSLOTZ,X
IJSLOZT,X
IJSZTLO,X
IJSZTOL,X
IJSZLTO,X
IJSZLOT,X
IJSZOTL,X
IJSZOLT,X
IJSOTLZ,X
IJSOTZL,X
IJSOLTZ,X
IJSOLZT,X
IJSOZTL,X
IJSOZLT,X
IJZTLSO,O
IJZTLOS,O
IJZTSLO,X
IJZTSOL,X
IJZTOLS,O
IJZTOSL,X
IJZLTSO,O
IJZLTOS,O
IJZLSTO,O
IJZLSOT,O
IJZLOTS,O
IJZLOST,O
IJZSTLO,X
IJZSTOL,X
IJZSLTO,O
IJZSLOT,O
IJZSOTL,X
IJZSOLT,O
IJZOTLS,O
IJZOTSL,X
IJZOLTS,O
IJZOLST,O
IJZOSTL,X
IJZOSLT,O
IJOTLSZ,X
IJOTLZS,X
IJOTSLZ,X
IJOTSZL,X
IJOTZLS,X
IJOTZSL,X
IJOLTSZ,X
IJOLTZS,X
IJOLSTZ,X
IJOLSZT,O
IJOLZTS,O
IJOLZST,O
IJOSTLZ,X
IJOSTZL,X
IJOSLTZ,X
IJOSLZT,X
IJOSZTL,X
IJOSZLT,X
IJOZTLS,O
IJOZTSL,X
IJOZLTS,O
IJOZLST,O
IJOZSTL,X
IJOZSLT,O
ISTLJZO,X
ISTLJOZ,X
ISTLZJO,X
ISTLZOJ,X
ISTLOJZ,X
ISTLOZJ,X
ISTJLZO,X
ISTJLOZ,X
ISTJZLO,X
ISTJZOL,X
ISTJOLZ,X
ISTJOZL,X
ISTZLJO,X
ISTZLOJ,X
ISTZJLO,X
ISTZJOL,X
ISTZOLJ,X
ISTZOJL,X
ISTOLJZ,X
ISTOLZJ,X
ISTOJLZ,X
ISTOJZL,X
ISTOZLJ,X
ISTOZJL,X
ISLTJZO,X
ISLTJOZ,X
ISLTZJO,O
ISLTZOJ,O
ISLTOJZ,X
ISLTOZJ,O
ISLJTZO,X
ISLJTOZ,X
ISLJZTO,O
ISLJZOT,O
ISLJOTZ,X
ISLJOZT,O
ISLZTJO,O
ISLZTOJ,O
ISLZJTO,O
ISLZJOT,O
ISLZOTJ,O
ISLZOJT,O
ISLOTJZ,X
ISLOTZJ,O
ISLOJTZ,X
ISLOJZT,O
ISLOZTJ,O
ISLOZJT,O
ISJTLZO,X
ISJTLOZ,X
ISJTZLO,X
ISJTZOL,X
ISJTOLZ,X
ISJTOZL,X
ISJLTZO,X
ISJLTOZ,X
ISJLZTO,X
ISJLZOT,X
ISJLOTZ,X
ISJLOZT,X
ISJZTLO,X
ISJZTOL,X
ISJZLTO,X
ISJZLOT,X
ISJZOTL,X
ISJZOLT,X
ISJOTLZ,X
ISJOTZL,X
ISJOLTZ,X
ISJOLZT,X
ISJOZTL,X
ISJOZLT,X
ISZTLJO,X
ISZTLOJ,X
ISZTJLO,X
ISZTJOL,X
ISZTOLJ,X
ISZTOJL,X
ISZLTJO,O
ISZLTOJ,O
ISZLJTO,O
ISZLJOT,O
ISZLOTJ,O
ISZLOJT,O
ISZJTLO,X
ISZJTOL,X
ISZJLTO,O
ISZJLOT,O
ISZJOTL,X
ISZJOLT,O
ISZOTLJ,X
ISZOTJL,X
ISZOLTJ,O
ISZOLJT,O
ISZOJTL,X
ISZOJLT,O
ISOTLJZ,X
ISOTLZJ,X
ISOTJLZ,X
ISOTJZL,X
ISOTZLJ,X
ISOTZJL,X
ISOLTJZ,X
ISOLTZJ,O
ISOLJTZ,X
ISOLJZT,O
ISOLZTJ,O
ISOLZJT,O
ISOJTLZ,X
ISOJTZL,X
ISOJLTZ,X
ISOJLZT,X
ISOJZTL,X
ISOJZLT,X
ISOZTLJ,X
ISOZTJL,X
ISOZLTJ,O
ISOZLJT,O
ISOZJTL,X
ISOZJLT,O
IZTLJSO,O
IZTLJOS,O
IZTLSJO,O
IZTLSOJ,O
IZTLOJS,O
IZTLOSJ,O
IZTJLSO,O
IZTJLOS,O
IZTJSLO,X
IZTJSOL,X
IZTJOLS,O
IZTJOSL,X
IZTSLJO,X
IZTSLOJ,X
IZTSJLO,X
IZTSJOL,X
IZTSOLJ,X
IZTSOJL,X
IZTOLJS,O
IZTOLSJ,O
IZTOJLS,O
IZTOJSL,X
IZTOSLJ,X
IZTOSJL,X
IZLTJSO,O
IZLTJOS,O
IZLTSJO,O
IZLTSOJ,O
IZLTOJS,O
IZLTOSJ,O
IZLJTSO,O
IZLJTOS,O
IZLJSTO,O
IZLJSOT,O
IZLJOTS,O
IZLJOST,O
IZLSTJO,O
IZLSTOJ,O
IZLSJTO,O
IZLSJOT,O
IZLSOTJ,O
IZLSOJT,O
IZLOTJS,O
IZLOTSJ,O
IZLOJTS,O
IZLOJST,O
IZLOSTJ,O
IZLOSJT,O
IZJTLSO,O
IZJTLOS,O
IZJTSLO,X
IZJTSOL,X
IZJTOLS,O
IZJTOSL,X
IZJLTSO,O
IZJLTOS,O
IZJLSTO,O
IZJLSOT,O
IZJLOTS,O
IZJLOST,O
IZJSTLO,X
IZJSTOL,X
IZJSLTO,O
IZJSLOT,O
IZJSOTL,X
IZJSOLT,O
IZJOTLS,O
IZJOTSL,X
IZJOLTS,O
IZJOLST,O
IZJOSTL,X
IZJOSLT,O
IZSTLJO,X
IZSTLOJ,X
IZSTJLO,X
IZSTJOL,X
IZSTOLJ,X
IZSTOJL,X
IZSLTJO,O
IZSLTOJ,O
IZSLJTO,O
IZSLJOT,O
IZSLOTJ,O
IZSLOJT,O
IZSJTLO,X
IZSJTOL,X
IZSJLTO,O
IZSJLOT,O
IZSJOTL,X
IZSJOLT,O
IZSOTLJ,X
IZSOTJL,X
IZSOLTJ,O
IZSOLJT,O
IZSOJTL,X
IZSOJLT,O
IZOTLJS,O
IZOTLSJ,O
IZOTJLS,O
IZOTJSL,X
IZOTSLJ,X
IZOTSJL,X
IZOLTJS,O
IZOLTSJ,O
IZOLJTS,O
IZOLJST,O
IZOLSTJ,O
IZOLSJT,O
IZOJTLS,O
IZOJTSL,X
IZOJLTS,O
IZOJLST,O
IZOJSTL,X
IZOJSLT,O
IZOSTLJ,X
IZOSTJL,X
IZOSLTJ,O
IZOSLJT,O
IZOSJTL,X
IZOSJLT,O
IOTLJSZ,X
IOTLJZS,X
IOTLSJZ,X
IOTLSZJ,O
IOTLZJS,O
IOTLZSJ,O
IOTJLSZ,X
IOTJLZS,X
IOTJSLZ,X
IOTJSZL,X
IOTJZLS,X
IOTJZSL,X
IOTSLJZ,X
IOTSLZJ,X
IOTSJLZ,X
IOTSJZL,X
IOTSZLJ,X
IOTSZJL,X
IOTZLJS,O
IOTZLSJ,O
IOTZJLS,O
IOTZJSL,X
IOTZSLJ,X
IOTZSJL,X
IOLTJSZ,X
IOLTJZS,X
IOLTSJZ,X
IOLTSZJ,O
IOLTZJS,O
IOLTZSJ,O
IOLJTSZ,X
IOLJTZS,X
IOLJSTZ,X
IOLJSZT,O
IOLJZTS,O
IOLJZST,O
IOLSTJZ,X
IOLSTZJ,O
IOLSJTZ,X
IOLSJZT,O
IOLSZTJ,O
IOLSZJT,O
IOLZTJS,O
IOLZTSJ,O
