sequence,v115@ygB8HeB8GeC8AeB8EeH8AeE8CeD8JezfIvhFKPBOQB?fZB8fBRhBtnB,v115@ygB8HeB8GeC8AeB8EeH8AeE8CeD8JeCqIvhFOQBTPB?fZB8fBRhBtnB
TLZJOSI,O,X
TLZSIJO,O,X
TLZSIOJ,O,X
TLZSJIO,O,X
TLZSJOI,O,X
TLZSOIJ,O,X
TLZSOJI,O,X
TLZOIJS,O,X
TLZOISJ,O,X
TLZOJIS,O,X
TLZOJSI,O,X
TLZOSIJ,O,X
TLZOSJI,O,X
TLOIJSZ,O,X
TLOIJZS,O,X
TLOISJZ,O,X
TLOISZJ,O,X
TLOIZJS,O,X
TLOIZSJ,O,X
TLOJISZ,O,X
TLOJIZS,O,X
TLOJSIZ,O,X
TLOJSZI,O,X
TLOJZIS,O,X
TLOJZSI,O,X
TLOSIJZ,O,X
TLOSIZJ,O,X
TLOSJIZ,O,X
TLOSJZI,O,X
TLOSZIJ,O,X
TLOSZJI,O,X
TLOZIJS,O,X
TLOZISJ,O,X
TLOZJIS,O,X
TLOZJSI,O,X
TLOZSIJ,O,X
TLOZSJI,O,X
TJILSZO,O,X
TJILSOZ,O,X
TJILZSO,O,X
TJILZOS,O,X
TJILOSZ,O,X
TJILOZS,O,X
TJISLZO,O,X
TJISLOZ,O,X
TJISZLO,O,O
TJISZOL,O,O
TJISOLZ,X,O
TJISOZL,X,O
TJIZLSO,O,X
TJIZLOS,O,X
TJIZSLO,O,O
TJIZSOL,O,O
TJIZOLS,X,O
TJIZOSL,X,O
TJIOLSZ,X,O
TJIOLZS,X,O
TJIOSLZ,X,O
TJIOSZL,X,O
TJIOZLS,X,O
TJIOZSL,X,O
TJLISZO,O,X
TJLISOZ,O,X
TJLIZSO,O,X
TJLIZOS,O,X
TJLIOSZ,O,X
TJLIOZS,O,X
TJLSIZO,O,X
TJLSIOZ,O,X
TJLSZIO,O,X
TJLSZOI,O,X
TJLSOIZ,O,X
TJLSOZI,O,X
TJLZISO,O,X
TJLZIOS,O,X
TJLZSIO,O,X
TJLZSOI,O,X
TJLZOIS,O,X
TJLZOSI,O,X
TJLOISZ,O,X
TJLOIZS,O,X
TJLOSIZ,O,X
TJLOSZI,O,X
TJLOZIS,O,X
TJLOZSI,O,X
TJSILZO,O,X
TJSILOZ,O,X
TJSIZLO,O,O
TJSIZOL,O,O
TJSIOLZ,X,O
TJSIOZL,X,O
TJSLIZO,O,X
TJSLIOZ,O,X
TJSLZIO,O,X
TJSLZOI,O,X
TJSLOIZ,O,X
TJSLOZI,O,X
TJSZILO,O,O
TJSZIOL,O,O
TJSZLIO,O,X
TJSZLOI,O,X
TJSZOIL,X,O
TJSZOLI,X,O
TJSOILZ,X,O
TJSOIZL,X,O
TJSOLIZ,X,O
TJSOLZI,X,O
TJSOZIL,X,O
TJSOZLI,X,O
TJZILSO,O,X
TJZILOS,O,X
TJZISLO,O,O
TJZISOL,O,O
TJZIOLS,X,O
TJZIOSL,X,O
TJZLISO,O,X
TJZLIOS,O,X
TJZLSIO,O,X
TJZLSOI,O,X
TJZLOIS,O,X
TJZLOSI,O,X
TJZSILO,O,O
TJZSIOL,O,O
TJZSLIO,O,X
TJZSLOI,O,X
TJZSOIL,X,O
TJZSOLI,X,O
TJZOILS,X,O
TJZOISL,X,O
TJZOLIS,X,O
TJZOLSI,X,O
TJZOSIL,X,O
TJZOSLI,X,O
TJOILSZ,X,O
TJOILZS,X,O
TJOISLZ,X,O
TJOISZL,X,O
TJOIZLS,X,O
TJOIZSL,X,O
TJOLISZ,X,O
TJOLIZS,X,O
TJOLSIZ,X,O
TJOLSZI,X,O
TJOLZIS,X,O
TJOLZSI,X,O
TJOSILZ,X,O
TJOSIZL,X,O
TJOSLIZ,X,O
TJOSLZI,X,O
TJOSZIL,X,O
TJOSZLI,X,O
TJOZILS,X,O
TJOZISL,X,O
TJOZLIS,X,O
TJOZLSI,X,O
TJOZSIL,X,O
TJOZSLI,X,O
TSILJZO,O,X
TSILJOZ,O,X
TSILZJO,O,X
TSILZOJ,O,X
TSILOJZ,O,X
TSILOZJ,O,X
TSIJLZO,O,X
TSIJLOZ,O,X
TSIJZLO,O,O
TSIJZOL,O,O
TSIJOLZ,X,O
TSIJOZL,X,O
TSIZLJO,O,O
TSIZLOJ,O,O
TSIZJLO,O,O
TSIZJOL,O,O
TSIZOLJ,O,O
TSIZOJL,O,O
TSIOLJZ,X,O
TSIOLZJ,X,O
TSIOJLZ,X,O
TSIOJZL,X,O
TSIOZLJ,X,O
TSIOZJL,X,O
TSLIJZO,O,X
TSLIJOZ,O,X
TSLIZJO,O,X
TSLIZOJ,O,X
TSLIOJZ,O,X
TSLIOZJ,O,X
TSLJIZO,O,X
TSLJIOZ,O,X
TSLJZIO,O,X
TSLJZOI,O,X
TSLJOIZ,O,X
TSLJOZI,O,X
TSLZIJO,O,X
TSLZIOJ,O,X
TSLZJIO,O,X
TSLZJOI,O,X
TSLZOIJ,O,X
TSLZOJI,O,X
TSLOIJZ,O,X
TSLOIZJ,O,X
TSLOJIZ,O,X
TSLOJZI,O,X
TSLOZIJ,O,X
TSLOZJI,O,X
TSJILZO,O,X
TSJILOZ,O,X
TSJIZLO,O,O
TSJIZOL,O,O
TSJIOLZ,X,O
TSJIOZL,X,O
TSJLIZO,O,X
TSJLIOZ,O,X
TSJLZIO,O,X
TSJLZOI,O,X
TSJLOIZ,O,X
TSJLOZI,O,X
TSJZILO,O,O
TSJZIOL,O,O
TSJZLIO,O,X
TSJZLOI,O,X
TSJZOIL,X,O
TSJZOLI,X,O
TSJOILZ,X,O
TSJOIZL,X,O
TSJOLIZ,X,O
TSJOLZI,X,O
TSJOZIL,X,O
TSJOZLI,X,O
TSZILJO,O,O
TSZILOJ,O,O
TSZIJLO,O,O
TSZIJOL,O,O
TSZIOLJ,O,O
TSZIOJL,O,O
TSZLIJO,O,X
TSZLIOJ,O,X
TSZLJIO,O,X
TSZLJOI,O,X
TSZLOIJ,O,X
TSZLOJI,O,X
TSZJILO,O,O
TSZJIOL,O,O
TSZJLIO,O,X
TSZJLOI,O,X
TSZJOIL,X,O
TSZJOLI,X,O
TSZOILJ,X,O
TSZOIJL,X,O
TSZOLIJ,X,O
TSZOLJI,X,O
TSZOJIL,X,O
TSZOJLI,X,O
TSOILJZ,X,O
TSOILZJ,X,O
TSOIJLZ,X,O
TSOIJZL,X,O
TSOIZLJ,X,O
TSOIZJL,X,O
TSOLIJZ,X,O
TSOLIZJ,X,O
TSOLJIZ,X,O
TSOLJZI,X,O
TSOLZIJ,X,O
TSOLZJI,X,O
TSOJILZ,X,O
TSOJIZL,X,O
TSOJLIZ,X,O
TSOJLZI,X,O
TSOJZIL,X,O
TSOJZLI,X,O
TSOZILJ,X,O
TSOZIJL,X,O
TSOZLIJ,X,O
TSOZLJI,X,O
TSOZJIL,X,O
TSOZJLI,X,O
TZILJSO,O,X
TZILJOS,O,X
TZILSJO,O,X
TZILSOJ,O,X
TZILOJS,O,X
TZILOSJ,O,X
TZIJLSO,O,X
TZIJLOS,O,X
TZIJSLO,O,O
TZIJSOL,O,O
TZIJOLS,X,O
TZIJOSL,X,O
TZISLJO,O,O
TZISLOJ,O,O
TZISJLO,O,O
TZISJOL,O,O
TZISOLJ,O,O
TZISOJL,O,O
TZIOLJS,X,O
TZIOLSJ,X,O
TZIOJLS,X,O
TZIOJSL,X,O
TZIOSLJ,X,O
TZIOSJL,X,O
TZLIJSO,O,X
TZLIJOS,O,X
TZLISJO,O,X
TZLISOJ,O,X
TZLIOJS,O,X
TZLIOSJ,O,X
TZLJISO,O,X
TZLJIOS,O,X
TZLJSIO,O,X
TZLJSOI,O,X
TZLJOIS,O,X
TZLJOSI,O,X
TZLSIJO,O,X
TZLSIOJ,O,X
TZLSJIO,O,X
TZLSJOI,O,X
TZLSOIJ,O,X
TZLSOJI,O,X
TZLOIJS,O,X
TZLOISJ,O,X
TZLOJIS,O,X
TZLOJSI,O,X
TZLOSIJ,O,X
TZLOSJI,O,X
TZJILSO,O,X
TZJILOS,O,X
TZJISLO,O,O
TZJISOL,O,O
TZJIOLS,X,O
TZJIOSL,X,O
TZJLISO,O,X
TZJLIOS,O,X
TZJLSIO,O,X
TZJLSOI,O,X
TZJLOIS,O,X
TZJLOSI,O,X
TZJSILO,O,O
TZJSIOL,O,O
TZJSLIO,O,X
TZJSLOI,O,X
TZJSOIL,X,O
TZJSOLI,X,O
TZJOILS,X,O
TZJOISL,X,O
TZJOLIS,X,O
TZJOLSI,X,O
TZJOSIL,X,O
TZJOSLI,X,O
TZSILJO,O,O
TZSILOJ,O,O
TZSIJLO,O,O
TZSIJOL,O,O
TZSIOLJ,O,O
TZSIOJL,O,O
TZSLIJO,O,X
TZSLIOJ,O,X
TZSLJIO,O,X
TZSLJOI,O,X
TZSLOIJ,O,X
TZSLOJI,O,X
TZSJILO,O,O
TZSJIOL,O,O
TZSJLIO,O,X
TZSJLOI,O,X
TZSJOIL,X,O
TZSJOLI,X,O
TZSOILJ,X,O
TZSOIJL,X,O
TZSOLIJ,X,O
TZSOLJI,X,O
TZSOJIL,X,O
TZSOJLI,X,O
TZOILJS,X,O
TZOILSJ,X,O
TZOIJLS,X,O
TZOIJSL,X,O
TZOISLJ,X,O
TZOISJL,X,O
TZOLIJS,X,O
TZOLISJ,X,O
TZOLJIS,X,O
TZOLJSI,X,O
TZOLSIJ,X,O
TZOLSJI,X,O
TZOJILS,X,O
TZOJISL,X,O
TZOJLIS,X,O
TZOJLSI,X,O
TZOJSIL,X,O
TZOJSLI,X,O
TZOSILJ,X,O
TZOSIJL,X,O
TZOSLIJ,X,O
TZOSLJI,X,O
TZOSJIL,X,O
TZOSJLI,X,O
TOILJSZ,X,O
TOILJZS,X,O
TOILSJZ,X,O
TOILSZJ,X,O
TOILZJS,X,O
TOILZSJ,X,O
TOIJLSZ,X,O
TOIJLZS,X,O
TOIJSLZ,X,O
TOIJSZL,X,O
TOIJZLS,X,O
TOIJZSL,X,O
TOISLJZ,X,O
TOISLZJ,X,O
TOISJLZ,X,O
TOISJZL,X,O
TOISZLJ,X,O
TOISZJL,X,O
TOIZLJS,X,O
TOIZLSJ,X,O
TOIZJLS,X,O
TOIZJSL,X,O
TOIZSLJ,X,O
TOIZSJL,X,O
TOLIJSZ,X,O
TOLIJZS,X,O
TOLISJZ,X,O
TOLISZJ,X,O
TOLIZJS,X,O
TOLIZSJ,X,O
TOLJISZ,X,O
TOLJIZS,X,O
TOLJSIZ,X,O
TOLJSZI,X,O
TOLJZIS,X,O
TOLJZSI,X,O
TOLSIJZ,X,O
TOLSIZJ,X,O
TOLSJIZ,X,O
TOLSJZI,X,O
TOLSZIJ,X,O
TOLSZJI,X,O
TOLZIJS,X,O
TOLZISJ,X,O
TOLZJIS,X,O
TOLZJSI,X,O
TOLZSIJ,X,O
TOLZSJI,X,O
TOJILSZ,X,O
TOJILZS,X,O
TOJISLZ,X,O
TOJISZL,X,O
TOJIZLS,X,O
TOJIZSL,X,O
TOJLISZ,X,O
TOJLIZS,X,O
TOJLSIZ,X,O
TOJLSZI,X,O
TOJLZIS,X,O
TOJLZSI,X,O
TOJSILZ,X,O
TOJSIZL,X,O
TOJSLIZ,X,O
TOJSLZI,X,O
TOJSZIL,X,O
TOJSZLI,X,O
TOJZILS,X,O
TOJZISL,X,O
TOJZLIS,X,O
TOJZLSI,X,O
TOJZSIL,X,O
TOJZSLI,X,O
TOSILJZ,X,O
TOSILZJ,X,O
TOSIJLZ,X,O
TOSIJZL,X,O
TOSIZLJ,X,O
TOSIZJL,X,O
TOSLIJZ,X,O
TOSLIZJ,X,O
TOSLJIZ,X,O
TOSLJZI,X,O
TOSLZIJ,X,O
TOSLZJI,X,O
TOSJILZ,X,O
TOSJIZL,X,O
TOSJLIZ,X,O
TOSJLZI,X,O
TOSJZIL,X,O
TOSJZLI,X,O
TOSZILJ,X,O
TOSZIJL,X,O
TOSZLIJ,X,O
TOSZLJI,X,O
TOSZJIL,X,O
TOSZJLI,X,O
TOZILJS,X,O
TOZILSJ,X,O
TOZIJLS,X,O
TOZIJSL,X,O
TOZISLJ,X,O
TOZISJL,X,O
TOZLIJS,X,O
TOZLISJ,X,O
TOZLJIS,X,O
TOZLJSI,X,O
TOZLSIJ,X,O
TOZLSJI,X,O
TOZJILS,X,O
TOZJISL,X,O
TOZJLIS,X,O
TOZJLSI,X,O
TOZJSIL,X,O
TOZJSLI,X,O
TOZSILJ,X,O
TOZSIJL,X,O
TOZSLIJ,X,O
TOZSLJI,X,O
TOZSJIL,X,O
TOZSJLI,X,O
ITLJSZO,O,X
ITLJSOZ,O,X
ITLJZSO,O,X
ITLJZOS,O,X
ITLJOSZ,O,X
ITLJOZS,O,X
ITLSJZO,O,X
ITLSJOZ,O,X
ITLSZJO,O,X
ITLSZOJ,O,X
ITLSOJZ,O,X
ITLSOZJ,O,X
ITLZJSO,O,X
ITLZJOS,O,X
ITLZSJO,O,X
ITLZSOJ,O,X
ITLZOJS,O,X
ITLZOSJ,O,X
ITLOJSZ,O,X
ITLOJZS,O,X
ITLOSJZ,O,X
ITLOSZJ,O,X
ITLOZJS,O,X
ITLOZSJ,O,X
ITJLSZO,O,X
ITJLSOZ,O,X
ITJLZSO,O,X
ITJLZOS,O,X
ITJLOSZ,O,X
ITJLOZS,O,X
ITJSLZO,O,X
ITJSLOZ,O,X
ITJSZLO,O,O
ITJSZOL,O,O
ITJSOLZ,X,O
ITJSOZL,X,O
ITJZLSO,O,X
ITJZLOS,O,X
ITJZSLO,O,O
ITJZSOL,O,O
ITJZOLS,X,O
ITJZOSL,X,O
ITJOLSZ,X,O
ITJOLZS,X,O
ITJOSLZ,X,O
ITJOSZL,X,O
ITJOZLS,X,O
ITJOZSL,X,O
ITSLJZO,O,X
ITSLJOZ,O,X
ITSLZJO,O,X
ITSLZOJ,O,X
ITSLOJZ,O,X
ITSLOZJ,O,X
ITSJLZO,O,X
ITSJLOZ,O,X
ITSJZLO,O,O
ITSJZOL,O,O
ITSJOLZ,X,O
ITSJOZL,X,O
ITSZLJO,O,O
ITSZLOJ,O,O
ITSZJLO,O,O
ITSZJOL,O,O
ITSZOLJ,O,O
ITSZOJL,O,O
ITSOLJZ,X,O
ITSOLZJ,X,O
ITSOJLZ,X,O
ITSOJZL,X,O
ITSOZLJ,X,O
ITSOZJL,X,O
ITZLJSO,O,X
ITZLJOS,O,X
ITZLSJO,O,X
ITZLSOJ,O,X
ITZLOJS,O,X
ITZLOSJ,O,X
ITZJLSO,O,X
ITZJLOS,O,X
ITZJSLO,O,O
ITZJSOL,O,O
ITZJOLS,X,O
ITZJOSL,X,O
ITZSLJO,O,O
ITZSLOJ,O,O
ITZSJLO,O,O
ITZSJOL,O,O
ITZSOLJ,O,O
ITZSOJL,O,O
ITZOLJS,X,O
ITZOLSJ,X,O
ITZOJLS,X,O
ITZOJSL,X,O
ITZOSLJ,X,O
ITZOSJL,X,O
ITOLJSZ,X,O
ITOLJZS,X,O
ITOLSJZ,X,O
ITOLSZJ,X,O
ITOLZJS,X,O
ITOLZSJ,X,O
ITOJLSZ,X,O
ITOJLZS,X,O
ITOJSLZ,X,O
ITOJSZL,X,O
ITOJZLS,X,O
ITOJZSL,X,O
ITOSLJZ,X,O
ITOSLZJ,X,O
ITOSJLZ,X,O
ITOSJZL,X,O
ITOSZLJ,X,O
ITOSZJL,X,O
ITOZLJS,X,O
ITOZLSJ,X,O
ITOZJLS,X,O
ITOZJSL,X,O
ITOZSLJ,X,O
ITOZSJL,X,O
ILTJSZO,O,X
ILTJSOZ,O,X
ILTJZSO,O,X
ILTJZOS,O,X
ILTJOSZ,O,X
ILTJOZS,O,X
ILTSJZO,O,X
ILTSJOZ,O,X
ILTSZJO,O,X
ILTSZOJ,O,X
ILTSOJZ,O,X
ILTSOZJ,O,X
ILTZJSO,O,X
ILTZJOS,O,X
ILTZSJO,O,X
ILTZSOJ,O,X
ILTZOJS,O,X
ILTZOSJ,O,X
ILTOJSZ,O,X
ILTOJZS,O,X
ILTOSJZ,O,X
ILTOSZJ,O,X
ILTOZJS,O,X
ILTOZSJ,O,X
ILJTSZO,O,X
ILJTSOZ,O,X
ILJTZSO,O,X
ILJTZOS,O,X
ILJTOSZ,O,X
ILJTOZS,O,X
ILJSTZO,O,X
ILJSTOZ,O,X
ILJSZTO,O,O
ILJSZOT,O,O
ILJSOTZ,O,O
ILJSOZT,O,O
ILJZTSO,O,X
ILJZTOS,O,X
ILJZSTO,O,O
ILJZSOT,O,O
ILJZOTS,O,O
ILJZOST,O,O
ILJOTSZ,O,O
ILJOTZS,O,O
ILJOSTZ,O,O
ILJOSZT,O,O
ILJOZTS,O,O
ILJOZST,O,O
ILSTJZO,O,X
ILSTJOZ,O,X
ILSTZJO,O,X
ILSTZOJ,O,X
ILSTOJZ,O,X
ILSTOZJ,O,X
ILSJTZO,O,X
ILSJTOZ,O,X
ILSJZTO,O,O
ILSJZOT,O,O
ILSJOTZ,O,O
ILSJOZT,O,O
ILSZTJO,O,O
ILSZTOJ,O,O
ILSZJTO,O,O
ILSZJOT,O,O
ILSZOTJ,O,O
ILSZOJT,O,O
ILSOTJZ,O,O
ILSOTZJ,O,O
ILSOJTZ,O,O
ILSOJZT,O,O
ILSOZTJ,O,O
ILSOZJT,O,O
ILZTJSO,O,X
ILZTJOS,O,X
ILZTSJO,O,X
ILZTSOJ,O,X
ILZTOJS,O,X
ILZTOSJ,O,X
ILZJTSO,O,X
ILZJTOS,O,X
ILZJSTO,O,O
ILZJSOT,O,O
ILZJOTS,O,O
ILZJOST,O,O
ILZSTJO,O,O
ILZSTOJ,O,O
ILZSJTO,O,O
ILZSJOT,O,O
ILZSOTJ,O,O
ILZSOJT,O,O
ILZOTJS,O,O
ILZOTSJ,O,O
ILZOJTS,O,O
ILZOJST,O,O
ILZOSTJ,O,O
ILZOSJT,O,O
ILOTJSZ,O,O
ILOTJZS,O,O
ILOTSJZ,O,O
ILOTSZJ,O,O
ILOTZJS,O,O
ILOTZSJ,O,O
ILOJTSZ,O,O
ILOJTZS,O,O
ILOJSTZ,O,O
ILOJSZT,O,O
ILOJZTS,O,O
ILOJZST,O,O
ILOSTJZ,O,O
ILOSTZJ,O,O
ILOSJTZ,O,O
ILOSJZT,O,O
ILOSZTJ,O,O
ILOSZJT,O,O
ILOZTJS,O,O
ILOZTSJ,O,O
ILOZJTS,O,O
ILOZJST,O,O
ILOZSTJ,O,O
ILOZSJT,O,O
IJTLSZO,O,X
IJTLSOZ,O,X
IJTLZSO,O,X
IJTLZOS,O,X
IJTLOSZ,O,X
IJTLOZS,O,X
IJTSLZO,O,X
IJTSLOZ,O,X
IJTSZLO,O,O
IJTSZOL,O,O
IJTSOLZ,X,O
IJTSOZL,X,O
IJTZLSO,O,X
IJTZLOS,O,X
IJTZSLO,O,O
IJTZSOL,O,O
IJTZOLS,X,O
IJTZOSL,X,O
IJTOLSZ,X,O
IJTOLZS,X,O
IJTOSLZ,X,O
IJTOSZL,X,O
IJTOZLS,X,O
IJTOZSL,X,O
IJLTSZO,O,X
IJLTSOZ,O,X
IJLTZSO,O,X
IJLTZOS,O,X
IJLTOSZ,O,X
IJLTOZS,O,X
IJLSTZO,O,X
IJLSTOZ,O,X
IJLSZTO,O,O
IJLSZOT,O,O
IJLSOTZ,O,O
IJLSOZT,O,O
IJLZTSO,O,X
IJLZTOS,O,X
IJLZSTO,O,O
IJLZSOT,O,O
IJLZOTS,O,O
IJLZOST,O,O
IJLOTSZ,O,O
IJLOTZS,O,O
IJLOSTZ,O,O
IJLOSZT,O,O
IJLOZTS,O,O
IJLOZST,O,O
IJSTLZO,O,X
IJSTLOZ,O,X
IJSTZLO,O,O
IJSTZOL,O,O
IJSTOLZ,X,O
IJSTOZL,X,O
IJSLTZO,O,X
IJSLTOZ,O,X
IJSLZTO,O,O
IJSLZOT,O,O
IJSLOTZ,O,O
IJSLOZT,O,O
IJSZTLO,O,O
IJSZTOL,O,O
IJSZLTO,O,O
IJSZLOT,O,O
IJSZOTL,O,O
IJSZOLT,O,O
IJSOTLZ,X,O
IJSOTZL,X,O
IJSOLTZ,O,O
IJSOLZT,O,O
IJSOZTL,O,O
IJSOZLT,O,O
IJZTLSO,O,X
IJZTLOS,O,X
IJZTSLO,O,O
IJZTSOL,O,O
IJZTOLS,X,O
IJZTOSL,X,O
IJZLTSO,O,X
IJZLTOS,O,X
IJZLSTO,O,O
IJZLSOT,O,O
IJZLOTS,O,O
IJZLOST,O,O
IJZSTLO,O,O
IJZSTOL,O,O
IJZSLTO,O,O
IJZSLOT,O,O
IJZSOTL,O,O
IJZSOLT,O,O
IJZOTLS,X,O
IJZOTSL,X,O
IJZOLTS,O,O
IJZOLST,O,O
IJZOSTL,O,O
IJZOSLT,O,O
IJOTLSZ,X,O
IJOTLZS,X,O
IJOTSLZ,X,O
IJOTSZL,X,O
IJOTZLS,X,O
IJOTZSL,X,O
IJOLTSZ,O,O
IJOLTZS,O,O
IJOLSTZ,O,O
IJOLSZT,O,O
IJOLZTS,O,O
IJOLZST,O,O
IJOSTLZ,X,O
IJOSTZL,X,O
IJOSLTZ,O,O
IJOSLZT,O,O
IJOSZTL,O,O
IJOSZLT,O,O
IJOZTLS,X,O
IJOZTSL,X,O
IJOZLTS,O,O
IJOZLST,O,O
IJOZSTL,O,O
IJOZSLT,O,O
ISTLJZO,O,X
ISTLJOZ,O,X
ISTLZJO,O,X
ISTLZOJ,O,X
ISTLOJZ,O,X
ISTLOZJ,O,X
ISTJLZO,O,X
ISTJLOZ,O,X
ISTJZLO,O,O
ISTJZOL,O,O
ISTJOLZ,X,O
ISTJOZL,X,O
ISTZLJO,O,O
ISTZLOJ,O,O
ISTZJLO,O,O
ISTZJOL,O,O
ISTZOLJ,O,O
ISTZOJL,O,O
ISTOLJZ,X,O
ISTOLZJ,X,O
ISTOJLZ,X,O
ISTOJZL,X,O
ISTOZLJ,X,O
ISTOZJL,X,O
ISLTJZO,O,X
ISLTJOZ,O,X
ISLTZJO,O,X
ISLTZOJ,O,X
ISLTOJZ,O,X
ISLTOZJ,O,X
ISLJTZO,O,X
ISLJTOZ,O,X
ISLJZTO,O,O
ISLJZOT,O,O
ISLJOTZ,O,O
ISLJOZT,O,O
ISLZTJO,O,O
ISLZTOJ,O,O
ISLZJTO,O,O
ISLZJOT,O,O
ISLZOTJ,O,O
ISLZOJT,O,O
ISLOTJZ,O,O
ISLOTZJ,O,O
ISLOJTZ,O,O
ISLOJZT,O,O
ISLOZTJ,O,O
ISLOZJT,O,O
