sequence,v115@vhG5+I/kBVnByqB2uBUsBTtB
TSJIZLO,X
TSJIZOL,X
TSJIOLZ,X
TSJIOZL,X
TSJLIZO,X
TSJLIOZ,X
TSJLZIO,X
TSJLZOI,X
TSJLOIZ,X
TSJLOZI,X
TSJZILO,X
TSJZIOL,X
TSJZLIO,X
TSJZLOI,X
TSJZOIL,X
TSJZOLI,X
TSJOILZ,X
TSJOIZL,X
TSJOLIZ,X
TSJOLZI,X
TSJOZIL,X
TSJOZLI,X
TSZILJO,X
TSZILOJ,X
TSZIJLO,X
TSZIJOL,X
TSZIOLJ,X
TSZIOJL,X
TSZLIJO,X
TSZLIOJ,X
TSZLJIO,X
TSZLJOI,X
TSZLOIJ,X
TSZLOJI,X
TSZJILO,X
TSZJIOL,X
TSZJLIO,X
TSZJLOI,X
TSZJOIL,X
TSZJOLI,X
TSZOILJ,X
TSZOIJL,X
TSZOLIJ,X
TSZOLJI,X
TSZOJIL,X
TSZOJLI,X
TSOILJZ,X
TSOILZJ,X
TSOIJLZ,X
TSOIJZL,X
TSOIZLJ,X
TSOIZJL,X
TSOLIJZ,X
TSOLIZJ,X
TSOLJIZ,X
TSOLJZI,X
TSOLZIJ,X
TSOLZJI,X
TSOJILZ,X
TSOJIZL,X
TSOJLIZ,X
TSOJLZI,X
TSOJZIL,X
TSOJZLI,X
TSOZILJ,X
TSOZIJL,X
TSOZLIJ,X
TSOZLJI,X
TSOZJIL,X
TSOZJLI,X
TZILJSO,X
TZILJOS,X
TZILSJO,X
TZILSOJ,X
TZILOJS,X
TZILOSJ,X
TZIJLSO,O
TZIJLOS,O
TZIJSLO,O
TZIJSOL,O
TZIJOLS,O
TZIJOSL,O
TZISLJO,X
TZISLOJ,X
TZISJLO,X
TZISJOL,X
TZISOLJ,X
TZISOJL,X
TZIOLJS,O
TZIOLSJ,X
TZIOJLS,O
TZIOJSL,O
TZIOSLJ,X
TZIOSJL,O
TZLIJSO,X
TZLIJOS,X
TZLISJO,X
TZLISOJ,X
TZLIOJS,X
TZLIOSJ,X
TZLJISO,O
TZLJIOS,O
TZLJSIO,O
TZLJSOI,O
TZLJOIS,O
TZLJOSI,O
TZLSIJO,X
TZLSIOJ,X
TZLSJIO,X
TZLSJOI,X
TZLSOIJ,X
TZLSOJI,X
TZLOIJS,O
TZLOISJ,X
TZLOJIS,O
TZLOJSI,O
TZLOSIJ,X
TZLOSJI,X
TZJILSO,O
TZJILOS,O
TZJISLO,O
TZJISOL,O
TZJIOLS,O
TZJIOSL,O
TZJLISO,O
TZJLIOS,O
TZJLSIO,O
TZJLSOI,O
TZJLOIS,O
TZJLOSI,O
TZJSILO,O
TZJSIOL,O
TZJSLIO,O
TZJSLOI,O
TZJSOIL,O
TZJSOLI,O
TZJOILS,O
TZJOISL,O
TZJOLIS,O
TZJOLSI,O
TZJOSIL,O
TZJOSLI,O
TZSILJO,X
TZSILOJ,X
TZSIJLO,X
TZSIJOL,X
TZSIOLJ,X
TZSIOJL,X
TZSLIJO,X
TZSLIOJ,X
TZSLJIO,X
TZSLJOI,X
TZSLOIJ,X
TZSLOJI,X
TZSJILO,O
TZSJIOL,O
TZSJLIO,O
TZSJLOI,O
TZSJOIL,O
TZSJOLI,O
TZSOILJ,X
TZSOIJL,O
TZSOLIJ,X
TZSOLJI,X
TZSOJIL,O
TZSOJLI,O
TZOILJS,O
TZOILSJ,X
TZOIJLS,O
TZOIJSL,O
TZOISLJ,X
TZOISJL,O
TZOLIJS,O
TZOLISJ,X
TZOLJIS,O
TZOLJSI,O
TZOLSIJ,X
TZOLSJI,X
TZOJILS,O
TZOJISL,O
TZOJLIS,O
TZOJLSI,O
TZOJSIL,O
TZOJSLI,O
TZOSILJ,X
TZOSIJL,O
TZOSLIJ,X
TZOSLJI,X
TZOSJIL,O
TZOSJLI,O
TOILJSZ,X
TOILJZS,X
TOILSJZ,X
TOILSZJ,X
TOILZJS,X
TOILZSJ,X
TOIJLSZ,O
TOIJLZS,O
TOIJSLZ,O
TOIJSZL,O
TOIJZLS,O
TOIJZSL,O
TOISLJZ,X
TOISLZJ,X
TOISJLZ,X
TOISJZL,X
TOISZLJ,X
TOISZJL,X
TOIZLJS,O
TOIZLSJ,X
TOIZJLS,O
TOIZJSL,O
TOIZSLJ,X
TOIZSJL,O
TOLIJSZ,X
TOLIJZS,X
TOLISJZ,X
TOLISZJ,X
TOLIZJS,X
TOLIZSJ,X
TOLJISZ,X
TOLJIZS,X
TOLJSIZ,X
TOLJSZI,X
TOLJZIS,X
TOLJZSI,X
TOLSIJZ,X
TOLSIZJ,X
TOLSJIZ,X
TOLSJZI,X
TOLSZIJ,X
TOLSZJI,X
TOLZIJS,X
TOLZISJ,X
TOLZJIS,X
TOLZJSI,X
TOLZSIJ,X
TOLZSJI,X
TOJILSZ,O
TOJILZS,O
TOJISLZ,O
TOJISZL,O
TOJIZLS,O
TOJIZSL,O
TOJLISZ,O
TOJLIZS,O
TOJLSIZ,O
TOJLSZI,O
TOJLZIS,O
TOJLZSI,O
TOJSILZ,O
TOJSIZL,O
TOJSLIZ,O
TOJSLZI,O
TOJSZIL,O
TOJSZLI,O
TOJZILS,O
TOJZISL,O
TOJZLIS,O
TOJZLSI,O
TOJZSIL,O
TOJZSLI,O
TOSILJZ,X
TOSILZJ,X
TOSIJLZ,X
TOSIJZL,X
TOSIZLJ,X
TOSIZJL,X
TOSLIJZ,X
TOSLIZJ,X
TOSLJIZ,X
TOSLJZI,X
TOSLZIJ,X
TOSLZJI,X
TOSJILZ,X
TOSJIZL,X
TOSJLIZ,X
TOSJLZI,X
TOSJZIL,X
TOSJZLI,X
TOSZILJ,X
TOSZIJL,X
TOSZLIJ,X
TOSZLJI,X
TOSZJIL,X
TOSZJLI,X
TOZILJS,O
TOZILSJ,X
TOZIJLS,O
TOZIJSL,O
TOZISLJ,X
TOZISJL,O
TOZLIJS,O
TOZLISJ,X
TOZLJIS,O
TOZLJSI,O
TOZLSIJ,X
TOZLSJI,X
TOZJILS,O
TOZJISL,O
TOZJLIS,O
TOZJLSI,O
TOZJSIL,O
TOZJSLI,O
TOZSILJ,X
TOZSIJL,O
TOZSLIJ,X
TOZSLJI,X
TOZSJIL,O
TOZSJLI,O
ITLJSZO,X
ITLJSOZ,X
ITLJZSO,X
ITLJZOS,X
ITLJOSZ,X
ITLJOZS,X
ITLSJZO,X
ITLSJOZ,X
ITLSZJO,X
ITLSZOJ,X
ITLSOJZ,X
ITLSOZJ,X
ITLZJSO,X
ITLZJOS,X
ITLZSJO,X
ITLZSOJ,X
ITLZOJS,X
ITLZOSJ,X
ITLOJSZ,X
ITLOJZS,X
ITLOSJZ,X
ITLOSZJ,X
ITLOZJS,X
ITLOZSJ,X
ITJLSZO,X
ITJLSOZ,X
ITJLZSO,X
ITJLZOS,X
ITJLOSZ,X
ITJLOZS,X
ITJSLZO,X
ITJSLOZ,X
ITJSZLO,X
ITJSZOL,X
ITJSOLZ,X
ITJSOZL,X
ITJZLSO,X
ITJZLOS,X
ITJZSLO,X
ITJZSOL,X
ITJZOLS,X
ITJZOSL,X
ITJOLSZ,X
ITJOLZS,X
ITJOSLZ,X
ITJOSZL,X
ITJOZLS,X
ITJOZSL,X
ITSLJZO,X
ITSLJOZ,X
ITSLZJO,X
ITSLZOJ,X
ITSLOJZ,X
ITSLOZJ,X
ITSJLZO,X
ITSJLOZ,X
ITSJZLO,X
ITSJZOL,X
ITSJOLZ,X
ITSJOZL,X
ITSZLJO,X
ITSZLOJ,X
ITSZJLO,X
ITSZJOL,X
ITSZOLJ,X
ITSZOJL,X
ITSOLJZ,X
ITSOLZJ,X
ITSOJLZ,X
ITSOJZL,X
ITSOZLJ,X
ITSOZJL,X
ITZLJSO,X
ITZLJOS,X
ITZLSJO,X
ITZLSOJ,X
ITZLOJS,X
ITZLOSJ,X
ITZJLSO,X
ITZJLOS,X
ITZJSLO,X
ITZJSOL,X
ITZJOLS,X
ITZJOSL,X
ITZSLJO,X
ITZSLOJ,X
ITZSJLO,X
ITZSJOL,X
ITZSOLJ,X
ITZSOJL,X
ITZOLJS,X
ITZOLSJ,X
ITZOJLS,X
ITZOJSL,X
ITZOSLJ,X
ITZOSJL,X
ITOLJSZ,X
ITOLJZS,X
ITOLSJZ,X
ITOLSZJ,X
ITOLZJS,X
ITOLZSJ,X
ITOJLSZ,X
ITOJLZS,X
ITOJSLZ,X
ITOJSZL,X
ITOJZLS,X
ITOJZSL,X
ITOSLJZ,X
ITOSLZJ,X
ITOSJLZ,X
ITOSJZL,X
ITOSZLJ,X
ITOSZJL,X
ITOZLJS,X
ITOZLSJ,X
ITOZJLS,X
ITOZJSL,X
ITOZSLJ,X
ITOZSJL,X
ILTJSZO,X
ILTJSOZ,X
ILTJZSO,X
ILTJZOS,X
ILTJOSZ,X
ILTJOZS,X
ILTSJZO,X
ILTSJOZ,X
ILTSZJO,X
ILTSZOJ,X
ILTSOJZ,X
ILTSOZJ,X
ILTZJSO,X
ILTZJOS,X
ILTZSJO,X
ILTZSOJ,X
ILTZOJS,X
ILTZOSJ,X
ILTOJSZ,X
ILTOJZS,X
ILTOSJZ,X
ILTOSZJ,X
ILTOZJS,X
ILTOZSJ,X
ILJTSZO,X
ILJTSOZ,X
ILJTZSO,X
ILJTZOS,X
ILJTOSZ,X
ILJTOZS,X
ILJSTZO,X
ILJSTOZ,X
ILJSZTO,X
ILJSZOT,X
ILJSOTZ,X
ILJSOZT,X
ILJZTSO,X
ILJZTOS,X
ILJZSTO,X
ILJZSOT,X
ILJZOTS,X
ILJZOST,X
ILJOTSZ,X
ILJOTZS,X
ILJOSTZ,X
ILJOSZT,X
ILJOZTS,X
ILJOZST,X
ILSTJZO,X
ILSTJOZ,X
ILSTZJO,X
ILSTZOJ,X
ILSTOJZ,X
ILSTOZJ,X
ILSJTZO,X
ILSJTOZ,X
ILSJZTO,X
ILSJZOT,X
ILSJOTZ,X
ILSJOZT,X
ILSZTJO,X
ILSZTOJ,X
ILSZJTO,X
ILSZJOT,X
ILSZOTJ,X
ILSZOJT,X
ILSOTJZ,X
ILSOTZJ,X
ILSOJTZ,X
ILSOJZT,X
ILSOZTJ,X
ILSOZJT,X
ILZTJSO,X
ILZTJOS,X
ILZTSJO,X
ILZTSOJ,X
ILZTOJS,X
ILZTOSJ,X
ILZJTSO,X
ILZJTOS,X
ILZJSTO,X
ILZJSOT,X
ILZJOTS,X
ILZJOST,X
ILZSTJO,X
ILZSTOJ,X
ILZSJTO,X
ILZSJOT,X
ILZSOTJ,X
ILZSOJT,X
ILZOTJS,X
ILZOTSJ,X
ILZOJTS,X
ILZOJST,X
ILZOSTJ,X
ILZOSJT,X
ILOTJSZ,X
ILOTJZS,X
ILOTSJZ,X
ILOTSZJ,X
ILOTZJS,X
ILOTZSJ,X
ILOJTSZ,X
ILOJTZS,X
ILOJSTZ,X
ILOJSZT,X
ILOJZTS,X
ILOJZST,X
ILOSTJZ,X
ILOSTZJ,X
ILOSJTZ,X
ILOSJZT,X
ILOSZTJ,X
ILOSZJT,X
ILOZTJS,X
ILOZTSJ,X
ILOZJTS,X
ILOZJST,X
ILOZSTJ,X
ILOZSJT,X
IJTLSZO,X
IJTLSOZ,X
IJTLZSO,X
IJTLZOS,X
IJTLOSZ,X
IJTLOZS,X
IJTSLZO,X
IJTSLOZ,X
IJTSZLO,X
IJTSZOL,X
IJTSOLZ,X
IJTSOZL,X
IJTZLSO,X
IJTZLOS,X
IJTZSLO,X
IJTZSOL,X
IJTZOLS,X
IJTZOSL,X
IJTOLSZ,X
IJTOLZS,X
IJTOSLZ,X
IJTOSZL,X
IJTOZLS,X
IJTOZSL,X
IJLTSZO,X
IJLTSOZ,X
IJLTZSO,X
IJLTZOS,X
IJLTOSZ,X
IJLTOZS,X
IJLSTZO,X
IJLSTOZ,X
IJLSZTO,O
IJLSZOT,O
IJLSOTZ,O
IJLSOZT,O
IJLZTSO,O
IJLZTOS,O
IJLZSTO,O
IJLZSOT,O
IJLZOTS,O
IJLZOST,O
IJLOTSZ,O
IJLOTZS,O
IJLOSTZ,O
IJLOSZT,O
IJLOZTS,O
IJLOZST,O
IJSTLZO,X
IJSTLOZ,X
IJSTZLO,X
IJSTZOL,X
IJSTOLZ,X
IJSTOZL,X
IJSLTZO,X
IJSLTOZ,X
IJSLZTO,O
IJSLZOT,O
IJSLOTZ,O
IJSLOZT,O
IJSZTLO,O
IJSZTOL,O
IJSZLTO,O
IJSZLOT,O
IJSZOTL,O
IJSZOLT,O
IJSOTLZ,O
IJSOTZL,O
IJSOLTZ,O
IJSOLZT,O
IJSOZTL,O
IJSOZLT,O
IJZTLSO,O
IJZTLOS,O
IJZTSLO,O
IJZTSOL,O
IJZTOLS,O
IJZTOSL,O
IJZLTSO,O
IJZLTOS,O
IJZLSTO,O
IJZLSOT,O
IJZLOTS,O
IJZLOST,O
IJZSTLO,O
IJZSTOL,O
IJZSLTO,O
IJZSLOT,O
IJZSOTL,O
IJZSOLT,O
IJZOTLS,O
IJZOTSL,O
IJZOLTS,O
IJZOLST,O
IJZOSTL,O
IJZOSLT,O
IJOTLSZ,O
IJOTLZS,O
IJOTSLZ,O
IJOTSZL,O
IJOTZLS,O
IJOTZSL,O
IJOLTSZ,O
IJOLTZS,O
IJOLSTZ,O
IJOLSZT,O
IJOLZTS,O
IJOLZST,O
IJOSTLZ,O
IJOSTZL,O
IJOSLTZ,O
IJOSLZT,O
IJOSZTL,O
IJOSZLT,O
IJOZTLS,O
IJOZTSL,O
IJOZLTS,O
IJOZLST,O
IJOZSTL,O
IJOZSLT,O
ISTLJZO,X
ISTLJOZ,X
ISTLZJO,X
ISTLZOJ,X
ISTLOJZ,X
ISTLOZJ,X
ISTJLZO,X
ISTJLOZ,X
ISTJZLO,X
ISTJZOL,X
ISTJOLZ,X
ISTJOZL,X
ISTZLJO,X
ISTZLOJ,X
ISTZJLO,X
ISTZJOL,X
ISTZOLJ,X
ISTZOJL,X
ISTOLJZ,X
ISTOLZJ,X
ISTOJLZ,X
ISTOJZL,X
ISTOZLJ,X
ISTOZJL,X
ISLTJZO,X
ISLTJOZ,X
ISLTZJO,X
ISLTZOJ,X
ISLTOJZ,X
ISLTOZJ,X
ISLJTZO,X
ISLJTOZ,X
ISLJZTO,X
ISLJZOT,X
ISLJOTZ,X
ISLJOZT,X
ISLZTJO,X
ISLZTOJ,X
ISLZJTO,X
ISLZJOT,X
ISLZOTJ,X
ISLZOJT,X
ISLOTJZ,X
ISLOTZJ,X
ISLOJTZ,X
ISLOJZT,X
ISLOZTJ,X
ISLOZJT,X
ISJTLZO,X
ISJTLOZ,X
ISJTZLO,X
ISJTZOL,X
ISJTOLZ,X
ISJTOZL,X
ISJLTZO,X
ISJLTOZ,X
ISJLZTO,X
ISJLZOT,X
ISJLOTZ,X
ISJLOZT,X
ISJZTLO,X
ISJZTOL,X
ISJZLTO,X
ISJZLOT,X
ISJZOTL,X
ISJZOLT,X
ISJOTLZ,X
ISJOTZL,X
ISJOLTZ,X
ISJOLZT,X
ISJOZTL,X
ISJOZLT,X
ISZTLJO,X
ISZTLOJ,X
ISZTJLO,X
ISZTJOL,X
ISZTOLJ,X
ISZTOJL,X
ISZLTJO,X
ISZLTOJ,X
ISZLJTO,X
ISZLJOT,X
ISZLOTJ,X
ISZLOJT,X
ISZJTLO,X
ISZJTOL,X
ISZJLTO,X
ISZJLOT,X
ISZJOTL,X
ISZJOLT,X
ISZOTLJ,X
ISZOTJL,X
ISZOLTJ,X
ISZOLJT,X
ISZOJTL,X
ISZOJLT,X
ISOTLJZ,X
ISOTLZJ,X
ISOTJLZ,X
ISOTJZL,X
ISOTZLJ,X
ISOTZJL,X
ISOLTJZ,X
ISOLTZJ,X
ISOLJTZ,X
ISOLJZT,X
ISOLZTJ,X
ISOLZJT,X
ISOJTLZ,X
ISOJTZL,X
ISOJLTZ,X
ISOJLZT,X
ISOJZTL,X
ISOJZLT,X
ISOZTLJ,X
ISOZTJL,X
ISOZLTJ,X
ISOZLJT,X
ISOZJTL,X
ISOZJLT,X
IZTLJSO,X
IZTLJOS,X
IZTLSJO,X
IZTLSOJ,X
IZTLOJS,X
IZTLOSJ,X
IZTJLSO,O
IZTJLOS,O
IZTJSLO,O
IZTJSOL,O
IZTJOLS,O
IZTJOSL,O
IZTSLJO,X
IZTSLOJ,X
IZTSJLO,X
IZTSJOL,X
IZTSOLJ,X
IZTSOJL,X
IZTOLJS,O
IZTOLSJ,X
IZTOJLS,O
IZTOJSL,O
IZTOSLJ,X
IZTOSJL,O
IZLTJSO,X
IZLTJOS,X
IZLTSJO,X
IZLTSOJ,X
IZLTOJS,X
IZLTOSJ,X
IZLJTSO,X
IZLJTOS,X
IZLJSTO,X
IZLJSOT,X
IZLJOTS,X
IZLJOST,X
IZLSTJO,X
IZLSTOJ,X
IZLSJTO,X
IZLSJOT,X
IZLSOTJ,X
IZLSOJT,X
IZLOTJS,X
IZLOTSJ,X
IZLOJTS,X
IZLOJST,X
IZLOSTJ,X
IZLOSJT,X
IZJTLSO,O
IZJTLOS,O
IZJTSLO,O
IZJTSOL,O
IZJTOLS,O
IZJTOSL,O
IZJLTSO,O
IZJLTOS,O
IZJLSTO,O
IZJLSOT,O
IZJLOTS,O
IZJLOST,O
IZJSTLO,O
IZJSTOL,O
IZJSLTO,O
IZJSLOT,O
IZJSOTL,O
IZJSOLT,O
IZJOTLS,O
IZJOTSL,O
IZJOLTS,O
IZJOLST,O
IZJOSTL,O
IZJOSLT,O
IZSTLJO,X
IZSTLOJ,X
IZSTJLO,X
IZSTJOL,X
IZSTOLJ,X
IZSTOJL,X
IZSLTJO,X
IZSLTOJ,X
IZSLJTO,X
IZSLJOT,X
IZSLOTJ,X
IZSLOJT,X
IZSJTLO,X
IZSJTOL,X
IZSJLTO,X
IZSJLOT,X
IZSJOTL,X
IZSJOLT,X
IZSOTLJ,X
IZSOTJL,X
IZSOLTJ,X
IZSOLJT,X
IZSOJTL,X
IZSOJLT,X
IZOTLJS,O
IZOTLSJ,X
IZOTJLS,O
IZOTJSL,O
IZOTSLJ,X
IZOTSJL,O
IZOLTJS,O
IZOLTSJ,X
IZOLJTS,O
IZOLJST,O
IZOLSTJ,X
IZOLSJT,X
IZOJTLS,O
IZOJTSL,O
IZOJLTS,O
IZOJLST,O
IZOJSTL,O
IZOJSLT,O
IZOSTLJ,X
IZOSTJL,O
IZOSLTJ,X
IZOSLJT,X
IZOSJTL,O
IZOSJLT,O
IOTLJSZ,X
IOTLJZS,X
IOTLSJZ,X
IOTLSZJ,X
IOTLZJS,X
IOTLZSJ,X
IOTJLSZ,O
IOTJLZS,O
IOTJSLZ,O
IOTJSZL,O
IOTJZLS,O
IOTJZSL,O
IOTSLJZ,X
IOTSLZJ,X
IOTSJLZ,X
IOTSJZL,X
IOTSZLJ,X
IOTSZJL,X
IOTZLJS,O
IOTZLSJ,X
IOTZJLS,O
IOTZJSL,O
IOTZSLJ,X
IOTZSJL,O
IOLTJSZ,X
IOLTJZS,X
IOLTSJZ,X
IOLTSZJ,X
IOLTZJS,X
IOLTZSJ,X
IOLJTSZ,O
IOLJTZS,O
IOLJSTZ,O
IOLJSZT,O
IOLJZTS,O
IOLJZST,O
IOLSTJZ,X
IOLSTZJ,X
IOLSJTZ,X
IOLSJZT,X
IOLSZTJ,X
IOLSZJT,X
IOLZTJS,O
IOLZTSJ,X
IOLZJTS,O
IOLZJST,O
IOLZSTJ,X
IOLZSJT,X
IOJTLSZ,O
