sequence,v115@QhA8AeB8AeA8CeB8AeD8CeB8JeZEJvhFzfBulBFiBX?jB0mBSxB,v115@QhA8AeB8AeA8CeB8AeD8CeB8JeZEJvhFCgB0hBXjBl?lBTnBWxB,v115@QhA8AeB8AeA8CeB8AeD8CeB8Jex/IvhF0hBXjBOpBl?lBCsBTsB,v115@QhA8AeB8AeA8CeB8AeD8CeB8Jex/IvhF0hBXjBOpBl?lB6sBzrB
TJLSZOI,X,X,O,X
TJLSOIZ,X,X,X,X
TJLSOZI,X,X,X,X
TJLZISO,X,O,O,X
TJLZIOS,X,X,X,X
TJLZSIO,X,O,O,X
TJLZSOI,X,X,O,X
TJLZOIS,X,X,X,X
TJLZOSI,X,X,X,X
TJLOISZ,X,X,X,X
TJLOIZS,X,X,X,X
TJLOSIZ,X,X,X,X
TJLOSZI,X,X,X,X
TJLOZIS,X,X,X,X
TJLOZSI,X,X,X,X
TJSILZO,X,O,O,X
TJSILOZ,X,X,X,X
TJSIZLO,X,O,O,O
TJSIZOL,X,X,X,O
TJSIOLZ,X,X,X,X
TJSIOZL,X,X,X,O
TJSLIZO,X,O,O,X
TJSLIOZ,X,X,X,X
TJSLZIO,X,O,O,X
TJSLZOI,X,X,O,X
TJSLOIZ,X,X,X,X
TJSLOZI,X,X,X,X
TJSZILO,X,O,O,O
TJSZIOL,X,X,X,O
TJSZLIO,X,O,O,O
TJSZLOI,X,X,O,X
TJSZOIL,X,X,X,O
TJSZOLI,X,X,X,O
TJSOILZ,X,X,X,X
TJSOIZL,X,X,X,O
TJSOLIZ,X,X,X,X
TJSOLZI,X,X,X,X
TJSOZIL,X,X,X,O
TJSOZLI,X,X,X,O
TJZILSO,X,O,O,X
TJZILOS,X,X,X,X
TJZISLO,X,O,O,O
TJZISOL,X,X,X,O
TJZIOLS,X,X,X,X
TJZIOSL,X,X,X,X
TJZLISO,X,O,O,X
TJZLIOS,X,X,X,X
TJZLSIO,X,O,O,X
TJZLSOI,X,X,O,X
TJZLOIS,X,X,X,X
TJZLOSI,X,X,X,X
TJZSILO,X,O,O,O
TJZSIOL,X,X,X,O
TJZSLIO,X,O,O,O
TJZSLOI,X,X,O,X
TJZSOIL,X,X,X,O
TJZSOLI,X,X,X,O
TJZOILS,X,X,X,X
TJZOISL,X,X,X,X
TJZOLIS,X,X,X,X
TJZOLSI,X,X,X,X
TJZOSIL,X,X,X,X
TJZOSLI,X,X,X,X
TJOILSZ,X,X,X,X
TJOILZS,X,X,X,X
TJOISLZ,X,X,X,X
TJOISZL,X,X,X,O
TJOIZLS,X,X,X,X
TJOIZSL,X,X,X,O
TJOLISZ,X,X,X,X
TJOLIZS,X,X,X,X
TJOLSIZ,X,X,X,X
TJOLSZI,X,X,X,X
TJOLZIS,X,X,X,X
TJOLZSI,X,X,X,X
TJOSILZ,X,X,X,X
TJOSIZL,X,X,X,O
TJOSLIZ,X,X,X,X
TJOSLZI,X,X,X,X
TJOSZIL,X,X,X,O
TJOSZLI,X,X,X,O
TJOZILS,X,X,X,X
TJOZISL,X,X,X,O
TJOZLIS,X,X,X,X
TJOZLSI,X,X,X,X
TJOZSIL,X,X,X,O
TJOZSLI,X,X,X,O
TSILJZO,X,O,X,X
TSILJOZ,X,X,X,X
TSILZJO,X,O,X,X
TSILZOJ,X,X,X,X
TSILOJZ,X,X,X,X
TSILOZJ,X,X,X,X
TSIJLZO,X,O,X,X
TSIJLOZ,X,X,X,X
TSIJZLO,X,O,X,X
TSIJZOL,X,X,X,X
TSIJOLZ,X,X,X,X
TSIJOZL,X,X,X,X
TSIZLJO,X,O,X,X
TSIZLOJ,X,X,X,X
TSIZJLO,X,X,X,X
TSIZJOL,X,X,X,X
TSIZOLJ,X,X,X,X
TSIZOJL,X,X,X,X
TSIOLJZ,X,X,X,X
TSIOLZJ,X,X,X,X
TSIOJLZ,X,X,X,X
TSIOJZL,X,X,X,X
TSIOZLJ,X,X,X,X
TSIOZJL,X,X,X,X
TSLIJZO,X,O,X,X
TSLIJOZ,X,X,X,X
TSLIZJO,X,O,X,X
TSLIZOJ,X,X,X,X
TSLIOJZ,X,X,X,X
TSLIOZJ,X,X,X,X
TSLJIZO,X,O,O,X
TSLJIOZ,X,X,X,X
TSLJZIO,X,O,O,X
TSLJZOI,X,X,O,X
TSLJOIZ,X,X,X,X
TSLJOZI,X,X,X,X
TSLZIJO,X,O,X,X
TSLZIOJ,X,X,X,X
TSLZJIO,X,X,O,X
TSLZJOI,X,X,O,X
TSLZOIJ,X,X,X,X
TSLZOJI,X,X,X,X
TSLOIJZ,X,X,X,X
TSLOIZJ,X,X,X,X
TSLOJIZ,X,X,X,X
TSLOJZI,X,X,X,X
TSLOZIJ,X,X,X,X
TSLOZJI,X,X,X,X
TSJILZO,X,O,O,X
TSJILOZ,X,X,X,X
TSJIZLO,X,O,O,O
TSJIZOL,X,X,X,O
TSJIOLZ,X,X,X,X
TSJIOZL,X,X,X,O
TSJLIZO,X,O,O,X
TSJLIOZ,X,X,X,X
TSJLZIO,X,O,O,X
TSJLZOI,X,X,O,X
TSJLOIZ,X,X,X,X
TSJLOZI,X,X,X,X
TSJZILO,X,O,O,O
TSJZIOL,X,X,X,O
TSJZLIO,X,O,O,O
TSJZLOI,X,X,O,X
TSJZOIL,X,X,X,O
TSJZOLI,X,X,X,O
TSJOILZ,X,X,X,X
TSJOIZL,X,X,X,O
TSJOLIZ,X,X,X,X
TSJOLZI,X,X,X,X
TSJOZIL,X,X,X,O
TSJOZLI,X,X,X,O
TSZILJO,X,O,X,X
TSZILOJ,X,X,X,X
TSZIJLO,X,X,X,X
TSZIJOL,X,X,X,X
TSZIOLJ,X,X,X,X
TSZIOJL,X,X,X,X
TSZLIJO,X,O,X,X
TSZLIOJ,X,X,X,X
TSZLJIO,X,X,X,X
TSZLJOI,X,X,X,X
TSZLOIJ,X,X,X,X
TSZLOJI,X,X,X,X
TSZJILO,X,X,O,O
TSZJIOL,X,X,X,O
TSZJLIO,X,X,O,O
TSZJLOI,X,X,O,X
TSZJOIL,X,X,X,O
TSZJOLI,X,X,X,O
TSZOILJ,X,X,X,X
TSZOIJL,X,X,X,X
TSZOLIJ,X,X,X,X
TSZOLJI,X,X,X,X
TSZOJIL,X,X,X,X
TSZOJLI,X,X,X,X
TSOILJZ,X,X,X,X
TSOILZJ,X,X,X,X
TSOIJLZ,X,X,X,X
TSOIJZL,X,X,X,X
TSOIZLJ,X,X,X,X
TSOIZJL,X,X,X,X
TSOLIJZ,X,X,X,X
TSOLIZJ,X,X,X,X
TSOLJIZ,X,X,X,X
TSOLJZI,X,X,X,X
TSOLZIJ,X,X,X,X
TSOLZJI,X,X,X,X
TSOJILZ,X,X,X,X
TSOJIZL,X,X,X,O
TSOJLIZ,X,X,X,X
TSOJLZI,X,X,X,X
TSOJZIL,X,X,X,O
TSOJZLI,X,X,X,O
TSOZILJ,X,X,X,X
TSOZIJL,X,X,X,X
TSOZLIJ,X,X,X,X
TSOZLJI,X,X,X,X
TSOZJIL,X,X,X,O
TSOZJLI,X,X,X,O
TZILJSO,X,O,X,X
TZILJOS,X,X,X,X
TZILSJO,X,O,X,X
TZILSOJ,X,X,X,X
TZILOJS,X,X,X,X
TZILOSJ,X,X,X,X
TZIJLSO,X,O,X,X
TZIJLOS,X,X,X,X
TZIJSLO,X,O,X,X
TZIJSOL,X,X,X,X
TZIJOLS,X,X,X,X
TZIJOSL,X,X,X,X
TZISLJO,X,O,X,X
TZISLOJ,X,X,X,X
TZISJLO,X,X,X,X
TZISJOL,X,X,X,X
TZISOLJ,X,X,X,X
TZISOJL,X,X,X,X
TZIOLJS,X,X,X,X
TZIOLSJ,X,X,X,X
TZIOJLS,X,X,X,X
TZIOJSL,X,X,X,X
TZIOSLJ,X,X,X,X
TZIOSJL,X,X,X,X
TZLIJSO,X,O,X,X
TZLIJOS,X,X,X,X
TZLISJO,X,O,X,X
TZLISOJ,X,X,X,X
TZLIOJS,X,X,X,X
TZLIOSJ,X,X,X,X
TZLJISO,X,O,O,X
TZLJIOS,X,X,X,X
TZLJSIO,X,O,O,X
TZLJSOI,X,X,O,X
TZLJOIS,X,X,X,X
TZLJOSI,X,X,X,X
TZLSIJO,X,O,X,X
TZLSIOJ,X,X,X,X
TZLSJIO,X,X,O,X
TZLSJOI,X,X,O,X
TZLSOIJ,X,X,X,X
TZLSOJI,X,X,X,X
TZLOIJS,X,X,X,X
TZLOISJ,X,X,X,X
TZLOJIS,X,X,X,X
TZLOJSI,X,X,X,X
TZLOSIJ,X,X,X,X
TZLOSJI,X,X,X,X
TZJILSO,X,O,O,X
TZJILOS,X,X,X,X
TZJISLO,X,O,O,O
TZJISOL,X,X,X,O
TZJIOLS,X,X,X,X
TZJIOSL,X,X,X,X
TZJLISO,X,O,O,X
TZJLIOS,X,X,X,X
TZJLSIO,X,O,O,X
TZJLSOI,X,X,O,X
TZJLOIS,X,X,X,X
TZJLOSI,X,X,X,X
TZJSILO,X,O,O,O
TZJSIOL,X,X,X,O
TZJSLIO,X,O,O,O
TZJSLOI,X,X,O,X
TZJSOIL,X,X,X,O
TZJSOLI,X,X,X,O
TZJOILS,X,X,X,X
TZJOISL,X,X,X,X
TZJOLIS,X,X,X,X
TZJOLSI,X,X,X,X
TZJOSIL,X,X,X,X
TZJOSLI,X,X,X,X
TZSILJO,X,O,X,X
TZSILOJ,X,X,X,X
TZSIJLO,X,X,X,X
TZSIJOL,X,X,X,X
TZSIOLJ,X,X,X,X
TZSIOJL,X,X,X,X
TZSLIJO,X,O,X,X
TZSLIOJ,X,X,X,X
TZSLJIO,X,X,X,X
TZSLJOI,X,X,X,X
TZSLOIJ,X,X,X,X
TZSLOJI,X,X,X,X
TZSJILO,X,X,O,O
TZSJIOL,X,X,X,O
TZSJLIO,X,X,O,O
TZSJLOI,X,X,O,X
TZSJOIL,X,X,X,O
TZSJOLI,X,X,X,O
TZSOILJ,X,X,X,X
TZSOIJL,X,X,X,X
TZSOLIJ,X,X,X,X
TZSOLJI,X,X,X,X
TZSOJIL,X,X,X,X
TZSOJLI,X,X,X,X
TZOILJS,X,X,X,X
TZOILSJ,X,X,X,X
TZOIJLS,X,X,X,X
TZOIJSL,X,X,X,X
TZOISLJ,X,X,X,X
TZOISJL,X,X,X,X
TZOLIJS,X,X,X,X
TZOLISJ,X,X,X,X
TZOLJIS,X,X,X,X
TZOLJSI,X,X,X,X
TZOLSIJ,X,X,X,X
TZOLSJI,X,X,X,X
TZOJILS,X,X,X,X
TZOJISL,X,X,X,X
TZOJLIS,X,X,X,X
TZOJLSI,X,X,X,X
TZOJSIL,X,X,X,X
TZOJSLI,X,X,X,X
TZOSILJ,X,X,X,X
TZOSIJL,X,X,X,X
TZOSLIJ,X,X,X,X
TZOSLJI,X,X,X,X
TZOSJIL,X,X,X,X
TZOSJLI,X,X,X,X
TOILJSZ,X,X,X,X
TOILJZS,X,X,X,X
TOILSJZ,X,X,X,X
TOILSZJ,X,X,X,X
TOILZJS,X,X,X,X
TOILZSJ,X,X,X,X
TOIJLSZ,X,X,X,X
TOIJLZS,X,X,X,X
TOIJSLZ,X,X,X,X
TOIJSZL,X,X,X,X
TOIJZLS,X,X,X,X
TOIJZSL,X,X,X,X
TOISLJZ,X,X,X,X
TOISLZJ,X,X,X,X
TOISJLZ,X,X,X,X
TOISJZL,X,X,X,X
TOISZLJ,X,X,X,X
TOISZJL,X,X,X,X
TOIZLJS,X,X,X,X
TOIZLSJ,X,X,X,X
TOIZJLS,X,X,X,X
TOIZJSL,X,X,X,X
TOIZSLJ,X,X,X,X
TOIZSJL,X,X,X,X
TOLIJSZ,X,X,X,X
TOLIJZS,X,X,X,X
TOLISJZ,X,X,X,X
TOLISZJ,X,X,X,X
TOLIZJS,X,X,X,X
TOLIZSJ,X,X,X,X
TOLJISZ,X,X,X,X
TOLJIZS,X,X,X,X
TOLJSIZ,X,X,X,X
TOLJSZI,X,X,X,X
TOLJZIS,X,X,X,X
TOLJZSI,X,X,X,X
TOLSIJZ,X,X,X,X
TOLSIZJ,X,X,X,X
TOLSJIZ,X,X,X,X
TOLSJZI,X,X,X,X
TOLSZIJ,X,X,X,X
TOLSZJI,X,X,X,X
TOLZIJS,X,X,X,X
TOLZISJ,X,X,X,X
TOLZJIS,X,X,X,X
TOLZJSI,X,X,X,X
TOLZSIJ,X,X,X,X
TOLZSJI,X,X,X,X
TOJILSZ,X,X,X,X
TOJILZS,X,X,X,X
TOJISLZ,X,X,X,X
TOJISZL,X,X,X,O
TOJIZLS,X,X,X,X
TOJIZSL,X,X,X,O
TOJLISZ,X,X,X,X
TOJLIZS,X,X,X,X
TOJLSIZ,X,X,X,X
TOJLSZI,X,X,X,X
TOJLZIS,X,X,X,X
TOJLZSI,X,X,X,X
TOJSILZ,X,X,X,X
TOJSIZL,X,X,X,O
TOJSLIZ,X,X,X,X
TOJSLZI,X,X,X,X
TOJSZIL,X,X,X,O
TOJSZLI,X,X,X,O
TOJZILS,X,X,X,X
TOJZISL,X,X,X,O
TOJZLIS,X,X,X,X
TOJZLSI,X,X,X,X
TOJZSIL,X,X,X,O
TOJZSLI,X,X,X,O
TOSILJZ,X,X,X,X
TOSILZJ,X,X,X,X
TOSIJLZ,X,X,X,X
TOSIJZL,X,X,X,X
TOSIZLJ,X,X,X,X
TOSIZJL,X,X,X,X
TOSLIJZ,X,X,X,X
TOSLIZJ,X,X,X,X
TOSLJIZ,X,X,X,X
TOSLJZI,X,X,X,X
TOSLZIJ,X,X,X,X
TOSLZJI,X,X,X,X
TOSJILZ,X,X,X,X
TOSJIZL,X,X,X,O
TOSJLIZ,X,X,X,X
TOSJLZI,X,X,X,X
TOSJZIL,X,X,X,O
TOSJZLI,X,X,X,O
TOSZILJ,X,X,X,X
TOSZIJL,X,X,X,X
TOSZLIJ,X,X,X,X
TOSZLJI,X,X,X,X
TOSZJIL,X,X,X,O
TOSZJLI,X,X,X,O
TOZILJS,X,X,X,X
TOZILSJ,X,X,X,X
TOZIJLS,X,X,X,X
TOZIJSL,X,X,X,X
TOZISLJ,X,X,X,X
TOZISJL,X,X,X,X
TOZLIJS,X,X,X,X
TOZLISJ,X,X,X,X
TOZLJIS,X,X,X,X
TOZLJSI,X,X,X,X
TOZLSIJ,X,X,X,X
TOZLSJI,X,X,X,X
TOZJILS,X,X,X,X
TOZJISL,X,X,X,O
TOZJLIS,X,X,X,X
TOZJLSI,X,X,X,X
TOZJSIL,X,X,X,O
TOZJSLI,X,X,X,O
TOZSILJ,X,X,X,X
TOZSIJL,X,X,X,X
TOZSLIJ,X,X,X,X
TOZSLJI,X,X,X,X
TOZSJIL,X,X,X,O
TOZSJLI,X,X,X,O
ITLJSZO,X,O,X,X
ITLJSOZ,X,X,X,X
ITLJZSO,X,O,X,X
ITLJZOS,X,X,X,X
ITLJOSZ,X,X,X,X
ITLJOZS,X,X,X,X
ITLSJZO,X,O,X,X
ITLSJOZ,X,X,X,X
ITLSZJO,X,O,X,X
ITLSZOJ,X,X,X,X
ITLSOJZ,X,X,X,X
ITLSOZJ,X,X,X,X
ITLZJSO,X,O,X,X
ITLZJOS,X,X,X,X
ITLZSJO,X,O,X,X
ITLZSOJ,X,X,X,X
ITLZOJS,X,X,X,X
ITLZOSJ,X,X,X,X
ITLOJSZ,X,X,X,X
ITLOJZS,X,X,X,X
ITLOSJZ,X,X,X,X
ITLOSZJ,X,X,X,X
ITLOZJS,X,X,X,X
ITLOZSJ,X,X,X,X
ITJLSZO,X,O,X,X
ITJLSOZ,X,X,X,X
ITJLZSO,X,O,X,X
ITJLZOS,X,X,X,X
ITJLOSZ,X,X,X,X
ITJLOZS,X,X,X,X
ITJSLZO,X,O,X,X
ITJSLOZ,X,X,X,X
ITJSZLO,X,O,X,X
ITJSZOL,X,X,X,X
ITJSOLZ,X,X,X,X
ITJSOZL,X,X,X,X
ITJZLSO,X,O,X,X
ITJZLOS,X,X,X,X
ITJZSLO,X,O,X,X
ITJZSOL,X,X,X,X
ITJZOLS,X,X,X,X
ITJZOSL,X,X,X,X
ITJOLSZ,X,X,X,X
ITJOLZS,X,X,X,X
ITJOSLZ,X,X,X,X
ITJOSZL,X,X,X,X
ITJOZLS,X,X,X,X
ITJOZSL,X,X,X,X
ITSLJZO,X,O,X,X
ITSLJOZ,X,X,X,X
ITSLZJO,X,O,X,X
ITSLZOJ,X,X,X,X
ITSLOJZ,X,X,X,X
ITSLOZJ,X,X,X,X
ITSJLZO,X,O,X,X
ITSJLOZ,X,X,X,X
ITSJZLO,X,O,X,X
ITSJZOL,X,X,X,X
ITSJOLZ,X,X,X,X
ITSJOZL,X,X,X,X
ITSZLJO,X,O,X,X
ITSZLOJ,X,X,X,X
ITSZJLO,X,X,X,X
ITSZJOL,X,X,X,X
ITSZOLJ,X,X,X,X
ITSZOJL,X,X,X,X
ITSOLJZ,X,X,X,X
ITSOLZJ,X,X,X,X
ITSOJLZ,X,X,X,X
ITSOJZL,X,X,X,X
ITSOZLJ,X,X,X,X
ITSOZJL,X,X,X,X
ITZLJSO,X,O,X,X
ITZLJOS,X,X,X,X
ITZLSJO,X,O,X,X
ITZLSOJ,X,X,X,X
ITZLOJS,X,X,X,X
ITZLOSJ,X,X,X,X
ITZJLSO,X,O,X,X
ITZJLOS,X,X,X,X
ITZJSLO,X,O,X,X
ITZJSOL,X,X,X,X
ITZJOLS,X,X,X,X
ITZJOSL,X,X,X,X
ITZSLJO,X,O,X,X
ITZSLOJ,X,X,X,X
ITZSJLO,X,X,X,X
ITZSJOL,X,X,X,X
ITZSOLJ,X,X,X,X
ITZSOJL,X,X,X,X
ITZOLJS,X,X,X,X
ITZOLSJ,X,X,X,X
ITZOJLS,X,X,X,X
ITZOJSL,X,X,X,X
ITZOSLJ,X,X,X,X
ITZOSJL,X,X,X,X
ITOLJSZ,X,X,X,X
ITOLJZS,X,X,X,X
ITOLSJZ,X,X,X,X
ITOLSZJ,X,X,X,X
ITOLZJS,X,X,X,X
ITOLZSJ,X,X,X,X
ITOJLSZ,X,X,X,X
ITOJLZS,X,X,X,X
ITOJSLZ,X,X,X,X
ITOJSZL,X,X,X,X
ITOJZLS,X,X,X,X
ITOJZSL,X,X,X,X
ITOSLJZ,X,X,X,X
ITOSLZJ,X,X,X,X
ITOSJLZ,X,X,X,X
ITOSJZL,X,X,X,X
ITOSZLJ,X,X,X,X
ITOSZJL,X,X,X,X
ITOZLJS,X,X,X,X
ITOZLSJ,X,X,X,X
ITOZJLS,X,X,X,X
ITOZJSL,X,X,X,X
ITOZSLJ,X,X,X,X
ITOZSJL,X,X,X,X
ILTJSZO,X,X,X,X
