sequence,v115@QhA8EeB8BeA8AeA8AeG8JeZEJvhFzfBfmB0hB6nBOo?BFqB,v115@QhA8EeB8BeA8AeA8AeG8JeZEJvhFFgB0hB6nBOoBfq?BzqB,v115@QhA8EeB8BeA8AeA8AeG8JeyEJvhFfmB0hBxiBznBOp?BFqB
TLSOIJZ,O,X,X
TLSOIZJ,O,X,O
TLSOJIZ,O,X,X
TLSOJZI,O,X,X
TLSOZIJ,O,X,O
TLSOZJI,O,X,O
TLZIJSO,X,X,X
TLZIJOS,X,X,X
TLZISJO,X,X,X
TLZISOJ,X,X,X
TLZIOJS,X,X,X
TLZIOSJ,X,X,X
TLZJISO,X,X,X
TLZJIOS,X,X,X
TLZJSIO,X,X,X
TLZJSOI,X,X,X
TLZJOIS,X,X,X
TLZJOSI,X,X,X
TLZSIJO,X,X,X
TLZSIOJ,X,X,X
TLZSJIO,X,X,X
TLZSJOI,X,X,X
TLZSOIJ,X,X,X
TLZSOJI,X,X,X
TLZOIJS,X,X,X
TLZOISJ,X,X,X
TLZOJIS,X,X,X
TLZOJSI,X,X,X
TLZOSIJ,X,X,X
TLZOSJI,X,X,X
TLOIJSZ,O,X,X
TLOIJZS,X,X,X
TLOISJZ,O,X,X
TLOISZJ,O,X,O
TLOIZJS,X,X,X
TLOIZSJ,X,X,X
TLOJISZ,O,X,X
TLOJIZS,X,X,X
TLOJSIZ,O,X,X
TLOJSZI,O,X,X
TLOJZIS,X,X,X
TLOJZSI,X,X,X
TLOSIJZ,O,X,X
TLOSIZJ,O,X,O
TLOSJIZ,O,X,X
TLOSJZI,O,X,X
TLOSZIJ,O,X,O
TLOSZJI,O,X,O
TLOZIJS,X,X,X
TLOZISJ,X,X,X
TLOZJIS,X,X,X
TLOZJSI,X,X,X
TLOZSIJ,X,X,X
TLOZSJI,X,X,X
TJILSZO,O,X,X
TJILSOZ,O,X,X
TJILZSO,X,X,X
TJILZOS,X,X,X
TJILOSZ,O,X,X
TJILOZS,X,X,X
TJISLZO,O,X,X
TJISLOZ,O,X,X
TJISZLO,O,X,X
TJISZOL,O,X,X
TJISOLZ,O,X,X
TJISOZL,O,X,X
TJIZLSO,X,X,X
TJIZLOS,X,X,X
TJIZSLO,X,X,X
TJIZSOL,X,X,X
TJIZOLS,X,X,X
TJIZOSL,X,X,X
TJIOLSZ,O,X,X
TJIOLZS,X,X,X
TJIOSLZ,O,X,X
TJIOSZL,O,X,X
TJIOZLS,X,X,X
TJIOZSL,X,X,X
TJLISZO,O,X,X
TJLISOZ,O,X,X
TJLIZSO,X,X,X
TJLIZOS,X,X,X
TJLIOSZ,O,X,X
TJLIOZS,X,X,X
TJLSIZO,O,X,X
TJLSIOZ,O,X,X
TJLSZIO,O,X,X
TJLSZOI,O,X,X
TJLSOIZ,O,X,X
TJLSOZI,O,X,X
TJLZISO,X,X,X
TJLZIOS,X,X,X
TJLZSIO,X,X,X
TJLZSOI,X,X,X
TJLZOIS,X,X,X
TJLZOSI,X,X,X
TJLOISZ,O,X,X
TJLOIZS,X,X,X
TJLOSIZ,O,X,X
TJLOSZI,O,X,X
TJLOZIS,X,X,X
TJLOZSI,X,X,X
TJSILZO,O,X,X
TJSILOZ,O,X,X
TJSIZLO,O,X,X
TJSIZOL,O,X,X
TJSIOLZ,O,X,X
TJSIOZL,O,X,X
TJSLIZO,O,X,X
TJSLIOZ,O,X,X
TJSLZIO,O,X,X
TJSLZOI,O,X,X
TJSLOIZ,O,X,X
TJSLOZI,O,X,X
TJSZILO,O,X,X
TJSZIOL,O,X,X
TJSZLIO,O,X,X
TJSZLOI,O,X,X
TJSZOIL,O,X,X
TJSZOLI,O,X,X
TJSOILZ,O,X,X
TJSOIZL,O,X,X
TJSOLIZ,O,X,X
TJSOLZI,O,X,X
TJSOZIL,O,X,X
TJSOZLI,O,X,X
TJZILSO,X,X,X
TJZILOS,X,X,X
TJZISLO,X,X,X
TJZISOL,X,X,X
TJZIOLS,X,X,X
TJZIOSL,X,X,X
TJZLISO,X,X,X
TJZLIOS,X,X,X
TJZLSIO,X,X,X
TJZLSOI,X,X,X
TJZLOIS,X,X,X
TJZLOSI,X,X,X
TJZSILO,X,X,X
TJZSIOL,X,X,X
TJZSLIO,X,X,X
TJZSLOI,X,X,X
TJZSOIL,X,X,X
TJZSOLI,X,X,X
TJZOILS,X,X,X
TJZOISL,X,X,X
TJZOLIS,X,X,X
TJZOLSI,X,X,X
TJZOSIL,X,X,X
TJZOSLI,X,X,X
TJOILSZ,O,X,X
TJOILZS,X,X,X
TJOISLZ,O,X,X
TJOISZL,O,X,X
TJOIZLS,X,X,X
TJOIZSL,X,X,X
TJOLISZ,O,X,X
TJOLIZS,X,X,X
TJOLSIZ,O,X,X
TJOLSZI,O,X,X
TJOLZIS,X,X,X
TJOLZSI,X,X,X
TJOSILZ,O,X,X
TJOSIZL,O,X,X
TJOSLIZ,O,X,X
TJOSLZI,O,X,X
TJOSZIL,O,X,X
TJOSZLI,O,X,X
TJOZILS,X,X,X
TJOZISL,X,X,X
TJOZLIS,X,X,X
TJOZLSI,X,X,X
TJOZSIL,X,X,X
TJOZSLI,X,X,X
TSILJZO,O,X,X
TSILJOZ,O,X,X
TSILZJO,O,X,X
TSILZOJ,O,X,X
TSILOJZ,O,X,X
TSILOZJ,O,X,X
TSIJLZO,O,X,X
TSIJLOZ,O,X,X
TSIJZLO,O,X,X
TSIJZOL,O,X,X
TSIJOLZ,O,X,X
TSIJOZL,O,X,X
TSIZLJO,O,X,X
TSIZLOJ,O,X,X
TSIZJLO,O,X,X
TSIZJOL,O,X,X
TSIZOLJ,O,X,X
TSIZOJL,O,X,X
TSIOLJZ,O,X,X
TSIOLZJ,O,X,X
TSIOJLZ,O,X,X
TSIOJZL,O,X,X
TSIOZLJ,O,X,X
TSIOZJL,O,X,X
TSLIJZO,O,X,X
TSLIJOZ,O,X,X
TSLIZJO,O,X,X
TSLIZOJ,O,X,X
TSLIOJZ,O,X,X
TSLIOZJ,O,X,X
TSLJIZO,O,X,X
TSLJIOZ,O,X,X
TSLJZIO,O,X,X
TSLJZOI,O,X,X
TSLJOIZ,O,X,X
TSLJOZI,O,X,X
TSLZIJO,O,X,X
TSLZIOJ,O,X,X
TSLZJIO,O,X,X
TSLZJOI,O,X,X
TSLZOIJ,O,X,O
TSLZOJI,O,X,O
TSLOIJZ,O,X,X
TSLOIZJ,O,X,O
TSLOJIZ,O,X,X
TSLOJZI,O,X,X
TSLOZIJ,O,X,O
TSLOZJI,O,X,O
TSJILZO,O,X,X
TSJILOZ,O,X,X
TSJIZLO,O,X,X
TSJIZOL,O,X,X
TSJIOLZ,O,X,X
TSJIOZL,O,X,X
TSJLIZO,O,X,X
TSJLIOZ,O,X,X
TSJLZIO,O,X,X
TSJLZOI,O,X,X
TSJLOIZ,O,X,X
TSJLOZI,O,X,X
TSJZILO,O,X,X
TSJZIOL,O,X,X
TSJZLIO,O,X,X
TSJZLOI,O,X,X
TSJZOIL,O,X,X
TSJZOLI,O,X,X
TSJOILZ,O,X,X
TSJOIZL,O,X,X
TSJOLIZ,O,X,X
TSJOLZI,O,X,X
TSJOZIL,O,X,X
TSJOZLI,O,X,X
TSZILJO,O,X,X
TSZILOJ,O,X,X
TSZIJLO,O,X,X
TSZIJOL,O,X,X
TSZIOLJ,O,X,X
TSZIOJL,O,X,X
TSZLIJO,O,X,X
TSZLIOJ,O,X,X
TSZLJIO,O,X,X
TSZLJOI,O,X,X
TSZLOIJ,O,X,O
TSZLOJI,O,X,O
TSZJILO,O,X,X
TSZJIOL,O,X,X
TSZJLIO,O,X,X
TSZJLOI,O,X,X
TSZJOIL,O,X,X
TSZJOLI,O,X,X
TSZOILJ,O,X,O
TSZOIJL,O,X,X
TSZOLIJ,O,X,O
TSZOLJI,O,X,O
TSZOJIL,O,X,X
TSZOJLI,O,X,X
TSOILJZ,O,X,X
TSOILZJ,O,X,O
TSOIJLZ,O,X,X
TSOIJZL,O,X,X
TSOIZLJ,O,X,O
TSOIZJL,O,X,X
TSOLIJZ,O,X,X
TSOLIZJ,O,X,O
TSOLJIZ,O,X,X
TSOLJZI,O,X,X
TSOLZIJ,O,X,O
TSOLZJI,O,X,O
TSOJILZ,O,X,X
TSOJIZL,O,X,X
TSOJLIZ,O,X,X
TSOJLZI,O,X,X
TSOJZIL,O,X,X
TSOJZLI,O,X,X
TSOZILJ,O,X,O
TSOZIJL,O,X,X
TSOZLIJ,O,X,O
TSOZLJI,O,X,O
TSOZJIL,O,X,X
TSOZJLI,O,X,X
TZILJSO,X,X,X
TZILJOS,X,X,X
TZILSJO,X,X,X
TZILSOJ,X,X,X
TZILOJS,X,X,X
TZILOSJ,X,X,X
TZIJLSO,X,X,X
TZIJLOS,X,X,X
TZIJSLO,X,X,X
TZIJSOL,X,X,X
TZIJOLS,X,X,X
TZIJOSL,X,X,X
TZISLJO,X,X,X
TZISLOJ,X,X,X
TZISJLO,X,X,X
TZISJOL,X,X,X
TZISOLJ,X,X,X
TZISOJL,X,X,X
TZIOLJS,X,X,X
TZIOLSJ,X,X,X
TZIOJLS,X,X,X
TZIOJSL,X,X,X
TZIOSLJ,X,X,X
TZIOSJL,X,X,X
TZLIJSO,X,X,X
TZLIJOS,X,X,X
TZLISJO,X,X,X
TZLISOJ,X,X,X
TZLIOJS,X,X,X
TZLIOSJ,X,X,X
TZLJISO,X,X,X
TZLJIOS,X,X,X
TZLJSIO,X,X,X
TZLJSOI,X,X,X
TZLJOIS,X,X,X
TZLJOSI,X,X,X
TZLSIJO,X,X,X
TZLSIOJ,X,X,X
TZLSJIO,X,X,X
TZLSJOI,X,X,X
TZLSOIJ,X,X,X
TZLSOJI,X,X,X
TZLOIJS,X,X,X
TZLOISJ,X,X,X
TZLOJIS,X,X,X
TZLOJSI,X,X,X
TZLOSIJ,X,X,X
TZLOSJI,X,X,X
TZJILSO,X,X,X
TZJILOS,X,X,X
TZJISLO,X,X,X
TZJISOL,X,X,X
TZJIOLS,X,X,X
TZJIOSL,X,X,X
TZJLISO,X,X,X
TZJLIOS,X,X,X
TZJLSIO,X,X,X
TZJLSOI,X,X,X
TZJLOIS,X,X,X
TZJLOSI,X,X,X
TZJSILO,X,X,X
TZJSIOL,X,X,X
TZJSLIO,X,X,X
TZJSLOI,X,X,X
TZJSOIL,X,X,X
TZJSOLI,X,X,X
TZJOILS,X,X,X
TZJOISL,X,X,X
TZJOLIS,X,X,X
TZJOLSI,X,X,X
TZJOSIL,X,X,X
TZJOSLI,X,X,X
TZSILJO,X,X,X
TZSILOJ,X,X,X
TZSIJLO,X,X,X
TZSIJOL,X,X,X
TZSIOLJ,X,X,X
TZSIOJL,X,X,X
TZSLIJO,X,X,X
TZSLIOJ,X,X,X
TZSLJIO,X,X,X
TZSLJOI,X,X,X
TZSLOIJ,X,X,X
TZSLOJI,X,X,X
TZSJILO,X,X,X
TZSJIOL,X,X,X
TZSJLIO,X,X,X
TZSJLOI,X,X,X
TZSJOIL,X,X,X
TZSJOLI,X,X,X
TZSOILJ,X,X,X
TZSOIJL,X,X,X
TZSOLIJ,X,X,X
TZSOLJI,X,X,X
TZSOJIL,X,X,X
TZSOJLI,X,X,X
TZOILJS,X,X,X
TZOILSJ,X,X,X
TZOIJLS,X,X,X
TZOIJSL,X,X,X
TZOISLJ,X,X,X
TZOISJL,X,X,X
TZOLIJS,X,X,X
TZOLISJ,X,X,X
TZOLJIS,X,X,X
TZOLJSI,X,X,X
TZOLSIJ,X,X,X
TZOLSJI,X,X,X
TZOJILS,X,X,X
TZOJISL,X,X,X
TZOJLIS,X,X,X
TZOJLSI,X,X,X
TZOJSIL,X,X,X
TZOJSLI,X,X,X
TZOSILJ,X,X,X
TZOSIJL,X,X,X
TZOSLIJ,X,X,X
TZOSLJI,X,X,X
TZOSJIL,X,X,X
TZOSJLI,X,X,X
TOILJSZ,O,X,X
TOILJZS,X,X,X
TOILSJZ,O,X,X
TOILSZJ,O,X,O
TOILZJS,X,X,X
TOILZSJ,X,X,X
TOIJLSZ,O,X,X
TOIJLZS,X,X,X
TOIJSLZ,O,X,X
TOIJSZL,O,X,X
TOIJZLS,X,X,X
TOIJZSL,X,X,X
TOISLJZ,O,X,X
TOISLZJ,O,X,O
TOISJLZ,O,X,X
TOISJZL,O,X,X
TOISZLJ,O,X,O
TOISZJL,O,X,X
TOIZLJS,X,X,X
TOIZLSJ,X,X,X
TOIZJLS,X,X,X
TOIZJSL,X,X,X
TOIZSLJ,X,X,X
TOIZSJL,X,X,X
TOLIJSZ,O,X,X
TOLIJZS,X,X,X
TOLISJZ,O,X,X
TOLISZJ,O,X,O
TOLIZJS,X,X,X
TOLIZSJ,X,X,X
TOLJISZ,O,X,X
TOLJIZS,X,X,X
TOLJSIZ,O,X,X
TOLJSZI,O,X,X
TOLJZIS,X,X,X
TOLJZSI,X,X,X
TOLSIJZ,O,X,X
TOLSIZJ,O,X,O
TOLSJIZ,O,X,X
TOLSJZI,O,X,X
TOLSZIJ,O,X,O
TOLSZJI,O,X,O
TOLZIJS,X,X,X
TOLZISJ,X,X,X
TOLZJIS,X,X,X
TOLZJSI,X,X,X
TOLZSIJ,X,X,X
TOLZSJI,X,X,X
TOJILSZ,O,X,X
TOJILZS,X,X,X
TOJISLZ,O,X,X
TOJISZL,O,X,X
TOJIZLS,X,X,X
TOJIZSL,X,X,X
TOJLISZ,O,X,X
TOJLIZS,X,X,X
TOJLSIZ,O,X,X
TOJLSZI,O,X,X
TOJLZIS,X,X,X
TOJLZSI,X,X,X
TOJSILZ,O,X,X
TOJSIZL,O,X,X
TOJSLIZ,O,X,X
TOJSLZI,O,X,X
TOJSZIL,O,X,X
TOJSZLI,O,X,X
TOJZILS,X,X,X
TOJZISL,X,X,X
TOJZLIS,X,X,X
TOJZLSI,X,X,X
TOJZSIL,X,X,X
TOJZSLI,X,X,X
TOSILJZ,O,X,X
TOSILZJ,O,X,O
TOSIJLZ,O,X,X
TOSIJZL,O,X,X
TOSIZLJ,O,X,O
TOSIZJL,O,X,X
TOSLIJZ,O,X,X
TOSLIZJ,O,X,O
TOSLJIZ,O,X,X
TOSLJZI,O,X,X
TOSLZIJ,O,X,O
TOSLZJI,O,X,O
TOSJILZ,O,X,X
TOSJIZL,O,X,X
TOSJLIZ,O,X,X
TOSJLZI,O,X,X
TOSJZIL,O,X,X
TOSJZLI,O,X,X
TOSZILJ,O,X,O
TOSZIJL,O,X,X
TOSZLIJ,O,X,O
TOSZLJI,O,X,O
TOSZJIL,O,X,X
TOSZJLI,O,X,X
TOZILJS,X,X,X
TOZILSJ,X,X,X
TOZIJLS,X,X,X
TOZIJSL,X,X,X
TOZISLJ,X,X,X
TOZISJL,X,X,X
TOZLIJS,X,X,X
TOZLISJ,X,X,X
TOZLJIS,X,X,X
TOZLJSI,X,X,X
TOZLSIJ,X,X,X
TOZLSJI,X,X,X
TOZJILS,X,X,X
TOZJISL,X,X,X
TOZJLIS,X,X,X
TOZJLSI,X,X,X
TOZJSIL,X,X,X
TOZJSLI,X,X,X
TOZSILJ,X,X,X
TOZSIJL,X,X,X
TOZSLIJ,X,X,X
TOZSLJI,X,X,X
TOZSJIL,X,X,X
TOZSJLI,X,X,X
ITLJSZO,O,X,X
ITLJSOZ,O,X,X
ITLJZSO,X,X,X
ITLJZOS,X,X,X
ITLJOSZ,O,X,X
ITLJOZS,X,X,X
ITLSJZO,O,X,X
ITLSJOZ,O,X,X
ITLSZJO,O,X,X
ITLSZOJ,O,X,X
ITLSOJZ,O,X,X
ITLSOZJ,O,X,X
ITLZJSO,X,X,X
ITLZJOS,X,X,X
ITLZSJO,X,X,X
ITLZSOJ,X,X,X
ITLZOJS,X,X,X
ITLZOSJ,X,X,X
ITLOJSZ,O,X,X
ITLOJZS,X,X,X
ITLOSJZ,O,X,X
ITLOSZJ,O,X,X
ITLOZJS,X,X,X
ITLOZSJ,X,X,X
ITJLSZO,O,X,X
ITJLSOZ,O,X,X
ITJLZSO,X,X,X
ITJLZOS,X,X,X
ITJLOSZ,O,X,X
ITJLOZS,X,X,X
ITJSLZO,O,X,X
ITJSLOZ,O,X,X
ITJSZLO,O,X,X
ITJSZOL,O,X,X
ITJSOLZ,O,X,X
ITJSOZL,O,X,X
ITJZLSO,X,X,X
ITJZLOS,X,X,X
ITJZSLO,X,X,X
ITJZSOL,X,X,X
ITJZOLS,X,X,X
ITJZOSL,X,X,X
ITJOLSZ,O,X,X
ITJOLZS,X,X,X
ITJOSLZ,O,X,X
ITJOSZL,O,X,X
ITJOZLS,X,X,X
ITJOZSL,X,X,X
ITSLJZO,O,X,X
ITSLJOZ,O,X,X
ITSLZJO,O,X,X
ITSLZOJ,O,X,X
ITSLOJZ,O,X,X
ITSLOZJ,O,X,X
ITSJLZO,O,X,X
ITSJLOZ,O,X,X
ITSJZLO,O,X,X
ITSJZOL,O,X,X
ITSJOLZ,O,X,X
ITSJOZL,O,X,X
ITSZLJO,O,X,X
ITSZLOJ,O,X,X
ITSZJLO,O,X,X
ITSZJOL,O,X,X
ITSZOLJ,O,X,X
ITSZOJL,O,X,X
ITSOLJZ,O,X,X
ITSOLZJ,O,X,X
ITSOJLZ,O,X,X
ITSOJZL,O,X,X
ITSOZLJ,O,X,X
ITSOZJL,O,X,X
ITZLJSO,X,X,X
ITZLJOS,X,X,X
ITZLSJO,X,X,X
ITZLSOJ,X,X,X
ITZLOJS,X,X,X
ITZLOSJ,X,X,X
ITZJLSO,X,X,X
ITZJLOS,X,X,X
ITZJSLO,X,X,X
ITZJSOL,X,X,X
ITZJOLS,X,X,X
ITZJOSL,X,X,X
ITZSLJO,X,X,X
ITZSLOJ,X,X,X
ITZSJLO,X,X,X
ITZSJOL,X,X,X
ITZSOLJ,X,X,X
ITZSOJL,X,X,X
ITZOLJS,X,X,X
ITZOLSJ,X,X,X
ITZOJLS,X,X,X
ITZOJSL,X,X,X
ITZOSLJ,X,X,X
ITZOSJL,X,X,X
ITOLJSZ,O,X,X
ITOLJZS,X,X,X
ITOLSJZ,O,X,X
ITOLSZJ,O,X,X
ITOLZJS,X,X,X
ITOLZSJ,X,X,X
ITOJLSZ,O,X,X
ITOJLZS,X,X,X
ITOJSLZ,O,X,X
ITOJSZL,O,X,X
ITOJZLS,X,X,X
ITOJZSL,X,X,X
ITOSLJZ,O,X,X
ITOSLZJ,O,X,X
ITOSJLZ,O,X,X
ITOSJZL,O,X,X
ITOSZLJ,O,X,X
ITOSZJL,O,X,X
ITOZLJS,X,X,X
ITOZLSJ,X,X,X
ITOZJLS,X,X,X
ITOZJSL,X,X,X
ITOZSLJ,X,X,X
ITOZSJL,X,X,X
ILTJSZO,O,X,X
ILTJSOZ,O,X,X
ILTJZSO,X,X,X
ILTJZOS,X,X,X
ILTJOSZ,O,X,X
ILTJOZS,X,X,X
ILTSJZO,O,X,X
ILTSJOZ,O,X,X
ILTSZJO,O,X,X
ILTSZOJ,O,X,X
ILTSOJZ,O,X,X
ILTSOZJ,O,X,X
ILTZJSO,X,X,X
ILTZJOS,X,X,X
ILTZSJO,X,X,X
ILTZSOJ,X,X,X
ILTZOJS,X,X,X
ILTZOSJ,X,X,X
ILTOJSZ,O,X,X
ILTOJZS,X,X,X
ILTOSJZ,O,X,X
ILTOSZJ,O,X,X
ILTOZJS,X,X,X
ILTOZSJ,X,X,X
ILJTSZO,O,X,X
ILJTSOZ,O,X,X
ILJTZSO,X,X,X
ILJTZOS,X,X,X
ILJTOSZ,O,X,X
ILJTOZS,X,X,X
ILJSTZO,O,O,X
ILJSTOZ,O,X,X
ILJSZTO,O,O,X
ILJSZOT,X,X,X
ILJSOTZ,X,O,X
ILJSOZT,X,O,X
ILJZTSO,X,X,X
ILJZTOS,X,X,X
ILJZSTO,O,O,X
ILJZSOT,X,X,X
ILJZOTS,X,X,X
ILJZOST,X,O,X
ILJOTSZ,X,X,X
ILJOTZS,X,X,X
ILJOSTZ,X,O,X
ILJOSZT,X,O,X
ILJOZTS,X,X,X
ILJOZST,X,O,X
ILSTJZO,O,O,X
ILSTJOZ,O,X,X
ILSTZJO,O,O,X
ILSTZOJ,O,X,X
ILSTOJZ,O,X,X
ILSTOZJ,O,X,X
ILSJTZO,O,O,X
ILSJTOZ,O,X,X
ILSJZTO,O,O,X
ILSJZOT,X,X,X
ILSJOTZ,X,O,X
ILSJOZT,X,O,X
ILSZTJO,O,O,X
ILSZTOJ,O,X,X
ILSZJTO,O,O,X
ILSZJOT,X,X,X
ILSZOTJ,X,X,X
ILSZOJT,X,X,X
ILSOTJZ,X,O,X
ILSOTZJ,X,O,X
ILSOJTZ,X,O,X
ILSOJZT,X,O,X
ILSOZTJ,X,O,X
ILSOZJT,X,O,X
ILZTJSO,X,X,X
ILZTJOS,X,X,X
ILZTSJO,X,X,X
ILZTSOJ,X,X,X
ILZTOJS,X,X,X
ILZTOSJ,X,X,X
ILZJTSO,X,X,X
ILZJTOS,X,X,X
ILZJSTO,O,O,X
ILZJSOT,X,X,X
ILZJOTS,X,X,X
ILZJOST,X,O,X
ILZSTJO,O,O,X
ILZSTOJ,O,X,X
ILZSJTO,O,O,X
ILZSJOT,X,X,X
ILZSOTJ,X,X,X
ILZSOJT,X,X,X
ILZOTJS,X,X,X
ILZOTSJ,X,X,X
ILZOJTS,X,X,X
ILZOJST,X,O,X
ILZOSTJ,X,O,X
ILZOSJT,X,O,X
ILOTJSZ,X,X,X
ILOTJZS,X,X,X
ILOTSJZ,X,X,X
ILOTSZJ,X,X,X
ILOTZJS,X,X,X
ILOTZSJ,X,X,X
ILOJTSZ,X,X,X
ILOJTZS,X,X,X
ILOJSTZ,X,O,X
ILOJSZT,X,O,X
ILOJZTS,X,X,X
ILOJZST,X,O,X
ILOSTJZ,X,O,X
ILOSTZJ,X,O,X
ILOSJTZ,X,O,X
ILOSJZT,X,O,X
ILOSZTJ,X,O,X
ILOSZJT,X,O,X
ILOZTJS,X,X,X
ILOZTSJ,X,X,X
ILOZJTS,X,X,X
ILOZJST,X,O,X
ILOZSTJ,X,O,X
ILOZSJT,X,O,X
IJTLSZO,O,X,X
IJTLSOZ,O,X,X
IJTLZSO,X,X,X
IJTLZOS,X,X,X
IJTLOSZ,O,X,X
IJTLOZS,X,X,X
IJTSLZO,O,X,X
