sequence,v115@QhA8GeC8AeC8AeE8JeZEJvhFukBUhBFiBXjBTlBirB,v115@QhA8GeC8AeC8AeE8JeZEJvhFzfBFhBOnBXjBSqBcrB,v115@QhA8GeC8AeC8AeE8JecFJvhFxhBXjBTkBmmBFrBipB
IJTSOLZ,X,X,X
IJTSOZL,X,X,X
IJTZLSO,X,X,X
IJTZLOS,X,X,X
IJTZSLO,X,X,X
IJTZSOL,X,X,X
IJTZOLS,X,X,X
IJTZOSL,X,X,X
IJTOLSZ,X,X,X
IJTOLZS,X,X,X
IJTOSLZ,X,X,X
IJTOSZL,X,X,X
IJTOZLS,X,X,X
IJTOZSL,X,X,X
IJLTSZO,O,X,X
IJLTSOZ,X,X,X
IJLTZSO,O,X,X
IJLTZOS,X,X,X
IJLTOSZ,X,X,X
IJLTOZS,X,X,X
IJLSTZO,O,X,X
IJLSTOZ,X,X,X
IJLSZTO,O,O,X
IJLSZOT,X,O,X
IJLSOTZ,X,X,X
IJLSOZT,X,O,X
IJLZTSO,O,O,X
IJLZTOS,X,O,X
IJLZSTO,O,O,X
IJLZSOT,X,O,X
IJLZOTS,X,O,X
IJLZOST,X,O,X
IJLOTSZ,X,X,X
IJLOTZS,X,X,X
IJLOSTZ,X,X,X
IJLOSZT,X,O,X
IJLOZTS,X,O,X
IJLOZST,X,O,X
IJSTLZO,X,X,X
IJSTLOZ,X,X,X
IJSTZLO,X,X,X
IJSTZOL,X,X,X
IJSTOLZ,O,X,X
IJSTOZL,O,X,X
IJSLTZO,O,X,X
IJSLTOZ,X,X,X
IJSLZTO,O,O,X
IJSLZOT,X,O,X
IJSLOTZ,X,X,X
IJSLOZT,X,O,X
IJSZTLO,X,O,X
IJSZTOL,X,X,X
IJSZLTO,X,O,X
IJSZLOT,X,O,X
IJSZOTL,X,X,X
IJSZOLT,X,X,X
IJSOTLZ,O,X,X
IJSOTZL,O,X,X
IJSOLTZ,O,X,X
IJSOLZT,O,X,X
IJSOZTL,O,X,X
IJSOZLT,O,X,X
IJZTLSO,X,O,X
IJZTLOS,X,O,X
IJZTSLO,X,O,X
IJZTSOL,X,X,X
IJZTOLS,X,X,X
IJZTOSL,X,X,X
IJZLTSO,X,O,X
IJZLTOS,X,O,X
IJZLSTO,X,O,X
IJZLSOT,X,O,X
IJZLOTS,X,O,X
IJZLOST,X,O,X
IJZSTLO,X,O,X
IJZSTOL,X,X,X
IJZSLTO,X,O,X
IJZSLOT,X,O,X
IJZSOTL,X,X,X
IJZSOLT,X,X,X
IJZOTLS,X,X,X
IJZOTSL,X,X,X
IJZOLTS,X,X,X
IJZOLST,X,X,X
IJZOSTL,X,X,X
IJZOSLT,X,X,X
IJOTLSZ,X,X,X
IJOTLZS,X,X,X
IJOTSLZ,X,X,X
IJOTSZL,X,X,X
IJOTZLS,X,X,X
IJOTZSL,X,X,X
IJOLTSZ,O,X,X
IJOLTZS,O,X,X
IJOLSTZ,O,X,X
IJOLSZT,O,X,X
IJOLZTS,O,X,X
IJOLZST,O,X,X
IJOSTLZ,O,X,X
IJOSTZL,O,X,X
IJOSLTZ,O,X,X
IJOSLZT,O,X,X
IJOSZTL,O,X,X
IJOSZLT,O,X,X
IJOZTLS,X,X,X
IJOZTSL,O,X,X
IJOZLTS,O,X,X
IJOZLST,O,X,X
IJOZSTL,O,X,X
IJOZSLT,O,X,X
ISTLJZO,X,X,X
ISTLJOZ,X,X,X
ISTLZJO,X,X,X
ISTLZOJ,X,X,X
ISTLOJZ,X,X,X
ISTLOZJ,X,X,X
ISTJLZO,X,X,X
ISTJLOZ,X,X,X
ISTJZLO,X,X,X
ISTJZOL,X,X,X
ISTJOLZ,O,X,X
ISTJOZL,O,X,X
ISTZLJO,X,X,X
ISTZLOJ,X,X,X
ISTZJLO,X,X,X
ISTZJOL,X,X,X
ISTZOLJ,X,X,X
ISTZOJL,X,X,X
ISTOLJZ,O,X,X
ISTOLZJ,O,X,X
ISTOJLZ,O,X,X
ISTOJZL,O,X,X
ISTOZLJ,X,X,X
ISTOZJL,O,X,X
ISLTJZO,O,X,X
ISLTJOZ,X,X,X
ISLTZJO,O,X,X
ISLTZOJ,O,X,X
ISLTOJZ,O,X,X
ISLTOZJ,O,X,X
ISLJTZO,O,X,X
ISLJTOZ,X,X,X
ISLJZTO,O,O,X
ISLJZOT,X,O,X
ISLJOTZ,X,X,X
ISLJOZT,X,O,X
ISLZTJO,O,O,X
ISLZTOJ,O,O,X
ISLZJTO,O,O,X
ISLZJOT,X,O,X
ISLZOTJ,O,O,X
ISLZOJT,O,O,X
ISLOTJZ,O,X,X
ISLOTZJ,O,X,X
ISLOJTZ,O,X,X
ISLOJZT,O,O,X
ISLOZTJ,O,O,X
ISLOZJT,O,O,X
ISJTLZO,X,X,X
ISJTLOZ,X,X,X
ISJTZLO,X,X,X
ISJTZOL,X,X,X
ISJTOLZ,O,X,X
ISJTOZL,O,X,X
ISJLTZO,O,X,X
ISJLTOZ,X,X,X
ISJLZTO,O,O,X
ISJLZOT,X,O,X
ISJLOTZ,X,X,X
ISJLOZT,X,O,X
ISJZTLO,X,O,X
ISJZTOL,X,X,X
ISJZLTO,X,O,X
ISJZLOT,X,O,X
ISJZOTL,X,X,X
ISJZOLT,X,X,X
ISJOTLZ,O,X,X
ISJOTZL,O,X,X
ISJOLTZ,O,X,X
ISJOLZT,O,X,X
ISJOZTL,O,X,X
ISJOZLT,O,X,X
ISZTLJO,X,O,X
ISZTLOJ,X,O,X
ISZTJLO,X,O,X
ISZTJOL,X,X,X
ISZTOLJ,X,X,X
ISZTOJL,X,X,X
ISZLTJO,X,O,X
ISZLTOJ,X,O,X
ISZLJTO,X,O,X
ISZLJOT,X,O,X
ISZLOTJ,X,O,X
ISZLOJT,X,O,X
ISZJTLO,X,O,X
ISZJTOL,X,X,X
ISZJLTO,X,O,X
ISZJLOT,X,O,X
ISZJOTL,X,X,X
ISZJOLT,X,X,X
ISZOTLJ,X,X,X
ISZOTJL,X,X,X
ISZOLTJ,X,X,X
ISZOLJT,X,X,X
ISZOJTL,X,X,X
ISZOJLT,X,X,X
ISOTLJZ,O,X,X
ISOTLZJ,O,X,X
ISOTJLZ,O,X,X
ISOTJZL,O,X,X
ISOTZLJ,X,X,X
ISOTZJL,O,X,X
ISOLTJZ,O,X,X
ISOLTZJ,O,X,X
ISOLJTZ,O,X,X
ISOLJZT,O,X,X
ISOLZTJ,O,X,X
ISOLZJT,O,X,X
ISOJTLZ,O,X,X
ISOJTZL,O,X,X
ISOJLTZ,O,X,X
ISOJLZT,O,X,X
ISOJZTL,O,X,X
ISOJZLT,O,X,X
ISOZTLJ,X,X,X
ISOZTJL,O,X,X
ISOZLTJ,O,X,X
ISOZLJT,O,X,X
ISOZJTL,O,X,X
ISOZJLT,O,X,X
IZTLJSO,X,O,X
IZTLJOS,X,O,X
IZTLSJO,X,O,X
IZTLSOJ,X,O,X
IZTLOJS,X,O,X
IZTLOSJ,X,O,X
IZTJLSO,X,O,X
IZTJLOS,X,O,X
IZTJSLO,X,O,X
IZTJSOL,X,X,X
IZTJOLS,X,X,X
IZTJOSL,X,X,X
IZTSLJO,X,O,X
IZTSLOJ,X,O,X
IZTSJLO,X,O,X
IZTSJOL,X,X,X
IZTSOLJ,X,X,X
IZTSOJL,X,X,X
IZTOLJS,X,X,X
IZTOLSJ,X,X,X
IZTOJLS,X,X,X
IZTOJSL,X,X,X
IZTOSLJ,X,X,X
IZTOSJL,X,X,X
IZLTJSO,X,O,X
IZLTJOS,X,O,X
IZLTSJO,X,O,X
IZLTSOJ,X,O,X
IZLTOJS,X,O,X
IZLTOSJ,X,O,X
IZLJTSO,X,O,X
IZLJTOS,X,O,X
IZLJSTO,X,O,X
IZLJSOT,X,O,X
IZLJOTS,X,O,X
IZLJOST,X,O,X
IZLSTJO,X,O,X
IZLSTOJ,X,O,X
IZLSJTO,X,O,X
IZLSJOT,X,O,X
IZLSOTJ,X,O,X
IZLSOJT,X,O,X
IZLOTJS,X,O,X
IZLOTSJ,X,O,X
IZLOJTS,X,O,X
IZLOJST,X,O,X
IZLOSTJ,X,O,X
IZLOSJT,X,O,X
IZJTLSO,X,O,X
IZJTLOS,X,O,X
IZJTSLO,X,O,X
IZJTSOL,X,X,X
IZJTOLS,X,X,X
IZJTOSL,X,X,X
IZJLTSO,X,O,X
IZJLTOS,X,O,X
IZJLSTO,X,O,X
IZJLSOT,X,O,X
IZJLOTS,X,O,X
IZJLOST,X,O,X
IZJSTLO,X,O,X
IZJSTOL,X,X,X
IZJSLTO,X,O,X
IZJSLOT,X,O,X
IZJSOTL,X,X,X
IZJSOLT,X,X,X
IZJOTLS,X,X,X
IZJOTSL,X,X,X
IZJOLTS,X,X,X
IZJOLST,X,X,X
IZJOSTL,X,X,X
IZJOSLT,X,X,X
IZSTLJO,X,O,X
IZSTLOJ,X,O,X
IZSTJLO,X,O,X
IZSTJOL,X,X,X
IZSTOLJ,X,X,X
IZSTOJL,X,X,X
IZSLTJO,X,O,X
IZSLTOJ,X,O,X
IZSLJTO,X,O,X
IZSLJOT,X,O,X
IZSLOTJ,X,O,X
IZSLOJT,X,O,X
IZSJTLO,X,O,X
IZSJTOL,X,X,X
IZSJLTO,X,O,X
IZSJLOT,X,O,X
IZSJOTL,X,X,X
IZSJOLT,X,X,X
IZSOTLJ,X,X,X
IZSOTJL,X,X,X
IZSOLTJ,X,X,X
IZSOLJT,X,X,X
IZSOJTL,X,X,X
IZSOJLT,X,X,X
IZOTLJS,X,X,X
IZOTLSJ,X,X,X
IZOTJLS,X,X,X
IZOTJSL,X,X,X
IZOTSLJ,X,X,X
IZOTSJL,X,X,X
IZOLTJS,X,X,X
IZOLTSJ,X,X,X
IZOLJTS,X,X,X
IZOLJST,X,X,X
IZOLSTJ,X,X,X
IZOLSJT,X,X,X
IZOJTLS,X,X,X
IZOJTSL,X,X,X
IZOJLTS,X,X,X
IZOJLST,X,X,X
IZOJSTL,X,X,X
IZOJSLT,X,X,X
IZOSTLJ,X,X,X
IZOSTJL,X,X,X
IZOSLTJ,X,X,X
IZOSLJT,X,X,X
IZOSJTL,X,X,X
IZOSJLT,X,X,X
IOTLJSZ,X,X,X
IOTLJZS,X,X,X
IOTLSJZ,X,X,X
IOTLSZJ,X,X,X
IOTLZJS,X,X,X
IOTLZSJ,X,X,X
IOTJLSZ,X,X,X
IOTJLZS,X,X,X
IOTJSLZ,X,X,X
IOTJSZL,X,X,X
IOTJZLS,X,X,X
IOTJZSL,X,X,X
IOTSLJZ,X,X,X
IOTSLZJ,X,X,X
IOTSJLZ,X,X,X
IOTSJZL,X,X,X
IOTSZLJ,X,X,X
IOTSZJL,X,X,X
IOTZLJS,X,X,X
IOTZLSJ,X,X,X
IOTZJLS,X,X,X
IOTZJSL,X,X,X
IOTZSLJ,X,X,X
IOTZSJL,X,X,X
IOLTJSZ,O,X,X
IOLTJZS,O,X,X
IOLTSJZ,O,X,X
IOLTSZJ,O,X,X
IOLTZJS,O,X,X
IOLTZSJ,O,X,X
IOLJTSZ,O,X,X
IOLJTZS,O,X,X
IOLJSTZ,O,X,X
IOLJSZT,O,X,X
IOLJZTS,O,X,X
IOLJZST,O,X,X
IOLSTJZ,O,X,X
IOLSTZJ,O,X,X
IOLSJTZ,O,X,X
IOLSJZT,O,X,X
IOLSZTJ,O,X,X
IOLSZJT,O,X,X
IOLZTJS,O,X,X
IOLZTSJ,O,X,X
IOLZJTS,O,X,X
IOLZJST,O,X,X
IOLZSTJ,O,X,X
IOLZSJT,O,X,X
IOJTLSZ,X,X,X
IOJTLZS,X,X,X
IOJTSLZ,X,X,X
IOJTSZL,X,X,X
IOJTZLS,X,X,X
IOJTZSL,X,X,X
IOJLTSZ,O,X,X
IOJLTZS,O,X,X
IOJLSTZ,O,X,X
IOJLSZT,O,X,X
IOJLZTS,O,X,X
IOJLZST,O,X,X
IOJSTLZ,O,X,X
IOJSTZL,O,X,X
IOJSLTZ,O,X,X
IOJSLZT,O,X,X
IOJSZTL,O,X,X
IOJSZLT,O,X,X
IOJZTLS,X,X,X
IOJZTSL,O,X,X
IOJZLTS,O,X,X
IOJZLST,O,X,X
IOJZSTL,O,X,X
IOJZSLT,O,X,X
IOSTLJZ,O,X,X
IOSTLZJ,O,X,X
IOSTJLZ,O,X,X
IOSTJZL,O,X,X
IOSTZLJ,X,X,X
IOSTZJL,O,X,X
IOSLTJZ,O,X,X
IOSLTZJ,O,X,X
IOSLJTZ,O,X,X
IOSLJZT,O,X,X
IOSLZTJ,O,X,X
IOSLZJT,O,X,X
IOSJTLZ,O,X,X
IOSJTZL,O,X,X
IOSJLTZ,O,X,X
IOSJLZT,O,X,X
IOSJZTL,O,X,X
IOSJZLT,O,X,X
IOSZTLJ,X,X,X
IOSZTJL,O,X,X
IOSZLTJ,O,X,X
IOSZLJT,O,X,X
IOSZJTL,O,X,X
IOSZJLT,O,X,X
IOZTLJS,X,X,X
IOZTLSJ,X,X,X
IOZTJLS,X,X,X
IOZTJSL,O,X,X
IOZTSLJ,X,X,X
IOZTSJL,O,X,X
IOZLTJS,O,X,X
IOZLTSJ,O,X,X
IOZLJTS,O,X,X
IOZLJST,O,X,X
IOZLSTJ,O,X,X
IOZLSJT,O,X,X
IOZJTLS,X,X,X
IOZJTSL,O,X,X
IOZJLTS,O,X,X
IOZJLST,O,X,X
IOZJSTL,O,X,X
IOZJSLT,O,X,X
IOZSTLJ,X,X,X
IOZSTJL,O,X,X
IOZSLTJ,O,X,X
IOZSLJT,O,X,X
IOZSJTL,O,X,X
IOZSJLT,O,X,X
LTIJSZO,O,X,X
LTIJSOZ,X,X,X
LTIJZSO,O,X,X
LTIJZOS,X,X,X
LTIJOSZ,X,X,X
LTIJOZS,X,X,X
LTISJZO,O,X,X
LTISJOZ,X,X,X
LTISZJO,O,X,X
LTISZOJ,O,X,X
LTISOJZ,O,X,X
LTISOZJ,O,X,X
LTIZJSO,O,X,X
LTIZJOS,X,X,X
LTIZSJO,O,X,X
LTIZSOJ,O,X,X
LTIZOJS,O,X,X
LTIZOSJ,O,X,X
LTIOJSZ,O,X,X
LTIOJZS,O,X,X
LTIOSJZ,O,X,X
LTIOSZJ,O,X,X
LTIOZJS,O,X,X
LTIOZSJ,O,X,X
LTJISZO,O,X,X
LTJISOZ,X,X,X
LTJIZSO,O,X,X
LTJIZOS,X,X,X
LTJIOSZ,X,X,X
LTJIOZS,X,X,X
LTJSIZO,O,X,X
LTJSIOZ,X,X,X
LTJSZIO,O,X,X
LTJSZOI,X,X,X
LTJSOIZ,X,X,X
LTJSOZI,X,X,X
LTJZISO,O,X,X
LTJZIOS,X,X,X
LTJZSIO,O,X,X
LTJZSOI,X,X,X
LTJZOIS,X,X,X
LTJZOSI,X,X,X
LTJOISZ,X,X,X
LTJOIZS,X,X,X
LTJOSIZ,X,X,X
LTJOSZI,X,X,X
LTJOZIS,X,X,X
LTJOZSI,X,X,X
LTSIJZO,O,X,X
LTSIJOZ,X,X,X
LTSIZJO,O,X,X
LTSIZOJ,O,X,X
LTSIOJZ,O,X,X
LTSIOZJ,O,X,X
LTSJIZO,O,X,X
LTSJIOZ,X,X,X
LTSJZIO,O,X,X
LTSJZOI,X,X,X
LTSJOIZ,X,X,X
LTSJOZI,X,X,X
LTSZIJO,O,X,X
LTSZIOJ,O,X,X
LTSZJIO,O,X,X
LTSZJOI,X,X,X
LTSZOIJ,O,X,X
LTSZOJI,O,X,X
LTSOIJZ,O,X,X
LTSOIZJ,O,X,X
LTSOJIZ,O,X,X
LTSOJZI,O,X,X
LTSOZIJ,O,X,X
LTSOZJI,O,X,X
LTZIJSO,O,X,X
LTZIJOS,X,X,X
LTZISJO,O,X,X
LTZISOJ,O,X,X
LTZIOJS,O,X,X
LTZIOSJ,O,X,X
LTZJISO,O,X,X
LTZJIOS,X,X,X
LTZJSIO,O,X,X
LTZJSOI,X,X,X
LTZJOIS,X,X,X
LTZJOSI,X,X,X
LTZSIJO,O,X,X
LTZSIOJ,O,X,X
LTZSJIO,O,X,X
LTZSJOI,X,X,X
LTZSOIJ,O,X,X
LTZSOJI,O,X,X
LTZOIJS,O,X,X
LTZOISJ,O,X,X
LTZOJIS,O,X,X
LTZOJSI,O,X,X
LTZOSIJ,O,X,X
LTZOSJI,O,X,X
LTOIJSZ,O,X,X
LTOIJZS,O,X,X
LTOISJZ,O,X,X
LTOISZJ,O,X,X
LTOIZJS,O,X,X
LTOIZSJ,O,X,X
LTOJISZ,O,X,X
LTOJIZS,O,X,X
LTOJSIZ,O,X,X
LTOJSZI,O,X,X
LTOJZIS,O,X,X
LTOJZSI,O,X,X
LTOSIJZ,O,X,X
LTOSIZJ,O,X,X
LTOSJIZ,O,X,X
LTOSJZI,O,X,X
LTOSZIJ,O,X,X
LTOSZJI,O,X,X
LTOZIJS,O,X,X
LTOZISJ,O,X,X
LTOZJIS,O,X,X
LTOZJSI,O,X,X
LTOZSIJ,O,X,X
LTOZSJI,O,X,X
LITJSZO,O,X,X
LITJSOZ,X,X,X
LITJZSO,O,X,X
LITJZOS,X,X,X
LITJOSZ,X,X,X
LITJOZS,X,X,X
LITSJZO,O,X,X
LITSJOZ,X,X,X
LITSZJO,O,X,X
LITSZOJ,O,X,X
LITSOJZ,O,X,X
LITSOZJ,O,X,X
LITZJSO,O,X,X
LITZJOS,X,X,X
LITZSJO,O,X,X
LITZSOJ,O,X,X
LITZOJS,O,X,X
LITZOSJ,O,X,X
LITOJSZ,O,X,X
LITOJZS,O,X,X
LITOSJZ,O,X,X
LITOSZJ,O,X,X
LITOZJS,O,X,X
LITOZSJ,O,X,X
LIJTSZO,O,X,X
LIJTSOZ,X,X,X
LIJTZSO,O,X,X
LIJTZOS,X,X,X
LIJTOSZ,X,X,X
LIJTOZS,X,X,X
LIJSTZO,O,X,X
LIJSTOZ,X,X,X
LIJSZTO,O,O,X
LIJSZOT,X,O,X
LIJSOTZ,X,X,X
LIJSOZT,X,O,X
LIJZTSO,O,O,X
LIJZTOS,X,O,X
LIJZSTO,O,O,X
LIJZSOT,X,O,X
LIJZOTS,X,O,X
LIJZOST,X,O,X
LIJOTSZ,X,X,X
LIJOTZS,X,X,X
LIJOSTZ,X,X,X
LIJOSZT,X,O,X
LIJOZTS,X,O,X
LIJOZST,X,O,X
LISTJZO,O,X,X
LISTJOZ,X,X,X
LISTZJO,O,X,X
LISTZOJ,O,X,X
LISTOJZ,O,X,X
LISTOZJ,O,X,X
LISJTZO,O,X,X
LISJTOZ,X,X,X
LISJZTO,O,O,X
LISJZOT,X,O,X
LISJOTZ,X,X,X
LISJOZT,X,O,X
LISZTJO,O,O,X
LISZTOJ,O,O,X
LISZJTO,O,O,X
LISZJOT,X,O,X
LISZOTJ,O,O,X
LISZOJT,O,O,X
LISOTJZ,O,X,X
LISOTZJ,O,X,X
LISOJTZ,O,X,X
LISOJZT,O,O,X
LISOZTJ,O,O,X
LISOZJT,O,O,X
LIZTJSO,O,O,X
LIZTJOS,X,O,X
LIZTSJO,O,O,X
LIZTSOJ,O,O,X
LIZTOJS,O,O,X
LIZTOSJ,O,O,X
LIZJTSO,O,O,X
LIZJTOS,X,O,X
LIZJSTO,O,O,X
LIZJSOT,X,O,X
LIZJOTS,X,O,X
LIZJOST,X,O,X
LIZSTJO,O,O,X
LIZSTOJ,O,O,X
LIZSJTO,O,O,X
LIZSJOT,X,O,X
LIZSOTJ,O,O,X
LIZSOJT,O,O,X
LIZOTJS,O,O,X
LIZOTSJ,O,O,X
LIZOJTS,O,O,X
LIZOJST,O,O,X
LIZOSTJ,O,O,X
LIZOSJT,O,O,X
LIOTJSZ,O,X,X
LIOTJZS,O,X,X
LIOTSJZ,O,X,X
LIOTSZJ,O,X,X
LIOTZJS,O,X,X
LIOTZSJ,O,X,X
LIOJTSZ,O,X,X
LIOJTZS,O,X,X
LIOJSTZ,O,X,X
LIOJSZT,O,O,X
LIOJZTS,O,O,X
LIOJZST,O,O,X
LIOSTJZ,O,X,X
LIOSTZJ,O,X,X
LIOSJTZ,O,X,X
LIOSJZT,O,O,X
LIOSZTJ,O,O,X
LIOSZJT,O,O,X
LIOZTJS,O,O,X
LIOZTSJ,O,O,X
LIOZJTS,O,O,X
LIOZJST,O,O,X
LIOZSTJ,O,O,X
LIOZSJT,O,O,X
LJTISZO,O,X,X
LJTISOZ,X,X,X
LJTIZSO,O,X,X
LJTIZOS,X,X,X
LJTIOSZ,X,X,X
LJTIOZS,X,X,X
LJTSIZO,O,X,X
LJTSIOZ,X,X,X
LJTSZIO,O,X,X
LJTSZOI,X,X,X
LJTSOIZ,X,X,X
LJTSOZI,X,X,X
LJTZISO,O,X,X
LJTZIOS,X,X,X
LJTZSIO,O,X,X
LJTZSOI,X,X,X
LJTZOIS,X,X,X
LJTZOSI,X,X,X
LJTOISZ,X,X,X
LJTOIZS,X,X,X
LJTOSIZ,X,X,X
LJTOSZI,X,X,X
LJTOZIS,X,X,X
LJTOZSI,X,X,X
LJITSZO,O,X,X
LJITSOZ,X,X,X
LJITZSO,O,X,X
LJITZOS,X,X,X
LJITOSZ,X,X,X
LJITOZS,X,X,X
LJISTZO,O,X,X
LJISTOZ,X,X,X
LJISZTO,O,O,X
LJISZOT,X,O,X
LJISOTZ,X,X,X
LJISOZT,X,O,X
LJIZTSO,O,O,X
LJIZTOS,X,O,X
LJIZSTO,O,O,X
LJIZSOT,X,O,X
LJIZOTS,X,O,X
LJIZOST,X,O,X
LJIOTSZ,X,X,X
LJIOTZS,X,X,X
LJIOSTZ,X,X,X
LJIOSZT,X,O,X
LJIOZTS,X,O,X
LJIOZST,X,O,X
LJSTIZO,O,X,X
LJSTIOZ,X,X,X
LJSTZIO,O,X,X
LJSTZOI,X,X,X
LJSTOIZ,X,X,X
LJSTOZI,X,X,X
LJSITZO,O,X,X
LJSITOZ,X,X,X
LJSIZTO,O,O,X
LJSIZOT,X,O,X
LJSIOTZ,X,X,X
LJSIOZT,X,O,X
LJSZTIO,O,O,X
LJSZTOI,X,O,X
LJSZITO,O,O,X
LJSZIOT,X,O,X
LJSZOTI,X,O,X
LJSZOIT,X,O,X
LJSOTIZ,X,X,X
LJSOTZI,X,X,X
LJSOITZ,X,X,X
LJSOIZT,X,O,X
LJSOZTI,X,O,X
LJSOZIT,X,O,X
LJZTISO,O,O,X
LJZTIOS,X,O,X
LJZTSIO,O,O,X
LJZTSOI,X,O,X
LJZTOIS,X,O,X
LJZTOSI,X,O,X
LJZITSO,O,O,X
LJZITOS,X,O,X
LJZISTO,O,O,X
LJZISOT,X,O,X
LJZIOTS,X,O,X
LJZIOST,X,O,X
LJZSTIO,O,O,X
LJZSTOI,X,O,X
LJZSITO,O,O,X
LJZSIOT,X,O,X
LJZSOTI,X,O,X
LJZSOIT,X,O,X
LJZOTIS,X,O,X
LJZOTSI,X,O,X
LJZOITS,X,O,X
LJZOIST,X,O,X
LJZOSTI,X,O,X
LJZOSIT,X,O,X
LJOTISZ,X,X,X
LJOTIZS,X,X,X
LJOTSIZ,X,X,X
LJOTSZI,X,X,X
LJOTZIS,X,X,X
LJOTZSI,X,X,X
LJOITSZ,X,X,X
LJOITZS,X,X,X
LJOISTZ,X,X,X
LJOISZT,X,O,X
LJOIZTS,X,O,X
LJOIZST,X,O,X
LJOSTIZ,X,X,X
LJOSTZI,X,X,X
LJOSITZ,X,X,X
LJOSIZT,X,O,X
LJOSZTI,X,O,X
LJOSZIT,X,O,X
LJOZTIS,X,O,X
LJOZTSI,X,O,X
LJOZITS,X,O,X
LJOZIST,X,O,X
LJOZSTI,X,O,X
LJOZSIT,X,O,X
LSTIJZO,O,X,X
LSTIJOZ,X,X,X
LSTIZJO,O,X,X
LSTIZOJ,O,X,X
LSTIOJZ,O,X,X
LSTIOZJ,O,X,X
LSTJIZO,O,X,X
LSTJIOZ,X,X,X
LSTJZIO,O,X,X
LSTJZOI,X,X,X
LSTJOIZ,X,X,X
LSTJOZI,X,X,X
LSTZIJO,O,X,X
LSTZIOJ,O,X,X
LSTZJIO,O,X,X
LSTZJOI,X,X,X
LSTZOIJ,O,X,X
LSTZOJI,O,X,X
LSTOIJZ,O,X,X
LSTOIZJ,O,X,X
LSTOJIZ,O,X,X
LSTOJZI,O,X,X
LSTOZIJ,O,X,X
LSTOZJI,O,X,X
LSITJZO,O,X,X
LSITJOZ,X,X,X
LSITZJO,O,X,X
LSITZOJ,O,X,X
LSITOJZ,O,X,X
LSITOZJ,O,X,X
LSIJTZO,O,X,X
LSIJTOZ,X,X,X
LSIJZTO,O,O,X
LSIJZOT,X,O,X
LSIJOTZ,X,X,X
LSIJOZT,X,O,X
LSIZTJO,O,O,X
LSIZTOJ,O,O,X
LSIZJTO,O,O,X
LSIZJOT,X,O,X
LSIZOTJ,O,O,X
LSIZOJT,O,O,X
LSIOTJZ,O,X,X
LSIOTZJ,O,X,X
LSIOJTZ,O,X,X
LSIOJZT,O,O,X
LSIOZTJ,O,O,X
LSIOZJT,O,O,X
LSJTIZO,O,X,X
LSJTIOZ,X,X,X
LSJTZIO,O,X,X
LSJTZOI,X,X,X
LSJTOIZ,X,X,X
LSJTOZI,X,X,X
LSJITZO,O,X,X
LSJITOZ,X,X,X
LSJIZTO,O,O,X
LSJIZOT,X,O,X
LSJIOTZ,X,X,X
LSJIOZT,X,O,X
LSJZTIO,O,O,X
LSJZTOI,X,O,X
LSJZITO,O,O,X
LSJZIOT,X,O,X
LSJZOTI,X,O,X
LSJZOIT,X,O,X
LSJOTIZ,X,X,X
LSJOTZI,X,X,X
LSJOITZ,X,X,X
LSJOIZT,X,O,X
LSJOZTI,X,O,X
LSJOZIT,X,O,X
LSZTIJO,O,O,X
LSZTIOJ,O,O,X
LSZTJIO,O,O,X
LSZTJOI,X,O,X
LSZTOIJ,O,O,X
LSZTOJI,O,O,X
LSZITJO,O,O,X
LSZITOJ,O,O,X
LSZIJTO,O,O,X
LSZIJOT,X,O,X
LSZIOTJ,O,O,X
LSZIOJT,O,O,X
LSZJTIO,O,O,X
LSZJTOI,X,O,X
LSZJITO,O,O,X
LSZJIOT,X,O,X
LSZJOTI,X,O,X
LSZJOIT,X,O,X
LSZOTIJ,O,O,X
LSZOTJI,O,O,X
LSZOITJ,O,O,X
LSZOIJT,O,O,X
LSZOJTI,O,O,X
LSZOJIT,O,O,X
LSOTIJZ,O,X,X
LSOTIZJ,O,X,X
LSOTJIZ,O,X,X
LSOTJZI,O,X,X
LSOTZIJ,O,X,X
LSOTZJI,O,X,X
LSOITJZ,O,X,X
LSOITZJ,O,X,X
LSOIJTZ,O,X,X
LSOIJZT,O,O,X
LSOIZTJ,O,O,X
LSOIZJT,O,O,X
LSOJTIZ,O,X,X
LSOJTZI,O,X,X
LSOJITZ,O,X,X
LSOJIZT,O,O,X
LSOJZTI,O,O,X
LSOJZIT,O,O,X
LSOZTIJ,O,O,X
LSOZTJI,O,O,X
LSOZITJ,O,O,X
LSOZIJT,O,O,X
LSOZJTI,O,O,X
LSOZJIT,O,O,X
LZTIJSO,O,O,X
LZTIJOS,X,O,X
LZTISJO,O,O,X
LZTISOJ,O,O,X
LZTIOJS,O,O,X
LZTIOSJ,O,O,X
LZTJISO,O,O,X
LZTJIOS,X,O,X
LZTJSIO,O,O,X
LZTJSOI,X,O,X
LZTJOIS,X,O,X
LZTJOSI,X,O,X
LZTSIJO,O,O,X
LZTSIOJ,O,O,X
LZTSJIO,O,O,X
LZTSJOI,X,O,X
LZTSOIJ,O,O,X
LZTSOJI,O,O,X
LZTOIJS,O,O,X
LZTOISJ,O,O,X
LZTOJIS,O,O,X
LZTOJSI,O,O,X
LZTOSIJ,O,O,X
LZTOSJI,O,O,X
LZITJSO,O,O,X
LZITJOS,X,O,X
LZITSJO,O,O,X
LZITSOJ,O,O,X
