sequence,v115@9gA8IeA8DeA8DeA8CeB8BeA8AeA8DeD8KeFAJvhFXh?BmiB5oBqpBTnB0qB,v115@9gA8IeA8DeA8DeA8CeB8BeA8AeA8DeD8KeCAJvhFXh?BmiB5oB8pBTnB1vB,v115@9gA8IeA8DeA8DeA8CeB8BeA8AeA8DeD8KeXBJvhFKn?BziB5oBupB0qBFqB,v115@9gA8IeA8DeA8DeA8CeB8BeA8AeA8DeD8KeuEJvhFFh?BKnBziB5oBXqB0qB,v115@9gA8IeA8DeA8DeA8CeB8BeA8AeA8DeD8KeXBJvhFOn?B8nB5oBzkB1vBCqB
TJISZOL,X,X,X,X,X
TJISOLZ,X,X,X,X,X
TJISOZL,X,X,X,X,X
TJIZLSO,X,O,X,X,X
TJIZLOS,X,X,X,X,X
TJIZSLO,X,O,X,X,X
TJIZSOL,X,X,X,X,X
TJIZOLS,X,X,X,X,X
TJIZOSL,X,X,X,X,X
TJIOLSZ,X,X,X,X,X
TJIOLZS,X,X,X,X,X
TJIOSLZ,X,X,X,X,X
TJIOSZL,X,X,X,X,X
TJIOZLS,X,X,X,X,X
TJIOZSL,X,X,X,X,X
TJLISZO,X,X,X,X,X
TJLISOZ,X,X,X,X,X
TJLIZSO,X,X,X,X,X
TJLIZOS,X,X,X,X,X
TJLIOSZ,X,X,X,X,X
TJLIOZS,X,X,X,X,X
TJLSIZO,X,X,X,X,X
TJLSIOZ,X,X,X,X,X
TJLSZIO,X,X,X,X,X
TJLSZOI,X,X,X,X,X
TJLSOIZ,X,X,X,X,X
TJLSOZI,X,X,X,X,X
TJLZISO,X,X,X,X,X
TJLZIOS,X,X,X,X,X
TJLZSIO,X,X,X,X,X
TJLZSOI,X,X,X,X,X
TJLZOIS,X,X,X,X,X
TJLZOSI,X,X,X,X,X
TJLOISZ,X,X,X,X,X
TJLOIZS,X,X,X,X,X
TJLOSIZ,X,X,X,X,X
TJLOSZI,X,X,X,X,X
TJLOZIS,X,X,X,X,X
TJLOZSI,X,X,X,X,X
TJSILZO,X,X,X,X,X
TJSILOZ,X,X,X,X,X
TJSIZLO,X,O,X,X,X
TJSIZOL,X,X,X,X,X
TJSIOLZ,X,X,X,X,X
TJSIOZL,X,X,X,X,X
TJSLIZO,X,X,X,X,X
TJSLIOZ,X,X,X,X,X
TJSLZIO,X,X,X,X,X
TJSLZOI,X,X,X,X,X
TJSLOIZ,X,X,X,X,X
TJSLOZI,X,X,X,X,X
TJSZILO,X,O,X,X,X
TJSZIOL,X,X,X,X,X
TJSZLIO,X,O,X,X,X
TJSZLOI,X,X,X,X,X
TJSZOIL,X,X,X,X,X
TJSZOLI,X,X,X,X,X
TJSOILZ,X,X,X,X,X
TJSOIZL,X,X,X,X,X
TJSOLIZ,X,X,X,X,X
TJSOLZI,X,X,X,X,X
TJSOZIL,X,X,X,X,X
TJSOZLI,X,X,X,X,X
TJZILSO,X,O,X,X,X
TJZILOS,X,X,X,X,X
TJZISLO,X,O,X,X,X
TJZISOL,X,X,X,X,X
TJZIOLS,X,X,X,X,X
TJZIOSL,X,X,X,X,X
TJZLISO,X,O,X,X,X
TJZLIOS,X,X,X,X,X
TJZLSIO,X,O,X,X,X
TJZLSOI,X,X,X,X,X
TJZLOIS,X,X,X,X,X
TJZLOSI,X,X,X,X,X
TJZSILO,X,O,X,X,X
TJZSIOL,X,X,X,X,X
TJZSLIO,X,O,X,X,X
TJZSLOI,X,X,X,X,X
TJZSOIL,X,X,X,X,X
TJZSOLI,X,X,X,X,X
TJZOILS,X,X,X,X,X
TJZOISL,X,X,X,X,X
TJZOLIS,X,X,X,X,X
TJZOLSI,X,X,X,X,X
TJZOSIL,X,X,X,X,X
TJZOSLI,X,X,X,X,X
TJOILSZ,X,X,X,X,X
TJOILZS,X,X,X,X,X
TJOISLZ,X,X,X,X,X
TJOISZL,X,X,X,X,X
TJOIZLS,X,X,X,X,X
TJOIZSL,X,X,X,X,X
TJOLISZ,X,X,X,X,X
TJOLIZS,X,X,X,X,X
TJOLSIZ,X,X,X,X,X
TJOLSZI,X,X,X,X,X
TJOLZIS,X,X,X,X,X
TJOLZSI,X,X,X,X,X
TJOSILZ,X,X,X,X,X
TJOSIZL,X,X,X,X,X
TJOSLIZ,X,X,X,X,X
TJOSLZI,X,X,X,X,X
TJOSZIL,X,X,X,X,X
TJOSZLI,X,X,X,X,X
TJOZILS,X,X,X,X,X
TJOZISL,X,X,X,X,X
TJOZLIS,X,X,X,X,X
TJOZLSI,X,X,X,X,X
TJOZSIL,X,X,X,X,X
TJOZSLI,X,X,X,X,X
TSILJZO,X,X,X,X,X
TSILJOZ,X,X,X,O,X
TSILZJO,X,X,X,X,X
TSILZOJ,X,X,X,X,X
TSILOJZ,X,X,X,O,X
TSILOZJ,X,X,X,X,X
TSIJLZO,X,X,X,X,X
TSIJLOZ,X,X,X,O,X
TSIJZLO,X,O,X,X,X
TSIJZOL,X,X,X,X,X
TSIJOLZ,X,X,X,X,X
TSIJOZL,X,X,X,X,X
TSIZLJO,X,O,X,X,X
TSIZLOJ,X,O,X,X,X
TSIZJLO,X,O,X,X,X
TSIZJOL,X,X,X,X,O
TSIZOLJ,X,O,X,X,X
TSIZOJL,X,O,X,X,O
TSIOLJZ,X,X,X,X,X
TSIOLZJ,X,X,X,X,X
TSIOJLZ,X,X,X,X,X
TSIOJZL,X,O,X,X,X
TSIOZLJ,X,O,X,X,X
TSIOZJL,X,O,X,X,O
TSLIJZO,X,X,X,X,X
TSLIJOZ,X,X,X,O,X
TSLIZJO,X,X,X,X,X
TSLIZOJ,X,X,X,X,X
TSLIOJZ,X,X,X,O,X
TSLIOZJ,X,X,X,X,X
TSLJIZO,X,X,X,X,X
TSLJIOZ,X,X,X,O,X
TSLJZIO,X,X,X,X,X
TSLJZOI,X,X,X,X,X
TSLJOIZ,X,X,X,O,X
TSLJOZI,X,X,X,X,X
TSLZIJO,X,X,X,X,X
TSLZIOJ,X,X,X,X,X
TSLZJIO,X,X,X,X,X
TSLZJOI,X,X,X,X,X
TSLZOIJ,X,X,X,X,X
TSLZOJI,X,X,X,X,X
TSLOIJZ,X,X,X,O,X
TSLOIZJ,X,X,X,X,X
TSLOJIZ,X,X,X,O,X
TSLOJZI,X,X,X,X,X
TSLOZIJ,X,X,X,X,X
TSLOZJI,X,X,X,X,X
TSJILZO,X,X,X,X,X
TSJILOZ,X,X,X,O,X
TSJIZLO,X,O,X,X,X
TSJIZOL,X,X,X,X,X
TSJIOLZ,X,X,X,X,X
TSJIOZL,X,X,X,X,X
TSJLIZO,X,X,X,X,X
TSJLIOZ,X,X,X,O,X
TSJLZIO,X,X,X,X,X
TSJLZOI,X,X,X,X,X
TSJLOIZ,X,X,X,O,X
TSJLOZI,X,X,X,X,X
TSJZILO,X,O,X,X,X
TSJZIOL,X,X,X,X,X
TSJZLIO,X,O,X,X,X
TSJZLOI,X,X,X,X,X
TSJZOIL,X,X,X,X,X
TSJZOLI,X,X,X,X,X
TSJOILZ,X,X,X,X,X
TSJOIZL,X,X,X,X,X
TSJOLIZ,X,X,X,X,X
TSJOLZI,X,X,X,X,X
TSJOZIL,X,X,X,X,X
TSJOZLI,X,X,X,X,X
TSZILJO,X,O,X,X,X
TSZILOJ,X,O,X,X,X
TSZIJLO,X,O,X,X,X
TSZIJOL,X,X,X,X,O
TSZIOLJ,X,O,X,X,X
TSZIOJL,X,O,X,X,O
TSZLIJO,X,O,X,X,X
TSZLIOJ,X,O,X,X,X
TSZLJIO,X,O,X,X,X
TSZLJOI,X,X,X,X,X
TSZLOIJ,X,O,X,X,X
TSZLOJI,X,O,X,X,X
TSZJILO,X,O,X,X,X
TSZJIOL,X,X,X,X,O
TSZJLIO,X,O,X,X,X
TSZJLOI,X,X,X,X,X
TSZJOIL,X,X,X,X,O
TSZJOLI,X,X,X,X,X
TSZOILJ,X,O,X,X,X
TSZOIJL,X,O,X,X,O
TSZOLIJ,X,O,X,X,X
TSZOLJI,X,O,X,X,X
TSZOJIL,X,O,X,X,O
TSZOJLI,X,O,X,X,X
TSOILJZ,X,X,X,X,X
TSOILZJ,X,X,X,X,X
TSOIJLZ,X,X,X,X,X
TSOIJZL,X,O,X,X,X
TSOIZLJ,X,O,X,X,X
TSOIZJL,X,O,X,X,O
TSOLIJZ,X,X,X,X,X
TSOLIZJ,X,X,X,X,X
TSOLJIZ,X,X,X,X,X
TSOLJZI,X,X,X,X,X
TSOLZIJ,X,X,X,X,X
TSOLZJI,X,X,X,X,X
TSOJILZ,X,X,X,X,X
TSOJIZL,X,O,X,X,X
TSOJLIZ,X,X,X,X,X
TSOJLZI,X,X,X,X,X
TSOJZIL,X,O,X,X,X
TSOJZLI,X,O,X,X,X
TSOZILJ,X,O,X,X,X
TSOZIJL,X,O,X,X,O
TSOZLIJ,X,O,X,X,X
TSOZLJI,X,O,X,X,X
TSOZJIL,X,O,X,X,O
TSOZJLI,X,O,X,X,X
TZILJSO,X,O,X,X,X
TZILJOS,X,X,X,X,X
TZILSJO,X,O,X,X,X
TZILSOJ,X,O,X,X,X
TZILOJS,X,O,X,X,X
TZILOSJ,X,O,X,X,X
TZIJLSO,X,O,X,X,X
TZIJLOS,X,X,X,X,X
TZIJSLO,X,O,X,X,X
TZIJSOL,X,X,X,X,O
TZIJOLS,X,X,X,X,X
TZIJOSL,X,X,X,X,O
TZISLJO,X,O,X,X,X
TZISLOJ,X,O,X,X,X
TZISJLO,X,O,X,X,X
TZISJOL,X,X,X,X,O
TZISOLJ,X,O,X,X,X
TZISOJL,X,O,X,X,O
TZIOLJS,X,O,X,X,X
TZIOLSJ,X,O,X,X,X
TZIOJLS,X,O,X,X,X
TZIOJSL,X,O,X,X,O
TZIOSLJ,X,O,X,X,X
TZIOSJL,X,O,X,X,O
TZLIJSO,X,O,X,X,X
TZLIJOS,X,X,X,X,X
TZLISJO,X,O,X,X,X
TZLISOJ,X,O,X,X,X
TZLIOJS,X,O,X,X,X
TZLIOSJ,X,O,X,X,X
TZLJISO,X,O,X,X,X
TZLJIOS,X,X,X,X,X
TZLJSIO,X,O,X,X,X
TZLJSOI,X,X,X,X,X
TZLJOIS,X,X,X,X,X
TZLJOSI,X,X,X,X,X
TZLSIJO,X,O,X,X,X
TZLSIOJ,X,O,X,X,X
TZLSJIO,X,O,X,X,X
TZLSJOI,X,X,X,X,X
TZLSOIJ,X,O,X,X,X
TZLSOJI,X,O,X,X,X
TZLOIJS,X,O,X,X,X
TZLOISJ,X,O,X,X,X
TZLOJIS,X,O,X,X,X
TZLOJSI,X,O,X,X,X
TZLOSIJ,X,O,X,X,X
TZLOSJI,X,O,X,X,X
TZJILSO,X,O,X,X,X
TZJILOS,X,X,X,X,X
TZJISLO,X,O,X,X,X
TZJISOL,X,X,X,X,O
TZJIOLS,X,X,X,X,X
TZJIOSL,X,X,X,X,O
TZJLISO,X,O,X,X,X
TZJLIOS,X,X,X,X,X
TZJLSIO,X,O,X,X,X
TZJLSOI,X,X,X,X,X
TZJLOIS,X,X,X,X,X
TZJLOSI,X,X,X,X,X
TZJSILO,X,O,X,X,X
TZJSIOL,X,X,X,X,O
TZJSLIO,X,O,X,X,X
TZJSLOI,X,X,X,X,X
TZJSOIL,X,X,X,X,O
TZJSOLI,X,X,X,X,X
TZJOILS,X,X,X,X,X
TZJOISL,X,X,X,X,O
TZJOLIS,X,X,X,X,X
TZJOLSI,X,X,X,X,X
TZJOSIL,X,X,X,X,O
TZJOSLI,X,X,X,X,X
TZSILJO,X,O,X,X,X
TZSILOJ,X,O,X,X,X
TZSIJLO,X,O,X,X,X
TZSIJOL,X,X,X,X,O
TZSIOLJ,X,O,X,X,X
TZSIOJL,X,O,X,X,O
TZSLIJO,X,O,X,X,X
TZSLIOJ,X,O,X,X,X
TZSLJIO,X,O,X,X,X
TZSLJOI,X,X,X,X,X
TZSLOIJ,X,O,X,X,X
TZSLOJI,X,O,X,X,X
TZSJILO,X,O,X,X,X
TZSJIOL,X,X,X,X,O
TZSJLIO,X,O,X,X,X
TZSJLOI,X,X,X,X,X
TZSJOIL,X,X,X,X,O
TZSJOLI,X,X,X,X,X
TZSOILJ,X,O,X,X,X
TZSOIJL,X,O,X,X,O
TZSOLIJ,X,O,X,X,X
TZSOLJI,X,O,X,X,X
TZSOJIL,X,O,X,X,O
TZSOJLI,X,O,X,X,X
TZOILJS,X,O,X,X,X
TZOILSJ,X,O,X,X,X
TZOIJLS,X,O,X,X,X
TZOIJSL,X,O,X,X,O
TZOISLJ,X,O,X,X,X
TZOISJL,X,O,X,X,O
TZOLIJS,X,O,X,X,X
TZOLISJ,X,O,X,X,X
TZOLJIS,X,O,X,X,X
TZOLJSI,X,O,X,X,X
TZOLSIJ,X,O,X,X,X
TZOLSJI,X,O,X,X,X
TZOJILS,X,O,X,X,X
TZOJISL,X,O,X,X,O
TZOJLIS,X,O,X,X,X
TZOJLSI,X,O,X,X,X
TZOJSIL,X,O,X,X,O
TZOJSLI,X,O,X,X,X
TZOSILJ,X,O,X,X,X
TZOSIJL,X,O,X,X,O
TZOSLIJ,X,O,X,X,X
TZOSLJI,X,O,X,X,X
TZOSJIL,X,O,X,X,O
TZOSJLI,X,O,X,X,X
TOILJSZ,X,X,X,X,X
TOILJZS,X,X,X,X,X
TOILSJZ,X,X,X,X,X
TOILSZJ,X,X,X,X,X
TOILZJS,X,X,X,X,X
TOILZSJ,X,X,X,X,X
TOIJLSZ,X,X,X,X,X
TOIJLZS,X,X,X,X,X
TOIJSLZ,X,X,X,X,X
TOIJSZL,X,O,X,X,X
TOIJZLS,X,O,X,X,X
TOIJZSL,X,O,X,X,X
TOISLJZ,X,X,X,X,X
TOISLZJ,X,X,X,X,X
TOISJLZ,X,X,X,X,X
TOISJZL,X,O,X,X,X
TOISZLJ,X,O,X,X,X
TOISZJL,X,O,X,X,O
TOIZLJS,X,O,X,X,X
TOIZLSJ,X,O,X,X,X
TOIZJLS,X,O,X,X,X
TOIZJSL,X,O,X,X,O
TOIZSLJ,X,O,X,X,X
TOIZSJL,X,O,X,X,O
TOLIJSZ,X,X,X,X,X
TOLIJZS,X,X,X,X,X
TOLISJZ,X,X,X,X,X
TOLISZJ,X,X,X,X,X
TOLIZJS,X,X,X,X,X
TOLIZSJ,X,X,X,X,X
TOLJISZ,X,X,X,X,X
TOLJIZS,X,X,X,X,X
TOLJSIZ,X,X,X,X,X
TOLJSZI,X,X,X,X,X
TOLJZIS,X,X,X,X,X
TOLJZSI,X,X,X,X,X
TOLSIJZ,X,X,X,X,X
TOLSIZJ,X,X,X,X,X
TOLSJIZ,X,X,X,X,X
TOLSJZI,X,X,X,X,X
TOLSZIJ,X,X,X,X,X
TOLSZJI,X,X,X,X,X
TOLZIJS,X,X,X,X,X
TOLZISJ,X,X,X,X,X
TOLZJIS,X,X,X,X,X
TOLZJSI,X,X,X,X,X
TOLZSIJ,X,X,X,X,X
TOLZSJI,X,X,X,X,X
TOJILSZ,X,X,X,X,X
TOJILZS,X,X,X,X,X
TOJISLZ,X,X,X,X,X
TOJISZL,X,O,X,X,X
TOJIZLS,X,O,X,X,X
TOJIZSL,X,O,X,X,X
TOJLISZ,X,X,X,X,X
TOJLIZS,X,X,X,X,X
TOJLSIZ,X,X,X,X,X
TOJLSZI,X,X,X,X,X
TOJLZIS,X,X,X,X,X
TOJLZSI,X,X,X,X,X
TOJSILZ,X,X,X,X,X
TOJSIZL,X,O,X,X,X
TOJSLIZ,X,X,X,X,X
TOJSLZI,X,X,X,X,X
TOJSZIL,X,O,X,X,X
TOJSZLI,X,O,X,X,X
TOJZILS,X,O,X,X,X
TOJZISL,X,O,X,X,X
TOJZLIS,X,O,X,X,X
TOJZLSI,X,O,X,X,X
TOJZSIL,X,O,X,X,X
TOJZSLI,X,O,X,X,X
TOSILJZ,X,X,X,X,X
TOSILZJ,X,X,X,X,X
TOSIJLZ,X,X,X,X,X
TOSIJZL,X,O,X,X,X
TOSIZLJ,X,O,X,X,X
TOSIZJL,X,O,X,X,O
TOSLIJZ,X,X,X,X,X
TOSLIZJ,X,X,X,X,X
TOSLJIZ,X,X,X,X,X
TOSLJZI,X,X,X,X,X
TOSLZIJ,X,X,X,X,X
TOSLZJI,X,X,X,X,X
TOSJILZ,X,X,X,X,X
TOSJIZL,X,O,X,X,X
TOSJLIZ,X,X,X,X,X
TOSJLZI,X,X,X,X,X
TOSJZIL,X,O,X,X,X
TOSJZLI,X,O,X,X,X
TOSZILJ,X,O,X,X,X
TOSZIJL,X,O,X,X,O
TOSZLIJ,X,O,X,X,X
TOSZLJI,X,O,X,X,X
TOSZJIL,X,O,X,X,O
TOSZJLI,X,O,X,X,X
TOZILJS,X,O,X,X,X
TOZILSJ,X,O,X,X,X
TOZIJLS,X,O,X,X,X
TOZIJSL,X,O,X,X,O
TOZISLJ,X,O,X,X,X
TOZISJL,X,O,X,X,O
TOZLIJS,X,O,X,X,X
TOZLISJ,X,O,X,X,X
TOZLJIS,X,O,X,X,X
TOZLJSI,X,O,X,X,X
TOZLSIJ,X,O,X,X,X
TOZLSJI,X,O,X,X,X
TOZJILS,X,O,X,X,X
TOZJISL,X,O,X,X,O
TOZJLIS,X,O,X,X,X
TOZJLSI,X,O,X,X,X
TOZJSIL,X,O,X,X,O
TOZJSLI,X,O,X,X,X
TOZSILJ,X,O,X,X,X
TOZSIJL,X,O,X,X,O
TOZSLIJ,X,O,X,X,X
TOZSLJI,X,O,X,X,X
TOZSJIL,X,O,X,X,O
TOZSJLI,X,O,X,X,X
ITLJSZO,X,X,X,X,X
ITLJSOZ,X,X,X,X,X
ITLJZSO,X,X,X,X,X
ITLJZOS,X,X,X,X,X
ITLJOSZ,X,X,X,X,X
ITLJOZS,X,X,X,X,X
ITLSJZO,X,X,X,X,X
ITLSJOZ,X,X,X,O,X
ITLSZJO,X,X,X,X,X
ITLSZOJ,X,X,X,X,X
ITLSOJZ,X,X,X,O,X
ITLSOZJ,X,X,X,X,X
ITLZJSO,X,X,X,X,X
ITLZJOS,X,X,X,X,X
ITLZSJO,X,X,X,X,X
ITLZSOJ,X,X,X,X,X
ITLZOJS,X,X,X,X,X
ITLZOSJ,X,X,X,X,X
ITLOJSZ,X,X,X,X,X
