sequence,v115@LhB8FeD8EeE8CeA8JeZEJvhFukB3gBUiB9oBisBzsB,v115@LhB8FeD8EeE8CeA8JeZEJvhFukB3gBUiB9oBatBTsB,v115@LhB8FeD8EeE8CeA8Jei/IvhF3gBRiB9oBcpBmsBTsB
TLJIOZS,X,X,X
TLJSIZO,O,X,X
TLJSIOZ,X,X,X
TLJSZIO,O,X,X
TLJSZOI,X,X,X
TLJSOIZ,X,X,X
TLJSOZI,X,X,X
TLJZISO,O,X,X
TLJZIOS,X,X,X
TLJZSIO,O,X,X
TLJZSOI,X,X,X
TLJZOIS,X,X,X
TLJZOSI,X,X,X
TLJOISZ,X,X,X
TLJOIZS,X,X,X
TLJOSIZ,X,X,X
TLJOSZI,X,X,X
TLJOZIS,X,X,X
TLJOZSI,X,X,X
TLSIJZO,O,X,X
TLSIJOZ,X,X,X
TLSIZJO,O,X,X
TLSIZOJ,X,X,X
TLSIOJZ,X,X,X
TLSIOZJ,X,X,X
TLSJIZO,O,X,X
TLSJIOZ,X,X,X
TLSJZIO,O,X,X
TLSJZOI,X,X,X
TLSJOIZ,X,X,X
TLSJOZI,X,X,X
TLSZIJO,O,X,X
TLSZIOJ,X,X,X
TLSZJIO,O,X,X
TLSZJOI,X,X,X
TLSZOIJ,X,X,X
TLSZOJI,X,X,X
TLSOIJZ,X,X,X
TLSOIZJ,X,X,X
TLSOJIZ,X,X,X
TLSOJZI,X,X,X
TLSOZIJ,X,X,X
TLSOZJI,X,X,X
TLZIJSO,O,X,X
TLZIJOS,X,X,X
TLZISJO,O,X,X
TLZISOJ,X,X,X
TLZIOJS,X,X,X
TLZIOSJ,X,X,X
TLZJISO,O,X,X
TLZJIOS,X,X,X
TLZJSIO,O,X,X
TLZJSOI,X,X,X
TLZJOIS,X,X,X
TLZJOSI,X,X,X
TLZSIJO,O,X,X
TLZSIOJ,X,X,X
TLZSJIO,O,X,X
TLZSJOI,X,X,X
TLZSOIJ,X,X,X
TLZSOJI,X,X,X
TLZOIJS,X,X,X
TLZOISJ,X,X,X
TLZOJIS,X,X,X
TLZOJSI,X,X,X
TLZOSIJ,X,X,X
TLZOSJI,X,X,X
TLOIJSZ,X,X,X
TLOIJZS,X,X,X
TLOISJZ,X,X,X
TLOISZJ,X,X,X
TLOIZJS,X,X,X
TLOIZSJ,X,X,X
TLOJISZ,X,X,X
TLOJIZS,X,X,X
TLOJSIZ,X,X,X
TLOJSZI,X,X,X
TLOJZIS,X,X,X
TLOJZSI,X,X,X
TLOSIJZ,X,X,X
TLOSIZJ,X,X,X
TLOSJIZ,X,X,X
TLOSJZI,X,X,X
TLOSZIJ,X,X,X
TLOSZJI,X,X,X
TLOZIJS,X,X,X
TLOZISJ,X,X,X
TLOZJIS,X,X,X
TLOZJSI,X,X,X
TLOZSIJ,X,X,X
TLOZSJI,X,X,X
TJILSZO,O,X,X
TJILSOZ,X,X,X
TJILZSO,O,X,X
TJILZOS,X,X,X
TJILOSZ,X,X,X
TJILOZS,X,X,X
TJISLZO,O,X,X
TJISLOZ,X,X,X
TJISZLO,O,O,O
TJISZOL,X,O,X
TJISOLZ,X,X,X
TJISOZL,X,O,X
TJIZLSO,X,X,O
TJIZLOS,X,X,X
TJIZSLO,O,O,O
TJIZSOL,X,O,X
TJIZOLS,X,X,X
TJIZOSL,X,X,X
TJIOLSZ,X,X,X
TJIOLZS,X,X,X
TJIOSLZ,X,X,X
TJIOSZL,X,O,X
TJIOZLS,X,X,X
TJIOZSL,X,O,X
TJLISZO,O,X,X
TJLISOZ,X,X,X
TJLIZSO,O,X,X
TJLIZOS,X,X,X
TJLIOSZ,X,X,X
TJLIOZS,X,X,X
TJLSIZO,O,X,X
TJLSIOZ,X,X,X
TJLSZIO,O,X,X
TJLSZOI,X,X,X
TJLSOIZ,X,X,X
TJLSOZI,X,X,X
TJLZISO,O,X,X
TJLZIOS,X,X,X
TJLZSIO,O,X,X
TJLZSOI,X,X,X
TJLZOIS,X,X,X
TJLZOSI,X,X,X
TJLOISZ,X,X,X
TJLOIZS,X,X,X
TJLOSIZ,X,X,X
TJLOSZI,X,X,X
TJLOZIS,X,X,X
TJLOZSI,X,X,X
TJSILZO,O,X,X
TJSILOZ,X,X,X
TJSIZLO,O,O,O
TJSIZOL,X,O,X
TJSIOLZ,X,X,X
TJSIOZL,X,O,X
TJSLIZO,O,X,X
TJSLIOZ,X,X,X
TJSLZIO,O,X,X
TJSLZOI,X,X,X
TJSLOIZ,X,X,X
TJSLOZI,X,X,X
TJSZILO,O,O,O
TJSZIOL,X,O,X
TJSZLIO,X,X,O
TJSZLOI,X,X,O
TJSZOIL,X,X,O
TJSZOLI,X,X,O
TJSOILZ,X,X,X
TJSOIZL,X,O,X
TJSOLIZ,X,X,X
TJSOLZI,X,X,X
TJSOZIL,X,O,X
TJSOZLI,X,X,X
TJZILSO,X,X,O
TJZILOS,X,X,X
TJZISLO,O,O,O
TJZISOL,X,O,X
TJZIOLS,X,X,X
TJZIOSL,X,X,X
TJZLISO,X,X,O
TJZLIOS,X,X,X
TJZLSIO,X,X,O
TJZLSOI,X,X,O
TJZLOIS,X,X,O
TJZLOSI,X,X,O
TJZSILO,O,O,O
TJZSIOL,X,O,X
TJZSLIO,X,X,O
TJZSLOI,X,X,O
TJZSOIL,X,X,O
TJZSOLI,X,X,O
TJZOILS,X,X,O
TJZOISL,X,X,O
TJZOLIS,X,X,O
TJZOLSI,X,X,O
TJZOSIL,X,X,O
TJZOSLI,X,X,O
TJOILSZ,X,X,X
TJOILZS,X,X,X
TJOISLZ,X,X,X
TJOISZL,X,O,X
TJOIZLS,X,X,X
TJOIZSL,X,O,X
TJOLISZ,X,X,X
TJOLIZS,X,X,X
TJOLSIZ,X,X,X
TJOLSZI,X,X,X
TJOLZIS,X,X,X
TJOLZSI,X,X,X
TJOSILZ,X,X,X
TJOSIZL,X,O,X
TJOSLIZ,X,X,X
TJOSLZI,X,X,X
TJOSZIL,X,O,X
TJOSZLI,X,X,X
TJOZILS,X,X,X
TJOZISL,X,O,X
TJOZLIS,X,X,X
TJOZLSI,X,X,X
TJOZSIL,X,O,X
TJOZSLI,X,X,X
TSILJZO,O,X,X
TSILJOZ,X,X,X
TSILZJO,O,X,X
TSILZOJ,X,X,X
TSILOJZ,X,X,X
TSILOZJ,X,X,X
TSIJLZO,O,X,X
TSIJLOZ,X,X,X
TSIJZLO,O,O,X
TSIJZOL,X,O,X
TSIJOLZ,X,X,X
TSIJOZL,X,O,X
TSIZLJO,X,X,O
TSIZLOJ,X,X,X
TSIZJLO,O,O,X
TSIZJOL,X,O,X
TSIZOLJ,X,X,X
TSIZOJL,X,X,X
TSIOLJZ,X,X,X
TSIOLZJ,X,X,X
TSIOJLZ,X,X,X
TSIOJZL,X,O,X
TSIOZLJ,X,X,X
TSIOZJL,X,O,X
TSLIJZO,O,X,X
TSLIJOZ,X,X,X
TSLIZJO,O,X,X
TSLIZOJ,X,X,X
TSLIOJZ,X,X,X
TSLIOZJ,X,X,X
TSLJIZO,O,X,X
TSLJIOZ,X,X,X
TSLJZIO,O,X,X
TSLJZOI,X,X,X
TSLJOIZ,X,X,X
TSLJOZI,X,X,X
TSLZIJO,O,X,X
TSLZIOJ,X,X,X
TSLZJIO,O,X,X
TSLZJOI,X,X,X
TSLZOIJ,X,X,X
TSLZOJI,X,X,X
TSLOIJZ,X,X,X
TSLOIZJ,X,X,X
TSLOJIZ,X,X,X
TSLOJZI,X,X,X
TSLOZIJ,X,X,X
TSLOZJI,X,X,X
TSJILZO,O,X,X
TSJILOZ,X,X,X
TSJIZLO,O,O,O
TSJIZOL,X,O,X
TSJIOLZ,X,X,X
TSJIOZL,X,O,X
TSJLIZO,O,X,X
TSJLIOZ,X,X,X
TSJLZIO,O,X,X
TSJLZOI,X,X,X
TSJLOIZ,X,X,X
TSJLOZI,X,X,X
TSJZILO,O,O,O
TSJZIOL,X,O,X
TSJZLIO,X,X,O
TSJZLOI,X,X,O
TSJZOIL,X,X,O
TSJZOLI,X,X,O
TSJOILZ,X,X,X
TSJOIZL,X,O,X
TSJOLIZ,X,X,X
TSJOLZI,X,X,X
TSJOZIL,X,O,X
TSJOZLI,X,X,X
TSZILJO,X,X,O
TSZILOJ,X,X,X
TSZIJLO,O,O,X
TSZIJOL,X,O,X
TSZIOLJ,X,X,X
TSZIOJL,X,X,X
TSZLIJO,X,X,O
TSZLIOJ,X,X,X
TSZLJIO,X,X,O
TSZLJOI,X,X,O
TSZLOIJ,X,X,X
TSZLOJI,X,X,X
TSZJILO,O,O,O
TSZJIOL,X,O,X
TSZJLIO,X,X,O
TSZJLOI,X,X,O
TSZJOIL,X,X,O
TSZJOLI,X,X,O
TSZOILJ,X,X,X
TSZOIJL,X,X,X
TSZOLIJ,X,X,X
TSZOLJI,X,X,X
TSZOJIL,X,X,X
TSZOJLI,X,X,X
TSOILJZ,X,X,X
TSOILZJ,X,X,X
TSOIJLZ,X,X,X
TSOIJZL,X,O,X
TSOIZLJ,X,X,X
TSOIZJL,X,O,X
TSOLIJZ,X,X,X
TSOLIZJ,X,X,X
TSOLJIZ,X,X,X
TSOLJZI,X,X,X
TSOLZIJ,X,X,X
TSOLZJI,X,X,X
TSOJILZ,X,X,X
TSOJIZL,X,O,X
TSOJLIZ,X,X,X
TSOJLZI,X,X,X
TSOJZIL,X,O,X
TSOJZLI,X,X,X
TSOZILJ,X,X,X
TSOZIJL,X,O,X
TSOZLIJ,X,X,X
TSOZLJI,X,X,X
TSOZJIL,X,O,X
TSOZJLI,X,X,X
TZILJSO,X,X,X
TZILJOS,X,X,X
TZILSJO,X,X,O
TZILSOJ,X,X,X
TZILOJS,X,X,X
TZILOSJ,X,X,X
TZIJLSO,X,X,X
TZIJLOS,X,X,X
TZIJSLO,O,O,X
TZIJSOL,X,O,X
TZIJOLS,X,X,X
TZIJOSL,X,X,X
TZISLJO,X,X,O
TZISLOJ,X,X,X
TZISJLO,O,O,X
TZISJOL,X,O,X
TZISOLJ,X,X,X
TZISOJL,X,X,X
TZIOLJS,X,X,X
TZIOLSJ,X,X,X
TZIOJLS,X,X,X
TZIOJSL,X,X,X
TZIOSLJ,X,X,X
TZIOSJL,X,X,X
TZLIJSO,X,X,X
TZLIJOS,X,X,X
TZLISJO,X,X,O
TZLISOJ,X,X,X
TZLIOJS,X,X,X
TZLIOSJ,X,X,X
TZLJISO,X,X,O
TZLJIOS,X,X,X
TZLJSIO,X,X,O
TZLJSOI,X,X,O
TZLJOIS,X,X,O
TZLJOSI,X,X,O
TZLSIJO,X,X,O
TZLSIOJ,X,X,X
TZLSJIO,X,X,O
TZLSJOI,X,X,O
TZLSOIJ,X,X,X
TZLSOJI,X,X,X
TZLOIJS,X,X,X
TZLOISJ,X,X,X
TZLOJIS,X,X,X
TZLOJSI,X,X,X
TZLOSIJ,X,X,X
TZLOSJI,X,X,X
TZJILSO,X,X,O
TZJILOS,X,X,X
TZJISLO,O,O,O
TZJISOL,X,O,X
TZJIOLS,X,X,X
TZJIOSL,X,X,X
TZJLISO,X,X,O
TZJLIOS,X,X,X
TZJLSIO,X,X,O
TZJLSOI,X,X,O
TZJLOIS,X,X,O
TZJLOSI,X,X,O
TZJSILO,O,O,O
TZJSIOL,X,O,X
TZJSLIO,X,X,O
TZJSLOI,X,X,O
TZJSOIL,X,X,O
TZJSOLI,X,X,O
TZJOILS,X,X,O
TZJOISL,X,X,O
TZJOLIS,X,X,O
TZJOLSI,X,X,O
TZJOSIL,X,X,O
TZJOSLI,X,X,O
TZSILJO,X,X,O
TZSILOJ,X,X,X
TZSIJLO,O,O,X
TZSIJOL,X,O,X
TZSIOLJ,X,X,X
TZSIOJL,X,X,X
TZSLIJO,X,X,O
TZSLIOJ,X,X,X
TZSLJIO,X,X,O
TZSLJOI,X,X,O
TZSLOIJ,X,X,X
TZSLOJI,X,X,X
TZSJILO,O,O,O
TZSJIOL,X,O,X
TZSJLIO,X,X,O
TZSJLOI,X,X,O
TZSJOIL,X,X,O
TZSJOLI,X,X,O
TZSOILJ,X,X,X
TZSOIJL,X,X,X
TZSOLIJ,X,X,X
TZSOLJI,X,X,X
TZSOJIL,X,X,X
TZSOJLI,X,X,X
TZOILJS,X,X,X
TZOILSJ,X,X,X
TZOIJLS,X,X,X
TZOIJSL,X,X,X
TZOISLJ,X,X,X
TZOISJL,X,X,X
TZOLIJS,X,X,X
TZOLISJ,X,X,X
TZOLJIS,X,X,X
TZOLJSI,X,X,X
TZOLSIJ,X,X,X
TZOLSJI,X,X,X
TZOJILS,X,X,X
TZOJISL,X,X,X
TZOJLIS,X,X,X
TZOJLSI,X,X,X
TZOJSIL,X,X,X
TZOJSLI,X,X,X
TZOSILJ,X,X,X
TZOSIJL,X,X,X
TZOSLIJ,X,X,X
TZOSLJI,X,X,X
TZOSJIL,X,X,X
TZOSJLI,X,X,X
TOILJSZ,X,X,X
TOILJZS,X,X,X
TOILSJZ,X,X,X
TOILSZJ,X,X,X
TOILZJS,X,X,X
TOILZSJ,X,X,X
TOIJLSZ,X,X,X
TOIJLZS,X,X,X
TOIJSLZ,X,X,X
TOIJSZL,X,O,X
TOIJZLS,X,X,X
TOIJZSL,X,O,X
TOISLJZ,X,X,X
TOISLZJ,X,X,X
TOISJLZ,X,X,X
TOISJZL,X,O,X
TOISZLJ,X,X,X
TOISZJL,X,O,X
TOIZLJS,X,X,X
TOIZLSJ,X,X,X
TOIZJLS,X,X,X
TOIZJSL,X,O,X
TOIZSLJ,X,X,X
TOIZSJL,X,O,X
TOLIJSZ,X,X,X
TOLIJZS,X,X,X
TOLISJZ,X,X,X
TOLISZJ,X,X,X
TOLIZJS,X,X,X
TOLIZSJ,X,X,X
TOLJISZ,X,X,X
TOLJIZS,X,X,X
TOLJSIZ,X,X,X
TOLJSZI,X,X,X
TOLJZIS,X,X,X
TOLJZSI,X,X,X
TOLSIJZ,X,X,X
TOLSIZJ,X,X,X
TOLSJIZ,X,X,X
TOLSJZI,X,X,X
TOLSZIJ,X,X,X
TOLSZJI,X,X,X
TOLZIJS,X,X,X
TOLZISJ,X,X,X
TOLZJIS,X,X,X
TOLZJSI,X,X,X
TOLZSIJ,X,X,X
TOLZSJI,X,X,X
TOJILSZ,X,X,X
TOJILZS,X,X,X
TOJISLZ,X,X,X
TOJISZL,X,O,X
TOJIZLS,X,X,X
TOJIZSL,X,O,X
TOJLISZ,X,X,X
TOJLIZS,X,X,X
TOJLSIZ,X,X,X
TOJLSZI,X,X,X
TOJLZIS,X,X,X
TOJLZSI,X,X,X
TOJSILZ,X,X,X
TOJSIZL,X,O,X
TOJSLIZ,X,X,X
TOJSLZI,X,X,X
TOJSZIL,X,O,X
TOJSZLI,X,X,X
TOJZILS,X,X,X
TOJZISL,X,O,X
TOJZLIS,X,X,X
TOJZLSI,X,X,X
TOJZSIL,X,O,X
TOJZSLI,X,X,X
TOSILJZ,X,X,X
TOSILZJ,X,X,X
TOSIJLZ,X,X,X
TOSIJZL,X,O,X
TOSIZLJ,X,X,X
TOSIZJL,X,O,X
TOSLIJZ,X,X,X
TOSLIZJ,X,X,X
TOSLJIZ,X,X,X
TOSLJZI,X,X,X
TOSLZIJ,X,X,X
TOSLZJI,X,X,X
TOSJILZ,X,X,X
TOSJIZL,X,O,X
TOSJLIZ,X,X,X
TOSJLZI,X,X,X
TOSJZIL,X,O,X
TOSJZLI,X,X,X
TOSZILJ,X,X,X
TOSZIJL,X,O,X
TOSZLIJ,X,X,X
TOSZLJI,X,X,X
TOSZJIL,X,O,X
TOSZJLI,X,X,X
TOZILJS,X,X,X
TOZILSJ,X,X,X
TOZIJLS,X,X,X
TOZIJSL,X,O,X
TOZISLJ,X,X,X
TOZISJL,X,O,X
TOZLIJS,X,X,X
TOZLISJ,X,X,X
TOZLJIS,X,X,X
TOZLJSI,X,X,X
TOZLSIJ,X,X,X
TOZLSJI,X,X,X
TOZJILS,X,X,X
TOZJISL,X,O,X
TOZJLIS,X,X,X
TOZJLSI,X,X,X
TOZJSIL,X,O,X
TOZJSLI,X,X,X
TOZSILJ,X,X,X
TOZSIJL,X,O,X
TOZSLIJ,X,X,X
TOZSLJI,X,X,X
TOZSJIL,X,O,X
TOZSJLI,X,X,X
ITLJSZO,O,X,X
ITLJSOZ,X,X,X
ITLJZSO,O,X,X
ITLJZOS,X,X,X
ITLJOSZ,X,X,X
ITLJOZS,X,X,X
ITLSJZO,O,X,X
ITLSJOZ,X,X,X
ITLSZJO,O,X,X
ITLSZOJ,X,X,X
ITLSOJZ,X,X,X
ITLSOZJ,X,X,X
ITLZJSO,O,X,X
ITLZJOS,X,X,X
ITLZSJO,O,X,X
ITLZSOJ,X,X,X
ITLZOJS,X,X,X
ITLZOSJ,X,X,X
ITLOJSZ,X,X,X
ITLOJZS,X,X,X
ITLOSJZ,X,X,X
ITLOSZJ,X,X,X
ITLOZJS,X,X,X
ITLOZSJ,X,X,X
ITJLSZO,O,X,X
ITJLSOZ,X,X,X
ITJLZSO,O,X,X
ITJLZOS,X,X,X
ITJLOSZ,X,X,X
ITJLOZS,X,X,X
ITJSLZO,O,X,X
ITJSLOZ,X,X,X
ITJSZLO,O,O,X
ITJSZOL,X,O,X
ITJSOLZ,X,X,X
ITJSOZL,X,O,X
ITJZLSO,X,X,X
ITJZLOS,X,X,X
ITJZSLO,O,O,X
ITJZSOL,X,O,X
ITJZOLS,X,X,X
ITJZOSL,X,X,X
ITJOLSZ,X,X,X
ITJOLZS,X,X,X
ITJOSLZ,X,X,X
ITJOSZL,X,O,X
ITJOZLS,X,X,X
ITJOZSL,X,O,X
ITSLJZO,O,X,X
ITSLJOZ,X,X,X
ITSLZJO,O,X,X
ITSLZOJ,X,X,X
ITSLOJZ,X,X,X
ITSLOZJ,X,X,X
ITSJLZO,O,X,X
ITSJLOZ,X,X,X
ITSJZLO,O,O,X
ITSJZOL,X,O,X
ITSJOLZ,X,X,X
ITSJOZL,X,O,X
ITSZLJO,X,X,X
ITSZLOJ,X,X,X
ITSZJLO,O,O,X
ITSZJOL,X,O,X
ITSZOLJ,X,X,X
ITSZOJL,X,X,X
ITSOLJZ,X,X,X
ITSOLZJ,X,X,X
ITSOJLZ,X,X,X
ITSOJZL,X,O,X
ITSOZLJ,X,X,X
ITSOZJL,X,O,X
ITZLJSO,X,X,X
ITZLJOS,X,X,X
ITZLSJO,X,X,X
ITZLSOJ,X,X,X
ITZLOJS,X,X,X
ITZLOSJ,X,X,X
ITZJLSO,X,X,X
ITZJLOS,X,X,X
ITZJSLO,O,O,X
ITZJSOL,X,O,X
ITZJOLS,X,X,X
ITZJOSL,X,X,X
ITZSLJO,X,X,X
ITZSLOJ,X,X,X
ITZSJLO,O,O,X
ITZSJOL,X,O,X
ITZSOLJ,X,X,X
ITZSOJL,X,X,X
ITZOLJS,X,X,X
ITZOLSJ,X,X,X
ITZOJLS,X,X,X
ITZOJSL,X,X,X
ITZOSLJ,X,X,X
ITZOSJL,X,X,X
ITOLJSZ,X,X,X
ITOLJZS,X,X,X
ITOLSJZ,X,X,X
ITOLSZJ,X,X,X
ITOLZJS,X,X,X
ITOLZSJ,X,X,X
ITOJLSZ,X,X,X
ITOJLZS,X,X,X
ITOJSLZ,X,X,X
ITOJSZL,X,O,X
ITOJZLS,X,X,X
ITOJZSL,X,O,X
ITOSLJZ,X,X,X
ITOSLZJ,X,X,X
ITOSJLZ,X,X,X
ITOSJZL,X,O,X
ITOSZLJ,X,X,X
ITOSZJL,X,O,X
ITOZLJS,X,X,X
ITOZLSJ,X,X,X
ITOZJLS,X,X,X
ITOZJSL,X,O,X
ITOZSLJ,X,X,X
ITOZSJL,X,O,X
ILTJSZO,O,X,X
ILTJSOZ,X,X,X
ILTJZSO,O,X,X
ILTJZOS,X,X,X
ILTJOSZ,X,X,X
ILTJOZS,X,X,X
ILTSJZO,O,X,X
ILTSJOZ,X,X,X
ILTSZJO,O,X,X
ILTSZOJ,X,X,X
ILTSOJZ,X,X,X
ILTSOZJ,X,X,X
ILTZJSO,O,X,X
ILTZJOS,X,X,X
ILTZSJO,O,X,X
ILTZSOJ,X,X,X
ILTZOJS,X,X,X
ILTZOSJ,X,X,X
ILTOJSZ,X,X,X
ILTOJZS,X,X,X
ILTOSJZ,X,X,X
ILTOSZJ,X,X,X
ILTOZJS,X,X,X
ILTOZSJ,X,X,X
ILJTSZO,O,X,X
ILJTSOZ,X,X,X
ILJTZSO,O,X,X
ILJTZOS,X,X,X
ILJTOSZ,X,X,X
ILJTOZS,X,X,X
ILJSTZO,O,X,X
ILJSTOZ,X,X,X
ILJSZTO,O,X,X
ILJSZOT,X,X,X
ILJSOTZ,X,X,X
ILJSOZT,X,X,X
ILJZTSO,O,X,X
ILJZTOS,X,X,X
ILJZSTO,O,X,X
ILJZSOT,X,X,X
ILJZOTS,X,X,X
ILJZOST,X,X,X
ILJOTSZ,X,X,X
ILJOTZS,X,X,X
ILJOSTZ,X,X,X
ILJOSZT,X,X,X
ILJOZTS,X,X,X
ILJOZST,X,X,X
ILSTJZO,O,X,X
ILSTJOZ,X,X,X
ILSTZJO,O,X,X
ILSTZOJ,X,X,X
ILSTOJZ,X,X,X
ILSTOZJ,X,X,X
ILSJTZO,O,X,X
ILSJTOZ,X,X,X
ILSJZTO,O,X,X
ILSJZOT,X,X,X
ILSJOTZ,X,X,X
ILSJOZT,X,X,X
ILSZTJO,O,X,X
ILSZTOJ,X,X,X
ILSZJTO,O,X,X
ILSZJOT,X,X,X
ILSZOTJ,X,X,X
ILSZOJT,X,X,X
ILSOTJZ,X,X,X
ILSOTZJ,X,X,X
ILSOJTZ,X,X,X
ILSOJZT,X,X,X
ILSOZTJ,X,X,X
ILSOZJT,X,X,X
ILZTJSO,O,X,X
ILZTJOS,X,X,X
ILZTSJO,O,X,X
ILZTSOJ,X,X,X
ILZTOJS,X,X,X
ILZTOSJ,X,X,X
ILZJTSO,O,X,X
ILZJTOS,X,X,X
ILZJSTO,O,X,X
ILZJSOT,X,X,X
ILZJOTS,X,X,X
ILZJOST,X,X,X
ILZSTJO,O,X,X
ILZSTOJ,X,X,X
ILZSJTO,O,X,X
ILZSJOT,X,X,X
ILZSOTJ,X,X,X
ILZSOJT,X,X,X
ILZOTJS,X,X,X
ILZOTSJ,X,X,X
ILZOJTS,X,X,X
ILZOJST,X,X,X
ILZOSTJ,X,X,X
ILZOSJT,X,X,X
ILOTJSZ,X,X,X
ILOTJZS,X,X,X
ILOTSJZ,X,X,X
ILOTSZJ,X,X,X
ILOTZJS,X,X,X
ILOTZSJ,X,X,X
ILOJTSZ,X,X,X
ILOJTZS,X,X,X
ILOJSTZ,X,X,X
ILOJSZT,X,X,X
ILOJZTS,X,X,X
ILOJZST,X,X,X
ILOSTJZ,X,X,X
ILOSTZJ,X,X,X
ILOSJTZ,X,X,X
ILOSJZT,X,X,X
ILOSZTJ,X,X,X
ILOSZJT,X,X,X
ILOZTJS,X,X,X
ILOZTSJ,X,X,X
ILOZJTS,X,X,X
ILOZJST,X,X,X
ILOZSTJ,X,X,X
ILOZSJT,X,X,X
IJTLSZO,O,X,X
IJTLSOZ,X,X,X
IJTLZSO,O,X,X
IJTLZOS,X,X,X
IJTLOSZ,X,X,X
IJTLOZS,X,X,X
IJTSLZO,O,X,X
IJTSLOZ,X,X,X
IJTSZLO,O,O,X
IJTSZOL,X,O,X
