sequence,v115@+gA8IeB8HeB8HeB8AeE8KeZEJvhF0gBlhBGjBTnB/t?BCrB,v115@+gA8IeB8HeB8HeB8AeE8KeZEJvhFlgB3hBcnBTjBCr?BGtB,v115@+gA8IeB8HeB8HeB8AeE8KeZEJvhFlgBCiBTjB8qBXn?BGtB,v115@+gA8IeB8HeB8HeB8AeE8KeZEJvhFlgBzhBGjB8qBSs?B/tB
ILTJZSO,X,O,X,X
ILTJZOS,X,O,X,X
ILTJOSZ,X,X,X,X
ILTJOZS,X,O,X,X
ILTSJZO,O,X,X,X
ILTSJOZ,X,X,X,X
ILTSZJO,O,O,X,X
ILTSZOJ,X,X,X,X
ILTSOJZ,X,X,X,X
ILTSOZJ,X,X,X,X
ILTZJSO,X,O,X,X
ILTZJOS,X,O,X,X
ILTZSJO,O,O,X,X
ILTZSOJ,X,X,X,X
ILTZOJS,X,X,X,X
ILTZOSJ,O,X,X,X
ILTOJSZ,X,X,X,X
ILTOJZS,X,X,X,X
ILTOSJZ,O,X,X,X
ILTOSZJ,O,X,X,X
ILTOZJS,X,X,X,X
ILTOZSJ,O,X,X,X
ILJTSZO,X,X,X,X
ILJTSOZ,X,X,X,X
ILJTZSO,X,O,X,X
ILJTZOS,X,O,X,X
ILJTOSZ,X,X,X,X
ILJTOZS,X,O,X,X
ILJSTZO,X,X,X,X
ILJSTOZ,X,X,X,X
ILJSZTO,X,X,X,X
ILJSZOT,X,X,X,X
ILJSOTZ,X,X,X,X
ILJSOZT,X,X,X,X
ILJZTSO,X,O,X,X
ILJZTOS,X,O,X,X
ILJZSTO,X,O,X,X
ILJZSOT,X,O,X,X
ILJZOTS,X,O,X,X
ILJZOST,X,O,X,X
ILJOTSZ,X,X,X,X
ILJOTZS,X,O,X,X
ILJOSTZ,X,X,X,X
ILJOSZT,X,X,X,X
ILJOZTS,X,O,X,X
ILJOZST,X,O,X,X
ILSTJZO,O,X,X,X
ILSTJOZ,X,X,X,X
ILSTZJO,O,O,X,X
ILSTZOJ,X,X,X,X
ILSTOJZ,X,X,X,X
ILSTOZJ,X,X,X,X
ILSJTZO,O,X,X,X
ILSJTOZ,X,X,X,X
ILSJZTO,O,X,X,O
ILSJZOT,X,X,X,O
ILSJOTZ,X,X,X,X
ILSJOZT,X,X,X,O
ILSZTJO,O,O,X,O
ILSZTOJ,X,X,X,O
ILSZJTO,O,O,X,O
ILSZJOT,X,O,X,O
ILSZOTJ,O,X,X,O
ILSZOJT,O,X,X,O
ILSOTJZ,O,X,X,X
ILSOTZJ,O,X,X,X
ILSOJTZ,O,X,X,X
ILSOJZT,O,X,X,O
ILSOZTJ,O,X,X,O
ILSOZJT,O,X,X,O
ILZTJSO,X,O,X,X
ILZTJOS,X,O,X,X
ILZTSJO,O,O,X,O
ILZTSOJ,X,X,X,O
ILZTOJS,X,X,X,X
ILZTOSJ,O,X,X,O
ILZJTSO,X,O,X,X
ILZJTOS,X,O,X,X
ILZJSTO,X,O,X,X
ILZJSOT,X,O,X,X
ILZJOTS,X,O,X,X
ILZJOST,X,O,X,X
ILZSTJO,O,O,X,O
ILZSTOJ,X,X,X,O
ILZSJTO,O,O,X,O
ILZSJOT,X,O,X,O
ILZSOTJ,O,X,X,O
ILZSOJT,O,X,X,O
ILZOTJS,X,X,X,X
ILZOTSJ,O,X,X,O
ILZOJTS,X,X,X,X
ILZOJST,X,X,X,X
ILZOSTJ,O,X,X,O
ILZOSJT,O,X,X,O
ILOTJSZ,X,X,X,X
ILOTJZS,X,X,X,X
ILOTSJZ,O,X,X,X
ILOTSZJ,O,X,X,X
ILOTZJS,X,X,X,X
ILOTZSJ,O,X,X,X
ILOJTSZ,X,X,X,X
ILOJTZS,X,X,X,X
ILOJSTZ,X,X,X,X
ILOJSZT,X,X,X,X
ILOJZTS,X,X,X,X
ILOJZST,X,X,X,X
ILOSTJZ,O,X,X,X
ILOSTZJ,O,X,X,X
ILOSJTZ,O,X,X,X
ILOSJZT,O,X,X,O
ILOSZTJ,O,X,X,O
ILOSZJT,O,X,X,O
ILOZTJS,X,X,X,X
ILOZTSJ,O,X,X,O
ILOZJTS,X,X,X,X
ILOZJST,X,X,X,X
ILOZSTJ,O,X,X,O
ILOZSJT,O,X,X,O
IJTLSZO,X,X,X,X
IJTLSOZ,X,X,X,X
IJTLZSO,X,O,X,X
IJTLZOS,X,O,X,X
IJTLOSZ,X,X,X,X
IJTLOZS,X,O,X,X
IJTSLZO,X,X,X,X
IJTSLOZ,X,X,X,X
IJTSZLO,X,X,X,X
IJTSZOL,X,X,X,X
IJTSOLZ,X,X,X,X
IJTSOZL,X,X,X,X
IJTZLSO,X,X,X,X
IJTZLOS,X,X,X,X
IJTZSLO,X,X,X,X
IJTZSOL,X,O,X,X
IJTZOLS,X,X,X,X
IJTZOSL,X,O,X,X
IJTOLSZ,X,X,X,X
IJTOLZS,X,O,X,X
IJTOSLZ,X,X,X,X
IJTOSZL,X,X,X,X
IJTOZLS,X,X,X,X
IJTOZSL,X,O,X,X
IJLTSZO,X,X,X,X
IJLTSOZ,X,X,X,X
IJLTZSO,X,O,X,X
IJLTZOS,X,O,X,X
IJLTOSZ,X,X,X,X
IJLTOZS,X,O,X,X
IJLSTZO,X,X,X,X
IJLSTOZ,X,X,X,X
IJLSZTO,X,X,X,X
IJLSZOT,X,X,X,X
IJLSOTZ,X,X,X,X
IJLSOZT,X,X,X,X
IJLZTSO,X,O,X,X
IJLZTOS,X,O,X,X
IJLZSTO,X,O,X,X
IJLZSOT,X,O,X,X
IJLZOTS,X,O,X,X
IJLZOST,X,O,X,X
IJLOTSZ,X,X,X,X
IJLOTZS,X,O,X,X
IJLOSTZ,X,X,X,X
IJLOSZT,X,X,X,X
IJLOZTS,X,O,X,X
IJLOZST,X,O,X,X
IJSTLZO,X,X,X,X
IJSTLOZ,X,X,X,X
IJSTZLO,X,X,X,X
IJSTZOL,X,X,X,X
IJSTOLZ,X,X,X,X
IJSTOZL,X,X,X,X
IJSLTZO,X,X,X,X
IJSLTOZ,X,X,X,X
IJSLZTO,X,X,O,X
IJSLZOT,X,X,O,X
IJSLOTZ,X,X,X,X
IJSLOZT,X,X,O,X
IJSZTLO,X,X,O,X
IJSZTOL,X,X,O,X
IJSZLTO,X,X,O,X
IJSZLOT,X,X,O,X
IJSZOTL,X,X,O,X
IJSZOLT,X,X,O,X
IJSOTLZ,X,X,X,X
IJSOTZL,X,X,X,X
IJSOLTZ,X,X,X,X
IJSOLZT,X,X,O,X
IJSOZTL,X,X,O,X
IJSOZLT,X,X,O,X
IJZTLSO,X,X,X,X
IJZTLOS,X,X,X,X
IJZTSLO,X,X,O,X
IJZTSOL,X,O,O,X
IJZTOLS,X,X,X,X
IJZTOSL,X,O,O,X
IJZLTSO,X,O,X,X
IJZLTOS,X,O,X,X
IJZLSTO,X,O,X,X
IJZLSOT,X,O,X,X
IJZLOTS,X,O,X,X
IJZLOST,X,O,X,X
IJZSTLO,X,X,O,X
IJZSTOL,X,O,O,X
IJZSLTO,X,O,O,X
IJZSLOT,X,O,O,X
IJZSOTL,X,O,O,X
IJZSOLT,X,O,O,X
IJZOTLS,X,X,X,X
IJZOTSL,X,O,O,X
IJZOLTS,X,O,X,X
IJZOLST,X,O,X,X
IJZOSTL,X,O,O,X
IJZOSLT,X,O,O,X
IJOTLSZ,X,X,X,X
IJOTLZS,X,O,X,X
IJOTSLZ,X,X,X,X
IJOTSZL,X,X,X,X
IJOTZLS,X,X,X,X
IJOTZSL,X,O,X,X
IJOLTSZ,X,X,X,X
IJOLTZS,X,O,X,X
IJOLSTZ,X,X,X,X
IJOLSZT,X,X,X,X
IJOLZTS,X,O,X,X
IJOLZST,X,O,X,X
IJOSTLZ,X,X,X,X
IJOSTZL,X,X,X,X
IJOSLTZ,X,X,X,X
IJOSLZT,X,X,O,X
IJOSZTL,X,X,O,X
IJOSZLT,X,X,O,X
IJOZTLS,X,X,X,X
IJOZTSL,X,O,O,X
IJOZLTS,X,O,X,X
IJOZLST,X,O,X,X
IJOZSTL,X,O,O,X
IJOZSLT,X,O,O,X
ISTLJZO,X,X,X,X
ISTLJOZ,X,X,X,X
ISTLZJO,X,X,X,X
ISTLZOJ,X,X,X,X
ISTLOJZ,X,X,X,X
ISTLOZJ,X,X,X,X
ISTJLZO,X,X,X,X
ISTJLOZ,X,X,X,X
ISTJZLO,X,X,X,X
ISTJZOL,X,X,X,X
ISTJOLZ,X,X,X,X
ISTJOZL,X,X,X,X
ISTZLJO,X,X,X,X
ISTZLOJ,X,X,X,X
ISTZJLO,X,X,X,X
ISTZJOL,X,X,X,X
ISTZOLJ,X,X,X,X
ISTZOJL,X,X,X,X
ISTOLJZ,X,X,X,X
ISTOLZJ,X,X,X,X
ISTOJLZ,X,X,X,X
ISTOJZL,X,X,X,X
ISTOZLJ,X,X,X,X
ISTOZJL,X,X,X,X
ISLTJZO,O,X,X,X
ISLTJOZ,X,X,X,X
ISLTZJO,O,X,X,X
ISLTZOJ,X,X,X,X
ISLTOJZ,X,X,X,X
ISLTOZJ,X,X,X,X
ISLJTZO,O,X,X,X
ISLJTOZ,X,X,X,X
ISLJZTO,O,X,O,O
ISLJZOT,X,X,O,O
ISLJOTZ,X,X,X,X
ISLJOZT,X,X,O,O
ISLZTJO,O,X,O,O
ISLZTOJ,X,X,X,O
ISLZJTO,O,X,O,O
ISLZJOT,X,X,O,O
ISLZOTJ,O,X,X,O
ISLZOJT,O,X,X,O
ISLOTJZ,O,X,X,X
ISLOTZJ,O,X,X,X
ISLOJTZ,O,X,X,X
ISLOJZT,O,X,X,O
ISLOZTJ,O,X,X,O
ISLOZJT,O,X,X,O
ISJTLZO,X,X,X,X
ISJTLOZ,X,X,X,X
ISJTZLO,X,X,X,X
ISJTZOL,X,X,X,X
ISJTOLZ,X,X,X,X
ISJTOZL,X,X,X,X
ISJLTZO,O,X,X,X
ISJLTOZ,X,X,X,X
ISJLZTO,O,X,O,O
ISJLZOT,X,X,O,O
ISJLOTZ,X,X,X,X
ISJLOZT,X,X,O,O
ISJZTLO,O,X,O,O
ISJZTOL,O,X,O,X
ISJZLTO,O,X,O,O
ISJZLOT,X,X,O,O
ISJZOTL,O,X,O,X
ISJZOLT,O,X,O,X
ISJOTLZ,O,X,X,X
ISJOTZL,O,X,X,X
ISJOLTZ,O,X,X,X
ISJOLZT,O,X,O,X
ISJOZTL,O,X,O,X
ISJOZLT,O,X,O,X
ISZTLJO,X,X,O,O
ISZTLOJ,X,X,X,O
ISZTJLO,O,X,O,O
ISZTJOL,O,X,O,X
ISZTOLJ,X,X,X,X
ISZTOJL,X,X,X,X
ISZLTJO,O,X,O,O
ISZLTOJ,X,X,X,O
ISZLJTO,O,X,O,O
ISZLJOT,X,X,O,O
ISZLOTJ,O,X,X,O
ISZLOJT,O,X,X,O
ISZJTLO,O,X,O,O
ISZJTOL,O,X,O,X
ISZJLTO,O,X,O,O
ISZJLOT,X,X,O,O
ISZJOTL,O,X,O,X
ISZJOLT,O,X,O,X
ISZOTLJ,X,X,X,X
ISZOTJL,O,X,X,X
ISZOLTJ,O,X,X,X
ISZOLJT,O,X,X,X
ISZOJTL,O,X,X,X
ISZOJLT,O,X,X,X
ISOTLJZ,O,X,X,X
ISOTLZJ,O,X,X,X
ISOTJLZ,O,X,X,X
ISOTJZL,O,X,X,X
ISOTZLJ,X,X,X,X
ISOTZJL,O,X,X,X
ISOLTJZ,O,X,X,X
ISOLTZJ,O,X,X,X
ISOLJTZ,O,X,X,X
ISOLJZT,O,X,X,X
ISOLZTJ,O,X,X,X
ISOLZJT,O,X,X,X
ISOJTLZ,O,X,X,X
ISOJTZL,O,X,X,X
ISOJLTZ,O,X,X,X
ISOJLZT,O,X,X,X
ISOJZTL,O,X,X,X
ISOJZLT,O,X,X,X
ISOZTLJ,X,X,X,X
ISOZTJL,O,X,X,X
ISOZLTJ,O,X,X,X
ISOZLJT,O,X,X,X
ISOZJTL,O,X,X,X
ISOZJLT,O,X,X,X
IZTLJSO,X,X,X,X
IZTLJOS,X,X,X,X
IZTLSJO,O,X,X,O
IZTLSOJ,X,X,X,O
IZTLOJS,X,X,X,X
IZTLOSJ,O,X,X,O
IZTJLSO,X,X,X,X
IZTJLOS,X,X,X,X
IZTJSLO,X,X,O,X
IZTJSOL,X,O,O,X
IZTJOLS,X,X,X,X
IZTJOSL,X,O,O,X
IZTSLJO,X,X,O,O
IZTSLOJ,X,X,X,O
IZTSJLO,O,X,O,O
IZTSJOL,O,O,O,X
IZTSOLJ,X,X,X,X
IZTSOJL,X,X,X,X
IZTOLJS,X,X,X,X
IZTOLSJ,X,X,X,X
IZTOJLS,X,X,X,X
IZTOJSL,X,X,X,X
IZTOSLJ,X,X,X,X
IZTOSJL,O,X,X,X
IZLTJSO,X,O,X,X
IZLTJOS,X,O,X,X
IZLTSJO,O,O,X,O
IZLTSOJ,X,X,X,O
IZLTOJS,X,X,X,X
IZLTOSJ,O,X,X,O
IZLJTSO,X,O,X,X
IZLJTOS,X,O,X,X
IZLJSTO,X,O,X,X
IZLJSOT,X,O,X,X
IZLJOTS,X,O,X,X
IZLJOST,X,O,X,X
IZLSTJO,O,O,X,O
IZLSTOJ,X,X,X,O
IZLSJTO,O,O,X,O
IZLSJOT,X,O,X,O
IZLSOTJ,O,X,X,O
IZLSOJT,O,X,X,O
IZLOTJS,X,X,X,X
IZLOTSJ,O,X,X,O
IZLOJTS,X,X,X,X
IZLOJST,X,X,X,X
IZLOSTJ,O,X,X,O
IZLOSJT,O,X,X,O
IZJTLSO,X,X,X,X
IZJTLOS,X,X,X,X
IZJTSLO,X,X,O,X
IZJTSOL,X,O,O,X
IZJTOLS,X,X,X,X
IZJTOSL,X,O,O,X
IZJLTSO,X,O,X,X
IZJLTOS,X,O,X,X
IZJLSTO,X,O,X,X
IZJLSOT,X,O,X,X
IZJLOTS,X,O,X,X
IZJLOST,X,O,X,X
IZJSTLO,X,X,O,X
IZJSTOL,X,O,O,X
IZJSLTO,X,O,O,X
IZJSLOT,X,O,O,X
IZJSOTL,X,O,O,X
IZJSOLT,X,O,O,X
IZJOTLS,X,X,X,X
IZJOTSL,X,O,O,X
IZJOLTS,X,O,X,X
IZJOLST,X,O,X,X
IZJOSTL,X,O,O,X
IZJOSLT,X,O,O,X
IZSTLJO,X,X,O,O
IZSTLOJ,X,X,X,O
IZSTJLO,O,X,O,O
IZSTJOL,O,O,O,X
IZSTOLJ,X,X,X,X
IZSTOJL,X,X,X,X
IZSLTJO,O,O,O,O
IZSLTOJ,X,X,X,O
IZSLJTO,O,O,O,O
IZSLJOT,X,O,O,O
IZSLOTJ,O,X,X,O
IZSLOJT,O,X,X,O
IZSJTLO,O,X,O,O
IZSJTOL,O,O,O,X
IZSJLTO,O,O,O,O
IZSJLOT,X,O,O,O
IZSJOTL,O,O,O,X
IZSJOLT,O,O,O,X
IZSOTLJ,X,X,X,X
IZSOTJL,O,X,X,X
IZSOLTJ,O,X,X,X
IZSOLJT,O,X,X,X
IZSOJTL,O,X,X,X
IZSOJLT,O,X,X,X
IZOTLJS,X,X,X,X
IZOTLSJ,X,X,X,X
IZOTJLS,X,X,X,X
IZOTJSL,X,X,X,X
IZOTSLJ,X,X,X,X
IZOTSJL,O,X,X,X
IZOLTJS,X,X,X,X
IZOLTSJ,O,X,X,X
IZOLJTS,X,X,X,X
IZOLJST,X,X,X,X
IZOLSTJ,O,X,X,X
IZOLSJT,O,X,X,X
IZOJTLS,X,X,X,X
IZOJTSL,X,X,X,X
IZOJLTS,X,X,X,X
IZOJLST,X,X,X,X
IZOJSTL,X,X,X,X
IZOJSLT,X,X,X,X
IZOSTLJ,X,X,X,X
IZOSTJL,O,X,X,X
IZOSLTJ,O,X,X,X
IZOSLJT,O,X,X,X
IZOSJTL,O,X,X,X
IZOSJLT,O,X,X,X
IOTLJSZ,X,X,X,X
IOTLJZS,X,X,X,X
IOTLSJZ,O,X,X,X
IOTLSZJ,O,X,X,X
IOTLZJS,X,X,X,X
IOTLZSJ,O,X,X,X
IOTJLSZ,X,X,X,X
IOTJLZS,X,X,X,X
IOTJSLZ,X,X,X,X
IOTJSZL,X,X,X,X
IOTJZLS,X,X,X,X
IOTJZSL,X,X,X,X
IOTSLJZ,O,X,X,X
IOTSLZJ,O,X,X,X
IOTSJLZ,O,X,X,X
IOTSJZL,O,X,X,X
IOTSZLJ,X,X,X,X
IOTSZJL,O,X,X,X
IOTZLJS,X,X,X,X
IOTZLSJ,X,X,X,X
IOTZJLS,X,X,X,X
IOTZJSL,X,X,X,X
IOTZSLJ,X,X,X,X
IOTZSJL,O,X,X,X
IOLTJSZ,X,X,X,X
IOLTJZS,X,X,X,X
IOLTSJZ,O,X,X,X
IOLTSZJ,O,X,X,X
IOLTZJS,X,X,X,X
IOLTZSJ,O,X,X,X
IOLJTSZ,X,X,X,X
IOLJTZS,X,X,X,X
IOLJSTZ,X,X,X,X
IOLJSZT,X,X,X,X
IOLJZTS,X,X,X,X
IOLJZST,X,X,X,X
IOLSTJZ,O,X,X,X
IOLSTZJ,O,X,X,X
IOLSJTZ,O,X,X,X
IOLSJZT,O,X,X,X
IOLSZTJ,O,X,X,X
IOLSZJT,O,X,X,X
IOLZTJS,X,X,X,X
IOLZTSJ,O,X,X,X
IOLZJTS,X,X,X,X
IOLZJST,X,X,X,X
IOLZSTJ,O,X,X,X
IOLZSJT,O,X,X,X
IOJTLSZ,X,X,X,X
IOJTLZS,X,X,X,X
IOJTSLZ,X,X,X,X
IOJTSZL,X,X,X,X
IOJTZLS,X,X,X,X
IOJTZSL,X,X,X,X
IOJLTSZ,X,X,X,X
IOJLTZS,X,X,X,X
IOJLSTZ,X,X,X,X
IOJLSZT,X,X,X,X
IOJLZTS,X,X,X,X
IOJLZST,X,X,X,X
IOJSTLZ,X,X,X,X
IOJSTZL,X,X,X,X
IOJSLTZ,X,X,X,X
IOJSLZT,X,X,X,X
IOJSZTL,X,X,X,X
IOJSZLT,X,X,X,X
IOJZTLS,X,X,X,X
IOJZTSL,X,X,X,X
IOJZLTS,X,X,X,X
IOJZLST,X,X,X,X
IOJZSTL,X,X,X,X
IOJZSLT,X,X,X,X
IOSTLJZ,O,X,X,X
IOSTLZJ,O,X,X,X
IOSTJLZ,O,X,X,X
IOSTJZL,O,X,X,X
IOSTZLJ,X,X,X,X
IOSTZJL,O,X,X,X
IOSLTJZ,O,X,X,X
IOSLTZJ,O,X,X,X
IOSLJTZ,O,X,X,X
IOSLJZT,O,X,X,X
IOSLZTJ,O,X,X,X
IOSLZJT,O,X,X,X
IOSJTLZ,O,X,X,X
IOSJTZL,O,X,X,X
IOSJLTZ,O,X,X,X
IOSJLZT,O,X,X,X
IOSJZTL,O,X,X,X
IOSJZLT,O,X,X,X
IOSZTLJ,X,X,X,X
IOSZTJL,O,X,X,X
IOSZLTJ,O,X,X,X
IOSZLJT,O,X,X,X
IOSZJTL,O,X,X,X
IOSZJLT,O,X,X,X
IOZTLJS,X,X,X,X
IOZTLSJ,X,X,X,X
IOZTJLS,X,X,X,X
IOZTJSL,X,X,X,X
IOZTSLJ,X,X,X,X
IOZTSJL,O,X,X,X
IOZLTJS,X,X,X,X
IOZLTSJ,O,X,X,X
IOZLJTS,X,X,X,X
IOZLJST,X,X,X,X
IOZLSTJ,O,X,X,X
IOZLSJT,O,X,X,X
IOZJTLS,X,X,X,X
IOZJTSL,X,X,X,X
IOZJLTS,X,X,X,X
IOZJLST,X,X,X,X
IOZJSTL,X,X,X,X
IOZJSLT,X,X,X,X
IOZSTLJ,X,X,X,X
IOZSTJL,O,X,X,X
IOZSLTJ,O,X,X,X
IOZSLJT,O,X,X,X
IOZSJTL,O,X,X,X
IOZSJLT,O,X,X,X
LTIJSZO,X,X,X,X
LTIJSOZ,X,X,X,X
LTIJZSO,X,O,X,X
LTIJZOS,X,O,X,X
LTIJOSZ,X,X,X,X
LTIJOZS,X,O,X,X
LTISJZO,O,X,X,X
LTISJOZ,X,X,X,X
LTISZJO,O,O,X,X
LTISZOJ,X,X,X,X
LTISOJZ,X,X,X,X
LTISOZJ,X,X,X,X
LTIZJSO,X,O,X,X
LTIZJOS,X,O,X,X
LTIZSJO,O,O,X,X
LTIZSOJ,X,X,X,X
LTIZOJS,X,X,X,X
LTIZOSJ,O,X,X,X
LTIOJSZ,X,X,X,X
LTIOJZS,X,X,X,X
LTIOSJZ,O,X,X,X
LTIOSZJ,O,X,X,X
LTIOZJS,X,X,X,X
LTIOZSJ,O,X,X,X
LTJISZO,X,X,X,X
LTJISOZ,X,X,X,X
LTJIZSO,X,O,X,X
LTJIZOS,X,O,X,X
LTJIOSZ,X,X,X,X
LTJIOZS,X,O,X,X
LTJSIZO,X,X,X,X
LTJSIOZ,X,X,X,X
LTJSZIO,X,X,X,X
LTJSZOI,X,X,X,X
LTJSOIZ,X,X,X,X
LTJSOZI,X,X,X,X
LTJZISO,X,O,X,X
LTJZIOS,X,O,X,X
LTJZSIO,X,O,X,X
LTJZSOI,X,O,X,X
LTJZOIS,X,O,X,X
LTJZOSI,X,O,X,X
LTJOISZ,X,X,X,X
LTJOIZS,X,O,X,X
LTJOSIZ,X,X,X,X
LTJOSZI,X,X,X,X
LTJOZIS,X,O,X,X
LTJOZSI,X,O,X,X
LTSIJZO,O,X,X,X
LTSIJOZ,X,X,X,X
LTSIZJO,O,O,X,X
LTSIZOJ,X,X,X,X
LTSIOJZ,X,X,X,X
LTSIOZJ,X,X,X,X
LTSJIZO,O,X,X,X
LTSJIOZ,X,X,X,X
LTSJZIO,O,X,X,X
LTSJZOI,X,X,X,X
LTSJOIZ,X,X,X,X
LTSJOZI,X,X,X,X
LTSZIJO,O,O,X,X
LTSZIOJ,X,X,X,X
LTSZJIO,O,O,X,X
LTSZJOI,X,O,X,X
LTSZOIJ,X,X,X,X
LTSZOJI,X,X,X,X
LTSOIJZ,X,X,X,X
LTSOIZJ,X,X,X,X
LTSOJIZ,X,X,X,X
LTSOJZI,X,X,X,X
LTSOZIJ,X,X,X,X
LTSOZJI,X,X,X,X
LTZIJSO,X,O,X,X
LTZIJOS,X,O,X,X
LTZISJO,O,O,X,X
LTZISOJ,X,X,X,X
LTZIOJS,X,X,X,X
LTZIOSJ,O,X,X,X
LTZJISO,X,O,X,X
LTZJIOS,X,O,X,X
LTZJSIO,X,O,X,X
LTZJSOI,X,O,X,X
LTZJOIS,X,O,X,X
LTZJOSI,X,O,X,X
LTZSIJO,O,O,X,X
LTZSIOJ,X,X,X,X
LTZSJIO,O,O,X,X
LTZSJOI,X,O,X,X
LTZSOIJ,X,X,X,X
LTZSOJI,X,X,X,X
LTZOIJS,X,X,X,X
LTZOISJ,O,X,X,X
LTZOJIS,X,X,X,X
LTZOJSI,X,X,X,X
LTZOSIJ,O,X,X,X
LTZOSJI,O,X,X,X
LTOIJSZ,X,X,X,X
LTOIJZS,X,X,X,X
LTOISJZ,O,X,X,X
LTOISZJ,O,X,X,X
LTOIZJS,X,X,X,X
LTOIZSJ,O,X,X,X
LTOJISZ,X,X,X,X
LTOJIZS,X,X,X,X
LTOJSIZ,X,X,X,X
LTOJSZI,X,X,X,X
LTOJZIS,X,X,X,X
LTOJZSI,X,X,X,X
LTOSIJZ,O,X,X,X
LTOSIZJ,O,X,X,X
LTOSJIZ,O,X,X,X
LTOSJZI,O,X,X,X
LTOSZIJ,O,X,X,X
LTOSZJI,O,X,X,X
LTOZIJS,X,X,X,X
LTOZISJ,O,X,X,X
LTOZJIS,X,X,X,X
LTOZJSI,X,X,X,X
LTOZSIJ,O,X,X,X
LTOZSJI,O,X,X,X
LITJSZO,X,X,X,X
LITJSOZ,X,X,X,X
LITJZSO,X,O,X,X
LITJZOS,X,O,X,X
LITJOSZ,X,X,X,X
LITJOZS,X,O,X,X
LITSJZO,O,X,X,X
LITSJOZ,X,X,X,X
LITSZJO,O,O,X,X
LITSZOJ,X,X,X,X
LITSOJZ,X,X,X,X
LITSOZJ,X,X,X,X
LITZJSO,X,O,X,X
LITZJOS,X,O,X,X
LITZSJO,O,O,X,X
LITZSOJ,X,X,X,X
LITZOJS,X,X,X,X
LITZOSJ,O,X,X,X
LITOJSZ,X,X,X,X
LITOJZS,X,X,X,X
LITOSJZ,O,X,X,X
LITOSZJ,O,X,X,X
LITOZJS,X,X,X,X
LITOZSJ,O,X,X,X
LIJTSZO,X,X,X,X
LIJTSOZ,X,X,X,X
LIJTZSO,X,O,X,X
LIJTZOS,X,O,X,X
LIJTOSZ,X,X,X,X
LIJTOZS,X,O,X,X
LIJSTZO,X,X,X,X
LIJSTOZ,X,X,X,X
LIJSZTO,X,X,X,X
LIJSZOT,X,X,X,X
LIJSOTZ,X,X,X,X
LIJSOZT,X,X,X,X
LIJZTSO,X,O,X,X
LIJZTOS,X,O,X,X
LIJZSTO,X,O,X,X
LIJZSOT,X,O,X,X
LIJZOTS,X,O,X,X
LIJZOST,X,O,X,X
LIJOTSZ,X,X,X,X
LIJOTZS,X,O,X,X
LIJOSTZ,X,X,X,X
LIJOSZT,X,X,X,X
LIJOZTS,X,O,X,X
LIJOZST,X,O,X,X
LISTJZO,O,X,X,X
LISTJOZ,X,X,X,X
LISTZJO,O,O,X,X
LISTZOJ,X,X,X,X
LISTOJZ,X,X,X,X
LISTOZJ,X,X,X,X
LISJTZO,O,X,X,X
LISJTOZ,X,X,X,X
LISJZTO,O,X,X,O
LISJZOT,X,X,X,O
LISJOTZ,X,X,X,X
LISJOZT,X,X,X,O
LISZTJO,O,O,X,O
LISZTOJ,X,X,X,O
LISZJTO,O,O,X,O
LISZJOT,X,O,X,O
LISZOTJ,O,X,X,O
LISZOJT,O,X,X,O
LISOTJZ,O,X,X,X
LISOTZJ,O,X,X,X
LISOJTZ,O,X,X,X
LISOJZT,O,X,X,O
LISOZTJ,O,X,X,O
LISOZJT,O,X,X,O
LIZTJSO,X,O,X,X
LIZTJOS,X,O,X,X
LIZTSJO,O,O,X,O
LIZTSOJ,X,X,X,O
LIZTOJS,X,X,X,X
LIZTOSJ,O,X,X,O
LIZJTSO,X,O,X,X
LIZJTOS,X,O,X,X
LIZJSTO,X,O,X,X
LIZJSOT,X,O,X,X
LIZJOTS,X,O,X,X
LIZJOST,X,O,X,X
LIZSTJO,O,O,X,O
LIZSTOJ,X,X,X,O
LIZSJTO,O,O,X,O
LIZSJOT,X,O,X,O
LIZSOTJ,O,X,X,O
LIZSOJT,O,X,X,O
LIZOTJS,X,X,X,X
LIZOTSJ,O,X,X,O
LIZOJTS,X,X,X,X
LIZOJST,X,X,X,X
LIZOSTJ,O,X,X,O
LIZOSJT,O,X,X,O
LIOTJSZ,X,X,X,X
LIOTJZS,X,X,X,X
LIOTSJZ,O,X,X,X
LIOTSZJ,O,X,X,X
LIOTZJS,X,X,X,X
LIOTZSJ,O,X,X,X
LIOJTSZ,X,X,X,X
LIOJTZS,X,X,X,X
LIOJSTZ,X,X,X,X
LIOJSZT,X,X,X,X
LIOJZTS,X,X,X,X
LIOJZST,X,X,X,X
LIOSTJZ,O,X,X,X
LIOSTZJ,O,X,X,X
LIOSJTZ,O,X,X,X
LIOSJZT,O,X,X,O
LIOSZTJ,O,X,X,O
LIOSZJT,O,X,X,O
LIOZTJS,X,X,X,X
LIOZTSJ,O,X,X,O
LIOZJTS,X,X,X,X
LIOZJST,X,X,X,X
LIOZSTJ,O,X,X,O
LIOZSJT,O,X,X,O
LJTISZO,X,X,X,X
LJTISOZ,X,X,X,X
LJTIZSO,X,O,X,X
LJTIZOS,X,O,X,X
LJTIOSZ,X,X,X,X
LJTIOZS,X,O,X,X
LJTSIZO,X,X,X,X
LJTSIOZ,X,X,X,X
LJTSZIO,X,X,X,X
LJTSZOI,X,X,X,X
LJTSOIZ,X,X,X,X
