sequence,v115@IhA8GeA8AeA8FeB8AeC8AeB8AeB8JeZEJvhFalBzgB?XjBUnBFrBGsB,v115@IhA8GeA8AeA8FeB8AeC8AeB8AeB8JeZEJvhFUgBFhB?XjBzmB6sBmqB
TIZJLOS,O,O
TIZJSLO,O,X
TIZJSOL,O,O
TIZJOLS,O,O
TIZJOSL,O,O
TIZSLJO,O,X
TIZSLOJ,O,X
TIZSJLO,O,X
TIZSJOL,O,O
TIZSOLJ,O,O
TIZSOJL,O,O
TIZOLJS,O,X
TIZOLSJ,O,O
TIZOJLS,O,O
TIZOJSL,O,O
TIZOSLJ,O,O
TIZOSJL,O,O
TIOLJSZ,O,X
TIOLJZS,O,X
TIOLSJZ,O,X
TIOLSZJ,O,O
TIOLZJS,O,X
TIOLZSJ,O,O
TIOJLSZ,O,O
TIOJLZS,O,O
TIOJSLZ,O,O
TIOJSZL,O,O
TIOJZLS,O,O
TIOJZSL,O,O
TIOSLJZ,O,X
TIOSLZJ,O,O
TIOSJLZ,O,O
TIOSJZL,O,O
TIOSZLJ,O,O
TIOSZJL,O,O
TIOZLJS,O,X
TIOZLSJ,O,O
TIOZJLS,O,O
TIOZJSL,O,O
TIOZSLJ,O,O
TIOZSJL,O,O
TLIJSZO,O,X
TLIJSOZ,O,X
TLIJZSO,O,X
TLIJZOS,O,X
TLIJOSZ,O,X
TLIJOZS,O,X
TLISJZO,O,X
TLISJOZ,O,X
TLISZJO,O,X
TLISZOJ,O,X
TLISOJZ,O,X
TLISOZJ,O,X
TLIZJSO,O,X
TLIZJOS,O,X
TLIZSJO,O,X
TLIZSOJ,O,X
TLIZOJS,O,X
TLIZOSJ,O,X
TLIOJSZ,O,X
TLIOJZS,O,X
TLIOSJZ,O,X
TLIOSZJ,O,X
TLIOZJS,O,X
TLIOZSJ,O,X
TLJISZO,O,X
TLJISOZ,O,X
TLJIZSO,O,X
TLJIZOS,O,X
TLJIOSZ,O,X
TLJIOZS,O,X
TLJSIZO,O,X
TLJSIOZ,O,X
TLJSZIO,O,X
TLJSZOI,O,X
TLJSOIZ,O,X
TLJSOZI,O,X
TLJZISO,O,X
TLJZIOS,O,X
TLJZSIO,O,X
TLJZSOI,O,X
TLJZOIS,O,X
TLJZOSI,O,X
TLJOISZ,O,X
TLJOIZS,O,X
TLJOSIZ,O,X
TLJOSZI,O,X
TLJOZIS,O,X
TLJOZSI,O,X
TLSIJZO,O,X
TLSIJOZ,O,X
TLSIZJO,O,X
TLSIZOJ,O,X
TLSIOJZ,O,X
TLSIOZJ,O,X
TLSJIZO,O,X
TLSJIOZ,O,X
TLSJZIO,O,X
TLSJZOI,O,X
TLSJOIZ,O,X
TLSJOZI,O,X
TLSZIJO,O,X
TLSZIOJ,O,X
TLSZJIO,O,X
TLSZJOI,O,X
TLSZOIJ,O,X
TLSZOJI,O,X
TLSOIJZ,O,X
TLSOIZJ,O,X
TLSOJIZ,O,X
TLSOJZI,O,X
TLSOZIJ,O,X
TLSOZJI,O,X
TLZIJSO,O,X
TLZIJOS,O,X
TLZISJO,O,X
TLZISOJ,O,X
TLZIOJS,O,X
TLZIOSJ,O,X
TLZJISO,O,X
TLZJIOS,O,X
TLZJSIO,O,X
TLZJSOI,O,X
TLZJOIS,O,X
TLZJOSI,O,X
TLZSIJO,O,X
TLZSIOJ,O,X
TLZSJIO,O,X
TLZSJOI,O,X
TLZSOIJ,O,X
TLZSOJI,O,X
TLZOIJS,O,X
TLZOISJ,O,X
TLZOJIS,O,X
TLZOJSI,O,X
TLZOSIJ,O,X
TLZOSJI,O,X
TLOIJSZ,O,X
TLOIJZS,O,X
TLOISJZ,O,X
TLOISZJ,O,X
TLOIZJS,O,X
TLOIZSJ,O,X
TLOJISZ,O,X
TLOJIZS,O,X
TLOJSIZ,O,X
TLOJSZI,O,X
TLOJZIS,O,X
TLOJZSI,O,X
TLOSIJZ,O,X
TLOSIZJ,O,X
TLOSJIZ,O,X
TLOSJZI,O,X
TLOSZIJ,O,X
TLOSZJI,O,X
TLOZIJS,O,X
TLOZISJ,O,X
TLOZJIS,O,X
TLOZJSI,O,X
TLOZSIJ,O,X
TLOZSJI,O,X
TJILSZO,O,X
TJILSOZ,O,X
TJILZSO,O,X
TJILZOS,O,O
TJILOSZ,O,O
TJILOZS,O,O
TJISLZO,O,X
TJISLOZ,O,X
TJISZLO,O,X
TJISZOL,O,O
TJISOLZ,O,O
TJISOZL,O,O
TJIZLSO,O,X
TJIZLOS,O,O
TJIZSLO,O,X
TJIZSOL,O,O
TJIZOLS,O,O
TJIZOSL,O,O
TJIOLSZ,O,O
TJIOLZS,O,O
TJIOSLZ,O,O
TJIOSZL,O,O
TJIOZLS,O,O
TJIOZSL,O,O
TJLISZO,O,X
TJLISOZ,O,X
TJLIZSO,O,X
TJLIZOS,O,O
TJLIOSZ,O,O
TJLIOZS,O,O
TJLSIZO,O,X
TJLSIOZ,O,X
TJLSZIO,O,X
TJLSZOI,O,X
TJLSOIZ,O,X
TJLSOZI,O,X
TJLZISO,O,X
TJLZIOS,O,O
TJLZSIO,O,X
TJLZSOI,O,X
TJLZOIS,O,O
TJLZOSI,O,O
TJLOISZ,O,O
TJLOIZS,O,O
TJLOSIZ,O,O
TJLOSZI,O,O
TJLOZIS,O,O
TJLOZSI,O,O
TJSILZO,O,X
TJSILOZ,O,X
TJSIZLO,O,X
TJSIZOL,O,O
TJSIOLZ,O,O
TJSIOZL,O,O
TJSLIZO,O,X
TJSLIOZ,O,X
TJSLZIO,O,X
TJSLZOI,O,X
TJSLOIZ,O,X
TJSLOZI,O,X
TJSZILO,O,X
TJSZIOL,O,O
TJSZLIO,O,X
TJSZLOI,O,X
TJSZOIL,O,O
TJSZOLI,O,O
TJSOILZ,O,O
TJSOIZL,O,O
TJSOLIZ,O,O
TJSOLZI,O,O
TJSOZIL,O,O
TJSOZLI,O,O
TJZILSO,O,X
TJZILOS,O,O
TJZISLO,O,X
TJZISOL,O,O
TJZIOLS,O,O
TJZIOSL,O,O
TJZLISO,O,X
TJZLIOS,O,O
TJZLSIO,O,X
TJZLSOI,O,X
TJZLOIS,O,O
TJZLOSI,O,O
TJZSILO,O,X
TJZSIOL,O,O
TJZSLIO,O,X
TJZSLOI,O,X
TJZSOIL,O,O
TJZSOLI,O,O
TJZOILS,O,O
TJZOISL,O,O
TJZOLIS,O,O
TJZOLSI,O,O
TJZOSIL,O,O
TJZOSLI,O,O
TJOILSZ,O,O
TJOILZS,O,O
TJOISLZ,O,O
TJOISZL,O,O
TJOIZLS,O,O
TJOIZSL,O,O
TJOLISZ,O,O
TJOLIZS,O,O
TJOLSIZ,O,O
TJOLSZI,O,O
TJOLZIS,O,O
TJOLZSI,O,O
TJOSILZ,O,O
TJOSIZL,O,O
TJOSLIZ,O,O
TJOSLZI,O,O
TJOSZIL,O,O
TJOSZLI,O,O
TJOZILS,O,O
TJOZISL,O,O
TJOZLIS,O,O
TJOZLSI,O,O
TJOZSIL,O,O
TJOZSLI,O,O
TSILJZO,O,X
TSILJOZ,O,X
TSILZJO,O,X
TSILZOJ,O,X
TSILOJZ,O,X
TSILOZJ,O,X
TSIJLZO,O,X
TSIJLOZ,O,X
TSIJZLO,O,X
TSIJZOL,O,O
TSIJOLZ,O,O
TSIJOZL,O,O
TSIZLJO,O,X
TSIZLOJ,O,X
TSIZJLO,O,X
TSIZJOL,O,O
TSIZOLJ,O,O
TSIZOJL,O,O
TSIOLJZ,O,X
TSIOLZJ,O,O
TSIOJLZ,O,O
TSIOJZL,O,O
TSIOZLJ,O,O
TSIOZJL,O,O
TSLIJZO,O,X
TSLIJOZ,O,X
TSLIZJO,O,X
TSLIZOJ,O,X
TSLIOJZ,O,X
TSLIOZJ,O,X
TSLJIZO,O,X
TSLJIOZ,O,X
TSLJZIO,O,X
TSLJZOI,O,X
TSLJOIZ,O,X
TSLJOZI,O,X
TSLZIJO,O,X
TSLZIOJ,O,X
TSLZJIO,O,X
TSLZJOI,O,X
TSLZOIJ,O,X
TSLZOJI,O,X
TSLOIJZ,O,X
TSLOIZJ,O,X
TSLOJIZ,O,X
TSLOJZI,O,X
TSLOZIJ,O,X
TSLOZJI,O,X
TSJILZO,O,X
TSJILOZ,O,X
TSJIZLO,O,X
TSJIZOL,O,O
TSJIOLZ,O,O
TSJIOZL,O,O
TSJLIZO,O,X
TSJLIOZ,O,X
TSJLZIO,O,X
TSJLZOI,O,X
TSJLOIZ,O,X
TSJLOZI,O,X
TSJZILO,O,X
TSJZIOL,O,O
TSJZLIO,O,X
TSJZLOI,O,X
TSJZOIL,O,O
TSJZOLI,O,O
TSJOILZ,O,O
TSJOIZL,O,O
TSJOLIZ,O,O
TSJOLZI,O,O
TSJOZIL,O,O
TSJOZLI,O,O
TSZILJO,O,X
TSZILOJ,O,X
TSZIJLO,O,X
TSZIJOL,O,O
TSZIOLJ,O,O
TSZIOJL,O,O
TSZLIJO,O,X
TSZLIOJ,O,X
TSZLJIO,O,X
TSZLJOI,O,X
TSZLOIJ,O,X
TSZLOJI,O,X
TSZJILO,O,X
TSZJIOL,O,O
TSZJLIO,O,X
TSZJLOI,O,X
TSZJOIL,O,O
TSZJOLI,O,O
TSZOILJ,O,O
TSZOIJL,O,O
TSZOLIJ,O,O
TSZOLJI,O,X
TSZOJIL,O,O
TSZOJLI,O,O
TSOILJZ,O,X
TSOILZJ,O,O
TSOIJLZ,O,O
TSOIJZL,O,O
TSOIZLJ,O,O
TSOIZJL,O,O
TSOLIJZ,O,X
TSOLIZJ,O,O
TSOLJIZ,O,X
TSOLJZI,O,X
TSOLZIJ,O,O
TSOLZJI,O,X
TSOJILZ,O,O
TSOJIZL,O,O
TSOJLIZ,O,O
TSOJLZI,O,O
TSOJZIL,O,O
TSOJZLI,O,O
TSOZILJ,O,O
TSOZIJL,O,O
TSOZLIJ,O,O
TSOZLJI,O,X
TSOZJIL,O,O
TSOZJLI,O,O
TZILJSO,O,X
TZILJOS,O,X
TZILSJO,O,X
TZILSOJ,O,X
TZILOJS,O,X
TZILOSJ,O,O
TZIJLSO,O,X
TZIJLOS,O,O
TZIJSLO,O,X
TZIJSOL,O,O
TZIJOLS,O,O
TZIJOSL,O,O
TZISLJO,O,X
TZISLOJ,O,X
TZISJLO,O,X
TZISJOL,O,O
TZISOLJ,O,O
TZISOJL,O,O
TZIOLJS,O,X
TZIOLSJ,O,O
TZIOJLS,O,O
TZIOJSL,O,O
TZIOSLJ,O,O
TZIOSJL,O,O
TZLIJSO,O,X
TZLIJOS,O,X
TZLISJO,O,X
TZLISOJ,O,X
TZLIOJS,O,X
TZLIOSJ,O,O
TZLJISO,O,X
TZLJIOS,O,X
TZLJSIO,O,X
TZLJSOI,O,X
TZLJOIS,O,X
TZLJOSI,O,X
TZLSIJO,O,X
TZLSIOJ,O,X
TZLSJIO,O,X
TZLSJOI,O,X
TZLSOIJ,O,X
TZLSOJI,O,X
TZLOIJS,O,X
TZLOISJ,O,O
TZLOJIS,O,X
TZLOJSI,O,X
TZLOSIJ,O,O
TZLOSJI,O,X
TZJILSO,O,X
TZJILOS,O,O
TZJISLO,O,X
TZJISOL,O,O
TZJIOLS,O,O
TZJIOSL,O,O
TZJLISO,O,X
TZJLIOS,O,O
TZJLSIO,O,X
TZJLSOI,O,X
TZJLOIS,O,O
TZJLOSI,O,O
TZJSILO,O,X
TZJSIOL,O,O
TZJSLIO,O,X
TZJSLOI,O,X
TZJSOIL,O,O
TZJSOLI,O,O
TZJOILS,O,O
TZJOISL,O,O
TZJOLIS,O,O
TZJOLSI,O,O
TZJOSIL,O,O
TZJOSLI,O,O
TZSILJO,O,X
TZSILOJ,O,X
TZSIJLO,O,X
TZSIJOL,O,O
TZSIOLJ,O,O
TZSIOJL,O,O
TZSLIJO,O,X
TZSLIOJ,O,X
TZSLJIO,O,X
TZSLJOI,O,X
TZSLOIJ,O,X
TZSLOJI,O,X
TZSJILO,O,X
TZSJIOL,O,O
TZSJLIO,O,X
TZSJLOI,O,X
TZSJOIL,O,O
TZSJOLI,O,O
TZSOILJ,O,O
TZSOIJL,O,O
TZSOLIJ,O,O
TZSOLJI,O,X
TZSOJIL,O,O
TZSOJLI,O,O
TZOILJS,O,X
TZOILSJ,O,O
TZOIJLS,O,O
TZOIJSL,O,O
TZOISLJ,O,O
TZOISJL,O,O
TZOLIJS,O,X
TZOLISJ,O,O
TZOLJIS,O,X
TZOLJSI,O,X
TZOLSIJ,O,O
TZOLSJI,O,X
TZOJILS,O,O
TZOJISL,O,O
TZOJLIS,O,O
TZOJLSI,O,O
TZOJSIL,O,O
TZOJSLI,O,O
TZOSILJ,O,O
TZOSIJL,O,O
TZOSLIJ,O,O
TZOSLJI,O,X
TZOSJIL,O,O
TZOSJLI,O,O
TOILJSZ,O,X
TOILJZS,O,X
TOILSJZ,O,X
TOILSZJ,O,O
TOILZJS,O,X
TOILZSJ,O,O
TOIJLSZ,O,O
TOIJLZS,O,O
TOIJSLZ,O,O
TOIJSZL,O,O
TOIJZLS,O,O
TOIJZSL,O,O
TOISLJZ,O,X
TOISLZJ,O,O
TOISJLZ,O,O
TOISJZL,O,O
TOISZLJ,O,O
TOISZJL,O,O
TOIZLJS,O,X
TOIZLSJ,O,O
TOIZJLS,O,O
TOIZJSL,O,O
TOIZSLJ,O,O
TOIZSJL,O,O
TOLIJSZ,O,X
TOLIJZS,O,X
TOLISJZ,O,X
TOLISZJ,O,O
TOLIZJS,O,X
TOLIZSJ,O,O
TOLJISZ,O,X
TOLJIZS,O,X
TOLJSIZ,O,X
TOLJSZI,O,X
TOLJZIS,O,X
TOLJZSI,O,X
TOLSIJZ,O,X
TOLSIZJ,O,O
TOLSJIZ,O,X
TOLSJZI,O,X
TOLSZIJ,O,O
TOLSZJI,O,X
TOLZIJS,O,X
TOLZISJ,O,O
TOLZJIS,O,X
TOLZJSI,O,X
TOLZSIJ,O,O
TOLZSJI,O,X
TOJILSZ,O,O
TOJILZS,O,O
TOJISLZ,O,O
TOJISZL,O,O
TOJIZLS,O,O
TOJIZSL,O,O
TOJLISZ,O,O
TOJLIZS,O,O
TOJLSIZ,O,O
TOJLSZI,O,O
TOJLZIS,O,O
TOJLZSI,O,O
TOJSILZ,O,O
TOJSIZL,O,O
TOJSLIZ,O,O
TOJSLZI,O,O
TOJSZIL,O,O
TOJSZLI,O,O
TOJZILS,O,O
TOJZISL,O,O
TOJZLIS,O,O
TOJZLSI,O,O
TOJZSIL,O,O
TOJZSLI,O,O
TOSILJZ,O,X
TOSILZJ,O,O
TOSIJLZ,O,O
TOSIJZL,O,O
TOSIZLJ,O,O
TOSIZJL,O,O
TOSLIJZ,O,X
TOSLIZJ,O,O
TOSLJIZ,O,X
TOSLJZI,O,X
TOSLZIJ,O,O
TOSLZJI,O,X
TOSJILZ,O,O
TOSJIZL,O,O
TOSJLIZ,O,O
TOSJLZI,O,O
TOSJZIL,O,O
TOSJZLI,O,O
TOSZILJ,O,O
TOSZIJL,O,O
TOSZLIJ,O,O
TOSZLJI,O,X
TOSZJIL,O,O
TOSZJLI,O,O
TOZILJS,O,X
TOZILSJ,O,O
TOZIJLS,O,O
TOZIJSL,O,O
TOZISLJ,O,O
TOZISJL,O,O
TOZLIJS,O,X
TOZLISJ,O,O
TOZLJIS,O,X
TOZLJSI,O,X
TOZLSIJ,O,O
TOZLSJI,O,X
TOZJILS,O,O
TOZJISL,O,O
TOZJLIS,O,O
TOZJLSI,O,O
TOZJSIL,O,O
TOZJSLI,O,O
TOZSILJ,O,O
TOZSIJL,O,O
TOZSLIJ,O,O
TOZSLJI,O,X
TOZSJIL,O,O
TOZSJLI,O,O
ITLJSZO,O,X
ITLJSOZ,O,X
ITLJZSO,O,X
ITLJZOS,O,X
ITLJOSZ,O,X
ITLJOZS,O,X
ITLSJZO,O,X
ITLSJOZ,O,X
ITLSZJO,O,X
ITLSZOJ,O,X
ITLSOJZ,O,X
ITLSOZJ,O,X
ITLZJSO,O,X
ITLZJOS,O,X
ITLZSJO,O,X
ITLZSOJ,O,X
ITLZOJS,O,X
ITLZOSJ,O,X
ITLOJSZ,O,X
ITLOJZS,O,X
ITLOSJZ,O,X
ITLOSZJ,O,X
ITLOZJS,O,X
ITLOZSJ,O,X
ITJLSZO,O,X
ITJLSOZ,O,X
ITJLZSO,O,X
ITJLZOS,O,O
ITJLOSZ,O,O
ITJLOZS,O,O
ITJSLZO,O,X
ITJSLOZ,O,X
ITJSZLO,O,X
ITJSZOL,O,O
ITJSOLZ,O,O
ITJSOZL,O,O
ITJZLSO,O,X
ITJZLOS,O,O
ITJZSLO,O,X
ITJZSOL,O,O
ITJZOLS,O,O
ITJZOSL,O,O
ITJOLSZ,O,O
ITJOLZS,O,O
ITJOSLZ,O,O
ITJOSZL,O,O
ITJOZLS,O,O
ITJOZSL,O,O
ITSLJZO,O,X
ITSLJOZ,O,X
ITSLZJO,O,X
ITSLZOJ,O,X
ITSLOJZ,O,X
ITSLOZJ,O,X
ITSJLZO,O,X
ITSJLOZ,O,X
ITSJZLO,O,X
ITSJZOL,O,O
ITSJOLZ,O,O
ITSJOZL,O,O
ITSZLJO,O,X
ITSZLOJ,O,X
ITSZJLO,O,X
ITSZJOL,O,O
ITSZOLJ,O,O
ITSZOJL,O,O
ITSOLJZ,O,X
ITSOLZJ,O,O
ITSOJLZ,O,O
ITSOJZL,O,O
ITSOZLJ,O,O
ITSOZJL,O,O
ITZLJSO,O,X
ITZLJOS,O,X
ITZLSJO,O,X
ITZLSOJ,O,X
ITZLOJS,O,X
ITZLOSJ,O,O
ITZJLSO,O,X
ITZJLOS,O,O
ITZJSLO,O,X
ITZJSOL,O,O
ITZJOLS,O,O
ITZJOSL,O,O
ITZSLJO,O,X
ITZSLOJ,O,X
ITZSJLO,O,X
ITZSJOL,O,O
ITZSOLJ,O,O
ITZSOJL,O,O
ITZOLJS,O,X
ITZOLSJ,O,O
ITZOJLS,O,O
ITZOJSL,O,O
ITZOSLJ,O,O
ITZOSJL,O,O
ITOLJSZ,O,X
ITOLJZS,O,X
ITOLSJZ,O,X
ITOLSZJ,O,O
ITOLZJS,O,X
ITOLZSJ,O,O
ITOJLSZ,O,O
ITOJLZS,O,O
ITOJSLZ,O,O
ITOJSZL,O,O
ITOJZLS,O,O
ITOJZSL,O,O
ITOSLJZ,O,X
ITOSLZJ,O,O
ITOSJLZ,O,O
ITOSJZL,O,O
ITOSZLJ,O,O
ITOSZJL,O,O
ITOZLJS,O,X
ITOZLSJ,O,O
ITOZJLS,O,O
ITOZJSL,O,O
ITOZSLJ,O,O
ITOZSJL,O,O
ILTJSZO,O,X
ILTJSOZ,O,X
ILTJZSO,O,X
ILTJZOS,O,X
ILTJOSZ,O,X
ILTJOZS,O,X
ILTSJZO,O,X
ILTSJOZ,O,X
ILTSZJO,O,X
ILTSZOJ,O,X
ILTSOJZ,O,X
ILTSOZJ,O,X
ILTZJSO,O,X
ILTZJOS,O,X
ILTZSJO,O,X
ILTZSOJ,O,X
ILTZOJS,O,X
ILTZOSJ,O,X
ILTOJSZ,O,X
ILTOJZS,O,X
ILTOSJZ,O,X
ILTOSZJ,O,X
ILTOZJS,O,X
ILTOZSJ,O,X
ILJTSZO,O,X
ILJTSOZ,O,X
ILJTZSO,O,X
ILJTZOS,O,O
ILJTOSZ,O,O
ILJTOZS,O,O
ILJSTZO,O,X
ILJSTOZ,O,X
ILJSZTO,O,X
ILJSZOT,X,O
ILJSOTZ,X,O
ILJSOZT,X,O
ILJZTSO,O,X
ILJZTOS,O,O
ILJZSTO,O,X
ILJZSOT,X,O
ILJZOTS,X,O
ILJZOST,X,O
ILJOTSZ,X,O
ILJOTZS,X,O
ILJOSTZ,X,O
ILJOSZT,X,O
ILJOZTS,X,O
ILJOZST,X,O
ILSTJZO,O,X
ILSTJOZ,O,X
ILSTZJO,O,X
ILSTZOJ,O,X
ILSTOJZ,O,X
ILSTOZJ,O,X
ILSJTZO,O,X
ILSJTOZ,O,X
ILSJZTO,O,X
ILSJZOT,X,O
ILSJOTZ,X,O
ILSJOZT,X,O
ILSZTJO,O,X
ILSZTOJ,O,X
ILSZJTO,O,X
ILSZJOT,X,O
ILSZOTJ,O,O
ILSZOJT,X,O
ILSOTJZ,O,X
ILSOTZJ,O,O
ILSOJTZ,X,O
ILSOJZT,X,O
ILSOZTJ,O,O
ILSOZJT,X,O
ILZTJSO,O,X
ILZTJOS,O,X
ILZTSJO,O,X
ILZTSOJ,O,X
ILZTOJS,O,X
ILZTOSJ,O,O
ILZJTSO,O,X
ILZJTOS,O,O
ILZJSTO,O,X
ILZJSOT,X,O
ILZJOTS,X,O
ILZJOST,X,O
ILZSTJO,O,X
ILZSTOJ,O,X
ILZSJTO,O,X
ILZSJOT,X,O
ILZSOTJ,O,O
ILZSOJT,X,O
ILZOTJS,O,X
ILZOTSJ,O,O
ILZOJTS,X,O
ILZOJST,X,O
ILZOSTJ,O,O
ILZOSJT,X,O
ILOTJSZ,O,X
ILOTJZS,O,X
ILOTSJZ,O,X
ILOTSZJ,O,O
ILOTZJS,O,X
ILOTZSJ,O,O
ILOJTSZ,X,O
ILOJTZS,X,O
ILOJSTZ,X,O
ILOJSZT,X,O
ILOJZTS,X,O
ILOJZST,X,O
ILOSTJZ,O,X
ILOSTZJ,O,O
ILOSJTZ,X,O
ILOSJZT,X,O
ILOSZTJ,O,O
ILOSZJT,X,O
ILOZTJS,O,X
ILOZTSJ,O,O
ILOZJTS,X,O
ILOZJST,X,O
ILOZSTJ,O,O
ILOZSJT,X,O
IJTLSZO,O,X
IJTLSOZ,O,X
IJTLZSO,O,X
IJTLZOS,O,O
IJTLOSZ,O,O
IJTLOZS,O,O
IJTSLZO,O,X
IJTSLOZ,O,X
IJTSZLO,O,X
IJTSZOL,O,O
IJTSOLZ,O,O
IJTSOZL,O,O
IJTZLSO,O,X
IJTZLOS,O,O
IJTZSLO,O,X
IJTZSOL,O,O
IJTZOLS,O,O
IJTZOSL,O,O
IJTOLSZ,O,O
IJTOLZS,O,O
IJTOSLZ,O,O
IJTOSZL,O,O
IJTOZLS,O,O
IJTOZSL,O,O
IJLTSZO,O,X
IJLTSOZ,O,X
IJLTZSO,O,X
IJLTZOS,O,O
IJLTOSZ,O,O
IJLTOZS,O,O
IJLSTZO,O,X
IJLSTOZ,O,X
IJLSZTO,O,X
IJLSZOT,X,O
IJLSOTZ,X,O
IJLSOZT,X,O
IJLZTSO,O,X
IJLZTOS,O,O
IJLZSTO,O,X
IJLZSOT,X,O
IJLZOTS,X,O
IJLZOST,X,O
IJLOTSZ,X,O
IJLOTZS,X,O
IJLOSTZ,X,O
IJLOSZT,X,O
IJLOZTS,X,O
IJLOZST,X,O
IJSTLZO,O,X
IJSTLOZ,O,X
IJSTZLO,O,X
IJSTZOL,O,O
IJSTOLZ,O,O
IJSTOZL,O,O
IJSLTZO,O,X
IJSLTOZ,O,X
IJSLZTO,O,X
IJSLZOT,X,O
IJSLOTZ,X,O
IJSLOZT,X,O
IJSZTLO,O,X
IJSZTOL,O,O
IJSZLTO,O,X
IJSZLOT,X,O
IJSZOTL,X,O
IJSZOLT,X,O
IJSOTLZ,X,O
IJSOTZL,X,O
IJSOLTZ,X,O
IJSOLZT,X,O
IJSOZTL,X,O
IJSOZLT,X,O
IJZTLSO,O,X
IJZTLOS,O,O
IJZTSLO,O,X
IJZTSOL,O,O
IJZTOLS,O,O
IJZTOSL,O,O
IJZLTSO,O,X
IJZLTOS,O,O
IJZLSTO,O,X
IJZLSOT,X,O
IJZLOTS,X,O
IJZLOST,X,O
IJZSTLO,O,X
IJZSTOL,O,O
IJZSLTO,O,X
IJZSLOT,X,O
IJZSOTL,X,O
IJZSOLT,X,O
IJZOTLS,X,O
IJZOTSL,X,O
IJZOLTS,X,O
IJZOLST,X,O
IJZOSTL,X,O
IJZOSLT,X,O
IJOTLSZ,X,O
IJOTLZS,X,O
IJOTSLZ,X,O
IJOTSZL,X,O
IJOTZLS,X,O
IJOTZSL,X,O
IJOLTSZ,X,O
IJOLTZS,X,O
IJOLSTZ,X,O
IJOLSZT,X,O
IJOLZTS,X,O
IJOLZST,X,O
IJOSTLZ,X,O
IJOSTZL,X,O
IJOSLTZ,X,O
IJOSLZT,X,O
IJOSZTL,X,O
IJOSZLT,X,O
IJOZTLS,X,O
IJOZTSL,X,O
IJOZLTS,X,O
IJOZLST,X,O
IJOZSTL,X,O
IJOZSLT,X,O
ISTLJZO,O,X
ISTLJOZ,O,X
ISTLZJO,O,X
ISTLZOJ,O,X
ISTLOJZ,O,X
ISTLOZJ,O,X
ISTJLZO,O,X
ISTJLOZ,O,X
ISTJZLO,O,X
ISTJZOL,O,O
ISTJOLZ,O,O
ISTJOZL,O,O
ISTZLJO,O,X
ISTZLOJ,O,X
ISTZJLO,O,X
ISTZJOL,O,O
ISTZOLJ,O,O
ISTZOJL,O,O
ISTOLJZ,O,X
ISTOLZJ,O,O
ISTOJLZ,O,O
ISTOJZL,O,O
ISTOZLJ,O,O
ISTOZJL,O,O
ISLTJZO,O,X
ISLTJOZ,O,X
ISLTZJO,O,X
ISLTZOJ,O,X
ISLTOJZ,O,X
ISLTOZJ,O,X
ISLJTZO,O,X
ISLJTOZ,O,X
ISLJZTO,O,X
ISLJZOT,X,O
ISLJOTZ,X,O
ISLJOZT,X,O
ISLZTJO,O,X
ISLZTOJ,O,X
ISLZJTO,O,X
ISLZJOT,X,O
ISLZOTJ,O,O
ISLZOJT,X,O
ISLOTJZ,O,X
ISLOTZJ,O,O
ISLOJTZ,X,O
ISLOJZT,X,O
ISLOZTJ,O,O
ISLOZJT,X,O
ISJTLZO,O,X
ISJTLOZ,O,X
ISJTZLO,O,X
