sequence,v115@ThB8EeF8AeD8Jei/IvhFWmBxhBTjB3kB0nBlrB,v115@ThB8EeF8AeD8Jei/IvhFzgBRiBcoB3kBGnBlrB,v115@ThB8EeF8AeD8JeOEJvhF8kBzgBCiBxnBXoBlrB,v115@ThB8EeF8AeD8Jex/IvhFlhB3iBcoBTkBmlBCsB,v115@ThB8EeF8AeD8Jem/IvhFfmB0hBxiBTkBFoBCsB,v115@ThB8EeF8AeD8Je2EJvhFqnBTjBRmB3kBFmB8rB
TJLOIZS,X,X,X,X,X,X
TJLOSIZ,X,X,X,X,X,X
TJLOSZI,X,X,X,X,X,X
TJLOZIS,X,X,X,X,X,X
TJLOZSI,X,X,X,X,X,X
TJSILZO,O,X,X,X,O,X
TJSILOZ,O,X,X,X,X,X
TJSIZLO,O,X,X,X,X,X
TJSIZOL,O,X,X,X,O,X
TJSIOLZ,O,X,X,X,X,X
TJSIOZL,X,X,X,X,X,X
TJSLIZO,O,X,X,X,O,X
TJSLIOZ,O,X,X,X,X,X
TJSLZIO,O,O,X,X,O,X
TJSLZOI,O,O,X,X,X,X
TJSLOIZ,O,X,X,X,X,X
TJSLOZI,X,O,X,X,X,X
TJSZILO,O,O,X,X,X,X
TJSZIOL,O,O,X,X,O,X
TJSZLIO,O,O,X,X,X,X
TJSZLOI,O,O,X,X,X,X
TJSZOIL,O,O,X,X,X,X
TJSZOLI,O,O,X,X,X,X
TJSOILZ,O,X,X,X,X,X
TJSOIZL,X,X,X,X,X,X
TJSOLIZ,O,X,X,X,X,X
TJSOLZI,X,O,X,X,X,X
TJSOZIL,X,O,X,X,X,X
TJSOZLI,X,O,X,X,X,X
TJZILSO,X,X,X,X,X,X
TJZILOS,X,X,X,X,X,X
TJZISLO,O,O,X,X,X,X
TJZISOL,O,O,X,X,X,X
TJZIOLS,X,X,X,X,X,X
TJZIOSL,O,O,X,X,X,X
TJZLISO,X,X,X,X,X,X
TJZLIOS,X,X,X,X,X,X
TJZLSIO,X,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X
TJZLOIS,X,X,X,X,X,X
TJZLOSI,X,X,X,X,X,X
TJZSILO,O,O,X,X,X,X
TJZSIOL,O,O,X,X,X,X
TJZSLIO,O,O,X,X,X,X
TJZSLOI,O,O,X,X,X,X
TJZSOIL,O,O,X,X,X,X
TJZSOLI,O,O,X,X,X,X
TJZOILS,X,X,X,X,X,X
TJZOISL,O,O,X,X,X,X
TJZOLIS,X,X,X,X,X,X
TJZOLSI,X,X,X,X,X,X
TJZOSIL,O,O,X,X,X,X
TJZOSLI,O,O,X,X,X,X
TJOILSZ,X,X,X,X,X,X
TJOILZS,X,X,X,X,X,X
TJOISLZ,O,X,X,X,X,X
TJOISZL,X,X,X,X,X,X
TJOIZLS,X,X,X,X,X,X
TJOIZSL,X,X,X,X,X,X
TJOLISZ,X,X,X,X,X,X
TJOLIZS,X,X,X,X,X,X
TJOLSIZ,X,X,X,X,X,X
TJOLSZI,X,X,X,X,X,X
TJOLZIS,X,X,X,X,X,X
TJOLZSI,X,X,X,X,X,X
TJOSILZ,O,X,X,X,X,X
TJOSIZL,X,X,X,X,X,X
TJOSLIZ,O,X,X,X,X,X
TJOSLZI,X,O,X,X,X,X
TJOSZIL,X,O,X,X,X,X
TJOSZLI,X,O,X,X,X,X
TJOZILS,X,X,X,X,X,X
TJOZISL,X,O,X,X,X,X
TJOZLIS,X,X,X,X,X,X
TJOZLSI,X,X,X,X,X,X
TJOZSIL,X,O,X,X,X,X
TJOZSLI,X,O,X,X,X,X
TSILJZO,X,X,X,X,O,X
TSILJOZ,X,X,X,X,X,X
TSILZJO,X,X,X,X,O,X
TSILZOJ,X,X,X,X,O,X
TSILOJZ,X,X,X,X,O,X
TSILOZJ,X,X,X,X,O,X
TSIJLZO,X,X,X,X,O,X
TSIJLOZ,X,X,X,X,X,X
TSIJZLO,X,X,X,X,X,X
TSIJZOL,X,X,X,X,O,X
TSIJOLZ,X,X,X,X,X,X
TSIJOZL,X,X,X,X,X,X
TSIZLJO,X,X,X,X,X,X
TSIZLOJ,X,X,X,X,X,X
TSIZJLO,X,X,X,X,X,X
TSIZJOL,X,X,X,X,O,X
TSIZOLJ,X,X,X,X,X,X
TSIZOJL,X,X,X,X,O,X
TSIOLJZ,X,X,X,X,O,X
TSIOLZJ,X,X,X,X,O,X
TSIOJLZ,X,X,X,X,O,X
TSIOJZL,X,X,X,X,O,X
TSIOZLJ,X,X,X,X,X,X
TSIOZJL,X,X,X,X,O,X
TSLIJZO,X,X,X,X,O,X
TSLIJOZ,X,X,X,X,X,X
TSLIZJO,X,X,X,X,O,X
TSLIZOJ,X,X,X,X,O,X
TSLIOJZ,X,X,X,X,O,X
TSLIOZJ,X,X,X,X,O,X
TSLJIZO,O,X,X,X,O,X
TSLJIOZ,O,X,X,X,X,X
TSLJZIO,O,O,X,X,O,X
TSLJZOI,O,O,X,X,X,X
TSLJOIZ,O,X,X,X,X,X
TSLJOZI,X,O,X,X,X,X
TSLZIJO,O,O,X,X,O,X
TSLZIOJ,O,O,X,X,O,X
TSLZJIO,O,O,X,X,O,X
TSLZJOI,O,O,X,X,X,X
TSLZOIJ,O,O,X,X,O,X
TSLZOJI,O,O,X,X,O,X
TSLOIJZ,X,X,X,X,O,X
TSLOIZJ,X,X,X,X,O,X
TSLOJIZ,O,X,X,X,O,X
TSLOJZI,X,O,X,X,O,X
TSLOZIJ,X,O,X,X,O,X
TSLOZJI,X,O,X,X,O,X
TSJILZO,O,X,X,X,O,X
TSJILOZ,O,X,X,X,X,X
TSJIZLO,O,X,X,X,X,X
TSJIZOL,O,X,X,X,O,X
TSJIOLZ,O,X,X,X,X,X
TSJIOZL,X,X,X,X,X,X
TSJLIZO,O,X,X,X,O,X
TSJLIOZ,O,X,X,X,X,X
TSJLZIO,O,O,X,X,O,X
TSJLZOI,O,O,X,X,X,X
TSJLOIZ,O,X,X,X,X,X
TSJLOZI,X,O,X,X,X,X
TSJZILO,O,O,X,X,X,X
TSJZIOL,O,O,X,X,O,X
TSJZLIO,O,O,X,X,X,X
TSJZLOI,O,O,X,X,X,X
TSJZOIL,O,O,X,X,X,X
TSJZOLI,O,O,X,X,X,X
TSJOILZ,O,X,X,X,X,X
TSJOIZL,X,X,X,X,X,X
TSJOLIZ,O,X,X,X,X,X
TSJOLZI,X,O,X,X,X,X
TSJOZIL,X,O,X,X,X,X
TSJOZLI,X,O,X,X,X,X
TSZILJO,O,O,X,X,X,X
TSZILOJ,O,O,X,X,X,X
TSZIJLO,O,O,X,X,X,X
TSZIJOL,O,O,X,X,O,X
TSZIOLJ,O,O,X,X,X,X
TSZIOJL,O,X,X,X,O,X
TSZLIJO,O,O,X,X,X,X
TSZLIOJ,O,O,X,X,X,X
TSZLJIO,O,O,X,X,X,X
TSZLJOI,O,O,X,X,X,X
TSZLOIJ,O,O,X,X,X,X
TSZLOJI,O,O,X,X,X,X
TSZJILO,O,O,X,X,X,X
TSZJIOL,O,O,X,X,O,X
TSZJLIO,O,O,X,X,X,X
TSZJLOI,O,O,X,X,X,X
TSZJOIL,O,O,X,X,X,X
TSZJOLI,O,O,X,X,X,X
TSZOILJ,O,O,X,X,X,X
TSZOIJL,O,X,X,X,O,X
TSZOLIJ,O,O,X,X,X,X
TSZOLJI,O,O,X,X,X,X
TSZOJIL,O,O,X,X,O,X
TSZOJLI,O,O,X,X,X,X
TSOILJZ,X,X,X,X,O,X
TSOILZJ,X,X,X,X,O,X
TSOIJLZ,X,X,X,X,O,X
TSOIJZL,X,X,X,X,O,X
TSOIZLJ,X,X,X,X,X,X
TSOIZJL,X,X,X,X,O,X
TSOLIJZ,X,X,X,X,O,X
TSOLIZJ,X,X,X,X,O,X
TSOLJIZ,O,X,X,X,O,X
TSOLJZI,X,O,X,X,O,X
TSOLZIJ,X,O,X,X,O,X
TSOLZJI,X,O,X,X,O,X
TSOJILZ,O,X,X,X,O,X
TSOJIZL,X,X,X,X,O,X
TSOJLIZ,O,X,X,X,O,X
TSOJLZI,X,O,X,X,O,X
TSOJZIL,X,O,X,X,O,X
TSOJZLI,X,O,X,X,X,X
TSOZILJ,X,O,X,X,X,X
TSOZIJL,X,X,X,X,O,X
TSOZLIJ,X,O,X,X,X,X
TSOZLJI,X,O,X,X,X,X
TSOZJIL,X,O,X,X,O,X
TSOZJLI,X,O,X,X,X,X
TZILJSO,X,X,X,X,X,X
TZILJOS,X,X,O,X,X,X
TZILSJO,X,X,X,X,X,X
TZILSOJ,X,X,X,X,X,X
TZILOJS,X,X,O,X,X,X
TZILOSJ,X,X,X,X,X,X
TZIJLSO,X,X,X,X,X,X
TZIJLOS,X,X,O,X,X,X
TZIJSLO,O,O,X,X,X,X
TZIJSOL,O,O,X,X,X,X
TZIJOLS,X,X,O,X,X,X
TZIJOSL,O,O,X,X,X,X
TZISLJO,O,O,X,X,X,X
TZISLOJ,O,O,X,X,X,X
TZISJLO,O,O,X,X,X,X
TZISJOL,O,O,X,X,X,X
TZISOLJ,O,O,X,X,X,X
TZISOJL,O,X,X,X,X,X
TZIOLJS,X,X,O,X,X,X
TZIOLSJ,X,X,X,X,X,X
TZIOJLS,X,X,O,X,X,X
TZIOJSL,O,X,X,X,X,X
TZIOSLJ,O,O,X,X,X,X
TZIOSJL,O,X,X,X,X,X
TZLIJSO,X,X,X,X,X,X
TZLIJOS,X,X,O,X,X,X
TZLISJO,X,X,X,X,X,X
TZLISOJ,X,X,X,X,X,X
TZLIOJS,X,X,O,X,X,X
TZLIOSJ,X,X,X,X,X,X
TZLJISO,X,X,X,X,X,X
TZLJIOS,X,X,O,X,X,X
TZLJSIO,X,X,X,X,X,X
TZLJSOI,X,X,X,X,X,X
TZLJOIS,X,X,O,X,X,X
TZLJOSI,X,X,X,X,X,X
TZLSIJO,X,X,X,X,X,X
TZLSIOJ,X,X,X,X,X,X
TZLSJIO,X,X,X,X,X,X
TZLSJOI,X,X,X,X,X,X
TZLSOIJ,X,X,X,X,X,X
TZLSOJI,X,X,X,X,X,X
TZLOIJS,X,X,O,X,X,X
TZLOISJ,X,X,X,X,X,X
TZLOJIS,X,X,O,X,X,X
TZLOJSI,X,X,X,X,X,X
TZLOSIJ,X,X,X,X,X,X
TZLOSJI,X,X,X,X,X,X
TZJILSO,X,X,X,X,X,X
TZJILOS,X,X,O,X,X,X
TZJISLO,O,O,X,X,X,X
TZJISOL,O,O,X,X,X,X
TZJIOLS,X,X,O,X,X,X
TZJIOSL,O,O,X,X,X,X
TZJLISO,X,X,X,X,X,X
TZJLIOS,X,X,O,X,X,X
TZJLSIO,X,X,X,X,X,X
TZJLSOI,X,X,X,X,X,X
TZJLOIS,X,X,O,X,X,X
TZJLOSI,X,X,X,X,X,X
TZJSILO,O,O,X,X,X,X
TZJSIOL,O,O,X,X,X,X
TZJSLIO,O,O,X,X,X,X
TZJSLOI,O,O,X,X,X,X
TZJSOIL,O,O,X,X,X,X
TZJSOLI,O,O,X,X,X,X
TZJOILS,X,X,O,X,X,X
TZJOISL,O,O,X,X,X,X
TZJOLIS,X,X,O,X,X,X
TZJOLSI,X,X,X,X,X,X
TZJOSIL,O,O,X,X,X,X
TZJOSLI,O,O,X,X,X,X
TZSILJO,O,O,X,X,X,X
TZSILOJ,O,O,X,X,X,X
TZSIJLO,O,O,X,X,X,X
TZSIJOL,O,O,X,X,X,X
TZSIOLJ,O,O,X,X,X,X
TZSIOJL,O,X,X,X,X,X
TZSLIJO,O,O,X,X,X,X
TZSLIOJ,O,O,X,X,X,X
TZSLJIO,O,O,X,X,X,X
TZSLJOI,O,O,X,X,X,X
TZSLOIJ,O,O,X,X,X,X
TZSLOJI,O,O,X,X,X,X
TZSJILO,O,O,X,X,X,X
TZSJIOL,O,O,X,X,X,X
TZSJLIO,O,O,X,X,X,X
TZSJLOI,O,O,X,X,X,X
TZSJOIL,O,O,X,X,X,X
TZSJOLI,O,O,X,X,X,X
TZSOILJ,O,O,X,X,X,X
TZSOIJL,O,X,X,X,X,X
TZSOLIJ,O,O,X,X,X,X
TZSOLJI,O,O,X,X,X,X
TZSOJIL,O,O,X,X,X,X
TZSOJLI,O,O,X,X,X,X
TZOILJS,X,X,O,X,X,X
TZOILSJ,X,X,X,X,X,X
TZOIJLS,X,X,O,X,X,X
TZOIJSL,O,X,X,X,X,X
TZOISLJ,O,O,X,X,X,X
TZOISJL,O,X,X,X,X,X
TZOLIJS,X,X,O,X,X,X
TZOLISJ,X,X,X,X,X,X
TZOLJIS,X,X,O,X,X,X
TZOLJSI,X,X,X,X,X,X
TZOLSIJ,X,X,X,X,X,X
TZOLSJI,X,X,X,X,X,X
TZOJILS,X,X,O,X,X,X
TZOJISL,O,O,X,X,X,X
TZOJLIS,X,X,O,X,X,X
TZOJLSI,X,X,X,X,X,X
TZOJSIL,O,O,X,X,X,X
TZOJSLI,O,O,X,X,X,X
TZOSILJ,O,O,X,X,X,X
TZOSIJL,O,X,X,X,X,X
TZOSLIJ,O,O,X,X,X,X
TZOSLJI,O,O,X,X,X,X
TZOSJIL,O,O,X,X,X,X
TZOSJLI,O,O,X,X,X,X
TOILJSZ,X,X,X,X,X,X
TOILJZS,X,X,X,X,X,X
TOILSJZ,X,X,X,X,X,X
TOILSZJ,X,X,X,X,X,X
TOILZJS,X,X,O,X,X,X
TOILZSJ,X,X,X,X,X,X
TOIJLSZ,X,X,X,X,X,X
TOIJLZS,X,X,X,X,X,X
TOIJSLZ,X,X,X,X,O,X
TOIJSZL,X,X,X,X,O,X
TOIJZLS,X,X,X,X,X,X
TOIJZSL,X,X,X,X,X,X
TOISLJZ,X,X,X,X,O,X
TOISLZJ,X,X,X,X,O,X
TOISJLZ,X,X,X,X,O,X
TOISJZL,X,X,X,X,O,X
TOISZLJ,X,X,X,X,X,X
TOISZJL,X,X,X,X,O,X
TOIZLJS,X,X,O,X,X,X
TOIZLSJ,X,X,X,X,X,X
TOIZJLS,X,X,O,X,X,X
TOIZJSL,X,X,X,X,X,X
TOIZSLJ,X,X,X,X,X,X
TOIZSJL,X,X,X,X,X,X
TOLIJSZ,X,X,X,X,X,X
TOLIJZS,X,X,X,X,X,X
TOLISJZ,X,X,X,X,X,X
TOLISZJ,X,X,X,X,X,X
TOLIZJS,X,X,O,X,X,X
TOLIZSJ,X,X,X,X,X,X
TOLJISZ,X,X,X,X,X,X
TOLJIZS,X,X,X,X,X,X
TOLJSIZ,X,X,X,X,X,X
TOLJSZI,X,X,X,X,X,X
TOLJZIS,X,X,X,X,X,X
TOLJZSI,X,X,X,X,X,X
TOLSIJZ,X,X,X,X,X,X
TOLSIZJ,X,X,X,X,X,X
TOLSJIZ,X,X,X,X,X,X
TOLSJZI,X,X,X,X,X,X
TOLSZIJ,X,X,X,X,X,X
TOLSZJI,X,X,X,X,X,X
TOLZIJS,X,X,O,X,X,X
TOLZISJ,X,X,X,X,X,X
TOLZJIS,X,X,O,X,X,X
TOLZJSI,X,X,X,X,X,X
TOLZSIJ,X,X,X,X,X,X
TOLZSJI,X,X,X,X,X,X
TOJILSZ,X,X,X,X,X,X
TOJILZS,X,X,X,X,X,X
TOJISLZ,O,X,X,X,O,X
TOJISZL,X,X,X,X,O,X
TOJIZLS,X,X,X,X,X,X
TOJIZSL,X,X,X,X,X,X
TOJLISZ,X,X,X,X,X,X
TOJLIZS,X,X,X,X,X,X
TOJLSIZ,X,X,X,X,X,X
TOJLSZI,X,X,X,X,X,X
TOJLZIS,X,X,X,X,X,X
TOJLZSI,X,X,X,X,X,X
TOJSILZ,O,X,X,X,O,X
TOJSIZL,X,X,X,X,O,X
TOJSLIZ,O,X,X,X,O,X
TOJSLZI,X,O,X,X,O,X
TOJSZIL,X,O,X,X,O,X
TOJSZLI,X,O,X,X,X,X
TOJZILS,X,X,X,X,X,X
TOJZISL,X,O,X,X,X,X
TOJZLIS,X,X,X,X,X,X
TOJZLSI,X,X,X,X,X,X
TOJZSIL,X,O,X,X,X,X
TOJZSLI,X,O,X,X,X,X
