sequence,v115@LhA8FeA8BeB8EeH8KeZEJvhFflB6lBlhBcnBTjBGtB,v115@LhA8FeA8BeB8EeH8KeZEJvhFzfB+lBlhBcnB6tBXtB,v115@LhA8FeA8BeB8EeH8KeZEJvhFSlBlhBGjBTnB/tBUqB
IJTSZOL,X,X,X
IJTSOLZ,X,X,X
IJTSOZL,X,X,X
IJTZLSO,X,X,X
IJTZLOS,X,O,X
IJTZSLO,X,X,X
IJTZSOL,X,X,X
IJTZOLS,X,O,X
IJTZOSL,X,X,X
IJTOLSZ,X,X,X
IJTOLZS,X,O,X
IJTOSLZ,X,X,X
IJTOSZL,X,X,X
IJTOZLS,X,O,X
IJTOZSL,X,X,X
IJLTSZO,X,X,X
IJLTSOZ,X,X,X
IJLTZSO,X,X,X
IJLTZOS,X,O,X
IJLTOSZ,X,X,X
IJLTOZS,X,O,X
IJLSTZO,X,X,X
IJLSTOZ,X,X,X
IJLSZTO,X,X,X
IJLSZOT,X,X,X
IJLSOTZ,X,X,X
IJLSOZT,X,X,X
IJLZTSO,X,X,X
IJLZTOS,X,O,X
IJLZSTO,X,X,X
IJLZSOT,X,X,X
IJLZOTS,X,O,X
IJLZOST,X,X,X
IJLOTSZ,X,X,X
IJLOTZS,X,O,X
IJLOSTZ,X,X,X
IJLOSZT,X,X,X
IJLOZTS,X,O,X
IJLOZST,X,X,X
IJSTLZO,X,X,X
IJSTLOZ,X,X,X
IJSTZLO,X,X,X
IJSTZOL,X,X,X
IJSTOLZ,X,X,X
IJSTOZL,X,X,X
IJSLTZO,X,X,X
IJSLTOZ,X,X,X
IJSLZTO,O,X,X
IJSLZOT,O,X,X
IJSLOTZ,X,X,X
IJSLOZT,O,X,X
IJSZTLO,O,X,X
IJSZTOL,O,X,X
IJSZLTO,O,X,X
IJSZLOT,O,X,X
IJSZOTL,O,X,X
IJSZOLT,O,X,X
IJSOTLZ,X,X,X
IJSOTZL,X,X,X
IJSOLTZ,X,X,X
IJSOLZT,O,X,X
IJSOZTL,O,X,X
IJSOZLT,O,X,X
IJZTLSO,X,X,X
IJZTLOS,X,O,X
IJZTSLO,O,X,X
IJZTSOL,O,X,X
IJZTOLS,X,O,X
IJZTOSL,O,X,X
IJZLTSO,X,X,X
IJZLTOS,X,O,X
IJZLSTO,X,X,X
IJZLSOT,X,X,X
IJZLOTS,X,O,X
IJZLOST,X,X,X
IJZSTLO,O,X,X
IJZSTOL,O,X,X
IJZSLTO,O,X,X
IJZSLOT,O,X,X
IJZSOTL,O,X,X
IJZSOLT,O,X,X
IJZOTLS,X,O,X
IJZOTSL,O,X,X
IJZOLTS,X,O,X
IJZOLST,X,X,X
IJZOSTL,O,X,X
IJZOSLT,O,X,X
IJOTLSZ,X,X,X
IJOTLZS,X,O,X
IJOTSLZ,X,X,X
IJOTSZL,X,X,X
IJOTZLS,X,O,X
IJOTZSL,X,X,X
IJOLTSZ,X,X,X
IJOLTZS,X,O,X
IJOLSTZ,X,X,X
IJOLSZT,X,X,X
IJOLZTS,X,O,X
IJOLZST,X,X,X
IJOSTLZ,X,X,X
IJOSTZL,X,X,X
IJOSLTZ,X,X,X
IJOSLZT,O,X,X
IJOSZTL,O,X,X
IJOSZLT,O,X,X
IJOZTLS,X,O,X
IJOZTSL,O,X,X
IJOZLTS,X,O,X
IJOZLST,X,X,X
IJOZSTL,O,X,X
IJOZSLT,O,X,X
ISTLJZO,X,X,X
ISTLJOZ,X,X,X
ISTLZJO,O,X,X
ISTLZOJ,X,X,X
ISTLOJZ,X,X,X
ISTLOZJ,X,X,X
ISTJLZO,X,X,X
ISTJLOZ,X,X,X
ISTJZLO,X,X,X
ISTJZOL,X,X,X
ISTJOLZ,X,X,X
ISTJOZL,X,X,X
ISTZLJO,O,X,X
ISTZLOJ,X,X,X
ISTZJLO,O,X,X
ISTZJOL,O,X,X
ISTZOLJ,X,X,X
ISTZOJL,X,X,X
ISTOLJZ,X,X,X
ISTOLZJ,X,X,X
ISTOJLZ,X,X,X
ISTOJZL,X,X,X
ISTOZLJ,X,X,X
ISTOZJL,X,X,X
ISLTJZO,X,X,X
ISLTJOZ,X,X,X
ISLTZJO,O,X,X
ISLTZOJ,X,X,X
ISLTOJZ,X,X,X
ISLTOZJ,X,X,X
ISLJTZO,X,X,X
ISLJTOZ,X,X,X
ISLJZTO,O,X,X
ISLJZOT,O,X,X
ISLJOTZ,X,X,X
ISLJOZT,O,X,X
ISLZTJO,O,X,X
ISLZTOJ,X,X,X
ISLZJTO,O,X,X
ISLZJOT,O,X,X
ISLZOTJ,X,X,X
ISLZOJT,X,X,X
ISLOTJZ,X,X,O
ISLOTZJ,X,X,X
ISLOJTZ,X,X,O
ISLOJZT,X,X,X
ISLOZTJ,X,X,X
ISLOZJT,X,X,X
ISJTLZO,X,X,X
ISJTLOZ,X,X,X
ISJTZLO,X,X,X
ISJTZOL,X,X,X
ISJTOLZ,X,X,X
ISJTOZL,X,X,X
ISJLTZO,X,X,X
ISJLTOZ,X,X,X
ISJLZTO,O,X,X
ISJLZOT,O,X,X
ISJLOTZ,X,X,X
ISJLOZT,O,X,X
ISJZTLO,O,X,X
ISJZTOL,O,X,X
ISJZLTO,O,X,X
ISJZLOT,O,X,X
ISJZOTL,O,X,X
ISJZOLT,O,X,X
ISJOTLZ,X,X,X
ISJOTZL,X,X,X
ISJOLTZ,X,X,X
ISJOLZT,O,X,X
ISJOZTL,O,X,X
ISJOZLT,O,X,X
ISZTLJO,O,X,X
ISZTLOJ,X,X,X
ISZTJLO,O,X,X
ISZTJOL,O,X,X
ISZTOLJ,X,X,X
ISZTOJL,X,X,X
ISZLTJO,O,X,X
ISZLTOJ,X,X,X
ISZLJTO,O,X,X
ISZLJOT,O,X,X
ISZLOTJ,X,X,X
ISZLOJT,X,X,X
ISZJTLO,O,X,X
ISZJTOL,O,X,X
ISZJLTO,O,X,X
ISZJLOT,O,X,X
ISZJOTL,O,X,X
ISZJOLT,O,X,X
ISZOTLJ,X,X,X
ISZOTJL,X,X,X
ISZOLTJ,X,X,X
ISZOLJT,X,X,X
ISZOJTL,X,X,X
ISZOJLT,X,X,X
ISOTLJZ,X,X,O
ISOTLZJ,X,X,X
ISOTJLZ,X,X,O
ISOTJZL,X,X,X
ISOTZLJ,X,X,X
ISOTZJL,X,X,X
ISOLTJZ,X,X,O
ISOLTZJ,X,X,X
ISOLJTZ,X,X,O
ISOLJZT,X,X,X
ISOLZTJ,X,X,X
ISOLZJT,X,X,X
ISOJTLZ,X,X,O
ISOJTZL,X,X,X
ISOJLTZ,X,X,O
ISOJLZT,X,X,X
ISOJZTL,X,X,X
ISOJZLT,X,X,X
ISOZTLJ,X,X,X
ISOZTJL,X,X,X
ISOZLTJ,X,X,X
ISOZLJT,X,X,X
ISOZJTL,X,X,X
ISOZJLT,X,X,X
IZTLJSO,X,X,X
IZTLJOS,X,O,X
IZTLSJO,X,X,X
IZTLSOJ,X,X,X
IZTLOJS,X,X,X
IZTLOSJ,X,X,X
IZTJLSO,X,X,X
IZTJLOS,X,O,X
IZTJSLO,O,X,X
IZTJSOL,O,X,X
IZTJOLS,X,O,X
IZTJOSL,O,X,X
IZTSLJO,O,X,X
IZTSLOJ,X,X,X
IZTSJLO,O,X,X
IZTSJOL,O,X,X
IZTSOLJ,X,X,X
IZTSOJL,X,X,X
IZTOLJS,X,X,X
IZTOLSJ,X,X,X
IZTOJLS,X,X,X
IZTOJSL,X,X,X
IZTOSLJ,X,X,X
IZTOSJL,X,X,X
IZLTJSO,X,X,X
IZLTJOS,X,O,X
IZLTSJO,X,X,X
IZLTSOJ,X,X,X
IZLTOJS,X,X,X
IZLTOSJ,X,X,X
IZLJTSO,X,X,X
IZLJTOS,X,O,X
IZLJSTO,X,X,X
IZLJSOT,X,X,X
IZLJOTS,X,O,X
IZLJOST,X,X,X
IZLSTJO,X,X,X
IZLSTOJ,X,X,X
IZLSJTO,X,X,X
IZLSJOT,X,X,X
IZLSOTJ,X,X,X
IZLSOJT,X,X,X
IZLOTJS,X,X,X
IZLOTSJ,X,X,X
IZLOJTS,X,O,X
IZLOJST,X,X,X
IZLOSTJ,X,X,X
IZLOSJT,X,X,X
IZJTLSO,X,X,X
IZJTLOS,X,O,X
IZJTSLO,O,X,X
IZJTSOL,O,X,X
IZJTOLS,X,O,X
IZJTOSL,O,X,X
IZJLTSO,X,X,X
IZJLTOS,X,O,X
IZJLSTO,X,X,X
IZJLSOT,X,X,X
IZJLOTS,X,O,X
IZJLOST,X,X,X
IZJSTLO,O,X,X
IZJSTOL,O,X,X
IZJSLTO,O,X,X
IZJSLOT,O,X,X
IZJSOTL,O,X,X
IZJSOLT,O,X,X
IZJOTLS,X,O,X
IZJOTSL,O,X,X
IZJOLTS,X,O,X
IZJOLST,X,X,X
IZJOSTL,O,X,X
IZJOSLT,O,X,X
IZSTLJO,O,X,X
IZSTLOJ,X,X,X
IZSTJLO,O,X,X
IZSTJOL,O,X,X
IZSTOLJ,X,X,X
IZSTOJL,X,X,X
IZSLTJO,O,X,X
IZSLTOJ,X,X,X
IZSLJTO,O,X,X
IZSLJOT,O,X,X
IZSLOTJ,X,X,X
IZSLOJT,X,X,X
IZSJTLO,O,X,X
IZSJTOL,O,X,X
IZSJLTO,O,X,X
IZSJLOT,O,X,X
IZSJOTL,O,X,X
IZSJOLT,O,X,X
IZSOTLJ,X,X,X
IZSOTJL,X,X,X
IZSOLTJ,X,X,X
IZSOLJT,X,X,X
IZSOJTL,X,X,X
IZSOJLT,X,X,X
IZOTLJS,X,X,X
IZOTLSJ,X,X,X
IZOTJLS,X,X,X
IZOTJSL,X,X,X
IZOTSLJ,X,X,X
IZOTSJL,X,X,X
IZOLTJS,X,X,X
IZOLTSJ,X,X,X
IZOLJTS,X,O,X
IZOLJST,X,X,X
IZOLSTJ,X,X,X
IZOLSJT,X,X,X
IZOJTLS,X,O,X
IZOJTSL,X,X,X
IZOJLTS,X,O,X
IZOJLST,X,X,X
IZOJSTL,X,X,X
IZOJSLT,X,X,X
IZOSTLJ,X,X,X
IZOSTJL,X,X,X
IZOSLTJ,X,X,X
IZOSLJT,X,X,X
IZOSJTL,X,X,X
IZOSJLT,X,X,X
IOTLJSZ,X,X,X
IOTLJZS,X,X,X
IOTLSJZ,X,X,O
IOTLSZJ,X,X,X
IOTLZJS,X,X,X
IOTLZSJ,X,X,X
IOTJLSZ,X,X,X
IOTJLZS,X,X,X
IOTJSLZ,X,X,X
IOTJSZL,X,X,X
IOTJZLS,X,X,X
IOTJZSL,X,X,X
IOTSLJZ,X,X,O
IOTSLZJ,X,X,X
IOTSJLZ,X,X,O
IOTSJZL,X,X,X
IOTSZLJ,X,X,X
IOTSZJL,X,X,X
IOTZLJS,X,X,X
IOTZLSJ,X,X,X
IOTZJLS,X,X,X
IOTZJSL,X,X,X
IOTZSLJ,X,X,X
IOTZSJL,X,X,X
IOLTJSZ,X,X,X
IOLTJZS,X,X,X
IOLTSJZ,X,X,O
IOLTSZJ,X,X,X
IOLTZJS,X,X,X
IOLTZSJ,X,X,X
IOLJTSZ,X,X,X
IOLJTZS,X,O,X
IOLJSTZ,X,X,X
IOLJSZT,X,X,X
IOLJZTS,X,O,X
IOLJZST,X,X,X
IOLSTJZ,X,X,O
IOLSTZJ,X,X,X
IOLSJTZ,X,X,O
IOLSJZT,X,X,X
IOLSZTJ,X,X,X
IOLSZJT,X,X,X
IOLZTJS,X,X,X
IOLZTSJ,X,X,X
IOLZJTS,X,O,X
IOLZJST,X,X,X
IOLZSTJ,X,X,X
IOLZSJT,X,X,X
IOJTLSZ,X,X,X
IOJTLZS,X,O,X
IOJTSLZ,X,X,X
IOJTSZL,X,X,X
IOJTZLS,X,O,X
IOJTZSL,X,X,X
IOJLTSZ,X,X,X
IOJLTZS,X,O,X
IOJLSTZ,X,X,X
IOJLSZT,X,X,X
IOJLZTS,X,O,X
IOJLZST,X,X,X
IOJSTLZ,X,X,X
IOJSTZL,X,X,X
IOJSLTZ,X,X,X
IOJSLZT,X,X,X
IOJSZTL,X,X,X
IOJSZLT,X,X,X
IOJZTLS,X,O,X
IOJZTSL,X,X,X
IOJZLTS,X,O,X
IOJZLST,X,X,X
IOJZSTL,X,X,X
IOJZSLT,X,X,X
IOSTLJZ,X,X,O
IOSTLZJ,X,X,X
IOSTJLZ,X,X,O
IOSTJZL,X,X,X
IOSTZLJ,X,X,X
IOSTZJL,X,X,X
IOSLTJZ,X,X,O
IOSLTZJ,X,X,X
IOSLJTZ,X,X,O
IOSLJZT,X,X,X
IOSLZTJ,X,X,X
IOSLZJT,X,X,X
IOSJTLZ,X,X,O
IOSJTZL,X,X,X
IOSJLTZ,X,X,O
IOSJLZT,X,X,X
IOSJZTL,X,X,X
IOSJZLT,X,X,X
IOSZTLJ,X,X,X
IOSZTJL,X,X,X
IOSZLTJ,X,X,X
IOSZLJT,X,X,X
IOSZJTL,X,X,X
IOSZJLT,X,X,X
IOZTLJS,X,X,X
IOZTLSJ,X,X,X
IOZTJLS,X,X,X
IOZTJSL,X,X,X
IOZTSLJ,X,X,X
IOZTSJL,X,X,X
IOZLTJS,X,X,X
IOZLTSJ,X,X,X
IOZLJTS,X,O,X
IOZLJST,X,X,X
IOZLSTJ,X,X,X
IOZLSJT,X,X,X
IOZJTLS,X,O,X
IOZJTSL,X,X,X
IOZJLTS,X,O,X
IOZJLST,X,X,X
IOZJSTL,X,X,X
IOZJSLT,X,X,X
IOZSTLJ,X,X,X
IOZSTJL,X,X,X
IOZSLTJ,X,X,X
IOZSLJT,X,X,X
IOZSJTL,X,X,X
IOZSJLT,X,X,X
LTIJSZO,X,X,X
LTIJSOZ,X,X,X
LTIJZSO,X,X,X
LTIJZOS,X,O,X
LTIJOSZ,X,X,X
LTIJOZS,X,O,X
LTISJZO,X,X,X
LTISJOZ,X,X,X
LTISZJO,X,X,X
LTISZOJ,X,X,X
LTISOJZ,X,X,X
LTISOZJ,X,X,X
LTIZJSO,X,X,X
LTIZJOS,X,O,X
LTIZSJO,X,X,X
LTIZSOJ,X,X,X
LTIZOJS,X,X,X
LTIZOSJ,X,X,X
LTIOJSZ,X,X,X
LTIOJZS,X,X,X
LTIOSJZ,X,X,O
LTIOSZJ,X,X,X
LTIOZJS,X,X,X
LTIOZSJ,X,X,X
LTJISZO,X,X,X
LTJISOZ,X,X,X
LTJIZSO,X,X,X
LTJIZOS,X,O,X
LTJIOSZ,X,X,X
LTJIOZS,X,O,X
LTJSIZO,X,X,X
LTJSIOZ,X,X,X
LTJSZIO,X,X,X
LTJSZOI,X,X,X
LTJSOIZ,X,X,X
LTJSOZI,X,X,X
LTJZISO,X,X,X
LTJZIOS,X,O,X
LTJZSIO,X,X,X
LTJZSOI,X,X,X
LTJZOIS,X,O,X
LTJZOSI,X,X,X
LTJOISZ,X,X,X
LTJOIZS,X,O,X
LTJOSIZ,X,X,X
LTJOSZI,X,X,X
LTJOZIS,X,O,X
LTJOZSI,X,X,X
LTSIJZO,X,X,X
LTSIJOZ,X,X,X
LTSIZJO,X,X,X
LTSIZOJ,X,X,X
LTSIOJZ,X,X,X
LTSIOZJ,X,X,X
LTSJIZO,X,X,X
LTSJIOZ,X,X,X
LTSJZIO,X,X,X
LTSJZOI,X,X,X
LTSJOIZ,X,X,X
LTSJOZI,X,X,X
LTSZIJO,X,X,X
LTSZIOJ,X,X,X
LTSZJIO,X,X,X
LTSZJOI,X,X,X
LTSZOIJ,X,X,X
LTSZOJI,X,X,X
LTSOIJZ,X,X,X
LTSOIZJ,X,X,X
LTSOJIZ,X,X,X
LTSOJZI,X,X,X
LTSOZIJ,X,X,X
LTSOZJI,X,X,X
LTZIJSO,X,X,X
LTZIJOS,X,O,X
LTZISJO,X,X,X
LTZISOJ,X,X,X
LTZIOJS,X,X,X
LTZIOSJ,X,X,X
LTZJISO,X,X,X
LTZJIOS,X,O,X
LTZJSIO,X,X,X
LTZJSOI,X,X,X
LTZJOIS,X,O,X
LTZJOSI,X,X,X
LTZSIJO,X,X,X
LTZSIOJ,X,X,X
LTZSJIO,X,X,X
LTZSJOI,X,X,X
LTZSOIJ,X,X,X
LTZSOJI,X,X,X
LTZOIJS,X,X,X
LTZOISJ,X,X,X
LTZOJIS,X,X,X
LTZOJSI,X,X,X
LTZOSIJ,X,X,X
LTZOSJI,X,X,X
LTOIJSZ,X,X,X
LTOIJZS,X,X,X
LTOISJZ,X,X,O
LTOISZJ,X,X,X
LTOIZJS,X,X,X
LTOIZSJ,X,X,X
LTOJISZ,X,X,X
LTOJIZS,X,X,X
LTOJSIZ,X,X,X
LTOJSZI,X,X,X
LTOJZIS,X,X,X
LTOJZSI,X,X,X
LTOSIJZ,X,X,O
LTOSIZJ,X,X,X
LTOSJIZ,X,X,O
LTOSJZI,X,X,X
LTOSZIJ,X,X,X
LTOSZJI,X,X,X
LTOZIJS,X,X,X
LTOZISJ,X,X,X
LTOZJIS,X,X,X
LTOZJSI,X,X,X
LTOZSIJ,X,X,X
LTOZSJI,X,X,X
LITJSZO,X,X,X
LITJSOZ,X,X,X
LITJZSO,X,X,X
LITJZOS,X,O,X
LITJOSZ,X,X,X
LITJOZS,X,O,X
LITSJZO,X,X,X
LITSJOZ,X,X,X
LITSZJO,X,X,X
LITSZOJ,X,X,X
LITSOJZ,X,X,X
LITSOZJ,X,X,X
LITZJSO,X,X,X
LITZJOS,X,O,X
LITZSJO,X,X,X
LITZSOJ,X,X,X
LITZOJS,X,X,X
LITZOSJ,X,X,X
LITOJSZ,X,X,X
LITOJZS,X,X,X
LITOSJZ,X,X,O
LITOSZJ,X,X,X
LITOZJS,X,X,X
LITOZSJ,X,X,X
LIJTSZO,X,X,X
LIJTSOZ,X,X,X
LIJTZSO,X,X,X
LIJTZOS,X,O,X
LIJTOSZ,X,X,X
LIJTOZS,X,O,X
LIJSTZO,X,X,X
LIJSTOZ,X,X,X
LIJSZTO,X,X,X
LIJSZOT,X,X,X
LIJSOTZ,X,X,X
LIJSOZT,X,X,X
LIJZTSO,X,X,X
LIJZTOS,X,O,X
LIJZSTO,X,X,X
LIJZSOT,X,X,X
LIJZOTS,X,O,X
LIJZOST,X,X,X
LIJOTSZ,X,X,X
LIJOTZS,X,O,X
LIJOSTZ,X,X,X
LIJOSZT,X,X,X
LIJOZTS,X,O,X
LIJOZST,X,X,X
LISTJZO,X,X,X
LISTJOZ,X,X,X
LISTZJO,X,X,X
LISTZOJ,X,X,X
LISTOJZ,X,X,X
LISTOZJ,X,X,X
LISJTZO,X,X,X
LISJTOZ,X,X,X
LISJZTO,X,X,X
LISJZOT,X,X,X
LISJOTZ,X,X,X
LISJOZT,X,X,X
LISZTJO,X,X,X
LISZTOJ,X,X,X
LISZJTO,X,X,X
LISZJOT,X,X,X
LISZOTJ,X,X,X
LISZOJT,X,X,X
LISOTJZ,X,X,O
LISOTZJ,X,X,X
LISOJTZ,X,X,O
LISOJZT,X,X,X
LISOZTJ,X,X,X
LISOZJT,X,X,X
LIZTJSO,X,X,X
LIZTJOS,X,O,X
LIZTSJO,X,X,X
LIZTSOJ,X,X,X
LIZTOJS,X,X,X
LIZTOSJ,X,X,X
LIZJTSO,X,X,X
LIZJTOS,X,O,X
LIZJSTO,X,X,X
LIZJSOT,X,X,X
LIZJOTS,X,O,X
LIZJOST,X,X,X
LIZSTJO,X,X,X
LIZSTOJ,X,X,X
LIZSJTO,X,X,X
LIZSJOT,X,X,X
LIZSOTJ,X,X,X
LIZSOJT,X,X,X
LIZOTJS,X,X,X
LIZOTSJ,X,X,X
LIZOJTS,X,O,X
LIZOJST,X,X,X
LIZOSTJ,X,X,X
LIZOSJT,X,X,X
LIOTJSZ,X,X,X
LIOTJZS,X,X,X
LIOTSJZ,X,X,O
LIOTSZJ,X,X,X
LIOTZJS,X,X,X
LIOTZSJ,X,X,X
LIOJTSZ,X,X,X
LIOJTZS,X,O,X
LIOJSTZ,X,X,X
LIOJSZT,X,X,X
LIOJZTS,X,O,X
LIOJZST,X,X,X
LIOSTJZ,X,X,O
LIOSTZJ,X,X,X
LIOSJTZ,X,X,O
LIOSJZT,X,X,X
LIOSZTJ,X,X,X
LIOSZJT,X,X,X
LIOZTJS,X,X,X
LIOZTSJ,X,X,X
LIOZJTS,X,O,X
LIOZJST,X,X,X
LIOZSTJ,X,X,X
LIOZSJT,X,X,X
LJTISZO,X,X,X
LJTISOZ,X,X,X
LJTIZSO,X,X,X
LJTIZOS,X,O,X
LJTIOSZ,X,X,X
LJTIOZS,X,O,X
LJTSIZO,X,X,X
LJTSIOZ,X,X,X
LJTSZIO,X,X,X
LJTSZOI,X,X,X
LJTSOIZ,X,X,X
LJTSOZI,X,X,X
LJTZISO,X,X,X
LJTZIOS,X,O,X
LJTZSIO,X,X,X
LJTZSOI,X,X,X
LJTZOIS,X,O,X
LJTZOSI,X,X,X
LJTOISZ,X,X,X
LJTOIZS,X,O,X
LJTOSIZ,X,X,X
LJTOSZI,X,X,X
LJTOZIS,X,O,X
LJTOZSI,X,X,X
LJITSZO,X,X,X
LJITSOZ,X,X,X
LJITZSO,X,X,X
LJITZOS,X,O,X
LJITOSZ,X,X,X
LJITOZS,X,O,X
LJISTZO,X,X,X
LJISTOZ,X,X,X
LJISZTO,X,X,X
LJISZOT,X,X,X
LJISOTZ,X,X,X
LJISOZT,X,X,X
LJIZTSO,X,X,X
LJIZTOS,X,O,X
LJIZSTO,X,X,X
LJIZSOT,X,X,X
LJIZOTS,X,O,X
LJIZOST,X,X,X
LJIOTSZ,X,X,X
LJIOTZS,X,O,X
LJIOSTZ,X,X,X
LJIOSZT,X,X,X
LJIOZTS,X,O,X
LJIOZST,X,X,X
LJSTIZO,X,X,X
LJSTIOZ,X,X,X
LJSTZIO,X,X,X
LJSTZOI,X,X,X
LJSTOIZ,X,X,X
LJSTOZI,X,X,X
LJSITZO,X,X,X
LJSITOZ,X,X,X
LJSIZTO,X,X,X
LJSIZOT,X,X,X
LJSIOTZ,X,X,X
LJSIOZT,X,X,X
LJSZTIO,X,X,X
LJSZTOI,X,X,X
LJSZITO,X,X,X
LJSZIOT,X,X,X
LJSZOTI,X,X,X
LJSZOIT,X,X,X
LJSOTIZ,X,X,X
LJSOTZI,X,X,X
LJSOITZ,X,X,X
LJSOIZT,X,X,X
LJSOZTI,X,X,X
LJSOZIT,X,X,X
LJZTISO,X,X,X
LJZTIOS,X,O,X
LJZTSIO,X,X,X
LJZTSOI,X,X,X
LJZTOIS,X,O,X
LJZTOSI,X,X,X
LJZITSO,X,X,X
LJZITOS,X,O,X
LJZISTO,X,X,X
LJZISOT,X,X,X
LJZIOTS,X,O,X
LJZIOST,X,X,X
LJZSTIO,X,X,X
LJZSTOI,X,X,X
LJZSITO,X,X,X
LJZSIOT,X,X,X
LJZSOTI,X,X,X
LJZSOIT,X,X,X
LJZOTIS,X,O,X
LJZOTSI,X,X,X
LJZOITS,X,O,X
LJZOIST,X,X,X
LJZOSTI,X,X,X
LJZOSIT,X,X,X
LJOTISZ,X,X,X
LJOTIZS,X,O,X
LJOTSIZ,X,X,X
LJOTSZI,X,X,X
LJOTZIS,X,O,X
LJOTZSI,X,X,X
LJOITSZ,X,X,X
LJOITZS,X,O,X
LJOISTZ,X,X,X
LJOISZT,X,X,X
LJOIZTS,X,O,X
LJOIZST,X,X,X
LJOSTIZ,X,X,X
LJOSTZI,X,X,X
LJOSITZ,X,X,X
LJOSIZT,X,X,X
LJOSZTI,X,X,X
LJOSZIT,X,X,X
LJOZTIS,X,O,X
LJOZTSI,X,X,X
LJOZITS,X,O,X
LJOZIST,X,X,X
LJOZSTI,X,X,X
LJOZSIT,X,X,X
LSTIJZO,X,X,X
LSTIJOZ,X,X,X
LSTIZJO,X,X,X
LSTIZOJ,X,X,X
LSTIOJZ,X,X,X
LSTIOZJ,X,X,X
LSTJIZO,X,X,X
LSTJIOZ,X,X,X
LSTJZIO,X,X,X
LSTJZOI,X,X,X
LSTJOIZ,X,X,X
LSTJOZI,X,X,X
LSTZIJO,X,X,X
LSTZIOJ,X,X,X
LSTZJIO,X,X,X
LSTZJOI,X,X,X
LSTZOIJ,X,X,X
LSTZOJI,X,X,X
LSTOIJZ,X,X,X
LSTOIZJ,X,X,X
LSTOJIZ,X,X,X
LSTOJZI,X,X,X
LSTOZIJ,X,X,X
LSTOZJI,X,X,X
LSITJZO,X,X,X
LSITJOZ,X,X,X
LSITZJO,X,X,X
LSITZOJ,X,X,X
LSITOJZ,X,X,X
LSITOZJ,X,X,X
LSIJTZO,X,X,X
LSIJTOZ,X,X,X
LSIJZTO,X,X,X
LSIJZOT,X,X,X
LSIJOTZ,X,X,X
LSIJOZT,X,X,X
LSIZTJO,X,X,X
LSIZTOJ,X,X,X
LSIZJTO,X,X,X
LSIZJOT,X,X,X
LSIZOTJ,X,X,X
LSIZOJT,X,X,X
LSIOTJZ,X,X,O
LSIOTZJ,X,X,X
LSIOJTZ,X,X,O
LSIOJZT,X,X,X
LSIOZTJ,X,X,X
LSIOZJT,X,X,X
LSJTIZO,X,X,X
LSJTIOZ,X,X,X
LSJTZIO,X,X,X
LSJTZOI,X,X,X
LSJTOIZ,X,X,X
LSJTOZI,X,X,X
LSJITZO,X,X,X
LSJITOZ,X,X,X
LSJIZTO,X,X,X
LSJIZOT,X,X,X
LSJIOTZ,X,X,X
LSJIOZT,X,X,X
LSJZTIO,X,X,X
LSJZTOI,X,X,X
LSJZITO,X,X,X
LSJZIOT,X,X,X
LSJZOTI,X,X,X
LSJZOIT,X,X,X
LSJOTIZ,X,X,X
LSJOTZI,X,X,X
LSJOITZ,X,X,X
LSJOIZT,X,X,X
LSJOZTI,X,X,X
LSJOZIT,X,X,X
LSZTIJO,X,X,X
LSZTIOJ,X,X,X
LSZTJIO,X,X,X
LSZTJOI,X,X,X
LSZTOIJ,X,X,X
LSZTOJI,X,X,X
LSZITJO,X,X,X
LSZITOJ,X,X,X
LSZIJTO,X,X,X
LSZIJOT,X,X,X
LSZIOTJ,X,X,X
LSZIOJT,X,X,X
LSZJTIO,X,X,X
LSZJTOI,X,X,X
LSZJITO,X,X,X
LSZJIOT,X,X,X
LSZJOTI,X,X,X
LSZJOIT,X,X,X
LSZOTIJ,X,X,X
LSZOTJI,X,X,X
LSZOITJ,X,X,X
LSZOIJT,X,X,X
LSZOJTI,X,X,X
LSZOJIT,X,X,X
LSOTIJZ,X,X,O
LSOTIZJ,X,X,X
LSOTJIZ,X,X,O
LSOTJZI,X,X,X
LSOTZIJ,X,X,X
LSOTZJI,X,X,X
LSOITJZ,X,X,O
LSOITZJ,X,X,X
LSOIJTZ,X,X,O
LSOIJZT,X,X,X
LSOIZTJ,X,X,X
LSOIZJT,X,X,X
LSOJTIZ,X,X,O
LSOJTZI,X,X,X
LSOJITZ,X,X,O
LSOJIZT,X,X,X
LSOJZTI,X,X,X
LSOJZIT,X,X,X
LSOZTIJ,X,X,X
LSOZTJI,X,X,X
LSOZITJ,X,X,X
LSOZIJT,X,X,X
LSOZJTI,X,X,X
LSOZJIT,X,X,X
LZTIJSO,X,X,X
LZTIJOS,X,O,X
LZTISJO,X,X,X
LZTISOJ,X,X,X
LZTIOJS,X,X,X
LZTIOSJ,X,X,X
LZTJISO,X,X,X
LZTJIOS,X,O,X
LZTJSIO,X,X,X
LZTJSOI,X,X,X
LZTJOIS,X,O,X
LZTJOSI,X,X,X
LZTSIJO,X,X,X
LZTSIOJ,X,X,X
LZTSJIO,X,X,X
LZTSJOI,X,X,X
LZTSOIJ,X,X,X
LZTSOJI,X,X,X
LZTOIJS,X,X,X
LZTOISJ,X,X,X
LZTOJIS,X,X,X
LZTOJSI,X,X,X
LZTOSIJ,X,X,X
LZTOSJI,X,X,X
LZITJSO,X,X,X
LZITJOS,X,O,X
LZITSJO,X,X,X
