sequence,v115@HhA8IeA8BeA8EeG8BeB8Jex/IvhFmhBCjBzkBFmBXo?BUsB,v115@HhA8IeA8BeA8EeG8BeB8Jel/IvhFRhBGjBXlBimBzn?BUsB,v115@HhA8IeA8BeA8EeG8BeB8Jel/IvhFamBRiBcoBXlBzm?B+sB,v115@HhA8IeA8BeA8EeG8BeB8Jel/IvhFamBGiBTjBXlBRs?BUsB,v115@HhA8IeA8BeA8EeG8BeB8Jex/IvhFmhBcoBzkBFmBSs?B3sB
TJIZLSO,X,X,X,X,X
TJIZLOS,X,X,X,X,X
TJIZSLO,O,X,X,X,X
TJIZSOL,X,X,X,X,X
TJIZOLS,X,X,X,X,X
TJIZOSL,X,X,X,X,X
TJIOLSZ,X,X,X,X,X
TJIOLZS,X,X,X,X,X
TJIOSLZ,X,X,X,X,X
TJIOSZL,X,X,X,X,X
TJIOZLS,X,X,X,X,X
TJIOZSL,X,X,X,X,X
TJLISZO,X,O,X,X,X
TJLISOZ,X,O,X,X,X
TJLIZSO,X,O,X,X,X
TJLIZOS,X,O,X,X,X
TJLIOSZ,X,O,X,X,X
TJLIOZS,X,X,X,X,X
TJLSIZO,X,X,X,X,X
TJLSIOZ,X,X,X,X,X
TJLSZIO,X,X,X,X,X
TJLSZOI,X,X,X,X,X
TJLSOIZ,X,X,X,X,X
TJLSOZI,X,X,X,X,X
TJLZISO,X,X,O,X,X
TJLZIOS,X,X,O,X,X
TJLZSIO,X,X,X,X,X
TJLZSOI,X,X,X,X,X
TJLZOIS,X,X,O,X,X
TJLZOSI,X,X,X,X,X
TJLOISZ,X,X,X,X,X
TJLOIZS,X,X,X,X,X
TJLOSIZ,X,X,X,X,X
TJLOSZI,X,X,X,X,X
TJLOZIS,X,X,O,X,X
TJLOZSI,X,X,X,X,X
TJSILZO,X,X,X,X,X
TJSILOZ,O,X,X,X,X
TJSIZLO,X,X,X,X,X
TJSIZOL,X,X,X,X,X
TJSIOLZ,X,X,X,X,X
TJSIOZL,X,X,X,X,X
TJSLIZO,X,X,X,X,X
TJSLIOZ,O,X,X,X,X
TJSLZIO,X,X,X,X,X
TJSLZOI,X,X,X,X,X
TJSLOIZ,O,X,X,X,X
TJSLOZI,X,X,X,X,X
TJSZILO,X,X,X,X,X
TJSZIOL,X,X,X,X,X
TJSZLIO,X,X,X,X,X
TJSZLOI,X,X,X,X,X
TJSZOIL,X,X,X,X,X
TJSZOLI,X,X,X,X,X
TJSOILZ,O,X,X,X,X
TJSOIZL,X,X,X,X,X
TJSOLIZ,O,X,X,X,X
TJSOLZI,X,X,X,X,X
TJSOZIL,X,X,X,X,X
TJSOZLI,X,X,X,X,X
TJZILSO,X,X,O,X,X
TJZILOS,X,X,O,X,X
TJZISLO,O,X,X,X,X
TJZISOL,X,X,X,X,X
TJZIOLS,X,X,X,X,X
TJZIOSL,X,X,X,X,X
TJZLISO,X,O,O,X,X
TJZLIOS,X,O,O,X,X
TJZLSIO,X,X,X,X,X
TJZLSOI,X,X,X,X,X
TJZLOIS,X,X,O,X,X
TJZLOSI,X,X,X,X,X
TJZSILO,O,X,X,X,X
TJZSIOL,X,X,X,X,X
TJZSLIO,O,X,X,X,X
TJZSLOI,O,X,X,X,X
TJZSOIL,O,X,X,X,X
TJZSOLI,O,X,X,X,X
TJZOILS,X,X,O,X,X
TJZOISL,O,X,X,X,X
TJZOLIS,X,X,O,X,X
TJZOLSI,X,X,X,X,X
TJZOSIL,O,X,X,X,X
TJZOSLI,O,X,X,X,X
TJOILSZ,X,X,X,X,X
TJOILZS,X,X,X,X,X
TJOISLZ,O,X,X,X,X
TJOISZL,X,X,X,X,X
TJOIZLS,X,X,X,X,X
TJOIZSL,O,X,X,X,X
TJOLISZ,X,O,X,X,X
TJOLIZS,X,X,X,X,X
TJOLSIZ,X,X,X,X,X
TJOLSZI,X,X,X,X,X
TJOLZIS,X,X,O,X,X
TJOLZSI,X,X,X,X,X
TJOSILZ,O,X,X,X,X
TJOSIZL,X,X,X,X,X
TJOSLIZ,O,X,X,X,X
TJOSLZI,X,X,X,X,X
TJOSZIL,X,X,X,X,X
TJOSZLI,X,X,X,X,X
TJOZILS,X,X,O,X,X
TJOZISL,O,X,X,X,X
TJOZLIS,X,X,O,X,X
TJOZLSI,X,X,X,X,X
TJOZSIL,O,X,X,X,X
TJOZSLI,O,X,X,X,X
TSILJZO,X,X,X,X,X
TSILJOZ,O,X,X,X,X
TSILZJO,X,X,X,X,X
TSILZOJ,X,X,X,X,X
TSILOJZ,X,X,X,X,X
TSILOZJ,X,X,X,X,X
TSIJLZO,X,X,X,X,X
TSIJLOZ,O,X,X,X,X
TSIJZLO,X,X,X,X,X
TSIJZOL,X,X,X,X,X
TSIJOLZ,X,X,X,X,X
TSIJOZL,X,X,X,X,X
TSIZLJO,O,X,X,X,X
TSIZLOJ,X,X,X,X,X
TSIZJLO,O,X,X,X,X
TSIZJOL,X,X,X,X,X
TSIZOLJ,X,X,X,X,X
TSIZOJL,X,X,X,X,X
TSIOLJZ,X,X,X,X,X
TSIOLZJ,X,X,X,X,X
TSIOJLZ,X,X,X,X,X
TSIOJZL,X,X,X,X,X
TSIOZLJ,X,X,X,X,X
TSIOZJL,X,X,X,X,X
TSLIJZO,X,X,X,X,X
TSLIJOZ,O,X,X,X,X
TSLIZJO,X,X,X,X,X
TSLIZOJ,X,X,X,X,X
TSLIOJZ,X,X,X,X,X
TSLIOZJ,X,X,X,X,X
TSLJIZO,X,X,X,X,X
TSLJIOZ,O,X,X,X,X
TSLJZIO,X,X,X,X,X
TSLJZOI,X,X,X,X,X
TSLJOIZ,O,X,X,X,X
TSLJOZI,X,X,X,X,X
TSLZIJO,X,X,X,X,X
TSLZIOJ,X,X,X,X,X
TSLZJIO,X,X,X,X,X
TSLZJOI,X,X,X,X,X
TSLZOIJ,X,X,X,X,X
TSLZOJI,X,X,X,X,X
TSLOIJZ,O,X,X,X,X
TSLOIZJ,X,X,X,X,X
TSLOJIZ,O,X,X,X,X
TSLOJZI,X,X,X,X,X
TSLOZIJ,X,X,X,X,X
TSLOZJI,X,X,X,X,X
TSJILZO,X,X,X,X,X
TSJILOZ,O,X,X,X,X
TSJIZLO,X,X,X,X,X
TSJIZOL,X,X,X,X,X
TSJIOLZ,X,X,X,X,X
TSJIOZL,X,X,X,X,X
TSJLIZO,X,X,X,X,X
TSJLIOZ,O,X,X,X,X
TSJLZIO,X,X,X,X,X
TSJLZOI,X,X,X,X,X
TSJLOIZ,O,X,X,X,X
TSJLOZI,X,X,X,X,X
TSJZILO,X,X,X,X,X
TSJZIOL,X,X,X,X,X
TSJZLIO,X,X,X,X,X
TSJZLOI,X,X,X,X,X
TSJZOIL,X,X,X,X,X
TSJZOLI,X,X,X,X,X
TSJOILZ,O,X,X,X,X
TSJOIZL,X,X,X,X,X
TSJOLIZ,O,X,X,X,X
TSJOLZI,X,X,X,X,X
TSJOZIL,X,X,X,X,X
TSJOZLI,X,X,X,X,X
TSZILJO,O,X,X,X,X
TSZILOJ,X,X,X,X,X
TSZIJLO,O,X,X,X,X
TSZIJOL,X,X,X,X,X
TSZIOLJ,X,X,X,X,X
TSZIOJL,X,X,X,X,X
TSZLIJO,O,X,X,X,X
TSZLIOJ,X,X,X,X,X
TSZLJIO,O,X,X,X,X
TSZLJOI,O,X,X,X,X
TSZLOIJ,O,X,X,X,X
TSZLOJI,O,X,X,X,X
TSZJILO,O,X,X,X,X
TSZJIOL,X,X,X,X,X
TSZJLIO,O,X,X,X,X
TSZJLOI,O,X,X,X,X
TSZJOIL,O,X,X,X,X
TSZJOLI,O,X,X,X,X
TSZOILJ,O,X,X,X,X
TSZOIJL,O,X,X,X,X
TSZOLIJ,O,X,X,X,X
TSZOLJI,O,X,X,X,X
TSZOJIL,O,X,X,X,X
TSZOJLI,O,X,X,X,X
TSOILJZ,O,X,X,X,X
TSOILZJ,X,X,X,X,X
TSOIJLZ,O,X,X,X,X
TSOIJZL,X,X,X,X,X
TSOIZLJ,O,X,X,X,X
TSOIZJL,O,X,X,X,X
TSOLIJZ,O,X,X,X,X
TSOLIZJ,X,X,X,X,X
TSOLJIZ,O,X,X,X,X
TSOLJZI,X,X,X,X,X
TSOLZIJ,X,X,X,X,X
TSOLZJI,X,X,X,X,X
TSOJILZ,O,X,X,X,X
TSOJIZL,X,X,X,X,X
TSOJLIZ,O,X,X,X,X
TSOJLZI,X,X,X,X,X
TSOJZIL,X,X,X,X,X
TSOJZLI,X,X,X,X,X
TSOZILJ,O,X,X,X,X
TSOZIJL,O,X,X,X,X
TSOZLIJ,O,X,X,X,X
TSOZLJI,O,X,X,X,X
TSOZJIL,O,X,X,X,X
TSOZJLI,O,X,X,X,X
TZILJSO,X,X,O,X,X
TZILJOS,X,X,O,X,X
TZILSJO,X,X,O,X,X
TZILSOJ,X,X,X,X,X
TZILOJS,X,X,X,X,X
TZILOSJ,X,X,X,X,X
TZIJLSO,X,X,O,X,X
TZIJLOS,X,X,O,X,X
TZIJSLO,O,X,X,X,X
TZIJSOL,X,X,X,X,X
TZIJOLS,X,X,X,X,X
TZIJOSL,X,X,X,X,X
TZISLJO,O,X,X,X,X
TZISLOJ,X,X,X,X,X
TZISJLO,O,X,X,X,X
TZISJOL,X,X,X,X,X
TZISOLJ,X,X,X,X,X
TZISOJL,X,X,X,X,X
TZIOLJS,X,X,X,X,X
TZIOLSJ,X,X,X,X,X
TZIOJLS,X,X,X,X,X
TZIOJSL,X,X,X,X,X
TZIOSLJ,X,X,X,X,X
TZIOSJL,X,X,X,X,X
TZLIJSO,X,O,O,X,X
TZLIJOS,X,O,O,X,X
TZLISJO,X,X,O,X,X
TZLISOJ,X,X,X,X,X
TZLIOJS,X,O,X,X,X
TZLIOSJ,X,X,X,X,X
TZLJISO,X,O,O,X,X
TZLJIOS,X,O,O,X,X
TZLJSIO,X,X,X,X,X
TZLJSOI,X,X,X,X,X
TZLJOIS,X,X,O,X,O
TZLJOSI,X,X,X,X,O
TZLSIJO,X,X,X,X,X
TZLSIOJ,X,X,X,X,X
TZLSJIO,X,X,X,X,X
TZLSJOI,X,X,X,X,X
TZLSOIJ,X,X,X,X,X
TZLSOJI,X,X,X,X,X
TZLOIJS,X,O,X,X,O
TZLOISJ,X,X,X,X,X
TZLOJIS,X,O,X,X,O
TZLOJSI,X,X,X,X,O
TZLOSIJ,X,X,X,X,X
TZLOSJI,X,X,X,X,X
TZJILSO,X,X,O,X,X
TZJILOS,X,X,O,X,X
TZJISLO,O,X,X,X,X
TZJISOL,X,X,X,X,X
TZJIOLS,X,X,X,X,X
TZJIOSL,X,X,X,X,X
TZJLISO,X,O,O,X,X
TZJLIOS,X,O,O,X,X
TZJLSIO,X,X,X,X,X
TZJLSOI,X,X,X,X,X
TZJLOIS,X,X,O,X,X
TZJLOSI,X,X,X,X,X
TZJSILO,O,X,X,X,X
TZJSIOL,X,X,X,X,X
TZJSLIO,O,X,X,X,X
TZJSLOI,O,X,X,X,X
TZJSOIL,O,X,X,X,X
TZJSOLI,O,X,X,X,X
TZJOILS,X,X,O,X,X
TZJOISL,O,X,X,X,X
TZJOLIS,X,X,O,X,X
TZJOLSI,X,X,X,X,X
TZJOSIL,O,X,X,X,X
TZJOSLI,O,X,X,X,X
TZSILJO,O,X,X,X,X
TZSILOJ,X,X,X,X,X
TZSIJLO,O,X,X,X,X
TZSIJOL,X,X,X,X,X
TZSIOLJ,X,X,X,X,X
TZSIOJL,X,X,X,X,X
TZSLIJO,O,X,X,X,X
TZSLIOJ,X,X,X,X,X
TZSLJIO,O,X,X,X,X
TZSLJOI,O,X,X,X,X
TZSLOIJ,O,X,X,X,X
TZSLOJI,O,X,X,X,X
TZSJILO,O,X,X,X,X
TZSJIOL,X,X,X,X,X
TZSJLIO,O,X,X,X,X
TZSJLOI,O,X,X,X,X
TZSJOIL,O,X,X,X,X
TZSJOLI,O,X,X,X,X
TZSOILJ,O,X,X,X,X
TZSOIJL,O,X,X,X,X
TZSOLIJ,O,X,X,X,X
TZSOLJI,O,X,X,X,X
TZSOJIL,O,X,X,X,X
TZSOJLI,O,X,X,X,X
TZOILJS,X,X,X,X,O
TZOILSJ,X,X,X,X,X
TZOIJLS,X,X,X,X,X
TZOIJSL,O,X,X,X,X
TZOISLJ,O,X,X,X,X
TZOISJL,O,X,X,X,X
TZOLIJS,X,O,X,X,O
TZOLISJ,X,X,X,X,X
TZOLJIS,X,O,X,X,O
TZOLJSI,X,X,X,X,O
TZOLSIJ,X,X,X,X,X
TZOLSJI,X,X,X,X,X
TZOJILS,X,X,X,X,X
TZOJISL,O,X,X,X,X
TZOJLIS,X,O,X,X,X
TZOJLSI,X,X,X,X,X
TZOJSIL,O,X,X,X,X
TZOJSLI,O,X,X,X,X
TZOSILJ,O,X,X,X,X
TZOSIJL,O,X,X,X,X
TZOSLIJ,O,X,X,X,X
TZOSLJI,O,X,X,X,X
TZOSJIL,O,X,X,X,X
TZOSJLI,O,X,X,X,X
TOILJSZ,X,X,X,O,X
TOILJZS,X,X,X,X,O
TOILSJZ,X,X,X,X,X
TOILSZJ,X,X,X,X,X
TOILZJS,X,X,X,X,O
TOILZSJ,X,X,X,X,X
TOIJLSZ,X,X,X,O,X
TOIJLZS,X,X,X,X,X
TOIJSLZ,O,X,X,X,X
TOIJSZL,X,X,X,X,X
TOIJZLS,X,X,X,X,X
TOIJZSL,O,X,X,X,X
TOISLJZ,O,X,X,X,X
TOISLZJ,X,X,X,X,X
TOISJLZ,O,X,X,X,X
TOISJZL,X,X,X,X,X
TOISZLJ,O,X,X,X,X
TOISZJL,O,X,X,X,X
TOIZLJS,X,X,X,X,O
TOIZLSJ,X,X,X,X,X
TOIZJLS,X,X,X,X,X
TOIZJSL,O,X,X,X,X
TOIZSLJ,O,X,X,X,X
TOIZSJL,O,X,X,X,X
TOLIJSZ,X,O,X,O,X
TOLIJZS,X,X,X,X,O
TOLISJZ,X,X,X,X,X
TOLISZJ,X,X,X,X,X
TOLIZJS,X,X,X,X,O
TOLIZSJ,X,X,X,X,X
TOLJISZ,X,O,X,X,X
TOLJIZS,X,X,X,X,O
TOLJSIZ,X,X,X,X,X
TOLJSZI,X,X,X,X,X
TOLJZIS,X,X,O,X,O
TOLJZSI,X,X,X,X,O
TOLSIJZ,X,X,X,X,X
TOLSIZJ,X,X,X,X,X
TOLSJIZ,X,X,X,X,X
TOLSJZI,X,X,X,X,X
TOLSZIJ,X,X,X,X,X
TOLSZJI,X,X,X,X,X
TOLZIJS,X,X,X,X,O
TOLZISJ,X,X,X,X,X
TOLZJIS,X,X,X,X,O
TOLZJSI,X,X,X,X,O
TOLZSIJ,X,X,X,X,X
TOLZSJI,X,X,X,X,X
TOJILSZ,X,X,X,X,X
TOJILZS,X,X,X,X,X
TOJISLZ,O,X,X,X,X
TOJISZL,X,X,X,X,X
TOJIZLS,X,X,X,X,X
TOJIZSL,O,X,X,X,X
TOJLISZ,X,O,X,X,X
TOJLIZS,X,X,X,X,X
TOJLSIZ,X,X,X,X,X
TOJLSZI,X,X,X,X,X
TOJLZIS,X,X,O,X,X
TOJLZSI,X,X,X,X,X
TOJSILZ,O,X,X,X,X
TOJSIZL,X,X,X,X,X
TOJSLIZ,O,X,X,X,X
TOJSLZI,X,X,X,X,X
TOJSZIL,X,X,X,X,X
TOJSZLI,X,X,X,X,X
TOJZILS,X,X,O,X,X
TOJZISL,O,X,X,X,X
TOJZLIS,X,X,O,X,X
TOJZLSI,X,X,X,X,X
TOJZSIL,O,X,X,X,X
TOJZSLI,O,X,X,X,X
TOSILJZ,O,X,X,X,X
TOSILZJ,X,X,X,X,X
TOSIJLZ,O,X,X,X,X
TOSIJZL,X,X,X,X,X
TOSIZLJ,O,X,X,X,X
TOSIZJL,O,X,X,X,X
TOSLIJZ,O,X,X,X,X
TOSLIZJ,X,X,X,X,X
TOSLJIZ,O,X,X,X,X
TOSLJZI,X,X,X,X,X
TOSLZIJ,X,X,X,X,X
TOSLZJI,X,X,X,X,X
TOSJILZ,O,X,X,X,X
TOSJIZL,X,X,X,X,X
TOSJLIZ,O,X,X,X,X
TOSJLZI,X,X,X,X,X
TOSJZIL,X,X,X,X,X
TOSJZLI,X,X,X,X,X
TOSZILJ,O,X,X,X,X
TOSZIJL,O,X,X,X,X
TOSZLIJ,O,X,X,X,X
TOSZLJI,O,X,X,X,X
TOSZJIL,O,X,X,X,X
TOSZJLI,O,X,X,X,X
TOZILJS,X,X,X,X,O
TOZILSJ,X,X,X,X,X
TOZIJLS,X,X,X,X,X
TOZIJSL,O,X,X,X,X
TOZISLJ,O,X,X,X,X
TOZISJL,O,X,X,X,X
TOZLIJS,X,X,X,X,O
TOZLISJ,X,X,X,X,X
TOZLJIS,X,X,X,X,O
TOZLJSI,X,X,X,X,O
TOZLSIJ,X,X,X,X,X
TOZLSJI,X,X,X,X,X
TOZJILS,X,X,X,X,X
TOZJISL,O,X,X,X,X
TOZJLIS,X,X,X,X,X
TOZJLSI,X,X,X,X,X
TOZJSIL,O,X,X,X,X
TOZJSLI,O,X,X,X,X
TOZSILJ,O,X,X,X,X
TOZSIJL,O,X,X,X,X
TOZSLIJ,O,X,X,X,X
TOZSLJI,O,X,X,X,X
TOZSJIL,O,X,X,X,X
TOZSJLI,O,X,X,X,X
ITLJSZO,X,X,X,X,X
ITLJSOZ,X,X,X,X,X
ITLJZSO,X,X,X,X,X
ITLJZOS,X,X,X,X,X
ITLJOSZ,X,X,X,O,X
ITLJOZS,X,X,X,X,X
ITLSJZO,X,X,X,X,X
ITLSJOZ,X,X,X,X,X
ITLSZJO,X,X,X,X,X
ITLSZOJ,X,X,X,X,X
ITLSOJZ,X,X,X,X,X
ITLSOZJ,X,X,X,X,X
ITLZJSO,X,X,X,X,X
ITLZJOS,X,X,X,X,X
ITLZSJO,X,X,X,X,X
ITLZSOJ,X,X,X,X,X
ITLZOJS,X,X,X,X,X
ITLZOSJ,X,X,X,X,X
ITLOJSZ,X,X,X,O,X
ITLOJZS,X,X,X,X,X
ITLOSJZ,X,X,X,X,X
ITLOSZJ,X,X,X,X,X
ITLOZJS,X,X,X,X,X
ITLOZSJ,X,X,X,X,X
ITJLSZO,X,X,X,X,X
