sequence,v115@NhA8IeC8AeC8AeE8Ke0/IvhFlgB3hBziB5oB2pBCrB,v115@NhA8IeC8AeC8AeE8Kei/IvhF3gBumBziB5oB1pB8qB,v115@NhA8IeC8AeC8AeE8KeKEJvhFflBlgBumBziB5oB8qB
TLOZIJS,O,O,O
TLOZISJ,O,O,O
TLOZJIS,O,O,O
TLOZJSI,O,O,O
TLOZSIJ,O,O,O
TLOZSJI,O,O,O
TJILSZO,O,O,O
TJILSOZ,O,O,O
TJILZSO,O,O,O
TJILZOS,O,O,O
TJILOSZ,O,O,O
TJILOZS,O,O,O
TJISLZO,O,O,X
TJISLOZ,O,O,X
TJISZLO,O,O,X
TJISZOL,O,O,X
TJISOLZ,O,O,X
TJISOZL,O,O,X
TJIZLSO,O,O,O
TJIZLOS,O,O,O
TJIZSLO,O,O,X
TJIZSOL,O,O,X
TJIZOLS,O,O,O
TJIZOSL,O,O,X
TJIOLSZ,O,O,O
TJIOLZS,O,O,O
TJIOSLZ,O,O,X
TJIOSZL,O,O,X
TJIOZLS,O,O,O
TJIOZSL,O,O,X
TJLISZO,O,O,O
TJLISOZ,O,O,O
TJLIZSO,O,O,O
TJLIZOS,O,O,O
TJLIOSZ,O,O,O
TJLIOZS,O,O,O
TJLSIZO,O,O,O
TJLSIOZ,O,O,O
TJLSZIO,O,O,O
TJLSZOI,O,O,O
TJLSOIZ,O,O,O
TJLSOZI,O,O,O
TJLZISO,O,O,O
TJLZIOS,O,O,O
TJLZSIO,O,O,O
TJLZSOI,O,O,O
TJLZOIS,O,O,O
TJLZOSI,O,O,O
TJLOISZ,O,O,O
TJLOIZS,O,O,O
TJLOSIZ,O,O,O
TJLOSZI,O,O,O
TJLOZIS,O,O,O
TJLOZSI,O,O,O
TJSILZO,O,O,X
TJSILOZ,O,O,X
TJSIZLO,O,O,X
TJSIZOL,O,O,X
TJSIOLZ,O,O,X
TJSIOZL,O,O,X
TJSLIZO,O,O,X
TJSLIOZ,O,O,X
TJSLZIO,O,O,X
TJSLZOI,O,O,X
TJSLOIZ,O,O,X
TJSLOZI,O,O,X
TJSZILO,O,O,X
TJSZIOL,O,O,X
TJSZLIO,O,O,X
TJSZLOI,O,O,X
TJSZOIL,O,O,X
TJSZOLI,O,O,X
TJSOILZ,O,O,X
TJSOIZL,O,O,X
TJSOLIZ,O,O,X
TJSOLZI,O,O,X
TJSOZIL,O,O,X
TJSOZLI,O,O,X
TJZILSO,O,O,O
TJZILOS,O,O,O
TJZISLO,O,O,X
TJZISOL,O,O,X
TJZIOLS,O,O,O
TJZIOSL,O,O,X
TJZLISO,O,O,O
TJZLIOS,O,O,O
TJZLSIO,O,O,O
TJZLSOI,O,O,O
TJZLOIS,O,O,O
TJZLOSI,O,O,O
TJZSILO,O,O,X
TJZSIOL,O,O,X
TJZSLIO,O,O,X
TJZSLOI,O,O,X
TJZSOIL,O,O,X
TJZSOLI,O,O,X
TJZOILS,O,O,O
TJZOISL,O,O,X
TJZOLIS,O,O,O
TJZOLSI,O,O,O
TJZOSIL,O,O,X
TJZOSLI,O,O,X
TJOILSZ,O,O,O
TJOILZS,O,O,O
TJOISLZ,O,O,X
TJOISZL,O,O,X
TJOIZLS,O,O,O
TJOIZSL,O,O,X
TJOLISZ,O,O,O
TJOLIZS,O,O,O
TJOLSIZ,O,O,O
TJOLSZI,O,O,O
TJOLZIS,O,O,O
TJOLZSI,O,O,O
TJOSILZ,O,O,X
TJOSIZL,O,O,X
TJOSLIZ,O,O,X
TJOSLZI,O,O,X
TJOSZIL,O,O,X
TJOSZLI,O,O,X
TJOZILS,O,O,O
TJOZISL,O,O,X
TJOZLIS,O,O,O
TJOZLSI,O,O,O
TJOZSIL,O,O,X
TJOZSLI,O,O,X
TSILJZO,O,O,X
TSILJOZ,O,O,X
TSILZJO,O,O,X
TSILZOJ,O,O,X
TSILOJZ,O,O,X
TSILOZJ,O,O,X
TSIJLZO,O,O,X
TSIJLOZ,O,O,X
TSIJZLO,O,O,X
TSIJZOL,O,O,X
TSIJOLZ,O,O,X
TSIJOZL,O,O,X
TSIZLJO,X,O,X
TSIZLOJ,X,O,X
TSIZJLO,O,O,X
TSIZJOL,O,O,X
TSIZOLJ,X,O,X
TSIZOJL,O,O,X
TSIOLJZ,O,O,X
TSIOLZJ,O,O,X
TSIOJLZ,O,O,X
TSIOJZL,O,O,X
TSIOZLJ,X,O,X
TSIOZJL,O,O,X
TSLIJZO,O,O,X
TSLIJOZ,O,O,X
TSLIZJO,O,O,X
TSLIZOJ,O,O,X
TSLIOJZ,O,O,X
TSLIOZJ,O,O,X
TSLJIZO,O,O,X
TSLJIOZ,O,O,X
TSLJZIO,O,O,X
TSLJZOI,O,O,X
TSLJOIZ,O,O,X
TSLJOZI,O,O,X
TSLZIJO,O,O,X
TSLZIOJ,O,O,X
TSLZJIO,O,O,X
TSLZJOI,O,O,X
TSLZOIJ,O,O,X
TSLZOJI,O,O,X
TSLOIJZ,O,O,X
TSLOIZJ,O,O,X
TSLOJIZ,O,O,X
TSLOJZI,O,O,X
TSLOZIJ,O,O,X
TSLOZJI,O,O,X
TSJILZO,O,O,X
TSJILOZ,O,O,X
TSJIZLO,O,O,X
TSJIZOL,O,O,X
TSJIOLZ,O,O,X
TSJIOZL,O,O,X
TSJLIZO,O,O,X
TSJLIOZ,O,O,X
TSJLZIO,O,O,X
TSJLZOI,O,O,X
TSJLOIZ,O,O,X
TSJLOZI,O,O,X
TSJZILO,O,O,X
TSJZIOL,O,O,X
TSJZLIO,O,O,X
TSJZLOI,O,O,X
TSJZOIL,O,O,X
TSJZOLI,O,O,X
TSJOILZ,O,O,X
TSJOIZL,O,O,X
TSJOLIZ,O,O,X
TSJOLZI,O,O,X
TSJOZIL,O,O,X
TSJOZLI,O,O,X
TSZILJO,X,O,X
TSZILOJ,X,O,X
TSZIJLO,O,O,X
TSZIJOL,O,O,X
TSZIOLJ,X,O,X
TSZIOJL,O,O,X
TSZLIJO,X,O,X
TSZLIOJ,X,O,X
TSZLJIO,X,O,X
TSZLJOI,X,O,X
TSZLOIJ,X,O,X
TSZLOJI,X,O,X
TSZJILO,O,O,X
TSZJIOL,O,O,X
TSZJLIO,O,O,X
TSZJLOI,O,O,X
TSZJOIL,O,O,X
TSZJOLI,O,O,X
TSZOILJ,X,O,X
TSZOIJL,O,O,X
TSZOLIJ,X,O,X
TSZOLJI,X,O,X
TSZOJIL,O,O,X
TSZOJLI,O,O,X
TSOILJZ,O,O,X
TSOILZJ,O,O,X
TSOIJLZ,O,O,X
TSOIJZL,O,O,X
TSOIZLJ,X,O,X
TSOIZJL,O,O,X
TSOLIJZ,O,O,X
TSOLIZJ,O,O,X
TSOLJIZ,O,O,X
TSOLJZI,O,O,X
TSOLZIJ,O,O,X
TSOLZJI,O,O,X
TSOJILZ,O,O,X
TSOJIZL,O,O,X
TSOJLIZ,O,O,X
TSOJLZI,O,O,X
TSOJZIL,O,O,X
TSOJZLI,O,O,X
TSOZILJ,X,O,X
TSOZIJL,O,O,X
TSOZLIJ,X,O,X
TSOZLJI,X,O,X
TSOZJIL,O,O,X
TSOZJLI,O,O,X
TZILJSO,X,O,O
TZILJOS,X,O,O
TZILSJO,X,O,O
TZILSOJ,X,O,O
TZILOJS,X,O,O
TZILOSJ,X,O,O
TZIJLSO,X,O,O
TZIJLOS,X,O,O
TZIJSLO,X,O,X
TZIJSOL,X,O,X
TZIJOLS,X,O,O
TZIJOSL,X,O,X
TZISLJO,X,O,X
TZISLOJ,X,O,X
TZISJLO,X,O,X
TZISJOL,X,O,X
TZISOLJ,X,O,X
TZISOJL,X,O,X
TZIOLJS,X,O,O
TZIOLSJ,X,O,O
TZIOJLS,X,O,O
TZIOJSL,X,O,X
TZIOSLJ,X,O,X
TZIOSJL,X,O,X
TZLIJSO,X,O,O
TZLIJOS,X,O,O
TZLISJO,X,O,O
TZLISOJ,X,O,O
TZLIOJS,X,O,O
TZLIOSJ,X,O,O
TZLJISO,X,O,O
TZLJIOS,X,O,O
TZLJSIO,X,O,O
TZLJSOI,X,O,O
TZLJOIS,X,O,O
TZLJOSI,X,O,O
TZLSIJO,X,O,O
TZLSIOJ,X,O,O
TZLSJIO,X,O,O
TZLSJOI,X,O,O
TZLSOIJ,X,O,O
TZLSOJI,X,O,O
TZLOIJS,X,O,O
TZLOISJ,X,O,O
TZLOJIS,X,O,O
TZLOJSI,X,O,O
TZLOSIJ,X,O,O
TZLOSJI,X,O,O
TZJILSO,X,O,O
TZJILOS,X,O,O
TZJISLO,X,O,X
TZJISOL,X,O,X
TZJIOLS,X,O,O
TZJIOSL,X,O,X
TZJLISO,X,O,O
TZJLIOS,X,O,O
TZJLSIO,X,O,O
TZJLSOI,X,O,O
TZJLOIS,X,O,O
TZJLOSI,X,O,O
TZJSILO,X,O,X
TZJSIOL,X,O,X
TZJSLIO,X,O,X
TZJSLOI,X,O,X
TZJSOIL,X,O,X
TZJSOLI,X,O,X
TZJOILS,X,O,O
TZJOISL,X,O,X
TZJOLIS,X,O,O
TZJOLSI,X,O,O
TZJOSIL,X,O,X
TZJOSLI,X,O,X
TZSILJO,X,O,X
TZSILOJ,X,O,X
TZSIJLO,X,O,X
TZSIJOL,X,O,X
TZSIOLJ,X,O,X
TZSIOJL,X,O,X
TZSLIJO,X,O,X
TZSLIOJ,X,O,X
TZSLJIO,X,O,X
TZSLJOI,X,O,X
TZSLOIJ,X,O,X
TZSLOJI,X,O,X
TZSJILO,X,O,X
TZSJIOL,X,O,X
TZSJLIO,X,O,X
TZSJLOI,X,O,X
TZSJOIL,X,O,X
TZSJOLI,X,O,X
TZSOILJ,X,O,X
TZSOIJL,X,O,X
TZSOLIJ,X,O,X
TZSOLJI,X,O,X
TZSOJIL,X,O,X
TZSOJLI,X,O,X
TZOILJS,X,O,O
TZOILSJ,X,O,O
TZOIJLS,X,O,O
TZOIJSL,X,O,X
TZOISLJ,X,O,X
TZOISJL,X,O,X
TZOLIJS,X,O,O
TZOLISJ,X,O,O
TZOLJIS,X,O,O
TZOLJSI,X,O,O
TZOLSIJ,X,O,O
TZOLSJI,X,O,O
TZOJILS,X,O,O
TZOJISL,X,O,X
TZOJLIS,X,O,O
TZOJLSI,X,O,O
TZOJSIL,X,O,X
TZOJSLI,X,O,X
TZOSILJ,X,O,X
TZOSIJL,X,O,X
TZOSLIJ,X,O,X
TZOSLJI,X,O,X
TZOSJIL,X,O,X
TZOSJLI,X,O,X
TOILJSZ,O,O,O
TOILJZS,O,O,O
TOILSJZ,O,O,O
TOILSZJ,O,O,O
TOILZJS,O,O,O
TOILZSJ,O,O,O
TOIJLSZ,O,O,O
TOIJLZS,O,O,O
TOIJSLZ,O,O,X
TOIJSZL,O,O,X
TOIJZLS,O,O,O
TOIJZSL,O,O,X
TOISLJZ,O,O,X
TOISLZJ,O,O,X
TOISJLZ,O,O,X
TOISJZL,O,O,X
TOISZLJ,X,O,X
TOISZJL,O,O,X
TOIZLJS,X,O,O
TOIZLSJ,X,O,O
TOIZJLS,X,O,O
TOIZJSL,X,O,X
TOIZSLJ,X,O,X
TOIZSJL,X,O,X
TOLIJSZ,O,O,O
TOLIJZS,O,O,O
TOLISJZ,O,O,O
TOLISZJ,O,O,O
TOLIZJS,O,O,O
TOLIZSJ,O,O,O
TOLJISZ,O,O,O
TOLJIZS,O,O,O
TOLJSIZ,O,O,O
TOLJSZI,O,O,O
TOLJZIS,O,O,O
TOLJZSI,O,O,O
TOLSIJZ,O,O,O
TOLSIZJ,O,O,O
TOLSJIZ,O,O,O
TOLSJZI,O,O,O
TOLSZIJ,O,O,O
TOLSZJI,O,O,O
TOLZIJS,O,O,O
TOLZISJ,O,O,O
TOLZJIS,O,O,O
TOLZJSI,O,O,O
TOLZSIJ,O,O,O
TOLZSJI,O,O,O
TOJILSZ,O,O,O
TOJILZS,O,O,O
TOJISLZ,O,O,X
TOJISZL,O,O,X
TOJIZLS,O,O,O
TOJIZSL,O,O,X
TOJLISZ,O,O,O
TOJLIZS,O,O,O
TOJLSIZ,O,O,O
TOJLSZI,O,O,O
TOJLZIS,O,O,O
TOJLZSI,O,O,O
TOJSILZ,O,O,X
TOJSIZL,O,O,X
TOJSLIZ,O,O,X
TOJSLZI,O,O,X
TOJSZIL,O,O,X
TOJSZLI,O,O,X
TOJZILS,O,O,O
TOJZISL,O,O,X
TOJZLIS,O,O,O
TOJZLSI,O,O,O
TOJZSIL,O,O,X
TOJZSLI,O,O,X
TOSILJZ,O,O,X
TOSILZJ,O,O,X
TOSIJLZ,O,O,X
TOSIJZL,O,O,X
TOSIZLJ,X,O,X
TOSIZJL,O,O,X
TOSLIJZ,O,O,X
TOSLIZJ,O,O,X
TOSLJIZ,O,O,X
TOSLJZI,O,O,X
TOSLZIJ,O,O,X
TOSLZJI,O,O,X
TOSJILZ,O,O,X
TOSJIZL,O,O,X
TOSJLIZ,O,O,X
TOSJLZI,O,O,X
TOSJZIL,O,O,X
TOSJZLI,O,O,X
TOSZILJ,X,O,X
TOSZIJL,O,O,X
TOSZLIJ,X,O,X
TOSZLJI,X,O,X
TOSZJIL,O,O,X
TOSZJLI,O,O,X
TOZILJS,X,O,O
TOZILSJ,X,O,O
TOZIJLS,X,O,O
TOZIJSL,X,O,X
TOZISLJ,X,O,X
TOZISJL,X,O,X
TOZLIJS,X,O,O
TOZLISJ,X,O,O
TOZLJIS,X,O,O
TOZLJSI,X,O,O
TOZLSIJ,X,O,O
TOZLSJI,X,O,O
TOZJILS,X,O,O
TOZJISL,X,O,X
TOZJLIS,X,O,O
TOZJLSI,X,O,O
TOZJSIL,X,O,X
TOZJSLI,X,O,X
TOZSILJ,X,O,X
TOZSIJL,X,O,X
TOZSLIJ,X,O,X
TOZSLJI,X,O,X
TOZSJIL,X,O,X
TOZSJLI,X,O,X
ITLJSZO,O,O,O
ITLJSOZ,O,O,O
ITLJZSO,O,O,O
ITLJZOS,O,O,O
ITLJOSZ,O,O,O
ITLJOZS,O,O,O
ITLSJZO,O,O,O
ITLSJOZ,O,O,O
ITLSZJO,O,O,O
ITLSZOJ,O,O,O
ITLSOJZ,O,O,O
ITLSOZJ,O,O,O
ITLZJSO,O,O,O
ITLZJOS,O,O,O
ITLZSJO,O,O,O
ITLZSOJ,O,O,O
ITLZOJS,O,O,O
ITLZOSJ,O,O,O
ITLOJSZ,O,O,O
ITLOJZS,O,O,O
ITLOSJZ,O,O,O
ITLOSZJ,O,O,O
ITLOZJS,O,O,O
ITLOZSJ,O,O,O
ITJLSZO,O,O,O
ITJLSOZ,O,O,O
ITJLZSO,O,O,O
ITJLZOS,O,O,O
ITJLOSZ,O,O,O
ITJLOZS,O,O,O
ITJSLZO,O,O,X
ITJSLOZ,O,O,X
ITJSZLO,O,O,X
ITJSZOL,O,O,X
ITJSOLZ,O,O,X
ITJSOZL,O,O,X
ITJZLSO,O,O,O
ITJZLOS,O,O,O
ITJZSLO,O,O,X
ITJZSOL,O,O,X
ITJZOLS,O,O,O
ITJZOSL,O,O,X
ITJOLSZ,O,O,O
ITJOLZS,O,O,O
ITJOSLZ,O,O,X
ITJOSZL,O,O,X
ITJOZLS,O,O,O
ITJOZSL,O,O,X
ITSLJZO,O,O,X
ITSLJOZ,O,O,X
ITSLZJO,O,O,X
ITSLZOJ,O,O,X
ITSLOJZ,O,O,X
ITSLOZJ,O,O,X
ITSJLZO,O,O,X
ITSJLOZ,O,O,X
ITSJZLO,O,O,X
ITSJZOL,O,O,X
ITSJOLZ,O,O,X
ITSJOZL,O,O,X
ITSZLJO,X,O,X
ITSZLOJ,X,O,X
ITSZJLO,O,O,X
ITSZJOL,O,O,X
ITSZOLJ,X,O,X
ITSZOJL,O,O,X
ITSOLJZ,O,O,X
ITSOLZJ,O,O,X
ITSOJLZ,O,O,X
ITSOJZL,O,O,X
ITSOZLJ,X,O,X
ITSOZJL,O,O,X
ITZLJSO,X,O,O
ITZLJOS,X,O,O
ITZLSJO,X,O,O
ITZLSOJ,X,O,O
ITZLOJS,X,O,O
ITZLOSJ,X,O,O
ITZJLSO,X,O,O
ITZJLOS,X,O,O
ITZJSLO,X,O,X
ITZJSOL,X,O,X
ITZJOLS,X,O,O
ITZJOSL,X,O,X
ITZSLJO,X,O,X
ITZSLOJ,X,O,X
ITZSJLO,X,O,X
ITZSJOL,X,O,X
ITZSOLJ,X,O,X
ITZSOJL,X,O,X
ITZOLJS,X,O,O
ITZOLSJ,X,O,O
ITZOJLS,X,O,O
ITZOJSL,X,O,X
ITZOSLJ,X,O,X
ITZOSJL,X,O,X
ITOLJSZ,O,O,O
ITOLJZS,O,O,O
ITOLSJZ,O,O,O
ITOLSZJ,O,O,O
ITOLZJS,O,O,O
ITOLZSJ,O,O,O
ITOJLSZ,O,O,O
ITOJLZS,O,O,O
ITOJSLZ,O,O,X
ITOJSZL,O,O,X
ITOJZLS,O,O,O
ITOJZSL,O,O,X
ITOSLJZ,O,O,X
ITOSLZJ,O,O,X
ITOSJLZ,O,O,X
ITOSJZL,O,O,X
ITOSZLJ,X,O,X
ITOSZJL,O,O,X
ITOZLJS,X,O,O
ITOZLSJ,X,O,O
ITOZJLS,X,O,O
ITOZJSL,X,O,X
ITOZSLJ,X,O,X
ITOZSJL,X,O,X
ILTJSZO,O,O,O
ILTJSOZ,O,O,O
ILTJZSO,O,O,O
ILTJZOS,O,O,O
ILTJOSZ,O,O,O
ILTJOZS,O,O,O
ILTSJZO,O,O,O
ILTSJOZ,O,O,O
ILTSZJO,O,O,O
ILTSZOJ,O,O,O
ILTSOJZ,O,O,O
ILTSOZJ,O,O,O
ILTZJSO,O,O,O
ILTZJOS,O,O,O
ILTZSJO,O,O,O
ILTZSOJ,O,O,O
ILTZOJS,O,O,O
ILTZOSJ,O,O,O
ILTOJSZ,O,O,O
ILTOJZS,O,O,O
ILTOSJZ,O,O,O
ILTOSZJ,O,O,O
ILTOZJS,O,O,O
ILTOZSJ,O,O,O
ILJTSZO,O,O,O
ILJTSOZ,O,O,O
ILJTZSO,O,O,O
ILJTZOS,O,O,O
ILJTOSZ,O,O,O
ILJTOZS,O,O,O
ILJSTZO,O,X,O
ILJSTOZ,O,X,O
ILJSZTO,O,X,O
ILJSZOT,O,X,O
ILJSOTZ,O,X,O
ILJSOZT,O,X,O
ILJZTSO,O,O,O
ILJZTOS,O,O,O
ILJZSTO,O,O,O
ILJZSOT,O,O,O
ILJZOTS,O,O,O
ILJZOST,O,O,O
ILJOTSZ,O,O,O
ILJOTZS,O,O,O
ILJOSTZ,O,X,O
ILJOSZT,O,X,O
ILJOZTS,O,O,O
ILJOZST,O,O,O
ILSTJZO,O,X,O
ILSTJOZ,O,X,O
ILSTZJO,O,X,O
ILSTZOJ,O,X,O
ILSTOJZ,O,X,O
ILSTOZJ,O,X,O
ILSJTZO,O,X,O
ILSJTOZ,O,X,O
ILSJZTO,O,X,O
ILSJZOT,O,X,O
ILSJOTZ,O,X,O
ILSJOZT,O,X,O
ILSZTJO,O,X,O
ILSZTOJ,O,X,O
ILSZJTO,O,X,O
ILSZJOT,O,X,O
ILSZOTJ,O,X,O
ILSZOJT,O,X,O
ILSOTJZ,O,X,O
ILSOTZJ,O,X,O
ILSOJTZ,O,X,O
ILSOJZT,O,X,O
ILSOZTJ,O,X,O
ILSOZJT,O,X,O
ILZTJSO,O,O,O
ILZTJOS,O,O,O
ILZTSJO,O,O,O
ILZTSOJ,O,O,O
ILZTOJS,O,O,O
ILZTOSJ,O,O,O
ILZJTSO,O,O,O
ILZJTOS,O,O,O
ILZJSTO,O,O,O
ILZJSOT,O,O,O
ILZJOTS,O,O,O
ILZJOST,O,O,O
ILZSTJO,O,O,O
ILZSTOJ,O,O,O
ILZSJTO,O,O,O
ILZSJOT,O,O,O
ILZSOTJ,O,O,O
ILZSOJT,O,O,O
ILZOTJS,O,O,O
ILZOTSJ,O,O,O
ILZOJTS,O,O,O
ILZOJST,O,O,O
ILZOSTJ,O,O,O
ILZOSJT,O,O,O
ILOTJSZ,O,O,O
ILOTJZS,O,O,O
ILOTSJZ,O,O,O
ILOTSZJ,O,O,O
ILOTZJS,O,O,O
ILOTZSJ,O,O,O
ILOJTSZ,O,O,O
ILOJTZS,O,O,O
ILOJSTZ,O,X,O
ILOJSZT,O,X,O
ILOJZTS,O,O,O
ILOJZST,O,O,O
ILOSTJZ,O,X,O
ILOSTZJ,O,X,O
ILOSJTZ,O,X,O
ILOSJZT,O,X,O
ILOSZTJ,O,X,O
ILOSZJT,O,X,O
ILOZTJS,O,O,O
ILOZTSJ,O,O,O
ILOZJTS,O,O,O
ILOZJST,O,O,O
ILOZSTJ,O,O,O
ILOZSJT,O,O,O
IJTLSZO,O,O,O
IJTLSOZ,O,O,O
IJTLZSO,O,O,O
IJTLZOS,O,O,O
IJTLOSZ,O,O,O
IJTLOZS,O,O,O
IJTSLZO,O,O,X
IJTSLOZ,O,O,X
IJTSZLO,O,O,X
IJTSZOL,O,O,X
