sequence,v115@OhA8CeB8DeB8BeG8LeZEJvhFzfBulB3hB9oByrBUtB,v115@OhA8CeB8DeB8BeG8LeZEJvhFzfBChBenB9oBXmBUtB
TSJOLZI,X,X
TSJOZIL,X,X
TSJOZLI,X,X
TSZILJO,X,X
TSZILOJ,X,X
TSZIJLO,X,X
TSZIJOL,X,X
TSZIOLJ,X,X
TSZIOJL,X,X
TSZLIJO,X,X
TSZLIOJ,X,X
TSZLJIO,X,X
TSZLJOI,X,X
TSZLOIJ,X,X
TSZLOJI,X,X
TSZJILO,X,X
TSZJIOL,X,X
TSZJLIO,X,X
TSZJLOI,X,X
TSZJOIL,X,X
TSZJOLI,X,X
TSZOILJ,X,X
TSZOIJL,X,X
TSZOLIJ,X,X
TSZOLJI,X,X
TSZOJIL,X,X
TSZOJLI,X,X
TSOILJZ,X,O
TSOILZJ,X,X
TSOIJLZ,X,O
TSOIJZL,X,X
TSOIZLJ,X,X
TSOIZJL,X,X
TSOLIJZ,X,O
TSOLIZJ,X,X
TSOLJIZ,X,O
TSOLJZI,X,X
TSOLZIJ,X,X
TSOLZJI,X,X
TSOJILZ,X,O
TSOJIZL,X,X
TSOJLIZ,X,O
TSOJLZI,X,X
TSOJZIL,X,X
TSOJZLI,X,X
TSOZILJ,X,X
TSOZIJL,X,X
TSOZLIJ,X,X
TSOZLJI,X,X
TSOZJIL,X,X
TSOZJLI,X,X
TZILJSO,X,X
TZILJOS,X,X
TZILSJO,X,X
TZILSOJ,X,X
TZILOJS,X,X
TZILOSJ,X,X
TZIJLSO,X,X
TZIJLOS,X,X
TZIJSLO,X,X
TZIJSOL,X,X
TZIJOLS,X,X
TZIJOSL,X,X
TZISLJO,X,X
TZISLOJ,X,X
TZISJLO,X,X
TZISJOL,X,X
TZISOLJ,X,X
TZISOJL,X,X
TZIOLJS,X,X
TZIOLSJ,X,X
TZIOJLS,X,X
TZIOJSL,X,X
TZIOSLJ,X,X
TZIOSJL,X,X
TZLIJSO,X,X
TZLIJOS,X,X
TZLISJO,X,X
TZLISOJ,X,X
TZLIOJS,X,X
TZLIOSJ,X,X
TZLJISO,X,X
TZLJIOS,X,X
TZLJSIO,X,X
TZLJSOI,X,X
TZLJOIS,X,X
TZLJOSI,X,X
TZLSIJO,X,X
TZLSIOJ,X,X
TZLSJIO,X,X
TZLSJOI,X,X
TZLSOIJ,X,X
TZLSOJI,X,X
TZLOIJS,X,X
TZLOISJ,X,X
TZLOJIS,X,X
TZLOJSI,X,X
TZLOSIJ,X,X
TZLOSJI,X,X
TZJILSO,X,X
TZJILOS,X,X
TZJISLO,X,X
TZJISOL,X,X
TZJIOLS,X,X
TZJIOSL,X,X
TZJLISO,X,X
TZJLIOS,X,X
TZJLSIO,X,X
TZJLSOI,X,X
TZJLOIS,X,X
TZJLOSI,X,X
TZJSILO,X,X
TZJSIOL,X,X
TZJSLIO,X,X
TZJSLOI,X,X
TZJSOIL,X,X
TZJSOLI,X,X
TZJOILS,X,X
TZJOISL,X,X
TZJOLIS,X,X
TZJOLSI,X,X
TZJOSIL,X,X
TZJOSLI,X,X
TZSILJO,X,X
TZSILOJ,X,X
TZSIJLO,X,X
TZSIJOL,X,X
TZSIOLJ,X,X
TZSIOJL,X,X
TZSLIJO,X,X
TZSLIOJ,X,X
TZSLJIO,X,X
TZSLJOI,X,X
TZSLOIJ,X,X
TZSLOJI,X,X
TZSJILO,X,X
TZSJIOL,X,X
TZSJLIO,X,X
TZSJLOI,X,X
TZSJOIL,X,X
TZSJOLI,X,X
TZSOILJ,X,X
TZSOIJL,X,X
TZSOLIJ,X,X
TZSOLJI,X,X
TZSOJIL,X,X
TZSOJLI,X,X
TZOILJS,X,X
TZOILSJ,X,X
TZOIJLS,X,X
TZOIJSL,X,X
TZOISLJ,X,X
TZOISJL,X,X
TZOLIJS,X,X
TZOLISJ,X,X
TZOLJIS,X,X
TZOLJSI,X,X
TZOLSIJ,X,X
TZOLSJI,X,X
TZOJILS,X,X
TZOJISL,X,X
TZOJLIS,X,X
TZOJLSI,X,X
TZOJSIL,X,X
TZOJSLI,X,X
TZOSILJ,X,X
TZOSIJL,X,X
TZOSLIJ,X,X
TZOSLJI,X,X
TZOSJIL,X,X
TZOSJLI,X,X
TOILJSZ,O,X
TOILJZS,X,X
TOILSJZ,O,X
TOILSZJ,X,X
TOILZJS,X,X
TOILZSJ,X,X
TOIJLSZ,O,X
TOIJLZS,X,X
TOIJSLZ,X,O
TOIJSZL,X,X
TOIJZLS,X,X
TOIJZSL,X,X
TOISLJZ,X,O
TOISLZJ,X,X
TOISJLZ,X,O
TOISJZL,X,X
TOISZLJ,X,X
TOISZJL,X,X
TOIZLJS,X,X
TOIZLSJ,X,X
TOIZJLS,X,X
TOIZJSL,X,X
TOIZSLJ,X,X
TOIZSJL,X,X
TOLIJSZ,O,X
TOLIJZS,X,X
TOLISJZ,O,X
TOLISZJ,X,X
TOLIZJS,X,X
TOLIZSJ,X,X
TOLJISZ,O,X
TOLJIZS,X,X
TOLJSIZ,O,X
TOLJSZI,X,X
TOLJZIS,X,X
TOLJZSI,X,X
TOLSIJZ,O,X
TOLSIZJ,X,X
TOLSJIZ,O,X
TOLSJZI,X,X
TOLSZIJ,X,X
TOLSZJI,X,X
TOLZIJS,X,X
TOLZISJ,X,X
TOLZJIS,X,X
TOLZJSI,X,X
TOLZSIJ,X,X
TOLZSJI,X,X
TOJILSZ,O,X
TOJILZS,X,X
TOJISLZ,X,O
TOJISZL,X,X
TOJIZLS,X,X
TOJIZSL,X,X
TOJLISZ,O,X
TOJLIZS,X,X
TOJLSIZ,O,X
TOJLSZI,X,X
TOJLZIS,X,X
TOJLZSI,X,X
TOJSILZ,X,O
TOJSIZL,X,X
TOJSLIZ,X,O
TOJSLZI,X,X
TOJSZIL,X,X
TOJSZLI,X,X
TOJZILS,X,X
TOJZISL,X,X
TOJZLIS,X,X
TOJZLSI,X,X
TOJZSIL,X,X
TOJZSLI,X,X
TOSILJZ,X,O
TOSILZJ,X,X
TOSIJLZ,X,O
TOSIJZL,X,X
TOSIZLJ,X,X
TOSIZJL,X,X
TOSLIJZ,X,O
TOSLIZJ,X,X
TOSLJIZ,X,O
TOSLJZI,X,X
TOSLZIJ,X,X
TOSLZJI,X,X
TOSJILZ,X,O
TOSJIZL,X,X
TOSJLIZ,X,O
TOSJLZI,X,X
TOSJZIL,X,X
TOSJZLI,X,X
TOSZILJ,X,X
TOSZIJL,X,X
TOSZLIJ,X,X
TOSZLJI,X,X
TOSZJIL,X,X
TOSZJLI,X,X
TOZILJS,X,X
TOZILSJ,X,X
TOZIJLS,X,X
TOZIJSL,X,X
TOZISLJ,X,X
TOZISJL,X,X
TOZLIJS,X,X
TOZLISJ,X,X
TOZLJIS,X,X
TOZLJSI,X,X
TOZLSIJ,X,X
TOZLSJI,X,X
TOZJILS,X,X
TOZJISL,X,X
TOZJLIS,X,X
TOZJLSI,X,X
TOZJSIL,X,X
TOZJSLI,X,X
TOZSILJ,X,X
TOZSIJL,X,X
TOZSLIJ,X,X
TOZSLJI,X,X
TOZSJIL,X,X
TOZSJLI,X,X
ITLJSZO,X,X
ITLJSOZ,O,X
ITLJZSO,X,X
ITLJZOS,X,X
ITLJOSZ,O,X
ITLJOZS,X,X
ITLSJZO,X,X
ITLSJOZ,O,X
ITLSZJO,X,X
ITLSZOJ,X,X
ITLSOJZ,O,X
ITLSOZJ,X,X
ITLZJSO,X,X
ITLZJOS,X,X
ITLZSJO,X,X
ITLZSOJ,X,X
ITLZOJS,X,X
ITLZOSJ,X,X
ITLOJSZ,O,X
ITLOJZS,X,X
ITLOSJZ,O,X
ITLOSZJ,X,X
ITLOZJS,X,X
ITLOZSJ,X,X
ITJLSZO,X,X
ITJLSOZ,O,X
ITJLZSO,X,X
ITJLZOS,X,X
ITJLOSZ,O,X
ITJLOZS,X,X
ITJSLZO,X,X
ITJSLOZ,X,O
ITJSZLO,X,X
ITJSZOL,X,X
ITJSOLZ,X,O
ITJSOZL,X,X
ITJZLSO,X,X
ITJZLOS,X,X
ITJZSLO,X,X
ITJZSOL,X,X
ITJZOLS,X,X
ITJZOSL,X,X
ITJOLSZ,O,X
ITJOLZS,X,X
ITJOSLZ,X,O
ITJOSZL,X,X
ITJOZLS,X,X
ITJOZSL,X,X
ITSLJZO,X,X
ITSLJOZ,X,O
ITSLZJO,X,X
ITSLZOJ,X,X
ITSLOJZ,X,O
ITSLOZJ,X,X
ITSJLZO,X,X
ITSJLOZ,X,O
ITSJZLO,X,X
ITSJZOL,X,X
ITSJOLZ,X,O
ITSJOZL,X,X
ITSZLJO,X,X
ITSZLOJ,X,X
ITSZJLO,X,X
ITSZJOL,X,X
ITSZOLJ,X,X
ITSZOJL,X,X
ITSOLJZ,X,O
ITSOLZJ,X,X
ITSOJLZ,X,O
ITSOJZL,X,X
ITSOZLJ,X,X
ITSOZJL,X,X
ITZLJSO,X,X
ITZLJOS,X,X
ITZLSJO,X,X
ITZLSOJ,X,X
ITZLOJS,X,X
ITZLOSJ,X,X
ITZJLSO,X,X
ITZJLOS,X,X
ITZJSLO,X,X
ITZJSOL,X,X
ITZJOLS,X,X
ITZJOSL,X,X
ITZSLJO,X,X
ITZSLOJ,X,X
ITZSJLO,X,X
ITZSJOL,X,X
ITZSOLJ,X,X
ITZSOJL,X,X
ITZOLJS,X,X
ITZOLSJ,X,X
ITZOJLS,X,X
ITZOJSL,X,X
ITZOSLJ,X,X
ITZOSJL,X,X
ITOLJSZ,O,X
ITOLJZS,X,X
ITOLSJZ,O,X
ITOLSZJ,X,X
ITOLZJS,X,X
ITOLZSJ,X,X
ITOJLSZ,O,X
ITOJLZS,X,X
ITOJSLZ,X,O
ITOJSZL,X,X
ITOJZLS,X,X
ITOJZSL,X,X
ITOSLJZ,X,O
ITOSLZJ,X,X
ITOSJLZ,X,O
ITOSJZL,X,X
ITOSZLJ,X,X
ITOSZJL,X,X
ITOZLJS,X,X
ITOZLSJ,X,X
ITOZJLS,X,X
ITOZJSL,X,X
ITOZSLJ,X,X
ITOZSJL,X,X
ILTJSZO,X,X
ILTJSOZ,O,X
ILTJZSO,X,X
ILTJZOS,X,X
ILTJOSZ,O,X
ILTJOZS,X,X
ILTSJZO,X,X
ILTSJOZ,O,X
ILTSZJO,X,X
ILTSZOJ,X,X
ILTSOJZ,O,X
ILTSOZJ,X,X
ILTZJSO,X,X
ILTZJOS,X,X
ILTZSJO,X,X
ILTZSOJ,X,X
ILTZOJS,X,X
ILTZOSJ,X,X
ILTOJSZ,O,X
ILTOJZS,X,X
ILTOSJZ,O,X
ILTOSZJ,X,X
ILTOZJS,X,X
ILTOZSJ,X,X
ILJTSZO,X,X
ILJTSOZ,O,X
ILJTZSO,X,X
ILJTZOS,X,X
ILJTOSZ,O,X
ILJTOZS,X,X
ILJSTZO,X,X
ILJSTOZ,O,X
ILJSZTO,X,X
ILJSZOT,X,X
ILJSOTZ,O,X
ILJSOZT,X,X
ILJZTSO,X,X
ILJZTOS,X,X
ILJZSTO,X,X
ILJZSOT,X,X
ILJZOTS,X,X
ILJZOST,X,X
ILJOTSZ,O,X
ILJOTZS,X,X
ILJOSTZ,O,X
ILJOSZT,X,X
ILJOZTS,X,X
ILJOZST,X,X
ILSTJZO,X,X
ILSTJOZ,O,X
ILSTZJO,X,X
ILSTZOJ,X,X
ILSTOJZ,O,X
ILSTOZJ,X,X
ILSJTZO,X,X
ILSJTOZ,O,X
ILSJZTO,X,X
ILSJZOT,X,X
ILSJOTZ,O,X
ILSJOZT,X,X
ILSZTJO,X,X
ILSZTOJ,X,X
ILSZJTO,X,X
ILSZJOT,X,X
ILSZOTJ,X,X
ILSZOJT,X,X
ILSOTJZ,O,X
ILSOTZJ,X,X
ILSOJTZ,O,X
ILSOJZT,X,X
ILSOZTJ,X,X
ILSOZJT,X,X
ILZTJSO,X,X
ILZTJOS,X,X
ILZTSJO,X,X
ILZTSOJ,X,X
ILZTOJS,X,X
ILZTOSJ,X,X
ILZJTSO,X,X
ILZJTOS,X,X
ILZJSTO,X,X
ILZJSOT,X,X
ILZJOTS,X,X
ILZJOST,X,X
ILZSTJO,X,X
ILZSTOJ,X,X
ILZSJTO,X,X
ILZSJOT,X,X
ILZSOTJ,X,X
ILZSOJT,X,X
ILZOTJS,X,X
ILZOTSJ,X,X
ILZOJTS,X,X
ILZOJST,X,X
ILZOSTJ,X,X
ILZOSJT,X,X
ILOTJSZ,O,X
ILOTJZS,X,X
ILOTSJZ,O,X
ILOTSZJ,X,X
ILOTZJS,X,X
ILOTZSJ,X,X
ILOJTSZ,O,X
ILOJTZS,X,X
ILOJSTZ,O,X
ILOJSZT,X,X
ILOJZTS,X,X
ILOJZST,X,X
ILOSTJZ,O,X
ILOSTZJ,X,X
ILOSJTZ,O,X
ILOSJZT,X,X
ILOSZTJ,X,X
ILOSZJT,X,X
ILOZTJS,X,X
ILOZTSJ,X,X
ILOZJTS,X,X
ILOZJST,X,X
ILOZSTJ,X,X
ILOZSJT,X,X
IJTLSZO,X,X
IJTLSOZ,O,X
IJTLZSO,X,X
IJTLZOS,X,X
IJTLOSZ,O,X
IJTLOZS,X,X
IJTSLZO,X,X
IJTSLOZ,X,O
IJTSZLO,X,X
IJTSZOL,X,X
IJTSOLZ,X,O
IJTSOZL,X,X
IJTZLSO,X,X
IJTZLOS,X,X
IJTZSLO,X,X
IJTZSOL,X,X
IJTZOLS,X,X
IJTZOSL,X,X
IJTOLSZ,O,X
IJTOLZS,X,X
IJTOSLZ,X,O
IJTOSZL,X,X
IJTOZLS,X,X
IJTOZSL,X,X
IJLTSZO,X,X
IJLTSOZ,O,X
IJLTZSO,X,X
IJLTZOS,X,X
IJLTOSZ,O,X
IJLTOZS,X,X
IJLSTZO,X,X
IJLSTOZ,O,X
IJLSZTO,X,X
IJLSZOT,X,X
IJLSOTZ,O,X
IJLSOZT,X,X
IJLZTSO,X,X
IJLZTOS,X,X
IJLZSTO,X,X
IJLZSOT,X,X
IJLZOTS,X,X
IJLZOST,X,X
IJLOTSZ,O,X
IJLOTZS,X,X
IJLOSTZ,O,X
IJLOSZT,X,X
IJLOZTS,X,X
IJLOZST,X,X
IJSTLZO,X,X
IJSTLOZ,X,O
IJSTZLO,X,X
IJSTZOL,X,X
IJSTOLZ,X,O
IJSTOZL,X,X
IJSLTZO,X,X
IJSLTOZ,X,O
IJSLZTO,X,X
IJSLZOT,X,X
IJSLOTZ,X,O
IJSLOZT,X,X
IJSZTLO,X,X
IJSZTOL,X,X
IJSZLTO,X,X
IJSZLOT,X,X
IJSZOTL,X,X
IJSZOLT,X,X
IJSOTLZ,X,O
IJSOTZL,X,X
IJSOLTZ,X,O
IJSOLZT,X,X
IJSOZTL,X,X
IJSOZLT,X,X
IJZTLSO,X,X
IJZTLOS,X,X
IJZTSLO,X,X
IJZTSOL,X,X
IJZTOLS,X,X
IJZTOSL,X,X
IJZLTSO,X,X
IJZLTOS,X,X
IJZLSTO,X,X
IJZLSOT,X,X
IJZLOTS,X,X
IJZLOST,X,X
IJZSTLO,X,X
IJZSTOL,X,X
IJZSLTO,X,X
IJZSLOT,X,X
IJZSOTL,X,X
IJZSOLT,X,X
IJZOTLS,X,X
IJZOTSL,X,X
IJZOLTS,X,X
IJZOLST,X,X
IJZOSTL,X,X
IJZOSLT,X,X
IJOTLSZ,O,X
IJOTLZS,X,X
IJOTSLZ,X,O
IJOTSZL,X,X
IJOTZLS,X,X
IJOTZSL,X,X
IJOLTSZ,O,X
IJOLTZS,X,X
IJOLSTZ,O,X
IJOLSZT,X,X
IJOLZTS,X,X
IJOLZST,X,X
IJOSTLZ,X,O
IJOSTZL,X,X
IJOSLTZ,X,O
IJOSLZT,X,X
IJOSZTL,X,X
IJOSZLT,X,X
IJOZTLS,X,X
IJOZTSL,X,X
IJOZLTS,X,X
IJOZLST,X,X
IJOZSTL,X,X
IJOZSLT,X,X
ISTLJZO,X,X
ISTLJOZ,X,O
ISTLZJO,X,X
ISTLZOJ,X,X
ISTLOJZ,X,O
ISTLOZJ,X,X
ISTJLZO,X,X
ISTJLOZ,X,O
ISTJZLO,X,X
ISTJZOL,X,X
ISTJOLZ,X,O
ISTJOZL,X,X
ISTZLJO,X,X
ISTZLOJ,X,X
ISTZJLO,X,X
ISTZJOL,X,X
ISTZOLJ,X,X
ISTZOJL,X,X
ISTOLJZ,X,O
ISTOLZJ,X,X
ISTOJLZ,X,O
ISTOJZL,X,X
ISTOZLJ,X,X
ISTOZJL,X,X
ISLTJZO,X,X
ISLTJOZ,X,O
ISLTZJO,X,X
ISLTZOJ,X,X
ISLTOJZ,X,O
ISLTOZJ,X,X
ISLJTZO,X,X
ISLJTOZ,X,O
ISLJZTO,X,X
ISLJZOT,X,X
ISLJOTZ,X,O
ISLJOZT,X,X
ISLZTJO,X,X
ISLZTOJ,X,X
ISLZJTO,X,X
ISLZJOT,X,X
ISLZOTJ,X,X
ISLZOJT,X,X
ISLOTJZ,X,O
ISLOTZJ,X,X
ISLOJTZ,X,O
ISLOJZT,X,X
ISLOZTJ,X,X
ISLOZJT,X,X
ISJTLZO,X,X
ISJTLOZ,X,O
ISJTZLO,X,X
ISJTZOL,X,X
ISJTOLZ,X,O
ISJTOZL,X,X
ISJLTZO,X,X
ISJLTOZ,X,O
