sequence,v115@FhB8GeC8IeA8AeB8BeA8AeC8JeZEJvhFukBzgBFiB/?qBcrBisB,v115@FhB8GeC8IeA8AeB8BeA8AeC8JeZEJvhFukBUhBFiBT?lBXrBisB,v115@FhB8GeC8IeA8AeB8BeA8AeC8JeZEJvhFukB3gBFiBT?mB0qBisB,v115@FhB8GeC8IeA8AeB8BeA8AeC8JeZEJvhFukBclB/mBF?iBzqBisB
ILTJZSO,O,X,O,X
ILTJZOS,X,X,X,X
ILTJOSZ,X,X,O,X
ILTJOZS,X,O,X,X
ILTSJZO,O,O,X,X
ILTSJOZ,X,X,X,X
ILTSZJO,O,O,X,O
ILTSZOJ,O,O,X,X
ILTSOJZ,X,O,X,X
ILTSOZJ,X,O,X,X
ILTZJSO,O,X,O,X
ILTZJOS,X,X,X,X
ILTZSJO,O,X,O,X
ILTZSOJ,O,X,X,X
ILTZOJS,X,X,X,X
ILTZOSJ,X,X,X,X
ILTOJSZ,X,X,O,X
ILTOJZS,X,O,X,X
ILTOSJZ,X,X,O,X
ILTOSZJ,X,X,X,X
ILTOZJS,X,O,X,X
ILTOZSJ,X,X,X,X
ILJTSZO,O,O,X,X
ILJTSOZ,X,X,X,X
ILJTZSO,O,X,O,X
ILJTZOS,X,X,X,X
ILJTOSZ,X,X,O,X
ILJTOZS,X,O,X,X
ILJSTZO,O,O,X,X
ILJSTOZ,X,X,X,X
ILJSZTO,O,O,X,X
ILJSZOT,O,X,X,X
ILJSOTZ,X,X,X,X
ILJSOZT,X,X,X,X
ILJZTSO,O,X,O,X
ILJZTOS,X,X,X,X
ILJZSTO,O,X,O,O
ILJZSOT,O,X,X,X
ILJZOTS,X,X,O,X
ILJZOST,X,X,O,X
ILJOTSZ,X,X,O,X
ILJOTZS,X,O,X,X
ILJOSTZ,X,X,O,X
ILJOSZT,X,X,X,X
ILJOZTS,X,O,X,X
ILJOZST,X,X,X,X
ILSTJZO,O,O,X,X
ILSTJOZ,X,X,X,X
ILSTZJO,O,O,X,O
ILSTZOJ,O,O,X,X
ILSTOJZ,X,O,X,X
ILSTOZJ,X,O,X,X
ILSJTZO,O,O,X,X
ILSJTOZ,X,X,X,X
ILSJZTO,O,O,X,X
ILSJZOT,O,X,X,X
ILSJOTZ,X,X,X,X
ILSJOZT,X,X,X,X
ILSZTJO,O,O,X,O
ILSZTOJ,O,O,X,X
ILSZJTO,O,O,X,O
ILSZJOT,O,X,X,X
ILSZOTJ,O,O,X,X
ILSZOJT,O,O,X,X
ILSOTJZ,X,O,X,X
ILSOTZJ,X,O,X,X
ILSOJTZ,X,O,X,X
ILSOJZT,X,O,X,X
ILSOZTJ,X,O,X,X
ILSOZJT,X,O,X,X
ILZTJSO,O,X,O,X
ILZTJOS,X,X,X,X
ILZTSJO,O,X,O,X
ILZTSOJ,O,X,X,X
ILZTOJS,X,X,X,X
ILZTOSJ,X,X,X,X
ILZJTSO,O,X,O,X
ILZJTOS,X,X,X,X
ILZJSTO,O,X,O,O
ILZJSOT,O,X,X,X
ILZJOTS,X,X,O,X
ILZJOST,X,X,O,X
ILZSTJO,O,X,O,O
ILZSTOJ,O,X,X,X
ILZSJTO,O,X,O,O
ILZSJOT,O,X,X,X
ILZSOTJ,O,X,X,X
ILZSOJT,O,X,X,X
ILZOTJS,X,X,O,X
ILZOTSJ,X,X,O,X
ILZOJTS,X,X,O,X
ILZOJST,X,X,O,X
ILZOSTJ,X,X,O,X
ILZOSJT,X,X,O,X
ILOTJSZ,X,X,O,X
ILOTJZS,X,O,X,X
ILOTSJZ,X,X,O,X
ILOTSZJ,X,X,X,X
ILOTZJS,X,O,X,X
ILOTZSJ,X,X,X,X
ILOJTSZ,X,X,O,X
ILOJTZS,X,O,X,X
ILOJSTZ,X,X,O,X
ILOJSZT,X,X,X,X
ILOJZTS,X,O,X,X
ILOJZST,X,X,X,X
ILOSTJZ,X,X,O,X
ILOSTZJ,X,X,X,O
ILOSJTZ,X,X,O,X
ILOSJZT,X,X,X,X
ILOSZTJ,X,X,X,O
ILOSZJT,X,X,X,O
ILOZTJS,X,O,X,X
ILOZTSJ,X,X,X,X
ILOZJTS,X,O,X,X
ILOZJST,X,X,X,O
ILOZSTJ,X,X,X,O
ILOZSJT,X,X,X,O
IJTLSZO,X,X,X,X
IJTLSOZ,X,X,X,X
IJTLZSO,X,X,X,X
IJTLZOS,X,X,X,X
IJTLOSZ,X,X,X,X
IJTLOZS,X,X,X,X
IJTSLZO,X,X,X,X
IJTSLOZ,X,X,X,X
IJTSZLO,X,X,X,X
IJTSZOL,O,O,X,X
IJTSOLZ,X,X,X,X
IJTSOZL,X,X,X,X
IJTZLSO,X,X,X,X
IJTZLOS,X,X,X,X
IJTZSLO,X,X,X,X
IJTZSOL,O,X,O,X
IJTZOLS,X,X,X,X
IJTZOSL,X,X,X,X
IJTOLSZ,X,X,X,X
IJTOLZS,X,X,X,X
IJTOSLZ,X,X,O,X
IJTOSZL,X,X,O,X
IJTOZLS,X,O,X,X
IJTOZSL,X,O,X,X
IJLTSZO,O,O,X,X
IJLTSOZ,X,X,X,X
IJLTZSO,O,X,O,X
IJLTZOS,X,X,X,X
IJLTOSZ,X,X,O,X
IJLTOZS,X,O,X,X
IJLSTZO,O,O,X,X
IJLSTOZ,X,X,X,X
IJLSZTO,O,O,X,X
IJLSZOT,O,X,X,X
IJLSOTZ,X,X,X,X
IJLSOZT,X,X,X,X
IJLZTSO,O,X,O,X
IJLZTOS,X,X,X,X
IJLZSTO,O,X,O,O
IJLZSOT,O,X,X,X
IJLZOTS,X,X,O,X
IJLZOST,X,X,O,X
IJLOTSZ,X,X,O,X
IJLOTZS,X,O,X,X
IJLOSTZ,X,X,O,X
IJLOSZT,X,X,X,X
IJLOZTS,X,O,X,X
IJLOZST,X,X,X,X
IJSTLZO,X,X,X,X
IJSTLOZ,X,X,X,X
IJSTZLO,X,X,X,X
IJSTZOL,O,O,X,X
IJSTOLZ,X,X,X,X
IJSTOZL,X,X,X,X
IJSLTZO,O,O,X,X
IJSLTOZ,X,X,X,X
IJSLZTO,O,O,X,X
IJSLZOT,O,X,X,X
IJSLOTZ,X,X,X,X
IJSLOZT,X,X,X,X
IJSZTLO,X,X,X,X
IJSZTOL,O,O,X,X
IJSZLTO,O,O,X,X
IJSZLOT,O,X,X,X
IJSZOTL,O,X,X,X
IJSZOLT,O,X,X,X
IJSOTLZ,X,X,X,X
IJSOTZL,X,X,X,X
IJSOLTZ,X,X,X,X
IJSOLZT,X,X,X,X
IJSOZTL,X,X,X,X
IJSOZLT,X,X,X,X
IJZTLSO,X,X,X,X
IJZTLOS,X,X,X,X
IJZTSLO,X,X,X,X
IJZTSOL,O,X,O,X
IJZTOLS,X,X,X,X
IJZTOSL,X,X,X,X
IJZLTSO,O,X,O,X
IJZLTOS,X,X,X,X
IJZLSTO,O,X,O,O
IJZLSOT,O,X,X,X
IJZLOTS,X,X,O,X
IJZLOST,X,X,O,X
IJZSTLO,X,X,X,O
IJZSTOL,O,X,O,O
IJZSLTO,O,X,O,O
IJZSLOT,O,X,X,X
IJZSOTL,O,X,O,X
IJZSOLT,O,X,O,X
IJZOTLS,X,X,X,X
IJZOTSL,X,X,O,X
IJZOLTS,X,X,O,X
IJZOLST,X,X,O,X
IJZOSTL,X,X,O,X
IJZOSLT,X,X,O,X
IJOTLSZ,X,X,X,X
IJOTLZS,X,X,X,X
IJOTSLZ,X,X,O,X
IJOTSZL,X,X,O,X
IJOTZLS,X,O,X,X
IJOTZSL,X,O,X,X
IJOLTSZ,X,X,O,X
IJOLTZS,X,O,X,X
IJOLSTZ,X,X,O,X
IJOLSZT,X,X,X,X
IJOLZTS,X,O,X,X
IJOLZST,X,X,X,X
IJOSTLZ,X,X,O,X
IJOSTZL,X,X,O,X
IJOSLTZ,X,X,O,X
IJOSLZT,X,X,X,X
IJOSZTL,X,X,X,X
IJOSZLT,X,X,X,X
IJOZTLS,X,O,X,X
IJOZTSL,X,O,X,X
IJOZLTS,X,O,X,X
IJOZLST,X,X,X,X
IJOZSTL,X,X,X,X
IJOZSLT,X,X,X,X
ISTLJZO,X,X,X,X
ISTLJOZ,X,X,X,X
ISTLZJO,X,X,X,X
ISTLZOJ,X,X,X,X
ISTLOJZ,X,X,X,X
ISTLOZJ,X,X,X,X
ISTJLZO,X,X,X,X
ISTJLOZ,X,X,X,X
ISTJZLO,X,X,X,X
ISTJZOL,O,O,X,X
ISTJOLZ,X,X,X,X
ISTJOZL,X,X,X,X
ISTZLJO,X,X,X,X
ISTZLOJ,X,X,X,X
ISTZJLO,X,X,X,O
ISTZJOL,O,O,X,O
ISTZOLJ,X,X,X,X
ISTZOJL,O,O,X,X
ISTOLJZ,X,X,X,X
ISTOLZJ,X,X,X,X
ISTOJLZ,X,X,X,X
ISTOJZL,X,O,X,X
ISTOZLJ,X,X,X,X
ISTOZJL,X,O,X,X
ISLTJZO,O,O,X,X
ISLTJOZ,X,X,X,X
ISLTZJO,O,O,X,O
ISLTZOJ,O,O,X,X
ISLTOJZ,X,O,X,X
ISLTOZJ,X,O,X,X
ISLJTZO,O,O,X,X
ISLJTOZ,X,X,X,X
ISLJZTO,O,O,X,X
ISLJZOT,O,X,X,X
ISLJOTZ,X,X,X,X
ISLJOZT,X,X,X,X
ISLZTJO,O,O,X,O
ISLZTOJ,O,O,X,X
ISLZJTO,O,O,X,O
ISLZJOT,O,X,X,X
ISLZOTJ,O,O,X,X
ISLZOJT,O,O,X,X
ISLOTJZ,X,O,X,X
ISLOTZJ,X,O,X,X
ISLOJTZ,X,O,X,X
ISLOJZT,X,O,X,X
ISLOZTJ,X,O,X,X
ISLOZJT,X,O,X,X
ISJTLZO,X,X,X,X
ISJTLOZ,X,X,X,X
ISJTZLO,X,X,X,X
ISJTZOL,O,O,X,X
ISJTOLZ,X,X,X,X
ISJTOZL,X,X,X,X
ISJLTZO,O,O,X,X
ISJLTOZ,X,X,X,X
ISJLZTO,O,O,X,X
ISJLZOT,O,X,X,X
ISJLOTZ,X,X,X,X
ISJLOZT,X,X,X,X
ISJZTLO,X,X,X,X
ISJZTOL,O,O,X,X
ISJZLTO,O,O,X,X
ISJZLOT,O,X,X,X
ISJZOTL,O,X,X,X
ISJZOLT,O,X,X,X
ISJOTLZ,X,X,X,X
ISJOTZL,X,X,X,X
ISJOLTZ,X,X,X,X
ISJOLZT,X,X,X,X
ISJOZTL,X,X,X,X
ISJOZLT,X,X,X,X
ISZTLJO,X,X,X,X
ISZTLOJ,X,X,X,X
ISZTJLO,X,X,X,O
ISZTJOL,O,O,X,O
ISZTOLJ,X,X,X,X
ISZTOJL,O,O,X,X
ISZLTJO,O,O,X,O
ISZLTOJ,O,O,X,X
ISZLJTO,O,O,X,O
ISZLJOT,O,X,X,X
ISZLOTJ,O,O,X,X
ISZLOJT,O,O,X,X
ISZJTLO,X,X,X,O
ISZJTOL,O,O,X,O
ISZJLTO,O,O,X,O
ISZJLOT,O,X,X,X
ISZJOTL,O,X,X,X
ISZJOLT,O,X,X,X
ISZOTLJ,X,X,X,X
ISZOTJL,O,O,X,X
ISZOLTJ,O,O,X,X
ISZOLJT,O,O,X,X
ISZOJTL,O,O,X,X
ISZOJLT,O,O,X,X
ISOTLJZ,X,X,X,X
ISOTLZJ,X,X,X,X
ISOTJLZ,X,X,X,X
ISOTJZL,X,O,X,X
ISOTZLJ,X,X,X,X
ISOTZJL,X,O,X,X
ISOLTJZ,X,O,X,X
ISOLTZJ,X,O,X,X
ISOLJTZ,X,O,X,X
ISOLJZT,X,O,X,X
ISOLZTJ,X,O,X,X
ISOLZJT,X,O,X,X
ISOJTLZ,X,X,X,X
ISOJTZL,X,O,X,X
ISOJLTZ,X,O,X,X
ISOJLZT,X,O,X,X
ISOJZTL,X,O,X,X
ISOJZLT,X,O,X,X
ISOZTLJ,X,X,X,X
ISOZTJL,X,O,X,X
ISOZLTJ,X,O,X,X
ISOZLJT,X,O,X,X
ISOZJTL,X,O,X,X
ISOZJLT,X,O,X,X
IZTLJSO,X,X,X,X
IZTLJOS,X,X,X,X
IZTLSJO,X,X,X,X
IZTLSOJ,X,X,X,X
IZTLOJS,X,X,X,X
IZTLOSJ,X,X,X,X
IZTJLSO,X,X,X,X
IZTJLOS,X,X,X,X
IZTJSLO,X,X,X,X
IZTJSOL,O,X,O,X
IZTJOLS,X,X,X,X
IZTJOSL,X,X,X,X
IZTSLJO,X,X,X,X
IZTSLOJ,X,X,X,X
IZTSJLO,X,X,X,X
IZTSJOL,O,X,O,X
IZTSOLJ,X,X,X,X
IZTSOJL,O,X,X,X
IZTOLJS,X,X,X,X
IZTOLSJ,X,X,X,X
IZTOJLS,X,X,X,X
IZTOJSL,X,X,X,X
IZTOSLJ,X,X,X,X
IZTOSJL,X,X,X,X
IZLTJSO,O,X,O,X
IZLTJOS,X,X,X,X
IZLTSJO,O,X,O,X
IZLTSOJ,O,X,X,X
IZLTOJS,X,X,X,X
IZLTOSJ,X,X,X,X
IZLJTSO,O,X,O,X
IZLJTOS,X,X,X,X
IZLJSTO,O,X,O,O
IZLJSOT,O,X,X,X
IZLJOTS,X,X,O,X
IZLJOST,X,X,O,X
IZLSTJO,O,X,O,O
IZLSTOJ,O,X,X,X
IZLSJTO,O,X,O,O
IZLSJOT,O,X,X,X
IZLSOTJ,O,X,X,X
IZLSOJT,O,X,X,X
IZLOTJS,X,X,O,X
IZLOTSJ,X,X,O,X
IZLOJTS,X,X,O,X
IZLOJST,X,X,O,X
IZLOSTJ,X,X,O,X
IZLOSJT,X,X,O,X
IZJTLSO,X,X,X,X
IZJTLOS,X,X,X,X
IZJTSLO,X,X,X,X
IZJTSOL,O,X,O,X
IZJTOLS,X,X,X,X
IZJTOSL,X,X,X,X
IZJLTSO,O,X,O,X
IZJLTOS,X,X,X,X
IZJLSTO,O,X,O,O
IZJLSOT,O,X,X,X
IZJLOTS,X,X,O,X
IZJLOST,X,X,O,X
IZJSTLO,X,X,X,O
IZJSTOL,O,X,O,O
IZJSLTO,O,X,O,O
IZJSLOT,O,X,X,X
IZJSOTL,O,X,O,X
IZJSOLT,O,X,O,X
IZJOTLS,X,X,X,X
IZJOTSL,X,X,O,X
IZJOLTS,X,X,O,X
IZJOLST,X,X,O,X
IZJOSTL,X,X,O,X
IZJOSLT,X,X,O,X
IZSTLJO,X,X,X,X
IZSTLOJ,X,X,X,X
IZSTJLO,X,X,X,O
IZSTJOL,O,X,O,O
IZSTOLJ,X,X,X,X
IZSTOJL,O,X,X,X
IZSLTJO,O,X,O,O
IZSLTOJ,O,X,X,X
IZSLJTO,O,X,O,O
IZSLJOT,O,X,X,X
IZSLOTJ,O,X,X,X
IZSLOJT,O,X,X,X
IZSJTLO,X,X,X,O
IZSJTOL,O,X,O,O
IZSJLTO,O,X,O,O
IZSJLOT,O,X,X,X
IZSJOTL,O,X,O,X
IZSJOLT,O,X,O,X
IZSOTLJ,X,X,X,X
IZSOTJL,O,X,O,X
IZSOLTJ,O,X,O,X
IZSOLJT,O,X,O,X
IZSOJTL,O,X,O,X
IZSOJLT,O,X,O,X
IZOTLJS,X,X,X,X
IZOTLSJ,X,X,X,X
IZOTJLS,X,X,X,X
IZOTJSL,X,X,O,X
IZOTSLJ,X,X,X,X
IZOTSJL,X,X,O,X
IZOLTJS,X,X,O,X
IZOLTSJ,X,X,O,X
IZOLJTS,X,X,O,X
IZOLJST,X,X,O,X
IZOLSTJ,X,X,O,X
IZOLSJT,X,X,O,X
IZOJTLS,X,X,X,X
IZOJTSL,X,X,O,X
IZOJLTS,X,X,O,X
IZOJLST,X,X,O,X
IZOJSTL,X,X,O,X
IZOJSLT,X,X,O,X
IZOSTLJ,X,X,X,X
IZOSTJL,X,X,O,X
IZOSLTJ,X,X,O,X
IZOSLJT,X,X,O,X
IZOSJTL,X,X,O,X
IZOSJLT,X,X,O,X
IOTLJSZ,X,X,X,X
IOTLJZS,X,X,X,X
IOTLSJZ,X,X,X,X
IOTLSZJ,X,X,X,X
IOTLZJS,X,X,X,X
IOTLZSJ,X,X,X,X
IOTJLSZ,X,X,X,X
IOTJLZS,X,X,X,X
IOTJSLZ,X,X,O,X
IOTJSZL,X,X,O,X
IOTJZLS,X,O,X,X
IOTJZSL,X,O,X,X
IOTSLJZ,X,X,X,X
IOTSLZJ,X,X,X,X
IOTSJLZ,X,X,O,X
IOTSJZL,X,X,O,X
IOTSZLJ,X,X,X,X
IOTSZJL,X,X,X,X
IOTZLJS,X,X,X,X
IOTZLSJ,X,X,X,X
IOTZJLS,X,O,X,X
IOTZJSL,X,O,X,X
IOTZSLJ,X,X,X,X
IOTZSJL,X,X,X,X
IOLTJSZ,X,X,O,X
IOLTJZS,X,O,X,X
IOLTSJZ,X,X,O,X
IOLTSZJ,X,X,X,X
IOLTZJS,X,O,X,X
IOLTZSJ,X,X,X,X
IOLJTSZ,X,X,O,X
IOLJTZS,X,O,X,X
IOLJSTZ,X,X,O,X
IOLJSZT,X,X,X,X
IOLJZTS,X,O,X,X
IOLJZST,X,X,X,X
IOLSTJZ,X,X,O,X
IOLSTZJ,X,X,X,O
IOLSJTZ,X,X,O,X
IOLSJZT,X,X,X,X
IOLSZTJ,X,X,X,O
IOLSZJT,X,X,X,O
IOLZTJS,X,O,X,X
IOLZTSJ,X,X,X,X
IOLZJTS,X,O,X,X
IOLZJST,X,X,X,O
IOLZSTJ,X,X,X,O
IOLZSJT,X,X,X,O
IOJTLSZ,X,X,X,X
IOJTLZS,X,X,X,X
IOJTSLZ,X,X,O,X
IOJTSZL,X,X,O,X
IOJTZLS,X,O,X,X
IOJTZSL,X,O,X,X
IOJLTSZ,X,X,O,X
IOJLTZS,X,O,X,X
IOJLSTZ,X,X,O,X
IOJLSZT,X,X,X,X
IOJLZTS,X,O,X,X
IOJLZST,X,X,X,X
IOJSTLZ,X,X,O,X
IOJSTZL,X,X,O,X
IOJSLTZ,X,X,O,X
IOJSLZT,X,X,X,X
IOJSZTL,X,X,X,X
IOJSZLT,X,X,X,X
IOJZTLS,X,O,X,X
IOJZTSL,X,O,X,X
IOJZLTS,X,O,X,X
IOJZLST,X,X,X,X
IOJZSTL,X,X,X,X
IOJZSLT,X,X,X,X
IOSTLJZ,X,X,X,X
IOSTLZJ,X,X,X,X
IOSTJLZ,X,X,O,X
IOSTJZL,X,X,O,X
IOSTZLJ,X,X,X,X
IOSTZJL,X,X,X,O
IOSLTJZ,X,X,O,X
IOSLTZJ,X,X,X,O
IOSLJTZ,X,X,O,X
IOSLJZT,X,X,X,X
IOSLZTJ,X,X,X,O
IOSLZJT,X,X,X,O
IOSJTLZ,X,X,O,X
IOSJTZL,X,X,O,X
IOSJLTZ,X,X,O,X
IOSJLZT,X,X,X,X
IOSJZTL,X,X,X,X
IOSJZLT,X,X,X,X
IOSZTLJ,X,X,X,X
IOSZTJL,X,X,X,O
IOSZLTJ,X,X,X,O
IOSZLJT,X,X,X,O
IOSZJTL,X,X,X,O
IOSZJLT,X,X,X,O
IOZTLJS,X,X,X,X
IOZTLSJ,X,X,X,X
IOZTJLS,X,O,X,X
IOZTJSL,X,O,X,X
IOZTSLJ,X,X,X,X
IOZTSJL,X,X,X,X
IOZLTJS,X,O,X,X
IOZLTSJ,X,X,X,X
IOZLJTS,X,O,X,X
IOZLJST,X,X,X,O
IOZLSTJ,X,X,X,O
IOZLSJT,X,X,X,O
IOZJTLS,X,O,X,X
IOZJTSL,X,O,X,X
IOZJLTS,X,O,X,X
IOZJLST,X,X,X,O
IOZJSTL,X,X,X,O
IOZJSLT,X,X,X,O
IOZSTLJ,X,X,X,X
IOZSTJL,X,X,X,O
IOZSLTJ,X,X,X,O
IOZSLJT,X,X,X,O
IOZSJTL,X,X,X,O
IOZSJLT,X,X,X,O
LTIJSZO,O,O,X,X
LTIJSOZ,X,X,X,X
LTIJZSO,O,X,O,X
LTIJZOS,X,X,X,X
LTIJOSZ,X,X,O,X
LTIJOZS,X,O,X,X
LTISJZO,O,O,X,X
LTISJOZ,X,X,X,X
LTISZJO,O,O,X,O
LTISZOJ,O,O,X,X
LTISOJZ,X,O,X,X
LTISOZJ,X,O,X,X
LTIZJSO,O,X,O,X
LTIZJOS,X,X,X,X
LTIZSJO,O,X,O,X
LTIZSOJ,O,X,X,X
LTIZOJS,X,X,X,X
LTIZOSJ,X,X,X,X
LTIOJSZ,X,X,O,X
LTIOJZS,X,O,X,X
LTIOSJZ,X,X,O,X
LTIOSZJ,X,X,X,X
LTIOZJS,X,O,X,X
LTIOZSJ,X,X,X,X
LTJISZO,O,O,X,X
LTJISOZ,X,X,X,X
LTJIZSO,O,X,O,X
LTJIZOS,X,X,X,X
LTJIOSZ,X,X,O,X
LTJIOZS,X,O,X,X
LTJSIZO,O,O,X,X
LTJSIOZ,X,X,X,X
LTJSZIO,O,O,X,X
LTJSZOI,O,X,X,X
LTJSOIZ,X,X,X,X
LTJSOZI,X,X,X,X
LTJZISO,O,X,O,X
LTJZIOS,X,X,X,X
LTJZSIO,O,X,O,X
LTJZSOI,O,X,X,X
LTJZOIS,X,X,X,X
LTJZOSI,X,X,X,X
LTJOISZ,X,X,O,X
LTJOIZS,X,O,X,X
LTJOSIZ,X,X,O,X
LTJOSZI,X,X,X,X
LTJOZIS,X,O,X,X
LTJOZSI,X,X,X,X
LTSIJZO,O,O,X,X
LTSIJOZ,X,X,X,X
LTSIZJO,O,O,X,O
LTSIZOJ,O,O,X,X
LTSIOJZ,X,O,X,X
LTSIOZJ,X,O,X,X
LTSJIZO,O,O,X,X
LTSJIOZ,X,X,X,X
LTSJZIO,O,O,X,X
LTSJZOI,O,X,X,X
LTSJOIZ,X,X,X,X
LTSJOZI,X,X,X,X
LTSZIJO,O,O,X,O
LTSZIOJ,O,O,X,X
LTSZJIO,O,O,X,O
LTSZJOI,O,X,X,X
LTSZOIJ,O,O,X,X
LTSZOJI,O,O,X,X
LTSOIJZ,X,O,X,X
LTSOIZJ,X,O,X,X
LTSOJIZ,X,O,X,X
LTSOJZI,X,O,X,X
LTSOZIJ,X,O,X,X
LTSOZJI,X,O,X,X
LTZIJSO,O,X,O,X
LTZIJOS,X,X,X,X
LTZISJO,O,X,O,X
LTZISOJ,O,X,X,X
LTZIOJS,X,X,X,X
LTZIOSJ,X,X,X,X
LTZJISO,O,X,O,X
LTZJIOS,X,X,X,X
LTZJSIO,O,X,O,X
LTZJSOI,O,X,X,X
LTZJOIS,X,X,X,X
LTZJOSI,X,X,X,X
LTZSIJO,O,X,O,X
LTZSIOJ,O,X,X,X
LTZSJIO,O,X,O,X
LTZSJOI,O,X,X,X
LTZSOIJ,O,X,X,X
LTZSOJI,O,X,X,X
LTZOIJS,X,X,X,X
LTZOISJ,X,X,X,X
LTZOJIS,X,X,X,X
LTZOJSI,X,X,X,X
LTZOSIJ,X,X,X,X
LTZOSJI,X,X,X,X
LTOIJSZ,X,X,O,X
LTOIJZS,X,O,X,X
LTOISJZ,X,X,O,X
LTOISZJ,X,X,X,X
LTOIZJS,X,O,X,X
LTOIZSJ,X,X,X,X
LTOJISZ,X,X,O,X
LTOJIZS,X,O,X,X
LTOJSIZ,X,X,O,X
LTOJSZI,X,X,X,X
LTOJZIS,X,O,X,X
LTOJZSI,X,X,X,X
LTOSIJZ,X,X,O,X
LTOSIZJ,X,X,X,X
LTOSJIZ,X,X,O,X
LTOSJZI,X,X,X,X
LTOSZIJ,X,X,X,X
LTOSZJI,X,X,X,X
LTOZIJS,X,O,X,X
LTOZISJ,X,X,X,X
LTOZJIS,X,O,X,X
LTOZJSI,X,X,X,X
LTOZSIJ,X,X,X,X
LTOZSJI,X,X,X,X
LITJSZO,O,O,X,X
LITJSOZ,X,X,X,X
LITJZSO,O,X,O,X
LITJZOS,X,X,X,X
LITJOSZ,X,X,O,X
LITJOZS,X,O,X,X
LITSJZO,O,O,X,X
LITSJOZ,X,X,X,X
LITSZJO,O,O,X,O
LITSZOJ,O,O,X,X
LITSOJZ,X,O,X,X
LITSOZJ,X,O,X,X
LITZJSO,O,X,O,X
LITZJOS,X,X,X,X
LITZSJO,O,X,O,X
LITZSOJ,O,X,X,X
LITZOJS,X,X,X,X
LITZOSJ,X,X,X,X
LITOJSZ,X,X,O,X
LITOJZS,X,O,X,X
LITOSJZ,X,X,O,X
LITOSZJ,X,X,X,X
LITOZJS,X,O,X,X
LITOZSJ,X,X,X,X
LIJTSZO,O,O,X,X
LIJTSOZ,X,X,X,X
LIJTZSO,O,X,O,X
LIJTZOS,X,X,X,X
LIJTOSZ,X,X,O,X
LIJTOZS,X,O,X,X
LIJSTZO,O,O,X,X
LIJSTOZ,X,X,X,X
LIJSZTO,O,O,X,X
LIJSZOT,O,X,X,X
LIJSOTZ,X,X,X,X
LIJSOZT,X,X,X,X
LIJZTSO,O,X,O,X
LIJZTOS,X,X,X,X
LIJZSTO,O,X,O,O
LIJZSOT,O,X,X,X
LIJZOTS,X,X,O,X
LIJZOST,X,X,O,X
LIJOTSZ,X,X,O,X
LIJOTZS,X,O,X,X
LIJOSTZ,X,X,O,X
LIJOSZT,X,X,X,X
LIJOZTS,X,O,X,X
LIJOZST,X,X,X,X
LISTJZO,O,O,X,X
LISTJOZ,X,X,X,X
LISTZJO,O,O,X,O
LISTZOJ,O,O,X,X
LISTOJZ,X,O,X,X
LISTOZJ,X,O,X,X
LISJTZO,O,O,X,X
LISJTOZ,X,X,X,X
LISJZTO,O,O,X,X
LISJZOT,O,X,X,X
LISJOTZ,X,X,X,X
LISJOZT,X,X,X,X
LISZTJO,O,O,X,O
LISZTOJ,O,O,X,X
LISZJTO,O,O,X,O
LISZJOT,O,X,X,X
LISZOTJ,O,O,X,X
LISZOJT,O,O,X,X
LISOTJZ,X,O,X,X
LISOTZJ,X,O,X,X
LISOJTZ,X,O,X,X
LISOJZT,X,O,X,X
LISOZTJ,X,O,X,X
LISOZJT,X,O,X,X
LIZTJSO,O,X,O,X
LIZTJOS,X,X,X,X
LIZTSJO,O,X,O,X
LIZTSOJ,O,X,X,X
LIZTOJS,X,X,X,X
LIZTOSJ,X,X,X,X
LIZJTSO,O,X,O,X
LIZJTOS,X,X,X,X
LIZJSTO,O,X,O,O
LIZJSOT,O,X,X,X
LIZJOTS,X,X,O,X
LIZJOST,X,X,O,X
LIZSTJO,O,X,O,O
LIZSTOJ,O,X,X,X
LIZSJTO,O,X,O,O
LIZSJOT,O,X,X,X
LIZSOTJ,O,X,X,X
LIZSOJT,O,X,X,X
LIZOTJS,X,X,O,X
LIZOTSJ,X,X,O,X
LIZOJTS,X,X,O,X
LIZOJST,X,X,O,X
LIZOSTJ,X,X,O,X
LIZOSJT,X,X,O,X
LIOTJSZ,X,X,O,X
LIOTJZS,X,O,X,X
LIOTSJZ,X,X,O,X
LIOTSZJ,X,X,X,X
LIOTZJS,X,O,X,X
LIOTZSJ,X,X,X,X
LIOJTSZ,X,X,O,X
LIOJTZS,X,O,X,X
LIOJSTZ,X,X,O,X
LIOJSZT,X,X,X,X
LIOJZTS,X,O,X,X
LIOJZST,X,X,X,X
LIOSTJZ,X,X,O,X
LIOSTZJ,X,X,X,O
LIOSJTZ,X,X,O,X
LIOSJZT,X,X,X,X
LIOSZTJ,X,X,X,O
LIOSZJT,X,X,X,O
LIOZTJS,X,O,X,X
LIOZTSJ,X,X,X,X
LIOZJTS,X,O,X,X
LIOZJST,X,X,X,O
LIOZSTJ,X,X,X,O
LIOZSJT,X,X,X,O
LJTISZO,O,O,X,X
LJTISOZ,X,X,X,X
LJTIZSO,O,X,O,X
LJTIZOS,X,X,X,X
LJTIOSZ,X,X,O,X
LJTIOZS,X,O,X,X
LJTSIZO,O,O,X,X
LJTSIOZ,X,X,X,X
LJTSZIO,O,O,X,X
LJTSZOI,O,X,X,X
LJTSOIZ,X,X,X,X
