sequence,v115@JhB8HeC8FeF8BeA8JeZEJvhFukBUhBFiBTjBSsBXtB,v115@JhB8HeC8FeF8BeA8JeZEJvhFukBFhB0iBzmBStBXtB,v115@JhB8HeC8FeF8BeA8JeRBJvhFGjBTkB0mBlnBXtBipB
TLSOIZJ,O,X,X
TLSOJIZ,O,X,X
TLSOJZI,O,X,X
TLSOZIJ,O,X,X
TLSOZJI,O,X,X
TLZIJSO,O,X,X
TLZIJOS,O,X,X
TLZISJO,O,X,X
TLZISOJ,O,X,X
TLZIOJS,O,X,X
TLZIOSJ,O,X,X
TLZJISO,O,X,X
TLZJIOS,O,X,X
TLZJSIO,O,X,X
TLZJSOI,O,X,X
TLZJOIS,O,X,X
TLZJOSI,O,X,X
TLZSIJO,O,X,X
TLZSIOJ,O,X,X
TLZSJIO,O,X,X
TLZSJOI,O,X,X
TLZSOIJ,O,X,X
TLZSOJI,O,X,X
TLZOIJS,O,X,X
TLZOISJ,O,X,X
TLZOJIS,O,X,X
TLZOJSI,O,X,X
TLZOSIJ,O,X,X
TLZOSJI,O,X,X
TLOIJSZ,O,O,X
TLOIJZS,O,O,X
TLOISJZ,O,O,X
TLOISZJ,O,O,X
TLOIZJS,O,O,X
TLOIZSJ,O,O,X
TLOJISZ,O,O,X
TLOJIZS,O,O,X
TLOJSIZ,O,O,X
TLOJSZI,O,O,X
TLOJZIS,O,O,X
TLOJZSI,O,O,X
TLOSIJZ,O,O,X
TLOSIZJ,O,O,X
TLOSJIZ,O,O,X
TLOSJZI,O,O,X
TLOSZIJ,O,O,X
TLOSZJI,O,O,X
TLOZIJS,O,O,X
TLOZISJ,O,O,X
TLOZJIS,O,O,X
TLOZJSI,O,O,X
TLOZSIJ,O,O,X
TLOZSJI,O,O,X
TJILSZO,O,X,X
TJILSOZ,O,X,X
TJILZSO,O,X,X
TJILZOS,O,X,X
TJILOSZ,O,O,X
TJILOZS,O,O,X
TJISLZO,O,X,X
TJISLOZ,O,X,X
TJISZLO,O,X,X
TJISZOL,O,X,X
TJISOLZ,O,O,X
TJISOZL,O,O,X
TJIZLSO,O,X,X
TJIZLOS,O,X,X
TJIZSLO,O,X,X
TJIZSOL,O,X,X
TJIZOLS,O,O,X
TJIZOSL,O,O,X
TJIOLSZ,X,O,X
TJIOLZS,X,O,X
TJIOSLZ,X,O,X
TJIOSZL,X,O,X
TJIOZLS,X,O,X
TJIOZSL,X,O,X
TJLISZO,O,X,X
TJLISOZ,O,X,X
TJLIZSO,O,X,X
TJLIZOS,O,X,X
TJLIOSZ,O,O,X
TJLIOZS,O,O,X
TJLSIZO,O,X,X
TJLSIOZ,O,X,X
TJLSZIO,O,X,X
TJLSZOI,O,X,X
TJLSOIZ,O,X,X
TJLSOZI,O,X,X
TJLZISO,O,X,X
TJLZIOS,O,X,X
TJLZSIO,O,X,X
TJLZSOI,O,X,X
TJLZOIS,O,X,X
TJLZOSI,O,X,X
TJLOISZ,O,O,X
TJLOIZS,O,O,X
TJLOSIZ,O,O,X
TJLOSZI,O,O,X
TJLOZIS,O,O,X
TJLOZSI,O,O,X
TJSILZO,O,X,X
TJSILOZ,O,X,X
TJSIZLO,O,X,X
TJSIZOL,O,X,X
TJSIOLZ,O,O,X
TJSIOZL,O,O,X
TJSLIZO,O,X,X
TJSLIOZ,O,X,X
TJSLZIO,O,X,X
TJSLZOI,O,X,X
TJSLOIZ,O,X,X
TJSLOZI,O,X,X
TJSZILO,O,X,X
TJSZIOL,O,X,X
TJSZLIO,O,X,X
TJSZLOI,O,X,X
TJSZOIL,O,X,X
TJSZOLI,O,X,X
TJSOILZ,O,O,X
TJSOIZL,O,O,X
TJSOLIZ,O,O,X
TJSOLZI,O,O,X
TJSOZIL,O,O,X
TJSOZLI,O,O,X
TJZILSO,O,X,X
TJZILOS,O,X,X
TJZISLO,O,X,X
TJZISOL,O,X,X
TJZIOLS,O,O,X
TJZIOSL,O,O,X
TJZLISO,O,X,X
TJZLIOS,O,X,X
TJZLSIO,O,X,X
TJZLSOI,O,X,X
TJZLOIS,O,X,X
TJZLOSI,O,X,X
TJZSILO,O,X,X
TJZSIOL,O,X,X
TJZSLIO,O,X,X
TJZSLOI,O,X,X
TJZSOIL,O,X,X
TJZSOLI,O,X,X
TJZOILS,O,O,X
TJZOISL,O,O,X
TJZOLIS,O,O,X
TJZOLSI,O,O,X
TJZOSIL,O,O,X
TJZOSLI,O,O,X
TJOILSZ,X,O,X
TJOILZS,X,O,X
TJOISLZ,X,O,X
TJOISZL,X,O,X
TJOIZLS,X,O,X
TJOIZSL,X,O,X
TJOLISZ,X,O,X
TJOLIZS,X,O,X
TJOLSIZ,X,O,X
TJOLSZI,X,O,X
TJOLZIS,X,O,X
TJOLZSI,X,O,X
TJOSILZ,X,O,X
TJOSIZL,X,O,X
TJOSLIZ,X,O,X
TJOSLZI,X,O,X
TJOSZIL,X,O,X
TJOSZLI,X,O,X
TJOZILS,X,O,X
TJOZISL,X,O,X
TJOZLIS,X,O,X
TJOZLSI,X,O,X
TJOZSIL,X,O,X
TJOZSLI,X,O,X
TSILJZO,O,X,X
TSILJOZ,O,X,X
TSILZJO,O,X,X
TSILZOJ,O,X,X
TSILOJZ,O,X,X
TSILOZJ,O,X,X
TSIJLZO,O,X,X
TSIJLOZ,O,X,X
TSIJZLO,O,X,O
TSIJZOL,O,X,O
TSIJOLZ,O,O,X
TSIJOZL,O,O,O
TSIZLJO,O,X,O
TSIZLOJ,O,X,O
TSIZJLO,O,X,O
TSIZJOL,O,X,O
TSIZOLJ,O,X,O
TSIZOJL,O,X,O
TSIOLJZ,O,O,X
TSIOLZJ,O,O,X
TSIOJLZ,O,O,X
TSIOJZL,O,O,O
TSIOZLJ,O,O,O
TSIOZJL,O,O,O
TSLIJZO,O,X,X
TSLIJOZ,O,X,X
TSLIZJO,O,X,X
TSLIZOJ,O,X,X
TSLIOJZ,O,X,X
TSLIOZJ,O,X,X
TSLJIZO,O,X,X
TSLJIOZ,O,X,X
TSLJZIO,O,X,O
TSLJZOI,O,X,O
TSLJOIZ,O,X,X
TSLJOZI,O,X,O
TSLZIJO,O,X,O
TSLZIOJ,O,X,O
TSLZJIO,O,X,O
TSLZJOI,O,X,O
TSLZOIJ,O,X,O
TSLZOJI,O,X,O
TSLOIJZ,O,X,X
TSLOIZJ,O,X,X
TSLOJIZ,O,X,X
TSLOJZI,O,X,O
TSLOZIJ,O,X,O
TSLOZJI,O,X,O
TSJILZO,O,X,X
TSJILOZ,O,X,X
TSJIZLO,O,X,O
TSJIZOL,O,X,O
TSJIOLZ,O,O,X
TSJIOZL,O,O,O
TSJLIZO,O,X,X
TSJLIOZ,O,X,X
TSJLZIO,O,X,O
TSJLZOI,O,X,O
TSJLOIZ,O,X,X
TSJLOZI,O,X,O
TSJZILO,O,X,O
TSJZIOL,O,X,O
TSJZLIO,O,X,O
TSJZLOI,O,X,O
TSJZOIL,O,X,O
TSJZOLI,O,X,O
TSJOILZ,O,O,X
TSJOIZL,O,O,O
TSJOLIZ,O,O,X
TSJOLZI,O,O,O
TSJOZIL,O,O,O
TSJOZLI,O,O,O
TSZILJO,O,X,O
TSZILOJ,O,X,O
TSZIJLO,O,X,O
TSZIJOL,O,X,O
TSZIOLJ,O,X,O
TSZIOJL,O,X,O
TSZLIJO,O,X,O
TSZLIOJ,O,X,O
TSZLJIO,O,X,O
TSZLJOI,O,X,O
TSZLOIJ,O,X,O
TSZLOJI,O,X,O
TSZJILO,O,X,O
TSZJIOL,O,X,O
TSZJLIO,O,X,O
TSZJLOI,O,X,O
TSZJOIL,O,X,O
TSZJOLI,O,X,O
TSZOILJ,O,X,O
TSZOIJL,O,X,O
TSZOLIJ,O,X,O
TSZOLJI,O,X,O
TSZOJIL,O,X,O
TSZOJLI,O,X,O
TSOILJZ,O,O,X
TSOILZJ,O,O,X
TSOIJLZ,O,O,X
TSOIJZL,O,O,O
TSOIZLJ,O,O,O
TSOIZJL,O,O,O
TSOLIJZ,O,O,X
TSOLIZJ,O,O,X
TSOLJIZ,O,O,X
TSOLJZI,O,O,O
TSOLZIJ,O,O,O
TSOLZJI,O,O,O
TSOJILZ,O,O,X
TSOJIZL,O,O,O
TSOJLIZ,O,O,X
TSOJLZI,O,O,O
TSOJZIL,O,O,O
TSOJZLI,O,O,O
TSOZILJ,O,O,O
TSOZIJL,O,O,O
TSOZLIJ,O,O,O
TSOZLJI,O,O,O
TSOZJIL,O,O,O
TSOZJLI,O,O,O
TZILJSO,O,X,X
TZILJOS,O,X,X
TZILSJO,O,X,X
TZILSOJ,O,X,X
TZILOJS,O,X,X
TZILOSJ,O,X,X
TZIJLSO,O,X,X
TZIJLOS,O,X,X
TZIJSLO,O,X,X
TZIJSOL,O,X,X
TZIJOLS,O,O,X
TZIJOSL,O,O,X
TZISLJO,O,X,O
TZISLOJ,O,X,O
TZISJLO,O,X,O
TZISJOL,O,X,O
TZISOLJ,O,X,O
TZISOJL,O,X,O
TZIOLJS,O,O,X
TZIOLSJ,O,O,X
TZIOJLS,O,O,X
TZIOJSL,O,O,X
TZIOSLJ,O,O,O
TZIOSJL,O,O,O
TZLIJSO,O,X,X
TZLIJOS,O,X,X
TZLISJO,O,X,X
TZLISOJ,O,X,X
TZLIOJS,O,X,X
TZLIOSJ,O,X,X
TZLJISO,O,X,X
TZLJIOS,O,X,X
TZLJSIO,O,X,X
TZLJSOI,O,X,X
TZLJOIS,O,X,X
TZLJOSI,O,X,X
TZLSIJO,O,X,X
TZLSIOJ,O,X,X
TZLSJIO,O,X,X
TZLSJOI,O,X,X
TZLSOIJ,O,X,X
TZLSOJI,O,X,X
TZLOIJS,O,X,X
TZLOISJ,O,X,X
TZLOJIS,O,X,X
TZLOJSI,O,X,X
TZLOSIJ,O,X,X
TZLOSJI,O,X,X
TZJILSO,O,X,X
TZJILOS,O,X,X
TZJISLO,O,X,X
TZJISOL,O,X,X
TZJIOLS,O,O,X
TZJIOSL,O,O,X
TZJLISO,O,X,X
TZJLIOS,O,X,X
TZJLSIO,O,X,X
TZJLSOI,O,X,X
TZJLOIS,O,X,X
TZJLOSI,O,X,X
TZJSILO,O,X,X
TZJSIOL,O,X,X
TZJSLIO,O,X,X
TZJSLOI,O,X,X
TZJSOIL,O,X,X
TZJSOLI,O,X,X
TZJOILS,O,O,X
TZJOISL,O,O,X
TZJOLIS,O,O,X
TZJOLSI,O,O,X
TZJOSIL,O,O,X
TZJOSLI,O,O,X
TZSILJO,O,X,O
TZSILOJ,O,X,O
TZSIJLO,O,X,O
TZSIJOL,O,X,O
TZSIOLJ,O,X,O
TZSIOJL,O,X,O
TZSLIJO,O,X,O
TZSLIOJ,O,X,O
TZSLJIO,O,X,O
TZSLJOI,O,X,O
TZSLOIJ,O,X,O
TZSLOJI,O,X,O
TZSJILO,O,X,O
TZSJIOL,O,X,O
TZSJLIO,O,X,O
TZSJLOI,O,X,O
TZSJOIL,O,X,O
TZSJOLI,O,X,O
TZSOILJ,O,X,O
TZSOIJL,O,X,O
TZSOLIJ,O,X,O
TZSOLJI,O,X,O
TZSOJIL,O,X,O
TZSOJLI,O,X,O
TZOILJS,O,O,X
TZOILSJ,O,O,X
TZOIJLS,O,O,X
TZOIJSL,O,O,X
TZOISLJ,O,O,O
TZOISJL,O,O,O
TZOLIJS,O,O,X
TZOLISJ,O,O,X
TZOLJIS,O,O,X
TZOLJSI,O,O,X
TZOLSIJ,O,O,X
TZOLSJI,O,O,X
TZOJILS,O,O,X
TZOJISL,O,O,X
TZOJLIS,O,O,X
TZOJLSI,O,O,X
TZOJSIL,O,O,X
TZOJSLI,O,O,X
TZOSILJ,O,O,O
TZOSIJL,O,O,O
TZOSLIJ,O,O,O
TZOSLJI,O,O,O
TZOSJIL,O,O,O
TZOSJLI,O,O,O
TOILJSZ,X,O,X
TOILJZS,X,O,X
TOILSJZ,X,O,X
TOILSZJ,X,O,X
TOILZJS,X,O,X
TOILZSJ,X,O,X
TOIJLSZ,X,O,X
TOIJLZS,X,O,X
TOIJSLZ,X,O,X
TOIJSZL,X,O,X
TOIJZLS,X,O,X
TOIJZSL,X,O,X
TOISLJZ,X,O,X
TOISLZJ,X,O,X
TOISJLZ,X,O,X
TOISJZL,X,O,X
TOISZLJ,X,O,O
TOISZJL,X,O,O
TOIZLJS,X,O,X
TOIZLSJ,X,O,X
TOIZJLS,X,O,X
TOIZJSL,X,O,X
TOIZSLJ,X,O,O
TOIZSJL,X,O,O
TOLIJSZ,X,O,X
TOLIJZS,X,O,X
TOLISJZ,X,O,X
TOLISZJ,X,O,X
TOLIZJS,X,O,X
TOLIZSJ,X,O,X
TOLJISZ,X,O,X
TOLJIZS,X,O,X
TOLJSIZ,X,O,X
TOLJSZI,X,O,X
TOLJZIS,X,O,X
TOLJZSI,X,O,X
TOLSIJZ,X,O,X
TOLSIZJ,X,O,X
TOLSJIZ,X,O,X
TOLSJZI,X,O,X
TOLSZIJ,X,O,X
TOLSZJI,X,O,X
TOLZIJS,X,O,X
TOLZISJ,X,O,X
TOLZJIS,X,O,X
TOLZJSI,X,O,X
TOLZSIJ,X,O,X
TOLZSJI,X,O,X
TOJILSZ,X,O,X
TOJILZS,X,O,X
TOJISLZ,X,O,X
TOJISZL,X,O,X
TOJIZLS,X,O,X
TOJIZSL,X,O,X
TOJLISZ,X,O,X
TOJLIZS,X,O,X
TOJLSIZ,X,O,X
TOJLSZI,X,O,X
TOJLZIS,X,O,X
TOJLZSI,X,O,X
TOJSILZ,X,O,X
TOJSIZL,X,O,X
TOJSLIZ,X,O,X
TOJSLZI,X,O,X
TOJSZIL,X,O,X
TOJSZLI,X,O,X
TOJZILS,X,O,X
TOJZISL,X,O,X
TOJZLIS,X,O,X
TOJZLSI,X,O,X
TOJZSIL,X,O,X
TOJZSLI,X,O,X
TOSILJZ,X,O,X
TOSILZJ,X,O,X
TOSIJLZ,X,O,X
TOSIJZL,X,O,O
TOSIZLJ,X,O,O
TOSIZJL,X,O,O
TOSLIJZ,X,O,X
TOSLIZJ,X,O,X
TOSLJIZ,X,O,X
TOSLJZI,X,O,O
TOSLZIJ,X,O,O
TOSLZJI,X,O,O
TOSJILZ,X,O,X
TOSJIZL,X,O,O
TOSJLIZ,X,O,X
TOSJLZI,X,O,O
TOSJZIL,X,O,O
TOSJZLI,X,O,O
TOSZILJ,X,O,O
TOSZIJL,X,O,O
TOSZLIJ,X,O,O
TOSZLJI,X,O,O
TOSZJIL,X,O,O
TOSZJLI,X,O,O
TOZILJS,X,O,X
TOZILSJ,X,O,X
TOZIJLS,X,O,X
TOZIJSL,X,O,X
TOZISLJ,X,O,O
TOZISJL,X,O,O
TOZLIJS,X,O,X
TOZLISJ,X,O,X
TOZLJIS,X,O,X
TOZLJSI,X,O,X
TOZLSIJ,X,O,X
TOZLSJI,X,O,X
TOZJILS,X,O,X
TOZJISL,X,O,X
TOZJLIS,X,O,X
TOZJLSI,X,O,X
TOZJSIL,X,O,X
TOZJSLI,X,O,X
TOZSILJ,X,O,O
TOZSIJL,X,O,O
TOZSLIJ,X,O,O
TOZSLJI,X,O,O
TOZSJIL,X,O,O
TOZSJLI,X,O,O
ITLJSZO,O,X,X
ITLJSOZ,O,X,X
ITLJZSO,O,X,X
ITLJZOS,O,X,X
ITLJOSZ,O,O,X
ITLJOZS,O,O,X
ITLSJZO,O,X,X
ITLSJOZ,O,X,X
ITLSZJO,O,X,X
ITLSZOJ,O,X,X
ITLSOJZ,O,X,X
ITLSOZJ,O,X,X
ITLZJSO,O,X,X
ITLZJOS,O,X,X
ITLZSJO,O,X,X
ITLZSOJ,O,X,X
ITLZOJS,O,X,X
ITLZOSJ,O,X,X
ITLOJSZ,O,O,X
ITLOJZS,O,O,X
ITLOSJZ,O,O,X
ITLOSZJ,O,O,X
ITLOZJS,O,O,X
ITLOZSJ,O,O,X
ITJLSZO,O,X,X
ITJLSOZ,O,X,X
ITJLZSO,O,X,X
ITJLZOS,O,X,X
ITJLOSZ,O,O,X
ITJLOZS,O,O,X
ITJSLZO,O,X,X
ITJSLOZ,O,X,X
ITJSZLO,O,X,X
ITJSZOL,O,X,X
ITJSOLZ,O,O,X
ITJSOZL,O,O,X
ITJZLSO,O,X,X
ITJZLOS,O,X,X
ITJZSLO,O,X,X
ITJZSOL,O,X,X
ITJZOLS,O,O,X
ITJZOSL,O,O,X
ITJOLSZ,X,O,X
ITJOLZS,X,O,X
ITJOSLZ,X,O,X
ITJOSZL,X,O,X
ITJOZLS,X,O,X
ITJOZSL,X,O,X
ITSLJZO,O,X,X
ITSLJOZ,O,X,X
ITSLZJO,O,X,X
ITSLZOJ,O,X,X
ITSLOJZ,O,X,X
ITSLOZJ,O,X,X
ITSJLZO,O,X,X
ITSJLOZ,O,X,X
ITSJZLO,O,X,X
ITSJZOL,O,X,X
ITSJOLZ,O,O,X
ITSJOZL,O,O,X
ITSZLJO,O,X,O
ITSZLOJ,O,X,O
ITSZJLO,O,X,O
ITSZJOL,O,X,O
ITSZOLJ,O,X,O
ITSZOJL,O,X,O
ITSOLJZ,O,O,X
ITSOLZJ,O,O,X
ITSOJLZ,O,O,X
ITSOJZL,O,O,X
ITSOZLJ,O,O,O
ITSOZJL,O,O,O
ITZLJSO,O,X,X
ITZLJOS,O,X,X
ITZLSJO,O,X,X
ITZLSOJ,O,X,X
ITZLOJS,O,X,X
ITZLOSJ,O,X,X
ITZJLSO,O,X,X
ITZJLOS,O,X,X
ITZJSLO,O,X,X
ITZJSOL,O,X,X
ITZJOLS,O,O,X
ITZJOSL,O,O,X
ITZSLJO,O,X,O
ITZSLOJ,O,X,O
ITZSJLO,O,X,O
ITZSJOL,O,X,O
ITZSOLJ,O,X,O
ITZSOJL,O,X,O
ITZOLJS,O,O,X
ITZOLSJ,O,O,X
ITZOJLS,O,O,X
ITZOJSL,O,O,X
ITZOSLJ,O,O,O
ITZOSJL,O,O,O
ITOLJSZ,X,O,X
ITOLJZS,X,O,X
ITOLSJZ,X,O,X
ITOLSZJ,X,O,X
ITOLZJS,X,O,X
ITOLZSJ,X,O,X
ITOJLSZ,X,O,X
ITOJLZS,X,O,X
ITOJSLZ,X,O,X
ITOJSZL,X,O,X
ITOJZLS,X,O,X
ITOJZSL,X,O,X
ITOSLJZ,X,O,X
ITOSLZJ,X,O,X
ITOSJLZ,X,O,X
ITOSJZL,X,O,X
ITOSZLJ,X,O,O
ITOSZJL,X,O,O
ITOZLJS,X,O,X
ITOZLSJ,X,O,X
ITOZJLS,X,O,X
ITOZJSL,X,O,X
ITOZSLJ,X,O,O
ITOZSJL,X,O,O
ILTJSZO,O,X,X
ILTJSOZ,O,X,X
ILTJZSO,O,X,X
ILTJZOS,O,X,X
ILTJOSZ,O,O,X
ILTJOZS,O,O,X
ILTSJZO,O,X,X
ILTSJOZ,O,X,X
ILTSZJO,O,X,X
ILTSZOJ,O,X,X
ILTSOJZ,O,X,X
ILTSOZJ,O,X,X
ILTZJSO,O,X,X
ILTZJOS,O,X,X
ILTZSJO,O,X,X
ILTZSOJ,O,X,X
ILTZOJS,O,X,X
ILTZOSJ,O,X,X
ILTOJSZ,O,O,X
ILTOJZS,O,O,X
ILTOSJZ,O,O,X
ILTOSZJ,O,O,X
ILTOZJS,O,O,X
ILTOZSJ,O,O,X
ILJTSZO,O,X,X
ILJTSOZ,O,X,X
ILJTZSO,O,X,X
ILJTZOS,O,X,X
ILJTOSZ,O,O,X
ILJTOZS,O,O,X
ILJSTZO,O,X,X
ILJSTOZ,O,X,X
ILJSZTO,O,X,X
ILJSZOT,O,X,X
ILJSOTZ,O,O,X
ILJSOZT,O,O,X
ILJZTSO,O,X,X
ILJZTOS,O,X,X
ILJZSTO,O,X,X
ILJZSOT,O,X,X
ILJZOTS,O,O,X
ILJZOST,O,O,X
ILJOTSZ,O,O,X
ILJOTZS,O,O,X
ILJOSTZ,O,O,X
ILJOSZT,O,O,X
ILJOZTS,O,O,X
ILJOZST,O,O,X
ILSTJZO,O,X,X
ILSTJOZ,O,X,X
ILSTZJO,O,X,X
ILSTZOJ,O,X,X
ILSTOJZ,O,X,X
ILSTOZJ,O,X,X
ILSJTZO,O,X,X
ILSJTOZ,O,X,X
ILSJZTO,O,X,X
ILSJZOT,O,X,X
ILSJOTZ,O,O,X
ILSJOZT,O,O,X
ILSZTJO,O,X,O
ILSZTOJ,O,X,O
ILSZJTO,O,X,X
ILSZJOT,O,X,X
ILSZOTJ,O,X,O
ILSZOJT,O,X,X
ILSOTJZ,O,O,X
ILSOTZJ,O,O,X
ILSOJTZ,O,O,X
ILSOJZT,O,O,X
ILSOZTJ,O,O,O
ILSOZJT,O,O,X
ILZTJSO,O,X,X
ILZTJOS,O,X,X
ILZTSJO,O,X,X
ILZTSOJ,O,X,X
ILZTOJS,O,X,X
ILZTOSJ,O,X,X
ILZJTSO,O,X,X
ILZJTOS,O,X,X
ILZJSTO,O,X,X
ILZJSOT,O,X,X
ILZJOTS,O,O,X
ILZJOST,O,O,X
ILZSTJO,O,X,O
ILZSTOJ,O,X,O
ILZSJTO,O,X,X
ILZSJOT,O,X,X
ILZSOTJ,O,X,O
ILZSOJT,O,X,X
ILZOTJS,O,O,X
ILZOTSJ,O,O,X
ILZOJTS,O,O,X
ILZOJST,O,O,X
ILZOSTJ,O,O,O
ILZOSJT,O,O,X
ILOTJSZ,O,O,X
ILOTJZS,O,O,X
ILOTSJZ,O,O,X
ILOTSZJ,O,O,X
ILOTZJS,O,O,X
ILOTZSJ,O,O,X
ILOJTSZ,O,O,X
ILOJTZS,O,O,X
ILOJSTZ,O,O,X
ILOJSZT,O,O,X
ILOJZTS,O,O,X
ILOJZST,O,O,X
ILOSTJZ,O,O,X
ILOSTZJ,O,O,X
ILOSJTZ,O,O,X
ILOSJZT,O,O,X
ILOSZTJ,O,O,O
ILOSZJT,O,O,X
ILOZTJS,O,O,X
ILOZTSJ,O,O,X
ILOZJTS,O,O,X
ILOZJST,O,O,X
ILOZSTJ,O,O,O
ILOZSJT,O,O,X
IJTLSZO,O,X,X
IJTLSOZ,O,X,X
IJTLZSO,O,X,X
IJTLZOS,O,X,X
IJTLOSZ,O,O,X
IJTLOZS,O,O,X
IJTSLZO,O,X,X
IJTSLOZ,O,X,X
IJTSZLO,O,X,X
IJTSZOL,O,X,X
