sequence,v115@9gA8IeA8FeA8BeA8FeE8EeC8JeuEJvhF3gBFiBTjB0?mBiqBRwB,v115@9gA8IeA8FeA8BeA8FeE8EeC8JeFAJvhFxhBTjBfqBq?qBmmB0rB,v115@9gA8IeA8FeA8BeA8FeE8EeC8JeRAJvhFcmBOnBTjBf?qB6qB1wB,v115@9gA8IeA8FeA8BeA8FeE8EeC8JeCAJvhFxhBTjBllBU?qBmrB3rB
TOSILJZ,X,X,X,X
TOSILZJ,X,X,X,X
TOSIJLZ,X,X,X,X
TOSIJZL,X,X,X,X
TOSIZLJ,X,X,X,X
TOSIZJL,X,X,X,X
TOSLIJZ,X,X,X,X
TOSLIZJ,X,X,X,X
TOSLJIZ,X,X,X,X
TOSLJZI,X,X,O,X
TOSLZIJ,X,X,O,X
TOSLZJI,X,X,O,X
TOSJILZ,X,X,X,X
TOSJIZL,X,X,X,X
TOSJLIZ,X,X,X,X
TOSJLZI,X,X,O,X
TOSJZIL,X,X,O,X
TOSJZLI,X,X,O,X
TOSZILJ,X,X,X,X
TOSZIJL,X,X,O,X
TOSZLIJ,X,X,O,X
TOSZLJI,X,X,O,X
TOSZJIL,X,X,O,X
TOSZJLI,X,X,O,X
TOZILJS,X,X,X,X
TOZILSJ,X,X,X,X
TOZIJLS,X,X,X,X
TOZIJSL,X,X,O,X
TOZISLJ,X,X,X,X
TOZISJL,X,X,X,X
TOZLIJS,X,X,X,X
TOZLISJ,X,X,X,X
TOZLJIS,X,X,X,X
TOZLJSI,X,X,X,X
TOZLSIJ,X,X,X,X
TOZLSJI,X,X,X,X
TOZJILS,X,X,X,X
TOZJISL,X,X,O,X
TOZJLIS,X,X,X,X
TOZJLSI,X,X,X,X
TOZJSIL,X,X,O,X
TOZJSLI,X,X,O,X
TOZSILJ,X,X,X,X
TOZSIJL,X,X,O,X
TOZSLIJ,X,X,O,X
TOZSLJI,X,X,O,X
TOZSJIL,X,X,O,X
TOZSJLI,X,X,O,X
ITLJSZO,X,X,X,X
ITLJSOZ,O,X,X,X
ITLJZSO,X,X,X,X
ITLJZOS,X,X,X,X
ITLJOSZ,O,X,X,X
ITLJOZS,X,X,X,X
ITLSJZO,X,X,X,X
ITLSJOZ,O,X,X,X
ITLSZJO,X,X,X,X
ITLSZOJ,X,X,X,X
ITLSOJZ,O,X,X,X
ITLSOZJ,X,X,X,X
ITLZJSO,X,X,X,X
ITLZJOS,X,X,X,X
ITLZSJO,X,X,X,X
ITLZSOJ,X,X,X,X
ITLZOJS,X,X,X,X
ITLZOSJ,X,X,X,X
ITLOJSZ,O,X,X,X
ITLOJZS,X,X,X,X
ITLOSJZ,O,X,X,X
ITLOSZJ,X,X,X,X
ITLOZJS,X,X,X,X
ITLOZSJ,X,X,X,X
ITJLSZO,X,X,X,X
ITJLSOZ,O,X,X,X
ITJLZSO,X,X,X,X
ITJLZOS,X,X,X,X
ITJLOSZ,O,X,X,X
ITJLOZS,X,X,X,X
ITJSLZO,X,X,X,X
ITJSLOZ,X,X,X,X
ITJSZLO,X,X,X,X
ITJSZOL,X,X,X,X
ITJSOLZ,X,X,X,X
ITJSOZL,X,X,X,X
ITJZLSO,X,X,X,X
ITJZLOS,X,X,X,X
ITJZSLO,X,X,X,X
ITJZSOL,O,X,X,X
ITJZOLS,X,X,X,X
ITJZOSL,O,X,X,X
ITJOLSZ,O,X,X,X
ITJOLZS,X,X,X,X
ITJOSLZ,X,X,X,X
ITJOSZL,X,X,X,X
ITJOZLS,X,X,X,X
ITJOZSL,O,X,X,X
ITSLJZO,X,X,X,X
ITSLJOZ,X,X,X,X
ITSLZJO,X,X,X,X
ITSLZOJ,X,X,X,X
ITSLOJZ,X,X,X,X
ITSLOZJ,X,X,X,X
ITSJLZO,X,X,X,X
ITSJLOZ,X,X,X,X
ITSJZLO,X,X,X,X
ITSJZOL,X,X,X,X
ITSJOLZ,X,X,X,X
ITSJOZL,X,X,X,X
ITSZLJO,X,X,X,X
ITSZLOJ,X,X,X,X
ITSZJLO,X,X,X,X
ITSZJOL,X,X,X,X
ITSZOLJ,X,X,X,X
ITSZOJL,X,X,X,X
ITSOLJZ,X,X,X,X
ITSOLZJ,X,X,X,X
ITSOJLZ,X,X,X,X
ITSOJZL,X,X,X,X
ITSOZLJ,X,X,X,X
ITSOZJL,X,X,X,X
ITZLJSO,X,X,X,X
ITZLJOS,X,X,X,X
ITZLSJO,X,X,X,X
ITZLSOJ,X,X,X,X
ITZLOJS,X,X,X,X
ITZLOSJ,X,X,X,X
ITZJLSO,X,X,X,X
ITZJLOS,X,X,X,X
ITZJSLO,X,X,X,X
ITZJSOL,O,X,X,X
ITZJOLS,X,X,X,X
ITZJOSL,O,X,X,X
ITZSLJO,X,X,X,X
ITZSLOJ,X,X,X,X
ITZSJLO,X,X,X,X
ITZSJOL,O,X,X,X
ITZSOLJ,X,X,X,X
ITZSOJL,O,X,X,X
ITZOLJS,X,X,X,X
ITZOLSJ,X,X,X,X
ITZOJLS,X,X,X,X
ITZOJSL,O,X,X,X
ITZOSLJ,X,X,X,X
ITZOSJL,O,X,X,X
ITOLJSZ,O,X,X,X
ITOLJZS,X,X,X,X
ITOLSJZ,O,X,X,X
ITOLSZJ,X,X,X,X
ITOLZJS,X,X,X,X
ITOLZSJ,X,X,X,X
ITOJLSZ,O,X,X,X
ITOJLZS,X,X,X,X
ITOJSLZ,X,X,X,X
ITOJSZL,X,X,X,X
ITOJZLS,X,X,X,X
ITOJZSL,O,X,X,X
ITOSLJZ,X,X,X,X
ITOSLZJ,X,X,X,X
ITOSJLZ,X,X,X,X
ITOSJZL,X,X,X,X
ITOSZLJ,X,X,X,X
ITOSZJL,X,X,X,X
ITOZLJS,X,X,X,X
ITOZLSJ,X,X,X,X
ITOZJLS,X,X,X,X
ITOZJSL,O,X,X,X
ITOZSLJ,X,X,X,X
ITOZSJL,O,X,X,X
ILTJSZO,X,X,X,X
