sequence,v115@JhA8GeC8GeE8AeC8KeT/IvhF6lBlhBcnBeoB5oB/rB,v115@JhA8GeC8GeE8AeC8KeT/IvhF0gBlhB3iB5oBysBGrB,v115@JhA8GeC8GeE8AeC8KeT/IvhF6lB0hBmiB5oB/rB1xB
TLOZIJS,X,O,O
TLOZISJ,X,O,O
TLOZJIS,O,O,O
TLOZJSI,O,O,O
TLOZSIJ,O,O,O
TLOZSJI,O,O,O
TJILSZO,O,O,O
TJILSOZ,O,O,O
TJILZSO,O,O,O
TJILZOS,O,O,O
TJILOSZ,O,O,O
TJILOZS,O,O,O
TJISLZO,O,O,O
TJISLOZ,O,O,O
TJISZLO,O,O,O
TJISZOL,O,O,O
TJISOLZ,O,O,O
TJISOZL,O,O,O
TJIZLSO,O,O,O
TJIZLOS,O,O,O
TJIZSLO,O,O,O
TJIZSOL,O,O,O
TJIZOLS,O,O,O
TJIZOSL,O,O,O
TJIOLSZ,O,O,O
TJIOLZS,O,O,O
TJIOSLZ,O,O,O
TJIOSZL,O,O,O
TJIOZLS,O,O,O
TJIOZSL,O,O,O
TJLISZO,O,O,O
TJLISOZ,O,O,O
TJLIZSO,O,O,O
TJLIZOS,O,O,O
TJLIOSZ,O,O,O
TJLIOZS,O,O,O
TJLSIZO,O,O,O
TJLSIOZ,O,O,O
TJLSZIO,O,O,O
TJLSZOI,O,O,O
TJLSOIZ,O,O,O
TJLSOZI,O,O,O
TJLZISO,O,O,O
TJLZIOS,O,O,O
TJLZSIO,O,O,O
TJLZSOI,O,O,O
TJLZOIS,O,O,O
TJLZOSI,O,O,O
TJLOISZ,O,O,O
TJLOIZS,O,O,O
TJLOSIZ,O,O,O
TJLOSZI,O,O,O
TJLOZIS,O,O,O
TJLOZSI,O,O,O
TJSILZO,O,O,O
TJSILOZ,O,O,O
TJSIZLO,O,O,O
TJSIZOL,O,O,O
TJSIOLZ,O,O,O
TJSIOZL,O,O,O
TJSLIZO,O,O,O
TJSLIOZ,O,O,O
TJSLZIO,O,O,O
TJSLZOI,O,O,O
TJSLOIZ,O,O,O
TJSLOZI,O,O,O
TJSZILO,O,O,O
TJSZIOL,O,O,O
TJSZLIO,O,O,O
TJSZLOI,O,O,O
TJSZOIL,O,O,O
TJSZOLI,O,O,O
TJSOILZ,O,O,O
TJSOIZL,O,O,O
TJSOLIZ,O,O,O
TJSOLZI,O,O,O
TJSOZIL,O,O,O
TJSOZLI,O,O,O
TJZILSO,O,O,O
TJZILOS,O,O,O
TJZISLO,O,O,O
TJZISOL,O,O,O
TJZIOLS,O,O,O
TJZIOSL,O,O,O
TJZLISO,O,O,O
TJZLIOS,O,O,O
TJZLSIO,O,O,O
TJZLSOI,O,O,O
TJZLOIS,O,O,O
TJZLOSI,O,O,O
TJZSILO,O,O,O
TJZSIOL,O,O,O
TJZSLIO,O,O,O
TJZSLOI,O,O,O
TJZSOIL,O,O,O
TJZSOLI,O,O,O
TJZOILS,O,O,O
TJZOISL,O,O,O
TJZOLIS,O,O,O
TJZOLSI,O,O,O
TJZOSIL,O,O,O
TJZOSLI,O,O,O
TJOILSZ,O,O,O
TJOILZS,O,O,O
TJOISLZ,O,O,O
TJOISZL,O,O,O
TJOIZLS,O,O,O
TJOIZSL,O,O,O
TJOLISZ,O,O,O
TJOLIZS,O,O,O
TJOLSIZ,O,O,O
TJOLSZI,O,O,O
TJOLZIS,O,O,O
TJOLZSI,O,O,O
TJOSILZ,O,O,O
TJOSIZL,O,O,O
TJOSLIZ,O,O,O
TJOSLZI,O,O,O
TJOSZIL,O,O,O
TJOSZLI,O,O,O
TJOZILS,O,O,O
TJOZISL,O,O,O
TJOZLIS,O,O,O
TJOZLSI,O,O,O
TJOZSIL,O,O,O
TJOZSLI,O,O,O
TSILJZO,O,X,O
TSILJOZ,O,X,O
TSILZJO,O,X,O
TSILZOJ,O,X,O
TSILOJZ,O,X,O
TSILOZJ,O,X,O
TSIJLZO,O,X,O
TSIJLOZ,O,X,O
TSIJZLO,O,X,O
TSIJZOL,O,X,O
TSIJOLZ,O,X,O
TSIJOZL,O,X,O
TSIZLJO,O,X,O
TSIZLOJ,O,X,O
TSIZJLO,O,X,O
TSIZJOL,O,X,O
TSIZOLJ,O,X,O
TSIZOJL,O,X,O
TSIOLJZ,O,X,O
TSIOLZJ,O,X,O
TSIOJLZ,O,X,O
TSIOJZL,O,X,O
TSIOZLJ,O,X,O
TSIOZJL,O,X,O
TSLIJZO,O,X,O
TSLIJOZ,O,X,O
TSLIZJO,O,X,O
TSLIZOJ,O,X,O
TSLIOJZ,O,X,O
TSLIOZJ,O,X,O
TSLJIZO,O,X,O
TSLJIOZ,O,X,O
TSLJZIO,O,X,O
TSLJZOI,O,X,O
TSLJOIZ,O,X,O
TSLJOZI,O,X,O
TSLZIJO,O,X,O
TSLZIOJ,O,X,O
TSLZJIO,O,X,O
TSLZJOI,O,X,O
TSLZOIJ,O,X,O
TSLZOJI,O,X,O
TSLOIJZ,O,X,O
TSLOIZJ,O,X,O
TSLOJIZ,O,X,O
TSLOJZI,O,X,O
TSLOZIJ,O,X,O
TSLOZJI,O,X,O
TSJILZO,O,X,O
TSJILOZ,O,X,O
TSJIZLO,O,X,O
TSJIZOL,O,X,O
TSJIOLZ,O,X,O
TSJIOZL,O,X,O
TSJLIZO,O,X,O
TSJLIOZ,O,X,O
TSJLZIO,O,X,O
TSJLZOI,O,X,O
TSJLOIZ,O,X,O
TSJLOZI,O,X,O
TSJZILO,O,X,O
TSJZIOL,O,X,O
TSJZLIO,O,X,O
TSJZLOI,O,X,O
TSJZOIL,O,X,O
TSJZOLI,O,X,O
TSJOILZ,O,X,O
TSJOIZL,O,X,O
TSJOLIZ,O,X,O
TSJOLZI,O,X,O
TSJOZIL,O,X,O
TSJOZLI,O,X,O
TSZILJO,O,X,O
TSZILOJ,O,X,O
TSZIJLO,O,X,O
TSZIJOL,O,X,O
TSZIOLJ,O,X,O
TSZIOJL,O,X,O
TSZLIJO,O,X,O
TSZLIOJ,O,X,O
TSZLJIO,O,X,O
TSZLJOI,O,X,O
TSZLOIJ,O,X,O
TSZLOJI,O,X,O
TSZJILO,O,X,O
TSZJIOL,O,X,O
TSZJLIO,O,X,O
TSZJLOI,O,X,O
TSZJOIL,O,X,O
TSZJOLI,O,X,O
TSZOILJ,O,X,O
TSZOIJL,O,X,O
TSZOLIJ,O,X,O
TSZOLJI,O,X,O
TSZOJIL,O,X,O
TSZOJLI,O,X,O
TSOILJZ,O,X,O
TSOILZJ,O,X,O
TSOIJLZ,O,X,O
TSOIJZL,O,X,O
TSOIZLJ,O,X,O
TSOIZJL,O,X,O
TSOLIJZ,O,X,O
TSOLIZJ,O,X,O
TSOLJIZ,O,X,O
TSOLJZI,O,X,O
TSOLZIJ,O,X,O
TSOLZJI,O,X,O
TSOJILZ,O,X,O
TSOJIZL,O,X,O
TSOJLIZ,O,X,O
TSOJLZI,O,X,O
TSOJZIL,O,X,O
TSOJZLI,O,X,O
TSOZILJ,O,X,O
TSOZIJL,O,X,O
TSOZLIJ,O,X,O
TSOZLJI,O,X,O
TSOZJIL,O,X,O
TSOZJLI,O,X,O
TZILJSO,X,O,O
TZILJOS,X,O,O
TZILSJO,X,O,O
TZILSOJ,X,O,O
TZILOJS,X,O,O
TZILOSJ,X,O,O
TZIJLSO,X,O,O
TZIJLOS,X,O,O
TZIJSLO,X,O,O
TZIJSOL,X,O,O
TZIJOLS,X,O,O
TZIJOSL,X,O,O
TZISLJO,X,O,O
TZISLOJ,X,O,O
TZISJLO,X,X,O
TZISJOL,X,X,O
TZISOLJ,X,O,O
TZISOJL,X,X,O
TZIOLJS,X,O,O
TZIOLSJ,X,O,O
TZIOJLS,X,O,O
TZIOJSL,X,O,O
TZIOSLJ,X,O,O
TZIOSJL,X,X,O
TZLIJSO,X,O,O
TZLIJOS,X,O,O
TZLISJO,X,O,O
TZLISOJ,X,O,O
TZLIOJS,X,O,O
TZLIOSJ,X,O,O
TZLJISO,O,O,O
TZLJIOS,O,O,O
TZLJSIO,O,O,O
TZLJSOI,O,O,O
TZLJOIS,O,O,O
TZLJOSI,O,O,O
TZLSIJO,O,O,O
TZLSIOJ,O,O,O
TZLSJIO,O,O,O
TZLSJOI,O,O,O
TZLSOIJ,O,O,O
TZLSOJI,O,O,O
TZLOIJS,X,O,O
TZLOISJ,X,O,O
TZLOJIS,O,O,O
TZLOJSI,O,O,O
TZLOSIJ,O,O,O
TZLOSJI,O,O,O
TZJILSO,O,O,O
TZJILOS,O,O,O
TZJISLO,O,O,O
TZJISOL,O,O,O
TZJIOLS,O,O,O
TZJIOSL,O,O,O
TZJLISO,O,O,O
TZJLIOS,O,O,O
TZJLSIO,O,O,O
TZJLSOI,O,O,O
TZJLOIS,O,O,O
TZJLOSI,O,O,O
TZJSILO,O,O,O
TZJSIOL,O,O,O
TZJSLIO,O,O,O
TZJSLOI,O,O,O
TZJSOIL,O,O,O
TZJSOLI,O,O,O
TZJOILS,O,O,O
TZJOISL,O,O,O
TZJOLIS,O,O,O
TZJOLSI,O,O,O
TZJOSIL,O,O,O
TZJOSLI,O,O,O
TZSILJO,O,O,O
TZSILOJ,O,O,O
TZSIJLO,O,X,O
TZSIJOL,O,X,O
TZSIOLJ,O,O,O
TZSIOJL,O,X,O
TZSLIJO,O,O,O
TZSLIOJ,O,O,O
TZSLJIO,O,O,O
TZSLJOI,O,O,O
TZSLOIJ,O,O,O
TZSLOJI,O,O,O
TZSJILO,O,X,O
TZSJIOL,O,X,O
TZSJLIO,O,X,O
TZSJLOI,O,X,O
TZSJOIL,O,X,O
TZSJOLI,O,X,O
TZSOILJ,O,O,O
TZSOIJL,O,X,O
TZSOLIJ,O,O,O
TZSOLJI,O,O,O
TZSOJIL,O,X,O
TZSOJLI,O,X,O
TZOILJS,X,O,O
TZOILSJ,X,O,O
TZOIJLS,X,O,O
TZOIJSL,X,O,O
TZOISLJ,X,O,O
TZOISJL,X,X,O
TZOLIJS,X,O,O
TZOLISJ,X,O,O
TZOLJIS,O,O,O
TZOLJSI,O,O,O
TZOLSIJ,O,O,O
TZOLSJI,O,O,O
TZOJILS,O,O,O
TZOJISL,O,O,O
TZOJLIS,O,O,O
TZOJLSI,O,O,O
TZOJSIL,O,O,O
TZOJSLI,O,O,O
TZOSILJ,O,O,O
TZOSIJL,O,X,O
TZOSLIJ,O,O,O
TZOSLJI,O,O,O
TZOSJIL,O,X,O
TZOSJLI,O,X,O
TOILJSZ,O,O,O
TOILJZS,O,O,O
TOILSJZ,O,O,O
TOILSZJ,X,O,O
TOILZJS,X,O,O
TOILZSJ,X,O,O
TOIJLSZ,O,O,O
TOIJLZS,O,O,O
TOIJSLZ,O,O,O
TOIJSZL,O,O,O
TOIJZLS,O,O,O
TOIJZSL,O,O,O
TOISLJZ,O,X,O
TOISLZJ,X,X,O
TOISJLZ,O,X,O
TOISJZL,O,X,O
TOISZLJ,X,X,O
TOISZJL,X,X,O
TOIZLJS,X,O,O
TOIZLSJ,X,O,O
TOIZJLS,X,O,O
TOIZJSL,X,O,O
TOIZSLJ,X,O,O
TOIZSJL,X,X,O
TOLIJSZ,O,O,O
TOLIJZS,O,O,O
TOLISJZ,O,O,O
TOLISZJ,X,O,O
TOLIZJS,X,O,O
TOLIZSJ,X,O,O
TOLJISZ,O,O,O
TOLJIZS,O,O,O
TOLJSIZ,O,O,O
TOLJSZI,O,O,O
TOLJZIS,O,O,O
TOLJZSI,O,O,O
TOLSIJZ,O,O,O
TOLSIZJ,O,O,O
TOLSJIZ,O,O,O
TOLSJZI,O,O,O
TOLSZIJ,O,O,O
TOLSZJI,O,O,O
TOLZIJS,X,O,O
TOLZISJ,X,O,O
TOLZJIS,O,O,O
TOLZJSI,O,O,O
TOLZSIJ,O,O,O
TOLZSJI,O,O,O
TOJILSZ,O,O,O
TOJILZS,O,O,O
TOJISLZ,O,O,O
TOJISZL,O,O,O
TOJIZLS,O,O,O
TOJIZSL,O,O,O
TOJLISZ,O,O,O
TOJLIZS,O,O,O
TOJLSIZ,O,O,O
TOJLSZI,O,O,O
TOJLZIS,O,O,O
TOJLZSI,O,O,O
TOJSILZ,O,O,O
TOJSIZL,O,O,O
TOJSLIZ,O,O,O
TOJSLZI,O,O,O
TOJSZIL,O,O,O
TOJSZLI,O,O,O
TOJZILS,O,O,O
TOJZISL,O,O,O
TOJZLIS,O,O,O
TOJZLSI,O,O,O
TOJZSIL,O,O,O
TOJZSLI,O,O,O
TOSILJZ,O,X,O
TOSILZJ,O,X,O
TOSIJLZ,O,X,O
TOSIJZL,O,X,O
TOSIZLJ,O,X,O
TOSIZJL,O,X,O
TOSLIJZ,O,X,O
TOSLIZJ,O,X,O
TOSLJIZ,O,X,O
TOSLJZI,O,X,O
TOSLZIJ,O,X,O
TOSLZJI,O,X,O
TOSJILZ,O,X,O
TOSJIZL,O,X,O
TOSJLIZ,O,X,O
TOSJLZI,O,X,O
TOSJZIL,O,X,O
TOSJZLI,O,X,O
TOSZILJ,O,X,O
TOSZIJL,O,X,O
TOSZLIJ,O,X,O
TOSZLJI,O,X,O
TOSZJIL,O,X,O
TOSZJLI,O,X,O
TOZILJS,X,O,O
TOZILSJ,X,O,O
TOZIJLS,X,O,O
TOZIJSL,X,O,O
TOZISLJ,X,O,O
TOZISJL,X,X,O
TOZLIJS,X,O,O
TOZLISJ,X,O,O
TOZLJIS,O,O,O
TOZLJSI,O,O,O
TOZLSIJ,O,O,O
TOZLSJI,O,O,O
TOZJILS,O,O,O
TOZJISL,O,O,O
TOZJLIS,O,O,O
TOZJLSI,O,O,O
TOZJSIL,O,O,O
TOZJSLI,O,O,O
TOZSILJ,O,O,O
TOZSIJL,O,X,O
TOZSLIJ,O,O,O
TOZSLJI,O,O,O
TOZSJIL,O,X,O
TOZSJLI,O,X,O
ITLJSZO,O,O,O
ITLJSOZ,O,O,O
ITLJZSO,O,O,O
ITLJZOS,O,O,O
ITLJOSZ,O,O,O
ITLJOZS,O,O,O
ITLSJZO,O,O,O
ITLSJOZ,O,O,O
ITLSZJO,X,O,O
ITLSZOJ,X,O,O
ITLSOJZ,O,O,O
ITLSOZJ,X,O,O
ITLZJSO,X,O,O
ITLZJOS,X,O,O
ITLZSJO,X,O,O
ITLZSOJ,X,O,O
ITLZOJS,X,O,O
ITLZOSJ,X,O,O
ITLOJSZ,O,O,O
ITLOJZS,O,O,O
ITLOSJZ,O,O,O
ITLOSZJ,X,O,O
ITLOZJS,X,O,O
ITLOZSJ,X,O,O
ITJLSZO,O,O,O
ITJLSOZ,O,O,O
ITJLZSO,O,O,O
ITJLZOS,O,O,O
ITJLOSZ,O,O,O
ITJLOZS,O,O,O
ITJSLZO,O,O,O
ITJSLOZ,O,O,O
ITJSZLO,O,O,O
ITJSZOL,O,O,O
ITJSOLZ,O,O,O
ITJSOZL,O,O,O
ITJZLSO,O,O,O
ITJZLOS,O,O,O
ITJZSLO,O,O,O
ITJZSOL,O,O,O
ITJZOLS,O,O,O
ITJZOSL,O,O,O
ITJOLSZ,O,O,O
ITJOLZS,O,O,O
ITJOSLZ,O,O,O
ITJOSZL,O,O,O
ITJOZLS,O,O,O
ITJOZSL,O,O,O
ITSLJZO,O,X,O
ITSLJOZ,O,X,O
ITSLZJO,X,X,O
ITSLZOJ,X,X,O
ITSLOJZ,O,X,O
ITSLOZJ,X,X,O
ITSJLZO,O,X,O
ITSJLOZ,O,X,O
ITSJZLO,O,X,O
ITSJZOL,O,X,O
ITSJOLZ,O,X,O
ITSJOZL,O,X,O
ITSZLJO,X,X,O
ITSZLOJ,X,X,O
ITSZJLO,X,X,O
ITSZJOL,X,X,O
ITSZOLJ,X,X,O
ITSZOJL,X,X,O
ITSOLJZ,O,X,O
ITSOLZJ,X,X,O
ITSOJLZ,O,X,O
ITSOJZL,O,X,O
ITSOZLJ,X,X,O
ITSOZJL,X,X,O
ITZLJSO,X,O,O
ITZLJOS,X,O,O
ITZLSJO,X,O,O
ITZLSOJ,X,O,O
ITZLOJS,X,O,O
ITZLOSJ,X,O,O
ITZJLSO,X,O,O
ITZJLOS,X,O,O
ITZJSLO,X,O,O
ITZJSOL,X,O,O
ITZJOLS,X,O,O
ITZJOSL,X,O,O
ITZSLJO,X,O,O
ITZSLOJ,X,O,O
ITZSJLO,X,X,O
ITZSJOL,X,X,O
ITZSOLJ,X,O,O
ITZSOJL,X,X,O
ITZOLJS,X,O,O
ITZOLSJ,X,O,O
ITZOJLS,X,O,O
ITZOJSL,X,O,O
ITZOSLJ,X,O,O
ITZOSJL,X,X,O
ITOLJSZ,O,O,O
ITOLJZS,O,O,O
ITOLSJZ,O,O,O
ITOLSZJ,X,O,O
ITOLZJS,X,O,O
ITOLZSJ,X,O,O
ITOJLSZ,O,O,O
ITOJLZS,O,O,O
ITOJSLZ,O,O,O
ITOJSZL,O,O,O
ITOJZLS,O,O,O
ITOJZSL,O,O,O
ITOSLJZ,O,X,O
ITOSLZJ,X,X,O
ITOSJLZ,O,X,O
ITOSJZL,O,X,O
ITOSZLJ,X,X,O
ITOSZJL,X,X,O
ITOZLJS,X,O,O
ITOZLSJ,X,O,O
ITOZJLS,X,O,O
ITOZJSL,X,O,O
ITOZSLJ,X,O,O
ITOZSJL,X,X,O
ILTJSZO,O,O,O
ILTJSOZ,O,O,O
ILTJZSO,O,O,O
ILTJZOS,O,O,O
ILTJOSZ,O,O,O
ILTJOZS,O,O,O
ILTSJZO,O,O,O
ILTSJOZ,O,O,O
ILTSZJO,X,O,O
ILTSZOJ,X,O,O
ILTSOJZ,O,O,O
ILTSOZJ,X,O,O
ILTZJSO,X,O,O
ILTZJOS,X,O,O
ILTZSJO,X,O,O
ILTZSOJ,X,O,O
ILTZOJS,X,O,O
ILTZOSJ,X,O,O
ILTOJSZ,O,O,O
ILTOJZS,O,O,O
ILTOSJZ,O,O,O
ILTOSZJ,X,O,O
ILTOZJS,X,O,O
ILTOZSJ,X,O,O
ILJTSZO,O,O,O
ILJTSOZ,O,O,O
ILJTZSO,O,O,O
ILJTZOS,O,O,O
ILJTOSZ,O,O,O
ILJTOZS,O,O,O
ILJSTZO,O,O,O
ILJSTOZ,O,O,O
ILJSZTO,O,O,O
ILJSZOT,O,O,O
ILJSOTZ,O,O,O
ILJSOZT,O,O,O
ILJZTSO,O,O,X
ILJZTOS,O,O,X
ILJZSTO,O,O,X
ILJZSOT,O,O,X
ILJZOTS,O,O,X
ILJZOST,O,O,X
ILJOTSZ,O,O,O
ILJOTZS,O,O,O
ILJOSTZ,O,O,O
ILJOSZT,O,O,O
ILJOZTS,O,O,X
ILJOZST,O,O,X
ILSTJZO,O,O,O
ILSTJOZ,O,O,O
ILSTZJO,O,O,O
ILSTZOJ,O,O,O
ILSTOJZ,O,O,O
ILSTOZJ,O,O,O
ILSJTZO,O,O,O
ILSJTOZ,O,O,O
ILSJZTO,O,O,O
ILSJZOT,O,O,O
ILSJOTZ,O,O,O
ILSJOZT,O,O,O
ILSZTJO,O,O,O
ILSZTOJ,O,O,O
ILSZJTO,O,O,O
ILSZJOT,O,O,O
ILSZOTJ,O,O,O
ILSZOJT,O,O,O
ILSOTJZ,O,O,O
ILSOTZJ,O,O,O
ILSOJTZ,O,O,O
ILSOJZT,O,O,O
ILSOZTJ,O,O,O
ILSOZJT,O,O,O
ILZTJSO,X,O,O
ILZTJOS,X,O,O
ILZTSJO,X,O,O
ILZTSOJ,X,O,O
ILZTOJS,X,O,O
ILZTOSJ,X,O,O
ILZJTSO,O,O,X
ILZJTOS,O,O,X
ILZJSTO,O,O,X
ILZJSOT,O,O,X
ILZJOTS,O,O,X
ILZJOST,O,O,X
ILZSTJO,O,O,O
ILZSTOJ,O,O,O
ILZSJTO,O,O,O
ILZSJOT,O,O,O
ILZSOTJ,O,O,O
ILZSOJT,O,O,O
ILZOTJS,X,O,O
ILZOTSJ,X,O,O
ILZOJTS,O,O,X
ILZOJST,O,O,X
ILZOSTJ,O,O,O
ILZOSJT,O,O,O
ILOTJSZ,O,O,O
ILOTJZS,O,O,O
ILOTSJZ,O,O,O
ILOTSZJ,X,O,O
ILOTZJS,X,O,O
ILOTZSJ,X,O,O
ILOJTSZ,O,O,O
ILOJTZS,O,O,O
ILOJSTZ,O,O,O
ILOJSZT,O,O,O
ILOJZTS,O,O,X
ILOJZST,O,O,X
ILOSTJZ,O,O,O
ILOSTZJ,O,O,O
ILOSJTZ,O,O,O
ILOSJZT,O,O,O
ILOSZTJ,O,O,O
ILOSZJT,O,O,O
ILOZTJS,X,O,O
ILOZTSJ,X,O,O
ILOZJTS,O,O,X
ILOZJST,O,O,X
ILOZSTJ,O,O,O
ILOZSJT,O,O,O
IJTLSZO,O,O,O
IJTLSOZ,O,O,O
IJTLZSO,O,O,O
IJTLZOS,O,O,O
IJTLOSZ,O,O,O
IJTLOZS,O,O,O
IJTSLZO,O,O,O
IJTSLOZ,O,O,O
IJTSZLO,O,O,O
