sequence,v115@RhB8AeA8FeI8KeT/IvhFOlBlhB3iB5oBUrByxB,v115@RhB8AeA8FeI8KeT/IvhFOlB/nBaoB5oBFrB0rB
TLJOISZ,X,O
TLJOIZS,X,X
TLJOSIZ,X,O
TLJOSZI,X,X
TLJOZIS,X,X
TLJOZSI,X,X
TLSIJZO,X,X
TLSIJOZ,X,O
TLSIZJO,X,X
TLSIZOJ,X,X
TLSIOJZ,X,O
TLSIOZJ,X,X
TLSJIZO,X,X
TLSJIOZ,X,O
TLSJZIO,X,X
TLSJZOI,X,X
TLSJOIZ,X,O
TLSJOZI,X,X
TLSZIJO,X,X
TLSZIOJ,X,X
TLSZJIO,X,X
TLSZJOI,X,X
TLSZOIJ,X,X
TLSZOJI,X,X
TLSOIJZ,X,O
TLSOIZJ,X,X
TLSOJIZ,X,O
TLSOJZI,X,X
TLSOZIJ,X,X
TLSOZJI,X,X
TLZIJSO,X,X
TLZIJOS,X,X
TLZISJO,X,X
TLZISOJ,X,X
TLZIOJS,X,X
TLZIOSJ,X,X
TLZJISO,X,X
TLZJIOS,X,X
TLZJSIO,X,X
TLZJSOI,X,X
TLZJOIS,X,X
TLZJOSI,X,X
TLZSIJO,X,X
TLZSIOJ,X,X
TLZSJIO,X,X
TLZSJOI,X,X
TLZSOIJ,X,X
TLZSOJI,X,X
TLZOIJS,X,X
TLZOISJ,X,X
TLZOJIS,X,X
TLZOJSI,X,X
TLZOSIJ,X,X
TLZOSJI,X,X
TLOIJSZ,X,O
TLOIJZS,X,X
TLOISJZ,X,O
TLOISZJ,X,X
TLOIZJS,X,X
TLOIZSJ,X,X
TLOJISZ,X,O
TLOJIZS,X,X
TLOJSIZ,X,O
TLOJSZI,X,X
TLOJZIS,X,X
TLOJZSI,X,X
TLOSIJZ,X,O
TLOSIZJ,X,X
TLOSJIZ,X,O
TLOSJZI,X,X
TLOSZIJ,X,X
TLOSZJI,X,X
TLOZIJS,X,X
TLOZISJ,X,X
TLOZJIS,X,X
TLOZJSI,X,X
TLOZSIJ,X,X
TLOZSJI,X,X
TJILSZO,X,X
TJILSOZ,X,O
TJILZSO,X,X
TJILZOS,X,X
TJILOSZ,X,O
TJILOZS,X,X
TJISLZO,X,X
TJISLOZ,X,O
TJISZLO,X,X
TJISZOL,X,X
TJISOLZ,X,O
TJISOZL,X,X
TJIZLSO,X,X
TJIZLOS,X,X
TJIZSLO,X,X
TJIZSOL,X,X
TJIZOLS,X,X
TJIZOSL,X,X
TJIOLSZ,X,O
TJIOLZS,X,X
TJIOSLZ,X,O
TJIOSZL,X,X
TJIOZLS,X,X
TJIOZSL,X,X
TJLISZO,X,X
TJLISOZ,X,O
TJLIZSO,X,X
TJLIZOS,X,X
TJLIOSZ,X,O
TJLIOZS,X,X
TJLSIZO,X,X
TJLSIOZ,X,O
TJLSZIO,X,X
TJLSZOI,X,X
TJLSOIZ,X,O
TJLSOZI,X,X
TJLZISO,X,X
TJLZIOS,X,X
TJLZSIO,X,X
TJLZSOI,X,X
TJLZOIS,X,X
TJLZOSI,X,X
TJLOISZ,X,O
TJLOIZS,X,X
TJLOSIZ,X,O
TJLOSZI,X,X
TJLOZIS,X,X
TJLOZSI,X,X
TJSILZO,X,X
TJSILOZ,X,O
TJSIZLO,X,X
TJSIZOL,X,X
TJSIOLZ,X,O
TJSIOZL,X,X
TJSLIZO,X,X
TJSLIOZ,X,O
TJSLZIO,X,X
TJSLZOI,X,X
TJSLOIZ,X,O
TJSLOZI,X,X
TJSZILO,X,X
TJSZIOL,X,X
TJSZLIO,X,X
TJSZLOI,X,X
TJSZOIL,X,X
TJSZOLI,X,X
TJSOILZ,X,O
TJSOIZL,X,X
TJSOLIZ,X,O
TJSOLZI,X,X
TJSOZIL,X,X
TJSOZLI,X,X
TJZILSO,X,X
TJZILOS,X,X
TJZISLO,X,X
TJZISOL,X,X
TJZIOLS,X,X
TJZIOSL,X,X
TJZLISO,X,X
TJZLIOS,X,X
TJZLSIO,X,X
TJZLSOI,X,X
TJZLOIS,X,X
TJZLOSI,X,X
TJZSILO,X,X
TJZSIOL,X,X
TJZSLIO,X,X
TJZSLOI,X,X
TJZSOIL,X,X
TJZSOLI,X,X
TJZOILS,X,X
TJZOISL,X,X
TJZOLIS,X,X
TJZOLSI,X,X
TJZOSIL,X,X
TJZOSLI,X,X
TJOILSZ,X,O
TJOILZS,X,X
TJOISLZ,X,O
TJOISZL,X,X
TJOIZLS,X,X
TJOIZSL,X,X
TJOLISZ,X,O
TJOLIZS,X,X
TJOLSIZ,X,O
TJOLSZI,X,X
TJOLZIS,X,X
TJOLZSI,X,X
TJOSILZ,X,O
TJOSIZL,X,X
TJOSLIZ,X,O
TJOSLZI,X,X
TJOSZIL,X,X
TJOSZLI,X,X
TJOZILS,X,X
TJOZISL,X,X
TJOZLIS,X,X
TJOZLSI,X,X
TJOZSIL,X,X
TJOZSLI,X,X
TSILJZO,X,X
TSILJOZ,X,O
TSILZJO,X,X
TSILZOJ,X,X
TSILOJZ,X,O
TSILOZJ,X,X
TSIJLZO,X,X
TSIJLOZ,X,O
TSIJZLO,X,X
TSIJZOL,X,X
TSIJOLZ,X,O
TSIJOZL,X,X
TSIZLJO,X,X
TSIZLOJ,X,X
TSIZJLO,X,X
TSIZJOL,X,X
TSIZOLJ,X,X
TSIZOJL,X,X
TSIOLJZ,X,O
TSIOLZJ,X,X
TSIOJLZ,X,O
TSIOJZL,X,X
TSIOZLJ,X,X
TSIOZJL,X,X
TSLIJZO,X,X
TSLIJOZ,X,O
TSLIZJO,X,X
TSLIZOJ,X,X
TSLIOJZ,X,O
TSLIOZJ,X,X
TSLJIZO,X,X
TSLJIOZ,X,O
TSLJZIO,X,X
TSLJZOI,X,X
TSLJOIZ,X,O
TSLJOZI,X,X
TSLZIJO,X,X
TSLZIOJ,X,X
TSLZJIO,X,X
TSLZJOI,X,X
TSLZOIJ,X,X
TSLZOJI,X,X
TSLOIJZ,X,O
TSLOIZJ,X,X
TSLOJIZ,X,O
TSLOJZI,X,X
TSLOZIJ,X,X
TSLOZJI,X,X
TSJILZO,X,X
TSJILOZ,X,O
TSJIZLO,X,X
TSJIZOL,X,X
TSJIOLZ,X,O
TSJIOZL,X,X
TSJLIZO,X,X
TSJLIOZ,X,O
TSJLZIO,X,X
TSJLZOI,X,X
TSJLOIZ,X,O
TSJLOZI,X,X
TSJZILO,X,X
TSJZIOL,X,X
TSJZLIO,X,X
TSJZLOI,X,X
TSJZOIL,X,X
TSJZOLI,X,X
TSJOILZ,X,O
TSJOIZL,X,X
TSJOLIZ,X,O
TSJOLZI,X,X
TSJOZIL,X,X
TSJOZLI,X,X
TSZILJO,X,X
TSZILOJ,X,X
TSZIJLO,X,X
TSZIJOL,X,X
TSZIOLJ,X,X
TSZIOJL,X,X
TSZLIJO,X,X
TSZLIOJ,X,X
TSZLJIO,X,X
TSZLJOI,X,X
TSZLOIJ,X,X
TSZLOJI,X,X
TSZJILO,X,X
TSZJIOL,X,X
TSZJLIO,X,X
TSZJLOI,X,X
TSZJOIL,X,X
TSZJOLI,X,X
TSZOILJ,X,X
TSZOIJL,X,X
TSZOLIJ,X,X
TSZOLJI,X,X
TSZOJIL,X,X
TSZOJLI,X,X
TSOILJZ,X,O
TSOILZJ,X,X
TSOIJLZ,X,O
TSOIJZL,X,X
TSOIZLJ,X,X
TSOIZJL,X,X
TSOLIJZ,X,O
TSOLIZJ,X,X
TSOLJIZ,X,O
TSOLJZI,X,X
TSOLZIJ,X,X
TSOLZJI,X,X
TSOJILZ,X,O
TSOJIZL,X,X
TSOJLIZ,X,O
TSOJLZI,X,X
TSOJZIL,X,X
TSOJZLI,X,X
TSOZILJ,X,X
TSOZIJL,X,X
TSOZLIJ,X,X
TSOZLJI,X,X
TSOZJIL,X,X
TSOZJLI,X,X
TZILJSO,X,X
TZILJOS,X,X
TZILSJO,X,X
TZILSOJ,X,X
TZILOJS,X,X
TZILOSJ,X,X
TZIJLSO,X,X
TZIJLOS,X,X
TZIJSLO,X,X
TZIJSOL,X,X
TZIJOLS,X,X
TZIJOSL,X,X
TZISLJO,X,X
TZISLOJ,X,X
TZISJLO,X,X
TZISJOL,X,X
TZISOLJ,X,X
TZISOJL,X,X
TZIOLJS,X,X
TZIOLSJ,X,X
TZIOJLS,X,X
TZIOJSL,X,X
TZIOSLJ,X,X
TZIOSJL,X,X
TZLIJSO,X,X
TZLIJOS,X,X
TZLISJO,X,X
TZLISOJ,X,X
TZLIOJS,X,X
TZLIOSJ,X,X
TZLJISO,X,X
TZLJIOS,X,X
TZLJSIO,X,X
TZLJSOI,X,X
TZLJOIS,X,X
TZLJOSI,X,X
TZLSIJO,X,X
TZLSIOJ,X,X
TZLSJIO,X,X
TZLSJOI,X,X
TZLSOIJ,X,X
TZLSOJI,X,X
TZLOIJS,X,X
TZLOISJ,X,X
TZLOJIS,X,X
TZLOJSI,X,X
TZLOSIJ,X,X
TZLOSJI,X,X
TZJILSO,X,X
TZJILOS,X,X
TZJISLO,X,X
TZJISOL,X,X
TZJIOLS,X,X
TZJIOSL,X,X
TZJLISO,X,X
TZJLIOS,X,X
TZJLSIO,X,X
TZJLSOI,X,X
TZJLOIS,X,X
TZJLOSI,X,X
TZJSILO,X,X
TZJSIOL,X,X
TZJSLIO,X,X
TZJSLOI,X,X
TZJSOIL,X,X
TZJSOLI,X,X
TZJOILS,X,X
TZJOISL,X,X
TZJOLIS,X,X
TZJOLSI,X,X
TZJOSIL,X,X
TZJOSLI,X,X
TZSILJO,X,X
TZSILOJ,X,X
TZSIJLO,X,X
TZSIJOL,X,X
TZSIOLJ,X,X
TZSIOJL,X,X
TZSLIJO,X,X
TZSLIOJ,X,X
TZSLJIO,X,X
TZSLJOI,X,X
TZSLOIJ,X,X
TZSLOJI,X,X
TZSJILO,X,X
TZSJIOL,X,X
TZSJLIO,X,X
TZSJLOI,X,X
TZSJOIL,X,X
TZSJOLI,X,X
TZSOILJ,X,X
TZSOIJL,X,X
TZSOLIJ,X,X
TZSOLJI,X,X
TZSOJIL,X,X
TZSOJLI,X,X
TZOILJS,X,X
TZOILSJ,X,X
TZOIJLS,X,X
TZOIJSL,X,X
TZOISLJ,X,X
TZOISJL,X,X
TZOLIJS,X,X
TZOLISJ,X,X
TZOLJIS,X,X
TZOLJSI,X,X
TZOLSIJ,X,X
TZOLSJI,X,X
TZOJILS,X,X
TZOJISL,X,X
TZOJLIS,X,X
TZOJLSI,X,X
TZOJSIL,X,X
TZOJSLI,X,X
TZOSILJ,X,X
TZOSIJL,X,X
TZOSLIJ,X,X
TZOSLJI,X,X
TZOSJIL,X,X
TZOSJLI,X,X
TOILJSZ,X,O
TOILJZS,X,X
TOILSJZ,X,O
TOILSZJ,X,X
TOILZJS,X,X
TOILZSJ,X,X
TOIJLSZ,X,O
TOIJLZS,X,X
TOIJSLZ,X,O
TOIJSZL,X,X
TOIJZLS,X,X
TOIJZSL,X,X
TOISLJZ,X,O
TOISLZJ,X,X
TOISJLZ,X,O
TOISJZL,X,X
TOISZLJ,X,X
TOISZJL,X,X
TOIZLJS,X,X
TOIZLSJ,X,X
TOIZJLS,X,X
TOIZJSL,X,X
TOIZSLJ,X,X
TOIZSJL,X,X
TOLIJSZ,X,O
TOLIJZS,X,X
TOLISJZ,X,O
TOLISZJ,X,X
TOLIZJS,X,X
TOLIZSJ,X,X
TOLJISZ,X,O
TOLJIZS,X,X
TOLJSIZ,X,O
TOLJSZI,X,X
TOLJZIS,X,X
TOLJZSI,X,X
TOLSIJZ,X,O
TOLSIZJ,X,X
TOLSJIZ,X,O
TOLSJZI,X,X
TOLSZIJ,X,X
TOLSZJI,X,X
TOLZIJS,X,X
TOLZISJ,X,X
TOLZJIS,X,X
TOLZJSI,X,X
TOLZSIJ,X,X
TOLZSJI,X,X
TOJILSZ,X,O
TOJILZS,X,X
TOJISLZ,X,O
TOJISZL,X,X
TOJIZLS,X,X
TOJIZSL,X,X
TOJLISZ,X,O
TOJLIZS,X,X
TOJLSIZ,X,O
TOJLSZI,X,X
TOJLZIS,X,X
TOJLZSI,X,X
TOJSILZ,X,O
TOJSIZL,X,X
TOJSLIZ,X,O
TOJSLZI,X,X
TOJSZIL,X,X
TOJSZLI,X,X
TOJZILS,X,X
TOJZISL,X,X
TOJZLIS,X,X
TOJZLSI,X,X
TOJZSIL,X,X
TOJZSLI,X,X
TOSILJZ,X,O
TOSILZJ,X,X
TOSIJLZ,X,O
TOSIJZL,X,X
TOSIZLJ,X,X
TOSIZJL,X,X
TOSLIJZ,X,O
TOSLIZJ,X,X
TOSLJIZ,X,O
TOSLJZI,X,X
TOSLZIJ,X,X
TOSLZJI,X,X
TOSJILZ,X,O
TOSJIZL,X,X
TOSJLIZ,X,O
TOSJLZI,X,X
TOSJZIL,X,X
TOSJZLI,X,X
TOSZILJ,X,X
TOSZIJL,X,X
TOSZLIJ,X,X
TOSZLJI,X,X
TOSZJIL,X,X
TOSZJLI,X,X
TOZILJS,X,X
TOZILSJ,X,X
TOZIJLS,X,X
TOZIJSL,X,X
TOZISLJ,X,X
TOZISJL,X,X
TOZLIJS,X,X
TOZLISJ,X,X
TOZLJIS,X,X
TOZLJSI,X,X
TOZLSIJ,X,X
TOZLSJI,X,X
TOZJILS,X,X
TOZJISL,X,X
TOZJLIS,X,X
TOZJLSI,X,X
TOZJSIL,X,X
TOZJSLI,X,X
TOZSILJ,X,X
TOZSIJL,X,X
TOZSLIJ,X,X
TOZSLJI,X,X
TOZSJIL,X,X
TOZSJLI,X,X
ITLJSZO,X,X
ITLJSOZ,X,O
ITLJZSO,X,X
ITLJZOS,X,X
ITLJOSZ,X,O
ITLJOZS,X,X
ITLSJZO,X,X
ITLSJOZ,X,O
ITLSZJO,X,X
ITLSZOJ,X,X
ITLSOJZ,X,O
ITLSOZJ,X,X
ITLZJSO,X,X
ITLZJOS,X,X
ITLZSJO,X,X
ITLZSOJ,X,X
ITLZOJS,X,X
ITLZOSJ,X,X
ITLOJSZ,X,O
ITLOJZS,X,X
ITLOSJZ,X,O
ITLOSZJ,X,X
ITLOZJS,X,X
ITLOZSJ,X,X
ITJLSZO,X,X
ITJLSOZ,X,O
ITJLZSO,X,X
ITJLZOS,X,X
ITJLOSZ,X,O
ITJLOZS,X,X
ITJSLZO,X,X
ITJSLOZ,X,O
ITJSZLO,X,X
ITJSZOL,X,X
ITJSOLZ,X,O
ITJSOZL,X,X
ITJZLSO,X,X
ITJZLOS,X,X
ITJZSLO,X,X
ITJZSOL,X,X
ITJZOLS,X,X
ITJZOSL,X,X
ITJOLSZ,X,O
ITJOLZS,X,X
ITJOSLZ,X,O
ITJOSZL,X,X
ITJOZLS,X,X
ITJOZSL,X,X
ITSLJZO,X,X
ITSLJOZ,X,O
ITSLZJO,X,X
ITSLZOJ,X,X
ITSLOJZ,X,O
ITSLOZJ,X,X
ITSJLZO,X,X
ITSJLOZ,X,O
ITSJZLO,X,X
ITSJZOL,X,X
ITSJOLZ,X,O
ITSJOZL,X,X
ITSZLJO,X,X
ITSZLOJ,X,X
ITSZJLO,X,X
ITSZJOL,X,X
ITSZOLJ,X,X
ITSZOJL,X,X
ITSOLJZ,X,O
ITSOLZJ,X,X
ITSOJLZ,X,O
ITSOJZL,X,X
ITSOZLJ,X,X
ITSOZJL,X,X
ITZLJSO,X,X
ITZLJOS,X,X
ITZLSJO,X,X
ITZLSOJ,X,X
ITZLOJS,X,X
ITZLOSJ,X,X
ITZJLSO,X,X
ITZJLOS,X,X
ITZJSLO,X,X
ITZJSOL,X,X
ITZJOLS,X,X
ITZJOSL,X,X
ITZSLJO,X,X
ITZSLOJ,X,X
ITZSJLO,X,X
ITZSJOL,X,X
ITZSOLJ,X,X
ITZSOJL,X,X
ITZOLJS,X,X
ITZOLSJ,X,X
ITZOJLS,X,X
ITZOJSL,X,X
ITZOSLJ,X,X
ITZOSJL,X,X
ITOLJSZ,X,O
ITOLJZS,X,X
ITOLSJZ,X,O
ITOLSZJ,X,X
ITOLZJS,X,X
ITOLZSJ,X,X
ITOJLSZ,X,O
ITOJLZS,X,X
ITOJSLZ,X,O
ITOJSZL,X,X
ITOJZLS,X,X
ITOJZSL,X,X
ITOSLJZ,X,O
ITOSLZJ,X,X
ITOSJLZ,X,O
ITOSJZL,X,X
ITOSZLJ,X,X
ITOSZJL,X,X
ITOZLJS,X,X
ITOZLSJ,X,X
ITOZJLS,X,X
ITOZJSL,X,X
ITOZSLJ,X,X
ITOZSJL,X,X
ILTJSZO,X,X
ILTJSOZ,X,O
ILTJZSO,X,X
ILTJZOS,X,X
ILTJOSZ,X,O
ILTJOZS,X,X
ILTSJZO,X,X
ILTSJOZ,X,O
ILTSZJO,X,X
ILTSZOJ,X,X
ILTSOJZ,X,O
ILTSOZJ,X,X
ILTZJSO,X,X
ILTZJOS,X,X
ILTZSJO,X,X
ILTZSOJ,X,X
ILTZOJS,X,X
ILTZOSJ,X,X
ILTOJSZ,X,O
ILTOJZS,X,X
ILTOSJZ,X,O
ILTOSZJ,X,X
ILTOZJS,X,X
ILTOZSJ,X,X
ILJTSZO,X,X
ILJTSOZ,X,O
ILJTZSO,X,X
ILJTZOS,X,X
ILJTOSZ,X,O
ILJTOZS,X,X
ILJSTZO,X,X
ILJSTOZ,O,O
ILJSZTO,O,X
ILJSZOT,O,X
ILJSOTZ,O,O
ILJSOZT,O,X
ILJZTSO,O,X
ILJZTOS,O,X
ILJZSTO,O,X
ILJZSOT,O,X
ILJZOTS,O,X
ILJZOST,O,X
ILJOTSZ,X,O
ILJOTZS,X,X
ILJOSTZ,O,O
ILJOSZT,O,X
ILJOZTS,O,X
ILJOZST,O,X
ILSTJZO,X,X
ILSTJOZ,O,O
ILSTZJO,X,X
ILSTZOJ,X,X
ILSTOJZ,O,O
ILSTOZJ,X,X
ILSJTZO,X,X
ILSJTOZ,O,O
ILSJZTO,O,X
ILSJZOT,O,X
ILSJOTZ,O,O
ILSJOZT,O,X
ILSZTJO,O,X
ILSZTOJ,O,X
ILSZJTO,O,X
ILSZJOT,O,X
ILSZOTJ,O,X
ILSZOJT,O,X
ILSOTJZ,O,O
ILSOTZJ,X,X
ILSOJTZ,O,O
ILSOJZT,O,X
ILSOZTJ,O,X
ILSOZJT,O,X
ILZTJSO,O,X
ILZTJOS,O,X
ILZTSJO,O,X
ILZTSOJ,O,X
ILZTOJS,O,X
ILZTOSJ,O,X
ILZJTSO,O,X
ILZJTOS,O,X
ILZJSTO,O,X
ILZJSOT,O,X
ILZJOTS,O,X
ILZJOST,O,X
ILZSTJO,O,X
ILZSTOJ,O,X
ILZSJTO,O,X
ILZSJOT,O,X
ILZSOTJ,O,X
ILZSOJT,O,X
ILZOTJS,O,X
ILZOTSJ,O,X
ILZOJTS,O,X
ILZOJST,O,X
ILZOSTJ,O,X
ILZOSJT,O,X
ILOTJSZ,X,O
ILOTJZS,X,X
ILOTSJZ,X,O
ILOTSZJ,X,X
ILOTZJS,X,X
ILOTZSJ,X,X
ILOJTSZ,X,O
ILOJTZS,X,X
ILOJSTZ,O,O
ILOJSZT,O,X
ILOJZTS,O,X
ILOJZST,O,X
ILOSTJZ,O,O
ILOSTZJ,X,X
ILOSJTZ,O,O
ILOSJZT,O,X
ILOSZTJ,O,X
ILOSZJT,O,X
ILOZTJS,O,X
ILOZTSJ,O,X
ILOZJTS,O,X
ILOZJST,O,X
ILOZSTJ,O,X
ILOZSJT,O,X
IJTLSZO,X,X
IJTLSOZ,X,O
IJTLZSO,X,X
IJTLZOS,X,X
IJTLOSZ,X,O
IJTLOZS,X,X
IJTSLZO,X,X
IJTSLOZ,X,O
IJTSZLO,X,X
IJTSZOL,X,X
IJTSOLZ,X,O
IJTSOZL,X,X
IJTZLSO,X,X
IJTZLOS,X,X
IJTZSLO,X,X
IJTZSOL,X,X
IJTZOLS,X,X
IJTZOSL,X,X
IJTOLSZ,X,O
IJTOLZS,X,X
IJTOSLZ,X,O
IJTOSZL,X,X
IJTOZLS,X,X
IJTOZSL,X,X
IJLTSZO,X,X
IJLTSOZ,X,O
IJLTZSO,X,X
IJLTZOS,X,X
IJLTOSZ,X,O
IJLTOZS,X,X
IJLSTZO,X,X
IJLSTOZ,O,O
IJLSZTO,O,X
IJLSZOT,O,X
IJLSOTZ,O,O
IJLSOZT,O,X
IJLZTSO,O,X
IJLZTOS,O,X
IJLZSTO,O,X
IJLZSOT,O,X
IJLZOTS,O,X
IJLZOST,O,X
IJLOTSZ,X,O
IJLOTZS,X,X
IJLOSTZ,O,O
IJLOSZT,O,X
IJLOZTS,O,X
IJLOZST,O,X
IJSTLZO,X,X
IJSTLOZ,X,O
IJSTZLO,X,X
IJSTZOL,X,X
IJSTOLZ,X,O
IJSTOZL,X,X
IJSLTZO,X,X
IJSLTOZ,X,O
IJSLZTO,X,X
IJSLZOT,X,X
IJSLOTZ,X,O
IJSLOZT,X,X
IJSZTLO,X,X
IJSZTOL,X,X
IJSZLTO,X,X
IJSZLOT,X,X
IJSZOTL,X,X
IJSZOLT,X,X
IJSOTLZ,X,O
IJSOTZL,X,X
IJSOLTZ,X,O
IJSOLZT,X,X
IJSOZTL,X,X
IJSOZLT,X,X
IJZTLSO,O,X
IJZTLOS,O,X
IJZTSLO,X,X
IJZTSOL,X,X
IJZTOLS,O,X
IJZTOSL,X,X
IJZLTSO,O,X
IJZLTOS,O,X
IJZLSTO,O,X
IJZLSOT,O,X
IJZLOTS,O,X
IJZLOST,O,X
IJZSTLO,X,X
IJZSTOL,X,X
IJZSLTO,X,X
IJZSLOT,X,X
IJZSOTL,X,X
IJZSOLT,X,X
IJZOTLS,O,X
IJZOTSL,X,X
IJZOLTS,O,X
IJZOLST,O,X
IJZOSTL,X,X
IJZOSLT,X,X
IJOTLSZ,X,O
IJOTLZS,X,X
IJOTSLZ,X,O
IJOTSZL,X,X
IJOTZLS,X,X
IJOTZSL,X,X
IJOLTSZ,X,O
IJOLTZS,X,X
IJOLSTZ,O,O
IJOLSZT,O,X
IJOLZTS,O,X
IJOLZST,O,X
IJOSTLZ,X,O
IJOSTZL,X,X
IJOSLTZ,X,O
IJOSLZT,X,X
IJOSZTL,X,X
IJOSZLT,X,X
IJOZTLS,O,X
IJOZTSL,X,X
IJOZLTS,O,X
IJOZLST,O,X
IJOZSTL,X,X
IJOZSLT,X,X
ISTLJZO,X,X
ISTLJOZ,X,O
ISTLZJO,X,X
ISTLZOJ,X,X
ISTLOJZ,X,O
ISTLOZJ,X,X
ISTJLZO,X,X
ISTJLOZ,X,O
ISTJZLO,X,X
ISTJZOL,X,X
ISTJOLZ,X,O
ISTJOZL,X,X
ISTZLJO,X,X
ISTZLOJ,X,X
ISTZJLO,X,X
ISTZJOL,X,X
ISTZOLJ,X,X
ISTZOJL,X,X
ISTOLJZ,X,O
ISTOLZJ,X,X
ISTOJLZ,X,O
ISTOJZL,X,X
ISTOZLJ,X,X
ISTOZJL,X,X
ISLTJZO,X,X
ISLTJOZ,X,O
ISLTZJO,X,X
ISLTZOJ,X,X
ISLTOJZ,X,O
ISLTOZJ,X,X
ISLJTZO,X,X
ISLJTOZ,X,O
ISLJZTO,X,X
ISLJZOT,X,X
ISLJOTZ,X,O
ISLJOZT,X,X
ISLZTJO,X,X
ISLZTOJ,X,X
ISLZJTO,X,X
ISLZJOT,X,X
ISLZOTJ,X,X
ISLZOJT,X,X
ISLOTJZ,X,O
ISLOTZJ,X,X
ISLOJTZ,X,O
ISLOJZT,X,X
ISLOZTJ,X,X
ISLOZJT,X,X
ISJTLZO,X,X
ISJTLOZ,X,O
ISJTZLO,X,X
ISJTZOL,X,X
ISJTOLZ,X,O
ISJTOZL,X,X
ISJLTZO,X,X
ISJLTOZ,X,O
