sequence,v115@IhA8FeA8BeA8EeB8AeC8BeD8KeOEJvhFTgBihB3iB5?oB1rB0qB,v115@IhA8FeA8BeA8EeB8AeC8BeD8KeOEJvhFTgBKmBfnBl?iB5oB0qB,v115@IhA8FeA8BeA8EeB8AeC8BeD8KeOEJvhFihB3iB5oBT?lB1rB0qB
IJTSLZO,O,O,O
IJTSLOZ,O,O,O
IJTSZLO,O,O,O
IJTSZOL,O,O,O
IJTSOLZ,O,O,O
IJTSOZL,O,O,O
IJTZLSO,O,O,O
IJTZLOS,O,O,O
IJTZSLO,O,O,O
IJTZSOL,O,O,O
IJTZOLS,O,O,O
IJTZOSL,O,O,O
IJTOLSZ,O,X,O
IJTOLZS,O,X,O
IJTOSLZ,O,O,O
IJTOSZL,O,O,O
IJTOZLS,O,X,O
IJTOZSL,O,O,O
IJLTSZO,O,O,O
IJLTSOZ,O,O,O
IJLTZSO,O,O,O
IJLTZOS,O,O,O
IJLTOSZ,O,X,O
IJLTOZS,O,X,O
IJLSTZO,O,O,O
IJLSTOZ,O,O,O
IJLSZTO,X,O,X
IJLSZOT,O,O,X
IJLSOTZ,X,O,O
IJLSOZT,X,O,X
IJLZTSO,O,O,X
IJLZTOS,O,O,X
IJLZSTO,X,O,X
IJLZSOT,O,O,X
IJLZOTS,O,O,X
IJLZOST,O,O,X
IJLOTSZ,X,X,O
IJLOTZS,X,X,O
IJLOSTZ,X,O,O
IJLOSZT,X,O,X
IJLOZTS,X,O,X
IJLOZST,X,O,X
IJSTLZO,O,O,O
IJSTLOZ,O,O,O
IJSTZLO,O,O,O
IJSTZOL,O,O,O
IJSTOLZ,O,O,O
IJSTOZL,O,O,O
IJSLTZO,O,O,O
IJSLTOZ,O,O,O
IJSLZTO,X,O,X
IJSLZOT,O,O,X
IJSLOTZ,X,O,O
IJSLOZT,X,O,X
IJSZTLO,O,O,O
IJSZTOL,O,O,O
IJSZLTO,X,O,X
IJSZLOT,O,O,X
IJSZOTL,O,O,O
IJSZOLT,O,O,X
IJSOTLZ,O,O,O
IJSOTZL,O,O,O
IJSOLTZ,X,O,O
IJSOLZT,X,O,X
IJSOZTL,O,O,O
IJSOZLT,O,O,X
IJZTLSO,O,O,O
IJZTLOS,O,O,O
IJZTSLO,O,O,O
IJZTSOL,O,O,O
IJZTOLS,O,O,O
IJZTOSL,O,O,O
IJZLTSO,O,O,X
IJZLTOS,O,O,X
IJZLSTO,X,O,X
IJZLSOT,O,O,X
IJZLOTS,O,O,X
IJZLOST,O,O,X
IJZSTLO,O,O,O
IJZSTOL,O,O,O
IJZSLTO,X,O,X
IJZSLOT,O,O,X
IJZSOTL,O,O,O
IJZSOLT,O,O,X
IJZOTLS,O,O,O
IJZOTSL,O,O,O
IJZOLTS,O,O,X
IJZOLST,O,O,X
IJZOSTL,O,O,O
IJZOSLT,O,O,X
IJOTLSZ,O,X,O
IJOTLZS,O,X,O
IJOTSLZ,O,O,O
IJOTSZL,O,O,O
IJOTZLS,O,X,O
IJOTZSL,O,O,O
IJOLTSZ,X,X,O
IJOLTZS,X,X,O
IJOLSTZ,X,O,O
IJOLSZT,X,O,X
IJOLZTS,X,O,X
IJOLZST,X,O,X
IJOSTLZ,O,O,O
IJOSTZL,O,O,O
IJOSLTZ,X,O,O
IJOSLZT,X,O,X
IJOSZTL,O,O,O
IJOSZLT,O,O,X
IJOZTLS,O,O,O
IJOZTSL,O,O,O
IJOZLTS,O,O,X
IJOZLST,O,O,X
IJOZSTL,O,O,O
IJOZSLT,O,O,X
ISTLJZO,O,O,O
ISTLJOZ,O,O,O
ISTLZJO,O,O,O
ISTLZOJ,O,O,O
ISTLOJZ,O,O,O
ISTLOZJ,O,O,O
ISTJLZO,O,O,O
ISTJLOZ,O,O,O
ISTJZLO,O,O,O
ISTJZOL,O,O,O
ISTJOLZ,O,O,O
ISTJOZL,O,O,O
ISTZLJO,O,O,O
ISTZLOJ,O,O,O
ISTZJLO,O,O,O
ISTZJOL,O,O,O
ISTZOLJ,O,O,O
ISTZOJL,O,O,O
ISTOLJZ,O,O,O
ISTOLZJ,O,O,O
ISTOJLZ,O,O,O
ISTOJZL,O,O,O
ISTOZLJ,O,O,O
ISTOZJL,O,O,O
ISLTJZO,O,O,O
ISLTJOZ,O,O,O
ISLTZJO,O,O,O
ISLTZOJ,O,O,O
ISLTOJZ,O,O,O
ISLTOZJ,O,O,O
ISLJTZO,O,O,O
ISLJTOZ,O,O,O
ISLJZTO,X,O,X
ISLJZOT,O,O,X
ISLJOTZ,X,O,O
ISLJOZT,X,O,X
ISLZTJO,X,O,X
ISLZTOJ,X,O,X
ISLZJTO,X,O,X
ISLZJOT,O,O,X
ISLZOTJ,O,O,X
ISLZOJT,O,O,X
ISLOTJZ,X,O,O
ISLOTZJ,X,O,O
ISLOJTZ,X,O,O
ISLOJZT,X,O,X
ISLOZTJ,X,O,X
ISLOZJT,X,O,X
ISJTLZO,O,O,O
ISJTLOZ,O,O,O
ISJTZLO,O,O,O
ISJTZOL,O,O,O
ISJTOLZ,O,O,O
ISJTOZL,O,O,O
ISJLTZO,O,O,O
ISJLTOZ,O,O,O
ISJLZTO,X,O,X
ISJLZOT,O,O,X
ISJLOTZ,X,O,O
ISJLOZT,X,O,X
ISJZTLO,O,O,O
ISJZTOL,O,O,O
ISJZLTO,X,O,X
ISJZLOT,O,O,X
ISJZOTL,O,O,O
ISJZOLT,O,O,X
ISJOTLZ,O,O,O
ISJOTZL,O,O,O
ISJOLTZ,X,O,O
ISJOLZT,X,O,X
ISJOZTL,O,O,O
ISJOZLT,O,O,X
ISZTLJO,O,O,O
ISZTLOJ,O,O,O
ISZTJLO,O,O,O
ISZTJOL,O,O,O
ISZTOLJ,O,O,O
ISZTOJL,O,O,O
ISZLTJO,X,O,X
ISZLTOJ,X,O,X
ISZLJTO,X,O,X
ISZLJOT,O,O,X
ISZLOTJ,O,O,X
ISZLOJT,O,O,X
ISZJTLO,O,O,O
ISZJTOL,O,O,O
ISZJLTO,X,O,X
ISZJLOT,O,O,X
ISZJOTL,O,O,O
ISZJOLT,O,O,X
ISZOTLJ,O,O,O
ISZOTJL,O,O,O
ISZOLTJ,O,O,X
ISZOLJT,O,O,X
ISZOJTL,O,O,O
ISZOJLT,O,O,X
ISOTLJZ,O,O,O
ISOTLZJ,O,O,O
ISOTJLZ,O,O,O
ISOTJZL,O,O,O
ISOTZLJ,O,O,O
ISOTZJL,O,O,O
ISOLTJZ,X,O,O
ISOLTZJ,X,O,O
ISOLJTZ,X,O,O
ISOLJZT,X,O,X
ISOLZTJ,X,O,X
ISOLZJT,X,O,X
ISOJTLZ,O,O,O
ISOJTZL,O,O,O
ISOJLTZ,X,O,O
ISOJLZT,X,O,X
ISOJZTL,O,O,O
ISOJZLT,O,O,X
ISOZTLJ,O,O,O
ISOZTJL,O,O,O
ISOZLTJ,O,O,X
ISOZLJT,O,O,X
ISOZJTL,O,O,O
ISOZJLT,O,O,X
IZTLJSO,O,O,O
IZTLJOS,O,O,O
IZTLSJO,O,O,O
IZTLSOJ,O,O,O
IZTLOJS,O,O,O
IZTLOSJ,O,O,O
IZTJLSO,O,O,O
IZTJLOS,O,O,O
IZTJSLO,O,O,O
IZTJSOL,O,O,O
IZTJOLS,O,O,O
IZTJOSL,O,O,O
IZTSLJO,O,O,O
IZTSLOJ,O,O,O
IZTSJLO,O,O,O
IZTSJOL,O,O,O
IZTSOLJ,O,O,O
IZTSOJL,O,O,O
IZTOLJS,O,O,O
IZTOLSJ,O,O,O
IZTOJLS,O,O,O
IZTOJSL,O,O,O
IZTOSLJ,O,O,O
IZTOSJL,O,O,O
IZLTJSO,O,O,X
IZLTJOS,O,O,X
IZLTSJO,O,O,X
IZLTSOJ,O,O,X
IZLTOJS,O,O,X
IZLTOSJ,O,O,X
IZLJTSO,O,O,X
IZLJTOS,O,O,X
IZLJSTO,X,O,X
IZLJSOT,O,O,X
IZLJOTS,O,O,X
IZLJOST,O,O,X
IZLSTJO,X,O,X
IZLSTOJ,X,O,X
IZLSJTO,X,O,X
IZLSJOT,O,O,X
IZLSOTJ,O,O,X
IZLSOJT,O,O,X
IZLOTJS,O,O,X
IZLOTSJ,O,O,X
IZLOJTS,O,O,X
IZLOJST,O,O,X
IZLOSTJ,O,O,X
IZLOSJT,O,O,X
IZJTLSO,O,O,O
IZJTLOS,O,O,O
IZJTSLO,O,O,O
IZJTSOL,O,O,O
IZJTOLS,O,O,O
IZJTOSL,O,O,O
IZJLTSO,O,O,X
IZJLTOS,O,O,X
IZJLSTO,X,O,X
IZJLSOT,O,O,X
IZJLOTS,O,O,X
IZJLOST,O,O,X
IZJSTLO,O,O,O
IZJSTOL,O,O,O
IZJSLTO,X,O,X
IZJSLOT,O,O,X
IZJSOTL,O,O,O
IZJSOLT,O,O,X
IZJOTLS,O,O,O
IZJOTSL,O,O,O
IZJOLTS,O,O,X
IZJOLST,O,O,X
IZJOSTL,O,O,O
IZJOSLT,O,O,X
IZSTLJO,O,O,O
IZSTLOJ,O,O,O
IZSTJLO,O,O,O
IZSTJOL,O,O,O
IZSTOLJ,O,O,O
IZSTOJL,O,O,O
IZSLTJO,X,O,X
IZSLTOJ,X,O,X
IZSLJTO,X,O,X
IZSLJOT,O,O,X
IZSLOTJ,O,O,X
IZSLOJT,O,O,X
IZSJTLO,O,O,O
IZSJTOL,O,O,O
IZSJLTO,X,O,X
IZSJLOT,O,O,X
IZSJOTL,O,O,O
IZSJOLT,O,O,X
IZSOTLJ,O,O,O
IZSOTJL,O,O,O
IZSOLTJ,O,O,X
IZSOLJT,O,O,X
IZSOJTL,O,O,O
IZSOJLT,O,O,X
IZOTLJS,O,O,O
IZOTLSJ,O,O,O
IZOTJLS,O,O,O
IZOTJSL,O,O,O
IZOTSLJ,O,O,O
IZOTSJL,O,O,O
IZOLTJS,O,O,X
IZOLTSJ,O,O,X
IZOLJTS,O,O,X
IZOLJST,O,O,X
IZOLSTJ,O,O,X
IZOLSJT,O,O,X
IZOJTLS,O,O,O
IZOJTSL,O,O,O
IZOJLTS,O,O,X
IZOJLST,O,O,X
IZOJSTL,O,O,O
IZOJSLT,O,O,X
IZOSTLJ,O,O,O
IZOSTJL,O,O,O
IZOSLTJ,O,O,X
IZOSLJT,O,O,X
IZOSJTL,O,O,O
IZOSJLT,O,O,X
IOTLJSZ,O,X,O
IOTLJZS,O,X,O
IOTLSJZ,O,X,O
IOTLSZJ,O,X,O
IOTLZJS,O,X,O
IOTLZSJ,O,X,O
IOTJLSZ,O,X,O
IOTJLZS,O,X,O
IOTJSLZ,O,O,O
IOTJSZL,O,O,O
IOTJZLS,O,X,O
IOTJZSL,O,O,O
IOTSLJZ,O,O,O
IOTSLZJ,O,O,O
IOTSJLZ,O,O,O
IOTSJZL,O,O,O
IOTSZLJ,O,O,O
IOTSZJL,O,O,O
IOTZLJS,O,X,O
IOTZLSJ,O,X,O
IOTZJLS,O,X,O
IOTZJSL,O,O,O
IOTZSLJ,O,O,O
IOTZSJL,O,O,O
IOLTJSZ,X,X,O
IOLTJZS,X,X,O
IOLTSJZ,X,X,O
IOLTSZJ,X,X,O
IOLTZJS,X,X,O
IOLTZSJ,X,X,O
IOLJTSZ,X,X,O
IOLJTZS,X,X,O
IOLJSTZ,X,O,O
IOLJSZT,X,O,X
IOLJZTS,X,O,X
IOLJZST,X,O,X
IOLSTJZ,X,O,O
IOLSTZJ,X,O,O
IOLSJTZ,X,O,O
IOLSJZT,X,O,X
IOLSZTJ,X,O,X
IOLSZJT,X,O,X
IOLZTJS,X,O,X
IOLZTSJ,X,O,X
IOLZJTS,X,O,X
IOLZJST,X,O,X
IOLZSTJ,X,O,X
IOLZSJT,X,O,X
IOJTLSZ,O,X,O
IOJTLZS,O,X,O
IOJTSLZ,O,O,O
IOJTSZL,O,O,O
IOJTZLS,O,X,O
IOJTZSL,O,O,O
IOJLTSZ,X,X,O
IOJLTZS,X,X,O
IOJLSTZ,X,O,O
IOJLSZT,X,O,X
IOJLZTS,X,O,X
IOJLZST,X,O,X
IOJSTLZ,O,O,O
IOJSTZL,O,O,O
IOJSLTZ,X,O,O
IOJSLZT,X,O,X
IOJSZTL,O,O,O
IOJSZLT,O,O,X
IOJZTLS,O,O,O
IOJZTSL,O,O,O
IOJZLTS,O,O,X
IOJZLST,O,O,X
IOJZSTL,O,O,O
IOJZSLT,O,O,X
IOSTLJZ,O,O,O
IOSTLZJ,O,O,O
IOSTJLZ,O,O,O
IOSTJZL,O,O,O
IOSTZLJ,O,O,O
IOSTZJL,O,O,O
IOSLTJZ,X,O,O
IOSLTZJ,X,O,O
IOSLJTZ,X,O,O
IOSLJZT,X,O,X
IOSLZTJ,X,O,X
IOSLZJT,X,O,X
IOSJTLZ,O,O,O
IOSJTZL,O,O,O
IOSJLTZ,X,O,O
IOSJLZT,X,O,X
IOSJZTL,O,O,O
IOSJZLT,O,O,X
IOSZTLJ,O,O,O
IOSZTJL,O,O,O
IOSZLTJ,O,O,X
IOSZLJT,O,O,X
IOSZJTL,O,O,O
IOSZJLT,O,O,X
IOZTLJS,O,O,O
IOZTLSJ,O,O,O
IOZTJLS,O,O,O
IOZTJSL,O,O,O
IOZTSLJ,O,O,O
IOZTSJL,O,O,O
IOZLTJS,O,O,X
IOZLTSJ,O,O,X
IOZLJTS,O,O,X
IOZLJST,O,O,X
IOZLSTJ,O,O,X
IOZLSJT,O,O,X
IOZJTLS,O,O,O
IOZJTSL,O,O,O
IOZJLTS,O,O,X
IOZJLST,O,O,X
IOZJSTL,O,O,O
IOZJSLT,O,O,X
IOZSTLJ,O,O,O
IOZSTJL,O,O,O
IOZSLTJ,O,O,X
IOZSLJT,O,O,X
IOZSJTL,O,O,O
IOZSJLT,O,O,X
LTIJSZO,O,O,O
LTIJSOZ,O,O,O
LTIJZSO,O,O,O
LTIJZOS,O,O,O
LTIJOSZ,O,X,O
LTIJOZS,O,X,O
LTISJZO,O,O,O
LTISJOZ,O,O,O
LTISZJO,O,O,O
LTISZOJ,O,O,O
LTISOJZ,O,O,O
LTISOZJ,O,O,O
LTIZJSO,O,O,O
LTIZJOS,O,O,O
LTIZSJO,O,O,O
LTIZSOJ,O,O,O
LTIZOJS,O,O,O
LTIZOSJ,O,O,O
LTIOJSZ,O,X,O
LTIOJZS,O,X,O
LTIOSJZ,O,X,O
LTIOSZJ,O,X,O
LTIOZJS,O,X,O
LTIOZSJ,O,X,O
LTJISZO,O,O,O
LTJISOZ,O,O,O
LTJIZSO,O,O,O
LTJIZOS,O,O,O
LTJIOSZ,O,X,O
LTJIOZS,O,X,O
LTJSIZO,O,O,O
LTJSIOZ,O,O,O
LTJSZIO,O,O,O
LTJSZOI,O,O,O
LTJSOIZ,O,O,O
LTJSOZI,O,O,O
LTJZISO,O,O,O
LTJZIOS,O,O,O
LTJZSIO,O,O,O
LTJZSOI,O,O,O
LTJZOIS,O,O,O
LTJZOSI,O,O,O
LTJOISZ,O,X,O
LTJOIZS,O,X,O
LTJOSIZ,O,X,O
LTJOSZI,O,X,O
LTJOZIS,O,X,O
LTJOZSI,O,X,O
LTSIJZO,O,O,O
LTSIJOZ,O,O,O
LTSIZJO,O,O,O
LTSIZOJ,O,O,O
LTSIOJZ,O,O,O
LTSIOZJ,O,O,O
LTSJIZO,O,O,O
LTSJIOZ,O,O,O
LTSJZIO,O,O,O
LTSJZOI,O,O,O
LTSJOIZ,O,O,O
LTSJOZI,O,O,O
LTSZIJO,O,O,O
LTSZIOJ,O,O,O
LTSZJIO,O,O,O
LTSZJOI,O,O,O
LTSZOIJ,O,O,O
LTSZOJI,O,O,O
LTSOIJZ,O,O,O
LTSOIZJ,O,O,O
LTSOJIZ,O,O,O
LTSOJZI,O,O,O
LTSOZIJ,O,O,O
LTSOZJI,O,O,O
LTZIJSO,O,O,O
LTZIJOS,O,O,O
LTZISJO,O,O,O
LTZISOJ,O,O,O
LTZIOJS,O,O,O
LTZIOSJ,O,O,O
LTZJISO,O,O,O
LTZJIOS,O,O,O
LTZJSIO,O,O,O
LTZJSOI,O,O,O
LTZJOIS,O,O,O
LTZJOSI,O,O,O
LTZSIJO,O,O,O
LTZSIOJ,O,O,O
LTZSJIO,O,O,O
LTZSJOI,O,O,O
LTZSOIJ,O,O,O
LTZSOJI,O,O,O
LTZOIJS,O,O,O
LTZOISJ,O,O,O
LTZOJIS,O,O,O
LTZOJSI,O,O,O
LTZOSIJ,O,O,O
LTZOSJI,O,O,O
LTOIJSZ,O,X,O
LTOIJZS,O,X,O
LTOISJZ,O,X,O
LTOISZJ,O,X,O
LTOIZJS,O,X,O
LTOIZSJ,O,X,O
LTOJISZ,O,X,O
LTOJIZS,O,X,O
LTOJSIZ,O,X,O
LTOJSZI,O,X,O
LTOJZIS,O,X,O
LTOJZSI,O,X,O
LTOSIJZ,O,X,O
LTOSIZJ,O,X,O
LTOSJIZ,O,X,O
LTOSJZI,O,X,O
LTOSZIJ,O,X,O
LTOSZJI,O,X,O
LTOZIJS,O,X,O
LTOZISJ,O,X,O
LTOZJIS,O,X,O
LTOZJSI,O,X,O
LTOZSIJ,O,X,O
LTOZSJI,O,X,O
LITJSZO,O,O,O
LITJSOZ,O,O,O
LITJZSO,O,O,O
LITJZOS,O,O,O
LITJOSZ,O,X,O
LITJOZS,O,X,O
LITSJZO,O,O,O
LITSJOZ,O,O,O
LITSZJO,O,O,O
LITSZOJ,O,O,O
LITSOJZ,O,O,O
LITSOZJ,O,O,O
LITZJSO,O,O,O
LITZJOS,O,O,O
LITZSJO,O,O,O
LITZSOJ,O,O,O
LITZOJS,O,O,O
LITZOSJ,O,O,O
LITOJSZ,O,X,O
LITOJZS,O,X,O
LITOSJZ,O,X,O
LITOSZJ,O,X,O
LITOZJS,O,X,O
LITOZSJ,O,X,O
LIJTSZO,O,O,O
LIJTSOZ,O,O,O
LIJTZSO,O,O,O
LIJTZOS,O,O,O
LIJTOSZ,O,X,O
LIJTOZS,O,X,O
LIJSTZO,O,O,O
LIJSTOZ,O,O,O
LIJSZTO,X,O,X
LIJSZOT,O,O,X
LIJSOTZ,X,O,O
LIJSOZT,X,O,X
LIJZTSO,O,O,X
LIJZTOS,O,O,X
LIJZSTO,X,O,X
LIJZSOT,O,O,X
LIJZOTS,O,O,X
LIJZOST,O,O,X
LIJOTSZ,X,X,O
LIJOTZS,X,X,O
LIJOSTZ,X,O,O
LIJOSZT,X,O,X
LIJOZTS,X,O,X
LIJOZST,X,O,X
LISTJZO,O,O,O
LISTJOZ,O,O,O
LISTZJO,O,O,O
LISTZOJ,O,O,O
LISTOJZ,O,O,O
LISTOZJ,O,O,O
LISJTZO,O,O,O
LISJTOZ,O,O,O
LISJZTO,X,O,X
LISJZOT,O,O,X
LISJOTZ,X,O,O
LISJOZT,X,O,X
LISZTJO,X,O,X
LISZTOJ,X,O,X
LISZJTO,X,O,X
LISZJOT,O,O,X
LISZOTJ,O,O,X
LISZOJT,O,O,X
LISOTJZ,X,O,O
LISOTZJ,X,O,O
LISOJTZ,X,O,O
LISOJZT,X,O,X
LISOZTJ,X,O,X
LISOZJT,X,O,X
LIZTJSO,O,O,X
LIZTJOS,O,O,X
LIZTSJO,O,O,X
LIZTSOJ,O,O,X
LIZTOJS,O,O,X
LIZTOSJ,O,O,X
LIZJTSO,O,O,X
LIZJTOS,O,O,X
LIZJSTO,X,O,X
LIZJSOT,O,O,X
LIZJOTS,O,O,X
LIZJOST,O,O,X
LIZSTJO,X,O,X
LIZSTOJ,X,O,X
LIZSJTO,X,O,X
LIZSJOT,O,O,X
LIZSOTJ,O,O,X
LIZSOJT,O,O,X
LIZOTJS,O,O,X
LIZOTSJ,O,O,X
LIZOJTS,O,O,X
LIZOJST,O,O,X
LIZOSTJ,O,O,X
LIZOSJT,O,O,X
LIOTJSZ,X,X,O
LIOTJZS,X,X,O
LIOTSJZ,X,X,O
LIOTSZJ,X,X,O
LIOTZJS,X,X,O
LIOTZSJ,X,X,O
LIOJTSZ,X,X,O
LIOJTZS,X,X,O
LIOJSTZ,X,O,O
LIOJSZT,X,O,X
LIOJZTS,X,O,X
LIOJZST,X,O,X
LIOSTJZ,X,O,O
LIOSTZJ,X,O,O
LIOSJTZ,X,O,O
LIOSJZT,X,O,X
LIOSZTJ,X,O,X
LIOSZJT,X,O,X
LIOZTJS,X,O,X
LIOZTSJ,X,O,X
LIOZJTS,X,O,X
LIOZJST,X,O,X
LIOZSTJ,X,O,X
LIOZSJT,X,O,X
LJTISZO,O,O,O
LJTISOZ,O,O,O
LJTIZSO,O,O,O
LJTIZOS,O,O,O
LJTIOSZ,O,X,O
LJTIOZS,O,X,O
LJTSIZO,O,O,O
LJTSIOZ,O,O,O
LJTSZIO,O,O,O
LJTSZOI,O,O,O
LJTSOIZ,O,O,O
LJTSOZI,O,O,O
LJTZISO,O,O,O
LJTZIOS,O,O,O
LJTZSIO,O,O,O
LJTZSOI,O,O,O
LJTZOIS,O,O,O
LJTZOSI,O,O,O
LJTOISZ,O,X,O
LJTOIZS,O,X,O
LJTOSIZ,O,X,O
LJTOSZI,O,X,O
LJTOZIS,O,X,O
LJTOZSI,O,X,O
LJITSZO,O,O,O
LJITSOZ,O,O,O
LJITZSO,O,O,O
LJITZOS,O,O,O
LJITOSZ,O,X,O
LJITOZS,O,X,O
LJISTZO,O,O,O
LJISTOZ,O,O,O
LJISZTO,X,O,X
LJISZOT,O,O,X
LJISOTZ,X,O,O
LJISOZT,X,O,X
LJIZTSO,O,O,X
LJIZTOS,O,O,X
LJIZSTO,X,O,X
LJIZSOT,O,O,X
LJIZOTS,O,O,X
LJIZOST,O,O,X
LJIOTSZ,X,X,O
LJIOTZS,X,X,O
LJIOSTZ,X,O,O
LJIOSZT,X,O,X
LJIOZTS,X,O,X
LJIOZST,X,O,X
LJSTIZO,O,O,O
LJSTIOZ,O,O,O
LJSTZIO,O,O,O
LJSTZOI,O,O,O
LJSTOIZ,O,O,O
LJSTOZI,O,O,O
LJSITZO,O,O,O
LJSITOZ,O,O,O
LJSIZTO,X,O,X
LJSIZOT,O,O,X
LJSIOTZ,X,O,O
LJSIOZT,X,O,X
LJSZTIO,X,O,X
LJSZTOI,X,O,X
LJSZITO,X,O,X
LJSZIOT,O,O,X
LJSZOTI,O,O,X
LJSZOIT,O,O,X
LJSOTIZ,X,O,O
LJSOTZI,X,O,O
LJSOITZ,X,O,O
LJSOIZT,X,O,X
LJSOZTI,X,O,X
LJSOZIT,X,O,X
LJZTISO,O,O,X
LJZTIOS,O,O,X
LJZTSIO,O,O,X
LJZTSOI,O,O,X
LJZTOIS,O,O,X
LJZTOSI,O,O,X
LJZITSO,O,O,X
LJZITOS,O,O,X
LJZISTO,X,O,X
LJZISOT,O,O,X
LJZIOTS,O,O,X
LJZIOST,O,O,X
LJZSTIO,X,O,X
LJZSTOI,X,O,X
LJZSITO,X,O,X
LJZSIOT,O,O,X
LJZSOTI,O,O,X
LJZSOIT,O,O,X
LJZOTIS,O,O,X
LJZOTSI,O,O,X
LJZOITS,O,O,X
LJZOIST,O,O,X
LJZOSTI,O,O,X
LJZOSIT,O,O,X
LJOTISZ,X,X,O
LJOTIZS,X,X,O
LJOTSIZ,X,X,O
LJOTSZI,X,X,O
LJOTZIS,X,X,O
LJOTZSI,X,X,O
LJOITSZ,X,X,O
LJOITZS,X,X,O
LJOISTZ,X,O,O
LJOISZT,X,O,X
LJOIZTS,X,O,X
LJOIZST,X,O,X
LJOSTIZ,X,O,O
LJOSTZI,X,O,O
LJOSITZ,X,O,O
LJOSIZT,X,O,X
LJOSZTI,X,O,X
LJOSZIT,X,O,X
LJOZTIS,X,O,X
LJOZTSI,X,O,X
LJOZITS,X,O,X
LJOZIST,X,O,X
LJOZSTI,X,O,X
LJOZSIT,X,O,X
LSTIJZO,O,O,O
LSTIJOZ,O,O,O
LSTIZJO,O,O,O
LSTIZOJ,O,O,O
LSTIOJZ,O,O,O
LSTIOZJ,O,O,O
LSTJIZO,O,O,O
LSTJIOZ,O,O,O
LSTJZIO,O,O,O
LSTJZOI,O,O,O
LSTJOIZ,O,O,O
LSTJOZI,O,O,O
LSTZIJO,O,O,O
LSTZIOJ,O,O,O
LSTZJIO,O,O,O
LSTZJOI,O,O,O
LSTZOIJ,O,O,O
LSTZOJI,O,O,O
LSTOIJZ,O,O,O
LSTOIZJ,O,O,O
LSTOJIZ,O,O,O
LSTOJZI,O,O,O
LSTOZIJ,O,O,O
LSTOZJI,O,O,O
LSITJZO,O,O,O
LSITJOZ,O,O,O
LSITZJO,O,O,O
LSITZOJ,O,O,O
LSITOJZ,O,O,O
LSITOZJ,O,O,O
LSIJTZO,O,O,O
LSIJTOZ,O,O,O
LSIJZTO,X,O,X
LSIJZOT,O,O,X
LSIJOTZ,X,O,O
LSIJOZT,X,O,X
LSIZTJO,X,O,X
LSIZTOJ,X,O,X
LSIZJTO,X,O,X
LSIZJOT,O,O,X
LSIZOTJ,O,O,X
LSIZOJT,O,O,X
LSIOTJZ,X,O,O
LSIOTZJ,X,O,O
LSIOJTZ,X,O,O
LSIOJZT,X,O,X
LSIOZTJ,X,O,X
LSIOZJT,X,O,X
LSJTIZO,O,O,O
LSJTIOZ,O,O,O
LSJTZIO,O,O,O
LSJTZOI,O,O,O
LSJTOIZ,O,O,O
LSJTOZI,O,O,O
LSJITZO,O,O,O
LSJITOZ,O,O,O
LSJIZTO,X,O,X
LSJIZOT,O,O,X
LSJIOTZ,X,O,O
LSJIOZT,X,O,X
LSJZTIO,X,O,X
LSJZTOI,X,O,X
LSJZITO,X,O,X
LSJZIOT,O,O,X
LSJZOTI,O,O,X
LSJZOIT,O,O,X
LSJOTIZ,X,O,O
LSJOTZI,X,O,O
LSJOITZ,X,O,O
LSJOIZT,X,O,X
LSJOZTI,X,O,X
LSJOZIT,X,O,X
LSZTIJO,X,O,X
LSZTIOJ,X,O,X
LSZTJIO,X,O,X
LSZTJOI,X,O,X
LSZTOIJ,X,O,X
LSZTOJI,X,O,X
LSZITJO,X,O,X
LSZITOJ,X,O,X
LSZIJTO,X,O,X
LSZIJOT,O,O,X
LSZIOTJ,O,O,X
LSZIOJT,O,O,X
LSZJTIO,X,O,X
LSZJTOI,X,O,X
LSZJITO,X,O,X
LSZJIOT,O,O,X
LSZJOTI,O,O,X
LSZJOIT,O,O,X
LSZOTIJ,O,O,X
LSZOTJI,O,O,X
LSZOITJ,O,O,X
LSZOIJT,O,O,X
LSZOJTI,O,O,X
LSZOJIT,O,O,X
LSOTIJZ,X,O,O
LSOTIZJ,X,O,O
LSOTJIZ,X,O,O
LSOTJZI,X,O,O
LSOTZIJ,X,O,O
LSOTZJI,X,O,O
LSOITJZ,X,O,O
LSOITZJ,X,O,O
LSOIJTZ,X,O,O
LSOIJZT,X,O,X
LSOIZTJ,X,O,X
LSOIZJT,X,O,X
LSOJTIZ,X,O,O
LSOJTZI,X,O,O
LSOJITZ,X,O,O
LSOJIZT,X,O,X
LSOJZTI,X,O,X
LSOJZIT,X,O,X
LSOZTIJ,X,O,X
LSOZTJI,X,O,X
LSOZITJ,X,O,X
LSOZIJT,X,O,X
LSOZJTI,X,O,X
LSOZJIT,X,O,X
LZTIJSO,O,O,X
LZTIJOS,O,O,X
LZTISJO,O,O,X
LZTISOJ,O,O,X
LZTIOJS,O,O,X
LZTIOSJ,O,O,X
LZTJISO,O,O,X
LZTJIOS,O,O,X
LZTJSIO,O,O,X
LZTJSOI,O,O,X
LZTJOIS,O,O,X
LZTJOSI,O,O,X
LZTSIJO,O,O,X
LZTSIOJ,O,O,X
LZTSJIO,O,O,X
LZTSJOI,O,O,X
LZTSOIJ,O,O,X
LZTSOJI,O,O,X
LZTOIJS,O,O,X
LZTOISJ,O,O,X
LZTOJIS,O,O,X
LZTOJSI,O,O,X
