sequence,v115@JhA8IeA8AeA8CeB8AeD8BeC8JeZEJvhFukBtlBXiBT?jBcsB6rB,v115@JhA8IeA8AeA8CeB8AeD8BeC8JeZEJvhFukBtlBXiBT?jBSsB0rB
TSIZLOJ,O,X
TSIZJLO,O,X
TSIZJOL,O,X
TSIZOLJ,O,X
TSIZOJL,O,X
TSIOLJZ,X,O
TSIOLZJ,X,O
TSIOJLZ,X,O
TSIOJZL,O,X
TSIOZLJ,O,X
TSIOZJL,O,X
TSLIJZO,X,O
TSLIJOZ,X,O
TSLIZJO,X,O
TSLIZOJ,X,O
TSLIOJZ,X,O
TSLIOZJ,X,O
TSLJIZO,X,O
TSLJIOZ,X,O
TSLJZIO,X,O
TSLJZOI,X,O
TSLJOIZ,X,O
TSLJOZI,X,O
TSLZIJO,X,O
TSLZIOJ,X,O
TSLZJIO,X,O
TSLZJOI,X,O
TSLZOIJ,X,O
TSLZOJI,X,O
TSLOIJZ,X,O
TSLOIZJ,X,O
TSLOJIZ,X,O
TSLOJZI,X,O
TSLOZIJ,X,O
TSLOZJI,X,O
TSJILZO,X,O
TSJILOZ,X,O
TSJIZLO,O,X
TSJIZOL,O,X
TSJIOLZ,X,O
TSJIOZL,O,X
TSJLIZO,X,O
TSJLIOZ,X,O
TSJLZIO,X,O
TSJLZOI,X,O
TSJLOIZ,X,O
TSJLOZI,X,O
TSJZILO,O,X
TSJZIOL,O,X
TSJZLIO,O,X
TSJZLOI,O,X
TSJZOIL,O,X
TSJZOLI,O,X
TSJOILZ,X,O
TSJOIZL,O,X
TSJOLIZ,X,O
TSJOLZI,X,O
TSJOZIL,O,X
TSJOZLI,O,X
TSZILJO,O,X
TSZILOJ,O,X
TSZIJLO,O,X
TSZIJOL,O,X
TSZIOLJ,O,X
TSZIOJL,O,X
TSZLIJO,O,X
TSZLIOJ,O,X
TSZLJIO,O,X
TSZLJOI,O,X
TSZLOIJ,O,X
TSZLOJI,O,X
TSZJILO,O,X
TSZJIOL,O,X
TSZJLIO,O,X
TSZJLOI,O,X
TSZJOIL,O,X
TSZJOLI,O,X
TSZOILJ,O,X
TSZOIJL,O,X
TSZOLIJ,O,X
TSZOLJI,O,X
TSZOJIL,O,X
TSZOJLI,O,X
TSOILJZ,X,O
TSOILZJ,X,O
TSOIJLZ,X,O
TSOIJZL,O,X
TSOIZLJ,O,X
TSOIZJL,O,X
TSOLIJZ,X,O
TSOLIZJ,X,O
TSOLJIZ,X,O
TSOLJZI,X,O
TSOLZIJ,X,O
TSOLZJI,X,O
TSOJILZ,X,O
TSOJIZL,O,X
TSOJLIZ,X,O
TSOJLZI,X,O
TSOJZIL,O,X
TSOJZLI,O,X
TSOZILJ,O,X
TSOZIJL,O,X
TSOZLIJ,O,X
TSOZLJI,O,X
TSOZJIL,O,X
TSOZJLI,O,X
TZILJSO,O,O
TZILJOS,O,O
TZILSJO,O,O
TZILSOJ,O,O
TZILOJS,O,O
TZILOSJ,O,O
TZIJLSO,O,O
TZIJLOS,O,O
TZIJSLO,O,X
TZIJSOL,O,X
TZIJOLS,O,O
TZIJOSL,O,X
TZISLJO,O,X
TZISLOJ,O,X
TZISJLO,O,X
TZISJOL,O,X
TZISOLJ,O,X
TZISOJL,O,X
TZIOLJS,O,O
TZIOLSJ,O,O
TZIOJLS,O,O
TZIOJSL,O,X
TZIOSLJ,O,X
TZIOSJL,O,X
TZLIJSO,O,O
TZLIJOS,O,O
TZLISJO,O,O
TZLISOJ,O,O
TZLIOJS,O,O
TZLIOSJ,O,O
TZLJISO,O,O
TZLJIOS,O,O
TZLJSIO,O,O
TZLJSOI,O,O
TZLJOIS,O,O
TZLJOSI,O,O
TZLSIJO,O,O
TZLSIOJ,O,O
TZLSJIO,O,O
TZLSJOI,O,O
TZLSOIJ,O,O
TZLSOJI,O,O
TZLOIJS,O,O
TZLOISJ,O,O
TZLOJIS,O,O
TZLOJSI,O,O
TZLOSIJ,O,O
TZLOSJI,O,O
TZJILSO,O,O
TZJILOS,O,O
TZJISLO,O,X
TZJISOL,O,X
TZJIOLS,O,O
TZJIOSL,O,X
TZJLISO,O,O
TZJLIOS,O,O
TZJLSIO,O,O
TZJLSOI,O,O
TZJLOIS,O,O
TZJLOSI,O,O
TZJSILO,O,X
TZJSIOL,O,X
TZJSLIO,O,X
TZJSLOI,O,X
TZJSOIL,O,X
TZJSOLI,O,X
TZJOILS,O,O
TZJOISL,O,X
TZJOLIS,O,O
TZJOLSI,O,O
TZJOSIL,O,X
TZJOSLI,O,X
TZSILJO,O,X
TZSILOJ,O,X
TZSIJLO,O,X
TZSIJOL,O,X
TZSIOLJ,O,X
TZSIOJL,O,X
TZSLIJO,O,X
TZSLIOJ,O,X
TZSLJIO,O,X
TZSLJOI,O,X
TZSLOIJ,O,X
TZSLOJI,O,X
TZSJILO,O,X
TZSJIOL,O,X
TZSJLIO,O,X
TZSJLOI,O,X
TZSJOIL,O,X
TZSJOLI,O,X
TZSOILJ,O,X
TZSOIJL,O,X
TZSOLIJ,O,X
TZSOLJI,O,X
TZSOJIL,O,X
TZSOJLI,O,X
TZOILJS,O,O
TZOILSJ,O,O
TZOIJLS,O,O
TZOIJSL,O,X
TZOISLJ,O,X
TZOISJL,O,X
TZOLIJS,O,O
TZOLISJ,O,O
TZOLJIS,O,O
TZOLJSI,O,O
TZOLSIJ,O,O
TZOLSJI,O,O
TZOJILS,O,O
TZOJISL,O,X
TZOJLIS,O,O
TZOJLSI,O,O
TZOJSIL,O,X
TZOJSLI,O,X
TZOSILJ,O,X
TZOSIJL,O,X
TZOSLIJ,O,X
TZOSLJI,O,X
TZOSJIL,O,X
TZOSJLI,O,X
TOILJSZ,X,O
TOILJZS,O,O
TOILSJZ,X,O
TOILSZJ,X,O
TOILZJS,O,O
TOILZSJ,O,O
TOIJLSZ,X,O
TOIJLZS,O,O
TOIJSLZ,X,O
TOIJSZL,O,X
TOIJZLS,O,O
TOIJZSL,O,X
TOISLJZ,X,O
TOISLZJ,X,O
TOISJLZ,X,O
TOISJZL,O,X
TOISZLJ,O,X
TOISZJL,O,X
TOIZLJS,O,O
TOIZLSJ,O,O
TOIZJLS,O,O
TOIZJSL,O,X
TOIZSLJ,O,X
TOIZSJL,O,X
TOLIJSZ,X,O
TOLIJZS,O,O
TOLISJZ,X,O
TOLISZJ,X,O
TOLIZJS,O,O
TOLIZSJ,O,O
TOLJISZ,X,O
TOLJIZS,O,O
TOLJSIZ,X,O
TOLJSZI,X,O
TOLJZIS,O,O
TOLJZSI,O,O
TOLSIJZ,X,O
TOLSIZJ,X,O
TOLSJIZ,X,O
TOLSJZI,X,O
TOLSZIJ,X,O
TOLSZJI,X,O
TOLZIJS,O,O
TOLZISJ,O,O
TOLZJIS,O,O
TOLZJSI,O,O
TOLZSIJ,O,O
TOLZSJI,O,O
TOJILSZ,X,O
TOJILZS,O,O
TOJISLZ,X,O
TOJISZL,O,X
TOJIZLS,O,O
TOJIZSL,O,X
TOJLISZ,X,O
TOJLIZS,O,O
TOJLSIZ,X,O
TOJLSZI,X,O
TOJLZIS,O,O
TOJLZSI,O,O
TOJSILZ,X,O
TOJSIZL,O,X
TOJSLIZ,X,O
TOJSLZI,X,O
TOJSZIL,O,X
TOJSZLI,O,X
TOJZILS,O,O
TOJZISL,O,X
TOJZLIS,O,O
TOJZLSI,O,O
TOJZSIL,O,X
TOJZSLI,O,X
TOSILJZ,X,O
TOSILZJ,X,O
TOSIJLZ,X,O
TOSIJZL,O,X
TOSIZLJ,O,X
TOSIZJL,O,X
TOSLIJZ,X,O
TOSLIZJ,X,O
TOSLJIZ,X,O
TOSLJZI,X,O
TOSLZIJ,X,O
TOSLZJI,X,O
TOSJILZ,X,O
TOSJIZL,O,X
TOSJLIZ,X,O
TOSJLZI,X,O
TOSJZIL,O,X
TOSJZLI,O,X
TOSZILJ,O,X
TOSZIJL,O,X
TOSZLIJ,O,X
TOSZLJI,O,X
TOSZJIL,O,X
TOSZJLI,O,X
TOZILJS,O,O
TOZILSJ,O,O
TOZIJLS,O,O
TOZIJSL,O,X
TOZISLJ,O,X
TOZISJL,O,X
TOZLIJS,O,O
TOZLISJ,O,O
TOZLJIS,O,O
TOZLJSI,O,O
TOZLSIJ,O,O
TOZLSJI,O,O
TOZJILS,O,O
TOZJISL,O,X
TOZJLIS,O,O
TOZJLSI,O,O
TOZJSIL,O,X
TOZJSLI,O,X
TOZSILJ,O,X
TOZSIJL,O,X
TOZSLIJ,O,X
TOZSLJI,O,X
TOZSJIL,O,X
TOZSJLI,O,X
ITLJSZO,X,O
ITLJSOZ,X,O
ITLJZSO,O,O
ITLJZOS,O,O
ITLJOSZ,X,O
ITLJOZS,O,O
ITLSJZO,X,O
ITLSJOZ,X,O
ITLSZJO,X,O
ITLSZOJ,X,O
ITLSOJZ,X,O
ITLSOZJ,X,O
ITLZJSO,O,O
ITLZJOS,O,O
ITLZSJO,O,O
ITLZSOJ,O,O
ITLZOJS,O,O
ITLZOSJ,O,O
ITLOJSZ,X,O
ITLOJZS,O,O
ITLOSJZ,X,O
ITLOSZJ,X,O
ITLOZJS,O,O
ITLOZSJ,O,O
ITJLSZO,X,O
ITJLSOZ,X,O
ITJLZSO,O,O
ITJLZOS,O,O
ITJLOSZ,X,O
ITJLOZS,O,O
ITJSLZO,X,O
ITJSLOZ,X,O
ITJSZLO,O,X
ITJSZOL,O,X
ITJSOLZ,X,O
ITJSOZL,O,X
ITJZLSO,O,O
ITJZLOS,O,O
ITJZSLO,O,X
ITJZSOL,O,X
ITJZOLS,O,O
ITJZOSL,O,X
ITJOLSZ,X,O
ITJOLZS,O,O
ITJOSLZ,X,O
ITJOSZL,O,X
ITJOZLS,O,O
ITJOZSL,O,X
ITSLJZO,X,O
ITSLJOZ,X,O
ITSLZJO,X,O
ITSLZOJ,X,O
ITSLOJZ,X,O
ITSLOZJ,X,O
ITSJLZO,X,O
ITSJLOZ,X,O
ITSJZLO,O,X
ITSJZOL,O,X
ITSJOLZ,X,O
ITSJOZL,O,X
ITSZLJO,O,X
ITSZLOJ,O,X
ITSZJLO,O,X
ITSZJOL,O,X
ITSZOLJ,O,X
ITSZOJL,O,X
ITSOLJZ,X,O
ITSOLZJ,X,O
ITSOJLZ,X,O
ITSOJZL,O,X
ITSOZLJ,O,X
ITSOZJL,O,X
ITZLJSO,O,O
ITZLJOS,O,O
ITZLSJO,O,O
ITZLSOJ,O,O
ITZLOJS,O,O
ITZLOSJ,O,O
ITZJLSO,O,O
ITZJLOS,O,O
ITZJSLO,O,X
ITZJSOL,O,X
ITZJOLS,O,O
ITZJOSL,O,X
ITZSLJO,O,X
ITZSLOJ,O,X
ITZSJLO,O,X
ITZSJOL,O,X
ITZSOLJ,O,X
ITZSOJL,O,X
ITZOLJS,O,O
ITZOLSJ,O,O
ITZOJLS,O,O
ITZOJSL,O,X
ITZOSLJ,O,X
ITZOSJL,O,X
ITOLJSZ,X,O
ITOLJZS,O,O
ITOLSJZ,X,O
ITOLSZJ,X,O
ITOLZJS,O,O
ITOLZSJ,O,O
ITOJLSZ,X,O
ITOJLZS,O,O
ITOJSLZ,X,O
ITOJSZL,O,X
ITOJZLS,O,O
ITOJZSL,O,X
ITOSLJZ,X,O
ITOSLZJ,X,O
ITOSJLZ,X,O
ITOSJZL,O,X
ITOSZLJ,O,X
ITOSZJL,O,X
ITOZLJS,O,O
ITOZLSJ,O,O
ITOZJLS,O,O
ITOZJSL,O,X
ITOZSLJ,O,X
ITOZSJL,O,X
ILTJSZO,X,O
ILTJSOZ,X,O
ILTJZSO,O,O
ILTJZOS,O,O
ILTJOSZ,X,O
ILTJOZS,O,O
ILTSJZO,X,O
ILTSJOZ,X,O
ILTSZJO,X,O
ILTSZOJ,X,O
ILTSOJZ,X,O
ILTSOZJ,X,O
ILTZJSO,O,O
ILTZJOS,O,O
ILTZSJO,O,O
ILTZSOJ,O,O
ILTZOJS,O,O
ILTZOSJ,O,O
ILTOJSZ,X,O
ILTOJZS,O,O
ILTOSJZ,X,O
ILTOSZJ,X,O
ILTOZJS,O,O
ILTOZSJ,O,O
ILJTSZO,X,O
ILJTSOZ,X,O
ILJTZSO,O,O
ILJTZOS,O,O
ILJTOSZ,X,O
ILJTOZS,O,O
ILJSTZO,X,O
ILJSTOZ,X,O
ILJSZTO,X,O
ILJSZOT,X,O
ILJSOTZ,X,O
ILJSOZT,X,O
ILJZTSO,O,O
ILJZTOS,O,O
ILJZSTO,O,O
ILJZSOT,O,O
ILJZOTS,O,O
ILJZOST,O,O
ILJOTSZ,X,O
ILJOTZS,O,O
ILJOSTZ,X,O
ILJOSZT,X,O
ILJOZTS,O,O
ILJOZST,O,O
ILSTJZO,X,O
ILSTJOZ,X,O
ILSTZJO,X,O
ILSTZOJ,X,O
ILSTOJZ,X,O
ILSTOZJ,X,O
ILSJTZO,X,O
ILSJTOZ,X,O
ILSJZTO,X,O
ILSJZOT,X,O
ILSJOTZ,X,O
ILSJOZT,X,O
ILSZTJO,X,O
ILSZTOJ,X,O
ILSZJTO,X,O
ILSZJOT,X,O
ILSZOTJ,X,O
ILSZOJT,X,O
ILSOTJZ,X,O
ILSOTZJ,X,O
ILSOJTZ,X,O
ILSOJZT,X,O
ILSOZTJ,X,O
ILSOZJT,X,O
ILZTJSO,O,O
ILZTJOS,O,O
ILZTSJO,O,O
ILZTSOJ,O,O
ILZTOJS,O,O
ILZTOSJ,O,O
ILZJTSO,O,O
ILZJTOS,O,O
ILZJSTO,O,O
ILZJSOT,O,O
ILZJOTS,O,O
ILZJOST,O,O
ILZSTJO,O,O
ILZSTOJ,O,O
ILZSJTO,O,O
ILZSJOT,O,O
ILZSOTJ,O,O
ILZSOJT,O,O
ILZOTJS,O,O
ILZOTSJ,O,O
ILZOJTS,O,O
ILZOJST,O,O
ILZOSTJ,O,O
ILZOSJT,O,O
ILOTJSZ,X,O
ILOTJZS,O,O
ILOTSJZ,X,O
ILOTSZJ,X,O
ILOTZJS,O,O
ILOTZSJ,O,O
ILOJTSZ,X,O
ILOJTZS,O,O
ILOJSTZ,X,O
ILOJSZT,X,O
ILOJZTS,O,O
ILOJZST,O,O
ILOSTJZ,X,O
ILOSTZJ,X,O
ILOSJTZ,X,O
ILOSJZT,X,O
ILOSZTJ,X,O
ILOSZJT,X,O
ILOZTJS,O,O
ILOZTSJ,O,O
ILOZJTS,O,O
ILOZJST,O,O
ILOZSTJ,O,O
ILOZSJT,O,O
IJTLSZO,X,O
IJTLSOZ,X,O
IJTLZSO,O,O
IJTLZOS,O,O
IJTLOSZ,X,O
IJTLOZS,O,O
IJTSLZO,X,O
IJTSLOZ,X,O
IJTSZLO,O,X
IJTSZOL,O,X
IJTSOLZ,X,O
IJTSOZL,O,X
IJTZLSO,O,O
IJTZLOS,O,O
IJTZSLO,O,X
IJTZSOL,O,X
IJTZOLS,O,O
IJTZOSL,O,X
IJTOLSZ,X,O
IJTOLZS,O,O
IJTOSLZ,X,O
IJTOSZL,O,X
IJTOZLS,O,O
IJTOZSL,O,X
IJLTSZO,X,O
IJLTSOZ,X,O
IJLTZSO,O,O
IJLTZOS,O,O
IJLTOSZ,X,O
IJLTOZS,O,O
IJLSTZO,X,O
IJLSTOZ,X,O
IJLSZTO,X,O
IJLSZOT,X,O
IJLSOTZ,X,O
IJLSOZT,X,O
IJLZTSO,O,O
IJLZTOS,O,O
IJLZSTO,O,O
IJLZSOT,O,O
IJLZOTS,O,O
IJLZOST,O,O
IJLOTSZ,X,O
IJLOTZS,O,O
IJLOSTZ,X,O
IJLOSZT,X,O
IJLOZTS,O,O
IJLOZST,O,O
IJSTLZO,X,O
IJSTLOZ,X,O
IJSTZLO,O,X
IJSTZOL,O,X
IJSTOLZ,X,O
IJSTOZL,O,X
IJSLTZO,X,O
IJSLTOZ,X,O
IJSLZTO,X,O
IJSLZOT,X,O
IJSLOTZ,X,O
IJSLOZT,X,O
IJSZTLO,O,X
IJSZTOL,O,X
IJSZLTO,O,X
IJSZLOT,O,X
IJSZOTL,O,X
IJSZOLT,O,X
IJSOTLZ,X,O
IJSOTZL,O,X
IJSOLTZ,X,O
IJSOLZT,X,O
IJSOZTL,O,X
IJSOZLT,O,X
IJZTLSO,O,O
IJZTLOS,O,O
IJZTSLO,O,X
IJZTSOL,O,X
IJZTOLS,O,O
IJZTOSL,O,X
IJZLTSO,O,O
IJZLTOS,O,O
IJZLSTO,O,O
IJZLSOT,O,O
IJZLOTS,O,O
IJZLOST,O,O
IJZSTLO,O,X
IJZSTOL,O,X
IJZSLTO,O,X
IJZSLOT,O,X
IJZSOTL,O,X
IJZSOLT,O,X
IJZOTLS,O,O
IJZOTSL,O,X
IJZOLTS,O,O
IJZOLST,O,O
IJZOSTL,O,X
IJZOSLT,O,X
IJOTLSZ,X,O
IJOTLZS,O,O
IJOTSLZ,X,O
IJOTSZL,O,X
IJOTZLS,O,O
IJOTZSL,O,X
IJOLTSZ,X,O
IJOLTZS,O,O
IJOLSTZ,X,O
IJOLSZT,X,O
IJOLZTS,O,O
IJOLZST,O,O
IJOSTLZ,X,O
IJOSTZL,O,X
IJOSLTZ,X,O
IJOSLZT,X,O
IJOSZTL,O,X
IJOSZLT,O,X
IJOZTLS,O,O
IJOZTSL,O,X
IJOZLTS,O,O
IJOZLST,O,O
IJOZSTL,O,X
IJOZSLT,O,X
ISTLJZO,X,O
ISTLJOZ,X,O
ISTLZJO,X,O
ISTLZOJ,X,O
ISTLOJZ,X,O
ISTLOZJ,X,O
ISTJLZO,X,O
ISTJLOZ,X,O
ISTJZLO,O,X
ISTJZOL,O,X
ISTJOLZ,X,O
ISTJOZL,O,X
ISTZLJO,O,X
ISTZLOJ,O,X
ISTZJLO,O,X
ISTZJOL,O,X
ISTZOLJ,O,X
ISTZOJL,O,X
ISTOLJZ,X,O
ISTOLZJ,X,O
ISTOJLZ,X,O
ISTOJZL,O,X
ISTOZLJ,O,X
ISTOZJL,O,X
ISLTJZO,X,O
ISLTJOZ,X,O
ISLTZJO,X,O
ISLTZOJ,X,O
ISLTOJZ,X,O
ISLTOZJ,X,O
ISLJTZO,X,O
ISLJTOZ,X,O
ISLJZTO,X,O
ISLJZOT,X,O
ISLJOTZ,X,O
ISLJOZT,X,O
ISLZTJO,X,O
ISLZTOJ,X,O
ISLZJTO,X,O
ISLZJOT,X,O
ISLZOTJ,X,O
ISLZOJT,X,O
ISLOTJZ,X,O
ISLOTZJ,X,O
ISLOJTZ,X,O
ISLOJZT,X,O
ISLOZTJ,X,O
ISLOZJT,X,O
ISJTLZO,X,O
ISJTLOZ,X,O
ISJTZLO,O,X
ISJTZOL,O,X
