sequence,v115@ThA8CeA8AeB8AeB8AeF8JeZEJvhFukB3gBtmB6nBTj?B8qB,v115@ThA8CeA8AeB8AeB8AeF8Je0/IvhFxgB6nBTjBNpBuq?B3rB,v115@ThA8CeA8AeB8AeB8AeF8JeZEJvhFukBUhB9nBTjB6q?B3rB
TIOJSZL,X,X,X
TIOJZLS,O,X,X
TIOJZSL,O,X,X
TIOSLJZ,X,X,X
TIOSLZJ,X,X,X
TIOSJLZ,X,X,X
TIOSJZL,X,X,X
TIOSZLJ,X,X,X
TIOSZJL,X,X,X
TIOZLJS,O,X,X
TIOZLSJ,O,X,X
TIOZJLS,O,X,X
TIOZJSL,O,X,X
TIOZSLJ,O,X,X
TIOZSJL,O,X,X
TLIJSZO,X,X,X
TLIJSOZ,X,X,X
TLIJZSO,O,X,X
TLIJZOS,O,X,O
TLIJOSZ,X,X,X
TLIJOZS,O,X,O
TLISJZO,X,X,X
TLISJOZ,X,X,X
TLISZJO,X,X,X
TLISZOJ,X,X,X
TLISOJZ,X,X,X
TLISOZJ,X,X,X
TLIZJSO,O,X,X
TLIZJOS,O,X,O
TLIZSJO,O,X,X
TLIZSOJ,O,X,X
TLIZOJS,O,X,O
TLIZOSJ,O,X,X
TLIOJSZ,X,X,X
TLIOJZS,O,X,O
TLIOSJZ,X,X,X
TLIOSZJ,X,X,X
TLIOZJS,O,X,O
TLIOZSJ,O,X,X
TLJISZO,X,X,X
TLJISOZ,X,X,X
TLJIZSO,O,X,X
TLJIZOS,O,O,O
TLJIOSZ,X,X,X
TLJIOZS,O,O,O
TLJSIZO,X,O,X
TLJSIOZ,X,O,X
TLJSZIO,X,O,X
TLJSZOI,X,O,X
TLJSOIZ,X,O,X
TLJSOZI,X,O,X
TLJZISO,O,X,X
TLJZIOS,O,O,O
TLJZSIO,O,O,X
TLJZSOI,O,O,X
TLJZOIS,O,O,O
TLJZOSI,O,O,X
TLJOISZ,X,X,X
TLJOIZS,O,O,O
TLJOSIZ,X,O,X
TLJOSZI,X,O,X
TLJOZIS,O,O,O
TLJOZSI,O,O,X
TLSIJZO,X,X,X
TLSIJOZ,X,X,X
TLSIZJO,X,X,X
TLSIZOJ,X,O,X
TLSIOJZ,X,X,X
TLSIOZJ,X,O,X
TLSJIZO,X,O,X
TLSJIOZ,X,O,X
TLSJZIO,X,O,X
TLSJZOI,X,O,X
TLSJOIZ,X,O,X
TLSJOZI,X,O,X
TLSZIJO,X,X,X
TLSZIOJ,X,O,X
TLSZJIO,X,O,X
TLSZJOI,X,O,X
TLSZOIJ,X,O,X
TLSZOJI,X,O,X
TLSOIJZ,X,X,X
TLSOIZJ,X,O,X
TLSOJIZ,X,O,X
TLSOJZI,X,O,X
TLSOZIJ,X,O,X
TLSOZJI,X,O,X
TLZIJSO,O,X,X
TLZIJOS,O,X,O
TLZISJO,O,X,X
TLZISOJ,O,X,X
TLZIOJS,O,O,O
TLZIOSJ,O,O,X
TLZJISO,O,X,X
TLZJIOS,O,O,O
TLZJSIO,O,O,X
TLZJSOI,O,O,X
TLZJOIS,O,O,O
TLZJOSI,O,O,X
TLZSIJO,O,X,X
TLZSIOJ,O,O,X
TLZSJIO,O,O,X
TLZSJOI,O,O,X
TLZSOIJ,O,O,X
TLZSOJI,O,O,X
TLZOIJS,O,O,O
TLZOISJ,O,O,X
TLZOJIS,O,O,O
TLZOJSI,O,O,X
TLZOSIJ,O,O,X
TLZOSJI,O,O,X
TLOIJSZ,X,X,X
TLOIJZS,O,X,O
TLOISJZ,X,X,X
TLOISZJ,X,X,X
TLOIZJS,O,X,O
TLOIZSJ,O,X,X
TLOJISZ,X,X,X
TLOJIZS,O,O,O
TLOJSIZ,X,O,X
TLOJSZI,X,O,X
TLOJZIS,O,O,O
TLOJZSI,O,O,X
TLOSIJZ,X,X,X
TLOSIZJ,X,O,X
TLOSJIZ,X,O,X
TLOSJZI,X,O,X
TLOSZIJ,X,O,X
TLOSZJI,X,O,X
TLOZIJS,O,O,O
TLOZISJ,O,O,X
TLOZJIS,O,O,O
TLOZJSI,O,O,X
TLOZSIJ,O,O,X
TLOZSJI,O,O,X
TJILSZO,X,X,X
TJILSOZ,X,X,X
TJILZSO,O,X,X
TJILZOS,O,O,X
TJILOSZ,X,X,X
TJILOZS,O,O,X
TJISLZO,X,X,X
TJISLOZ,X,X,X
TJISZLO,X,X,X
TJISZOL,X,X,X
TJISOLZ,X,X,X
TJISOZL,X,X,X
TJIZLSO,O,X,X
TJIZLOS,O,O,X
TJIZSLO,O,X,X
TJIZSOL,O,X,X
TJIZOLS,O,O,X
TJIZOSL,O,X,X
TJIOLSZ,X,X,X
TJIOLZS,O,O,X
TJIOSLZ,X,X,X
TJIOSZL,X,X,X
TJIOZLS,O,O,X
TJIOZSL,O,X,X
TJLISZO,X,X,X
TJLISOZ,X,X,X
TJLIZSO,O,X,X
TJLIZOS,O,O,X
TJLIOSZ,X,X,X
TJLIOZS,O,O,X
TJLSIZO,X,O,X
TJLSIOZ,X,O,X
TJLSZIO,X,O,X
TJLSZOI,X,O,X
TJLSOIZ,X,O,X
TJLSOZI,X,O,X
TJLZISO,O,X,X
TJLZIOS,O,O,X
TJLZSIO,O,O,X
TJLZSOI,O,O,X
TJLZOIS,O,O,X
TJLZOSI,O,O,X
TJLOISZ,X,X,X
TJLOIZS,O,O,X
TJLOSIZ,X,O,X
TJLOSZI,X,O,X
TJLOZIS,O,O,X
TJLOZSI,O,O,X
TJSILZO,X,O,X
TJSILOZ,X,O,X
TJSIZLO,X,O,X
TJSIZOL,X,O,X
TJSIOLZ,X,O,X
TJSIOZL,X,O,X
TJSLIZO,X,O,X
TJSLIOZ,X,O,X
TJSLZIO,X,O,X
TJSLZOI,X,O,X
TJSLOIZ,X,O,X
TJSLOZI,X,O,X
TJSZILO,X,O,X
TJSZIOL,X,O,X
TJSZLIO,X,O,X
TJSZLOI,X,O,X
TJSZOIL,X,O,X
TJSZOLI,X,O,X
TJSOILZ,X,O,X
TJSOIZL,X,O,X
TJSOLIZ,X,O,X
TJSOLZI,X,O,X
TJSOZIL,X,O,X
TJSOZLI,X,O,X
TJZILSO,O,X,X
TJZILOS,O,O,X
TJZISLO,O,X,X
TJZISOL,O,X,X
TJZIOLS,O,O,X
TJZIOSL,O,X,X
TJZLISO,O,X,X
TJZLIOS,O,O,X
TJZLSIO,O,O,X
TJZLSOI,O,O,X
TJZLOIS,O,O,X
TJZLOSI,O,O,X
TJZSILO,O,O,X
TJZSIOL,O,O,X
TJZSLIO,O,O,X
TJZSLOI,O,O,X
TJZSOIL,O,O,X
TJZSOLI,O,O,X
TJZOILS,O,O,X
TJZOISL,O,X,X
TJZOLIS,O,O,X
TJZOLSI,O,O,X
TJZOSIL,O,O,X
TJZOSLI,O,O,X
TJOILSZ,X,X,X
TJOILZS,O,O,X
TJOISLZ,X,X,X
TJOISZL,X,X,X
TJOIZLS,O,O,X
TJOIZSL,O,X,X
TJOLISZ,X,X,X
TJOLIZS,O,O,X
TJOLSIZ,X,O,X
TJOLSZI,X,O,X
TJOLZIS,O,O,X
TJOLZSI,O,O,X
TJOSILZ,X,O,X
TJOSIZL,X,O,X
TJOSLIZ,X,O,X
TJOSLZI,X,O,X
TJOSZIL,X,O,X
TJOSZLI,X,O,X
TJOZILS,O,O,X
TJOZISL,O,X,X
TJOZLIS,O,O,X
TJOZLSI,O,O,X
TJOZSIL,O,O,X
TJOZSLI,O,O,X
TSILJZO,X,X,X
TSILJOZ,X,X,X
TSILZJO,X,X,X
TSILZOJ,X,O,X
TSILOJZ,X,X,X
TSILOZJ,X,O,X
TSIJLZO,X,X,X
TSIJLOZ,X,X,X
TSIJZLO,X,X,X
TSIJZOL,X,X,X
TSIJOLZ,X,X,X
TSIJOZL,X,X,X
TSIZLJO,X,X,X
TSIZLOJ,X,O,X
TSIZJLO,X,X,X
TSIZJOL,X,X,X
TSIZOLJ,X,O,X
TSIZOJL,X,X,X
TSIOLJZ,X,X,X
TSIOLZJ,X,O,X
TSIOJLZ,X,X,X
TSIOJZL,X,X,X
TSIOZLJ,X,O,X
TSIOZJL,X,X,X
TSLIJZO,X,X,X
TSLIJOZ,X,X,X
TSLIZJO,X,X,X
TSLIZOJ,X,O,X
TSLIOJZ,X,X,X
TSLIOZJ,X,O,X
TSLJIZO,X,O,X
TSLJIOZ,X,O,X
TSLJZIO,X,O,X
TSLJZOI,X,O,X
TSLJOIZ,X,O,X
TSLJOZI,X,O,X
TSLZIJO,X,X,X
TSLZIOJ,X,O,X
TSLZJIO,X,O,X
TSLZJOI,X,O,X
TSLZOIJ,X,O,X
TSLZOJI,X,O,X
TSLOIJZ,X,X,X
TSLOIZJ,X,O,X
TSLOJIZ,X,O,X
TSLOJZI,X,O,X
TSLOZIJ,X,O,X
TSLOZJI,X,O,X
TSJILZO,X,O,X
TSJILOZ,X,O,X
TSJIZLO,X,O,X
TSJIZOL,X,O,X
TSJIOLZ,X,O,X
TSJIOZL,X,O,X
TSJLIZO,X,O,X
TSJLIOZ,X,O,X
TSJLZIO,X,O,X
TSJLZOI,X,O,X
TSJLOIZ,X,O,X
TSJLOZI,X,O,X
TSJZILO,X,O,X
TSJZIOL,X,O,X
TSJZLIO,X,O,X
TSJZLOI,X,O,X
TSJZOIL,X,O,X
TSJZOLI,X,O,X
TSJOILZ,X,O,X
TSJOIZL,X,O,X
TSJOLIZ,X,O,X
TSJOLZI,X,O,X
TSJOZIL,X,O,X
TSJOZLI,X,O,X
TSZILJO,X,X,X
TSZILOJ,X,O,X
TSZIJLO,X,X,X
TSZIJOL,X,X,X
TSZIOLJ,X,O,X
TSZIOJL,X,X,X
TSZLIJO,X,X,X
TSZLIOJ,X,O,X
TSZLJIO,X,O,X
TSZLJOI,X,O,X
TSZLOIJ,X,O,X
TSZLOJI,X,O,X
TSZJILO,X,O,X
TSZJIOL,X,O,X
TSZJLIO,X,O,X
TSZJLOI,X,O,X
TSZJOIL,X,O,X
TSZJOLI,X,O,X
TSZOILJ,X,O,X
TSZOIJL,X,X,X
TSZOLIJ,X,O,X
TSZOLJI,X,O,X
TSZOJIL,X,O,X
TSZOJLI,X,O,X
TSOILJZ,X,X,X
TSOILZJ,X,O,X
TSOIJLZ,X,X,X
TSOIJZL,X,X,X
TSOIZLJ,X,O,X
TSOIZJL,X,X,X
TSOLIJZ,X,X,X
TSOLIZJ,X,O,X
TSOLJIZ,X,O,X
TSOLJZI,X,O,X
TSOLZIJ,X,O,X
TSOLZJI,X,O,X
TSOJILZ,X,O,X
TSOJIZL,X,O,X
TSOJLIZ,X,O,X
TSOJLZI,X,O,X
TSOJZIL,X,O,X
TSOJZLI,X,O,X
TSOZILJ,X,O,X
TSOZIJL,X,X,X
TSOZLIJ,X,O,X
TSOZLJI,X,O,X
TSOZJIL,X,O,X
TSOZJLI,X,O,X
TZILJSO,O,X,X
TZILJOS,O,X,X
TZILSJO,O,X,X
TZILSOJ,O,X,X
TZILOJS,O,O,X
TZILOSJ,O,O,X
TZIJLSO,O,X,X
TZIJLOS,O,X,X
TZIJSLO,O,X,X
TZIJSOL,O,X,X
TZIJOLS,O,X,X
TZIJOSL,O,X,X
TZISLJO,O,X,X
TZISLOJ,O,X,X
TZISJLO,O,X,X
TZISJOL,O,X,X
TZISOLJ,O,X,X
TZISOJL,O,X,X
TZIOLJS,O,O,X
TZIOLSJ,O,O,X
TZIOJLS,O,X,X
TZIOJSL,O,X,X
TZIOSLJ,O,X,X
TZIOSJL,O,X,X
TZLIJSO,O,X,X
TZLIJOS,O,X,X
TZLISJO,O,X,X
TZLISOJ,O,X,X
TZLIOJS,O,O,X
TZLIOSJ,O,O,X
TZLJISO,O,X,X
TZLJIOS,O,O,X
TZLJSIO,O,O,X
TZLJSOI,O,O,X
TZLJOIS,O,O,X
TZLJOSI,O,O,X
TZLSIJO,O,X,X
TZLSIOJ,O,O,X
TZLSJIO,O,O,X
TZLSJOI,O,O,X
TZLSOIJ,O,O,X
TZLSOJI,O,O,X
TZLOIJS,O,O,X
TZLOISJ,O,O,X
TZLOJIS,O,O,X
TZLOJSI,O,O,X
TZLOSIJ,O,O,X
TZLOSJI,O,O,X
TZJILSO,O,X,X
TZJILOS,O,O,X
TZJISLO,O,X,X
TZJISOL,O,X,X
TZJIOLS,O,O,X
TZJIOSL,O,X,X
TZJLISO,O,X,X
TZJLIOS,O,O,X
TZJLSIO,O,O,X
TZJLSOI,O,O,X
TZJLOIS,O,O,X
TZJLOSI,O,O,X
TZJSILO,O,O,X
TZJSIOL,O,O,X
TZJSLIO,O,O,X
TZJSLOI,O,O,X
TZJSOIL,O,O,X
TZJSOLI,O,O,X
TZJOILS,O,O,X
TZJOISL,O,X,X
TZJOLIS,O,O,X
TZJOLSI,O,O,X
TZJOSIL,O,O,X
TZJOSLI,O,O,X
TZSILJO,O,X,X
TZSILOJ,O,O,X
TZSIJLO,O,X,X
TZSIJOL,O,X,X
TZSIOLJ,O,O,X
TZSIOJL,O,X,X
TZSLIJO,O,X,X
TZSLIOJ,O,O,X
TZSLJIO,O,O,X
TZSLJOI,O,O,X
TZSLOIJ,O,O,X
TZSLOJI,O,O,X
TZSJILO,O,O,X
TZSJIOL,O,O,X
TZSJLIO,O,O,X
TZSJLOI,O,O,X
TZSJOIL,O,O,X
TZSJOLI,O,O,X
TZSOILJ,O,O,X
TZSOIJL,O,X,X
TZSOLIJ,O,O,X
TZSOLJI,O,O,X
TZSOJIL,O,O,X
TZSOJLI,O,O,X
TZOILJS,O,O,X
TZOILSJ,O,O,X
TZOIJLS,O,X,X
TZOIJSL,O,X,X
TZOISLJ,O,X,X
TZOISJL,O,X,X
TZOLIJS,O,O,X
TZOLISJ,O,O,X
TZOLJIS,O,O,X
TZOLJSI,O,O,X
TZOLSIJ,O,O,X
TZOLSJI,O,O,X
TZOJILS,O,O,X
TZOJISL,O,X,X
TZOJLIS,O,O,X
TZOJLSI,O,O,X
TZOJSIL,O,O,X
TZOJSLI,O,O,X
TZOSILJ,O,O,X
TZOSIJL,O,X,X
TZOSLIJ,O,O,X
TZOSLJI,O,O,X
TZOSJIL,O,O,X
TZOSJLI,O,O,X
TOILJSZ,X,X,X
TOILJZS,O,X,O
TOILSJZ,X,X,X
TOILSZJ,X,X,X
TOILZJS,O,X,O
TOILZSJ,O,X,X
TOIJLSZ,X,X,X
TOIJLZS,O,X,X
TOIJSLZ,X,X,X
TOIJSZL,X,X,X
TOIJZLS,O,X,X
TOIJZSL,O,X,X
TOISLJZ,X,X,X
TOISLZJ,X,X,X
TOISJLZ,X,X,X
TOISJZL,X,X,X
TOISZLJ,X,X,X
TOISZJL,X,X,X
TOIZLJS,O,X,X
TOIZLSJ,O,X,X
TOIZJLS,O,X,X
TOIZJSL,O,X,X
TOIZSLJ,O,X,X
TOIZSJL,O,X,X
TOLIJSZ,X,X,X
TOLIJZS,O,X,O
TOLISJZ,X,X,X
TOLISZJ,X,X,X
TOLIZJS,O,X,O
TOLIZSJ,O,X,X
TOLJISZ,X,X,X
TOLJIZS,O,O,O
TOLJSIZ,X,O,X
TOLJSZI,X,O,X
TOLJZIS,O,O,O
TOLJZSI,O,O,X
TOLSIJZ,X,X,X
TOLSIZJ,X,O,X
TOLSJIZ,X,O,X
TOLSJZI,X,O,X
TOLSZIJ,X,O,X
TOLSZJI,X,O,X
TOLZIJS,O,O,O
TOLZISJ,O,O,X
TOLZJIS,O,O,O
TOLZJSI,O,O,X
TOLZSIJ,O,O,X
TOLZSJI,O,O,X
TOJILSZ,X,X,X
TOJILZS,O,O,X
TOJISLZ,X,X,X
TOJISZL,X,X,X
TOJIZLS,O,O,X
TOJIZSL,O,X,X
TOJLISZ,X,X,X
TOJLIZS,O,O,X
TOJLSIZ,X,O,X
TOJLSZI,X,O,X
TOJLZIS,O,O,X
TOJLZSI,O,O,X
TOJSILZ,X,O,X
TOJSIZL,X,O,X
TOJSLIZ,X,O,X
TOJSLZI,X,O,X
TOJSZIL,X,O,X
TOJSZLI,X,O,X
TOJZILS,O,O,X
TOJZISL,O,X,X
TOJZLIS,O,O,X
TOJZLSI,O,O,X
TOJZSIL,O,O,X
TOJZSLI,O,O,X
TOSILJZ,X,X,X
TOSILZJ,X,O,X
TOSIJLZ,X,X,X
TOSIJZL,X,X,X
TOSIZLJ,X,O,X
TOSIZJL,X,X,X
TOSLIJZ,X,X,X
TOSLIZJ,X,O,X
TOSLJIZ,X,O,X
TOSLJZI,X,O,X
TOSLZIJ,X,O,X
TOSLZJI,X,O,X
TOSJILZ,X,O,X
TOSJIZL,X,O,X
TOSJLIZ,X,O,X
TOSJLZI,X,O,X
TOSJZIL,X,O,X
TOSJZLI,X,O,X
TOSZILJ,X,O,X
TOSZIJL,X,X,X
TOSZLIJ,X,O,X
TOSZLJI,X,O,X
TOSZJIL,X,O,X
TOSZJLI,X,O,X
TOZILJS,O,O,X
TOZILSJ,O,O,X
TOZIJLS,O,X,X
TOZIJSL,O,X,X
TOZISLJ,O,X,X
TOZISJL,O,X,X
TOZLIJS,O,O,X
TOZLISJ,O,O,X
TOZLJIS,O,O,X
TOZLJSI,O,O,X
TOZLSIJ,O,O,X
TOZLSJI,O,O,X
TOZJILS,O,O,X
TOZJISL,O,X,X
TOZJLIS,O,O,X
TOZJLSI,O,O,X
TOZJSIL,O,O,X
TOZJSLI,O,O,X
TOZSILJ,O,O,X
TOZSIJL,O,X,X
TOZSLIJ,O,O,X
TOZSLJI,O,O,X
TOZSJIL,O,O,X
TOZSJLI,O,O,X
ITLJSZO,X,X,X
ITLJSOZ,X,X,X
ITLJZSO,O,X,X
ITLJZOS,O,X,O
ITLJOSZ,X,X,X
ITLJOZS,O,X,O
ITLSJZO,X,X,X
ITLSJOZ,X,X,X
ITLSZJO,X,X,X
ITLSZOJ,X,X,X
ITLSOJZ,X,X,X
ITLSOZJ,X,X,X
ITLZJSO,O,X,X
ITLZJOS,O,X,O
ITLZSJO,O,X,X
ITLZSOJ,O,X,X
ITLZOJS,O,X,O
ITLZOSJ,O,X,X
ITLOJSZ,X,X,X
ITLOJZS,O,X,O
ITLOSJZ,X,X,X
ITLOSZJ,X,X,X
ITLOZJS,O,X,O
ITLOZSJ,O,X,X
ITJLSZO,X,X,X
ITJLSOZ,X,X,X
ITJLZSO,O,X,X
ITJLZOS,O,X,X
ITJLOSZ,X,X,X
ITJLOZS,O,X,X
ITJSLZO,X,X,X
ITJSLOZ,X,X,X
ITJSZLO,X,X,X
ITJSZOL,X,X,X
ITJSOLZ,X,X,X
ITJSOZL,X,X,X
ITJZLSO,O,X,X
ITJZLOS,O,X,X
ITJZSLO,O,X,X
ITJZSOL,O,X,X
ITJZOLS,O,X,X
ITJZOSL,O,X,X
ITJOLSZ,X,X,X
ITJOLZS,O,X,X
ITJOSLZ,X,X,X
ITJOSZL,X,X,X
ITJOZLS,O,X,X
ITJOZSL,O,X,X
ITSLJZO,X,X,X
ITSLJOZ,X,X,X
ITSLZJO,X,X,X
ITSLZOJ,X,X,X
ITSLOJZ,X,X,X
ITSLOZJ,X,X,X
ITSJLZO,X,X,X
ITSJLOZ,X,X,X
ITSJZLO,X,X,X
ITSJZOL,X,X,X
ITSJOLZ,X,X,X
ITSJOZL,X,X,X
ITSZLJO,X,X,X
ITSZLOJ,X,X,X
ITSZJLO,X,X,X
ITSZJOL,X,X,X
ITSZOLJ,X,X,X
ITSZOJL,X,X,X
ITSOLJZ,X,X,X
ITSOLZJ,X,X,X
ITSOJLZ,X,X,X
ITSOJZL,X,X,X
ITSOZLJ,X,X,X
ITSOZJL,X,X,X
ITZLJSO,O,X,X
ITZLJOS,O,X,X
ITZLSJO,O,X,X
ITZLSOJ,O,X,X
ITZLOJS,O,X,X
ITZLOSJ,O,X,X
ITZJLSO,O,X,X
ITZJLOS,O,X,X
ITZJSLO,O,X,X
ITZJSOL,O,X,X
ITZJOLS,O,X,X
ITZJOSL,O,X,X
ITZSLJO,O,X,X
ITZSLOJ,O,X,X
ITZSJLO,O,X,X
ITZSJOL,O,X,X
ITZSOLJ,O,X,X
ITZSOJL,O,X,X
ITZOLJS,O,X,X
ITZOLSJ,O,X,X
ITZOJLS,O,X,X
ITZOJSL,O,X,X
ITZOSLJ,O,X,X
ITZOSJL,O,X,X
ITOLJSZ,X,X,X
ITOLJZS,O,X,O
ITOLSJZ,X,X,X
ITOLSZJ,X,X,X
ITOLZJS,O,X,O
ITOLZSJ,O,X,X
ITOJLSZ,X,X,X
ITOJLZS,O,X,X
ITOJSLZ,X,X,X
ITOJSZL,X,X,X
ITOJZLS,O,X,X
ITOJZSL,O,X,X
ITOSLJZ,X,X,X
ITOSLZJ,X,X,X
ITOSJLZ,X,X,X
ITOSJZL,X,X,X
ITOSZLJ,X,X,X
ITOSZJL,X,X,X
ITOZLJS,O,X,X
ITOZLSJ,O,X,X
ITOZJLS,O,X,X
ITOZJSL,O,X,X
ITOZSLJ,O,X,X
ITOZSJL,O,X,X
ILTJSZO,X,X,X
ILTJSOZ,X,X,X
ILTJZSO,O,X,X
ILTJZOS,O,X,O
ILTJOSZ,X,X,X
ILTJOZS,O,X,O
ILTSJZO,X,X,X
ILTSJOZ,X,X,X
ILTSZJO,X,X,X
ILTSZOJ,X,X,X
ILTSOJZ,X,X,X
ILTSOZJ,X,X,X
ILTZJSO,O,X,X
ILTZJOS,O,X,O
ILTZSJO,O,X,X
ILTZSOJ,O,X,X
ILTZOJS,O,X,O
ILTZOSJ,O,X,X
ILTOJSZ,X,X,X
ILTOJZS,O,X,O
ILTOSJZ,X,X,X
ILTOSZJ,X,X,X
ILTOZJS,O,X,O
ILTOZSJ,O,X,X
ILJTSZO,X,X,X
ILJTSOZ,X,X,X
ILJTZSO,O,X,X
ILJTZOS,O,X,O
ILJTOSZ,X,X,X
ILJTOZS,O,X,O
ILJSTZO,X,X,X
ILJSTOZ,X,X,X
ILJSZTO,X,X,X
ILJSZOT,X,X,X
ILJSOTZ,X,X,X
ILJSOZT,X,X,X
ILJZTSO,X,X,X
ILJZTOS,X,X,O
ILJZSTO,X,X,X
ILJZSOT,X,X,X
ILJZOTS,X,X,O
ILJZOST,X,X,X
ILJOTSZ,X,X,X
ILJOTZS,O,X,O
ILJOSTZ,X,X,X
ILJOSZT,X,X,X
ILJOZTS,X,X,O
ILJOZST,X,X,X
ILSTJZO,X,X,X
ILSTJOZ,X,X,X
ILSTZJO,X,X,X
ILSTZOJ,X,X,X
ILSTOJZ,X,X,X
ILSTOZJ,X,X,X
ILSJTZO,X,X,X
ILSJTOZ,X,X,X
ILSJZTO,X,X,X
ILSJZOT,X,X,X
ILSJOTZ,X,X,X
ILSJOZT,X,X,X
ILSZTJO,X,X,X
ILSZTOJ,X,X,X
ILSZJTO,X,X,X
ILSZJOT,X,X,X
ILSZOTJ,X,X,X
ILSZOJT,X,X,X
ILSOTJZ,X,X,X
ILSOTZJ,X,X,X
ILSOJTZ,X,X,X
ILSOJZT,X,X,X
ILSOZTJ,X,X,X
ILSOZJT,X,X,X
ILZTJSO,X,X,X
ILZTJOS,X,X,O
ILZTSJO,X,X,X
ILZTSOJ,X,X,X
ILZTOJS,X,X,O
ILZTOSJ,X,X,X
ILZJTSO,X,X,X
ILZJTOS,X,X,O
ILZJSTO,X,X,X
ILZJSOT,X,X,X
ILZJOTS,X,X,O
ILZJOST,X,X,X
ILZSTJO,X,X,X
ILZSTOJ,X,X,X
ILZSJTO,X,X,X
ILZSJOT,X,X,X
ILZSOTJ,X,X,X
ILZSOJT,X,X,X
ILZOTJS,X,X,O
ILZOTSJ,X,X,X
ILZOJTS,X,X,O
ILZOJST,X,X,X
ILZOSTJ,X,X,X
ILZOSJT,X,X,X
ILOTJSZ,X,X,X
ILOTJZS,O,X,O
ILOTSJZ,X,X,X
ILOTSZJ,X,X,X
ILOTZJS,O,X,O
ILOTZSJ,O,X,X
ILOJTSZ,X,X,X
ILOJTZS,O,X,O
ILOJSTZ,X,X,X
ILOJSZT,X,X,X
ILOJZTS,X,X,O
ILOJZST,X,X,X
ILOSTJZ,X,X,X
ILOSTZJ,X,X,X
ILOSJTZ,X,X,X
ILOSJZT,X,X,X
ILOSZTJ,X,X,X
ILOSZJT,X,X,X
ILOZTJS,X,X,O
ILOZTSJ,X,X,X
ILOZJTS,X,X,O
ILOZJST,X,X,X
ILOZSTJ,X,X,X
ILOZSJT,X,X,X
IJTLSZO,X,X,X
IJTLSOZ,X,X,X
IJTLZSO,O,X,X
IJTLZOS,O,X,X
IJTLOSZ,X,X,X
IJTLOZS,O,X,X
IJTSLZO,X,X,X
