sequence,v115@MhB8GeC8DeF8BeA8JeZEJvhFUgBFhB6nBTjBWqBXtB,v115@MhB8GeC8DeF8BeA8JeZEJvhFukBFhB0iBTlBStBXtB,v115@MhB8GeC8DeF8BeA8JeZEJvhFFgBXhB0iB6oBWqBzsB
IJTSZOL,O,X,X
IJTSOLZ,O,X,O
IJTSOZL,O,X,O
IJTZLSO,O,X,O
IJTZLOS,X,X,X
IJTZSLO,O,X,O
IJTZSOL,O,X,X
IJTZOLS,X,X,X
IJTZOSL,X,X,X
IJTOLSZ,X,X,O
IJTOLZS,X,X,O
IJTOSLZ,X,X,O
IJTOSZL,X,X,O
IJTOZLS,X,X,O
IJTOZSL,X,X,O
IJLTSZO,O,X,O
IJLTSOZ,O,X,X
IJLTZSO,O,X,O
IJLTZOS,X,X,X
IJLTOSZ,X,X,X
IJLTOZS,X,X,X
IJLSTZO,O,X,O
IJLSTOZ,O,X,X
IJLSZTO,O,X,O
IJLSZOT,O,X,X
IJLSOTZ,O,X,X
IJLSOZT,O,X,X
IJLZTSO,O,X,O
IJLZTOS,X,X,X
IJLZSTO,O,X,O
IJLZSOT,O,X,X
IJLZOTS,X,X,X
IJLZOST,X,X,X
IJLOTSZ,X,X,X
IJLOTZS,X,X,X
IJLOSTZ,X,X,X
IJLOSZT,X,X,X
IJLOZTS,X,X,X
IJLOZST,X,X,X
IJSTLZO,O,X,O
IJSTLOZ,O,X,X
IJSTZLO,O,X,O
IJSTZOL,O,X,X
IJSTOLZ,O,X,O
IJSTOZL,O,X,O
IJSLTZO,O,X,O
IJSLTOZ,O,X,X
IJSLZTO,O,X,O
IJSLZOT,O,X,X
IJSLOTZ,O,X,X
IJSLOZT,O,X,X
IJSZTLO,O,X,O
IJSZTOL,O,X,X
IJSZLTO,O,X,O
IJSZLOT,O,X,X
IJSZOTL,O,X,X
IJSZOLT,O,X,X
IJSOTLZ,O,X,O
IJSOTZL,O,X,O
IJSOLTZ,O,X,O
IJSOLZT,O,X,O
IJSOZTL,O,X,O
IJSOZLT,O,X,O
IJZTLSO,O,X,O
IJZTLOS,X,X,X
IJZTSLO,O,X,O
IJZTSOL,O,X,X
IJZTOLS,X,X,X
IJZTOSL,X,X,X
IJZLTSO,O,X,O
IJZLTOS,X,X,X
IJZLSTO,O,X,O
IJZLSOT,O,X,X
IJZLOTS,X,X,X
IJZLOST,X,X,X
IJZSTLO,O,X,O
IJZSTOL,O,X,X
IJZSLTO,O,X,O
IJZSLOT,O,X,X
IJZSOTL,O,X,X
IJZSOLT,O,X,X
IJZOTLS,X,X,X
IJZOTSL,X,X,X
IJZOLTS,X,X,X
IJZOLST,X,X,X
IJZOSTL,X,X,X
IJZOSLT,X,X,X
IJOTLSZ,X,X,O
IJOTLZS,X,X,O
IJOTSLZ,X,X,O
IJOTSZL,X,X,O
IJOTZLS,X,X,O
IJOTZSL,X,X,O
IJOLTSZ,X,X,O
IJOLTZS,X,X,O
IJOLSTZ,X,X,O
IJOLSZT,X,X,O
IJOLZTS,X,X,O
IJOLZST,X,X,O
IJOSTLZ,X,X,O
IJOSTZL,X,X,O
IJOSLTZ,X,X,O
IJOSLZT,X,X,O
IJOSZTL,X,X,O
IJOSZLT,X,X,O
IJOZTLS,X,X,O
IJOZTSL,X,X,O
IJOZLTS,X,X,O
IJOZLST,X,X,O
IJOZSTL,X,X,O
IJOZSLT,X,X,O
ISTLJZO,O,X,X
ISTLJOZ,O,X,X
ISTLZJO,X,X,O
ISTLZOJ,X,X,X
ISTLOJZ,O,X,X
ISTLOZJ,X,X,X
ISTJLZO,O,X,X
ISTJLOZ,O,X,X
ISTJZLO,O,X,X
ISTJZOL,O,X,X
ISTJOLZ,O,X,X
ISTJOZL,O,X,X
ISTZLJO,X,X,O
ISTZLOJ,X,X,X
ISTZJLO,X,X,X
ISTZJOL,X,X,X
ISTZOLJ,X,X,X
ISTZOJL,X,X,X
ISTOLJZ,O,X,X
ISTOLZJ,X,X,O
ISTOJLZ,O,X,X
ISTOJZL,O,X,X
ISTOZLJ,X,X,O
ISTOZJL,X,X,X
ISLTJZO,O,X,X
ISLTJOZ,O,X,X
ISLTZJO,X,X,O
ISLTZOJ,X,X,X
ISLTOJZ,O,X,X
ISLTOZJ,X,X,X
ISLJTZO,O,X,O
ISLJTOZ,O,X,X
ISLJZTO,O,X,O
ISLJZOT,O,X,X
ISLJOTZ,O,X,X
ISLJOZT,O,X,X
ISLZTJO,X,X,O
ISLZTOJ,X,X,X
ISLZJTO,X,X,O
ISLZJOT,X,X,X
ISLZOTJ,X,X,X
ISLZOJT,X,X,X
ISLOTJZ,O,X,X
ISLOTZJ,X,X,X
ISLOJTZ,O,X,X
ISLOJZT,O,X,X
ISLOZTJ,X,X,X
ISLOZJT,X,X,X
ISJTLZO,O,X,O
ISJTLOZ,O,X,X
ISJTZLO,O,X,O
ISJTZOL,O,X,X
ISJTOLZ,O,X,O
ISJTOZL,O,X,O
ISJLTZO,O,X,O
ISJLTOZ,O,X,X
ISJLZTO,O,X,O
ISJLZOT,O,X,X
ISJLOTZ,O,X,X
ISJLOZT,O,X,X
ISJZTLO,O,X,O
ISJZTOL,O,X,X
ISJZLTO,O,X,O
ISJZLOT,O,X,X
ISJZOTL,O,X,X
ISJZOLT,O,X,X
ISJOTLZ,O,X,O
ISJOTZL,O,X,O
ISJOLTZ,O,X,O
ISJOLZT,O,X,O
ISJOZTL,O,X,O
ISJOZLT,O,X,O
ISZTLJO,X,X,O
ISZTLOJ,X,X,X
ISZTJLO,X,X,X
ISZTJOL,X,X,X
ISZTOLJ,X,X,X
ISZTOJL,X,X,X
ISZLTJO,X,X,O
ISZLTOJ,X,X,X
ISZLJTO,X,X,O
ISZLJOT,X,X,X
ISZLOTJ,X,X,X
ISZLOJT,X,X,X
ISZJTLO,X,X,O
ISZJTOL,X,X,X
ISZJLTO,X,X,O
ISZJLOT,X,X,X
ISZJOTL,X,X,X
ISZJOLT,X,X,X
ISZOTLJ,X,X,X
ISZOTJL,X,X,X
ISZOLTJ,X,X,X
ISZOLJT,X,X,X
ISZOJTL,X,X,X
ISZOJLT,X,X,X
ISOTLJZ,O,X,X
ISOTLZJ,X,X,O
ISOTJLZ,O,X,X
ISOTJZL,O,X,X
ISOTZLJ,X,X,O
ISOTZJL,X,X,X
ISOLTJZ,O,X,X
ISOLTZJ,X,X,O
ISOLJTZ,O,X,O
ISOLJZT,O,X,O
ISOLZTJ,X,X,O
ISOLZJT,X,X,O
ISOJTLZ,O,X,O
ISOJTZL,O,X,O
ISOJLTZ,O,X,O
ISOJLZT,O,X,O
ISOJZTL,O,X,O
ISOJZLT,O,X,O
ISOZTLJ,X,X,O
ISOZTJL,X,X,X
ISOZLTJ,X,X,O
ISOZLJT,X,X,O
ISOZJTL,X,X,O
ISOZJLT,X,X,O
IZTLJSO,X,X,X
IZTLJOS,X,X,X
IZTLSJO,X,X,X
IZTLSOJ,X,X,X
IZTLOJS,X,O,X
IZTLOSJ,X,X,X
IZTJLSO,X,X,X
IZTJLOS,X,X,X
IZTJSLO,X,X,X
IZTJSOL,X,X,X
IZTJOLS,X,X,X
IZTJOSL,X,X,X
IZTSLJO,X,X,X
IZTSLOJ,X,X,X
IZTSJLO,X,X,X
IZTSJOL,X,X,X
IZTSOLJ,X,X,X
IZTSOJL,X,X,X
IZTOLJS,X,O,X
IZTOLSJ,X,X,X
IZTOJLS,X,O,X
IZTOJSL,X,X,X
IZTOSLJ,X,X,X
IZTOSJL,X,X,X
IZLTJSO,X,X,X
IZLTJOS,X,X,X
IZLTSJO,X,X,X
IZLTSOJ,X,X,X
IZLTOJS,X,O,X
IZLTOSJ,X,X,X
IZLJTSO,X,X,O
IZLJTOS,X,X,X
IZLJSTO,X,X,O
IZLJSOT,X,X,X
IZLJOTS,X,X,X
IZLJOST,X,X,X
IZLSTJO,X,X,O
IZLSTOJ,X,X,X
IZLSJTO,X,X,O
IZLSJOT,X,X,X
IZLSOTJ,X,X,X
IZLSOJT,X,X,X
IZLOTJS,X,O,X
IZLOTSJ,X,X,X
IZLOJTS,X,O,X
IZLOJST,X,X,X
IZLOSTJ,X,X,X
IZLOSJT,X,X,X
IZJTLSO,X,X,O
IZJTLOS,X,X,X
IZJTSLO,X,X,O
IZJTSOL,X,X,X
IZJTOLS,X,X,X
IZJTOSL,X,X,X
IZJLTSO,X,X,O
IZJLTOS,X,X,X
IZJLSTO,X,X,O
IZJLSOT,X,X,X
IZJLOTS,X,X,X
IZJLOST,X,X,X
IZJSTLO,X,X,O
IZJSTOL,X,X,X
IZJSLTO,X,X,O
IZJSLOT,X,X,X
IZJSOTL,X,X,X
IZJSOLT,X,X,X
IZJOTLS,X,X,X
IZJOTSL,X,X,X
IZJOLTS,X,X,X
IZJOLST,X,X,X
IZJOSTL,X,X,X
IZJOSLT,X,X,X
IZSTLJO,X,X,O
IZSTLOJ,X,X,X
IZSTJLO,X,X,X
IZSTJOL,X,X,X
IZSTOLJ,X,X,X
IZSTOJL,X,X,X
IZSLTJO,X,X,O
IZSLTOJ,X,X,X
IZSLJTO,X,X,O
IZSLJOT,X,X,X
IZSLOTJ,X,X,X
IZSLOJT,X,X,X
IZSJTLO,X,X,O
IZSJTOL,X,X,X
IZSJLTO,X,X,O
IZSJLOT,X,X,X
IZSJOTL,X,X,X
IZSJOLT,X,X,X
IZSOTLJ,X,X,X
IZSOTJL,X,X,X
IZSOLTJ,X,X,X
IZSOLJT,X,X,X
IZSOJTL,X,X,X
IZSOJLT,X,X,X
IZOTLJS,X,O,X
IZOTLSJ,X,X,X
IZOTJLS,X,O,X
IZOTJSL,X,X,X
IZOTSLJ,X,X,X
IZOTSJL,X,X,X
IZOLTJS,X,O,X
IZOLTSJ,X,X,X
IZOLJTS,X,O,X
IZOLJST,X,X,X
IZOLSTJ,X,X,X
IZOLSJT,X,X,X
IZOJTLS,X,O,X
IZOJTSL,X,X,X
IZOJLTS,X,O,X
IZOJLST,X,X,X
IZOJSTL,X,X,X
IZOJSLT,X,X,X
IZOSTLJ,X,X,X
IZOSTJL,X,X,X
IZOSLTJ,X,X,X
IZOSLJT,X,X,X
IZOSJTL,X,X,X
IZOSJLT,X,X,X
IOTLJSZ,X,X,X
IOTLJZS,X,O,X
IOTLSJZ,X,X,X
IOTLSZJ,X,X,X
IOTLZJS,X,O,X
IOTLZSJ,X,X,X
IOTJLSZ,X,X,X
IOTJLZS,X,O,X
IOTJSLZ,X,X,X
IOTJSZL,X,X,X
IOTJZLS,X,O,X
IOTJZSL,X,X,X
IOTSLJZ,X,X,X
IOTSLZJ,X,X,X
IOTSJLZ,X,X,X
IOTSJZL,X,X,X
IOTSZLJ,X,X,X
IOTSZJL,X,X,X
IOTZLJS,X,O,X
IOTZLSJ,X,X,X
IOTZJLS,X,O,X
IOTZJSL,X,X,X
IOTZSLJ,X,X,X
IOTZSJL,X,X,X
IOLTJSZ,X,X,X
IOLTJZS,X,O,X
IOLTSJZ,X,X,X
IOLTSZJ,X,X,X
IOLTZJS,X,O,X
IOLTZSJ,X,X,X
IOLJTSZ,X,X,O
IOLJTZS,X,O,O
IOLJSTZ,X,X,O
IOLJSZT,X,X,O
IOLJZTS,X,O,O
IOLJZST,X,X,O
IOLSTJZ,X,X,X
IOLSTZJ,X,X,O
IOLSJTZ,X,X,O
IOLSJZT,X,X,O
IOLSZTJ,X,X,O
IOLSZJT,X,X,O
IOLZTJS,X,O,X
IOLZTSJ,X,X,X
IOLZJTS,X,O,O
IOLZJST,X,X,O
IOLZSTJ,X,X,O
IOLZSJT,X,X,O
IOJTLSZ,X,X,O
IOJTLZS,X,O,O
IOJTSLZ,X,X,O
IOJTSZL,X,X,O
IOJTZLS,X,O,O
IOJTZSL,X,X,O
IOJLTSZ,X,X,O
IOJLTZS,X,O,O
IOJLSTZ,X,X,O
IOJLSZT,X,X,O
IOJLZTS,X,O,O
IOJLZST,X,X,O
IOJSTLZ,X,X,O
IOJSTZL,X,X,O
IOJSLTZ,X,X,O
IOJSLZT,X,X,O
IOJSZTL,X,X,O
IOJSZLT,X,X,O
IOJZTLS,X,O,O
IOJZTSL,X,X,O
IOJZLTS,X,O,O
IOJZLST,X,X,O
IOJZSTL,X,X,O
IOJZSLT,X,X,O
IOSTLJZ,X,X,X
IOSTLZJ,X,X,O
IOSTJLZ,X,X,X
IOSTJZL,X,X,X
IOSTZLJ,X,X,O
IOSTZJL,X,X,X
IOSLTJZ,X,X,X
IOSLTZJ,X,X,O
IOSLJTZ,X,X,O
IOSLJZT,X,X,O
IOSLZTJ,X,X,O
IOSLZJT,X,X,O
IOSJTLZ,X,X,O
IOSJTZL,X,X,O
IOSJLTZ,X,X,O
IOSJLZT,X,X,O
IOSJZTL,X,X,O
IOSJZLT,X,X,O
IOSZTLJ,X,X,O
IOSZTJL,X,X,X
IOSZLTJ,X,X,O
IOSZLJT,X,X,O
IOSZJTL,X,X,O
IOSZJLT,X,X,O
IOZTLJS,X,O,X
IOZTLSJ,X,X,X
IOZTJLS,X,O,X
IOZTJSL,X,X,X
IOZTSLJ,X,X,X
IOZTSJL,X,X,X
IOZLTJS,X,O,X
IOZLTSJ,X,X,X
IOZLJTS,X,O,O
IOZLJST,X,X,O
IOZLSTJ,X,X,O
IOZLSJT,X,X,O
IOZJTLS,X,O,O
IOZJTSL,X,X,O
IOZJLTS,X,O,O
IOZJLST,X,X,O
IOZJSTL,X,X,O
IOZJSLT,X,X,O
IOZSTLJ,X,X,O
IOZSTJL,X,X,X
IOZSLTJ,X,X,O
IOZSLJT,X,X,O
IOZSJTL,X,X,O
IOZSJLT,X,X,O
LTIJSZO,O,X,X
LTIJSOZ,O,X,X
LTIJZSO,O,X,X
LTIJZOS,X,X,X
LTIJOSZ,X,X,X
LTIJOZS,X,X,X
LTISJZO,O,X,X
LTISJOZ,O,X,X
LTISZJO,X,X,X
LTISZOJ,X,X,X
LTISOJZ,O,X,X
LTISOZJ,X,X,X
LTIZJSO,X,X,X
LTIZJOS,X,X,X
LTIZSJO,X,X,X
LTIZSOJ,X,X,X
LTIZOJS,X,O,X
LTIZOSJ,X,X,X
LTIOJSZ,X,X,X
LTIOJZS,X,O,X
LTIOSJZ,X,X,X
LTIOSZJ,X,X,X
LTIOZJS,X,O,X
LTIOZSJ,X,X,X
LTJISZO,O,X,X
LTJISOZ,O,X,X
LTJIZSO,O,X,X
LTJIZOS,X,X,X
LTJIOSZ,X,X,X
LTJIOZS,X,X,X
LTJSIZO,O,X,X
LTJSIOZ,O,X,X
LTJSZIO,O,X,X
LTJSZOI,O,X,X
LTJSOIZ,O,X,X
LTJSOZI,O,X,X
LTJZISO,O,X,X
LTJZIOS,X,X,X
LTJZSIO,O,X,X
LTJZSOI,O,X,X
LTJZOIS,X,X,X
LTJZOSI,X,X,X
LTJOISZ,X,X,X
LTJOIZS,X,X,X
LTJOSIZ,X,X,X
LTJOSZI,X,X,X
LTJOZIS,X,X,X
LTJOZSI,X,X,X
LTSIJZO,O,X,X
LTSIJOZ,O,X,X
LTSIZJO,X,X,X
LTSIZOJ,X,X,X
LTSIOJZ,O,X,X
LTSIOZJ,X,X,X
LTSJIZO,O,X,X
LTSJIOZ,O,X,X
LTSJZIO,O,X,X
LTSJZOI,O,X,X
LTSJOIZ,O,X,X
LTSJOZI,O,X,X
LTSZIJO,X,X,X
LTSZIOJ,X,X,X
LTSZJIO,X,X,X
LTSZJOI,X,X,X
LTSZOIJ,X,X,X
LTSZOJI,X,X,X
LTSOIJZ,O,X,X
LTSOIZJ,X,X,X
LTSOJIZ,O,X,X
LTSOJZI,O,X,X
LTSOZIJ,X,X,X
LTSOZJI,X,X,X
LTZIJSO,X,X,X
LTZIJOS,X,X,X
LTZISJO,X,X,X
LTZISOJ,X,X,X
LTZIOJS,X,O,X
LTZIOSJ,X,X,X
LTZJISO,X,X,X
LTZJIOS,X,X,X
LTZJSIO,X,X,X
LTZJSOI,X,X,X
LTZJOIS,X,X,X
LTZJOSI,X,X,X
LTZSIJO,X,X,X
LTZSIOJ,X,X,X
LTZSJIO,X,X,X
LTZSJOI,X,X,X
LTZSOIJ,X,X,X
LTZSOJI,X,X,X
LTZOIJS,X,O,X
LTZOISJ,X,X,X
LTZOJIS,X,O,X
LTZOJSI,X,X,X
LTZOSIJ,X,X,X
LTZOSJI,X,X,X
LTOIJSZ,X,X,X
LTOIJZS,X,O,X
LTOISJZ,X,X,X
LTOISZJ,X,X,X
LTOIZJS,X,O,X
LTOIZSJ,X,X,X
LTOJISZ,X,X,X
LTOJIZS,X,O,X
LTOJSIZ,X,X,X
LTOJSZI,X,X,X
LTOJZIS,X,O,X
LTOJZSI,X,X,X
LTOSIJZ,X,X,X
LTOSIZJ,X,X,X
LTOSJIZ,X,X,X
LTOSJZI,X,X,X
LTOSZIJ,X,X,X
LTOSZJI,X,X,X
LTOZIJS,X,O,X
LTOZISJ,X,X,X
LTOZJIS,X,O,X
LTOZJSI,X,X,X
LTOZSIJ,X,X,X
LTOZSJI,X,X,X
LITJSZO,O,X,X
LITJSOZ,O,X,X
LITJZSO,O,X,X
LITJZOS,X,X,X
LITJOSZ,X,X,X
LITJOZS,X,X,X
LITSJZO,O,X,X
LITSJOZ,O,X,X
LITSZJO,X,X,X
LITSZOJ,X,X,X
LITSOJZ,O,X,X
LITSOZJ,X,X,X
LITZJSO,X,X,X
LITZJOS,X,X,X
LITZSJO,X,X,X
LITZSOJ,X,X,X
LITZOJS,X,O,X
LITZOSJ,X,X,X
LITOJSZ,X,X,X
LITOJZS,X,O,X
LITOSJZ,X,X,X
LITOSZJ,X,X,X
LITOZJS,X,O,X
LITOZSJ,X,X,X
LIJTSZO,O,X,O
LIJTSOZ,O,X,X
LIJTZSO,O,X,O
LIJTZOS,X,X,X
LIJTOSZ,X,X,X
LIJTOZS,X,X,X
LIJSTZO,O,X,O
LIJSTOZ,O,X,X
LIJSZTO,O,X,O
LIJSZOT,O,X,X
LIJSOTZ,O,X,X
LIJSOZT,O,X,X
LIJZTSO,O,X,O
LIJZTOS,X,X,X
LIJZSTO,O,X,O
LIJZSOT,O,X,X
LIJZOTS,X,X,X
LIJZOST,X,X,X
LIJOTSZ,X,X,X
LIJOTZS,X,X,X
LIJOSTZ,X,X,X
LIJOSZT,X,X,X
LIJOZTS,X,X,X
LIJOZST,X,X,X
LISTJZO,O,X,X
LISTJOZ,O,X,X
LISTZJO,X,X,O
LISTZOJ,X,X,X
LISTOJZ,O,X,X
LISTOZJ,X,X,X
LISJTZO,O,X,O
LISJTOZ,O,X,X
LISJZTO,O,X,O
LISJZOT,O,X,X
LISJOTZ,O,X,X
LISJOZT,O,X,X
LISZTJO,X,X,O
LISZTOJ,X,X,X
LISZJTO,X,X,O
LISZJOT,X,X,X
LISZOTJ,X,X,X
LISZOJT,X,X,X
LISOTJZ,O,X,X
LISOTZJ,X,X,X
LISOJTZ,O,X,X
LISOJZT,O,X,X
LISOZTJ,X,X,X
LISOZJT,X,X,X
LIZTJSO,X,X,X
LIZTJOS,X,X,X
LIZTSJO,X,X,X
LIZTSOJ,X,X,X
LIZTOJS,X,O,X
LIZTOSJ,X,X,X
LIZJTSO,X,X,O
LIZJTOS,X,X,X
LIZJSTO,X,X,O
LIZJSOT,X,X,X
LIZJOTS,X,X,X
LIZJOST,X,X,X
LIZSTJO,X,X,O
LIZSTOJ,X,X,X
LIZSJTO,X,X,O
LIZSJOT,X,X,X
LIZSOTJ,X,X,X
LIZSOJT,X,X,X
LIZOTJS,X,O,X
LIZOTSJ,X,X,X
LIZOJTS,X,O,X
LIZOJST,X,X,X
LIZOSTJ,X,X,X
LIZOSJT,X,X,X
LIOTJSZ,X,X,X
LIOTJZS,X,O,X
LIOTSJZ,X,X,X
LIOTSZJ,X,X,X
LIOTZJS,X,O,X
LIOTZSJ,X,X,X
LIOJTSZ,X,X,X
LIOJTZS,X,O,X
LIOJSTZ,X,X,X
LIOJSZT,X,X,X
LIOJZTS,X,O,X
LIOJZST,X,X,X
LIOSTJZ,X,X,X
LIOSTZJ,X,X,X
LIOSJTZ,X,X,X
LIOSJZT,X,X,X
LIOSZTJ,X,X,X
LIOSZJT,X,X,X
LIOZTJS,X,O,X
LIOZTSJ,X,X,X
LIOZJTS,X,O,X
LIOZJST,X,X,X
LIOZSTJ,X,X,X
LIOZSJT,X,X,X
LJTISZO,O,X,O
LJTISOZ,O,X,X
LJTIZSO,O,X,O
LJTIZOS,X,X,X
LJTIOSZ,X,X,X
LJTIOZS,X,X,X
LJTSIZO,O,X,O
LJTSIOZ,O,X,X
LJTSZIO,O,X,O
LJTSZOI,O,X,X
LJTSOIZ,O,X,X
LJTSOZI,O,X,X
LJTZISO,O,X,O
LJTZIOS,X,X,X
LJTZSIO,O,X,O
LJTZSOI,O,X,X
LJTZOIS,X,X,X
LJTZOSI,X,X,X
LJTOISZ,X,X,X
LJTOIZS,X,X,X
LJTOSIZ,X,X,X
LJTOSZI,X,X,X
LJTOZIS,X,X,X
LJTOZSI,X,X,X
LJITSZO,O,X,O
LJITSOZ,O,X,X
LJITZSO,O,X,O
LJITZOS,X,X,X
LJITOSZ,X,X,X
LJITOZS,X,X,X
LJISTZO,O,X,O
LJISTOZ,O,X,X
LJISZTO,O,X,O
LJISZOT,O,X,X
LJISOTZ,O,X,X
LJISOZT,O,X,X
LJIZTSO,O,X,O
LJIZTOS,X,X,X
LJIZSTO,O,X,O
LJIZSOT,O,X,X
LJIZOTS,X,X,X
LJIZOST,X,X,X
LJIOTSZ,X,X,X
LJIOTZS,X,X,X
LJIOSTZ,X,X,X
LJIOSZT,X,X,X
LJIOZTS,X,X,X
LJIOZST,X,X,X
LJSTIZO,O,X,O
LJSTIOZ,O,X,X
LJSTZIO,O,X,O
LJSTZOI,O,X,X
LJSTOIZ,O,X,X
LJSTOZI,O,X,X
LJSITZO,O,X,O
LJSITOZ,O,X,X
LJSIZTO,O,X,O
LJSIZOT,O,X,X
LJSIOTZ,O,X,X
LJSIOZT,O,X,X
LJSZTIO,O,X,O
LJSZTOI,O,X,X
LJSZITO,O,X,O
LJSZIOT,O,X,X
LJSZOTI,O,X,X
LJSZOIT,O,X,X
LJSOTIZ,O,X,X
LJSOTZI,O,X,X
LJSOITZ,O,X,X
LJSOIZT,O,X,X
LJSOZTI,O,X,X
LJSOZIT,O,X,X
LJZTISO,O,X,O
LJZTIOS,X,X,X
LJZTSIO,O,X,O
LJZTSOI,O,X,X
LJZTOIS,X,X,X
LJZTOSI,X,X,X
LJZITSO,O,X,O
LJZITOS,X,X,X
LJZISTO,O,X,O
LJZISOT,O,X,X
LJZIOTS,X,X,X
LJZIOST,X,X,X
LJZSTIO,O,X,O
LJZSTOI,O,X,X
LJZSITO,O,X,O
LJZSIOT,O,X,X
LJZSOTI,O,X,X
LJZSOIT,O,X,X
LJZOTIS,X,X,X
LJZOTSI,X,X,X
LJZOITS,X,X,X
LJZOIST,X,X,X
LJZOSTI,X,X,X
LJZOSIT,X,X,X
LJOTISZ,X,X,X
LJOTIZS,X,X,X
LJOTSIZ,X,X,X
LJOTSZI,X,X,X
LJOTZIS,X,X,X
LJOTZSI,X,X,X
LJOITSZ,X,X,X
LJOITZS,X,X,X
LJOISTZ,X,X,X
LJOISZT,X,X,X
LJOIZTS,X,X,X
LJOIZST,X,X,X
LJOSTIZ,X,X,X
LJOSTZI,X,X,X
LJOSITZ,X,X,X
LJOSIZT,X,X,X
LJOSZTI,X,X,X
LJOSZIT,X,X,X
LJOZTIS,X,X,X
LJOZTSI,X,X,X
LJOZITS,X,X,X
LJOZIST,X,X,X
LJOZSTI,X,X,X
LJOZSIT,X,X,X
LSTIJZO,O,X,X
LSTIJOZ,O,X,X
LSTIZJO,X,X,O
LSTIZOJ,X,X,X
LSTIOJZ,O,X,X
LSTIOZJ,X,X,X
LSTJIZO,O,X,X
LSTJIOZ,O,X,X
LSTJZIO,O,X,X
LSTJZOI,O,X,X
LSTJOIZ,O,X,X
LSTJOZI,O,X,X
LSTZIJO,X,X,O
LSTZIOJ,X,X,X
LSTZJIO,X,X,X
LSTZJOI,X,X,X
LSTZOIJ,X,X,X
LSTZOJI,X,X,X
LSTOIJZ,O,X,X
LSTOIZJ,X,X,X
LSTOJIZ,O,X,X
LSTOJZI,O,X,X
LSTOZIJ,X,X,X
LSTOZJI,X,X,X
LSITJZO,O,X,X
LSITJOZ,O,X,X
LSITZJO,X,X,O
LSITZOJ,X,X,X
LSITOJZ,O,X,X
LSITOZJ,X,X,X
LSIJTZO,O,X,O
LSIJTOZ,O,X,X
LSIJZTO,O,X,O
LSIJZOT,O,X,X
LSIJOTZ,O,X,X
LSIJOZT,O,X,X
LSIZTJO,X,X,O
LSIZTOJ,X,X,X
LSIZJTO,X,X,O
LSIZJOT,X,X,X
LSIZOTJ,X,X,X
LSIZOJT,X,X,X
LSIOTJZ,O,X,X
LSIOTZJ,X,X,X
LSIOJTZ,O,X,X
LSIOJZT,O,X,X
LSIOZTJ,X,X,X
LSIOZJT,X,X,X
LSJTIZO,O,X,O
LSJTIOZ,O,X,X
LSJTZIO,O,X,O
LSJTZOI,O,X,X
LSJTOIZ,O,X,X
LSJTOZI,O,X,X
LSJITZO,O,X,O
LSJITOZ,O,X,X
LSJIZTO,O,X,O
LSJIZOT,O,X,X
LSJIOTZ,O,X,X
LSJIOZT,O,X,X
LSJZTIO,O,X,O
LSJZTOI,O,X,X
LSJZITO,O,X,O
LSJZIOT,O,X,X
LSJZOTI,O,X,X
LSJZOIT,O,X,X
LSJOTIZ,O,X,X
LSJOTZI,O,X,X
LSJOITZ,O,X,X
LSJOIZT,O,X,X
LSJOZTI,O,X,X
LSJOZIT,O,X,X
LSZTIJO,X,X,O
LSZTIOJ,X,X,X
LSZTJIO,X,X,X
LSZTJOI,X,X,X
LSZTOIJ,X,X,X
LSZTOJI,X,X,X
LSZITJO,X,X,O
LSZITOJ,X,X,X
LSZIJTO,X,X,O
LSZIJOT,X,X,X
LSZIOTJ,X,X,X
LSZIOJT,X,X,X
LSZJTIO,X,X,O
LSZJTOI,X,X,X
LSZJITO,X,X,O
LSZJIOT,X,X,X
LSZJOTI,X,X,X
LSZJOIT,X,X,X
LSZOTIJ,X,X,X
LSZOTJI,X,X,X
LSZOITJ,X,X,X
LSZOIJT,X,X,X
LSZOJTI,X,X,X
LSZOJIT,X,X,X
LSOTIJZ,O,X,X
LSOTIZJ,X,X,X
LSOTJIZ,O,X,X
LSOTJZI,O,X,X
LSOTZIJ,X,X,X
LSOTZJI,X,X,X
LSOITJZ,O,X,X
LSOITZJ,X,X,X
LSOIJTZ,O,X,X
LSOIJZT,O,X,X
LSOIZTJ,X,X,X
LSOIZJT,X,X,X
LSOJTIZ,O,X,X
LSOJTZI,O,X,X
LSOJITZ,O,X,X
LSOJIZT,O,X,X
LSOJZTI,O,X,X
LSOJZIT,O,X,X
LSOZTIJ,X,X,X
LSOZTJI,X,X,X
LSOZITJ,X,X,X
LSOZIJT,X,X,X
LSOZJTI,X,X,X
LSOZJIT,X,X,X
LZTIJSO,X,X,X
LZTIJOS,X,X,X
LZTISJO,X,X,X
LZTISOJ,X,X,X
LZTIOJS,X,O,X
LZTIOSJ,X,X,X
LZTJISO,X,X,X
LZTJIOS,X,X,X
LZTJSIO,X,X,X
LZTJSOI,X,X,X
LZTJOIS,X,X,X
LZTJOSI,X,X,X
LZTSIJO,X,X,X
LZTSIOJ,X,X,X
LZTSJIO,X,X,X
LZTSJOI,X,X,X
LZTSOIJ,X,X,X
LZTSOJI,X,X,X
LZTOIJS,X,O,X
LZTOISJ,X,X,X
LZTOJIS,X,O,X
LZTOJSI,X,X,X
LZTOSIJ,X,X,X
LZTOSJI,X,X,X
LZITJSO,X,X,X
LZITJOS,X,X,X
LZITSJO,X,X,X
