sequence,v115@KhB8HeC8DeA8BeF8KeT/IvhFOlBlhB3iB5oBysB0pB,v115@KhB8HeC8DeA8BeF8KeXAJvhFlhBaoB5oB2pBTnB0pB,v115@KhB8HeC8DeA8BeF8KeOEJvhFXgB0hBliB5oBysBzpB
IJTSOLZ,X,O,X
IJTSOZL,X,X,X
IJTZLSO,O,X,X
IJTZLOS,O,X,X
IJTZSLO,X,X,X
IJTZSOL,X,X,X
IJTZOLS,O,X,X
IJTZOSL,X,X,X
IJTOLSZ,X,O,X
IJTOLZS,X,X,X
IJTOSLZ,X,O,X
IJTOSZL,X,X,X
IJTOZLS,X,X,X
IJTOZSL,X,X,X
IJLTSZO,O,X,O
IJLTSOZ,X,X,X
IJLTZSO,O,X,O
IJLTZOS,O,X,X
IJLTOSZ,X,X,X
IJLTOZS,X,X,X
IJLSTZO,O,X,O
IJLSTOZ,X,X,X
IJLSZTO,O,X,O
IJLSZOT,O,X,X
IJLSOTZ,X,X,X
IJLSOZT,X,X,X
IJLZTSO,O,X,O
IJLZTOS,O,X,X
IJLZSTO,O,X,O
IJLZSOT,O,X,X
IJLZOTS,O,X,X
IJLZOST,O,X,X
IJLOTSZ,X,X,X
IJLOTZS,X,X,X
IJLOSTZ,X,X,X
IJLOSZT,X,X,X
IJLOZTS,X,X,X
IJLOZST,X,X,X
IJSTLZO,X,X,X
IJSTLOZ,X,X,X
IJSTZLO,X,X,X
IJSTZOL,X,X,X
IJSTOLZ,X,O,X
IJSTOZL,X,X,X
IJSLTZO,X,X,O
IJSLTOZ,X,X,X
IJSLZTO,X,X,O
IJSLZOT,X,X,X
IJSLOTZ,X,X,X
IJSLOZT,X,X,X
IJSZTLO,X,X,O
IJSZTOL,X,X,X
IJSZLTO,X,X,O
IJSZLOT,X,X,X
IJSZOTL,X,X,X
IJSZOLT,X,X,X
IJSOTLZ,X,O,X
IJSOTZL,X,X,X
IJSOLTZ,X,O,X
IJSOLZT,X,X,X
IJSOZTL,X,X,X
IJSOZLT,X,X,X
IJZTLSO,O,X,X
IJZTLOS,O,X,X
IJZTSLO,X,X,O
IJZTSOL,X,X,X
IJZTOLS,O,X,X
IJZTOSL,X,X,X
IJZLTSO,O,X,O
IJZLTOS,O,X,X
IJZLSTO,O,X,O
IJZLSOT,O,X,X
IJZLOTS,O,X,X
IJZLOST,O,X,X
IJZSTLO,X,X,O
IJZSTOL,X,X,X
IJZSLTO,X,X,O
IJZSLOT,X,X,X
IJZSOTL,X,X,X
IJZSOLT,X,X,X
IJZOTLS,O,X,X
IJZOTSL,X,X,X
IJZOLTS,O,X,X
IJZOLST,O,X,X
IJZOSTL,X,X,X
IJZOSLT,X,X,X
IJOTLSZ,X,O,X
IJOTLZS,X,X,X
IJOTSLZ,X,O,X
IJOTSZL,X,X,X
IJOTZLS,X,X,X
IJOTZSL,X,X,X
IJOLTSZ,X,O,X
IJOLTZS,X,X,X
IJOLSTZ,X,O,X
IJOLSZT,X,X,X
IJOLZTS,X,X,X
IJOLZST,X,X,X
IJOSTLZ,X,O,X
IJOSTZL,X,X,X
IJOSLTZ,X,O,X
IJOSLZT,X,X,X
IJOSZTL,X,X,X
IJOSZLT,X,X,X
IJOZTLS,X,X,X
IJOZTSL,X,X,X
IJOZLTS,X,X,X
IJOZLST,X,X,X
IJOZSTL,X,X,X
IJOZSLT,X,X,X
ISTLJZO,X,X,X
ISTLJOZ,X,X,X
ISTLZJO,X,X,X
ISTLZOJ,X,X,X
ISTLOJZ,X,X,X
ISTLOZJ,X,X,X
ISTJLZO,X,X,X
ISTJLOZ,X,X,X
ISTJZLO,X,X,X
ISTJZOL,X,X,X
ISTJOLZ,X,O,X
ISTJOZL,X,X,X
ISTZLJO,X,X,X
ISTZLOJ,X,X,X
ISTZJLO,X,X,X
ISTZJOL,X,X,X
ISTZOLJ,X,X,X
ISTZOJL,X,X,X
ISTOLJZ,X,O,X
ISTOLZJ,X,X,X
ISTOJLZ,X,O,X
ISTOJZL,X,X,X
ISTOZLJ,X,X,X
ISTOZJL,X,X,X
ISLTJZO,X,X,O
ISLTJOZ,X,X,X
ISLTZJO,X,X,O
ISLTZOJ,X,X,X
ISLTOJZ,X,X,X
ISLTOZJ,X,X,X
ISLJTZO,X,X,O
ISLJTOZ,X,X,X
ISLJZTO,X,X,O
ISLJZOT,X,X,X
ISLJOTZ,X,X,X
ISLJOZT,X,X,X
ISLZTJO,X,X,O
ISLZTOJ,X,X,X
ISLZJTO,X,X,O
ISLZJOT,X,X,X
ISLZOTJ,X,X,X
ISLZOJT,X,X,X
ISLOTJZ,X,X,X
ISLOTZJ,X,X,X
ISLOJTZ,X,X,X
ISLOJZT,X,X,X
ISLOZTJ,X,X,X
ISLOZJT,X,X,X
ISJTLZO,X,X,X
ISJTLOZ,X,X,X
ISJTZLO,X,X,X
ISJTZOL,X,X,X
ISJTOLZ,X,O,X
ISJTOZL,X,X,X
ISJLTZO,X,X,O
ISJLTOZ,X,X,X
ISJLZTO,X,X,O
ISJLZOT,X,X,X
ISJLOTZ,X,X,X
ISJLOZT,X,X,X
ISJZTLO,X,X,O
ISJZTOL,X,X,X
ISJZLTO,X,X,O
ISJZLOT,X,X,X
ISJZOTL,X,X,X
ISJZOLT,X,X,X
ISJOTLZ,X,O,X
ISJOTZL,X,X,X
ISJOLTZ,X,O,X
ISJOLZT,X,X,X
ISJOZTL,X,X,X
ISJOZLT,X,X,X
ISZTLJO,X,X,X
ISZTLOJ,X,X,X
ISZTJLO,X,X,O
ISZTJOL,X,X,X
ISZTOLJ,X,X,X
ISZTOJL,X,X,X
ISZLTJO,X,X,O
ISZLTOJ,X,X,X
ISZLJTO,X,X,O
ISZLJOT,X,X,X
ISZLOTJ,X,X,X
ISZLOJT,X,X,X
ISZJTLO,X,X,O
ISZJTOL,X,X,X
ISZJLTO,X,X,O
ISZJLOT,X,X,X
ISZJOTL,X,X,X
ISZJOLT,X,X,X
ISZOTLJ,X,X,X
ISZOTJL,X,X,X
ISZOLTJ,X,X,X
ISZOLJT,X,X,X
ISZOJTL,X,X,X
ISZOJLT,X,X,X
ISOTLJZ,X,O,X
ISOTLZJ,X,X,X
ISOTJLZ,X,O,X
ISOTJZL,X,X,X
ISOTZLJ,X,X,X
ISOTZJL,X,X,X
ISOLTJZ,X,O,X
ISOLTZJ,X,X,X
ISOLJTZ,X,O,X
ISOLJZT,X,X,X
ISOLZTJ,X,X,X
ISOLZJT,X,X,X
ISOJTLZ,X,O,X
ISOJTZL,X,X,X
ISOJLTZ,X,O,X
ISOJLZT,X,X,X
ISOJZTL,X,X,X
ISOJZLT,X,X,X
ISOZTLJ,X,X,X
ISOZTJL,X,X,X
ISOZLTJ,X,X,X
ISOZLJT,X,X,X
ISOZJTL,X,X,X
ISOZJLT,X,X,X
IZTLJSO,O,X,X
IZTLJOS,O,X,X
IZTLSJO,O,X,X
IZTLSOJ,O,X,X
IZTLOJS,O,X,X
IZTLOSJ,O,X,X
IZTJLSO,O,X,X
IZTJLOS,O,X,X
IZTJSLO,X,X,O
IZTJSOL,X,X,X
IZTJOLS,O,X,X
IZTJOSL,X,X,X
IZTSLJO,X,X,X
IZTSLOJ,X,X,X
IZTSJLO,X,X,O
IZTSJOL,X,X,X
IZTSOLJ,X,X,X
IZTSOJL,X,X,X
IZTOLJS,O,X,X
IZTOLSJ,O,X,X
IZTOJLS,O,X,X
IZTOJSL,X,X,O
IZTOSLJ,X,X,X
IZTOSJL,X,X,O
IZLTJSO,O,X,O
IZLTJOS,O,X,X
IZLTSJO,O,X,O
IZLTSOJ,O,X,X
IZLTOJS,O,X,O
IZLTOSJ,O,X,O
IZLJTSO,O,X,O
IZLJTOS,O,X,X
IZLJSTO,O,X,O
IZLJSOT,O,X,X
IZLJOTS,O,X,X
IZLJOST,O,X,X
IZLSTJO,O,X,O
IZLSTOJ,O,X,X
IZLSJTO,O,X,O
IZLSJOT,O,X,X
IZLSOTJ,O,X,X
IZLSOJT,O,X,X
IZLOTJS,O,X,O
IZLOTSJ,O,X,O
IZLOJTS,O,X,O
IZLOJST,O,X,O
IZLOSTJ,O,X,O
IZLOSJT,O,X,O
IZJTLSO,O,X,X
IZJTLOS,O,X,X
IZJTSLO,X,X,O
IZJTSOL,X,X,X
IZJTOLS,O,X,X
IZJTOSL,X,X,X
IZJLTSO,O,X,O
IZJLTOS,O,X,X
IZJLSTO,O,X,O
IZJLSOT,O,X,X
IZJLOTS,O,X,X
IZJLOST,O,X,X
IZJSTLO,X,X,O
IZJSTOL,X,X,X
IZJSLTO,X,X,O
IZJSLOT,X,X,X
IZJSOTL,X,X,X
IZJSOLT,X,X,X
IZJOTLS,O,X,X
IZJOTSL,X,X,X
IZJOLTS,O,X,X
IZJOLST,O,X,X
IZJOSTL,X,X,X
IZJOSLT,X,X,X
IZSTLJO,X,X,X
IZSTLOJ,X,X,X
IZSTJLO,X,X,O
IZSTJOL,X,X,X
IZSTOLJ,X,X,X
IZSTOJL,X,X,X
IZSLTJO,X,X,O
IZSLTOJ,X,X,X
IZSLJTO,X,X,O
IZSLJOT,X,X,X
IZSLOTJ,X,X,X
IZSLOJT,X,X,X
IZSJTLO,X,X,O
IZSJTOL,X,X,X
IZSJLTO,X,X,O
IZSJLOT,X,X,X
IZSJOTL,X,X,X
IZSJOLT,X,X,X
IZSOTLJ,X,X,X
IZSOTJL,X,X,X
IZSOLTJ,X,X,X
IZSOLJT,X,X,X
IZSOJTL,X,X,X
IZSOJLT,X,X,X
IZOTLJS,O,X,X
IZOTLSJ,O,X,X
IZOTJLS,O,X,X
IZOTJSL,X,X,O
IZOTSLJ,X,X,X
IZOTSJL,X,X,O
IZOLTJS,O,X,O
IZOLTSJ,O,X,O
IZOLJTS,O,X,O
IZOLJST,O,X,O
IZOLSTJ,O,X,O
IZOLSJT,O,X,O
IZOJTLS,O,X,X
IZOJTSL,X,X,O
IZOJLTS,O,X,O
IZOJLST,O,X,O
IZOJSTL,X,X,O
IZOJSLT,X,X,O
IZOSTLJ,X,X,X
IZOSTJL,X,X,O
IZOSLTJ,X,X,O
IZOSLJT,X,X,O
IZOSJTL,X,X,O
IZOSJLT,X,X,O
IOTLJSZ,X,O,X
IOTLJZS,X,X,X
IOTLSJZ,X,O,X
IOTLSZJ,X,X,X
IOTLZJS,X,X,X
IOTLZSJ,X,X,X
IOTJLSZ,X,O,X
IOTJLZS,X,X,X
IOTJSLZ,X,O,X
IOTJSZL,X,X,X
IOTJZLS,X,X,X
IOTJZSL,X,X,X
IOTSLJZ,X,O,X
IOTSLZJ,X,X,X
IOTSJLZ,X,O,X
IOTSJZL,X,X,X
IOTSZLJ,X,X,X
IOTSZJL,X,X,X
IOTZLJS,X,X,X
IOTZLSJ,X,X,X
IOTZJLS,X,X,X
IOTZJSL,X,X,X
IOTZSLJ,X,X,X
IOTZSJL,X,X,X
IOLTJSZ,X,O,O
IOLTJZS,X,X,O
IOLTSJZ,X,O,O
IOLTSZJ,X,X,O
IOLTZJS,X,X,O
IOLTZSJ,X,X,O
IOLJTSZ,X,O,O
IOLJTZS,X,X,O
IOLJSTZ,X,O,O
IOLJSZT,X,X,O
IOLJZTS,X,X,O
IOLJZST,X,X,O
IOLSTJZ,X,O,O
IOLSTZJ,X,X,O
IOLSJTZ,X,O,O
IOLSJZT,X,X,O
IOLSZTJ,X,X,O
IOLSZJT,X,X,O
IOLZTJS,X,X,O
IOLZTSJ,X,X,O
IOLZJTS,X,X,O
IOLZJST,X,X,O
IOLZSTJ,X,X,O
IOLZSJT,X,X,O
IOJTLSZ,X,O,X
IOJTLZS,X,X,X
IOJTSLZ,X,O,X
IOJTSZL,X,X,X
IOJTZLS,X,X,X
IOJTZSL,X,X,X
IOJLTSZ,X,O,O
IOJLTZS,X,X,O
IOJLSTZ,X,O,O
IOJLSZT,X,X,O
IOJLZTS,X,X,O
IOJLZST,X,X,O
IOJSTLZ,X,O,X
IOJSTZL,X,X,X
IOJSLTZ,X,O,O
IOJSLZT,X,X,O
IOJSZTL,X,X,O
IOJSZLT,X,X,O
IOJZTLS,X,X,X
IOJZTSL,X,X,O
IOJZLTS,X,X,O
IOJZLST,X,X,O
IOJZSTL,X,X,O
IOJZSLT,X,X,O
IOSTLJZ,X,O,X
IOSTLZJ,X,X,X
IOSTJLZ,X,O,X
IOSTJZL,X,X,X
IOSTZLJ,X,X,X
IOSTZJL,X,X,X
IOSLTJZ,X,O,O
IOSLTZJ,X,X,O
IOSLJTZ,X,O,O
IOSLJZT,X,X,O
IOSLZTJ,X,X,O
IOSLZJT,X,X,O
IOSJTLZ,X,O,X
IOSJTZL,X,X,X
IOSJLTZ,X,O,O
IOSJLZT,X,X,O
IOSJZTL,X,X,O
IOSJZLT,X,X,O
IOSZTLJ,X,X,X
IOSZTJL,X,X,O
IOSZLTJ,X,X,O
IOSZLJT,X,X,O
IOSZJTL,X,X,O
IOSZJLT,X,X,O
IOZTLJS,X,X,X
IOZTLSJ,X,X,X
IOZTJLS,X,X,X
IOZTJSL,X,X,O
IOZTSLJ,X,X,X
IOZTSJL,X,X,O
IOZLTJS,X,X,O
IOZLTSJ,X,X,O
IOZLJTS,X,X,O
IOZLJST,X,X,O
IOZLSTJ,X,X,O
IOZLSJT,X,X,O
IOZJTLS,X,X,X
IOZJTSL,X,X,O
IOZJLTS,X,X,O
IOZJLST,X,X,O
IOZJSTL,X,X,O
IOZJSLT,X,X,O
IOZSTLJ,X,X,X
IOZSTJL,X,X,O
IOZSLTJ,X,X,O
IOZSLJT,X,X,O
IOZSJTL,X,X,O
IOZSJLT,X,X,O
LTIJSZO,O,X,O
LTIJSOZ,X,X,X
LTIJZSO,O,X,O
LTIJZOS,O,X,X
LTIJOSZ,X,X,X
LTIJOZS,X,X,X
LTISJZO,O,X,O
LTISJOZ,X,X,X
LTISZJO,O,X,O
LTISZOJ,O,X,X
LTISOJZ,X,X,X
LTISOZJ,X,X,X
LTIZJSO,O,X,O
LTIZJOS,O,X,X
LTIZSJO,O,X,O
LTIZSOJ,O,X,X
LTIZOJS,O,X,O
LTIZOSJ,O,X,O
LTIOJSZ,X,X,O
LTIOJZS,X,X,O
LTIOSJZ,X,X,O
LTIOSZJ,X,X,O
LTIOZJS,X,X,O
LTIOZSJ,X,X,O
LTJISZO,O,X,O
LTJISOZ,X,X,X
LTJIZSO,O,X,O
LTJIZOS,O,X,X
LTJIOSZ,X,X,X
LTJIOZS,X,X,X
LTJSIZO,O,X,O
LTJSIOZ,X,X,X
LTJSZIO,O,X,O
LTJSZOI,O,X,X
LTJSOIZ,X,X,X
LTJSOZI,X,X,X
LTJZISO,O,X,O
LTJZIOS,O,X,X
LTJZSIO,O,X,O
LTJZSOI,O,X,X
LTJZOIS,O,X,X
LTJZOSI,O,X,X
LTJOISZ,X,X,X
LTJOIZS,X,X,X
LTJOSIZ,X,X,X
LTJOSZI,X,X,X
LTJOZIS,X,X,X
LTJOZSI,X,X,X
LTSIJZO,O,X,O
LTSIJOZ,X,X,X
LTSIZJO,O,X,O
LTSIZOJ,O,X,X
LTSIOJZ,X,X,X
LTSIOZJ,X,X,X
LTSJIZO,O,X,O
LTSJIOZ,X,X,X
LTSJZIO,O,X,O
LTSJZOI,O,X,X
LTSJOIZ,X,X,X
LTSJOZI,X,X,X
LTSZIJO,O,X,O
LTSZIOJ,O,X,X
LTSZJIO,O,X,O
LTSZJOI,O,X,X
LTSZOIJ,O,X,X
LTSZOJI,O,X,X
LTSOIJZ,X,X,X
LTSOIZJ,X,X,X
LTSOJIZ,X,X,X
LTSOJZI,X,X,X
LTSOZIJ,X,X,X
LTSOZJI,X,X,X
LTZIJSO,O,X,O
LTZIJOS,O,X,X
LTZISJO,O,X,O
LTZISOJ,O,X,X
LTZIOJS,O,X,O
LTZIOSJ,O,X,O
LTZJISO,O,X,O
LTZJIOS,O,X,X
LTZJSIO,O,X,O
LTZJSOI,O,X,X
LTZJOIS,O,X,X
LTZJOSI,O,X,X
LTZSIJO,O,X,O
LTZSIOJ,O,X,X
LTZSJIO,O,X,O
LTZSJOI,O,X,X
LTZSOIJ,O,X,X
LTZSOJI,O,X,X
LTZOIJS,O,X,O
LTZOISJ,O,X,O
LTZOJIS,O,X,O
LTZOJSI,O,X,O
LTZOSIJ,O,X,O
LTZOSJI,O,X,O
LTOIJSZ,X,X,O
LTOIJZS,X,X,O
LTOISJZ,X,X,O
LTOISZJ,X,X,O
LTOIZJS,X,X,O
LTOIZSJ,X,X,O
LTOJISZ,X,X,O
LTOJIZS,X,X,O
LTOJSIZ,X,X,O
LTOJSZI,X,X,O
LTOJZIS,X,X,O
LTOJZSI,X,X,O
LTOSIJZ,X,X,O
LTOSIZJ,X,X,O
LTOSJIZ,X,X,O
LTOSJZI,X,X,O
LTOSZIJ,X,X,O
LTOSZJI,X,X,O
LTOZIJS,X,X,O
LTOZISJ,X,X,O
LTOZJIS,X,X,O
LTOZJSI,X,X,O
LTOZSIJ,X,X,O
LTOZSJI,X,X,O
LITJSZO,O,X,O
LITJSOZ,X,X,X
LITJZSO,O,X,O
LITJZOS,O,X,X
LITJOSZ,X,X,X
LITJOZS,X,X,X
LITSJZO,O,X,O
LITSJOZ,X,X,X
LITSZJO,O,X,O
LITSZOJ,O,X,X
LITSOJZ,X,X,X
LITSOZJ,X,X,X
LITZJSO,O,X,O
LITZJOS,O,X,X
LITZSJO,O,X,O
LITZSOJ,O,X,X
LITZOJS,O,X,O
LITZOSJ,O,X,O
LITOJSZ,X,X,O
LITOJZS,X,X,O
LITOSJZ,X,X,O
LITOSZJ,X,X,O
LITOZJS,X,X,O
LITOZSJ,X,X,O
LIJTSZO,O,X,O
LIJTSOZ,X,X,X
LIJTZSO,O,X,O
LIJTZOS,O,X,X
LIJTOSZ,X,X,X
LIJTOZS,X,X,X
LIJSTZO,O,X,O
LIJSTOZ,X,X,X
LIJSZTO,O,X,O
LIJSZOT,O,X,X
LIJSOTZ,X,X,X
LIJSOZT,X,X,X
LIJZTSO,O,X,O
LIJZTOS,O,X,X
LIJZSTO,O,X,O
LIJZSOT,O,X,X
LIJZOTS,O,X,X
LIJZOST,O,X,X
LIJOTSZ,X,X,X
LIJOTZS,X,X,X
LIJOSTZ,X,X,X
LIJOSZT,X,X,X
LIJOZTS,X,X,X
LIJOZST,X,X,X
LISTJZO,O,X,O
LISTJOZ,X,X,X
LISTZJO,O,X,O
LISTZOJ,O,X,X
LISTOJZ,X,X,X
LISTOZJ,X,X,X
LISJTZO,O,X,O
LISJTOZ,X,X,X
LISJZTO,O,X,O
LISJZOT,O,X,X
LISJOTZ,X,X,X
LISJOZT,X,X,X
LISZTJO,O,X,O
LISZTOJ,O,X,X
LISZJTO,O,X,O
LISZJOT,O,X,X
LISZOTJ,O,X,X
LISZOJT,O,X,X
LISOTJZ,X,X,X
LISOTZJ,X,X,X
LISOJTZ,X,X,X
LISOJZT,X,X,X
LISOZTJ,X,X,X
LISOZJT,X,X,X
LIZTJSO,O,X,O
LIZTJOS,O,X,X
LIZTSJO,O,X,O
LIZTSOJ,O,X,X
LIZTOJS,O,X,O
LIZTOSJ,O,X,O
LIZJTSO,O,X,O
LIZJTOS,O,X,X
LIZJSTO,O,X,O
LIZJSOT,O,X,X
LIZJOTS,O,X,X
LIZJOST,O,X,X
LIZSTJO,O,X,O
LIZSTOJ,O,X,X
LIZSJTO,O,X,O
LIZSJOT,O,X,X
LIZSOTJ,O,X,X
LIZSOJT,O,X,X
LIZOTJS,O,X,O
LIZOTSJ,O,X,O
LIZOJTS,O,X,O
LIZOJST,O,X,O
LIZOSTJ,O,X,O
LIZOSJT,O,X,O
LIOTJSZ,X,X,O
LIOTJZS,X,X,O
LIOTSJZ,X,X,O
LIOTSZJ,X,X,O
LIOTZJS,X,X,O
LIOTZSJ,X,X,O
LIOJTSZ,X,X,O
LIOJTZS,X,X,O
LIOJSTZ,X,X,O
LIOJSZT,X,X,O
LIOJZTS,X,X,O
LIOJZST,X,X,O
LIOSTJZ,X,X,O
LIOSTZJ,X,X,O
LIOSJTZ,X,X,O
LIOSJZT,X,X,O
LIOSZTJ,X,X,O
LIOSZJT,X,X,O
LIOZTJS,X,X,O
LIOZTSJ,X,X,O
LIOZJTS,X,X,O
LIOZJST,X,X,O
LIOZSTJ,X,X,O
LIOZSJT,X,X,O
LJTISZO,O,X,O
LJTISOZ,X,X,X
LJTIZSO,O,X,O
LJTIZOS,O,X,X
LJTIOSZ,X,X,X
LJTIOZS,X,X,X
LJTSIZO,O,X,O
LJTSIOZ,X,X,X
LJTSZIO,O,X,O
LJTSZOI,O,X,X
LJTSOIZ,X,X,X
LJTSOZI,X,X,X
LJTZISO,O,X,O
LJTZIOS,O,X,X
LJTZSIO,O,X,O
LJTZSOI,O,X,X
LJTZOIS,O,X,X
LJTZOSI,O,X,X
LJTOISZ,X,X,X
LJTOIZS,X,X,X
LJTOSIZ,X,X,X
LJTOSZI,X,X,X
LJTOZIS,X,X,X
LJTOZSI,X,X,X
LJITSZO,O,X,O
LJITSOZ,X,X,X
LJITZSO,O,X,O
LJITZOS,O,X,X
LJITOSZ,X,X,X
LJITOZS,X,X,X
LJISTZO,O,X,O
LJISTOZ,X,X,X
LJISZTO,O,X,O
LJISZOT,O,X,X
LJISOTZ,X,X,X
LJISOZT,X,X,X
LJIZTSO,O,X,O
LJIZTOS,O,X,X
LJIZSTO,O,X,O
LJIZSOT,O,X,X
LJIZOTS,O,X,X
LJIZOST,O,X,X
LJIOTSZ,X,X,X
LJIOTZS,X,X,X
LJIOSTZ,X,X,X
LJIOSZT,X,X,X
LJIOZTS,X,X,X
LJIOZST,X,X,X
LJSTIZO,O,X,O
LJSTIOZ,X,X,X
LJSTZIO,O,X,O
LJSTZOI,O,X,X
LJSTOIZ,X,X,X
LJSTOZI,X,X,X
LJSITZO,O,X,O
LJSITOZ,X,X,X
LJSIZTO,O,X,O
LJSIZOT,O,X,X
LJSIOTZ,X,X,X
LJSIOZT,X,X,X
LJSZTIO,O,X,O
LJSZTOI,O,X,X
LJSZITO,O,X,O
LJSZIOT,O,X,X
LJSZOTI,O,X,X
LJSZOIT,O,X,X
LJSOTIZ,X,X,X
LJSOTZI,X,X,X
LJSOITZ,X,X,X
LJSOIZT,X,X,X
LJSOZTI,X,X,X
LJSOZIT,X,X,X
LJZTISO,O,X,O
LJZTIOS,O,X,X
LJZTSIO,O,X,O
LJZTSOI,O,X,X
LJZTOIS,O,X,X
LJZTOSI,O,X,X
LJZITSO,O,X,O
LJZITOS,O,X,X
LJZISTO,O,X,O
LJZISOT,O,X,X
LJZIOTS,O,X,X
LJZIOST,O,X,X
LJZSTIO,O,X,O
LJZSTOI,O,X,X
LJZSITO,O,X,O
LJZSIOT,O,X,X
LJZSOTI,O,X,X
LJZSOIT,O,X,X
LJZOTIS,O,X,X
LJZOTSI,O,X,X
LJZOITS,O,X,X
LJZOIST,O,X,X
LJZOSTI,O,X,X
LJZOSIT,O,X,X
LJOTISZ,X,X,X
LJOTIZS,X,X,X
LJOTSIZ,X,X,X
LJOTSZI,X,X,X
LJOTZIS,X,X,X
LJOTZSI,X,X,X
LJOITSZ,X,X,X
LJOITZS,X,X,X
LJOISTZ,X,X,X
LJOISZT,X,X,X
LJOIZTS,X,X,X
LJOIZST,X,X,X
LJOSTIZ,X,X,X
LJOSTZI,X,X,X
LJOSITZ,X,X,X
LJOSIZT,X,X,X
LJOSZTI,X,X,X
LJOSZIT,X,X,X
LJOZTIS,X,X,X
LJOZTSI,X,X,X
LJOZITS,X,X,X
LJOZIST,X,X,X
LJOZSTI,X,X,X
LJOZSIT,X,X,X
LSTIJZO,O,X,O
LSTIJOZ,X,X,X
LSTIZJO,O,X,O
LSTIZOJ,O,X,X
LSTIOJZ,X,X,X
LSTIOZJ,X,X,X
LSTJIZO,O,X,O
LSTJIOZ,X,X,X
LSTJZIO,O,X,O
LSTJZOI,O,X,X
LSTJOIZ,X,X,X
LSTJOZI,X,X,X
LSTZIJO,O,X,O
LSTZIOJ,O,X,X
LSTZJIO,O,X,O
LSTZJOI,O,X,X
LSTZOIJ,O,X,X
LSTZOJI,O,X,X
LSTOIJZ,X,X,X
LSTOIZJ,X,X,X
LSTOJIZ,X,X,X
LSTOJZI,X,X,X
LSTOZIJ,X,X,X
LSTOZJI,X,X,X
LSITJZO,O,X,O
LSITJOZ,X,X,X
LSITZJO,O,X,O
LSITZOJ,O,X,X
LSITOJZ,X,X,X
LSITOZJ,X,X,X
LSIJTZO,O,X,O
LSIJTOZ,X,X,X
LSIJZTO,O,X,O
LSIJZOT,O,X,X
LSIJOTZ,X,X,X
LSIJOZT,X,X,X
LSIZTJO,O,X,O
LSIZTOJ,O,X,X
LSIZJTO,O,X,O
LSIZJOT,O,X,X
LSIZOTJ,O,X,X
LSIZOJT,O,X,X
LSIOTJZ,X,X,X
LSIOTZJ,X,X,X
LSIOJTZ,X,X,X
LSIOJZT,X,X,X
LSIOZTJ,X,X,X
LSIOZJT,X,X,X
LSJTIZO,O,X,O
LSJTIOZ,X,X,X
LSJTZIO,O,X,O
LSJTZOI,O,X,X
LSJTOIZ,X,X,X
LSJTOZI,X,X,X
LSJITZO,O,X,O
LSJITOZ,X,X,X
LSJIZTO,O,X,O
LSJIZOT,O,X,X
LSJIOTZ,X,X,X
LSJIOZT,X,X,X
LSJZTIO,O,X,O
LSJZTOI,O,X,X
LSJZITO,O,X,O
LSJZIOT,O,X,X
LSJZOTI,O,X,X
LSJZOIT,O,X,X
LSJOTIZ,X,X,X
LSJOTZI,X,X,X
LSJOITZ,X,X,X
LSJOIZT,X,X,X
LSJOZTI,X,X,X
LSJOZIT,X,X,X
LSZTIJO,O,X,O
LSZTIOJ,O,X,X
LSZTJIO,O,X,O
LSZTJOI,O,X,X
LSZTOIJ,O,X,X
LSZTOJI,O,X,X
LSZITJO,O,X,O
LSZITOJ,O,X,X
LSZIJTO,O,X,O
LSZIJOT,O,X,X
LSZIOTJ,O,X,X
LSZIOJT,O,X,X
LSZJTIO,O,X,O
LSZJTOI,O,X,X
LSZJITO,O,X,O
LSZJIOT,O,X,X
LSZJOTI,O,X,X
LSZJOIT,O,X,X
LSZOTIJ,O,X,X
LSZOTJI,O,X,X
LSZOITJ,O,X,X
LSZOIJT,O,X,X
LSZOJTI,O,X,X
LSZOJIT,O,X,X
LSOTIJZ,X,X,X
LSOTIZJ,X,X,X
LSOTJIZ,X,X,X
LSOTJZI,X,X,X
LSOTZIJ,X,X,X
LSOTZJI,X,X,X
LSOITJZ,X,X,X
LSOITZJ,X,X,X
LSOIJTZ,X,X,X
LSOIJZT,X,X,X
LSOIZTJ,X,X,X
LSOIZJT,X,X,X
LSOJTIZ,X,X,X
LSOJTZI,X,X,X
LSOJITZ,X,X,X
LSOJIZT,X,X,X
LSOJZTI,X,X,X
LSOJZIT,X,X,X
LSOZTIJ,X,X,X
LSOZTJI,X,X,X
LSOZITJ,X,X,X
LSOZIJT,X,X,X
LSOZJTI,X,X,X
LSOZJIT,X,X,X
LZTIJSO,O,X,O
LZTIJOS,O,X,X
LZTISJO,O,X,O
LZTISOJ,O,X,X
LZTIOJS,O,X,O
LZTIOSJ,O,X,O
LZTJISO,O,X,O
LZTJIOS,O,X,X
LZTJSIO,O,X,O
LZTJSOI,O,X,X
LZTJOIS,O,X,X
LZTJOSI,O,X,X
LZTSIJO,O,X,O
LZTSIOJ,O,X,X
LZTSJIO,O,X,O
LZTSJOI,O,X,X
LZTSOIJ,O,X,X
LZTSOJI,O,X,X
LZTOIJS,O,X,O
LZTOISJ,O,X,O
LZTOJIS,O,X,O
LZTOJSI,O,X,O
LZTOSIJ,O,X,O
LZTOSJI,O,X,O
LZITJSO,O,X,O
LZITJOS,O,X,X
LZITSJO,O,X,O
LZITSOJ,O,X,X
