sequence,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBcjB6mBO?nBzlBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhF3dBcjB6lBO?mBzmBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBcjBOnBC?mBtsBTrB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBSjBThBN?nBWrB8sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFxcBTeBXmBm?nB0mB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTeBxhBXmBm?nB0mB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFicB+iBTeB3?hB8sBRwB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTcBKiBcjBX?mBRsBusB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je39IvhFcjBxgBanBG?mBtsBzqB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je39IvhFcjBxgBulBi?mBtsBzrB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFTcBxdBenBC?jBXmB8sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFyhBTeB0mBm?nB5nBXrB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JecDJvhFxgBXiBzlBt?sBGrBisB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFRdBcjBzlBC?nBmmBtsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhF0hBxiBOoBz?lB9sBCsB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhF9hBKiBcjBz?lBRsBusB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je37IvhFthBTeB8lBm?nBxrB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFKhBzcBGeB3?iB8sBRwB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhFGeBXhBdoBz?mB0lB6sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeT+IvhF6lBxhBUhBm?nB3mB9sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8JeR8IvhFTeB0gBmhBf?oBSrB9sB,v115@zgC8GeB8HeC8FeD8FeH8AeB8Je9AJvhFCdBTeBxmB8?sBerBXsB
TILOZSJ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O,O,X,O,X,X,X,X
TIJLSZO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJLSOZ,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TIJLZSO,O,O,O,X,X,X,X,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X
TIJLZOS,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TIJLOSZ,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TIJSLZO,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJSLOZ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TIJSZLO,O,O,O,O,O,X,O,X,O,X,O,X,X,X,X,X,O,O,X,X,X,X
TIJSZOL,O,O,O,O,O,O,O,X,O,X,O,X,O,X,X,X,O,O,X,X,X,X
TIJSOLZ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJSOZL,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TIJZLSO,O,O,O,O,X,X,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,X
TIJZLOS,O,X,O,O,X,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,X
TIJZSLO,O,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,O,O,X,X,X,X
TIJZSOL,O,O,O,O,X,X,O,X,O,O,O,O,O,X,X,X,O,O,X,X,X,X
TIJZOLS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TIJZOSL,O,O,O,O,X,O,O,X,O,X,O,O,X,X,X,X,O,O,X,X,X,X
TIJOLSZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIJOLZS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TIJOSLZ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X
TIJOSZL,O,X,X,O,O,O,X,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X
TIJOZLS,O,X,X,O,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TIJOZSL,O,O,X,O,X,O,O,X,O,X,X,O,X,X,O,X,O,O,X,X,X,X
TISLJZO,O,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISLJOZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISLZJO,O,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TISLZOJ,O,X,O,X,X,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TISLOJZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISLOZJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISJLZO,X,X,X,X,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TISJLOZ,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TISJZLO,O,X,O,O,O,X,O,O,O,X,O,X,X,X,X,X,O,O,X,X,X,X
TISJZOL,O,X,O,O,O,O,O,O,O,X,O,X,O,X,X,X,O,O,X,X,X,X
TISJOLZ,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,O,X,X,X,X,X
TISZLJO,O,X,O,O,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X
TISZLOJ,O,X,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TISZJLO,O,X,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X
TISZJOL,O,X,O,O,X,O,O,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X
TISZOLJ,O,X,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TISZOJL,O,X,O,X,X,O,O,O,O,O,O,X,O,X,X,X,O,O,X,X,X,X
TISOLJZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISOLZJ,O,X,X,X,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TISOJLZ,X,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,X,X,X,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TISOZLJ,O,X,X,X,X,X,O,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TISOZJL,O,X,X,X,X,O,O,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X
TIZLJSO,O,O,O,O,X,X,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,O
TIZLJOS,O,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
TIZLSJO,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,O
TIZLSOJ,O,O,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,O
TIZLOJS,X,O,X,O,X,X,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,O
TIZLOSJ,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,O,X,O,X,X,X,O
TIZJLSO,O,O,O,O,X,X,O,O,O,O,O,O,X,X,X,X,O,O,X,X,X,O
TIZJLOS,O,X,O,O,X,X,O,X,X,X,O,O,X,X,X,X,O,O,X,X,X,O
TIZJSLO,O,O,O,O,X,X,O,X,O,O,O,O,X,X,X,X,O,O,X,X,X,O
TIZJSOL,O,O,O,O,X,X,O,X,O,O,O,O,O,X,X,X,O,O,X,X,X,O
TIZJOLS,O,X,O,O,X,X,O,X,X,X,X,O,X,X,X,X,O,O,X,X,X,O
TIZJOSL,O,O,O,O,X,X,O,X,O,X,O,O,X,X,X,X,O,O,X,X,X,O
TIZSLJO,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,O
TIZSLOJ,O,O,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,O
TIZSJLO,O,O,O,O,X,X,O,O,O,O,O,X,X,X,X,X,O,O,X,X,X,O
TIZSJOL,O,O,O,O,X,X,O,O,O,O,O,X,O,X,X,X,O,O,X,X,X,O
TIZSOLJ,O,O,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,O
TIZSOJL,O,O,O,X,X,X,O,O,O,O,O,X,O,X,X,X,O,O,X,X,X,O
TIZOLJS,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O
TIZOLSJ,O,O,O,O,X,X,X,O,X,O,X,X,O,X,O,O,X,O,X,X,X,O
TIZOJLS,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O
TIZOJSL,O,O,O,O,X,X,O,X,O,X,X,X,O,X,O,O,O,O,X,X,X,O
TIZOSLJ,O,O,O,O,X,X,O,X,O,O,X,X,O,X,O,O,X,O,X,X,X,O
TIZOSJL,O,O,O,X,X,X,O,X,O,O,X,X,O,X,O,O,O,O,X,X,X,O
TIOLJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TIOLJZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TIOLSJZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TIOLSZJ,O,O,X,X,X,X,X,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X
TIOLZJS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TIOLZSJ,O,O,X,X,X,X,X,O,X,O,X,X,O,X,O,O,X,O,X,X,X,X
TIOJLSZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X
TIOJLZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X
TIOJSLZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TIOJSZL,O,O,X,X,O,O,X,X,X,X,X,X,O,X,O,O,O,X,O,X,X,X
TIOJZLS,O,O,X,X,X,X,O,X,X,X,X,O,X,X,X,O,O,O,X,X,X,X
TIOJZSL,O,O,X,X,X,O,O,X,O,X,X,O,O,X,O,O,O,O,X,X,X,X
TIOSLJZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TIOSLZJ,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
TIOSJLZ,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X
TIOSJZL,O,X,X,X,O,O,X,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
TIOSZLJ,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
TIOSZJL,O,X,X,X,X,O,O,X,X,X,X,X,O,X,O,O,X,X,O,X,X,X
TIOZLJS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,O,X,X,X,O
TIOZLSJ,O,O,X,X,X,X,X,O,X,O,X,X,O,X,O,O,X,O,X,X,X,O
TIOZJLS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,O,O,O,X,X,X,O
TIOZJSL,O,O,X,X,X,X,O,X,O,X,X,X,O,X,O,O,O,O,X,X,X,O
TIOZSLJ,O,O,X,X,X,X,O,X,O,O,X,X,O,X,O,O,X,O,X,X,X,O
TIOZSJL,O,O,X,X,X,X,O,X,O,O,X,X,O,X,O,O,O,O,X,X,X,O
TLIJSZO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIJZSO,O,O,O,O,X,X,X,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLIJZOS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIJOSZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIJOZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLISJZO,O,X,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLISJOZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLISZJO,O,O,O,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLISZOJ,O,O,O,O,X,X,O,O,X,O,X,X,O,X,X,X,X,O,X,X,X,X
TLISOJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLISOZJ,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIZJSO,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLIZJOS,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIZSJO,O,O,O,O,X,X,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLIZSOJ,O,O,O,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TLIZOJS,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIZOSJ,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TLIOJSZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIOJZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIOSJZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIOSZJ,X,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TLIOZJS,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLIOZSJ,X,O,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X
TLJISZO,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJISOZ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TLJIZSO,O,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
TLJIZOS,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJIOSZ,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TLJIOZS,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
TLJSIZO,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSZIO,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSZOI,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TLJSOIZ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLJSOZI,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TLJZISO,O,O,O,O,X,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X
TLJZIOS,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLJZSIO,O,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLJZSOI,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TLJZOIS,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJZOSI,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLJOISZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLJOIZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLJOSIZ,O,O,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJOSZI,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
TLJOZIS,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLJOZSI,O,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TLSIJZO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZJO,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSIZOJ,O,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLSIOJZ,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSIOZJ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIZO,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZIO,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJZOI,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TLSJOIZ,X,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSJOZI,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TLSZIJO,O,O,O,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TLSZIOJ,O,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLSZJIO,O,O,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X
TLSZJOI,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TLSZOIJ,O,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLSZOJI,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TLSOIJZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,O,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLSOJIZ,O,O,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TLSOJZI,O,O,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TLSOZIJ,O,O,O,X,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLSOZJI,O,O,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TLZIJSO,O,O,O,O,X,X,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O
TLZIJOS,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,O
TLZISJO,O,O,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,O
TLZISOJ,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,O
TLZIOJS,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TLZIOSJ,O,O,O,O,X,X,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,O
TLZJISO,O,O,O,O,X,X,X,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X
TLZJIOS,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TLZJSIO,O,O,O,O,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZJSOI,O,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TLZJOIS,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZJOSI,O,O,O,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X,X,X,X
TLZSIJO,O,O,O,O,X,X,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TLZSIOJ,O,O,O,O,X,X,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZSJIO,O,O,O,O,X,X,X,X,X,O,O,O,X,X,X,X,X,X,X,X,X,X
TLZSJOI,O,O,O,O,X,X,X,X,X,X,O,O,X,X,X,X,X,X,X,X,O,X
TLZSOIJ,O,O,O,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TLZSOJI,O,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X
TLZOIJS,O,O,X,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O
TLZOISJ,O,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,O
TLZOJIS,O,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLZOJSI,O,O,O,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLZOSIJ,O,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TLZOSJI,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X
TLOIJSZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIJZS,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOISZJ,O,O,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TLOIZJS,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,O,O,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,X,X,X,X,X
