sequence,v115@HhA8IeA8BeB8EeG8AeA8Ke6EJvhFOlBXhB8mBziB5o?BlsB,v115@HhA8IeA8BeB8EeG8AeA8Ke6EJvhFOlBXhBliB5oBzm?B8sB,v115@HhA8IeA8BeB8EeG8AeA8Kex/IvhFXhB8mBWoBzkB6t?BlsB
TSJOZLI,O,O,O
TSZILJO,O,O,X
TSZILOJ,O,O,X
TSZIJLO,O,O,X
TSZIJOL,O,O,O
TSZIOLJ,O,O,O
TSZIOJL,O,O,O
TSZLIJO,O,O,X
TSZLIOJ,O,O,X
TSZLJIO,O,O,X
TSZLJOI,O,O,O
TSZLOIJ,O,O,O
TSZLOJI,O,O,O
TSZJILO,O,O,X
TSZJIOL,O,O,O
TSZJLIO,O,O,X
TSZJLOI,O,O,O
TSZJOIL,O,O,O
TSZJOLI,O,O,O
TSZOILJ,O,O,O
TSZOIJL,O,O,O
TSZOLIJ,O,O,O
TSZOLJI,O,O,O
TSZOJIL,O,O,O
TSZOJLI,O,O,O
TSOILJZ,O,O,X
TSOILZJ,O,O,X
TSOIJLZ,O,O,X
TSOIJZL,O,O,O
TSOIZLJ,O,O,O
TSOIZJL,O,O,O
TSOLIJZ,O,O,X
TSOLIZJ,O,O,X
TSOLJIZ,O,O,X
TSOLJZI,O,O,X
TSOLZIJ,O,O,X
TSOLZJI,O,O,X
TSOJILZ,O,O,X
TSOJIZL,O,O,O
TSOJLIZ,O,O,X
TSOJLZI,O,O,X
TSOJZIL,O,O,O
TSOJZLI,O,O,O
TSOZILJ,O,O,O
TSOZIJL,O,O,O
TSOZLIJ,O,O,O
TSOZLJI,O,O,O
TSOZJIL,O,O,O
TSOZJLI,O,O,O
TZILJSO,O,O,X
TZILJOS,O,O,X
TZILSJO,O,O,X
TZILSOJ,O,O,X
TZILOJS,O,O,X
TZILOSJ,O,O,X
TZIJLSO,O,O,X
TZIJLOS,O,O,X
TZIJSLO,O,O,X
TZIJSOL,O,O,O
TZIJOLS,O,O,O
TZIJOSL,O,O,O
TZISLJO,O,O,X
TZISLOJ,O,O,X
TZISJLO,O,O,X
TZISJOL,O,O,O
TZISOLJ,O,O,O
TZISOJL,O,O,O
TZIOLJS,O,O,O
TZIOLSJ,O,O,O
TZIOJLS,O,O,O
TZIOJSL,O,O,O
TZIOSLJ,O,O,O
TZIOSJL,O,O,O
TZLIJSO,O,O,X
TZLIJOS,O,O,X
TZLISJO,O,O,X
TZLISOJ,O,O,X
TZLIOJS,O,O,X
TZLIOSJ,O,O,X
TZLJISO,O,O,X
TZLJIOS,O,O,X
TZLJSIO,O,O,X
TZLJSOI,O,O,O
TZLJOIS,O,O,O
TZLJOSI,O,O,O
TZLSIJO,O,O,X
TZLSIOJ,O,O,X
TZLSJIO,O,O,X
TZLSJOI,O,O,O
TZLSOIJ,O,O,O
TZLSOJI,O,O,O
TZLOIJS,O,O,O
TZLOISJ,O,O,O
TZLOJIS,O,O,O
TZLOJSI,O,O,O
TZLOSIJ,O,O,O
TZLOSJI,O,O,O
TZJILSO,O,O,X
TZJILOS,O,O,X
TZJISLO,O,O,X
TZJISOL,O,O,O
TZJIOLS,O,O,O
TZJIOSL,O,O,O
TZJLISO,O,O,X
TZJLIOS,O,O,X
TZJLSIO,O,O,X
TZJLSOI,O,O,O
TZJLOIS,O,O,O
TZJLOSI,O,O,O
TZJSILO,O,O,X
TZJSIOL,O,O,O
TZJSLIO,O,O,X
TZJSLOI,O,O,O
TZJSOIL,O,O,O
TZJSOLI,O,O,O
TZJOILS,O,O,O
TZJOISL,O,O,O
TZJOLIS,O,O,O
TZJOLSI,O,O,O
TZJOSIL,O,O,O
TZJOSLI,O,O,O
TZSILJO,O,O,X
TZSILOJ,O,O,X
TZSIJLO,O,O,X
TZSIJOL,O,O,O
TZSIOLJ,O,O,O
TZSIOJL,O,O,O
TZSLIJO,O,O,X
TZSLIOJ,O,O,X
TZSLJIO,O,O,X
TZSLJOI,O,O,O
TZSLOIJ,O,O,O
TZSLOJI,O,O,O
TZSJILO,O,O,X
TZSJIOL,O,O,O
TZSJLIO,O,O,X
TZSJLOI,O,O,O
TZSJOIL,O,O,O
TZSJOLI,O,O,O
TZSOILJ,O,O,O
TZSOIJL,O,O,O
TZSOLIJ,O,O,O
TZSOLJI,O,O,O
TZSOJIL,O,O,O
TZSOJLI,O,O,O
TZOILJS,O,O,O
TZOILSJ,O,O,O
TZOIJLS,O,O,O
TZOIJSL,O,O,O
TZOISLJ,O,O,O
TZOISJL,O,O,O
TZOLIJS,O,O,O
TZOLISJ,O,O,O
TZOLJIS,O,O,O
TZOLJSI,O,O,O
TZOLSIJ,O,O,O
TZOLSJI,O,O,O
TZOJILS,O,O,O
TZOJISL,O,O,O
TZOJLIS,O,O,O
TZOJLSI,O,O,O
TZOJSIL,O,O,O
TZOJSLI,O,O,O
TZOSILJ,O,O,O
TZOSIJL,O,O,O
TZOSLIJ,O,O,O
TZOSLJI,O,O,O
TZOSJIL,O,O,O
TZOSJLI,O,O,O
TOILJSZ,O,O,X
TOILJZS,O,O,O
TOILSJZ,O,O,X
TOILSZJ,O,O,X
TOILZJS,O,O,O
TOILZSJ,O,O,O
TOIJLSZ,O,O,X
TOIJLZS,O,O,O
TOIJSLZ,O,O,X
TOIJSZL,O,O,O
TOIJZLS,O,O,O
TOIJZSL,O,O,O
TOISLJZ,O,O,X
TOISLZJ,O,O,X
TOISJLZ,O,O,X
TOISJZL,O,O,O
TOISZLJ,O,O,O
TOISZJL,O,O,O
TOIZLJS,O,O,O
TOIZLSJ,O,O,O
TOIZJLS,O,O,O
TOIZJSL,O,O,O
TOIZSLJ,O,O,O
TOIZSJL,O,O,O
TOLIJSZ,O,O,X
TOLIJZS,O,O,O
TOLISJZ,O,O,X
TOLISZJ,O,O,X
TOLIZJS,O,O,O
TOLIZSJ,O,O,O
TOLJISZ,O,O,X
TOLJIZS,O,O,O
TOLJSIZ,O,O,X
TOLJSZI,O,O,X
TOLJZIS,O,O,O
TOLJZSI,O,O,O
TOLSIJZ,O,O,X
TOLSIZJ,O,O,X
TOLSJIZ,O,O,X
TOLSJZI,O,O,X
TOLSZIJ,O,O,X
TOLSZJI,O,O,X
TOLZIJS,O,O,O
TOLZISJ,O,O,O
TOLZJIS,O,O,O
TOLZJSI,O,O,O
TOLZSIJ,O,O,O
TOLZSJI,O,O,O
TOJILSZ,O,O,X
TOJILZS,O,O,O
TOJISLZ,O,O,X
TOJISZL,O,O,O
TOJIZLS,O,O,O
TOJIZSL,O,O,O
TOJLISZ,O,O,X
TOJLIZS,O,O,O
TOJLSIZ,O,O,X
TOJLSZI,O,O,X
TOJLZIS,O,O,O
TOJLZSI,O,O,O
TOJSILZ,O,O,X
TOJSIZL,O,O,O
TOJSLIZ,O,O,X
TOJSLZI,O,O,X
TOJSZIL,O,O,O
TOJSZLI,O,O,O
TOJZILS,O,O,O
TOJZISL,O,O,O
TOJZLIS,O,O,O
TOJZLSI,O,O,O
TOJZSIL,O,O,O
TOJZSLI,O,O,O
TOSILJZ,O,O,X
TOSILZJ,O,O,X
TOSIJLZ,O,O,X
TOSIJZL,O,O,O
TOSIZLJ,O,O,O
TOSIZJL,O,O,O
TOSLIJZ,O,O,X
TOSLIZJ,O,O,X
TOSLJIZ,O,O,X
TOSLJZI,O,O,X
TOSLZIJ,O,O,X
TOSLZJI,O,O,X
TOSJILZ,O,O,X
TOSJIZL,O,O,O
TOSJLIZ,O,O,X
TOSJLZI,O,O,X
TOSJZIL,O,O,O
TOSJZLI,O,O,O
TOSZILJ,O,O,O
TOSZIJL,O,O,O
TOSZLIJ,O,O,O
TOSZLJI,O,O,O
TOSZJIL,O,O,O
TOSZJLI,O,O,O
TOZILJS,O,O,O
TOZILSJ,O,O,O
TOZIJLS,O,O,O
TOZIJSL,O,O,O
TOZISLJ,O,O,O
TOZISJL,O,O,O
TOZLIJS,O,O,O
TOZLISJ,O,O,O
TOZLJIS,O,O,O
TOZLJSI,O,O,O
TOZLSIJ,O,O,O
TOZLSJI,O,O,O
TOZJILS,O,O,O
TOZJISL,O,O,O
TOZJLIS,O,O,O
TOZJLSI,O,O,O
TOZJSIL,O,O,O
TOZJSLI,O,O,O
TOZSILJ,O,O,O
TOZSIJL,O,O,O
TOZSLIJ,O,O,O
TOZSLJI,O,O,O
TOZSJIL,O,O,O
TOZSJLI,O,O,O
ITLJSZO,O,O,X
ITLJSOZ,O,O,X
ITLJZSO,O,O,X
ITLJZOS,O,O,X
ITLJOSZ,O,O,X
ITLJOZS,O,O,X
ITLSJZO,O,O,X
ITLSJOZ,O,O,X
ITLSZJO,O,O,X
ITLSZOJ,O,O,X
ITLSOJZ,O,O,X
ITLSOZJ,O,O,X
ITLZJSO,O,O,X
ITLZJOS,O,O,X
ITLZSJO,O,O,X
ITLZSOJ,O,O,X
ITLZOJS,O,O,X
ITLZOSJ,O,O,X
ITLOJSZ,O,O,X
ITLOJZS,O,O,X
ITLOSJZ,O,O,X
ITLOSZJ,O,O,X
ITLOZJS,O,O,X
ITLOZSJ,O,O,X
ITJLSZO,O,O,X
ITJLSOZ,O,O,X
ITJLZSO,O,O,X
ITJLZOS,O,O,X
ITJLOSZ,O,O,X
ITJLOZS,O,O,X
ITJSLZO,O,O,X
ITJSLOZ,O,O,X
ITJSZLO,O,O,X
ITJSZOL,O,O,X
ITJSOLZ,O,O,X
ITJSOZL,O,O,X
ITJZLSO,O,O,X
ITJZLOS,O,O,X
ITJZSLO,O,O,X
ITJZSOL,O,O,O
ITJZOLS,O,O,O
ITJZOSL,O,O,O
ITJOLSZ,O,O,X
ITJOLZS,O,O,O
ITJOSLZ,O,O,X
ITJOSZL,O,O,O
ITJOZLS,O,O,O
ITJOZSL,O,O,O
ITSLJZO,O,O,X
ITSLJOZ,O,O,X
ITSLZJO,O,O,X
ITSLZOJ,O,O,X
ITSLOJZ,O,O,X
ITSLOZJ,O,O,X
ITSJLZO,O,O,X
ITSJLOZ,O,O,X
ITSJZLO,O,O,X
ITSJZOL,O,O,X
ITSJOLZ,O,O,X
ITSJOZL,O,O,X
ITSZLJO,O,O,X
ITSZLOJ,O,O,X
ITSZJLO,O,O,X
ITSZJOL,O,O,X
ITSZOLJ,O,O,X
ITSZOJL,O,O,X
ITSOLJZ,O,O,X
ITSOLZJ,O,O,X
ITSOJLZ,O,O,X
ITSOJZL,O,O,X
ITSOZLJ,O,O,X
ITSOZJL,O,O,X
ITZLJSO,O,O,X
ITZLJOS,O,O,X
ITZLSJO,O,O,X
ITZLSOJ,O,O,X
ITZLOJS,O,O,X
ITZLOSJ,O,O,X
ITZJLSO,O,O,X
ITZJLOS,O,O,X
ITZJSLO,O,O,X
ITZJSOL,O,O,O
ITZJOLS,O,O,O
ITZJOSL,O,O,O
ITZSLJO,O,O,X
ITZSLOJ,O,O,X
ITZSJLO,O,O,X
ITZSJOL,O,O,O
ITZSOLJ,O,O,O
ITZSOJL,O,O,O
ITZOLJS,O,O,O
ITZOLSJ,O,O,O
ITZOJLS,O,O,O
ITZOJSL,O,O,O
ITZOSLJ,O,O,O
ITZOSJL,O,O,O
ITOLJSZ,O,O,X
ITOLJZS,O,O,O
ITOLSJZ,O,O,X
ITOLSZJ,O,O,X
ITOLZJS,O,O,O
ITOLZSJ,O,O,O
ITOJLSZ,O,O,X
ITOJLZS,O,O,O
ITOJSLZ,O,O,X
ITOJSZL,O,O,O
ITOJZLS,O,O,O
ITOJZSL,O,O,O
ITOSLJZ,O,O,X
ITOSLZJ,O,O,X
ITOSJLZ,O,O,X
ITOSJZL,O,O,O
ITOSZLJ,O,O,O
ITOSZJL,O,O,O
ITOZLJS,O,O,O
ITOZLSJ,O,O,O
ITOZJLS,O,O,O
ITOZJSL,O,O,O
ITOZSLJ,O,O,O
ITOZSJL,O,O,O
ILTJSZO,O,O,X
ILTJSOZ,O,O,X
ILTJZSO,O,O,X
ILTJZOS,O,O,X
ILTJOSZ,O,O,X
ILTJOZS,O,O,X
ILTSJZO,O,O,X
ILTSJOZ,O,O,X
ILTSZJO,O,O,X
ILTSZOJ,O,O,X
ILTSOJZ,O,O,X
ILTSOZJ,O,O,X
ILTZJSO,O,O,X
ILTZJOS,O,O,X
ILTZSJO,O,O,X
ILTZSOJ,O,O,X
ILTZOJS,O,O,X
ILTZOSJ,O,O,X
ILTOJSZ,O,O,X
ILTOJZS,O,O,X
ILTOSJZ,O,O,X
ILTOSZJ,O,O,X
ILTOZJS,O,O,X
ILTOZSJ,O,O,X
ILJTSZO,O,O,X
ILJTSOZ,O,O,X
ILJTZSO,O,O,X
ILJTZOS,O,O,X
ILJTOSZ,O,O,X
ILJTOZS,O,O,X
ILJSTZO,O,O,X
ILJSTOZ,O,O,X
ILJSZTO,O,O,X
ILJSZOT,O,O,X
ILJSOTZ,X,O,X
ILJSOZT,O,O,X
ILJZTSO,O,O,X
ILJZTOS,O,O,X
ILJZSTO,O,O,X
ILJZSOT,O,O,X
ILJZOTS,O,O,X
ILJZOST,O,O,X
ILJOTSZ,O,O,X
ILJOTZS,O,O,X
ILJOSTZ,X,O,X
ILJOSZT,O,O,X
ILJOZTS,O,O,X
ILJOZST,O,O,X
ILSTJZO,O,O,X
ILSTJOZ,O,O,X
ILSTZJO,O,O,X
ILSTZOJ,O,O,X
ILSTOJZ,O,O,X
ILSTOZJ,O,O,X
ILSJTZO,O,O,X
ILSJTOZ,O,O,X
ILSJZTO,O,O,X
ILSJZOT,O,O,X
ILSJOTZ,X,O,X
ILSJOZT,O,O,X
ILSZTJO,O,O,X
ILSZTOJ,O,O,X
ILSZJTO,O,O,X
ILSZJOT,O,O,X
ILSZOTJ,O,O,X
ILSZOJT,O,O,X
ILSOTJZ,X,O,X
ILSOTZJ,X,O,X
ILSOJTZ,X,O,X
ILSOJZT,O,O,X
ILSOZTJ,O,O,X
ILSOZJT,O,O,X
ILZTJSO,O,O,X
ILZTJOS,O,O,X
ILZTSJO,O,O,X
ILZTSOJ,O,O,X
ILZTOJS,O,O,X
ILZTOSJ,O,O,X
ILZJTSO,O,O,X
ILZJTOS,O,O,X
ILZJSTO,O,O,X
ILZJSOT,O,O,X
ILZJOTS,O,O,X
ILZJOST,O,O,X
ILZSTJO,O,O,X
ILZSTOJ,O,O,X
ILZSJTO,O,O,X
ILZSJOT,O,O,X
ILZSOTJ,O,O,X
ILZSOJT,O,O,X
ILZOTJS,O,O,X
ILZOTSJ,O,O,X
ILZOJTS,O,O,X
ILZOJST,O,O,X
ILZOSTJ,O,O,X
ILZOSJT,O,O,X
ILOTJSZ,O,O,X
ILOTJZS,O,O,X
ILOTSJZ,O,O,X
ILOTSZJ,O,O,X
ILOTZJS,O,O,X
ILOTZSJ,O,O,X
ILOJTSZ,O,O,X
ILOJTZS,O,O,X
ILOJSTZ,X,O,X
ILOJSZT,O,O,X
ILOJZTS,O,O,X
ILOJZST,O,O,X
ILOSTJZ,X,O,X
ILOSTZJ,X,O,X
ILOSJTZ,X,O,X
ILOSJZT,O,O,X
ILOSZTJ,O,O,X
ILOSZJT,O,O,X
ILOZTJS,O,O,X
ILOZTSJ,O,O,X
ILOZJTS,O,O,X
ILOZJST,O,O,X
ILOZSTJ,O,O,X
ILOZSJT,O,O,X
IJTLSZO,O,O,X
IJTLSOZ,O,O,X
IJTLZSO,O,O,X
IJTLZOS,O,O,X
IJTLOSZ,O,O,X
IJTLOZS,O,O,X
IJTSLZO,O,O,X
