sequence,v115@ShB8FeF8AeD8JeOEJvhFXgBxhBTjBCmB0nBlrB,v115@ShB8FeF8AeD8Jex/IvhF8lBzhBWoBikBXoBlrB,v115@ShB8FeF8AeD8JeOEJvhFXgB0hBxiBzlBFoBCsB
TIOJZLS,X,X,X
TIOJZSL,X,X,O
TIOSLJZ,X,X,O
TIOSLZJ,X,X,O
TIOSJLZ,X,X,O
TIOSJZL,X,X,O
TIOSZLJ,X,X,X
TIOSZJL,X,X,O
TIOZLJS,X,X,X
TIOZLSJ,X,X,X
TIOZJLS,X,X,X
TIOZJSL,X,X,O
TIOZSLJ,X,X,X
TIOZSJL,X,X,O
TLIJSZO,O,X,X
TLIJSOZ,O,X,X
TLIJZSO,O,X,X
TLIJZOS,O,X,X
TLIJOSZ,O,X,X
TLIJOZS,X,X,X
TLISJZO,O,X,X
TLISJOZ,O,X,X
TLISZJO,O,X,X
TLISZOJ,O,X,X
TLISOJZ,O,X,X
TLISOZJ,X,X,X
TLIZJSO,O,X,X
TLIZJOS,O,X,X
TLIZSJO,O,X,X
TLIZSOJ,O,X,X
TLIZOJS,O,X,X
TLIZOSJ,O,X,X
TLIOJSZ,O,X,X
TLIOJZS,X,X,X
TLIOSJZ,O,X,X
TLIOSZJ,X,X,X
TLIOZJS,X,X,X
TLIOZSJ,X,X,X
TLJISZO,O,X,X
TLJISOZ,O,X,X
TLJIZSO,O,X,X
TLJIZOS,O,X,X
TLJIOSZ,O,X,X
TLJIOZS,X,X,X
TLJSIZO,O,X,X
TLJSIOZ,O,X,X
TLJSZIO,O,X,X
TLJSZOI,O,X,X
TLJSOIZ,O,X,X
TLJSOZI,X,X,X
TLJZISO,O,X,X
TLJZIOS,O,O,X
TLJZSIO,O,X,X
TLJZSOI,O,X,X
TLJZOIS,O,O,X
TLJZOSI,O,O,X
TLJOISZ,O,X,X
TLJOIZS,X,X,X
TLJOSIZ,O,X,X
TLJOSZI,X,X,X
TLJOZIS,X,O,X
TLJOZSI,X,O,X
TLSIJZO,O,X,X
TLSIJOZ,O,X,X
TLSIZJO,O,X,X
TLSIZOJ,O,X,X
TLSIOJZ,O,X,X
TLSIOZJ,X,X,X
TLSJIZO,O,X,X
TLSJIOZ,O,X,X
TLSJZIO,O,X,X
TLSJZOI,O,X,X
TLSJOIZ,O,X,X
TLSJOZI,X,X,X
TLSZIJO,O,X,X
TLSZIOJ,O,X,X
TLSZJIO,O,X,X
TLSZJOI,O,X,X
TLSZOIJ,O,X,X
TLSZOJI,O,X,X
TLSOIJZ,O,X,X
TLSOIZJ,X,X,X
TLSOJIZ,O,X,X
TLSOJZI,X,X,X
TLSOZIJ,X,X,X
TLSOZJI,X,X,X
TLZIJSO,O,X,X
TLZIJOS,O,O,X
TLZISJO,O,X,X
TLZISOJ,O,X,X
TLZIOJS,O,O,X
TLZIOSJ,O,X,X
TLZJISO,O,X,X
TLZJIOS,O,O,X
TLZJSIO,O,X,X
TLZJSOI,O,X,X
TLZJOIS,O,O,X
TLZJOSI,O,O,X
TLZSIJO,O,X,X
TLZSIOJ,O,X,X
TLZSJIO,O,X,X
TLZSJOI,O,X,X
TLZSOIJ,O,X,X
TLZSOJI,O,X,X
TLZOIJS,O,O,X
TLZOISJ,O,X,X
TLZOJIS,O,O,X
TLZOJSI,O,O,X
TLZOSIJ,O,X,X
TLZOSJI,O,X,X
TLOIJSZ,O,X,X
TLOIJZS,X,X,X
TLOISJZ,O,X,X
TLOISZJ,X,X,X
TLOIZJS,X,X,X
TLOIZSJ,X,X,X
TLOJISZ,O,X,X
TLOJIZS,X,X,X
TLOJSIZ,O,X,X
TLOJSZI,X,X,X
TLOJZIS,X,O,X
TLOJZSI,X,O,X
TLOSIJZ,O,X,X
TLOSIZJ,X,X,X
TLOSJIZ,O,X,X
TLOSJZI,X,X,X
TLOSZIJ,X,X,X
TLOSZJI,X,X,X
TLOZIJS,X,O,X
TLOZISJ,X,X,X
TLOZJIS,X,O,X
TLOZJSI,X,O,X
TLOZSIJ,X,X,X
TLOZSJI,X,X,X
TJILSZO,X,X,X
TJILSOZ,X,X,X
TJILZSO,X,X,X
TJILZOS,X,X,X
TJILOSZ,X,X,X
TJILOZS,X,X,X
TJISLZO,X,X,X
TJISLOZ,X,X,X
TJISZLO,X,X,X
TJISZOL,X,X,X
TJISOLZ,X,X,O
TJISOZL,X,X,O
TJIZLSO,X,X,X
TJIZLOS,X,X,X
TJIZSLO,X,X,X
TJIZSOL,X,X,X
TJIZOLS,X,X,X
TJIZOSL,X,X,X
TJIOLSZ,X,X,O
TJIOLZS,X,X,O
TJIOSLZ,X,X,O
TJIOSZL,X,X,O
TJIOZLS,X,X,X
TJIOZSL,X,X,O
TJLISZO,O,X,X
TJLISOZ,O,X,X
TJLIZSO,O,X,X
TJLIZOS,O,X,X
TJLIOSZ,O,X,X
TJLIOZS,X,X,X
TJLSIZO,O,X,X
TJLSIOZ,O,X,X
TJLSZIO,O,X,X
TJLSZOI,O,X,X
TJLSOIZ,O,X,X
TJLSOZI,X,X,X
TJLZISO,O,X,X
TJLZIOS,O,O,X
TJLZSIO,O,X,X
TJLZSOI,O,X,X
TJLZOIS,O,O,X
TJLZOSI,O,O,X
TJLOISZ,O,X,X
TJLOIZS,X,X,X
TJLOSIZ,O,X,X
TJLOSZI,X,X,X
TJLOZIS,X,O,X
TJLOZSI,X,O,X
TJSILZO,X,X,X
TJSILOZ,X,X,X
TJSIZLO,X,X,X
TJSIZOL,X,X,X
TJSIOLZ,X,X,O
TJSIOZL,X,X,O
TJSLIZO,O,X,X
TJSLIOZ,O,X,X
TJSLZIO,O,X,X
TJSLZOI,O,X,X
TJSLOIZ,O,X,X
TJSLOZI,X,X,X
TJSZILO,X,X,X
TJSZIOL,O,X,X
TJSZLIO,X,X,X
TJSZLOI,X,X,X
TJSZOIL,O,X,X
TJSZOLI,X,X,X
TJSOILZ,X,X,O
TJSOIZL,X,X,O
TJSOLIZ,O,X,O
TJSOLZI,X,X,O
TJSOZIL,X,X,O
TJSOZLI,X,X,X
TJZILSO,O,X,X
TJZILOS,O,X,X
TJZISLO,X,X,X
TJZISOL,O,X,X
TJZIOLS,O,X,X
TJZIOSL,O,X,X
TJZLISO,O,X,X
TJZLIOS,O,O,X
TJZLSIO,O,X,X
TJZLSOI,O,X,X
TJZLOIS,O,O,X
TJZLOSI,O,O,X
TJZSILO,X,X,X
TJZSIOL,O,X,X
TJZSLIO,X,X,X
TJZSLOI,X,X,X
TJZSOIL,O,X,X
TJZSOLI,X,X,X
TJZOILS,O,X,X
TJZOISL,O,X,X
TJZOLIS,O,O,X
TJZOLSI,O,O,X
TJZOSIL,O,X,X
TJZOSLI,X,X,X
TJOILSZ,X,X,O
TJOILZS,X,X,O
TJOISLZ,X,X,O
TJOISZL,X,X,O
TJOIZLS,X,X,X
TJOIZSL,X,X,O
TJOLISZ,O,X,O
TJOLIZS,X,X,O
TJOLSIZ,O,X,O
TJOLSZI,X,X,O
TJOLZIS,X,O,O
TJOLZSI,X,O,O
TJOSILZ,X,X,O
TJOSIZL,X,X,O
TJOSLIZ,O,X,O
TJOSLZI,X,X,O
TJOSZIL,X,X,O
TJOSZLI,X,X,X
TJOZILS,X,X,X
TJOZISL,X,X,O
TJOZLIS,X,O,X
TJOZLSI,X,O,X
TJOZSIL,X,X,O
TJOZSLI,X,X,X
TSILJZO,X,X,X
TSILJOZ,X,X,X
TSILZJO,X,X,X
TSILZOJ,X,X,X
TSILOJZ,X,X,X
TSILOZJ,X,X,X
TSIJLZO,X,X,X
TSIJLOZ,X,X,X
TSIJZLO,X,X,X
TSIJZOL,X,X,X
TSIJOLZ,X,X,O
TSIJOZL,X,X,O
TSIZLJO,X,X,X
TSIZLOJ,X,X,X
TSIZJLO,X,X,X
TSIZJOL,X,X,X
TSIZOLJ,X,X,X
TSIZOJL,X,X,X
TSIOLJZ,X,X,O
TSIOLZJ,X,X,O
TSIOJLZ,X,X,O
TSIOJZL,X,X,O
TSIOZLJ,X,X,X
TSIOZJL,X,X,O
TSLIJZO,O,X,X
TSLIJOZ,O,X,X
TSLIZJO,O,X,X
TSLIZOJ,O,X,X
TSLIOJZ,O,X,X
TSLIOZJ,X,X,X
TSLJIZO,O,X,X
TSLJIOZ,O,X,X
TSLJZIO,O,X,X
TSLJZOI,O,X,X
TSLJOIZ,O,X,X
TSLJOZI,X,X,X
TSLZIJO,O,X,X
TSLZIOJ,O,X,X
TSLZJIO,O,X,X
TSLZJOI,O,X,X
TSLZOIJ,O,X,X
TSLZOJI,O,X,X
TSLOIJZ,O,X,X
TSLOIZJ,X,X,X
TSLOJIZ,O,X,X
TSLOJZI,X,X,X
TSLOZIJ,X,X,X
TSLOZJI,X,X,X
TSJILZO,X,X,X
TSJILOZ,X,X,X
TSJIZLO,X,X,X
TSJIZOL,X,X,X
TSJIOLZ,X,X,O
TSJIOZL,X,X,O
TSJLIZO,O,X,X
TSJLIOZ,O,X,X
TSJLZIO,O,X,X
TSJLZOI,O,X,X
TSJLOIZ,O,X,X
TSJLOZI,X,X,X
TSJZILO,X,X,X
TSJZIOL,O,X,X
TSJZLIO,X,X,X
TSJZLOI,X,X,X
TSJZOIL,O,X,X
TSJZOLI,X,X,X
TSJOILZ,X,X,O
TSJOIZL,X,X,O
TSJOLIZ,O,X,O
TSJOLZI,X,X,O
TSJOZIL,X,X,O
TSJOZLI,X,X,X
TSZILJO,X,X,X
TSZILOJ,X,X,X
TSZIJLO,X,X,X
TSZIJOL,O,X,X
TSZIOLJ,X,X,X
TSZIOJL,O,X,X
TSZLIJO,X,X,X
TSZLIOJ,X,X,X
TSZLJIO,X,X,X
TSZLJOI,X,X,X
TSZLOIJ,X,X,X
TSZLOJI,X,X,X
TSZJILO,X,X,X
TSZJIOL,O,X,X
TSZJLIO,X,X,X
TSZJLOI,X,X,X
TSZJOIL,O,X,X
TSZJOLI,X,X,X
TSZOILJ,X,X,X
TSZOIJL,O,X,X
TSZOLIJ,X,X,X
TSZOLJI,X,X,X
TSZOJIL,O,X,X
TSZOJLI,X,X,X
TSOILJZ,X,X,O
TSOILZJ,X,X,O
TSOIJLZ,X,X,O
TSOIJZL,X,X,O
TSOIZLJ,X,X,X
TSOIZJL,X,X,O
TSOLIJZ,O,X,O
TSOLIZJ,X,X,O
TSOLJIZ,O,X,O
TSOLJZI,X,X,O
TSOLZIJ,X,X,O
TSOLZJI,X,X,O
TSOJILZ,X,X,O
TSOJIZL,X,X,O
TSOJLIZ,O,X,O
TSOJLZI,X,X,O
TSOJZIL,X,X,O
TSOJZLI,X,X,X
TSOZILJ,X,X,X
TSOZIJL,X,X,O
TSOZLIJ,X,X,X
TSOZLJI,X,X,X
TSOZJIL,X,X,O
TSOZJLI,X,X,X
TZILJSO,O,X,X
TZILJOS,O,X,X
TZILSJO,O,X,X
TZILSOJ,O,X,X
TZILOJS,O,X,X
TZILOSJ,O,X,X
TZIJLSO,O,X,X
TZIJLOS,O,X,X
TZIJSLO,X,X,X
TZIJSOL,O,X,X
TZIJOLS,O,X,X
TZIJOSL,O,X,X
TZISLJO,X,X,X
TZISLOJ,X,X,X
TZISJLO,X,X,X
TZISJOL,O,X,X
TZISOLJ,X,X,X
TZISOJL,O,X,X
TZIOLJS,O,X,X
TZIOLSJ,O,X,X
TZIOJLS,O,X,X
TZIOJSL,O,X,X
TZIOSLJ,X,X,X
TZIOSJL,O,X,X
TZLIJSO,O,X,X
TZLIJOS,O,O,X
TZLISJO,O,X,X
TZLISOJ,O,X,X
TZLIOJS,O,O,X
TZLIOSJ,O,X,X
TZLJISO,O,X,X
TZLJIOS,O,O,X
TZLJSIO,O,X,X
TZLJSOI,O,X,X
TZLJOIS,O,O,X
TZLJOSI,O,O,X
TZLSIJO,O,X,X
TZLSIOJ,O,X,X
TZLSJIO,O,X,X
TZLSJOI,O,X,X
TZLSOIJ,O,X,X
TZLSOJI,O,X,X
TZLOIJS,O,O,X
TZLOISJ,O,X,X
TZLOJIS,O,O,X
TZLOJSI,O,O,X
TZLOSIJ,O,X,X
TZLOSJI,O,X,X
TZJILSO,O,X,X
TZJILOS,O,X,X
TZJISLO,X,X,X
TZJISOL,O,X,X
TZJIOLS,O,X,X
TZJIOSL,O,X,X
TZJLISO,O,X,X
TZJLIOS,O,O,X
TZJLSIO,O,X,X
TZJLSOI,O,X,X
TZJLOIS,O,O,X
TZJLOSI,O,O,X
TZJSILO,X,X,X
TZJSIOL,O,X,X
TZJSLIO,X,X,X
TZJSLOI,X,X,X
TZJSOIL,O,X,X
TZJSOLI,X,X,X
TZJOILS,O,X,X
TZJOISL,O,X,X
TZJOLIS,O,O,X
TZJOLSI,O,O,X
TZJOSIL,O,X,X
TZJOSLI,X,X,X
TZSILJO,X,X,X
TZSILOJ,X,X,X
TZSIJLO,X,X,X
TZSIJOL,O,X,X
TZSIOLJ,X,X,X
TZSIOJL,O,X,X
TZSLIJO,X,X,X
TZSLIOJ,X,X,X
TZSLJIO,X,X,X
TZSLJOI,X,X,X
TZSLOIJ,X,X,X
TZSLOJI,X,X,X
TZSJILO,X,X,X
TZSJIOL,O,X,X
TZSJLIO,X,X,X
TZSJLOI,X,X,X
TZSJOIL,O,X,X
TZSJOLI,X,X,X
TZSOILJ,X,X,X
TZSOIJL,O,X,X
TZSOLIJ,X,X,X
TZSOLJI,X,X,X
TZSOJIL,O,X,X
TZSOJLI,X,X,X
TZOILJS,O,X,X
TZOILSJ,O,X,X
TZOIJLS,O,X,X
TZOIJSL,O,X,X
TZOISLJ,X,X,X
TZOISJL,O,X,X
TZOLIJS,O,O,X
TZOLISJ,O,X,X
TZOLJIS,O,O,X
TZOLJSI,O,O,X
TZOLSIJ,O,X,X
TZOLSJI,O,X,X
TZOJILS,O,X,X
TZOJISL,O,X,X
TZOJLIS,O,O,X
TZOJLSI,O,O,X
TZOJSIL,O,X,X
TZOJSLI,X,X,X
TZOSILJ,X,X,X
TZOSIJL,O,X,X
TZOSLIJ,X,X,X
TZOSLJI,X,X,X
TZOSJIL,O,X,X
TZOSJLI,X,X,X
TOILJSZ,X,X,O
TOILJZS,X,X,O
TOILSJZ,X,X,O
TOILSZJ,X,X,O
TOILZJS,X,X,O
TOILZSJ,X,X,O
TOIJLSZ,X,X,O
TOIJLZS,X,X,O
TOIJSLZ,X,X,O
TOIJSZL,X,X,O
TOIJZLS,X,X,X
TOIJZSL,X,X,O
TOISLJZ,X,X,O
TOISLZJ,X,X,O
TOISJLZ,X,X,O
TOISJZL,X,X,O
TOISZLJ,X,X,X
TOISZJL,X,X,O
TOIZLJS,X,X,X
TOIZLSJ,X,X,X
TOIZJLS,X,X,X
TOIZJSL,X,X,O
TOIZSLJ,X,X,X
TOIZSJL,X,X,O
TOLIJSZ,O,X,O
TOLIJZS,X,X,O
TOLISJZ,O,X,O
TOLISZJ,X,X,O
TOLIZJS,X,X,O
TOLIZSJ,X,X,O
TOLJISZ,O,X,O
TOLJIZS,X,X,O
TOLJSIZ,O,X,O
TOLJSZI,X,X,O
TOLJZIS,X,O,O
TOLJZSI,X,O,O
TOLSIJZ,O,X,O
TOLSIZJ,X,X,O
TOLSJIZ,O,X,O
TOLSJZI,X,X,O
TOLSZIJ,X,X,O
TOLSZJI,X,X,O
TOLZIJS,X,O,O
TOLZISJ,X,X,O
TOLZJIS,X,O,O
TOLZJSI,X,O,O
TOLZSIJ,X,X,O
TOLZSJI,X,X,O
TOJILSZ,X,X,O
TOJILZS,X,X,O
TOJISLZ,X,X,O
TOJISZL,X,X,O
TOJIZLS,X,X,X
TOJIZSL,X,X,O
TOJLISZ,O,X,O
TOJLIZS,X,X,O
TOJLSIZ,O,X,O
TOJLSZI,X,X,O
TOJLZIS,X,O,O
TOJLZSI,X,O,O
TOJSILZ,X,X,O
TOJSIZL,X,X,O
TOJSLIZ,O,X,O
TOJSLZI,X,X,O
TOJSZIL,X,X,O
TOJSZLI,X,X,X
TOJZILS,X,X,X
TOJZISL,X,X,O
TOJZLIS,X,O,X
TOJZLSI,X,O,X
TOJZSIL,X,X,O
TOJZSLI,X,X,X
TOSILJZ,X,X,O
TOSILZJ,X,X,O
TOSIJLZ,X,X,O
TOSIJZL,X,X,O
TOSIZLJ,X,X,X
TOSIZJL,X,X,O
TOSLIJZ,O,X,O
TOSLIZJ,X,X,O
TOSLJIZ,O,X,O
TOSLJZI,X,X,O
TOSLZIJ,X,X,O
TOSLZJI,X,X,O
TOSJILZ,X,X,O
TOSJIZL,X,X,O
TOSJLIZ,O,X,O
TOSJLZI,X,X,O
TOSJZIL,X,X,O
TOSJZLI,X,X,X
TOSZILJ,X,X,X
TOSZIJL,X,X,O
TOSZLIJ,X,X,X
TOSZLJI,X,X,X
TOSZJIL,X,X,O
TOSZJLI,X,X,X
TOZILJS,X,X,X
TOZILSJ,X,X,X
TOZIJLS,X,X,X
TOZIJSL,X,X,O
TOZISLJ,X,X,X
TOZISJL,X,X,O
TOZLIJS,X,O,X
TOZLISJ,X,X,X
TOZLJIS,X,O,X
TOZLJSI,X,O,X
TOZLSIJ,X,X,X
TOZLSJI,X,X,X
TOZJILS,X,X,X
TOZJISL,X,X,O
TOZJLIS,X,O,X
TOZJLSI,X,O,X
TOZJSIL,X,X,O
TOZJSLI,X,X,X
TOZSILJ,X,X,X
TOZSIJL,X,X,O
TOZSLIJ,X,X,X
TOZSLJI,X,X,X
TOZSJIL,X,X,O
TOZSJLI,X,X,X
ITLJSZO,X,X,X
ITLJSOZ,X,X,X
ITLJZSO,X,X,X
ITLJZOS,X,X,X
ITLJOSZ,X,X,X
ITLJOZS,X,X,X
ITLSJZO,X,X,X
ITLSJOZ,X,X,X
ITLSZJO,X,X,X
ITLSZOJ,X,X,X
ITLSOJZ,X,X,X
ITLSOZJ,X,X,X
ITLZJSO,X,X,X
ITLZJOS,X,X,X
ITLZSJO,X,X,X
ITLZSOJ,X,X,X
ITLZOJS,X,X,X
ITLZOSJ,X,X,X
ITLOJSZ,X,X,X
ITLOJZS,X,X,X
ITLOSJZ,X,X,X
ITLOSZJ,X,X,X
ITLOZJS,X,X,X
ITLOZSJ,X,X,X
ITJLSZO,X,X,X
ITJLSOZ,X,X,X
ITJLZSO,X,X,X
ITJLZOS,X,X,X
ITJLOSZ,X,X,X
ITJLOZS,X,X,X
ITJSLZO,X,X,X
ITJSLOZ,X,X,X
ITJSZLO,X,X,X
ITJSZOL,X,X,X
ITJSOLZ,X,X,X
ITJSOZL,X,X,X
ITJZLSO,X,X,X
ITJZLOS,X,X,X
ITJZSLO,X,X,X
ITJZSOL,X,X,X
ITJZOLS,X,X,X
ITJZOSL,X,X,X
ITJOLSZ,X,X,X
ITJOLZS,X,X,X
ITJOSLZ,X,X,X
ITJOSZL,X,X,X
ITJOZLS,X,X,X
ITJOZSL,X,X,X
ITSLJZO,X,X,X
ITSLJOZ,X,X,X
ITSLZJO,X,X,X
ITSLZOJ,X,X,X
ITSLOJZ,X,X,X
ITSLOZJ,X,X,X
ITSJLZO,X,X,X
ITSJLOZ,X,X,X
ITSJZLO,X,X,X
ITSJZOL,X,X,X
ITSJOLZ,X,X,X
ITSJOZL,X,X,X
ITSZLJO,X,X,X
ITSZLOJ,X,X,X
ITSZJLO,X,X,X
ITSZJOL,X,X,X
ITSZOLJ,X,X,X
ITSZOJL,X,X,X
ITSOLJZ,X,X,X
ITSOLZJ,X,X,X
ITSOJLZ,X,X,X
ITSOJZL,X,X,X
ITSOZLJ,X,X,X
ITSOZJL,X,X,X
ITZLJSO,X,X,X
ITZLJOS,X,X,X
ITZLSJO,X,X,X
ITZLSOJ,X,X,X
ITZLOJS,X,X,X
ITZLOSJ,X,X,X
ITZJLSO,X,X,X
ITZJLOS,X,X,X
ITZJSLO,X,X,X
ITZJSOL,X,X,X
ITZJOLS,X,X,X
ITZJOSL,X,X,X
ITZSLJO,X,X,X
ITZSLOJ,X,X,X
ITZSJLO,X,X,X
ITZSJOL,X,X,X
ITZSOLJ,X,X,X
ITZSOJL,X,X,X
ITZOLJS,X,X,X
ITZOLSJ,X,X,X
ITZOJLS,X,X,X
ITZOJSL,X,X,X
ITZOSLJ,X,X,X
ITZOSJL,X,X,X
ITOLJSZ,X,X,X
ITOLJZS,X,X,X
ITOLSJZ,X,X,X
ITOLSZJ,X,X,X
ITOLZJS,X,X,X
ITOLZSJ,X,X,X
ITOJLSZ,X,X,X
ITOJLZS,X,X,X
ITOJSLZ,X,X,X
ITOJSZL,X,X,X
ITOJZLS,X,X,X
ITOJZSL,X,X,X
ITOSLJZ,X,X,X
ITOSLZJ,X,X,X
ITOSJLZ,X,X,X
ITOSJZL,X,X,X
ITOSZLJ,X,X,X
ITOSZJL,X,X,X
ITOZLJS,X,X,X
ITOZLSJ,X,X,X
ITOZJLS,X,X,X
ITOZJSL,X,X,X
ITOZSLJ,X,X,X
ITOZSJL,X,X,X
ILTJSZO,X,X,X
ILTJSOZ,X,X,X
ILTJZSO,X,X,X
ILTJZOS,X,X,X
ILTJOSZ,X,X,X
ILTJOZS,X,X,X
ILTSJZO,X,X,X
ILTSJOZ,X,X,X
ILTSZJO,X,X,X
ILTSZOJ,X,X,X
ILTSOJZ,X,X,X
ILTSOZJ,X,X,X
ILTZJSO,X,X,X
ILTZJOS,X,X,X
ILTZSJO,X,X,X
ILTZSOJ,X,X,X
ILTZOJS,X,X,X
ILTZOSJ,X,X,X
ILTOJSZ,X,X,X
ILTOJZS,X,X,X
ILTOSJZ,X,X,X
ILTOSZJ,X,X,X
ILTOZJS,X,X,X
ILTOZSJ,X,X,X
ILJTSZO,X,X,X
ILJTSOZ,X,X,X
ILJTZSO,X,X,X
ILJTZOS,X,X,X
ILJTOSZ,X,X,X
ILJTOZS,X,X,X
ILJSTZO,X,X,X
ILJSTOZ,X,X,X
ILJSZTO,X,X,X
ILJSZOT,X,X,X
ILJSOTZ,X,X,X
ILJSOZT,X,X,X
ILJZTSO,X,X,X
ILJZTOS,X,X,X
ILJZSTO,X,X,X
ILJZSOT,X,X,X
ILJZOTS,X,X,X
ILJZOST,X,X,X
ILJOTSZ,X,X,X
ILJOTZS,X,X,X
ILJOSTZ,X,X,X
ILJOSZT,X,X,X
ILJOZTS,X,X,X
ILJOZST,X,X,X
ILSTJZO,X,X,X
ILSTJOZ,X,X,X
ILSTZJO,X,X,X
ILSTZOJ,X,X,X
ILSTOJZ,X,X,X
ILSTOZJ,X,X,X
ILSJTZO,X,X,X
ILSJTOZ,X,X,X
ILSJZTO,X,X,X
ILSJZOT,X,X,X
ILSJOTZ,X,X,X
ILSJOZT,X,X,X
ILSZTJO,X,X,X
ILSZTOJ,X,X,X
ILSZJTO,X,X,X
ILSZJOT,X,X,X
ILSZOTJ,X,X,X
ILSZOJT,X,X,X
ILSOTJZ,X,X,X
ILSOTZJ,X,X,X
ILSOJTZ,X,X,X
ILSOJZT,X,X,X
ILSOZTJ,X,X,X
ILSOZJT,X,X,X
ILZTJSO,X,X,X
ILZTJOS,X,X,X
ILZTSJO,X,X,X
ILZTSOJ,X,X,X
ILZTOJS,X,X,X
ILZTOSJ,X,X,X
ILZJTSO,X,X,X
ILZJTOS,X,X,X
ILZJSTO,X,X,X
ILZJSOT,X,X,X
ILZJOTS,X,X,X
ILZJOST,X,X,X
ILZSTJO,X,X,X
ILZSTOJ,X,X,X
ILZSJTO,X,X,X
ILZSJOT,X,X,X
ILZSOTJ,X,X,X
ILZSOJT,X,X,X
ILZOTJS,X,X,X
ILZOTSJ,X,X,X
ILZOJTS,X,X,X
ILZOJST,X,X,X
ILZOSTJ,X,X,X
ILZOSJT,X,X,X
ILOTJSZ,X,X,X
ILOTJZS,X,X,X
ILOTSJZ,X,X,X
ILOTSZJ,X,X,X
ILOTZJS,X,X,X
ILOTZSJ,X,X,X
ILOJTSZ,X,X,X
ILOJTZS,X,X,X
ILOJSTZ,X,X,X
ILOJSZT,X,X,X
ILOJZTS,X,X,X
ILOJZST,X,X,X
ILOSTJZ,X,X,X
ILOSTZJ,X,X,X
ILOSJTZ,X,X,X
ILOSJZT,X,X,X
ILOSZTJ,X,X,X
ILOSZJT,X,X,X
ILOZTJS,X,X,X
ILOZTSJ,X,X,X
ILOZJTS,X,X,X
ILOZJST,X,X,X
ILOZSTJ,X,X,X
ILOZSJT,X,X,X
IJTLSZO,X,X,X
IJTLSOZ,X,X,X
IJTLZSO,X,X,X
IJTLZOS,X,X,X
IJTLOSZ,X,X,X
IJTLOZS,X,X,X
IJTSLZO,X,X,X
IJTSLOZ,X,X,X
IJTSZLO,X,X,X
IJTSZOL,X,X,X
IJTSOLZ,X,X,X
