sequence,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeZ/IvhFufB3bBTeBy?lB0iBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeZ/IvhFCbBehBTeBX?gB0iBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jei6IvhFzbBckB2lBx?iBXjBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeZ/IvhFWgBTeBylB0?iBfqBlqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeT6IvhFmbB0gBxiBX?jBikBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jei7IvhFOkBzgBxiB0?fBXjBFqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jex6IvhFygBTeBOkB0?iBfqBlqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeT6IvhFlbBykB8lBx?iBXjBmpB,v115@4gC8GeA8IeB8BeA8DeH8AeG8JeT+IvhFRgB0iBlkB3?lBOkBiqB,v115@4gC8GeA8IeB8BeA8DeH8AeG8Jei7IvhF0fBzgBxiBO?kBXjBFqB
TLSIZOJ,O,X,X,X,O,X,X,X,O,X
TLSIOJZ,O,X,X,X,X,X,X,X,X,X
TLSIOZJ,O,X,X,X,O,X,X,X,X,X
TLSJIZO,O,X,X,X,X,X,X,X,X,X
TLSJIOZ,O,X,X,X,X,X,X,X,X,X
TLSJZIO,O,X,X,X,X,X,X,X,X,X
TLSJZOI,O,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,X,X,X,X,X,X,X
TLSJOZI,O,X,X,X,X,X,X,X,X,X
TLSZIJO,O,X,X,X,O,X,X,X,O,X
TLSZIOJ,O,X,X,X,O,X,X,X,O,X
TLSZJIO,O,X,X,X,O,X,X,X,O,X
TLSZJOI,O,X,X,X,O,X,X,X,O,X
TLSZOIJ,O,X,X,X,O,X,X,X,O,X
TLSZOJI,O,X,X,X,O,X,X,X,O,X
TLSOIJZ,O,X,X,X,X,X,X,X,X,X
TLSOIZJ,O,X,X,X,O,X,X,X,X,X
TLSOJIZ,O,X,X,X,X,X,X,X,X,X
TLSOJZI,O,X,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,X,X,O,X,X,X,X,X
TLSOZJI,O,X,X,X,O,X,X,X,X,X
TLZIJSO,O,O,O,X,O,X,X,X,X,X
TLZIJOS,O,O,O,X,O,X,X,X,X,X
TLZISJO,O,X,O,X,O,X,X,X,X,X
TLZISOJ,O,X,X,X,O,X,X,X,X,X
TLZIOJS,O,O,O,X,O,X,X,X,X,O
TLZIOSJ,O,X,X,X,O,X,X,X,X,O
TLZJISO,O,O,O,X,O,X,X,X,X,X
TLZJIOS,O,O,O,X,O,X,X,X,X,X
TLZJSIO,O,O,O,X,O,X,X,X,X,X
TLZJSOI,O,O,O,X,O,X,X,X,X,X
TLZJOIS,O,O,O,X,O,X,X,X,X,X
TLZJOSI,O,O,O,X,O,X,X,X,X,X
TLZSIJO,O,X,O,X,O,X,X,X,O,X
TLZSIOJ,O,X,X,X,O,X,X,X,O,X
TLZSJIO,O,X,O,X,O,X,X,X,O,X
TLZSJOI,O,X,O,X,O,X,X,X,O,X
TLZSOIJ,O,X,X,X,O,X,X,X,O,X
TLZSOJI,O,X,X,X,O,X,X,X,O,X
TLZOIJS,O,O,O,X,O,X,X,X,X,O
TLZOISJ,O,X,X,X,O,X,X,X,X,O
TLZOJIS,O,O,O,X,O,X,X,X,X,O
TLZOJSI,O,O,O,X,O,X,X,X,X,X
TLZOSIJ,O,X,X,X,O,X,X,X,O,O
TLZOSJI,O,X,X,X,O,X,X,X,O,X
TLOIJSZ,O,O,X,X,X,O,X,X,X,X
TLOIJZS,O,X,X,X,O,O,X,X,X,O
TLOISJZ,O,X,X,X,X,O,X,X,X,X
TLOISZJ,O,X,X,X,O,X,X,X,X,O
TLOIZJS,O,X,X,X,O,O,X,X,X,O
TLOIZSJ,O,X,X,X,O,X,X,X,X,O
TLOJISZ,O,O,X,X,X,O,X,X,X,X
TLOJIZS,O,X,X,X,O,O,X,X,X,O
TLOJSIZ,O,O,X,X,X,O,X,X,X,X
TLOJSZI,O,O,X,X,X,X,X,X,X,X
TLOJZIS,O,X,X,X,O,O,X,X,X,O
TLOJZSI,O,X,X,X,O,X,X,X,X,X
TLOSIJZ,O,X,X,X,X,O,X,X,X,X
TLOSIZJ,O,X,X,X,O,X,X,X,X,O
TLOSJIZ,O,X,X,X,X,O,X,X,X,X
TLOSJZI,O,X,X,X,X,X,X,X,X,X
TLOSZIJ,O,X,X,X,O,X,X,X,X,O
TLOSZJI,O,X,X,X,O,X,X,X,X,X
TLOZIJS,O,X,X,X,O,O,X,X,X,O
TLOZISJ,O,X,X,X,O,X,X,X,X,O
TLOZJIS,O,X,X,X,O,O,X,X,X,O
TLOZJSI,O,X,X,X,O,X,X,X,X,X
TLOZSIJ,O,X,X,X,O,X,X,X,X,O
TLOZSJI,O,X,X,X,O,X,X,X,X,X
TJILSZO,O,O,X,X,X,X,X,X,X,X
TJILSOZ,O,O,X,X,X,X,X,X,X,X
TJILZSO,O,O,O,X,O,X,X,O,X,X
TJILZOS,O,O,O,X,O,X,X,O,X,X
TJILOSZ,O,O,X,X,X,O,X,X,X,X
TJILOZS,O,X,O,X,O,O,X,O,X,X
TJISLZO,O,O,X,X,X,X,X,X,X,X
TJISLOZ,O,O,X,X,X,X,X,X,X,X
TJISZLO,O,O,O,X,X,X,X,X,X,X
TJISZOL,O,O,O,X,X,X,X,X,X,X
TJISOLZ,O,O,X,X,X,O,X,X,X,X
TJISOZL,X,O,O,X,X,X,X,X,X,X
TJIZLSO,O,O,O,X,O,X,X,O,X,X
TJIZLOS,O,O,O,X,O,X,X,O,X,X
TJIZSLO,O,O,O,X,O,X,X,O,X,X
TJIZSOL,O,O,O,X,X,X,X,X,X,X
TJIZOLS,O,O,O,X,O,O,X,O,X,O
TJIZOSL,O,O,O,X,X,X,X,X,X,X
TJIOLSZ,O,O,X,X,X,O,X,X,X,X
TJIOLZS,O,X,O,X,X,O,X,X,X,O
TJIOSLZ,O,O,X,X,X,O,X,X,X,X
TJIOSZL,X,O,O,X,X,X,X,X,X,X
TJIOZLS,O,O,O,X,X,O,X,X,X,O
TJIOZSL,O,O,O,X,X,X,X,X,X,X
TJLISZO,O,O,X,X,X,X,X,X,X,X
TJLISOZ,O,O,X,X,X,X,X,X,X,X
TJLIZSO,O,O,O,X,O,X,X,O,X,X
TJLIZOS,O,O,O,X,O,X,X,O,X,X
TJLIOSZ,O,O,X,X,X,O,X,X,X,X
TJLIOZS,O,X,O,X,O,O,X,O,X,X
TJLSIZO,O,O,X,X,X,X,X,X,X,X
TJLSIOZ,O,O,X,X,X,X,X,X,X,X
TJLSZIO,O,O,X,X,X,X,X,X,X,X
TJLSZOI,O,O,X,X,X,X,X,X,X,X
TJLSOIZ,O,O,X,X,X,X,X,X,X,X
TJLSOZI,O,O,X,X,X,X,X,X,X,X
TJLZISO,O,O,O,X,O,X,X,O,X,X
TJLZIOS,O,O,O,X,O,X,X,O,X,X
TJLZSIO,O,O,O,X,O,X,X,O,X,X
TJLZSOI,O,O,O,X,O,X,X,O,X,X
TJLZOIS,O,O,O,X,O,X,X,O,X,X
TJLZOSI,O,O,O,X,O,X,X,O,X,X
TJLOISZ,O,O,X,X,X,O,X,X,X,X
TJLOIZS,O,X,O,X,O,O,X,O,X,X
TJLOSIZ,O,O,X,X,X,O,X,X,X,X
TJLOSZI,O,O,X,X,X,X,X,X,X,X
TJLOZIS,O,X,O,X,O,O,X,O,X,X
TJLOZSI,O,X,O,X,O,X,X,O,X,X
TJSILZO,O,O,X,X,X,X,O,X,X,X
TJSILOZ,O,O,X,X,X,X,O,X,X,X
TJSIZLO,O,O,O,X,X,X,O,X,O,X
TJSIZOL,O,O,O,X,X,X,O,X,O,X
TJSIOLZ,O,O,X,X,X,O,O,X,X,X
TJSIOZL,X,O,O,X,X,X,O,X,X,X
TJSLIZO,O,O,X,X,X,X,O,X,X,X
TJSLIOZ,O,O,X,X,X,X,O,X,X,X
TJSLZIO,O,O,X,X,X,X,O,X,X,X
TJSLZOI,O,O,X,X,X,X,O,X,X,X
TJSLOIZ,O,O,X,X,X,X,O,X,X,X
TJSLOZI,O,O,X,X,X,X,O,X,X,X
TJSZILO,O,O,O,X,X,X,O,X,O,X
TJSZIOL,O,O,O,X,X,X,O,X,O,X
TJSZLIO,O,O,O,X,X,X,O,X,O,X
TJSZLOI,O,O,O,X,X,X,O,X,O,X
TJSZOIL,O,O,O,X,X,X,O,X,O,X
TJSZOLI,O,O,O,X,X,X,O,X,O,X
TJSOILZ,O,O,X,X,X,O,O,X,X,X
TJSOIZL,X,O,O,X,X,X,O,X,X,X
TJSOLIZ,O,O,X,X,X,O,O,X,X,X
TJSOLZI,O,O,X,X,X,X,O,X,X,X
TJSOZIL,X,O,O,X,X,X,O,X,X,X
TJSOZLI,X,O,O,X,X,X,O,X,X,X
TJZILSO,O,O,O,X,O,X,X,O,X,X
TJZILOS,O,O,O,X,O,X,X,O,X,X
TJZISLO,O,O,O,X,O,X,X,O,X,X
TJZISOL,O,O,O,X,X,X,X,X,X,X
TJZIOLS,O,O,O,X,O,O,X,O,X,O
TJZIOSL,O,O,O,X,X,X,X,X,X,X
TJZLISO,O,O,O,X,O,X,X,O,X,X
TJZLIOS,O,O,O,X,O,X,X,O,X,X
TJZLSIO,O,O,O,X,O,X,X,O,X,X
TJZLSOI,O,O,O,X,O,X,X,O,X,X
TJZLOIS,O,O,O,X,O,X,X,O,X,X
TJZLOSI,O,O,O,X,O,X,X,O,X,X
TJZSILO,O,O,O,X,O,X,O,O,O,X
TJZSIOL,O,O,O,X,X,X,O,X,O,X
TJZSLIO,O,O,O,X,O,X,O,O,O,X
TJZSLOI,O,O,O,X,O,X,O,O,O,X
TJZSOIL,O,O,O,X,X,X,O,X,O,X
TJZSOLI,O,O,O,X,X,X,O,X,O,X
TJZOILS,O,O,O,X,O,O,X,O,X,O
TJZOISL,O,O,O,X,X,X,X,X,X,X
TJZOLIS,O,O,O,X,O,O,X,O,X,O
TJZOLSI,O,O,O,X,O,X,X,O,X,X
TJZOSIL,O,O,O,X,X,X,O,X,O,X
TJZOSLI,O,O,O,X,X,X,O,X,O,X
TJOILSZ,O,O,X,X,X,O,X,X,X,X
TJOILZS,O,X,O,X,X,O,X,X,X,O
TJOISLZ,O,O,X,X,X,O,X,X,X,X
TJOISZL,X,O,O,X,X,X,X,X,X,X
TJOIZLS,O,O,O,X,X,O,X,X,X,O
TJOIZSL,O,O,O,X,X,X,X,X,X,X
TJOLISZ,O,O,X,X,X,O,X,X,X,X
TJOLIZS,O,X,O,X,X,O,X,X,X,O
TJOLSIZ,O,O,X,X,X,O,X,X,X,X
TJOLSZI,O,O,X,X,X,X,X,X,X,X
TJOLZIS,O,X,O,X,X,O,X,X,X,O
TJOLZSI,O,X,O,X,X,X,X,X,X,X
TJOSILZ,O,O,X,X,X,O,O,X,X,X
TJOSIZL,X,O,O,X,X,X,O,X,X,X
TJOSLIZ,O,O,X,X,X,O,O,X,X,X
TJOSLZI,O,O,X,X,X,X,O,X,X,X
TJOSZIL,X,O,O,X,X,X,O,X,X,X
TJOSZLI,X,O,O,X,X,X,O,X,X,X
TJOZILS,O,O,O,X,X,O,X,X,X,O
TJOZISL,O,O,O,X,X,X,X,X,X,X
TJOZLIS,O,O,O,X,X,O,X,X,X,O
TJOZLSI,O,O,O,X,X,X,X,X,X,X
TJOZSIL,O,O,O,X,X,X,X,X,X,X
TJOZSLI,O,O,O,X,X,X,X,X,X,X
TSILJZO,O,X,X,O,X,X,O,X,X,X
TSILJOZ,O,X,X,X,X,X,O,X,X,X
TSILZJO,O,X,X,O,O,X,O,X,O,X
TSILZOJ,O,X,X,O,O,X,O,X,O,X
TSILOJZ,O,X,X,X,X,X,O,X,X,X
TSILOZJ,O,X,X,X,O,X,O,X,X,X
TSIJLZO,O,O,X,O,X,X,O,X,X,X
TSIJLOZ,O,O,X,X,X,X,O,X,X,X
TSIJZLO,O,O,O,O,X,X,O,X,O,X
TSIJZOL,O,O,O,O,X,X,O,X,O,X
TSIJOLZ,O,O,X,X,X,O,O,X,X,X
TSIJOZL,X,O,O,X,X,X,O,X,X,X
TSIZLJO,O,X,O,O,O,X,O,X,O,X
TSIZLOJ,O,X,X,O,O,X,O,X,O,X
TSIZJLO,O,O,O,O,O,X,O,X,O,X
TSIZJOL,O,O,O,O,X,X,O,X,O,X
TSIZOLJ,O,X,X,O,X,X,O,X,O,O
TSIZOJL,O,O,X,O,X,X,O,X,O,X
TSIOLJZ,O,X,X,X,X,O,O,X,X,X
TSIOLZJ,O,X,X,X,X,X,O,X,X,O
TSIOJLZ,O,O,X,X,X,O,O,X,X,X
TSIOJZL,X,O,X,X,X,X,O,X,X,X
TSIOZLJ,X,X,X,X,X,X,X,X,O,O
TSIOZJL,X,X,X,X,X,X,X,X,O,X
TSLIJZO,O,X,X,O,X,X,O,X,X,X
TSLIJOZ,O,X,X,X,X,X,O,X,X,X
TSLIZJO,O,X,X,O,O,X,O,X,O,X
TSLIZOJ,O,X,X,O,O,X,O,X,O,X
TSLIOJZ,O,X,X,X,X,X,O,X,X,X
TSLIOZJ,O,X,X,X,O,X,O,X,X,X
TSLJIZO,O,X,X,O,X,X,O,X,X,X
TSLJIOZ,O,X,X,X,X,X,O,X,X,X
TSLJZIO,O,X,X,O,X,X,O,X,X,X
TSLJZOI,O,X,X,O,X,X,O,X,X,X
TSLJOIZ,O,X,X,X,X,X,O,X,X,X
TSLJOZI,O,X,X,X,X,X,O,X,X,X
TSLZIJO,O,X,X,O,O,X,O,X,O,X
TSLZIOJ,O,X,X,O,O,X,O,X,O,X
TSLZJIO,O,X,X,O,O,X,O,X,O,X
TSLZJOI,O,X,X,O,O,X,O,X,O,X
TSLZOIJ,O,X,X,O,O,X,O,X,O,X
TSLZOJI,O,X,X,O,O,X,O,X,O,X
TSLOIJZ,O,X,X,X,X,X,O,X,X,X
TSLOIZJ,O,X,X,X,O,X,O,X,X,X
TSLOJIZ,O,X,X,X,X,X,O,X,X,X
TSLOJZI,O,X,X,X,X,X,O,X,X,X
TSLOZIJ,O,X,X,X,O,X,O,X,X,X
TSLOZJI,O,X,X,X,O,X,O,X,X,X
TSJILZO,O,O,X,O,X,X,O,X,X,X
TSJILOZ,O,O,X,X,X,X,O,X,X,X
TSJIZLO,O,O,O,O,X,X,O,X,O,X
TSJIZOL,O,O,O,O,X,X,O,X,O,X
TSJIOLZ,O,O,X,X,X,O,O,X,X,X
TSJIOZL,X,O,O,X,X,X,O,X,X,X
TSJLIZO,O,O,X,O,X,X,O,X,X,X
TSJLIOZ,O,O,X,X,X,X,O,X,X,X
TSJLZIO,O,O,X,O,X,X,O,X,X,X
TSJLZOI,O,O,X,O,X,X,O,X,X,X
TSJLOIZ,O,O,X,X,X,X,O,X,X,X
TSJLOZI,O,O,X,X,X,X,O,X,X,X
TSJZILO,O,O,O,O,X,X,O,X,O,X
TSJZIOL,O,O,O,O,X,X,O,X,O,X
TSJZLIO,O,O,O,O,X,X,O,X,O,X
TSJZLOI,O,O,O,O,X,X,O,X,O,X
TSJZOIL,O,O,O,O,X,X,O,X,O,X
TSJZOLI,O,O,O,O,X,X,O,X,O,X
TSJOILZ,O,O,X,X,X,O,O,X,X,X
TSJOIZL,X,O,O,X,X,X,O,X,X,X
TSJOLIZ,O,O,X,X,X,O,O,X,X,X
TSJOLZI,O,O,X,X,X,X,O,X,X,X
TSJOZIL,X,O,O,X,X,X,O,X,X,X
TSJOZLI,X,O,O,X,X,X,O,X,X,X
TSZILJO,O,X,O,O,O,X,O,X,O,X
TSZILOJ,O,X,X,O,O,X,O,X,O,X
TSZIJLO,O,O,O,O,O,X,O,X,O,X
TSZIJOL,O,O,O,O,X,X,O,X,O,X
TSZIOLJ,O,X,X,O,X,X,O,X,O,O
TSZIOJL,O,O,X,O,X,X,O,X,O,X
TSZLIJO,O,X,O,O,O,X,O,X,O,X
TSZLIOJ,O,X,X,O,O,X,O,X,O,X
TSZLJIO,O,X,O,O,O,X,O,X,O,X
TSZLJOI,O,X,O,O,O,X,O,X,O,X
TSZLOIJ,O,X,X,O,O,X,O,X,O,X
TSZLOJI,O,X,X,O,O,X,O,X,O,X
TSZJILO,O,O,O,O,O,X,O,X,O,X
TSZJIOL,O,O,O,O,X,X,O,X,O,X
TSZJLIO,O,O,O,O,O,X,O,X,O,X
TSZJLOI,O,O,O,O,O,X,O,X,O,X
TSZJOIL,O,O,O,O,X,X,O,X,O,X
TSZJOLI,O,O,O,O,X,X,O,X,O,X
TSZOILJ,O,X,X,O,X,X,O,X,O,O
TSZOIJL,O,O,X,O,X,X,O,X,O,X
TSZOLIJ,O,X,X,O,X,X,O,X,O,O
TSZOLJI,O,X,X,O,X,X,O,X,O,X
TSZOJIL,O,O,X,O,X,X,O,X,O,X
TSZOJLI,O,O,X,O,X,X,O,X,O,X
TSOILJZ,O,X,X,X,X,O,O,X,X,X
TSOILZJ,O,X,X,X,X,X,O,X,X,O
TSOIJLZ,O,O,X,X,X,O,O,X,X,X
