sequence,v115@IhA8GeC8GeE8CeC8Jei/IvhFclBThBxiBmnBFrBXsB,v115@IhA8GeC8GeE8CeC8Jei/IvhFFhBxiBTlBcrBmnBXsB,v115@IhA8GeC8GeE8CeC8Jei/IvhFclBxiBmmBznBXmB1wB
TIOJZLS,X,X,X
TIOJZSL,X,X,X
TIOSLJZ,X,X,X
TIOSLZJ,X,X,X
TIOSJLZ,X,X,X
TIOSJZL,X,X,X
TIOSZLJ,X,X,X
TIOSZJL,X,X,X
TIOZLJS,O,X,X
TIOZLSJ,X,X,X
TIOZJLS,X,X,X
TIOZJSL,X,X,X
TIOZSLJ,X,X,X
TIOZSJL,X,X,X
TLIJSZO,X,X,X
TLIJSOZ,X,X,X
TLIJZSO,X,X,X
TLIJZOS,X,X,X
TLIJOSZ,X,X,X
TLIJOZS,X,X,X
TLISJZO,X,X,X
TLISJOZ,X,X,X
TLISZJO,X,X,X
TLISZOJ,X,X,X
TLISOJZ,X,X,X
TLISOZJ,X,X,X
TLIZJSO,X,X,X
TLIZJOS,X,X,X
TLIZSJO,X,X,X
TLIZSOJ,X,X,X
TLIZOJS,X,X,X
TLIZOSJ,X,X,X
TLIOJSZ,X,X,X
TLIOJZS,X,X,X
TLIOSJZ,X,X,X
TLIOSZJ,X,X,X
TLIOZJS,X,X,X
TLIOZSJ,X,X,X
TLJISZO,X,X,X
TLJISOZ,X,X,X
TLJIZSO,X,X,X
TLJIZOS,X,X,X
TLJIOSZ,X,X,X
TLJIOZS,X,X,X
TLJSIZO,X,X,X
TLJSIOZ,X,X,X
TLJSZIO,X,X,X
TLJSZOI,X,X,X
TLJSOIZ,X,X,X
TLJSOZI,X,X,X
TLJZISO,X,X,X
TLJZIOS,X,X,X
TLJZSIO,X,X,X
TLJZSOI,X,X,X
TLJZOIS,X,X,O
TLJZOSI,X,X,O
TLJOISZ,X,X,X
TLJOIZS,X,X,O
TLJOSIZ,X,X,X
TLJOSZI,X,X,X
TLJOZIS,X,X,O
TLJOZSI,X,X,O
TLSIJZO,X,X,X
TLSIJOZ,X,X,X
TLSIZJO,X,X,X
TLSIZOJ,X,X,X
TLSIOJZ,X,X,X
TLSIOZJ,X,X,X
TLSJIZO,X,X,X
TLSJIOZ,X,X,X
TLSJZIO,X,X,X
TLSJZOI,X,X,X
TLSJOIZ,X,X,X
TLSJOZI,X,X,X
TLSZIJO,X,X,X
TLSZIOJ,X,X,X
TLSZJIO,X,X,X
TLSZJOI,X,X,X
TLSZOIJ,X,X,X
TLSZOJI,X,X,X
TLSOIJZ,X,X,X
TLSOIZJ,X,X,X
TLSOJIZ,X,X,X
TLSOJZI,X,X,X
TLSOZIJ,X,X,X
TLSOZJI,X,X,X
TLZIJSO,X,X,X
TLZIJOS,X,X,X
TLZISJO,X,X,X
TLZISOJ,X,X,X
TLZIOJS,X,X,X
TLZIOSJ,X,X,X
TLZJISO,X,X,X
TLZJIOS,X,X,X
TLZJSIO,X,X,X
TLZJSOI,X,X,X
TLZJOIS,X,X,O
TLZJOSI,X,X,O
TLZSIJO,X,X,X
TLZSIOJ,X,X,X
TLZSJIO,X,X,X
TLZSJOI,X,X,X
TLZSOIJ,X,X,X
TLZSOJI,X,X,X
TLZOIJS,X,X,O
TLZOISJ,X,X,X
TLZOJIS,X,X,O
TLZOJSI,X,X,O
TLZOSIJ,X,X,X
TLZOSJI,X,X,X
TLOIJSZ,X,X,X
TLOIJZS,X,X,O
TLOISJZ,X,X,X
TLOISZJ,X,X,X
TLOIZJS,X,X,O
TLOIZSJ,X,X,X
TLOJISZ,X,X,X
TLOJIZS,X,X,O
TLOJSIZ,X,X,X
TLOJSZI,X,X,X
TLOJZIS,X,X,O
TLOJZSI,X,X,O
TLOSIJZ,X,X,X
TLOSIZJ,X,X,X
TLOSJIZ,X,X,X
TLOSJZI,X,X,X
TLOSZIJ,X,X,X
TLOSZJI,X,X,X
TLOZIJS,X,X,O
TLOZISJ,X,X,X
TLOZJIS,X,X,O
TLOZJSI,X,X,O
TLOZSIJ,X,X,X
TLOZSJI,X,X,X
TJILSZO,X,X,X
TJILSOZ,X,X,X
TJILZSO,X,X,X
TJILZOS,X,X,X
TJILOSZ,X,X,X
TJILOZS,X,X,X
TJISLZO,X,X,X
TJISLOZ,X,X,X
TJISZLO,X,X,X
TJISZOL,X,X,X
TJISOLZ,X,X,X
TJISOZL,X,X,X
TJIZLSO,X,X,X
TJIZLOS,O,X,X
TJIZSLO,X,X,X
TJIZSOL,X,X,X
TJIZOLS,O,X,X
TJIZOSL,X,X,X
TJIOLSZ,X,X,X
TJIOLZS,X,X,X
TJIOSLZ,X,X,X
TJIOSZL,X,X,X
TJIOZLS,O,X,X
TJIOZSL,X,X,X
TJLISZO,X,X,X
TJLISOZ,X,X,X
TJLIZSO,X,X,X
TJLIZOS,X,X,X
TJLIOSZ,X,X,X
TJLIOZS,X,X,X
TJLSIZO,X,X,X
TJLSIOZ,X,X,X
TJLSZIO,X,X,X
TJLSZOI,X,X,X
TJLSOIZ,X,X,X
TJLSOZI,X,X,X
TJLZISO,X,X,X
TJLZIOS,X,X,X
TJLZSIO,X,X,X
TJLZSOI,X,X,X
TJLZOIS,X,X,O
TJLZOSI,X,X,O
TJLOISZ,X,X,X
TJLOIZS,X,X,O
TJLOSIZ,X,X,X
TJLOSZI,X,X,X
TJLOZIS,X,X,O
TJLOZSI,X,X,O
TJSILZO,X,X,X
TJSILOZ,X,X,X
TJSIZLO,X,X,X
TJSIZOL,X,X,X
TJSIOLZ,X,X,X
TJSIOZL,X,X,X
TJSLIZO,X,X,X
TJSLIOZ,X,X,X
TJSLZIO,X,X,X
TJSLZOI,X,X,X
TJSLOIZ,X,X,X
TJSLOZI,X,X,X
TJSZILO,X,X,X
TJSZIOL,X,X,X
TJSZLIO,X,X,X
TJSZLOI,X,X,X
TJSZOIL,X,X,X
TJSZOLI,X,X,X
TJSOILZ,X,X,X
TJSOIZL,X,X,X
TJSOLIZ,X,X,X
TJSOLZI,X,X,X
TJSOZIL,X,X,X
TJSOZLI,X,X,X
TJZILSO,X,X,X
TJZILOS,O,X,X
TJZISLO,X,X,X
TJZISOL,X,X,X
TJZIOLS,O,X,X
TJZIOSL,X,X,X
TJZLISO,X,X,X
TJZLIOS,O,X,X
TJZLSIO,X,X,X
TJZLSOI,X,X,X
TJZLOIS,O,X,O
TJZLOSI,X,X,O
TJZSILO,X,X,X
TJZSIOL,X,X,X
TJZSLIO,X,X,X
TJZSLOI,X,X,X
TJZSOIL,X,X,X
TJZSOLI,X,X,X
TJZOILS,O,X,O
TJZOISL,X,X,X
TJZOLIS,O,X,O
TJZOLSI,X,X,O
TJZOSIL,X,X,X
TJZOSLI,X,X,X
TJOILSZ,X,X,X
TJOILZS,X,X,O
TJOISLZ,X,X,X
TJOISZL,X,X,X
TJOIZLS,O,X,O
TJOIZSL,X,X,X
TJOLISZ,X,X,X
TJOLIZS,X,X,O
TJOLSIZ,X,X,X
TJOLSZI,X,X,X
TJOLZIS,X,X,O
TJOLZSI,X,X,O
TJOSILZ,X,X,X
TJOSIZL,X,X,X
TJOSLIZ,X,X,X
TJOSLZI,X,X,X
TJOSZIL,X,X,X
TJOSZLI,X,X,X
TJOZILS,O,X,O
TJOZISL,X,X,X
TJOZLIS,O,X,O
TJOZLSI,X,X,O
TJOZSIL,X,X,X
TJOZSLI,X,X,X
TSILJZO,X,X,X
TSILJOZ,X,X,X
TSILZJO,X,X,X
TSILZOJ,X,X,X
TSILOJZ,X,X,X
TSILOZJ,X,X,X
TSIJLZO,X,X,X
TSIJLOZ,X,X,X
TSIJZLO,O,X,X
TSIJZOL,O,X,X
TSIJOLZ,X,X,X
TSIJOZL,O,X,X
TSIZLJO,O,X,X
TSIZLOJ,O,X,X
TSIZJLO,O,X,X
TSIZJOL,O,X,X
TSIZOLJ,O,X,X
TSIZOJL,X,X,X
TSIOLJZ,X,X,X
TSIOLZJ,X,X,X
TSIOJLZ,X,X,X
TSIOJZL,X,X,X
TSIOZLJ,O,X,X
TSIOZJL,X,X,X
TSLIJZO,X,X,X
TSLIJOZ,X,X,X
TSLIZJO,X,X,X
TSLIZOJ,X,X,X
TSLIOJZ,X,X,X
TSLIOZJ,X,X,X
TSLJIZO,X,X,X
TSLJIOZ,X,X,X
TSLJZIO,X,X,X
TSLJZOI,X,X,X
TSLJOIZ,X,X,X
TSLJOZI,X,X,X
TSLZIJO,X,X,X
TSLZIOJ,X,X,X
TSLZJIO,X,X,X
TSLZJOI,X,X,X
TSLZOIJ,X,X,X
TSLZOJI,X,X,X
TSLOIJZ,X,X,X
TSLOIZJ,X,X,X
TSLOJIZ,X,X,X
TSLOJZI,X,X,X
TSLOZIJ,X,X,X
TSLOZJI,X,X,X
TSJILZO,X,X,X
TSJILOZ,X,X,X
TSJIZLO,O,X,X
TSJIZOL,O,X,X
TSJIOLZ,X,X,X
TSJIOZL,O,X,X
TSJLIZO,X,X,X
TSJLIOZ,X,X,X
TSJLZIO,X,X,X
TSJLZOI,X,X,X
TSJLOIZ,X,X,X
TSJLOZI,X,X,X
TSJZILO,O,X,X
TSJZIOL,O,X,X
TSJZLIO,O,X,X
TSJZLOI,O,X,X
TSJZOIL,O,X,X
TSJZOLI,O,X,X
TSJOILZ,X,X,X
TSJOIZL,O,X,X
TSJOLIZ,X,X,X
TSJOLZI,X,X,X
TSJOZIL,O,X,X
TSJOZLI,O,X,X
TSZILJO,O,X,X
TSZILOJ,O,X,X
TSZIJLO,O,X,X
TSZIJOL,O,X,X
TSZIOLJ,O,X,X
TSZIOJL,X,X,X
TSZLIJO,O,X,X
TSZLIOJ,O,X,X
TSZLJIO,O,X,X
TSZLJOI,O,X,X
TSZLOIJ,O,X,X
TSZLOJI,O,X,X
TSZJILO,O,X,X
TSZJIOL,O,X,X
TSZJLIO,O,X,X
TSZJLOI,O,X,X
TSZJOIL,O,X,X
TSZJOLI,O,X,X
TSZOILJ,O,X,X
TSZOIJL,X,X,X
TSZOLIJ,O,X,X
TSZOLJI,O,X,X
TSZOJIL,O,X,X
TSZOJLI,O,X,X
TSOILJZ,X,X,X
TSOILZJ,X,X,X
TSOIJLZ,X,X,X
TSOIJZL,X,X,X
TSOIZLJ,O,X,X
TSOIZJL,X,X,X
TSOLIJZ,X,X,X
TSOLIZJ,X,X,X
TSOLJIZ,X,X,X
TSOLJZI,X,X,X
TSOLZIJ,X,X,X
TSOLZJI,X,X,X
TSOJILZ,X,X,X
TSOJIZL,O,X,X
TSOJLIZ,X,X,X
TSOJLZI,X,X,X
TSOJZIL,O,X,X
TSOJZLI,O,X,X
TSOZILJ,O,X,X
TSOZIJL,X,X,X
TSOZLIJ,O,X,X
TSOZLJI,O,X,X
TSOZJIL,O,X,X
TSOZJLI,O,X,X
TZILJSO,X,X,X
TZILJOS,O,X,X
TZILSJO,X,X,X
TZILSOJ,X,X,X
TZILOJS,O,X,X
TZILOSJ,X,X,X
TZIJLSO,X,X,X
TZIJLOS,O,X,X
TZIJSLO,X,X,X
TZIJSOL,X,X,X
TZIJOLS,O,X,X
TZIJOSL,X,X,X
TZISLJO,X,X,X
TZISLOJ,X,X,X
TZISJLO,X,X,X
TZISJOL,X,X,X
TZISOLJ,X,X,X
TZISOJL,X,X,X
TZIOLJS,O,X,X
TZIOLSJ,X,X,X
TZIOJLS,X,X,X
TZIOJSL,X,X,X
TZIOSLJ,X,X,X
TZIOSJL,X,X,X
TZLIJSO,X,X,X
TZLIJOS,O,X,X
TZLISJO,X,X,X
TZLISOJ,X,X,X
TZLIOJS,O,X,X
TZLIOSJ,X,X,X
TZLJISO,X,X,X
TZLJIOS,O,X,X
TZLJSIO,X,X,X
TZLJSOI,X,X,X
TZLJOIS,O,X,O
TZLJOSI,X,X,O
TZLSIJO,O,X,X
TZLSIOJ,O,X,X
TZLSJIO,O,X,X
TZLSJOI,O,X,X
TZLSOIJ,O,X,X
TZLSOJI,O,X,X
TZLOIJS,O,X,O
TZLOISJ,X,X,X
TZLOJIS,O,X,O
TZLOJSI,X,X,O
TZLOSIJ,X,X,X
TZLOSJI,X,X,X
TZJILSO,X,X,X
TZJILOS,O,X,X
TZJISLO,X,X,X
TZJISOL,X,X,X
TZJIOLS,O,X,X
TZJIOSL,X,X,X
TZJLISO,X,X,X
TZJLIOS,O,X,X
TZJLSIO,X,X,X
TZJLSOI,X,X,X
TZJLOIS,O,X,O
TZJLOSI,X,X,O
TZJSILO,X,X,X
TZJSIOL,X,X,X
TZJSLIO,X,X,X
TZJSLOI,X,X,X
TZJSOIL,X,X,X
TZJSOLI,X,X,X
TZJOILS,O,X,O
TZJOISL,X,X,X
TZJOLIS,O,X,O
TZJOLSI,X,X,O
TZJOSIL,X,X,X
TZJOSLI,X,X,X
TZSILJO,O,X,X
TZSILOJ,O,X,X
TZSIJLO,O,X,X
TZSIJOL,O,X,X
TZSIOLJ,O,X,X
TZSIOJL,X,X,X
TZSLIJO,O,X,X
TZSLIOJ,O,X,X
TZSLJIO,O,X,X
TZSLJOI,O,X,X
TZSLOIJ,O,X,X
TZSLOJI,O,X,X
TZSJILO,O,X,X
TZSJIOL,O,X,X
TZSJLIO,O,X,X
TZSJLOI,O,X,X
TZSJOIL,O,X,X
TZSJOLI,O,X,X
TZSOILJ,O,X,X
TZSOIJL,X,X,X
TZSOLIJ,O,X,X
TZSOLJI,O,X,X
TZSOJIL,O,X,X
TZSOJLI,O,X,X
TZOILJS,O,X,O
TZOILSJ,X,X,X
TZOIJLS,X,X,O
TZOIJSL,X,X,X
TZOISLJ,X,X,X
TZOISJL,X,X,X
TZOLIJS,O,X,O
TZOLISJ,X,X,X
TZOLJIS,O,X,O
TZOLJSI,X,X,O
TZOLSIJ,X,X,X
TZOLSJI,X,X,X
TZOJILS,O,X,O
TZOJISL,X,X,X
TZOJLIS,O,X,O
TZOJLSI,X,X,O
TZOJSIL,X,X,X
TZOJSLI,X,X,X
TZOSILJ,X,X,X
TZOSIJL,X,X,X
TZOSLIJ,X,X,X
TZOSLJI,X,X,X
TZOSJIL,X,X,X
TZOSJLI,X,X,X
TOILJSZ,X,X,X
TOILJZS,X,X,O
TOILSJZ,X,X,X
TOILSZJ,X,X,X
TOILZJS,X,X,O
TOILZSJ,X,X,X
TOIJLSZ,X,X,X
TOIJLZS,X,X,O
TOIJSLZ,X,X,X
TOIJSZL,X,X,X
TOIJZLS,X,X,O
TOIJZSL,X,X,X
TOISLJZ,X,X,X
TOISLZJ,X,X,X
TOISJLZ,X,X,X
TOISJZL,X,X,X
TOISZLJ,X,X,X
TOISZJL,X,X,X
TOIZLJS,O,X,O
TOIZLSJ,X,X,X
TOIZJLS,X,X,O
TOIZJSL,X,X,X
TOIZSLJ,X,X,X
TOIZSJL,X,X,X
TOLIJSZ,X,X,X
TOLIJZS,X,X,O
TOLISJZ,X,X,X
TOLISZJ,X,X,X
TOLIZJS,X,X,O
TOLIZSJ,X,X,X
TOLJISZ,X,X,X
TOLJIZS,X,X,O
TOLJSIZ,X,X,X
TOLJSZI,X,X,X
TOLJZIS,X,X,O
TOLJZSI,X,X,O
TOLSIJZ,X,X,X
TOLSIZJ,X,X,X
TOLSJIZ,X,X,X
TOLSJZI,X,X,X
TOLSZIJ,X,X,X
TOLSZJI,X,X,X
TOLZIJS,X,X,O
TOLZISJ,X,X,X
TOLZJIS,X,X,O
TOLZJSI,X,X,O
TOLZSIJ,X,X,X
TOLZSJI,X,X,X
TOJILSZ,X,X,X
TOJILZS,X,X,O
TOJISLZ,X,X,X
TOJISZL,X,X,X
TOJIZLS,O,X,O
TOJIZSL,X,X,X
TOJLISZ,X,X,X
TOJLIZS,X,X,O
TOJLSIZ,X,X,X
TOJLSZI,X,X,X
TOJLZIS,X,X,O
TOJLZSI,X,X,O
TOJSILZ,X,X,X
TOJSIZL,X,X,X
TOJSLIZ,X,X,X
TOJSLZI,X,X,X
TOJSZIL,X,X,X
TOJSZLI,X,X,X
TOJZILS,O,X,O
TOJZISL,X,X,X
TOJZLIS,O,X,O
TOJZLSI,X,X,O
TOJZSIL,X,X,X
TOJZSLI,X,X,X
TOSILJZ,X,X,X
TOSILZJ,X,X,X
TOSIJLZ,X,X,X
TOSIJZL,X,X,X
TOSIZLJ,X,X,X
TOSIZJL,X,X,X
TOSLIJZ,X,X,X
TOSLIZJ,X,X,X
TOSLJIZ,X,X,X
TOSLJZI,X,X,X
TOSLZIJ,X,X,X
TOSLZJI,X,X,X
TOSJILZ,X,X,X
TOSJIZL,X,X,X
TOSJLIZ,X,X,X
TOSJLZI,X,X,X
TOSJZIL,X,X,X
TOSJZLI,X,X,X
TOSZILJ,X,X,X
TOSZIJL,X,X,X
TOSZLIJ,X,X,X
TOSZLJI,X,X,X
TOSZJIL,X,X,X
TOSZJLI,X,X,X
TOZILJS,O,X,O
TOZILSJ,X,X,X
TOZIJLS,X,X,O
TOZIJSL,X,X,X
TOZISLJ,X,X,X
TOZISJL,X,X,X
TOZLIJS,O,X,O
TOZLISJ,X,X,X
TOZLJIS,O,X,O
TOZLJSI,X,X,O
TOZLSIJ,X,X,X
TOZLSJI,X,X,X
TOZJILS,O,X,O
TOZJISL,X,X,X
TOZJLIS,O,X,O
TOZJLSI,X,X,O
TOZJSIL,X,X,X
TOZJSLI,X,X,X
TOZSILJ,X,X,X
TOZSIJL,X,X,X
TOZSLIJ,X,X,X
TOZSLJI,X,X,X
TOZSJIL,X,X,X
TOZSJLI,X,X,X
ITLJSZO,X,X,X
ITLJSOZ,X,X,X
ITLJZSO,X,X,X
ITLJZOS,X,X,X
ITLJOSZ,X,X,X
ITLJOZS,X,X,X
ITLSJZO,X,X,X
ITLSJOZ,X,X,X
ITLSZJO,X,X,X
ITLSZOJ,X,X,X
ITLSOJZ,X,X,X
ITLSOZJ,X,X,X
ITLZJSO,X,X,X
ITLZJOS,X,X,X
ITLZSJO,X,X,X
ITLZSOJ,X,X,X
ITLZOJS,X,X,X
ITLZOSJ,X,X,X
ITLOJSZ,X,X,X
ITLOJZS,X,X,X
ITLOSJZ,X,X,X
ITLOSZJ,X,X,X
ITLOZJS,X,X,X
ITLOZSJ,X,X,X
ITJLSZO,X,X,X
ITJLSOZ,X,X,X
ITJLZSO,X,X,X
ITJLZOS,X,X,X
ITJLOSZ,X,X,X
ITJLOZS,X,X,X
ITJSLZO,X,X,X
ITJSLOZ,X,X,X
ITJSZLO,X,X,X
ITJSZOL,X,X,X
ITJSOLZ,X,X,X
ITJSOZL,X,X,X
ITJZLSO,X,X,X
ITJZLOS,O,X,X
ITJZSLO,X,X,X
ITJZSOL,X,X,X
ITJZOLS,O,X,X
ITJZOSL,X,X,X
ITJOLSZ,X,X,X
ITJOLZS,X,X,X
ITJOSLZ,X,X,X
ITJOSZL,X,X,X
ITJOZLS,O,X,X
ITJOZSL,X,X,X
ITSLJZO,X,X,X
ITSLJOZ,X,X,X
ITSLZJO,X,X,X
ITSLZOJ,X,X,X
ITSLOJZ,X,X,X
ITSLOZJ,X,X,X
ITSJLZO,X,X,X
ITSJLOZ,X,X,X
ITSJZLO,X,X,X
ITSJZOL,X,X,X
ITSJOLZ,X,X,X
ITSJOZL,X,X,X
ITSZLJO,X,X,X
ITSZLOJ,X,X,X
ITSZJLO,X,X,X
ITSZJOL,X,X,X
ITSZOLJ,X,X,X
ITSZOJL,X,X,X
ITSOLJZ,X,X,X
ITSOLZJ,X,X,X
ITSOJLZ,X,X,X
ITSOJZL,X,X,X
ITSOZLJ,X,X,X
ITSOZJL,X,X,X
ITZLJSO,X,X,X
ITZLJOS,O,X,X
ITZLSJO,X,X,X
ITZLSOJ,X,X,X
ITZLOJS,O,X,X
ITZLOSJ,X,X,X
ITZJLSO,X,X,X
ITZJLOS,O,X,X
ITZJSLO,X,X,X
ITZJSOL,X,X,X
ITZJOLS,O,X,X
ITZJOSL,X,X,X
ITZSLJO,X,X,X
ITZSLOJ,X,X,X
ITZSJLO,X,X,X
ITZSJOL,X,X,X
ITZSOLJ,X,X,X
ITZSOJL,X,X,X
ITZOLJS,O,X,X
ITZOLSJ,X,X,X
ITZOJLS,X,X,X
ITZOJSL,X,X,X
ITZOSLJ,X,X,X
ITZOSJL,X,X,X
ITOLJSZ,X,X,X
ITOLJZS,X,X,X
ITOLSJZ,X,X,X
ITOLSZJ,X,X,X
ITOLZJS,X,X,X
ITOLZSJ,X,X,X
ITOJLSZ,X,X,X
ITOJLZS,X,X,X
ITOJSLZ,X,X,X
ITOJSZL,X,X,X
ITOJZLS,X,X,X
ITOJZSL,X,X,X
ITOSLJZ,X,X,X
ITOSLZJ,X,X,X
ITOSJLZ,X,X,X
ITOSJZL,X,X,X
ITOSZLJ,X,X,X
ITOSZJL,X,X,X
ITOZLJS,O,X,X
ITOZLSJ,X,X,X
ITOZJLS,X,X,X
ITOZJSL,X,X,X
ITOZSLJ,X,X,X
ITOZSJL,X,X,X
ILTJSZO,X,X,X
ILTJSOZ,X,X,X
ILTJZSO,X,X,X
ILTJZOS,X,X,X
ILTJOSZ,X,X,X
ILTJOZS,X,X,X
ILTSJZO,X,X,X
ILTSJOZ,X,X,X
ILTSZJO,X,X,X
ILTSZOJ,X,X,X
ILTSOJZ,X,X,X
ILTSOZJ,X,X,X
ILTZJSO,X,X,X
ILTZJOS,X,X,X
ILTZSJO,X,X,X
ILTZSOJ,X,X,X
ILTZOJS,X,X,X
ILTZOSJ,X,X,X
ILTOJSZ,X,X,X
ILTOJZS,X,X,X
ILTOSJZ,X,X,X
ILTOSZJ,X,X,X
ILTOZJS,X,X,X
ILTOZSJ,X,X,X
ILJTSZO,X,X,X
ILJTSOZ,X,X,X
ILJTZSO,X,X,X
ILJTZOS,X,X,X
ILJTOSZ,X,X,X
ILJTOZS,X,X,X
ILJSTZO,X,X,X
ILJSTOZ,X,X,X
ILJSZTO,O,O,X
ILJSZOT,X,X,X
ILJSOTZ,X,X,X
ILJSOZT,X,O,X
ILJZTSO,X,X,X
ILJZTOS,O,O,X
ILJZSTO,O,X,X
ILJZSOT,X,X,X
ILJZOTS,X,X,X
ILJZOST,X,X,X
ILJOTSZ,X,X,X
ILJOTZS,X,X,X
ILJOSTZ,X,X,X
ILJOSZT,X,O,X
ILJOZTS,X,O,X
ILJOZST,X,X,X
ILSTJZO,X,X,X
ILSTJOZ,X,X,X
ILSTZJO,X,X,X
ILSTZOJ,X,X,X
ILSTOJZ,X,X,X
ILSTOZJ,X,X,X
ILSJTZO,X,X,X
ILSJTOZ,X,X,X
ILSJZTO,O,O,X
ILSJZOT,X,X,X
ILSJOTZ,X,X,X
ILSJOZT,X,O,X
ILSZTJO,O,O,X
ILSZTOJ,O,O,X
ILSZJTO,O,X,X
ILSZJOT,X,X,X
ILSZOTJ,X,X,X
ILSZOJT,X,X,X
ILSOTJZ,X,X,X
ILSOTZJ,X,X,X
ILSOJTZ,X,X,X
ILSOJZT,X,O,X
ILSOZTJ,X,O,X
ILSOZJT,X,X,X
ILZTJSO,X,X,X
ILZTJOS,O,O,X
ILZTSJO,X,X,X
ILZTSOJ,X,X,X
ILZTOJS,O,O,X
ILZTOSJ,X,X,X
ILZJTSO,X,X,X
ILZJTOS,O,X,X
ILZJSTO,O,X,X
ILZJSOT,X,X,X
ILZJOTS,X,X,X
ILZJOST,X,X,X
ILZSTJO,O,X,X
ILZSTOJ,O,X,X
ILZSJTO,O,X,X
ILZSJOT,X,X,X
ILZSOTJ,X,X,X
ILZSOJT,X,X,X
ILZOTJS,X,X,O
ILZOTSJ,X,X,X
ILZOJTS,X,X,X
ILZOJST,X,X,X
ILZOSTJ,X,X,X
ILZOSJT,X,X,X
ILOTJSZ,X,X,X
ILOTJZS,X,X,O
ILOTSJZ,X,X,X
ILOTSZJ,X,X,X
ILOTZJS,X,O,O
ILOTZSJ,X,X,X
ILOJTSZ,X,X,X
ILOJTZS,X,X,X
ILOJSTZ,X,X,X
ILOJSZT,X,O,X
ILOJZTS,X,O,X
ILOJZST,X,X,X
ILOSTJZ,X,X,X
ILOSTZJ,X,X,X
ILOSJTZ,X,X,X
ILOSJZT,X,O,X
ILOSZTJ,X,O,X
ILOSZJT,X,X,X
ILOZTJS,X,O,O
ILOZTSJ,X,X,X
ILOZJTS,X,X,X
ILOZJST,X,X,X
ILOZSTJ,X,X,X
ILOZSJT,X,X,X
IJTLSZO,X,X,X
IJTLSOZ,X,X,X
IJTLZSO,X,X,X
IJTLZOS,X,X,X
IJTLOSZ,X,X,X
IJTLOZS,X,X,X
IJTSLZO,X,X,X
IJTSLOZ,X,X,X
IJTSZLO,X,X,X
IJTSZOL,X,X,X
