sequence,v115@OhA8CeB8DeA8BeE8AeC8KeOEJvhFXgB8lBzhBaoB5o?BlrB,v115@OhA8CeB8DeA8BeE8AeC8Kex/IvhF8lBzhBGjBikB/t?BlrB,v115@OhA8CeB8DeA8BeE8AeC8KeOEJvhFXgBlhBaoB5oBzl?B8rB
IJTSLOZ,X,X,X
IJTSZLO,X,X,X
IJTSZOL,X,X,X
IJTSOLZ,X,X,X
IJTSOZL,X,X,X
IJTZLSO,O,X,X
IJTZLOS,O,X,X
IJTZSLO,O,X,X
IJTZSOL,O,X,X
IJTZOLS,O,X,X
IJTZOSL,O,X,X
IJTOLSZ,X,X,X
IJTOLZS,O,X,X
IJTOSLZ,X,X,X
IJTOSZL,X,X,X
IJTOZLS,O,X,X
IJTOZSL,O,X,X
IJLTSZO,X,X,X
IJLTSOZ,X,X,X
IJLTZSO,O,X,X
IJLTZOS,O,X,X
IJLTOSZ,X,X,X
IJLTOZS,O,X,X
IJLSTZO,X,X,X
IJLSTOZ,X,X,X
IJLSZTO,O,X,O
IJLSZOT,X,X,X
IJLSOTZ,X,X,X
IJLSOZT,X,X,O
IJLZTSO,O,X,O
IJLZTOS,O,X,X
IJLZSTO,O,X,O
IJLZSOT,X,X,X
IJLZOTS,X,X,O
IJLZOST,X,X,O
IJLOTSZ,X,X,X
IJLOTZS,X,X,X
IJLOSTZ,X,X,X
IJLOSZT,X,X,O
IJLOZTS,X,X,O
IJLOZST,X,X,O
IJSTLZO,X,X,X
IJSTLOZ,X,X,X
IJSTZLO,X,X,X
IJSTZOL,X,X,X
IJSTOLZ,X,X,X
IJSTOZL,X,X,X
IJSLTZO,X,X,X
IJSLTOZ,X,X,X
IJSLZTO,O,X,O
IJSLZOT,X,X,X
IJSLOTZ,X,X,X
IJSLOZT,X,X,O
IJSZTLO,O,X,O
IJSZTOL,O,X,X
IJSZLTO,O,X,O
IJSZLOT,X,X,X
IJSZOTL,X,X,X
IJSZOLT,X,X,X
IJSOTLZ,X,X,X
IJSOTZL,X,X,X
IJSOLTZ,X,X,X
IJSOLZT,X,X,O
IJSOZTL,X,X,O
IJSOZLT,X,X,O
IJZTLSO,O,X,O
IJZTLOS,O,X,X
IJZTSLO,O,X,O
IJZTSOL,O,X,X
IJZTOLS,O,X,X
IJZTOSL,O,X,X
IJZLTSO,O,X,O
IJZLTOS,O,X,X
IJZLSTO,O,X,O
IJZLSOT,X,X,X
IJZLOTS,X,X,O
IJZLOST,X,X,O
IJZSTLO,O,X,O
IJZSTOL,O,X,X
IJZSLTO,O,X,O
IJZSLOT,X,X,X
IJZSOTL,X,X,X
IJZSOLT,X,X,X
IJZOTLS,X,X,O
IJZOTSL,X,X,O
IJZOLTS,X,X,O
IJZOLST,X,X,O
IJZOSTL,X,X,O
IJZOSLT,X,X,O
IJOTLSZ,X,X,X
IJOTLZS,X,X,X
IJOTSLZ,X,X,X
IJOTSZL,X,X,X
IJOTZLS,X,X,X
IJOTZSL,X,X,X
IJOLTSZ,X,X,X
IJOLTZS,X,X,X
IJOLSTZ,X,X,X
IJOLSZT,X,X,O
IJOLZTS,X,X,O
IJOLZST,X,X,O
IJOSTLZ,X,X,X
IJOSTZL,X,X,X
IJOSLTZ,X,X,X
IJOSLZT,X,X,O
IJOSZTL,X,X,O
IJOSZLT,X,X,O
IJOZTLS,X,X,O
IJOZTSL,X,X,O
IJOZLTS,X,X,O
IJOZLST,X,X,O
IJOZSTL,X,X,O
IJOZSLT,X,X,O
ISTLJZO,X,X,X
ISTLJOZ,X,X,X
ISTLZJO,X,X,X
ISTLZOJ,X,X,X
ISTLOJZ,X,X,X
ISTLOZJ,X,X,X
ISTJLZO,X,X,X
ISTJLOZ,X,X,X
ISTJZLO,X,X,X
ISTJZOL,X,X,X
ISTJOLZ,X,X,X
ISTJOZL,X,X,X
ISTZLJO,X,X,X
ISTZLOJ,X,X,X
ISTZJLO,X,X,X
ISTZJOL,X,X,X
ISTZOLJ,X,X,X
ISTZOJL,X,X,X
ISTOLJZ,X,X,X
ISTOLZJ,X,X,X
ISTOJLZ,X,X,X
ISTOJZL,X,X,X
ISTOZLJ,X,X,X
ISTOZJL,X,X,X
ISLTJZO,X,X,X
ISLTJOZ,X,X,X
ISLTZJO,X,X,X
ISLTZOJ,X,X,X
ISLTOJZ,X,X,X
ISLTOZJ,X,X,X
ISLJTZO,X,X,X
ISLJTOZ,X,X,X
ISLJZTO,O,X,O
ISLJZOT,X,X,X
ISLJOTZ,X,X,X
ISLJOZT,X,X,O
ISLZTJO,O,X,O
ISLZTOJ,O,X,X
ISLZJTO,O,X,O
ISLZJOT,X,X,X
ISLZOTJ,X,X,X
ISLZOJT,X,X,X
ISLOTJZ,X,X,X
ISLOTZJ,X,X,X
ISLOJTZ,X,X,X
ISLOJZT,X,X,O
ISLOZTJ,X,X,O
ISLOZJT,X,X,O
ISJTLZO,X,X,X
ISJTLOZ,X,X,X
ISJTZLO,X,X,X
ISJTZOL,X,X,X
ISJTOLZ,X,X,X
ISJTOZL,X,X,X
ISJLTZO,X,X,X
ISJLTOZ,X,X,X
ISJLZTO,O,X,O
ISJLZOT,X,X,X
ISJLOTZ,X,X,X
ISJLOZT,X,X,O
ISJZTLO,O,X,O
ISJZTOL,O,X,X
ISJZLTO,O,X,O
ISJZLOT,X,X,X
ISJZOTL,X,X,X
ISJZOLT,X,X,X
ISJOTLZ,X,X,X
ISJOTZL,X,X,X
ISJOLTZ,X,X,X
ISJOLZT,X,X,O
ISJOZTL,X,X,O
ISJOZLT,X,X,O
ISZTLJO,O,X,O
ISZTLOJ,O,X,X
ISZTJLO,O,X,O
ISZTJOL,O,X,X
ISZTOLJ,O,X,X
ISZTOJL,O,X,X
ISZLTJO,O,X,O
ISZLTOJ,O,X,X
ISZLJTO,O,X,O
ISZLJOT,X,X,X
ISZLOTJ,X,X,X
ISZLOJT,X,X,X
ISZJTLO,O,X,O
ISZJTOL,O,X,X
ISZJLTO,O,X,O
ISZJLOT,X,X,X
ISZJOTL,X,X,X
ISZJOLT,X,X,X
ISZOTLJ,X,X,X
ISZOTJL,X,X,X
ISZOLTJ,X,X,X
ISZOLJT,X,X,X
ISZOJTL,X,X,X
ISZOJLT,X,X,X
ISOTLJZ,X,X,X
ISOTLZJ,X,X,X
ISOTJLZ,X,X,X
ISOTJZL,X,X,X
ISOTZLJ,X,X,X
ISOTZJL,X,X,X
ISOLTJZ,X,X,X
ISOLTZJ,X,X,X
ISOLJTZ,X,X,X
ISOLJZT,X,X,O
ISOLZTJ,X,X,O
ISOLZJT,X,X,O
ISOJTLZ,X,X,X
ISOJTZL,X,X,X
ISOJLTZ,X,X,X
ISOJLZT,X,X,O
ISOJZTL,X,X,O
ISOJZLT,X,X,O
ISOZTLJ,X,X,O
ISOZTJL,X,X,O
ISOZLTJ,X,X,O
ISOZLJT,X,X,O
ISOZJTL,X,X,O
ISOZJLT,X,X,O
IZTLJSO,O,X,O
IZTLJOS,O,X,X
IZTLSJO,O,X,O
IZTLSOJ,O,X,X
IZTLOJS,O,X,X
IZTLOSJ,O,X,X
IZTJLSO,O,X,O
IZTJLOS,O,X,X
IZTJSLO,O,X,O
IZTJSOL,O,X,X
IZTJOLS,O,X,X
IZTJOSL,O,X,X
IZTSLJO,O,X,O
IZTSLOJ,O,X,X
IZTSJLO,O,X,O
IZTSJOL,O,X,X
IZTSOLJ,O,X,X
IZTSOJL,O,X,X
IZTOLJS,O,X,X
IZTOLSJ,O,X,X
IZTOJLS,O,X,X
IZTOJSL,O,X,X
IZTOSLJ,O,X,X
IZTOSJL,O,X,X
IZLTJSO,O,X,O
IZLTJOS,O,X,X
IZLTSJO,O,X,O
IZLTSOJ,O,X,X
IZLTOJS,O,X,X
IZLTOSJ,O,X,X
IZLJTSO,O,X,O
IZLJTOS,O,X,X
IZLJSTO,O,X,O
IZLJSOT,X,X,X
IZLJOTS,X,X,O
IZLJOST,X,X,O
IZLSTJO,O,X,O
IZLSTOJ,O,X,X
IZLSJTO,O,X,O
IZLSJOT,X,X,X
IZLSOTJ,X,X,X
IZLSOJT,X,X,X
IZLOTJS,X,X,O
IZLOTSJ,X,X,O
IZLOJTS,X,X,O
IZLOJST,X,X,O
IZLOSTJ,X,X,O
IZLOSJT,X,X,O
IZJTLSO,O,X,O
IZJTLOS,O,X,X
IZJTSLO,O,X,O
IZJTSOL,O,X,X
IZJTOLS,O,X,X
IZJTOSL,O,X,X
IZJLTSO,O,X,O
IZJLTOS,O,X,X
IZJLSTO,O,X,O
IZJLSOT,X,X,X
IZJLOTS,X,X,O
IZJLOST,X,X,O
IZJSTLO,O,X,O
IZJSTOL,O,X,X
IZJSLTO,O,X,O
IZJSLOT,X,X,X
IZJSOTL,X,X,X
IZJSOLT,X,X,X
IZJOTLS,X,X,O
IZJOTSL,X,X,O
IZJOLTS,X,X,O
IZJOLST,X,X,O
IZJOSTL,X,X,O
IZJOSLT,X,X,O
IZSTLJO,O,X,O
IZSTLOJ,O,X,X
IZSTJLO,O,X,O
IZSTJOL,O,X,X
IZSTOLJ,O,X,X
IZSTOJL,O,X,X
IZSLTJO,O,X,O
IZSLTOJ,O,X,X
IZSLJTO,O,X,O
IZSLJOT,X,X,X
IZSLOTJ,X,X,X
IZSLOJT,X,X,X
IZSJTLO,O,X,O
IZSJTOL,O,X,X
IZSJLTO,O,X,O
IZSJLOT,X,X,X
IZSJOTL,X,X,X
IZSJOLT,X,X,X
IZSOTLJ,X,X,X
IZSOTJL,X,X,X
IZSOLTJ,X,X,X
IZSOLJT,X,X,X
IZSOJTL,X,X,X
IZSOJLT,X,X,X
IZOTLJS,X,X,O
IZOTLSJ,X,X,O
IZOTJLS,X,X,O
IZOTJSL,X,X,O
IZOTSLJ,X,X,O
IZOTSJL,X,X,O
IZOLTJS,X,X,O
IZOLTSJ,X,X,O
IZOLJTS,X,X,O
IZOLJST,X,X,O
IZOLSTJ,X,X,O
IZOLSJT,X,X,O
IZOJTLS,X,X,O
IZOJTSL,X,X,O
IZOJLTS,X,X,O
IZOJLST,X,X,O
IZOJSTL,X,X,O
IZOJSLT,X,X,O
IZOSTLJ,X,X,O
IZOSTJL,X,X,O
IZOSLTJ,X,X,O
IZOSLJT,X,X,O
IZOSJTL,X,X,O
IZOSJLT,X,X,O
IOTLJSZ,X,X,X
IOTLJZS,X,X,X
IOTLSJZ,X,X,X
IOTLSZJ,X,X,X
IOTLZJS,X,X,X
IOTLZSJ,X,X,X
IOTJLSZ,X,X,X
IOTJLZS,X,X,X
IOTJSLZ,X,X,X
IOTJSZL,X,X,X
IOTJZLS,X,X,X
IOTJZSL,X,X,X
IOTSLJZ,X,X,X
IOTSLZJ,X,X,X
IOTSJLZ,X,X,X
IOTSJZL,X,X,X
IOTSZLJ,X,X,X
IOTSZJL,X,X,X
IOTZLJS,X,X,X
IOTZLSJ,X,X,X
IOTZJLS,X,X,X
IOTZJSL,X,X,X
IOTZSLJ,X,X,X
IOTZSJL,X,X,X
IOLTJSZ,X,X,X
IOLTJZS,X,X,X
IOLTSJZ,X,X,X
IOLTSZJ,X,X,X
IOLTZJS,X,X,X
IOLTZSJ,X,X,X
IOLJTSZ,X,X,X
IOLJTZS,X,X,X
IOLJSTZ,X,X,X
IOLJSZT,X,X,O
IOLJZTS,X,X,O
IOLJZST,X,X,O
IOLSTJZ,X,X,X
IOLSTZJ,X,X,X
IOLSJTZ,X,X,X
IOLSJZT,X,X,O
IOLSZTJ,X,X,O
IOLSZJT,X,X,O
IOLZTJS,X,X,O
IOLZTSJ,X,X,O
IOLZJTS,X,X,O
IOLZJST,X,X,O
IOLZSTJ,X,X,O
IOLZSJT,X,X,O
IOJTLSZ,X,X,X
IOJTLZS,X,X,X
IOJTSLZ,X,X,X
IOJTSZL,X,X,X
IOJTZLS,X,X,X
IOJTZSL,X,X,X
IOJLTSZ,X,X,X
IOJLTZS,X,X,X
IOJLSTZ,X,X,X
IOJLSZT,X,X,O
IOJLZTS,X,X,O
IOJLZST,X,X,O
IOJSTLZ,X,X,X
IOJSTZL,X,X,X
IOJSLTZ,X,X,X
IOJSLZT,X,X,O
IOJSZTL,X,X,O
IOJSZLT,X,X,O
IOJZTLS,X,X,O
IOJZTSL,X,X,O
IOJZLTS,X,X,O
IOJZLST,X,X,O
IOJZSTL,X,X,O
IOJZSLT,X,X,O
IOSTLJZ,X,X,X
IOSTLZJ,X,X,X
IOSTJLZ,X,X,X
IOSTJZL,X,X,X
IOSTZLJ,X,X,X
IOSTZJL,X,X,X
IOSLTJZ,X,X,X
IOSLTZJ,X,X,X
IOSLJTZ,X,X,X
IOSLJZT,X,X,O
IOSLZTJ,X,X,O
IOSLZJT,X,X,O
IOSJTLZ,X,X,X
IOSJTZL,X,X,X
IOSJLTZ,X,X,X
IOSJLZT,X,X,O
IOSJZTL,X,X,O
IOSJZLT,X,X,O
IOSZTLJ,X,X,O
IOSZTJL,X,X,O
IOSZLTJ,X,X,O
IOSZLJT,X,X,O
IOSZJTL,X,X,O
IOSZJLT,X,X,O
IOZTLJS,X,X,O
IOZTLSJ,X,X,O
IOZTJLS,X,X,O
IOZTJSL,X,X,O
IOZTSLJ,X,X,O
IOZTSJL,X,X,O
IOZLTJS,X,X,O
IOZLTSJ,X,X,O
IOZLJTS,X,X,O
IOZLJST,X,X,O
IOZLSTJ,X,X,O
IOZLSJT,X,X,O
IOZJTLS,X,X,O
IOZJTSL,X,X,O
IOZJLTS,X,X,O
IOZJLST,X,X,O
IOZJSTL,X,X,O
IOZJSLT,X,X,O
IOZSTLJ,X,X,O
IOZSTJL,X,X,O
IOZSLTJ,X,X,O
IOZSLJT,X,X,O
IOZSJTL,X,X,O
IOZSJLT,X,X,O
LTIJSZO,X,X,X
LTIJSOZ,X,X,X
LTIJZSO,O,X,X
LTIJZOS,O,X,X
LTIJOSZ,X,X,X
LTIJOZS,O,X,X
LTISJZO,X,X,X
LTISJOZ,X,X,X
LTISZJO,X,X,X
LTISZOJ,X,X,X
LTISOJZ,X,X,X
LTISOZJ,X,X,X
LTIZJSO,O,X,X
LTIZJOS,O,X,X
LTIZSJO,O,X,X
LTIZSOJ,O,X,X
LTIZOJS,O,X,X
LTIZOSJ,O,X,X
LTIOJSZ,X,X,X
LTIOJZS,O,X,X
LTIOSJZ,X,X,X
LTIOSZJ,X,X,X
LTIOZJS,O,X,X
LTIOZSJ,O,X,X
LTJISZO,X,X,X
LTJISOZ,X,X,X
LTJIZSO,O,X,X
LTJIZOS,O,X,X
LTJIOSZ,X,X,X
LTJIOZS,O,X,X
LTJSIZO,X,X,X
LTJSIOZ,X,X,X
LTJSZIO,X,X,X
LTJSZOI,X,X,X
LTJSOIZ,X,X,X
LTJSOZI,X,X,X
LTJZISO,O,X,X
LTJZIOS,O,X,X
LTJZSIO,O,X,X
LTJZSOI,O,X,X
LTJZOIS,O,X,X
LTJZOSI,O,X,X
LTJOISZ,X,X,X
LTJOIZS,O,X,X
LTJOSIZ,X,X,X
LTJOSZI,X,X,X
LTJOZIS,O,X,X
LTJOZSI,O,X,X
LTSIJZO,X,X,X
LTSIJOZ,X,X,X
LTSIZJO,X,X,X
LTSIZOJ,X,X,X
LTSIOJZ,X,X,X
LTSIOZJ,X,X,X
LTSJIZO,X,X,X
LTSJIOZ,X,X,X
LTSJZIO,X,O,X
LTSJZOI,X,O,X
LTSJOIZ,X,X,X
LTSJOZI,X,O,X
LTSZIJO,X,O,X
LTSZIOJ,X,O,X
LTSZJIO,X,O,X
LTSZJOI,X,O,X
LTSZOIJ,X,O,X
LTSZOJI,X,O,X
LTSOIJZ,X,X,X
LTSOIZJ,X,X,X
LTSOJIZ,X,X,X
LTSOJZI,X,O,X
LTSOZIJ,X,O,X
LTSOZJI,X,O,X
LTZIJSO,O,X,X
LTZIJOS,O,X,X
LTZISJO,O,O,X
LTZISOJ,O,O,X
LTZIOJS,O,X,X
LTZIOSJ,O,O,X
LTZJISO,O,X,X
LTZJIOS,O,X,X
LTZJSIO,O,X,X
LTZJSOI,O,X,X
LTZJOIS,O,X,X
LTZJOSI,O,X,X
LTZSIJO,O,O,X
LTZSIOJ,O,O,X
LTZSJIO,O,O,X
LTZSJOI,O,O,X
LTZSOIJ,O,O,X
LTZSOJI,O,O,X
LTZOIJS,O,X,X
LTZOISJ,O,O,X
LTZOJIS,O,X,X
LTZOJSI,O,X,X
LTZOSIJ,O,O,X
LTZOSJI,O,O,X
LTOIJSZ,X,X,X
LTOIJZS,O,X,X
LTOISJZ,X,X,X
LTOISZJ,X,X,X
LTOIZJS,O,X,X
LTOIZSJ,O,X,X
LTOJISZ,X,X,X
LTOJIZS,O,X,X
LTOJSIZ,X,X,X
LTOJSZI,X,X,X
LTOJZIS,O,X,X
LTOJZSI,O,X,X
LTOSIJZ,X,X,X
LTOSIZJ,X,X,X
LTOSJIZ,X,X,X
LTOSJZI,X,O,X
LTOSZIJ,X,O,X
LTOSZJI,X,O,X
LTOZIJS,O,X,X
LTOZISJ,O,O,X
LTOZJIS,O,X,X
LTOZJSI,O,X,X
LTOZSIJ,O,O,X
LTOZSJI,O,O,X
LITJSZO,X,X,X
LITJSOZ,X,X,X
LITJZSO,O,X,X
LITJZOS,O,X,X
LITJOSZ,X,X,X
LITJOZS,O,X,X
LITSJZO,X,X,X
LITSJOZ,X,X,X
LITSZJO,X,X,X
LITSZOJ,X,X,X
LITSOJZ,X,X,X
LITSOZJ,X,X,X
LITZJSO,O,X,X
LITZJOS,O,X,X
LITZSJO,O,X,X
LITZSOJ,O,X,X
LITZOJS,O,X,X
LITZOSJ,O,X,X
LITOJSZ,X,X,X
LITOJZS,O,X,X
LITOSJZ,X,X,X
LITOSZJ,X,X,X
LITOZJS,O,X,X
LITOZSJ,O,X,X
LIJTSZO,X,X,X
LIJTSOZ,X,X,X
LIJTZSO,O,X,X
LIJTZOS,O,X,X
LIJTOSZ,X,X,X
LIJTOZS,O,X,X
LIJSTZO,X,X,X
LIJSTOZ,X,X,X
LIJSZTO,O,X,O
LIJSZOT,X,X,X
LIJSOTZ,X,X,X
LIJSOZT,X,X,O
LIJZTSO,O,X,O
LIJZTOS,O,X,X
LIJZSTO,O,X,O
LIJZSOT,X,X,X
LIJZOTS,X,X,O
LIJZOST,X,X,O
LIJOTSZ,X,X,X
LIJOTZS,X,X,X
LIJOSTZ,X,X,X
LIJOSZT,X,X,O
LIJOZTS,X,X,O
LIJOZST,X,X,O
LISTJZO,X,X,X
LISTJOZ,X,X,X
LISTZJO,X,X,X
LISTZOJ,X,X,X
LISTOJZ,X,X,X
LISTOZJ,X,X,X
LISJTZO,X,X,X
LISJTOZ,X,X,X
LISJZTO,O,O,O
LISJZOT,X,X,X
LISJOTZ,X,X,X
LISJOZT,X,X,O
LISZTJO,O,O,O
LISZTOJ,O,O,X
LISZJTO,O,O,O
LISZJOT,X,X,X
LISZOTJ,X,X,X
LISZOJT,X,X,X
LISOTJZ,X,X,X
LISOTZJ,X,X,X
LISOJTZ,X,X,X
LISOJZT,X,X,O
LISOZTJ,X,X,O
LISOZJT,X,X,O
LIZTJSO,O,X,O
LIZTJOS,O,X,X
LIZTSJO,O,O,O
LIZTSOJ,O,O,X
LIZTOJS,O,X,X
LIZTOSJ,O,O,X
LIZJTSO,O,X,O
LIZJTOS,O,X,X
LIZJSTO,O,X,O
LIZJSOT,X,X,X
LIZJOTS,X,X,O
LIZJOST,X,X,O
LIZSTJO,O,O,O
LIZSTOJ,O,O,X
LIZSJTO,O,O,O
LIZSJOT,X,X,X
LIZSOTJ,X,X,X
LIZSOJT,X,X,X
LIZOTJS,X,X,O
LIZOTSJ,X,X,O
LIZOJTS,X,X,O
LIZOJST,X,X,O
LIZOSTJ,X,X,O
LIZOSJT,X,X,O
LIOTJSZ,X,X,X
LIOTJZS,X,X,X
LIOTSJZ,X,X,X
LIOTSZJ,X,X,X
LIOTZJS,X,X,X
LIOTZSJ,X,X,X
LIOJTSZ,X,X,X
LIOJTZS,X,X,X
LIOJSTZ,X,X,X
LIOJSZT,X,X,O
LIOJZTS,X,X,O
LIOJZST,X,X,O
LIOSTJZ,X,X,X
LIOSTZJ,X,X,X
LIOSJTZ,X,X,X
LIOSJZT,X,X,O
LIOSZTJ,X,X,O
LIOSZJT,X,X,O
LIOZTJS,X,X,O
LIOZTSJ,X,X,O
LIOZJTS,X,X,O
LIOZJST,X,X,O
LIOZSTJ,X,X,O
LIOZSJT,X,X,O
LJTISZO,X,X,X
LJTISOZ,X,X,X
LJTIZSO,O,X,X
LJTIZOS,O,X,X
LJTIOSZ,X,X,X
LJTIOZS,O,X,X
LJTSIZO,X,X,X
LJTSIOZ,X,X,X
LJTSZIO,X,X,X
LJTSZOI,X,X,X
LJTSOIZ,X,X,X
LJTSOZI,X,X,X
LJTZISO,O,X,X
LJTZIOS,O,X,X
LJTZSIO,O,X,X
LJTZSOI,O,X,X
LJTZOIS,O,X,X
LJTZOSI,O,X,X
LJTOISZ,X,X,X
LJTOIZS,O,X,X
LJTOSIZ,X,X,X
LJTOSZI,X,X,X
LJTOZIS,O,X,X
LJTOZSI,O,X,X
LJITSZO,X,X,X
LJITSOZ,X,X,X
LJITZSO,O,X,X
LJITZOS,O,X,X
LJITOSZ,X,X,X
LJITOZS,O,X,X
LJISTZO,X,X,X
LJISTOZ,X,X,X
LJISZTO,O,X,O
LJISZOT,X,X,X
LJISOTZ,X,X,X
LJISOZT,X,X,O
LJIZTSO,O,X,O
LJIZTOS,O,X,X
LJIZSTO,O,X,O
LJIZSOT,X,X,X
LJIZOTS,X,X,O
LJIZOST,X,X,O
LJIOTSZ,X,X,X
LJIOTZS,X,X,X
LJIOSTZ,X,X,X
LJIOSZT,X,X,O
LJIOZTS,X,X,O
LJIOZST,X,X,O
LJSTIZO,X,X,X
LJSTIOZ,X,X,X
LJSTZIO,X,X,X
LJSTZOI,X,X,X
LJSTOIZ,X,X,X
LJSTOZI,X,X,X
LJSITZO,X,X,X
LJSITOZ,X,X,X
LJSIZTO,O,X,O
LJSIZOT,X,X,X
LJSIOTZ,X,X,X
LJSIOZT,X,X,O
LJSZTIO,O,X,O
LJSZTOI,O,X,X
LJSZITO,O,X,O
LJSZIOT,X,X,X
LJSZOTI,X,X,X
LJSZOIT,X,X,X
LJSOTIZ,X,X,X
LJSOTZI,X,X,X
LJSOITZ,X,X,X
LJSOIZT,X,X,O
LJSOZTI,X,X,O
LJSOZIT,X,X,O
LJZTISO,O,X,O
LJZTIOS,O,X,X
LJZTSIO,O,X,O
LJZTSOI,O,X,X
LJZTOIS,O,X,X
LJZTOSI,O,X,X
LJZITSO,O,X,O
LJZITOS,O,X,X
LJZISTO,O,X,O
LJZISOT,X,X,X
LJZIOTS,X,X,O
LJZIOST,X,X,O
LJZSTIO,O,X,O
LJZSTOI,O,X,X
LJZSITO,O,X,O
LJZSIOT,X,X,X
LJZSOTI,X,X,X
LJZSOIT,X,X,X
LJZOTIS,X,X,O
LJZOTSI,X,X,O
LJZOITS,X,X,O
LJZOIST,X,X,O
LJZOSTI,X,X,O
LJZOSIT,X,X,O
LJOTISZ,X,X,X
LJOTIZS,X,X,X
LJOTSIZ,X,X,X
LJOTSZI,X,X,X
LJOTZIS,X,X,X
LJOTZSI,X,X,X
LJOITSZ,X,X,X
LJOITZS,X,X,X
LJOISTZ,X,X,X
LJOISZT,X,X,O
LJOIZTS,X,X,O
LJOIZST,X,X,O
LJOSTIZ,X,X,X
LJOSTZI,X,X,X
LJOSITZ,X,X,X
LJOSIZT,X,X,O
LJOSZTI,X,X,O
LJOSZIT,X,X,O
LJOZTIS,X,X,O
LJOZTSI,X,X,O
LJOZITS,X,X,O
LJOZIST,X,X,O
LJOZSTI,X,X,O
LJOZSIT,X,X,O
LSTIJZO,X,X,X
LSTIJOZ,X,X,X
LSTIZJO,X,X,X
LSTIZOJ,X,X,X
LSTIOJZ,X,X,X
LSTIOZJ,X,X,X
LSTJIZO,X,X,X
LSTJIOZ,X,X,X
LSTJZIO,X,O,X
LSTJZOI,X,O,X
LSTJOIZ,X,X,X
LSTJOZI,X,O,X
LSTZIJO,X,O,X
LSTZIOJ,X,O,X
LSTZJIO,X,O,X
LSTZJOI,X,O,X
LSTZOIJ,X,O,X
LSTZOJI,X,O,X
LSTOIJZ,X,X,X
LSTOIZJ,X,X,X
LSTOJIZ,X,X,X
LSTOJZI,X,O,X
LSTOZIJ,X,O,X
LSTOZJI,X,O,X
LSITJZO,X,X,X
LSITJOZ,X,X,X
LSITZJO,X,X,X
LSITZOJ,X,X,X
LSITOJZ,X,X,X
LSITOZJ,X,X,X
LSIJTZO,X,X,X
LSIJTOZ,X,X,X
LSIJZTO,O,O,O
LSIJZOT,X,X,X
LSIJOTZ,X,X,X
LSIJOZT,X,X,O
LSIZTJO,O,O,O
LSIZTOJ,O,O,X
LSIZJTO,O,O,O
LSIZJOT,X,X,X
LSIZOTJ,X,X,X
LSIZOJT,X,X,X
LSIOTJZ,X,X,X
LSIOTZJ,X,X,X
LSIOJTZ,X,X,X
LSIOJZT,X,X,O
LSIOZTJ,X,X,O
LSIOZJT,X,X,O
LSJTIZO,X,X,X
LSJTIOZ,X,X,X
LSJTZIO,X,O,X
LSJTZOI,X,O,X
LSJTOIZ,X,X,X
LSJTOZI,X,O,X
LSJITZO,X,X,X
LSJITOZ,X,X,X
LSJIZTO,O,O,O
LSJIZOT,X,X,X
LSJIOTZ,X,X,X
LSJIOZT,X,X,O
LSJZTIO,O,O,O
LSJZTOI,O,O,X
LSJZITO,O,O,O
LSJZIOT,X,X,X
LSJZOTI,X,X,X
LSJZOIT,X,X,X
LSJOTIZ,X,X,X
LSJOTZI,X,X,X
LSJOITZ,X,X,X
LSJOIZT,X,X,O
LSJOZTI,X,X,O
LSJOZIT,X,X,O
LSZTIJO,O,O,O
LSZTIOJ,O,O,X
LSZTJIO,O,O,O
LSZTJOI,O,O,X
LSZTOIJ,O,O,X
LSZTOJI,O,O,X
LSZITJO,O,O,O
LSZITOJ,O,O,X
LSZIJTO,O,O,O
LSZIJOT,X,X,X
LSZIOTJ,X,X,X
LSZIOJT,X,X,X
LSZJTIO,O,O,O
LSZJTOI,O,O,X
LSZJITO,O,O,O
LSZJIOT,X,X,X
LSZJOTI,X,X,X
LSZJOIT,X,X,X
LSZOTIJ,X,X,X
LSZOTJI,X,X,X
LSZOITJ,X,X,X
LSZOIJT,X,X,X
LSZOJTI,X,X,X
LSZOJIT,X,X,X
LSOTIJZ,X,X,X
LSOTIZJ,X,X,X
LSOTJIZ,X,X,X
LSOTJZI,X,X,X
LSOTZIJ,X,X,X
LSOTZJI,X,X,X
LSOITJZ,X,X,X
LSOITZJ,X,X,X
LSOIJTZ,X,X,X
LSOIJZT,X,X,O
LSOIZTJ,X,X,O
LSOIZJT,X,X,O
LSOJTIZ,X,X,X
LSOJTZI,X,X,X
LSOJITZ,X,X,X
LSOJIZT,X,X,O
LSOJZTI,X,X,O
LSOJZIT,X,X,O
LSOZTIJ,X,X,O
LSOZTJI,X,X,O
LSOZITJ,X,X,O
LSOZIJT,X,X,O
LSOZJTI,X,X,O
LSOZJIT,X,X,O
LZTIJSO,O,X,O
LZTIJOS,O,X,X
LZTISJO,O,O,O
LZTISOJ,O,O,X
LZTIOJS,O,X,X
LZTIOSJ,O,O,X
LZTJISO,O,X,O
LZTJIOS,O,X,X
LZTJSIO,O,X,O
LZTJSOI,O,X,X
LZTJOIS,O,X,X
LZTJOSI,O,X,X
LZTSIJO,O,O,O
LZTSIOJ,O,O,X
LZTSJIO,O,O,O
LZTSJOI,O,O,X
LZTSOIJ,O,O,X
LZTSOJI,O,O,X
LZTOIJS,O,X,X
LZTOISJ,O,O,X
LZTOJIS,O,X,X
LZTOJSI,O,X,X
LZTOSIJ,O,O,X
LZTOSJI,O,O,X
