sequence,v115@FhB8FeF8CeH8AeF8Jex6IvhFmcBCeBTfBlgBcmB/qB,v115@FhB8FeF8CeH8AeF8JeO/IvhF0bBxdBzfBCiBXhBlqB,v115@FhB8FeF8CeH8AeF8JeK/IvhFzaBWiBxdBUhB3gBlqB,v115@FhB8FeF8CeH8AeF8Jex6IvhFXcB8hBCeBTfB2lBlqB,v115@FhB8FeF8CeH8AeF8JeO/IvhF8fBxdBzgBCiB/qBFrB
TJIZLOS,X,X,O,X,X
TJIZSLO,X,X,X,O,X
TJIZSOL,X,X,X,X,X
TJIZOLS,X,X,X,X,X
TJIZOSL,X,X,X,X,X
TJIOLSZ,X,X,X,X,X
TJIOLZS,X,O,X,X,X
TJIOSLZ,X,X,X,X,X
TJIOSZL,X,X,X,X,X
TJIOZLS,X,O,X,X,X
TJIOZSL,X,X,X,X,X
TJLISZO,X,X,X,X,X
TJLISOZ,X,X,X,X,X
TJLIZSO,X,X,X,O,X
TJLIZOS,X,X,O,X,X
TJLIOSZ,X,X,X,X,X
TJLIOZS,X,O,O,X,X
TJLSIZO,X,X,X,X,X
TJLSIOZ,X,X,X,X,X
TJLSZIO,X,X,X,X,X
TJLSZOI,X,X,X,X,X
TJLSOIZ,X,X,X,X,X
TJLSOZI,X,X,X,X,X
TJLZISO,X,X,X,O,X
TJLZIOS,X,X,O,X,X
TJLZSIO,X,X,X,O,X
TJLZSOI,X,X,X,O,X
TJLZOIS,X,X,O,O,X
TJLZOSI,X,X,O,O,X
TJLOISZ,X,X,X,X,X
TJLOIZS,X,O,O,O,X
TJLOSIZ,X,X,X,X,X
TJLOSZI,X,X,X,X,X
TJLOZIS,X,O,O,O,X
TJLOZSI,X,O,O,O,X
TJSILZO,X,X,X,X,X
TJSILOZ,X,X,X,X,X
TJSIZLO,X,X,X,X,X
TJSIZOL,X,X,X,X,X
TJSIOLZ,X,X,X,X,X
TJSIOZL,X,X,X,X,X
TJSLIZO,X,X,X,X,X
TJSLIOZ,X,X,X,X,X
TJSLZIO,X,X,X,X,X
TJSLZOI,X,X,X,X,X
TJSLOIZ,X,X,X,X,X
TJSLOZI,X,X,X,X,X
TJSZILO,X,X,X,X,X
TJSZIOL,X,X,X,X,X
TJSZLIO,X,X,X,X,X
TJSZLOI,X,X,X,X,X
TJSZOIL,X,X,X,X,X
TJSZOLI,X,X,X,X,X
TJSOILZ,X,X,X,X,X
TJSOIZL,X,X,X,X,X
TJSOLIZ,X,X,X,X,X
TJSOLZI,X,X,X,X,X
TJSOZIL,X,X,X,X,X
TJSOZLI,X,X,X,X,X
TJZILSO,X,X,X,O,X
TJZILOS,X,X,O,X,X
TJZISLO,X,X,X,O,X
TJZISOL,X,X,X,X,X
TJZIOLS,X,X,X,X,X
TJZIOSL,X,X,X,X,X
TJZLISO,X,X,X,O,X
TJZLIOS,X,X,O,X,X
TJZLSIO,X,X,X,O,X
TJZLSOI,X,X,X,O,X
TJZLOIS,X,X,O,O,X
TJZLOSI,X,X,O,O,X
TJZSILO,X,X,X,O,X
TJZSIOL,X,X,X,X,X
TJZSLIO,X,X,X,O,X
TJZSLOI,X,X,X,O,X
TJZSOIL,X,X,X,O,X
TJZSOLI,X,X,X,O,X
TJZOILS,X,X,X,O,X
TJZOISL,X,X,X,O,X
TJZOLIS,X,X,X,O,X
TJZOLSI,X,X,X,O,X
TJZOSIL,X,X,X,O,X
TJZOSLI,X,X,X,O,X
TJOILSZ,X,X,X,X,X
TJOILZS,X,O,X,O,X
TJOISLZ,X,X,X,X,X
TJOISZL,X,X,X,X,X
TJOIZLS,X,O,X,O,X
TJOIZSL,X,X,X,O,X
TJOLISZ,X,X,X,X,X
TJOLIZS,X,O,X,O,X
TJOLSIZ,X,X,X,X,X
TJOLSZI,X,X,X,X,X
TJOLZIS,X,O,X,O,X
TJOLZSI,X,O,X,O,X
TJOSILZ,X,X,X,X,X
TJOSIZL,X,X,X,X,X
TJOSLIZ,X,X,X,X,X
TJOSLZI,X,X,X,X,X
TJOSZIL,X,X,X,X,X
TJOSZLI,X,X,X,X,X
TJOZILS,X,O,X,O,X
TJOZISL,X,X,X,O,X
TJOZLIS,X,O,X,O,X
TJOZLSI,X,O,X,O,X
TJOZSIL,X,X,X,O,X
TJOZSLI,X,X,X,O,X
TSILJZO,X,X,X,X,X
TSILJOZ,X,X,X,X,X
TSILZJO,X,X,X,X,X
TSILZOJ,X,X,X,X,X
TSILOJZ,X,X,X,X,X
TSILOZJ,X,X,X,X,X
TSIJLZO,X,X,X,X,X
TSIJLOZ,X,X,X,X,X
TSIJZLO,X,X,X,X,X
TSIJZOL,X,X,X,X,X
TSIJOLZ,X,X,X,X,X
TSIJOZL,X,X,X,X,X
TSIZLJO,X,X,X,X,X
TSIZLOJ,X,X,X,X,X
TSIZJLO,X,X,X,X,X
TSIZJOL,X,X,X,X,X
TSIZOLJ,X,X,X,X,X
TSIZOJL,X,X,X,X,X
TSIOLJZ,X,X,X,X,X
TSIOLZJ,X,X,X,X,X
TSIOJLZ,X,X,X,X,X
TSIOJZL,X,X,X,X,X
TSIOZLJ,X,X,X,X,X
TSIOZJL,X,X,X,X,X
TSLIJZO,X,X,X,X,X
TSLIJOZ,X,X,X,X,X
TSLIZJO,X,X,X,X,X
TSLIZOJ,X,X,X,X,X
TSLIOJZ,X,X,X,X,X
TSLIOZJ,X,X,X,X,X
TSLJIZO,X,X,X,X,X
TSLJIOZ,X,X,X,X,X
TSLJZIO,X,X,X,X,X
TSLJZOI,X,X,X,X,X
TSLJOIZ,X,X,X,X,X
TSLJOZI,X,X,X,X,X
TSLZIJO,X,X,X,X,X
TSLZIOJ,X,X,X,X,X
TSLZJIO,X,X,X,X,X
TSLZJOI,X,X,X,X,X
TSLZOIJ,X,X,X,X,X
TSLZOJI,X,X,X,X,X
TSLOIJZ,X,X,X,X,X
TSLOIZJ,X,X,X,X,X
TSLOJIZ,X,X,X,X,X
TSLOJZI,X,X,X,X,X
TSLOZIJ,X,X,X,X,X
TSLOZJI,X,X,X,X,X
TSJILZO,X,X,X,X,X
TSJILOZ,X,X,X,X,X
TSJIZLO,X,X,X,X,X
TSJIZOL,X,X,X,X,X
TSJIOLZ,X,X,X,X,X
TSJIOZL,X,X,X,X,X
TSJLIZO,X,X,X,X,X
TSJLIOZ,X,X,X,X,X
TSJLZIO,X,X,X,X,X
TSJLZOI,X,X,X,X,X
TSJLOIZ,X,X,X,X,X
TSJLOZI,X,X,X,X,X
TSJZILO,X,X,X,X,X
TSJZIOL,X,X,X,X,X
TSJZLIO,X,X,X,X,X
TSJZLOI,X,X,X,X,X
TSJZOIL,X,X,X,X,X
TSJZOLI,X,X,X,X,X
TSJOILZ,X,X,X,X,X
TSJOIZL,X,X,X,X,X
TSJOLIZ,X,X,X,X,X
TSJOLZI,X,X,X,X,X
TSJOZIL,X,X,X,X,X
TSJOZLI,X,X,X,X,X
TSZILJO,X,X,X,X,X
TSZILOJ,X,X,X,X,X
TSZIJLO,X,X,X,X,X
TSZIJOL,X,X,X,X,X
TSZIOLJ,X,X,X,X,X
TSZIOJL,X,X,X,X,X
TSZLIJO,X,X,X,X,X
TSZLIOJ,X,X,X,X,X
TSZLJIO,X,X,X,X,X
TSZLJOI,X,X,X,X,X
TSZLOIJ,X,X,X,X,X
TSZLOJI,X,X,X,X,X
TSZJILO,X,X,X,X,X
TSZJIOL,X,X,X,X,X
TSZJLIO,X,X,X,X,X
TSZJLOI,X,X,X,X,X
TSZJOIL,X,X,X,X,X
TSZJOLI,X,X,X,X,X
TSZOILJ,X,X,X,X,X
TSZOIJL,X,X,X,X,X
TSZOLIJ,X,X,X,X,X
TSZOLJI,X,X,X,X,X
TSZOJIL,X,X,X,X,X
TSZOJLI,X,X,X,X,X
TSOILJZ,X,X,X,X,X
TSOILZJ,X,X,X,X,X
TSOIJLZ,X,X,X,X,X
TSOIJZL,X,X,X,X,X
TSOIZLJ,X,X,X,X,X
TSOIZJL,X,X,X,X,X
TSOLIJZ,X,X,X,X,X
TSOLIZJ,X,X,X,X,X
TSOLJIZ,X,X,X,X,X
TSOLJZI,X,X,X,X,X
TSOLZIJ,X,X,X,X,X
TSOLZJI,X,X,X,X,X
TSOJILZ,X,X,X,X,X
TSOJIZL,X,X,X,X,X
TSOJLIZ,X,X,X,X,X
TSOJLZI,X,X,X,X,X
TSOJZIL,X,X,X,X,X
TSOJZLI,X,X,X,X,X
TSOZILJ,X,X,X,X,X
TSOZIJL,X,X,X,X,X
TSOZLIJ,X,X,X,X,X
TSOZLJI,X,X,X,X,X
TSOZJIL,X,X,X,X,X
TSOZJLI,X,X,X,X,X
TZILJSO,X,X,X,X,X
TZILJOS,X,X,O,X,X
TZILSJO,X,X,X,X,X
TZILSOJ,X,X,X,X,X
TZILOJS,X,X,O,X,X
TZILOSJ,X,X,X,X,X
TZIJLSO,X,X,X,X,X
TZIJLOS,X,X,O,X,X
TZIJSLO,X,X,X,X,X
TZIJSOL,X,X,X,X,X
TZIJOLS,X,X,X,X,X
TZIJOSL,X,X,X,X,X
TZISLJO,X,X,X,X,X
TZISLOJ,X,X,X,X,X
TZISJLO,X,X,X,X,X
TZISJOL,X,X,X,X,X
TZISOLJ,X,X,X,X,X
TZISOJL,X,X,X,X,X
TZIOLJS,X,X,X,X,X
TZIOLSJ,X,X,X,X,X
TZIOJLS,X,X,X,X,X
TZIOJSL,X,X,X,X,X
TZIOSLJ,X,X,X,X,X
TZIOSJL,X,X,X,X,X
TZLIJSO,X,X,X,X,X
TZLIJOS,X,X,O,X,X
TZLISJO,X,X,X,X,X
TZLISOJ,X,X,X,X,X
TZLIOJS,X,X,O,X,X
TZLIOSJ,X,X,X,X,X
TZLJISO,X,X,X,O,X
TZLJIOS,X,X,O,X,X
TZLJSIO,X,X,X,O,X
TZLJSOI,X,X,X,O,X
TZLJOIS,X,X,O,O,X
TZLJOSI,X,X,O,O,X
TZLSIJO,X,X,X,O,X
TZLSIOJ,X,X,X,O,X
TZLSJIO,X,X,X,O,X
TZLSJOI,X,X,X,O,X
TZLSOIJ,X,X,X,O,X
TZLSOJI,X,X,X,O,X
TZLOIJS,X,X,O,O,X
TZLOISJ,X,X,X,O,X
TZLOJIS,X,X,O,O,X
TZLOJSI,X,X,O,O,X
TZLOSIJ,X,X,X,O,X
TZLOSJI,X,X,X,O,X
TZJILSO,X,X,X,O,X
TZJILOS,X,X,O,X,X
TZJISLO,X,X,X,O,X
TZJISOL,X,X,X,X,X
TZJIOLS,X,X,X,X,X
TZJIOSL,X,X,X,X,X
TZJLISO,X,X,X,O,X
TZJLIOS,X,X,O,X,X
TZJLSIO,X,X,X,O,X
TZJLSOI,X,X,X,O,X
TZJLOIS,X,X,O,O,X
TZJLOSI,X,X,O,O,X
TZJSILO,X,X,X,O,X
TZJSIOL,X,X,X,X,X
TZJSLIO,X,X,X,O,X
TZJSLOI,X,X,X,O,X
TZJSOIL,X,X,X,O,X
TZJSOLI,X,X,X,O,X
TZJOILS,X,X,X,O,X
TZJOISL,X,X,X,O,X
TZJOLIS,X,X,X,O,X
TZJOLSI,X,X,X,O,X
TZJOSIL,X,X,X,O,X
TZJOSLI,X,X,X,O,X
TZSILJO,X,X,X,O,X
TZSILOJ,X,X,X,O,X
TZSIJLO,X,X,X,X,X
TZSIJOL,X,X,X,X,X
TZSIOLJ,X,X,X,X,X
TZSIOJL,X,X,X,X,X
TZSLIJO,X,X,X,O,X
TZSLIOJ,X,X,X,O,X
TZSLJIO,X,X,X,O,X
TZSLJOI,X,X,X,O,X
TZSLOIJ,X,X,X,O,X
TZSLOJI,X,X,X,O,X
TZSJILO,X,X,X,O,X
TZSJIOL,X,X,X,X,X
TZSJLIO,X,X,X,O,X
TZSJLOI,X,X,X,O,X
TZSJOIL,X,X,X,O,X
TZSJOLI,X,X,X,O,X
TZSOILJ,X,X,X,O,X
TZSOIJL,X,X,X,X,X
TZSOLIJ,X,X,X,O,X
TZSOLJI,X,X,X,O,X
TZSOJIL,X,X,X,O,X
TZSOJLI,X,X,X,O,X
TZOILJS,X,X,X,O,X
TZOILSJ,X,X,X,O,X
TZOIJLS,X,X,X,O,X
TZOIJSL,X,X,X,O,X
TZOISLJ,X,X,X,O,X
TZOISJL,X,X,X,X,X
TZOLIJS,X,X,X,O,X
TZOLISJ,X,X,X,O,X
TZOLJIS,X,X,X,O,X
TZOLJSI,X,X,X,O,X
TZOLSIJ,X,X,X,O,X
TZOLSJI,X,X,X,O,X
TZOJILS,X,X,X,O,X
TZOJISL,X,X,X,O,X
TZOJLIS,X,X,X,O,X
TZOJLSI,X,X,X,O,X
TZOJSIL,X,X,X,O,X
TZOJSLI,X,X,X,O,X
TZOSILJ,X,X,X,O,X
TZOSIJL,X,X,X,X,X
TZOSLIJ,X,X,X,O,X
TZOSLJI,X,X,X,O,X
TZOSJIL,X,X,X,O,X
TZOSJLI,X,X,X,O,X
TOILJSZ,X,X,X,X,X
TOILJZS,X,O,X,O,X
TOILSJZ,X,X,X,X,X
TOILSZJ,X,X,X,X,X
TOILZJS,X,O,X,O,X
TOILZSJ,X,X,X,O,X
TOIJLSZ,X,X,X,X,X
TOIJLZS,X,O,X,O,X
TOIJSLZ,X,X,X,X,X
TOIJSZL,X,X,X,X,X
TOIJZLS,X,O,X,O,X
TOIJZSL,X,X,X,O,X
TOISLJZ,X,X,X,X,X
TOISLZJ,X,X,X,X,X
TOISJLZ,X,X,X,X,X
TOISJZL,X,X,X,X,X
TOISZLJ,X,X,X,X,X
TOISZJL,X,X,X,X,X
TOIZLJS,X,O,X,O,X
TOIZLSJ,X,X,X,O,X
TOIZJLS,X,O,X,O,X
TOIZJSL,X,X,X,O,X
TOIZSLJ,X,X,X,O,X
TOIZSJL,X,X,X,X,X
TOLIJSZ,X,X,X,X,X
TOLIJZS,X,O,X,O,X
TOLISJZ,X,X,X,X,X
TOLISZJ,X,X,X,X,X
TOLIZJS,X,O,X,O,X
TOLIZSJ,X,X,X,O,X
TOLJISZ,X,X,X,X,X
TOLJIZS,X,O,X,O,X
TOLJSIZ,X,X,X,X,X
TOLJSZI,X,X,X,X,X
TOLJZIS,X,O,X,O,X
TOLJZSI,X,O,X,O,X
TOLSIJZ,X,X,X,X,X
TOLSIZJ,X,X,X,X,X
TOLSJIZ,X,X,X,X,X
TOLSJZI,X,X,X,X,X
TOLSZIJ,X,X,X,X,X
TOLSZJI,X,X,X,X,X
TOLZIJS,X,O,X,O,X
TOLZISJ,X,X,X,O,X
TOLZJIS,X,O,X,O,X
TOLZJSI,X,O,X,O,X
TOLZSIJ,X,X,X,O,X
TOLZSJI,X,X,X,O,X
TOJILSZ,X,X,X,X,X
TOJILZS,X,O,X,O,X
TOJISLZ,X,X,X,X,X
TOJISZL,X,X,X,X,X
TOJIZLS,X,O,X,O,X
TOJIZSL,X,X,X,O,X
TOJLISZ,X,X,X,X,X
TOJLIZS,X,O,X,O,X
TOJLSIZ,X,X,X,X,X
TOJLSZI,X,X,X,X,X
TOJLZIS,X,O,X,O,X
TOJLZSI,X,O,X,O,X
TOJSILZ,X,X,X,X,X
TOJSIZL,X,X,X,X,X
TOJSLIZ,X,X,X,X,X
TOJSLZI,X,X,X,X,X
TOJSZIL,X,X,X,X,X
TOJSZLI,X,X,X,X,X
TOJZILS,X,O,X,O,X
TOJZISL,X,X,X,O,X
TOJZLIS,X,O,X,O,X
TOJZLSI,X,O,X,O,X
TOJZSIL,X,X,X,O,X
TOJZSLI,X,X,X,O,X
TOSILJZ,X,X,X,X,X
TOSILZJ,X,X,X,X,X
TOSIJLZ,X,X,X,X,X
TOSIJZL,X,X,X,X,X
TOSIZLJ,X,X,X,X,X
TOSIZJL,X,X,X,X,X
TOSLIJZ,X,X,X,X,X
TOSLIZJ,X,X,X,X,X
TOSLJIZ,X,X,X,X,X
TOSLJZI,X,X,X,X,X
TOSLZIJ,X,X,X,X,X
TOSLZJI,X,X,X,X,X
TOSJILZ,X,X,X,X,X
TOSJIZL,X,X,X,X,X
TOSJLIZ,X,X,X,X,X
TOSJLZI,X,X,X,X,X
TOSJZIL,X,X,X,X,X
TOSJZLI,X,X,X,X,X
TOSZILJ,X,X,X,X,X
TOSZIJL,X,X,X,X,X
TOSZLIJ,X,X,X,X,X
TOSZLJI,X,X,X,X,X
TOSZJIL,X,X,X,X,X
TOSZJLI,X,X,X,X,X
TOZILJS,X,O,X,O,X
TOZILSJ,X,X,X,O,X
TOZIJLS,X,O,X,O,X
TOZIJSL,X,X,X,O,X
TOZISLJ,X,X,X,O,X
TOZISJL,X,X,X,X,X
TOZLIJS,X,O,X,O,X
TOZLISJ,X,X,X,O,X
TOZLJIS,X,O,X,O,X
TOZLJSI,X,O,X,O,X
TOZLSIJ,X,X,X,O,X
TOZLSJI,X,X,X,O,X
TOZJILS,X,O,X,O,X
TOZJISL,X,X,X,O,X
TOZJLIS,X,O,X,O,X
TOZJLSI,X,O,X,O,X
TOZJSIL,X,X,X,O,X
TOZJSLI,X,X,X,O,X
TOZSILJ,X,X,X,O,X
TOZSIJL,X,X,X,X,X
TOZSLIJ,X,X,X,O,X
TOZSLJI,X,X,X,O,X
TOZSJIL,X,X,X,O,X
TOZSJLI,X,X,X,O,X
ITLJSZO,X,X,X,X,X
ITLJSOZ,X,X,X,X,X
ITLJZSO,X,X,X,X,X
ITLJZOS,X,X,O,X,X
ITLJOSZ,X,X,X,X,X
ITLJOZS,X,O,O,X,X
ITLSJZO,X,X,X,X,X
ITLSJOZ,X,X,X,X,X
ITLSZJO,X,X,X,X,X
ITLSZOJ,X,X,X,X,X
ITLSOJZ,X,X,X,X,X
ITLSOZJ,X,X,X,X,X
ITLZJSO,X,X,X,X,X
ITLZJOS,X,X,O,X,X
ITLZSJO,X,X,X,X,X
ITLZSOJ,X,X,X,X,X
ITLZOJS,X,X,O,X,X
ITLZOSJ,X,X,X,X,X
ITLOJSZ,X,X,X,X,X
ITLOJZS,X,O,O,X,X
ITLOSJZ,X,X,X,X,X
ITLOSZJ,X,X,X,X,X
ITLOZJS,X,O,O,X,X
ITLOZSJ,X,X,X,X,X
ITJLSZO,X,X,X,X,X
ITJLSOZ,X,X,X,X,X
ITJLZSO,X,X,X,X,X
ITJLZOS,X,X,O,X,X
