sequence,v115@7gB8GeC8HeF8DeG8AeD8Je06IvhF6gBxcB2kBThB/n?BlrB,v115@7gB8GeC8HeF8DeG8AeD8JeO/IvhF0bBxcBzfBSmB/n?BlrB,v115@7gB8GeC8HeF8DeG8AeD8JeK/IvhFGbBxcBUgBThB/n?BlrB,v115@7gB8GeC8HeF8DeG8AeD8Jex7IvhFXdBifBzgB0fBGn?BlrB,v115@7gB8GeC8HeF8DeG8AeD8JeO/IvhF8fBFdBamB5mB3l?BTsB,v115@7gB8GeC8HeF8DeG8AeD8JeO/IvhF8fBzbBCdB/nBxl?BlrB,v115@7gB8GeC8HeF8DeG8AeD8JeT6IvhFxcBykBGhB/nB0g?BlrB,v115@7gB8GeC8HeF8DeG8AeD8JeT6IvhF2gBCdB/nBUhBxk?BlrB,v115@7gB8GeC8HeF8DeG8AeD8Jei6IvhFzbB3fBUiBxlBGn?BlrB,v115@7gB8GeC8HeF8DeG8AeD8JeF8IvhFXdBTfB0gBmfBxr?BCsB
TIZOSLJ,X,X,X,X,X,O,X,X,O,X
TIZOSJL,X,X,X,X,X,O,X,X,X,X
TIOLJSZ,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,X,X,X,X,X,X,X,X,X
TIOLSJZ,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,X,X,X,X,X,X,X,X,X
TIOJSLZ,X,X,X,X,X,X,X,O,X,X
TIOJSZL,X,X,X,X,X,X,X,X,X,X
TIOJZLS,X,X,X,X,X,X,X,X,X,X
TIOJZSL,X,X,X,X,X,X,X,X,X,X
TIOSLJZ,X,X,X,X,X,X,X,O,X,X
TIOSLZJ,X,X,X,X,X,O,X,X,O,X
TIOSJLZ,X,X,X,X,X,X,X,O,X,X
TIOSJZL,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,X,X,O,X,X,O,X
TIOSZJL,X,X,X,X,X,O,X,X,X,X
TIOZLJS,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,X,X,X,X,X
TIOZJLS,X,X,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,X,O,X,X,X,X
TIOZSLJ,X,X,X,X,X,O,X,X,O,X
TIOZSJL,X,X,X,X,X,O,X,X,X,X
TLIJSZO,X,X,X,X,X,X,X,X,X,X
TLIJSOZ,X,X,X,X,X,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,X,X,X,X,X,X,X,X
TLIJOZS,X,X,X,X,X,X,X,X,X,X
TLISJZO,X,X,X,X,X,X,X,X,X,X
TLISJOZ,X,X,X,X,X,X,X,X,X,X
TLISZJO,X,X,X,X,X,X,X,X,X,X
TLISZOJ,X,X,X,X,X,X,X,X,X,X
TLISOJZ,X,X,X,X,X,X,X,X,X,X
TLISOZJ,X,X,X,X,X,X,X,X,X,X
TLIZJSO,X,X,X,X,X,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X,X,X,X,X
TLIZSJO,X,X,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,X,X,X,X,X,X
TLIZOJS,X,X,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,X,X,X,X,X,X,X
TLIOJSZ,X,X,X,X,X,X,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,X,X,X
TLIOSJZ,X,X,X,X,X,X,X,X,X,X
TLIOSZJ,X,X,X,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,X,X,X,X,X,X
TLJISZO,X,X,X,X,X,X,X,X,X,X
TLJISOZ,X,X,X,X,X,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X,X,X
TLJIZOS,X,X,X,X,X,X,X,X,X,X
TLJIOSZ,X,X,X,X,X,X,X,X,X,X
TLJIOZS,X,X,X,X,X,X,X,X,X,X
TLJSIZO,O,O,X,X,X,X,X,X,X,X
TLJSIOZ,X,X,X,X,X,X,O,X,X,X
TLJSZIO,O,O,X,X,X,X,X,X,X,X
TLJSZOI,O,X,X,X,X,X,X,X,X,X
TLJSOIZ,O,X,X,O,X,X,O,X,X,X
TLJSOZI,O,X,X,O,X,X,O,X,X,X
TLJZISO,X,X,X,X,X,X,X,X,X,X
TLJZIOS,X,X,X,X,X,X,X,X,X,X
TLJZSIO,O,O,X,X,X,X,X,X,X,X
TLJZSOI,O,X,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,X,X,X,X,X,X
TLJZOSI,O,X,X,X,X,X,X,X,X,X
TLJOISZ,X,X,X,O,X,X,X,X,X,X
TLJOIZS,X,X,X,X,X,X,X,X,X,X
TLJOSIZ,O,X,X,O,X,X,O,X,X,X
TLJOSZI,O,X,X,O,X,X,O,X,X,X
TLJOZIS,X,X,X,X,X,X,X,X,X,X
TLJOZSI,O,X,X,X,X,X,X,X,X,X
TLSIJZO,O,O,X,X,X,X,X,X,X,X
TLSIJOZ,X,X,X,X,X,X,O,X,X,X
TLSIZJO,X,O,O,X,X,X,X,X,X,X
TLSIZOJ,X,O,X,X,X,X,X,X,X,X
TLSIOJZ,X,O,X,X,X,X,O,X,X,X
TLSIOZJ,X,O,O,X,X,X,X,X,X,X
TLSJIZO,O,O,X,X,X,X,X,X,X,X
TLSJIOZ,X,X,X,X,X,X,O,X,X,X
TLSJZIO,O,O,X,X,X,X,X,X,X,X
TLSJZOI,O,X,X,X,X,X,X,X,X,X
TLSJOIZ,O,X,X,O,X,X,O,X,X,X
TLSJOZI,O,X,X,O,X,X,O,X,X,X
TLSZIJO,X,O,O,X,X,X,X,X,X,X
TLSZIOJ,X,O,X,X,X,X,X,X,X,X
TLSZJIO,X,O,O,X,X,X,X,X,X,X
TLSZJOI,X,X,O,X,X,X,X,X,X,X
TLSZOIJ,X,O,O,X,X,X,X,X,X,X
TLSZOJI,X,O,O,X,X,X,X,X,X,X
TLSOIJZ,O,O,X,X,X,X,O,X,X,X
TLSOIZJ,X,O,O,O,X,X,X,X,X,X
TLSOJIZ,O,O,X,O,X,X,O,X,X,X
TLSOJZI,O,O,X,O,X,X,O,X,X,X
TLSOZIJ,X,O,O,O,X,X,X,X,X,X
TLSOZJI,X,O,O,O,X,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X,X,X,X,X
TLZISJO,X,X,X,X,X,X,X,X,X,X
TLZISOJ,X,X,X,X,X,X,X,X,X,X
TLZIOJS,X,X,X,X,X,X,X,X,X,X
TLZIOSJ,X,X,X,X,X,X,X,X,X,X
TLZJISO,X,X,X,X,X,X,X,X,X,X
TLZJIOS,X,X,X,X,X,X,X,X,X,X
TLZJSIO,X,O,O,X,X,X,X,X,X,X
TLZJSOI,X,X,O,X,X,X,X,X,X,X
TLZJOIS,X,X,X,X,X,X,X,X,X,X
TLZJOSI,X,X,O,X,X,X,X,X,X,X
TLZSIJO,X,O,O,X,X,X,X,X,X,X
TLZSIOJ,X,O,X,X,X,X,X,X,X,X
TLZSJIO,X,O,O,X,X,X,X,X,X,X
TLZSJOI,X,X,O,X,X,X,X,X,X,X
TLZSOIJ,X,O,O,X,X,X,X,X,X,X
TLZSOJI,X,O,O,X,X,X,X,X,X,X
TLZOIJS,X,X,X,X,X,X,X,X,X,X
TLZOISJ,X,X,X,X,X,X,X,X,X,X
TLZOJIS,X,X,X,X,X,X,X,X,X,X
TLZOJSI,X,O,O,X,X,X,X,X,X,X
TLZOSIJ,X,O,O,X,X,X,X,X,X,X
TLZOSJI,X,O,O,X,X,X,X,X,X,X
TLOIJSZ,X,X,X,X,X,X,X,X,X,X
TLOIJZS,X,X,X,X,X,X,X,X,X,X
TLOISJZ,X,X,X,X,X,X,X,X,X,X
TLOISZJ,X,X,X,O,X,X,X,X,X,X
TLOIZJS,X,X,X,X,X,X,X,X,X,X
TLOIZSJ,X,X,X,X,X,X,X,X,X,X
TLOJISZ,X,X,X,O,X,X,X,X,X,X
TLOJIZS,X,X,X,X,X,X,X,X,X,X
TLOJSIZ,O,O,X,O,X,X,O,X,X,X
TLOJSZI,O,O,X,O,X,X,O,X,X,X
TLOJZIS,X,X,X,X,X,X,X,X,X,X
TLOJZSI,O,O,X,X,X,X,X,X,X,X
TLOSIJZ,O,O,X,X,X,X,O,X,X,X
TLOSIZJ,X,O,O,O,X,X,X,X,X,X
TLOSJIZ,O,O,X,O,X,X,O,X,X,X
TLOSJZI,O,O,X,O,X,X,O,X,X,X
TLOSZIJ,X,O,O,O,X,X,X,X,X,X
TLOSZJI,X,O,O,O,X,X,X,X,X,X
TLOZIJS,X,X,X,X,X,X,X,X,X,X
TLOZISJ,X,X,X,X,X,X,X,X,X,X
TLOZJIS,X,X,X,X,X,X,X,X,X,X
TLOZJSI,X,O,O,X,X,X,X,X,X,X
TLOZSIJ,X,O,O,X,X,X,X,X,X,X
TLOZSJI,X,O,O,X,X,X,X,X,X,X
TJILSZO,X,X,X,X,X,X,X,X,X,X
TJILSOZ,X,X,X,X,X,X,X,X,X,X
TJILZSO,X,X,X,X,O,X,X,X,X,X
TJILZOS,X,X,X,X,X,X,X,X,X,X
TJILOSZ,X,X,X,X,X,X,X,X,X,X
TJILOZS,X,X,X,X,X,X,X,X,X,X
TJISLZO,X,X,X,X,X,X,X,X,X,X
TJISLOZ,X,X,X,X,X,X,X,X,X,X
TJISZLO,X,X,X,X,X,X,X,X,X,X
TJISZOL,X,X,X,X,X,X,X,X,X,X
TJISOLZ,X,X,X,X,X,X,X,X,X,X
TJISOZL,X,X,X,X,X,X,X,X,X,X
TJIZLSO,X,X,X,X,O,X,X,X,X,X
TJIZLOS,X,X,X,X,X,X,X,X,X,X
TJIZSLO,X,X,X,X,X,X,X,X,X,X
TJIZSOL,X,X,X,X,X,X,X,X,X,X
TJIZOLS,X,X,X,X,X,X,X,X,X,X
TJIZOSL,X,X,X,X,X,X,X,X,X,X
TJIOLSZ,X,X,X,X,X,X,X,X,X,X
TJIOLZS,X,X,X,X,X,X,X,X,X,X
TJIOSLZ,X,X,X,X,X,X,X,X,X,X
TJIOSZL,X,X,X,X,X,X,X,X,X,X
TJIOZLS,X,X,X,X,X,X,X,X,X,X
TJIOZSL,X,X,X,X,X,X,X,X,X,X
TJLISZO,X,X,X,X,X,X,X,X,X,X
TJLISOZ,X,X,X,X,X,X,X,X,X,X
TJLIZSO,X,X,X,X,X,X,X,X,X,X
TJLIZOS,X,X,X,X,X,X,X,X,X,X
TJLIOSZ,X,X,X,X,X,X,X,X,X,X
TJLIOZS,X,X,X,X,X,X,X,X,X,X
TJLSIZO,O,O,X,X,X,X,X,X,X,X
TJLSIOZ,X,X,X,X,X,X,O,X,X,X
TJLSZIO,O,O,X,X,X,X,X,X,X,X
TJLSZOI,O,X,X,X,X,X,X,X,X,X
TJLSOIZ,O,X,X,O,X,X,O,X,X,X
TJLSOZI,O,X,X,O,X,X,O,X,X,X
TJLZISO,X,X,X,X,X,X,X,X,X,X
TJLZIOS,X,X,X,X,X,X,X,X,X,X
TJLZSIO,O,O,X,X,X,X,X,X,X,X
TJLZSOI,O,X,X,X,X,X,X,X,X,X
TJLZOIS,X,X,X,X,X,X,X,X,X,X
TJLZOSI,O,X,X,X,X,X,X,X,X,X
TJLOISZ,X,X,X,O,X,X,X,X,X,X
TJLOIZS,X,X,X,X,X,X,X,X,X,X
TJLOSIZ,O,X,X,O,X,X,O,X,X,X
TJLOSZI,O,X,X,O,X,X,O,X,X,X
TJLOZIS,X,X,X,X,X,X,X,X,X,X
TJLOZSI,O,X,X,X,X,X,X,X,X,X
TJSILZO,O,O,X,X,X,X,X,X,X,X
TJSILOZ,X,X,X,X,X,X,O,X,X,X
TJSIZLO,O,X,X,X,X,X,X,X,X,X
TJSIZOL,X,X,X,X,X,X,X,X,X,X
TJSIOLZ,X,O,X,O,X,X,X,X,X,X
TJSIOZL,X,O,X,X,X,X,X,X,X,X
TJSLIZO,O,O,X,X,X,X,X,X,X,X
TJSLIOZ,X,X,X,X,X,X,O,X,X,X
TJSLZIO,O,O,X,X,X,X,X,X,X,X
TJSLZOI,O,X,X,X,X,X,X,X,X,X
TJSLOIZ,O,X,X,O,X,X,O,X,X,X
TJSLOZI,O,X,X,O,X,X,O,X,X,X
TJSZILO,O,X,X,X,X,X,X,X,X,X
TJSZIOL,X,X,X,X,X,X,X,X,X,X
TJSZLIO,O,X,X,X,X,X,X,X,X,X
TJSZLOI,O,X,X,X,X,X,X,X,X,X
TJSZOIL,O,X,X,X,X,X,X,X,X,X
TJSZOLI,O,X,X,X,X,X,X,X,X,X
TJSOILZ,O,O,X,O,X,X,X,X,X,X
TJSOIZL,O,O,X,X,X,X,X,X,X,X
TJSOLIZ,O,O,X,O,X,X,X,X,X,X
TJSOLZI,O,O,X,O,X,X,X,X,X,X
TJSOZIL,O,O,X,X,X,X,X,X,X,X
TJSOZLI,O,O,X,X,X,X,X,X,X,X
TJZILSO,X,X,X,X,O,X,X,X,X,X
TJZILOS,X,X,X,X,X,X,X,X,X,X
TJZISLO,X,X,X,X,X,O,X,X,X,X
TJZISOL,X,X,X,X,X,O,X,X,X,X
TJZIOLS,X,X,X,X,X,X,X,X,X,X
TJZIOSL,X,X,X,X,X,O,X,X,X,X
TJZLISO,X,X,X,X,X,X,X,X,X,X
TJZLIOS,X,X,X,X,X,X,X,X,X,X
TJZLSIO,O,X,X,X,X,X,X,X,X,X
TJZLSOI,O,X,X,X,X,X,X,X,X,X
TJZLOIS,X,X,X,X,X,X,X,X,X,X
TJZLOSI,O,X,X,X,X,X,X,X,X,X
TJZSILO,O,X,X,X,X,X,X,X,X,X
TJZSIOL,X,X,X,X,X,X,X,X,X,X
TJZSLIO,O,X,X,X,X,X,X,X,X,X
TJZSLOI,O,X,X,X,X,X,X,X,X,X
TJZSOIL,O,X,X,X,X,X,X,X,X,X
TJZSOLI,O,X,X,X,X,X,X,X,X,X
TJZOILS,X,X,X,X,O,X,X,X,X,X
TJZOISL,X,X,X,X,X,X,X,X,X,X
TJZOLIS,X,X,X,X,X,X,X,X,X,X
TJZOLSI,O,X,X,X,X,X,X,X,X,X
TJZOSIL,O,X,X,X,X,X,X,X,X,X
TJZOSLI,O,X,X,X,X,X,X,X,X,X
TJOILSZ,X,X,X,O,X,X,X,X,X,X
TJOILZS,X,X,X,X,O,X,X,X,X,X
TJOISLZ,X,X,X,O,X,X,X,X,X,X
TJOISZL,X,X,X,X,X,X,X,X,X,X
TJOIZLS,X,X,X,X,O,X,X,X,X,X
TJOIZSL,X,X,X,X,X,X,X,X,X,X
TJOLISZ,X,X,X,O,X,X,X,X,X,X
TJOLIZS,X,X,X,X,X,X,X,X,X,X
TJOLSIZ,O,O,X,O,X,X,X,X,X,X
TJOLSZI,O,O,X,O,X,X,X,X,X,X
TJOLZIS,X,X,X,X,X,X,X,X,X,X
TJOLZSI,O,O,X,X,X,X,X,X,X,X
TJOSILZ,O,O,X,O,X,X,X,X,X,X
TJOSIZL,O,O,X,X,X,X,X,X,X,X
TJOSLIZ,O,O,X,O,X,X,X,X,X,X
TJOSLZI,O,O,X,O,X,X,X,X,X,X
TJOSZIL,O,O,X,X,X,X,X,X,X,X
TJOSZLI,O,O,X,X,X,X,X,X,X,X
TJOZILS,X,X,X,X,O,X,X,X,X,X
TJOZISL,X,X,X,X,X,X,X,X,X,X
TJOZLIS,X,X,X,X,X,X,X,X,X,X
TJOZLSI,O,O,X,X,X,X,X,X,X,X
TJOZSIL,O,O,X,X,X,X,X,X,X,X
TJOZSLI,O,O,X,X,X,X,X,X,X,X
TSILJZO,O,O,X,X,X,X,X,X,X,X
TSILJOZ,X,X,X,X,X,X,O,O,X,X
TSILZJO,X,O,O,X,X,O,X,X,X,X
TSILZOJ,X,O,X,X,X,O,X,X,O,X
TSILOJZ,X,O,X,X,X,X,O,O,X,X
TSILOZJ,X,O,O,X,X,O,X,X,O,X
TSIJLZO,O,O,X,X,X,X,X,X,X,X
TSIJLOZ,X,X,X,X,X,X,O,O,X,X
TSIJZLO,O,X,X,X,X,X,X,X,X,X
TSIJZOL,X,X,X,X,X,X,X,X,X,X
TSIJOLZ,X,O,X,O,X,X,X,O,X,X
TSIJOZL,X,O,X,X,X,X,X,X,X,X
TSIZLJO,X,X,X,X,X,O,X,X,X,X
TSIZLOJ,X,X,X,X,X,O,X,X,O,X
TSIZJLO,X,X,X,X,X,O,X,X,X,X
TSIZJOL,X,X,X,X,X,O,X,X,X,X
TSIZOLJ,X,X,X,X,X,O,X,X,O,X
TSIZOJL,X,X,X,X,X,O,X,X,X,X
TSIOLJZ,O,O,X,X,X,X,X,O,X,X
TSIOLZJ,X,O,O,O,X,O,X,X,O,X
TSIOJLZ,O,O,X,X,X,X,X,O,X,X
TSIOJZL,O,O,X,X,X,X,X,X,X,X
TSIOZLJ,X,X,X,X,X,O,X,X,O,X
TSIOZJL,X,O,X,X,X,O,X,X,X,X
TSLIJZO,O,O,X,X,X,X,X,X,X,X
TSLIJOZ,X,X,X,X,X,X,O,O,X,X
TSLIZJO,X,O,O,X,X,O,X,X,X,X
TSLIZOJ,X,O,X,X,X,O,X,X,O,X
TSLIOJZ,X,O,X,X,X,X,O,O,X,X
TSLIOZJ,X,O,O,X,X,O,X,X,O,X
TSLJIZO,O,O,X,X,X,X,X,X,X,X
TSLJIOZ,X,X,X,X,X,X,O,X,X,X
TSLJZIO,O,O,X,X,X,X,X,X,X,X
TSLJZOI,O,X,X,X,X,X,X,X,X,X
TSLJOIZ,O,X,X,O,X,X,O,X,X,X
TSLJOZI,O,X,X,O,X,X,O,X,X,X
TSLZIJO,X,O,O,X,X,X,X,X,X,X
TSLZIOJ,X,O,X,X,X,X,X,X,X,X
TSLZJIO,X,O,O,X,X,X,X,X,X,X
TSLZJOI,X,X,O,X,X,X,X,X,X,X
TSLZOIJ,X,O,O,X,X,X,X,X,X,X
TSLZOJI,X,O,O,X,X,X,X,X,X,X
TSLOIJZ,O,O,X,X,X,X,O,X,X,X
TSLOIZJ,X,O,O,O,X,X,X,X,X,X
TSLOJIZ,O,O,X,O,X,X,O,X,X,X
TSLOJZI,O,O,X,O,X,X,O,X,X,X
TSLOZIJ,X,O,O,O,X,X,X,X,X,X
TSLOZJI,X,O,O,O,X,X,X,X,X,X
TSJILZO,O,O,X,X,X,X,X,X,X,X
TSJILOZ,X,X,X,X,X,X,O,X,X,X
TSJIZLO,O,X,X,X,X,X,X,X,X,X
TSJIZOL,X,X,X,X,X,X,X,X,X,X
TSJIOLZ,X,O,X,O,X,X,X,X,X,X
TSJIOZL,X,O,X,X,X,X,X,X,X,X
TSJLIZO,O,O,X,X,X,X,X,X,X,X
TSJLIOZ,X,X,X,X,X,X,O,X,X,X
TSJLZIO,O,O,X,X,X,X,X,X,X,X
TSJLZOI,O,X,X,X,X,X,X,X,X,X
TSJLOIZ,O,X,X,O,X,X,O,X,X,X
TSJLOZI,O,X,X,O,X,X,O,X,X,X
TSJZILO,O,X,X,X,X,X,X,X,X,X
TSJZIOL,X,X,X,X,X,X,X,X,X,X
TSJZLIO,O,X,X,X,X,X,X,X,X,X
TSJZLOI,O,X,X,X,X,X,X,X,X,X
TSJZOIL,O,X,X,X,X,X,X,X,X,X
TSJZOLI,O,X,X,X,X,X,X,X,X,X
TSJOILZ,O,O,X,O,X,X,X,X,X,X
TSJOIZL,O,O,X,X,X,X,X,X,X,X
TSJOLIZ,O,O,X,O,X,X,X,X,X,X
TSJOLZI,O,O,X,O,X,X,X,X,X,X
TSJOZIL,O,O,X,X,X,X,X,X,X,X
TSJOZLI,O,O,X,X,X,X,X,X,X,X
TSZILJO,X,X,X,X,X,X,X,X,X,X
TSZILOJ,X,X,X,X,X,X,X,X,X,X
TSZIJLO,X,X,X,X,X,X,X,X,X,X
TSZIJOL,X,X,X,X,X,X,X,X,X,X
TSZIOLJ,X,X,X,X,X,X,X,X,X,X
TSZIOJL,X,X,X,X,X,X,X,X,X,X
TSZLIJO,X,X,X,X,X,X,X,X,X,X
TSZLIOJ,X,X,X,X,X,X,X,X,X,X
TSZLJIO,X,X,X,X,X,X,X,X,X,X
TSZLJOI,X,X,X,X,X,X,X,X,X,X
TSZLOIJ,X,X,X,X,X,X,X,X,X,X
TSZLOJI,X,X,X,X,X,X,X,X,X,X
TSZJILO,X,X,X,X,X,X,X,X,X,X
TSZJIOL,X,X,X,X,X,X,X,X,X,X
TSZJLIO,X,X,X,X,X,X,X,X,X,X
TSZJLOI,X,X,X,X,X,X,X,X,X,X
TSZJOIL,X,X,X,X,X,X,X,X,X,X
TSZJOLI,X,X,X,X,X,X,X,X,X,X
TSZOILJ,X,X,X,X,X,X,X,X,X,X
TSZOIJL,X,X,X,X,X,X,X,X,X,X
TSZOLIJ,X,X,X,X,X,X,X,X,X,X
TSZOLJI,X,X,X,X,X,X,X,X,X,X
TSZOJIL,X,X,X,X,X,X,X,X,X,X
TSZOJLI,X,X,X,X,X,X,X,X,X,X
TSOILJZ,O,O,X,X,X,X,X,X,X,X
TSOILZJ,X,O,O,O,X,X,X,X,X,X
TSOIJLZ,O,O,X,X,X,X,X,X,X,X
TSOIJZL,O,O,X,X,X,X,X,X,X,X
TSOIZLJ,X,X,X,X,X,X,X,X,X,X
TSOIZJL,X,O,X,X,X,X,X,X,X,X
