sequence,v115@FhB8FeF8CeH8AeF8Jex6IvhFmcBCeBTfBlgBcmB/qB,v115@FhB8FeF8CeH8AeF8JeO/IvhF0bBxdBzfBCiBXhBlqB,v115@FhB8FeF8CeH8AeF8JeK/IvhFzaBWiBxdBUhB3gBlqB,v115@FhB8FeF8CeH8AeF8JeO/IvhF8fBxdBzgBCiB/qBFrB,v115@FhB8FeF8CeH8AeF8Jex6IvhFXcB8hBCeBTfB2lBlqB
TJIZLOS,X,X,O,X,X
TJIZSLO,X,X,X,X,O
TJIZSOL,X,X,X,X,X
TJIZOLS,X,X,X,X,X
TJIZOSL,X,X,X,X,X
TJIOLSZ,X,X,X,X,X
TJIOLZS,X,O,X,X,X
TJIOSLZ,X,X,X,X,X
TJIOSZL,X,X,X,X,X
TJIOZLS,X,O,X,X,X
TJIOZSL,X,X,X,X,X
TJLISZO,X,X,X,X,X
TJLISOZ,X,X,X,X,X
TJLIZSO,X,X,X,X,O
TJLIZOS,X,X,O,X,X
TJLIOSZ,X,X,X,X,X
TJLIOZS,X,O,O,X,X
TJLSIZO,X,X,X,X,X
TJLSIOZ,X,X,X,X,X
TJLSZIO,X,X,X,X,X
TJLSZOI,X,X,X,X,X
TJLSOIZ,X,X,X,X,X
TJLSOZI,X,X,X,X,X
TJLZISO,X,X,X,X,O
TJLZIOS,X,X,O,X,X
TJLZSIO,X,X,X,X,O
TJLZSOI,X,X,X,X,O
TJLZOIS,X,X,O,X,O
TJLZOSI,X,X,O,X,O
TJLOISZ,X,X,X,X,X
TJLOIZS,X,O,O,X,O
TJLOSIZ,X,X,X,X,X
TJLOSZI,X,X,X,X,X
TJLOZIS,X,O,O,X,O
TJLOZSI,X,O,O,X,O
TJSILZO,X,X,X,X,X
TJSILOZ,X,X,X,X,X
TJSIZLO,X,X,X,X,X
TJSIZOL,X,X,X,X,X
TJSIOLZ,X,X,X,X,X
TJSIOZL,X,X,X,X,X
TJSLIZO,X,X,X,X,X
TJSLIOZ,X,X,X,X,X
TJSLZIO,X,X,X,X,X
TJSLZOI,X,X,X,X,X
TJSLOIZ,X,X,X,X,X
TJSLOZI,X,X,X,X,X
TJSZILO,X,X,X,X,X
TJSZIOL,X,X,X,X,X
TJSZLIO,X,X,X,X,X
TJSZLOI,X,X,X,X,X
TJSZOIL,X,X,X,X,X
TJSZOLI,X,X,X,X,X
TJSOILZ,X,X,X,X,X
TJSOIZL,X,X,X,X,X
TJSOLIZ,X,X,X,X,X
TJSOLZI,X,X,X,X,X
TJSOZIL,X,X,X,X,X
TJSOZLI,X,X,X,X,X
TJZILSO,X,X,X,X,O
TJZILOS,X,X,O,X,X
TJZISLO,X,X,X,X,O
TJZISOL,X,X,X,X,X
TJZIOLS,X,X,X,X,X
TJZIOSL,X,X,X,X,X
TJZLISO,X,X,X,X,O
TJZLIOS,X,X,O,X,X
TJZLSIO,X,X,X,X,O
TJZLSOI,X,X,X,X,O
TJZLOIS,X,X,O,X,O
TJZLOSI,X,X,O,X,O
TJZSILO,X,X,X,X,O
TJZSIOL,X,X,X,X,X
TJZSLIO,X,X,X,X,O
TJZSLOI,X,X,X,X,O
TJZSOIL,X,X,X,X,O
TJZSOLI,X,X,X,X,O
TJZOILS,X,X,X,X,O
TJZOISL,X,X,X,X,O
TJZOLIS,X,X,X,X,O
TJZOLSI,X,X,X,X,O
TJZOSIL,X,X,X,X,O
TJZOSLI,X,X,X,X,O
TJOILSZ,X,X,X,X,X
TJOILZS,X,O,X,X,O
TJOISLZ,X,X,X,X,X
TJOISZL,X,X,X,X,X
TJOIZLS,X,O,X,X,O
TJOIZSL,X,X,X,X,O
TJOLISZ,X,X,X,X,X
TJOLIZS,X,O,X,X,O
TJOLSIZ,X,X,X,X,X
TJOLSZI,X,X,X,X,X
TJOLZIS,X,O,X,X,O
TJOLZSI,X,O,X,X,O
TJOSILZ,X,X,X,X,X
TJOSIZL,X,X,X,X,X
TJOSLIZ,X,X,X,X,X
TJOSLZI,X,X,X,X,X
TJOSZIL,X,X,X,X,X
TJOSZLI,X,X,X,X,X
TJOZILS,X,O,X,X,O
TJOZISL,X,X,X,X,O
TJOZLIS,X,O,X,X,O
TJOZLSI,X,O,X,X,O
TJOZSIL,X,X,X,X,O
TJOZSLI,X,X,X,X,O
TSILJZO,X,X,X,X,X
TSILJOZ,X,X,X,X,X
TSILZJO,X,X,X,X,X
TSILZOJ,X,X,X,X,X
TSILOJZ,X,X,X,X,X
TSILOZJ,X,X,X,X,X
TSIJLZO,X,X,X,X,X
TSIJLOZ,X,X,X,X,X
TSIJZLO,X,X,X,X,X
TSIJZOL,X,X,X,X,X
TSIJOLZ,X,X,X,X,X
TSIJOZL,X,X,X,X,X
TSIZLJO,X,X,X,X,X
TSIZLOJ,X,X,X,X,X
TSIZJLO,X,X,X,X,X
TSIZJOL,X,X,X,X,X
TSIZOLJ,X,X,X,X,X
TSIZOJL,X,X,X,X,X
TSIOLJZ,X,X,X,X,X
TSIOLZJ,X,X,X,X,X
TSIOJLZ,X,X,X,X,X
TSIOJZL,X,X,X,X,X
TSIOZLJ,X,X,X,X,X
TSIOZJL,X,X,X,X,X
TSLIJZO,X,X,X,X,X
TSLIJOZ,X,X,X,X,X
TSLIZJO,X,X,X,X,X
TSLIZOJ,X,X,X,X,X
TSLIOJZ,X,X,X,X,X
TSLIOZJ,X,X,X,X,X
TSLJIZO,X,X,X,X,X
TSLJIOZ,X,X,X,X,X
TSLJZIO,X,X,X,X,X
TSLJZOI,X,X,X,X,X
TSLJOIZ,X,X,X,X,X
TSLJOZI,X,X,X,X,X
TSLZIJO,X,X,X,X,X
TSLZIOJ,X,X,X,X,X
TSLZJIO,X,X,X,X,X
TSLZJOI,X,X,X,X,X
TSLZOIJ,X,X,X,X,X
TSLZOJI,X,X,X,X,X
TSLOIJZ,X,X,X,X,X
TSLOIZJ,X,X,X,X,X
TSLOJIZ,X,X,X,X,X
TSLOJZI,X,X,X,X,X
TSLOZIJ,X,X,X,X,X
TSLOZJI,X,X,X,X,X
TSJILZO,X,X,X,X,X
TSJILOZ,X,X,X,X,X
TSJIZLO,X,X,X,X,X
TSJIZOL,X,X,X,X,X
TSJIOLZ,X,X,X,X,X
TSJIOZL,X,X,X,X,X
TSJLIZO,X,X,X,X,X
TSJLIOZ,X,X,X,X,X
TSJLZIO,X,X,X,X,X
TSJLZOI,X,X,X,X,X
TSJLOIZ,X,X,X,X,X
TSJLOZI,X,X,X,X,X
TSJZILO,X,X,X,X,X
TSJZIOL,X,X,X,X,X
TSJZLIO,X,X,X,X,X
TSJZLOI,X,X,X,X,X
TSJZOIL,X,X,X,X,X
TSJZOLI,X,X,X,X,X
TSJOILZ,X,X,X,X,X
TSJOIZL,X,X,X,X,X
TSJOLIZ,X,X,X,X,X
TSJOLZI,X,X,X,X,X
TSJOZIL,X,X,X,X,X
TSJOZLI,X,X,X,X,X
TSZILJO,X,X,X,X,X
TSZILOJ,X,X,X,X,X
TSZIJLO,X,X,X,X,X
TSZIJOL,X,X,X,X,X
TSZIOLJ,X,X,X,X,X
TSZIOJL,X,X,X,X,X
TSZLIJO,X,X,X,X,X
TSZLIOJ,X,X,X,X,X
TSZLJIO,X,X,X,X,X
TSZLJOI,X,X,X,X,X
TSZLOIJ,X,X,X,X,X
TSZLOJI,X,X,X,X,X
TSZJILO,X,X,X,X,X
TSZJIOL,X,X,X,X,X
TSZJLIO,X,X,X,X,X
TSZJLOI,X,X,X,X,X
TSZJOIL,X,X,X,X,X
TSZJOLI,X,X,X,X,X
TSZOILJ,X,X,X,X,X
TSZOIJL,X,X,X,X,X
TSZOLIJ,X,X,X,X,X
TSZOLJI,X,X,X,X,X
TSZOJIL,X,X,X,X,X
TSZOJLI,X,X,X,X,X
TSOILJZ,X,X,X,X,X
TSOILZJ,X,X,X,X,X
TSOIJLZ,X,X,X,X,X
TSOIJZL,X,X,X,X,X
TSOIZLJ,X,X,X,X,X
TSOIZJL,X,X,X,X,X
TSOLIJZ,X,X,X,X,X
TSOLIZJ,X,X,X,X,X
TSOLJIZ,X,X,X,X,X
TSOLJZI,X,X,X,X,X
TSOLZIJ,X,X,X,X,X
TSOLZJI,X,X,X,X,X
TSOJILZ,X,X,X,X,X
TSOJIZL,X,X,X,X,X
TSOJLIZ,X,X,X,X,X
TSOJLZI,X,X,X,X,X
TSOJZIL,X,X,X,X,X
TSOJZLI,X,X,X,X,X
TSOZILJ,X,X,X,X,X
TSOZIJL,X,X,X,X,X
TSOZLIJ,X,X,X,X,X
TSOZLJI,X,X,X,X,X
TSOZJIL,X,X,X,X,X
TSOZJLI,X,X,X,X,X
TZILJSO,X,X,X,X,X
TZILJOS,X,X,O,X,X
TZILSJO,X,X,X,X,X
TZILSOJ,X,X,X,X,X
TZILOJS,X,X,O,X,X
TZILOSJ,X,X,X,X,X
TZIJLSO,X,X,X,X,X
TZIJLOS,X,X,O,X,X
TZIJSLO,X,X,X,X,X
TZIJSOL,X,X,X,X,X
TZIJOLS,X,X,X,X,X
TZIJOSL,X,X,X,X,X
TZISLJO,X,X,X,X,X
TZISLOJ,X,X,X,X,X
TZISJLO,X,X,X,X,X
TZISJOL,X,X,X,X,X
TZISOLJ,X,X,X,X,X
TZISOJL,X,X,X,X,X
TZIOLJS,X,X,X,X,X
TZIOLSJ,X,X,X,X,X
TZIOJLS,X,X,X,X,X
TZIOJSL,X,X,X,X,X
TZIOSLJ,X,X,X,X,X
TZIOSJL,X,X,X,X,X
TZLIJSO,X,X,X,X,X
TZLIJOS,X,X,O,X,X
TZLISJO,X,X,X,X,X
TZLISOJ,X,X,X,X,X
TZLIOJS,X,X,O,X,X
TZLIOSJ,X,X,X,X,X
TZLJISO,X,X,X,X,O
TZLJIOS,X,X,O,X,X
TZLJSIO,X,X,X,X,O
TZLJSOI,X,X,X,X,O
TZLJOIS,X,X,O,X,O
TZLJOSI,X,X,O,X,O
TZLSIJO,X,X,X,X,O
TZLSIOJ,X,X,X,X,O
TZLSJIO,X,X,X,X,O
TZLSJOI,X,X,X,X,O
TZLSOIJ,X,X,X,X,O
TZLSOJI,X,X,X,X,O
TZLOIJS,X,X,O,X,O
TZLOISJ,X,X,X,X,O
TZLOJIS,X,X,O,X,O
TZLOJSI,X,X,O,X,O
TZLOSIJ,X,X,X,X,O
TZLOSJI,X,X,X,X,O
TZJILSO,X,X,X,X,O
TZJILOS,X,X,O,X,X
TZJISLO,X,X,X,X,O
TZJISOL,X,X,X,X,X
TZJIOLS,X,X,X,X,X
TZJIOSL,X,X,X,X,X
TZJLISO,X,X,X,X,O
TZJLIOS,X,X,O,X,X
TZJLSIO,X,X,X,X,O
TZJLSOI,X,X,X,X,O
TZJLOIS,X,X,O,X,O
TZJLOSI,X,X,O,X,O
TZJSILO,X,X,X,X,O
TZJSIOL,X,X,X,X,X
TZJSLIO,X,X,X,X,O
TZJSLOI,X,X,X,X,O
TZJSOIL,X,X,X,X,O
TZJSOLI,X,X,X,X,O
TZJOILS,X,X,X,X,O
TZJOISL,X,X,X,X,O
TZJOLIS,X,X,X,X,O
TZJOLSI,X,X,X,X,O
TZJOSIL,X,X,X,X,O
TZJOSLI,X,X,X,X,O
TZSILJO,X,X,X,X,O
TZSILOJ,X,X,X,X,O
TZSIJLO,X,X,X,X,X
TZSIJOL,X,X,X,X,X
TZSIOLJ,X,X,X,X,X
TZSIOJL,X,X,X,X,X
TZSLIJO,X,X,X,X,O
TZSLIOJ,X,X,X,X,O
TZSLJIO,X,X,X,X,O
TZSLJOI,X,X,X,X,O
TZSLOIJ,X,X,X,X,O
TZSLOJI,X,X,X,X,O
TZSJILO,X,X,X,X,O
TZSJIOL,X,X,X,X,X
TZSJLIO,X,X,X,X,O
TZSJLOI,X,X,X,X,O
TZSJOIL,X,X,X,X,O
TZSJOLI,X,X,X,X,O
TZSOILJ,X,X,X,X,O
TZSOIJL,X,X,X,X,X
TZSOLIJ,X,X,X,X,O
TZSOLJI,X,X,X,X,O
TZSOJIL,X,X,X,X,O
TZSOJLI,X,X,X,X,O
TZOILJS,X,X,X,X,O
TZOILSJ,X,X,X,X,O
TZOIJLS,X,X,X,X,O
TZOIJSL,X,X,X,X,O
TZOISLJ,X,X,X,X,O
TZOISJL,X,X,X,X,X
TZOLIJS,X,X,X,X,O
TZOLISJ,X,X,X,X,O
TZOLJIS,X,X,X,X,O
TZOLJSI,X,X,X,X,O
TZOLSIJ,X,X,X,X,O
TZOLSJI,X,X,X,X,O
TZOJILS,X,X,X,X,O
TZOJISL,X,X,X,X,O
TZOJLIS,X,X,X,X,O
TZOJLSI,X,X,X,X,O
TZOJSIL,X,X,X,X,O
TZOJSLI,X,X,X,X,O
TZOSILJ,X,X,X,X,O
TZOSIJL,X,X,X,X,X
TZOSLIJ,X,X,X,X,O
TZOSLJI,X,X,X,X,O
TZOSJIL,X,X,X,X,O
TZOSJLI,X,X,X,X,O
TOILJSZ,X,X,X,X,X
TOILJZS,X,O,X,X,O
TOILSJZ,X,X,X,X,X
TOILSZJ,X,X,X,X,X
TOILZJS,X,O,X,X,O
TOILZSJ,X,X,X,X,O
TOIJLSZ,X,X,X,X,X
TOIJLZS,X,O,X,X,O
TOIJSLZ,X,X,X,X,X
TOIJSZL,X,X,X,X,X
TOIJZLS,X,O,X,X,O
TOIJZSL,X,X,X,X,O
TOISLJZ,X,X,X,X,X
TOISLZJ,X,X,X,X,X
TOISJLZ,X,X,X,X,X
TOISJZL,X,X,X,X,X
TOISZLJ,X,X,X,X,X
TOISZJL,X,X,X,X,X
TOIZLJS,X,O,X,X,O
TOIZLSJ,X,X,X,X,O
TOIZJLS,X,O,X,X,O
TOIZJSL,X,X,X,X,O
TOIZSLJ,X,X,X,X,O
TOIZSJL,X,X,X,X,X
TOLIJSZ,X,X,X,X,X
TOLIJZS,X,O,X,X,O
TOLISJZ,X,X,X,X,X
TOLISZJ,X,X,X,X,X
TOLIZJS,X,O,X,X,O
TOLIZSJ,X,X,X,X,O
TOLJISZ,X,X,X,X,X
TOLJIZS,X,O,X,X,O
TOLJSIZ,X,X,X,X,X
TOLJSZI,X,X,X,X,X
TOLJZIS,X,O,X,X,O
TOLJZSI,X,O,X,X,O
TOLSIJZ,X,X,X,X,X
TOLSIZJ,X,X,X,X,X
TOLSJIZ,X,X,X,X,X
TOLSJZI,X,X,X,X,X
TOLSZIJ,X,X,X,X,X
TOLSZJI,X,X,X,X,X
TOLZIJS,X,O,X,X,O
TOLZISJ,X,X,X,X,O
TOLZJIS,X,O,X,X,O
TOLZJSI,X,O,X,X,O
TOLZSIJ,X,X,X,X,O
TOLZSJI,X,X,X,X,O
TOJILSZ,X,X,X,X,X
TOJILZS,X,O,X,X,O
TOJISLZ,X,X,X,X,X
TOJISZL,X,X,X,X,X
TOJIZLS,X,O,X,X,O
TOJIZSL,X,X,X,X,O
TOJLISZ,X,X,X,X,X
TOJLIZS,X,O,X,X,O
TOJLSIZ,X,X,X,X,X
TOJLSZI,X,X,X,X,X
TOJLZIS,X,O,X,X,O
TOJLZSI,X,O,X,X,O
TOJSILZ,X,X,X,X,X
TOJSIZL,X,X,X,X,X
TOJSLIZ,X,X,X,X,X
TOJSLZI,X,X,X,X,X
TOJSZIL,X,X,X,X,X
TOJSZLI,X,X,X,X,X
TOJZILS,X,O,X,X,O
TOJZISL,X,X,X,X,O
TOJZLIS,X,O,X,X,O
TOJZLSI,X,O,X,X,O
TOJZSIL,X,X,X,X,O
TOJZSLI,X,X,X,X,O
TOSILJZ,X,X,X,X,X
TOSILZJ,X,X,X,X,X
TOSIJLZ,X,X,X,X,X
TOSIJZL,X,X,X,X,X
TOSIZLJ,X,X,X,X,X
TOSIZJL,X,X,X,X,X
TOSLIJZ,X,X,X,X,X
TOSLIZJ,X,X,X,X,X
TOSLJIZ,X,X,X,X,X
TOSLJZI,X,X,X,X,X
TOSLZIJ,X,X,X,X,X
TOSLZJI,X,X,X,X,X
TOSJILZ,X,X,X,X,X
TOSJIZL,X,X,X,X,X
TOSJLIZ,X,X,X,X,X
TOSJLZI,X,X,X,X,X
TOSJZIL,X,X,X,X,X
TOSJZLI,X,X,X,X,X
TOSZILJ,X,X,X,X,X
TOSZIJL,X,X,X,X,X
TOSZLIJ,X,X,X,X,X
TOSZLJI,X,X,X,X,X
TOSZJIL,X,X,X,X,X
TOSZJLI,X,X,X,X,X
TOZILJS,X,O,X,X,O
TOZILSJ,X,X,X,X,O
TOZIJLS,X,O,X,X,O
TOZIJSL,X,X,X,X,O
TOZISLJ,X,X,X,X,O
TOZISJL,X,X,X,X,X
TOZLIJS,X,O,X,X,O
TOZLISJ,X,X,X,X,O
TOZLJIS,X,O,X,X,O
TOZLJSI,X,O,X,X,O
TOZLSIJ,X,X,X,X,O
TOZLSJI,X,X,X,X,O
TOZJILS,X,O,X,X,O
TOZJISL,X,X,X,X,O
TOZJLIS,X,O,X,X,O
TOZJLSI,X,O,X,X,O
TOZJSIL,X,X,X,X,O
TOZJSLI,X,X,X,X,O
TOZSILJ,X,X,X,X,O
TOZSIJL,X,X,X,X,X
TOZSLIJ,X,X,X,X,O
TOZSLJI,X,X,X,X,O
TOZSJIL,X,X,X,X,O
TOZSJLI,X,X,X,X,O
ITLJSZO,X,X,X,X,X
ITLJSOZ,X,X,X,X,X
ITLJZSO,X,X,X,X,X
ITLJZOS,X,X,O,X,X
ITLJOSZ,X,X,X,X,X
ITLJOZS,X,O,O,X,X
ITLSJZO,X,X,X,X,X
ITLSJOZ,X,X,X,X,X
ITLSZJO,X,X,X,X,X
ITLSZOJ,X,X,X,X,X
ITLSOJZ,X,X,X,X,X
ITLSOZJ,X,X,X,X,X
ITLZJSO,X,X,X,X,X
ITLZJOS,X,X,O,X,X
ITLZSJO,X,X,X,X,X
ITLZSOJ,X,X,X,X,X
ITLZOJS,X,X,O,X,X
ITLZOSJ,X,X,X,X,X
ITLOJSZ,X,X,X,X,X
ITLOJZS,X,O,O,X,X
ITLOSJZ,X,X,X,X,X
ITLOSZJ,X,X,X,X,X
ITLOZJS,X,O,O,X,X
ITLOZSJ,X,X,X,X,X
ITJLSZO,X,X,X,X,X
ITJLSOZ,X,X,X,X,X
ITJLZSO,X,X,X,X,X
ITJLZOS,X,X,O,X,X
