sequence,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhFOgB8gBfiB6?iBZjBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhFibBGdBZjB3?gBUiBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Je2/IvhFzbBfiB6iBZ?jBUgBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhF2gBSiBZjB3?gBUiBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jex6IvhF8gBzcBmfBa?oB3iBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jei6IvhFzbBRdBUgBe?oBXnBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8JeT6IvhF2gBRiB3gBU?iBaoBFsB,v115@8gA8IeC8BeB8CeF8DeG8AeC8Jei6IvhFzbBmdBUgB1?nBRsBfsB
TJSOZIL,X,X,X,X,X,X,X,X
TJSOZLI,X,X,X,X,X,X,X,X
TJZILSO,X,X,X,X,X,X,X,X
TJZILOS,X,X,X,X,O,X,X,X
TJZISLO,X,X,X,X,X,X,X,X
TJZISOL,X,X,X,X,X,X,X,X
TJZIOLS,X,X,X,X,O,X,X,X
TJZIOSL,X,X,X,X,X,X,X,X
TJZLISO,X,X,X,X,X,X,X,X
TJZLIOS,X,X,X,X,O,X,X,X
TJZLSIO,X,X,X,X,X,X,X,X
TJZLSOI,X,X,X,X,X,X,X,X
TJZLOIS,X,X,X,X,O,X,X,X
TJZLOSI,X,X,X,X,O,X,X,X
TJZSILO,X,X,X,X,X,X,X,X
TJZSIOL,X,X,X,X,X,X,X,X
TJZSLIO,X,X,X,X,X,X,X,X
TJZSLOI,X,X,X,X,X,X,X,X
TJZSOIL,X,X,X,X,X,X,X,X
TJZSOLI,X,X,X,X,X,X,X,X
TJZOILS,X,X,X,X,O,X,X,X
TJZOISL,X,X,X,X,X,X,X,X
TJZOLIS,X,X,X,X,O,X,X,X
TJZOLSI,X,X,X,X,O,X,X,X
TJZOSIL,X,X,X,X,X,X,X,X
TJZOSLI,X,X,X,X,X,X,X,X
TJOILSZ,X,X,X,O,X,X,O,X
TJOILZS,X,X,X,O,X,X,O,X
TJOISLZ,X,X,O,X,X,X,O,X
TJOISZL,X,X,X,X,X,X,O,X
TJOIZLS,X,X,X,X,X,X,O,X
TJOIZSL,X,X,X,X,X,X,O,X
TJOLISZ,X,X,X,O,X,X,X,X
TJOLIZS,X,X,X,O,X,X,X,X
TJOLSIZ,X,X,X,X,X,X,X,X
TJOLSZI,X,X,X,X,X,X,X,X
TJOLZIS,X,X,X,X,O,X,X,X
TJOLZSI,X,X,X,X,O,X,X,X
TJOSILZ,X,X,O,X,X,X,X,X
TJOSIZL,X,X,X,X,X,X,X,X
TJOSLIZ,X,X,O,X,X,X,X,X
TJOSLZI,X,X,X,X,X,X,X,X
TJOSZIL,X,X,X,X,X,X,X,X
TJOSZLI,X,X,X,X,X,X,X,X
TJOZILS,X,X,X,X,O,X,X,X
TJOZISL,X,X,X,X,X,X,X,X
TJOZLIS,X,X,X,X,O,X,X,X
TJOZLSI,X,X,X,X,O,X,X,X
TJOZSIL,X,X,X,X,X,X,X,X
TJOZSLI,X,X,X,X,X,X,X,X
TSILJZO,X,X,X,X,X,X,X,X
TSILJOZ,X,X,O,X,X,X,X,X
TSILZJO,O,O,X,X,X,X,X,X
TSILZOJ,O,O,X,X,X,X,X,X
TSILOJZ,X,X,O,X,X,X,X,X
TSILOZJ,O,O,X,X,X,X,X,X
TSIJLZO,X,X,X,X,X,X,X,X
TSIJLOZ,X,X,O,X,X,X,X,X
TSIJZLO,X,X,X,X,X,X,X,X
TSIJZOL,X,X,X,X,X,X,X,X
TSIJOLZ,X,X,O,X,X,X,X,X
TSIJOZL,X,X,X,X,X,X,X,X
TSIZLJO,O,O,X,X,X,X,X,X
TSIZLOJ,O,O,X,X,X,X,X,X
TSIZJLO,O,O,X,X,X,X,X,X
TSIZJOL,O,O,X,X,X,X,X,X
TSIZOLJ,O,O,X,X,X,X,X,X
TSIZOJL,O,O,X,X,X,X,X,X
TSIOLJZ,X,X,O,X,X,X,X,X
TSIOLZJ,O,O,X,X,X,X,X,X
TSIOJLZ,X,X,O,X,X,X,X,X
TSIOJZL,X,X,X,X,X,X,X,X
TSIOZLJ,O,O,X,X,X,X,X,X
TSIOZJL,O,O,X,X,X,X,X,X
TSLIJZO,X,X,X,X,X,X,X,X
TSLIJOZ,X,X,O,X,X,X,X,X
TSLIZJO,O,O,X,X,X,X,X,X
TSLIZOJ,O,O,X,X,X,X,X,X
TSLIOJZ,X,X,O,X,X,X,X,X
TSLIOZJ,O,O,X,X,X,X,X,X
TSLJIZO,X,X,X,X,X,X,X,X
TSLJIOZ,X,X,O,X,X,X,X,X
TSLJZIO,X,X,X,X,X,X,X,X
TSLJZOI,X,X,X,X,X,X,X,X
TSLJOIZ,X,X,O,X,X,X,X,X
TSLJOZI,X,X,X,X,X,X,X,X
TSLZIJO,O,O,X,X,X,X,X,X
TSLZIOJ,O,O,X,X,X,X,X,X
TSLZJIO,O,O,X,X,X,X,X,X
TSLZJOI,O,O,X,X,X,X,X,X
TSLZOIJ,O,O,X,X,X,X,X,X
TSLZOJI,O,O,X,X,X,X,X,X
TSLOIJZ,X,X,O,X,X,X,X,X
TSLOIZJ,O,O,X,X,X,X,X,X
TSLOJIZ,X,X,O,X,X,X,X,X
TSLOJZI,X,X,X,X,X,X,X,X
TSLOZIJ,O,O,X,X,X,X,X,X
TSLOZJI,O,O,X,X,X,X,X,X
TSJILZO,X,X,X,X,X,X,X,X
TSJILOZ,X,X,O,X,X,X,X,X
TSJIZLO,X,X,X,X,X,X,X,X
TSJIZOL,X,X,X,X,X,X,X,X
TSJIOLZ,X,X,O,X,X,X,X,X
TSJIOZL,X,X,X,X,X,X,X,X
TSJLIZO,X,X,X,X,X,X,X,X
TSJLIOZ,X,X,O,X,X,X,X,X
TSJLZIO,X,X,X,X,X,X,X,X
TSJLZOI,X,X,X,X,X,X,X,X
TSJLOIZ,X,X,O,X,X,X,X,X
TSJLOZI,X,X,X,X,X,X,X,X
TSJZILO,X,X,X,X,X,X,X,X
TSJZIOL,X,X,X,X,X,X,X,X
TSJZLIO,X,X,X,X,X,X,X,X
TSJZLOI,X,X,X,X,X,X,X,X
TSJZOIL,X,X,X,X,X,X,X,X
TSJZOLI,X,X,X,X,X,X,X,X
TSJOILZ,X,X,O,X,X,X,X,X
TSJOIZL,X,X,X,X,X,X,X,X
TSJOLIZ,X,X,O,X,X,X,X,X
TSJOLZI,X,X,X,X,X,X,X,X
TSJOZIL,X,X,X,X,X,X,X,X
TSJOZLI,X,X,X,X,X,X,X,X
TSZILJO,O,O,X,X,X,X,X,X
TSZILOJ,O,O,X,X,X,X,X,X
TSZIJLO,O,O,X,X,X,X,X,X
TSZIJOL,O,O,X,X,X,X,X,X
TSZIOLJ,O,O,X,X,X,X,X,X
TSZIOJL,O,O,X,X,X,X,X,X
TSZLIJO,O,O,X,X,X,X,X,X
TSZLIOJ,O,O,X,X,X,X,X,X
TSZLJIO,O,O,X,X,X,X,X,X
TSZLJOI,O,O,X,X,X,X,X,X
TSZLOIJ,O,O,X,X,X,X,X,X
TSZLOJI,O,O,X,X,X,X,X,X
TSZJILO,O,O,X,X,X,X,X,X
TSZJIOL,O,O,X,X,X,X,X,X
TSZJLIO,O,O,X,X,X,X,X,X
TSZJLOI,O,O,X,X,X,X,X,X
TSZJOIL,O,O,X,X,X,X,X,X
TSZJOLI,O,O,X,X,X,X,X,X
TSZOILJ,O,O,X,X,X,X,X,X
TSZOIJL,O,O,X,X,X,X,X,X
TSZOLIJ,O,O,X,X,X,X,X,X
TSZOLJI,O,O,X,X,X,X,X,X
TSZOJIL,O,O,X,X,X,X,X,X
TSZOJLI,O,O,X,X,X,X,X,X
TSOILJZ,X,X,O,X,X,X,X,X
TSOILZJ,O,O,X,X,X,X,X,X
TSOIJLZ,X,X,O,X,X,X,X,X
TSOIJZL,X,X,X,X,X,X,X,X
TSOIZLJ,O,O,X,X,X,X,X,X
TSOIZJL,O,O,X,X,X,X,X,X
TSOLIJZ,X,X,O,X,X,X,X,X
TSOLIZJ,O,O,X,X,X,X,X,X
TSOLJIZ,X,X,O,X,X,X,X,X
TSOLJZI,X,X,X,X,X,X,X,X
TSOLZIJ,O,O,X,X,X,X,X,X
TSOLZJI,O,O,X,X,X,X,X,X
TSOJILZ,X,X,O,X,X,X,X,X
TSOJIZL,X,X,X,X,X,X,X,X
TSOJLIZ,X,X,O,X,X,X,X,X
TSOJLZI,X,X,X,X,X,X,X,X
TSOJZIL,X,X,X,X,X,X,X,X
TSOJZLI,X,X,X,X,X,X,X,X
TSOZILJ,O,O,X,X,X,X,X,X
TSOZIJL,O,O,X,X,X,X,X,X
TSOZLIJ,O,O,X,X,X,X,X,X
TSOZLJI,O,O,X,X,X,X,X,X
TSOZJIL,O,O,X,X,X,X,X,X
TSOZJLI,O,O,X,X,X,X,X,X
TZILJSO,X,X,X,X,X,X,X,X
TZILJOS,X,X,X,X,X,X,X,X
TZILSJO,X,X,X,X,X,X,X,X
TZILSOJ,X,X,X,X,X,X,X,X
TZILOJS,X,X,X,X,X,X,X,X
TZILOSJ,X,X,X,X,X,X,X,X
TZIJLSO,X,X,X,X,X,X,X,X
TZIJLOS,X,X,X,X,X,X,X,X
TZIJSLO,O,O,X,X,X,X,X,X
TZIJSOL,O,O,X,X,X,X,X,X
TZIJOLS,X,X,X,X,X,X,X,X
TZIJOSL,O,O,X,X,X,X,X,X
TZISLJO,O,O,X,X,X,X,X,X
TZISLOJ,O,O,X,X,X,X,X,X
TZISJLO,O,O,X,X,X,X,X,X
TZISJOL,O,O,X,X,X,X,X,X
TZISOLJ,O,O,X,X,X,X,X,X
TZISOJL,O,O,X,X,X,X,X,X
TZIOLJS,X,X,X,X,X,X,X,X
TZIOLSJ,X,X,X,X,X,X,X,X
TZIOJLS,X,X,X,X,X,X,X,X
TZIOJSL,O,O,X,X,X,X,X,X
TZIOSLJ,O,O,X,X,X,X,X,X
TZIOSJL,O,O,X,X,X,X,X,X
TZLIJSO,X,X,X,X,X,X,X,X
TZLIJOS,X,X,X,X,X,X,X,X
TZLISJO,X,X,X,X,X,X,X,X
TZLISOJ,X,X,X,X,X,X,X,X
TZLIOJS,X,X,X,X,X,X,X,X
TZLIOSJ,X,X,X,X,X,X,X,X
TZLJISO,X,X,X,X,X,X,X,X
TZLJIOS,X,X,X,X,O,X,X,X
TZLJSIO,X,X,X,X,X,X,X,X
TZLJSOI,X,X,X,X,X,X,X,X
TZLJOIS,X,X,X,X,O,X,X,X
TZLJOSI,X,X,X,X,O,X,X,X
TZLSIJO,X,X,X,X,X,X,X,X
TZLSIOJ,X,X,X,X,X,X,X,X
TZLSJIO,X,X,X,X,X,X,X,X
TZLSJOI,X,X,X,X,X,X,X,X
TZLSOIJ,X,X,X,X,X,X,X,X
TZLSOJI,X,X,X,X,X,X,X,X
TZLOIJS,X,X,X,X,X,X,X,X
TZLOISJ,X,X,X,X,X,X,X,X
TZLOJIS,X,X,X,X,O,X,X,X
TZLOJSI,X,X,X,X,O,X,X,X
TZLOSIJ,X,X,X,X,X,X,X,X
TZLOSJI,X,X,X,X,X,X,X,X
TZJILSO,X,X,X,X,X,X,X,X
TZJILOS,X,X,X,X,O,X,X,X
TZJISLO,O,O,X,X,X,X,X,X
TZJISOL,O,O,X,X,X,X,X,X
TZJIOLS,X,X,X,X,O,X,X,X
TZJIOSL,O,O,X,X,X,X,X,X
TZJLISO,X,X,X,X,X,X,X,X
TZJLIOS,X,X,X,X,O,X,X,X
TZJLSIO,X,X,X,X,X,X,X,X
TZJLSOI,X,X,X,X,X,X,X,X
TZJLOIS,X,X,X,X,O,X,X,X
TZJLOSI,X,X,X,X,O,X,X,X
TZJSILO,O,O,X,X,X,X,X,X
TZJSIOL,O,O,X,X,X,X,X,X
TZJSLIO,O,O,X,X,X,X,X,X
TZJSLOI,O,O,X,X,X,X,X,X
